ASI,ASSTY,ASTTY,ASSTI,ASSTR,Ti,CURB,Des,SRASSI,CHEI,ASCATE,CONSC,SI,CI,BFOR,TII,VARII
7555,A,,10116.0,,50597,Intermediate,Biological half-life measured in plasma of rat; 22-25,,CHEMBL621129,,1,1,,BAO_0000218,1969.0,
7556,A,,10116.0,,50597,Intermediate,Biological half-life measured in plasma of rat; 9-16,,CHEMBL621130,,1,1,,BAO_0000218,1969.0,
7557,A,In vivo,10116.0,,50597,Intermediate,Compound was evaluated for its half life when administered intravenously in rat,,CHEMBL873808,,1,1,,BAO_0000218,,
7558,A,In vivo,10116.0,,50597,Intermediate,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,CHEMBL876598,,1,1,,BAO_0000218,,
7559,A,In vivo,10116.0,,50597,Intermediate,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,CHEMBL621131,,1,1,,BAO_0000218,,
7560,A,In vivo,10116.0,,50597,Intermediate,Half life (T1/2) after oral administration in rat,,CHEMBL621132,,1,1,,BAO_0000218,,
7561,A,In vivo,10116.0,,50597,Intermediate,Half life of compound after iv administration of 20 mg/kg dose in rat,,CHEMBL621133,,1,1,,BAO_0000218,,
7562,A,In vivo,10116.0,,50597,Expert,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,CHEMBL621312,,1,1,,BAO_0000218,,
7563,A,,10116.0,,50597,Intermediate,Half life of compound was determined in rat,,CHEMBL621313,,1,1,,BAO_0000218,,
7564,A,,10116.0,,50597,Intermediate,Half life of compound was determined in rat blood,,CHEMBL621314,,1,1,,BAO_0000218,178.0,
7565,A,In vivo,10116.0,,50597,Intermediate,Half life at 1 mg/kg was determined in rat,,CHEMBL621315,,1,1,,BAO_0000218,,
7566,A,In vivo,10116.0,,50597,Intermediate,Half life at 10 mg/kg was determined in rat,,CHEMBL621316,,1,1,,BAO_0000218,,
7567,A,,10116.0,,50597,Intermediate,Half life in rats,,CHEMBL621317,,1,1,,BAO_0000218,,
7568,A,,10116.0,,50597,Intermediate,Half life in rats in hours,,CHEMBL621318,,1,1,,BAO_0000218,,
7569,A,In vivo,10116.0,,50597,Intermediate,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,CHEMBL621319,,1,1,,BAO_0000218,,
7570,A,In vivo,10116.0,,50597,Intermediate,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,CHEMBL621377,,1,1,,BAO_0000218,,
7571,A,,10116.0,,50597,Intermediate,Half life was determined,,CHEMBL621378,,1,1,,BAO_0000218,,
7572,A,In vivo,10116.0,,50597,Intermediate,Half life after i.v. administration,,CHEMBL876599,,1,1,,BAO_0000218,,
7573,A,In vivo,10116.0,,50597,Intermediate,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,CHEMBL621379,,1,1,,BAO_0000218,,
7574,A,,10116.0,,50597,Intermediate,Half life in rat plasma,,CHEMBL621380,,1,1,,BAO_0000218,1969.0,
7575,A,,10116.0,,50597,Intermediate,Half life in rat plasma; Not detected,,CHEMBL621381,,1,1,,BAO_0000218,1969.0,
7576,A,,10116.0,,50597,Intermediate,Half life in rats,,CHEMBL618515,,1,1,,BAO_0000218,,
7577,A,In vivo,10116.0,,50597,Intermediate,Half life period of compound was determined after peroral administration,,CHEMBL618516,,1,1,,BAO_0000218,,
7578,A,In vivo,10116.0,,50597,Intermediate,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,CHEMBL618517,,1,1,,BAO_0000218,,
7579,A,,10116.0,,50597,Intermediate,Half life period in rat,,CHEMBL618518,,1,1,,BAO_0000218,,
7580,A,In vivo,10116.0,,50597,Intermediate,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,CHEMBL618519,,1,1,,BAO_0000218,,
7581,A,In vivo,10116.0,,50597,Intermediate,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,CHEMBL618698,,1,1,,BAO_0000218,,
7582,A,In vivo,10116.0,,50597,Intermediate,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,CHEMBL618862,,1,1,,BAO_0000218,,
7583,A,In vivo,10116.0,,50597,Intermediate,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,CHEMBL618863,,1,1,,BAO_0000218,,
7584,A,In vivo,10116.0,,50597,Intermediate,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,CHEMBL618864,,1,1,,BAO_0000218,,
7585,A,In vivo,10116.0,,50597,Intermediate,Half life time in rat the dose of 2 mg/kg,,CHEMBL618865,,1,1,,BAO_0000218,,
7586,A,In vivo,10116.0,,50597,Intermediate,Half-life 24 hr after 10 mg/kg iv administration in rats,,CHEMBL618866,,1,1,,BAO_0000218,,
7587,A,In vivo,10116.0,,50597,Intermediate,Half-life 24 hr after 2 mg/kg iv administration in rats,,CHEMBL618867,,1,1,,BAO_0000218,,
7588,A,,10116.0,,50597,Intermediate,Half-life consistent with the observed metabolic steady state in rats,,CHEMBL875828,,1,1,,BAO_0000218,,
7589,A,In vivo,10116.0,,50597,Intermediate,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,CHEMBL618868,,1,1,,BAO_0000218,,
7590,A,,10116.0,,50597,Intermediate,Half-life for oxidative metabolic stability was determined using male human,,CHEMBL618869,,1,1,,BAO_0000218,,
7591,A,In vivo,10116.0,,50597,Intermediate,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,CHEMBL618870,,1,1,,BAO_0000218,,
7592,A,,10116.0,,50597,Intermediate,Half-life in rat plasma,,CHEMBL618871,,1,1,,BAO_0000218,1969.0,
7593,A,,10116.0,,50597,Intermediate,Half-life in rat plasma was determined,,CHEMBL618872,,1,1,,BAO_0000218,1969.0,
7594,A,,10116.0,,50597,Intermediate,Half-life in rats was determined,,CHEMBL873816,,1,1,,BAO_0000218,,
7595,A,,,,22224,Autocuration,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,CHEMBL618873,,0,1,,BAO_0000218,,
7596,A,,,,22224,Autocuration,Area under curve after oral dose of 0.1 mg//kg,,CHEMBL621602,,0,1,,BAO_0000019,,
7597,A,,,,22224,Autocuration,Area under curve after oral dose of 0.3 mg/kg,,CHEMBL621603,,0,1,,BAO_0000218,,
7598,A,,,,22224,Autocuration,Area under curve after oral dose of 1 mg/kg,,CHEMBL621604,,0,1,,BAO_0000218,,
7599,A,,,,22224,Autocuration,Area under curve after oral dose of 10 mg/kg,,CHEMBL621605,,0,1,,BAO_0000218,,
7600,A,,,,22224,Autocuration,Area under curve after oral dose of 23.4 mg/kg,,CHEMBL621606,,0,1,,BAO_0000218,,
7601,A,,,,22224,Autocuration,Area under curve after oral dose of 3 mg/kg,,CHEMBL621607,,0,1,,BAO_0000218,,
7602,A,,,,22224,Autocuration,Area under curve after oral dose of 3.87 mg/kg,,CHEMBL621608,,0,1,,BAO_0000218,,
7603,A,,,,22224,Autocuration,Area under curve was determined,,CHEMBL621609,,0,1,,BAO_0000019,,
7604,A,,,,22224,Autocuration,Area under curve at a dose of 10 mg/kg,,CHEMBL621610,,0,1,,BAO_0000218,,
7605,A,,10116.0,,50597,Intermediate,Area under curve was determined; ND=No data,,CHEMBL621611,,1,1,,BAO_0000218,,
7606,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL621612,,1,1,,BAO_0000218,,
7607,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,CHEMBL622308,,1,1,,BAO_0000218,,
7608,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL622309,,1,1,,BAO_0000218,,
7609,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,CHEMBL622310,,1,1,,BAO_0000218,,
7610,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,CHEMBL622311,,1,1,,BAO_0000218,,
7611,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,CHEMBL622312,,1,1,,BAO_0000218,,
7612,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL622931,,1,1,,BAO_0000218,,
7613,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,CHEMBL622932,,1,1,,BAO_0000218,,
7614,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL622736,,1,1,,BAO_0000218,1969.0,
7615,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,CHEMBL622737,,1,1,,BAO_0000218,1969.0,
7616,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL622738,,1,1,,BAO_0000218,1969.0,
7617,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,CHEMBL622739,,1,1,,BAO_0000218,1969.0,
7618,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,CHEMBL622740,,1,1,,BAO_0000218,1969.0,
7619,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,CHEMBL622741,,1,1,,BAO_0000218,1969.0,
7620,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,CHEMBL622742,,1,1,,BAO_0000218,1969.0,
7621,A,,10116.0,,50597,Intermediate,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,CHEMBL622743,,1,1,,BAO_0000218,1969.0,
7622,A,,10090.0,,50594,Intermediate,AUC in mice,,CHEMBL622744,,1,1,,BAO_0000218,1969.0,
7623,A,,,,22224,Autocuration,Area under curve was measured from the graph obtained from concentration Vs time,,CHEMBL624134,,0,1,,BAO_0000019,,
7624,A,,,,22224,Autocuration,Area under curve value of compound per hour after oral administration,,CHEMBL624135,,0,1,,BAO_0000019,,
7625,A,,10116.0,,50597,Intermediate,Area under curve was determined after oral administration in rats,,CHEMBL624136,,1,1,,BAO_0000218,,
7626,A,,10116.0,,50597,Intermediate,Area under curve was determined after oral administration in rats; No data,,CHEMBL624137,,1,1,,BAO_0000218,,
7627,A,,10116.0,,50597,Intermediate,Area under curve was determined after oral administration in rats;No data,,CHEMBL624320,,1,1,,BAO_0000218,,
7628,A,,9615.0,,50588,Intermediate,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,CHEMBL624321,,1,1,,BAO_0000218,,
7629,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,CHEMBL624322,,1,1,,BAO_0000218,,
7630,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after iv dose of 5.06 in rats,,CHEMBL624323,,1,1,,BAO_0000218,,
7631,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,CHEMBL624324,,1,1,,BAO_0000218,,
7632,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,CHEMBL624325,,1,1,,BAO_0000218,,
7633,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,CHEMBL624326,,1,1,,BAO_0000218,,
7634,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,CHEMBL624327,,1,1,,BAO_0000218,,
7635,A,,10116.0,,50597,Intermediate,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,CHEMBL624328,,1,1,,BAO_0000218,,
7636,A,,9615.0,,50588,Intermediate,Area under curve was determined in Dogs after peroral administration,,CHEMBL627848,,1,1,,BAO_0000218,,
7637,A,,10116.0,,50597,Intermediate,Area under curve was determined in Rats after peroral administration,,CHEMBL627849,,1,1,,BAO_0000218,,
7638,A,,10116.0,,50597,Intermediate,Area under curve was determined in carotid blood of rat when administered intradermally,,CHEMBL627850,,1,1,,BAO_0000218,,
7639,A,,10116.0,,50597,Intermediate,Area under curve was determined in portal blood of rat when administered intradermally,,CHEMBL627851,,1,1,,BAO_0000218,,
7640,A,,10090.0,,50594,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,CHEMBL627852,,1,1,,BAO_0000218,,
7641,A,,10090.0,,50594,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,CHEMBL627853,,1,1,,BAO_0000218,,
7642,A,,10090.0,,50594,Intermediate,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,CHEMBL627854,,1,1,,BAO_0000218,,
7643,A,,10090.0,,50594,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,CHEMBL627855,,1,1,,BAO_0000218,,
7644,A,,10090.0,,50594,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,CHEMBL627856,,1,1,,BAO_0000218,,
7645,A,,10090.0,,50594,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,CHEMBL875339,,1,1,,BAO_0000218,,
7646,A,,10090.0,,50594,Intermediate,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,CHEMBL627857,,1,1,,BAO_0000218,,
7647,A,In vivo,10116.0,,50597,Intermediate,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,CHEMBL627858,,1,1,,BAO_0000218,2106.0,
7648,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,CHEMBL627859,,1,1,,BAO_0000218,178.0,
7649,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,CHEMBL627860,,1,1,,BAO_0000218,955.0,
7650,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,CHEMBL627019,,1,1,,BAO_0000218,948.0,
7651,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,CHEMBL627020,,1,1,,BAO_0000218,2107.0,
7652,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,CHEMBL627021,,1,1,,BAO_0000218,2048.0,
7653,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,CHEMBL627022,,1,1,,BAO_0000218,2385.0,
7654,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,CHEMBL627023,,1,1,,BAO_0000218,,
7655,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,CHEMBL627024,,1,1,,BAO_0000218,2106.0,
7656,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,CHEMBL627025,,1,1,,BAO_0000218,2046.0,
7657,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,CHEMBL627026,,1,1,,BAO_0000218,2113.0,
7658,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,CHEMBL627027,,1,1,,BAO_0000218,178.0,
7659,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,CHEMBL627028,,1,1,,BAO_0000218,955.0,
7660,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,CHEMBL627029,,1,1,,BAO_0000218,948.0,
7661,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,CHEMBL627030,,1,1,,BAO_0000218,2113.0,
7662,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,,CHEMBL627031,,1,1,,BAO_0000218,2107.0,
7663,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,,CHEMBL627032,,1,1,,BAO_0000218,2048.0,
7664,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,,CHEMBL627033,,1,1,,BAO_0000218,2385.0,
7665,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,CHEMBL627034,,1,1,,BAO_0000218,,
7666,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,,CHEMBL627035,,1,1,,BAO_0000218,2106.0,
7667,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,,CHEMBL627036,,1,1,,BAO_0000218,2046.0,
7668,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,,CHEMBL875340,,1,1,,BAO_0000218,178.0,
7669,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,,CHEMBL627037,,1,1,,BAO_0000218,948.0,
7670,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,,CHEMBL627038,,1,1,,BAO_0000218,2113.0,
7671,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,,CHEMBL627039,,1,1,,BAO_0000218,2107.0,
7672,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,,CHEMBL627040,,1,1,,BAO_0000218,2385.0,
7673,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,,CHEMBL624663,,1,1,,BAO_0000218,2106.0,
7674,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,,CHEMBL625963,,1,1,,BAO_0000218,2046.0,
7675,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,,CHEMBL876799,,1,1,,BAO_0000218,955.0,
7676,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,,CHEMBL626133,,1,1,,BAO_0000218,2048.0,
7677,A,,10116.0,,50597,Intermediate,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,,CHEMBL626134,,1,1,,BAO_0000218,,
7678,A,,10116.0,,50597,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,CHEMBL626135,,1,1,,BAO_0000218,,
7679,A,,10116.0,,50597,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,CHEMBL626136,,1,1,,BAO_0000218,,
7680,A,,10116.0,,50597,Intermediate,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,,CHEMBL626137,,1,1,,BAO_0000218,,
7681,A,,10116.0,,50597,Intermediate,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,CHEMBL626138,,1,1,,BAO_0000218,,
7682,A,,10116.0,,50597,Intermediate,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,CHEMBL626139,,1,1,,BAO_0000218,,
7683,A,In vivo,10116.0,,50597,Intermediate,C max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,CHEMBL626140,,1,1,,BAO_0000218,,
7684,A,In vivo,10116.0,,50597,Intermediate,C max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,CHEMBL626141,,1,1,,BAO_0000218,,
7685,A,,10116.0,,50597,Intermediate,C24h in rat p.o. at 20 mg/kg concentration,,CHEMBL626142,,1,1,,BAO_0000218,,
7686,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat muscle in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,CHEMBL627930,,1,1,,BAO_0000218,2385.0,
7687,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat muscle in the presence of 0.01 M Gd/0.05 M lig,,CHEMBL627931,,1,1,,BAO_0000218,2385.0,
7688,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat muscle in the presence of NAC Gd 0.01 M lig at 2 hr,,CHEMBL627932,,1,1,,BAO_0000218,2385.0,
7689,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat spleen in the presence of 0.005 M Gd/0.01 M lig at 2 hr,,CHEMBL627933,,1,1,,BAO_0000218,2106.0,
7690,A,In vivo,10116.0,,50597,Intermediate,Biodistribution in normal rat spleen in the presence of 0.01 M Gd/0.05 M lig,,CHEMBL627934,,1,1,,BAO_0000218,2106.0,
