ss_d,ss_rgnsm,b_frmt,tss_d,vrnt_d,cnfdnc_scr,ss_tss,chmbl_d,ss_ctgr,crtd_b,ss_tst_tp,dc_d,src_ss_d,rltnshp_tp,td,src_d,ss_strn,ss_cll_tp,ss_sbclllr_frctn,cll_d
7586,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618866,,Intermediate,In vivo,17509,,N,50597,1,,,,
7587,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618867,,Intermediate,In vivo,17509,,N,50597,1,,,,
7588,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL875828,,Intermediate,,6597,,N,50597,1,,,,
7589,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618868,,Intermediate,In vivo,17735,,N,50597,1,,,,
7590,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618869,,Intermediate,,6597,,N,50597,1,,,,
7591,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL618870,,Intermediate,In vivo,17670,,N,50597,1,,,,
7592,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL618871,,Intermediate,,1696,,N,50597,1,,,,
7593,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL618872,,Intermediate,,1742,,N,50597,1,,,,
7594,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL873816,,Intermediate,,17800,,N,50597,1,,,,
7595,,BAO_0000218,,,0,,CHEMBL618873,,Autocuration,,12923,,U,22224,1,,,,
7596,,BAO_0000019,,,0,,CHEMBL621602,,Autocuration,,11954,,U,22224,1,,,,
7597,,BAO_0000218,,,0,,CHEMBL621603,,Autocuration,,11954,,U,22224,1,,,,
7598,,BAO_0000218,,,0,,CHEMBL621604,,Autocuration,,11954,,U,22224,1,,,,
7599,,BAO_0000218,,,0,,CHEMBL621605,,Autocuration,,11954,,U,22224,1,,,,
7600,,BAO_0000218,,,0,,CHEMBL621606,,Autocuration,,11954,,U,22224,1,,,,
7601,,BAO_0000218,,,0,,CHEMBL621607,,Autocuration,,11954,,U,22224,1,,,,
7602,,BAO_0000218,,,0,,CHEMBL621608,,Autocuration,,11954,,U,22224,1,,,,
7603,,BAO_0000019,,,0,,CHEMBL621609,,Autocuration,,5237,,U,22224,1,,,,
7604,,BAO_0000218,,,0,,CHEMBL621610,,Autocuration,,4026,,U,22224,1,,,,
7605,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621611,,Intermediate,,5237,,N,50597,1,,,,
7606,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL621612,,Intermediate,,14793,,N,50597,1,,,,
7607,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622308,,Intermediate,,14793,,N,50597,1,,,,
7608,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622309,,Intermediate,,14793,,N,50597,1,,,,
7609,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622310,,Intermediate,,14793,,N,50597,1,,,,
7610,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622311,,Intermediate,,14793,,N,50597,1,,,,
7611,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622312,,Intermediate,,14793,,N,50597,1,,,,
7612,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622931,,Intermediate,,14793,,N,50597,1,,,,
7613,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL622932,,Intermediate,,14793,,N,50597,1,,,,
7614,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622736,,Intermediate,,14793,,N,50597,1,,,,
7615,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622737,,Intermediate,,14793,,N,50597,1,,,,
7616,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622738,,Intermediate,,14793,,N,50597,1,,,,
7617,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622739,,Intermediate,,14793,,N,50597,1,,,,
7618,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622740,,Intermediate,,14793,,N,50597,1,,,,
7619,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622741,,Intermediate,,14793,,N,50597,1,,,,
7620,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622742,,Intermediate,,14793,,N,50597,1,,,,
7621,Rattus norvegicus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622743,,Intermediate,,14793,,N,50597,1,,,,
7622,Mus musculus,BAO_0000218,1969.0,,1,Plasma,CHEMBL622744,,Intermediate,,11637,,N,50594,1,,,,
7623,,BAO_0000019,,,0,,CHEMBL624134,,Autocuration,,11149,,U,22224,1,,,,
7624,,BAO_0000019,,,0,,CHEMBL624135,,Autocuration,,10016,,U,22224,1,,,,
7625,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624136,,Intermediate,,17796,,N,50597,1,,,,
7626,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624137,,Intermediate,,17796,,N,50597,1,,,,
7627,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624320,,Intermediate,,17796,,N,50597,1,,,,
7628,Canis lupus familiaris,BAO_0000218,,,1,,CHEMBL624321,,Intermediate,,12923,,N,50588,1,,,,
7629,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624322,,Intermediate,,15372,,N,50597,1,,,,
7630,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624323,,Intermediate,,15372,,N,50597,1,,,,
7631,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624324,,Intermediate,,15372,,N,50597,1,,,,
7632,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624325,,Intermediate,,15372,,N,50597,1,,,,
7633,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624326,,Intermediate,,15372,,N,50597,1,,,,
7634,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624327,,Intermediate,,15372,,N,50597,1,,,,
7635,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL624328,,Intermediate,,15372,,N,50597,1,,,,
7636,Canis lupus familiaris,BAO_0000218,,,1,,CHEMBL627848,,Intermediate,,14169,,N,50588,1,,,,
7637,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL627849,,Intermediate,,14169,,N,50597,1,,,,
7638,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL627850,,Intermediate,,14258,,N,50597,1,,,,
7639,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL627851,,Intermediate,,14258,,N,50597,1,,,,
7640,Mus musculus,BAO_0000218,,,1,,CHEMBL627852,,Intermediate,,15011,,N,50594,1,,,,
7641,Mus musculus,BAO_0000218,,,1,,CHEMBL627853,,Intermediate,,15011,,N,50594,1,,,,
7642,Mus musculus,BAO_0000218,,,1,,CHEMBL627854,,Intermediate,,15011,,N,50594,1,,,,
7643,Mus musculus,BAO_0000218,,,1,,CHEMBL627855,,Intermediate,,15011,,N,50594,1,,,,
7644,Mus musculus,BAO_0000218,,,1,,CHEMBL627856,,Intermediate,,15011,,N,50594,1,,,,
7645,Mus musculus,BAO_0000218,,,1,,CHEMBL875339,,Intermediate,,15011,,N,50594,1,,,,
7646,Mus musculus,BAO_0000218,,,1,,CHEMBL627857,,Intermediate,,15011,,N,50594,1,,,,
7647,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627858,,Intermediate,In vivo,11195,,N,50597,1,,,,
7648,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627859,,Intermediate,,10130,,N,50597,1,,,,
7649,Rattus norvegicus,BAO_0000218,955.0,,1,Brain,CHEMBL627860,,Intermediate,,10130,,N,50597,1,,,,
7650,Rattus norvegicus,BAO_0000218,948.0,,1,Heart,CHEMBL627019,,Intermediate,,10130,,N,50597,1,,,,
7651,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL627020,,Intermediate,,10130,,N,50597,1,,,,
7652,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL627021,,Intermediate,,10130,,N,50597,1,,,,
7653,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627022,,Intermediate,,10130,,N,50597,1,,,,
7654,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL627023,,Intermediate,,10130,,N,50597,1,,,,
7655,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627024,,Intermediate,,10130,,N,50597,1,,,,
7656,Rattus norvegicus,BAO_0000218,2046.0,,1,Thyroid gland,CHEMBL627025,,Intermediate,,10130,,N,50597,1,,,,
7657,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627026,,Intermediate,,10130,,N,50597,1,,,,
7658,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627027,,Intermediate,,10130,,N,50597,1,,,,
7659,Rattus norvegicus,BAO_0000218,955.0,,1,Brain,CHEMBL627028,,Intermediate,,10130,,N,50597,1,,,,
7660,Rattus norvegicus,BAO_0000218,948.0,,1,Heart,CHEMBL627029,,Intermediate,,10130,,N,50597,1,,,,
7661,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627030,,Intermediate,,10130,,N,50597,1,,,,
7662,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL627031,,Intermediate,,10130,,N,50597,1,,,,
7663,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL627032,,Intermediate,,10130,,N,50597,1,,,,
7664,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627033,,Intermediate,,10130,,N,50597,1,,,,
7665,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL627034,,Intermediate,,10130,,N,50597,1,,,,
7666,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627035,,Intermediate,,10130,,N,50597,1,,,,
7667,Rattus norvegicus,BAO_0000218,2046.0,,1,Thyroid gland,CHEMBL627036,,Intermediate,,10130,,N,50597,1,,,,
7668,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL875340,,Intermediate,,10130,,N,50597,1,,,,
7669,Rattus norvegicus,BAO_0000218,948.0,,1,Heart,CHEMBL627037,,Intermediate,,10130,,N,50597,1,,,,
7670,Rattus norvegicus,BAO_0000218,2113.0,,1,Kidney,CHEMBL627038,,Intermediate,,10130,,N,50597,1,,,,
7671,Rattus norvegicus,BAO_0000218,2107.0,,1,Liver,CHEMBL627039,,Intermediate,,10130,,N,50597,1,,,,
7672,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627040,,Intermediate,,10130,,N,50597,1,,,,
7673,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL624663,,Intermediate,,10130,,N,50597,1,,,,
7674,Rattus norvegicus,BAO_0000218,2046.0,,1,Thyroid gland,CHEMBL625963,,Intermediate,,10130,,N,50597,1,,,,
7675,Rattus norvegicus,BAO_0000218,955.0,,1,Brain,CHEMBL876799,,Intermediate,,10130,,N,50597,1,,,,
7676,Rattus norvegicus,BAO_0000218,2048.0,,1,Lung,CHEMBL626133,,Intermediate,,10130,,N,50597,1,,,,
7677,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626134,,Intermediate,,10130,,N,50597,1,,,,
7678,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626135,,Intermediate,,6295,,N,50597,1,,,,
7679,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626136,,Intermediate,,6296,,N,50597,1,,,,
7680,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626137,,Intermediate,,6296,,N,50597,1,,,,
7681,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626138,,Intermediate,,6295,,N,50597,1,,,,
7682,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626139,,Intermediate,,6296,,N,50597,1,,,,
7683,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626140,,Intermediate,In vivo,17260,,N,50597,1,,,,
7684,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626141,,Intermediate,In vivo,17260,,N,50597,1,,,,
7685,Rattus norvegicus,BAO_0000218,,,1,,CHEMBL626142,,Intermediate,,17686,,N,50597,1,,,,
7686,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627930,,Intermediate,In vivo,9866,,N,50597,1,,,,
7687,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627931,,Intermediate,In vivo,9866,,N,50597,1,,,,
7688,Rattus norvegicus,BAO_0000218,2385.0,,1,Muscle tissue,CHEMBL627932,,Intermediate,In vivo,9866,,N,50597,1,,,,
7689,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627933,,Intermediate,In vivo,9866,,N,50597,1,,,,
7690,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627934,,Intermediate,In vivo,9866,,N,50597,1,,,,
7691,Rattus norvegicus,BAO_0000218,2106.0,,1,Spleen,CHEMBL627935,,Intermediate,In vivo,9866,,N,50597,1,,,,
7692,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627936,,Intermediate,In vivo,9866,,N,50597,1,,,,
7693,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627937,,Intermediate,In vivo,9866,,N,50597,1,,,,
7694,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627938,,Intermediate,In vivo,9866,,N,50597,1,,,,
7695,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627939,,Intermediate,In vivo,9866,,N,50597,1,,,,
7696,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627940,,Intermediate,In vivo,9866,,N,50597,1,,,,
7697,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627941,,Intermediate,In vivo,9866,,N,50597,1,,,,
7698,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL876800,,Intermediate,In vivo,9866,,N,50597,1,,,,
7699,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627942,,Intermediate,In vivo,9866,,N,50597,1,,,,
7700,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627943,,Intermediate,In vivo,9866,,N,50597,1,,,,
7701,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627944,,Intermediate,In vivo,9866,,N,50597,1,,,,
7702,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627945,,Intermediate,In vivo,9866,,N,50597,1,,,,
7703,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628584,,Intermediate,In vivo,9866,,N,50597,1,,,,
7704,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628585,,Intermediate,In vivo,9866,,N,50597,1,,,,
7705,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628586,,Intermediate,In vivo,9866,,N,50597,1,,,,
7706,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628587,,Intermediate,In vivo,9866,,N,50597,1,,,,
7707,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628588,,Intermediate,In vivo,9866,,N,50597,1,,,,
7708,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL628589,,Intermediate,In vivo,9866,,N,50597,1,,,,
7709,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625304,,Intermediate,In vivo,9866,,N,50597,1,,,,
7710,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625305,,Intermediate,In vivo,9866,,N,50597,1,,,,
7711,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625306,,Intermediate,In vivo,9866,,N,50597,1,,,,
7712,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625307,,Intermediate,In vivo,9866,,N,50597,1,,,,
7713,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL625308,,Intermediate,In vivo,9866,,N,50597,1,,,,
7714,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627740,,Intermediate,In vivo,9866,,N,50597,1,,,,
7715,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627741,,Intermediate,In vivo,9866,,N,50597,1,,,,
7716,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627742,,Intermediate,In vivo,9866,,N,50597,1,,,,
7717,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627743,,Intermediate,In vivo,9866,,N,50597,1,,,,
7718,Rattus norvegicus,BAO_0000218,178.0,,1,Blood,CHEMBL627744,,Intermediate,In vivo,9866,,N,50597,1,,,,
7719,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627745,,Intermediate,In vivo,9866,,N,50597,1,,,,
7720,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627746,,Intermediate,In vivo,9866,,N,50597,1,,,,
7721,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627747,,Intermediate,In vivo,9866,,N,50597,1,,,,
7722,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL876810,,Intermediate,In vivo,9866,,N,50597,1,,,,
7723,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627748,,Intermediate,In vivo,9866,,N,50597,1,,,,
7724,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627749,,Intermediate,In vivo,9866,,N,50597,1,,,,
7725,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL627750,,Intermediate,In vivo,9866,,N,50597,1,,,,
7726,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618728,,Intermediate,In vivo,9866,,N,50597,1,,,,
7727,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618729,,Intermediate,In vivo,9866,,N,50597,1,,,,
7728,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618730,,Intermediate,In vivo,9866,,N,50597,1,,,,
7729,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618731,,Intermediate,In vivo,9866,,N,50597,1,,,,
7730,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618732,,Intermediate,In vivo,9866,,N,50597,1,,,,
7731,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618733,,Intermediate,In vivo,9866,,N,50597,1,,,,
7732,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618734,,Intermediate,In vivo,9866,,N,50597,1,,,,
7733,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618735,,Intermediate,In vivo,9866,,N,50597,1,,,,
7734,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL876602,,Intermediate,In vivo,9866,,N,50597,1,,,,
7735,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618736,,Intermediate,In vivo,9866,,N,50597,1,,,,
7736,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618737,,Intermediate,In vivo,9866,,N,50597,1,,,,
7737,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618738,,Intermediate,In vivo,9866,,N,50597,1,,,,
7738,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618739,,Intermediate,In vivo,9866,,N,50597,1,,,,
7739,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618740,,Intermediate,In vivo,9866,,N,50597,1,,,,
7740,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618741,,Intermediate,In vivo,9866,,N,50597,1,,,,
7741,Rattus norvegicus,BAO_0000218,10000001.0,,1,Bone,CHEMBL618742,,Intermediate,In vivo,9866,,N,50597,1,,,,
