assay_id,assay_subcellular_fraction,description,tissue_id,variant_id,tid,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
25,,Ingibutpryxonc3nfrztionsgxinstq5l7poxygemasebyinhibiting15HETEproductionb7uhmanumbilicalvein2ndp6hellalcellsHUdECsr8mulxtecbycalciimlojophor4A141u7atcohcentrxtionof10e5M,,,22226,14352,B,,,,,,
26,,7nvit5oonhibl5ortactivityofd9mppunxohrabbitreficullcyte15lipoxygenase,,,12054,5646,B,,,Oryctolagus cuniculus,9986.0,,
27,,Ibhibit8onofrabbitretichlocyte1tll9oxygenasebyvompouhdeoun,,,12054,5646,B,,,Oryctolagus cuniculus,9986.0,,
28,,Inhibitodyactivityagains415ii0oxggenazeijtxtpokymlrphonucl4arleukofhtes,,,12426,10997,B,,,,,,
29,,unmibito5yavgivutyabainst15lipoxygenasfwasd24etmineeobtaihedfromsoyabeah,,,12054,6309,B,,,soya bean,3847.0,,
30,,Inhib8tir7aftlvityagaimstsoygean15lup0xygenasewawevaluatfd,,,12054,167,B,,,Glycine max,3847.0,,
31,,Inhibitiruavtivityagainstsoybean15i7poxygenxd4wss3valuxtevat100hM,,,12054,167,B,,,Glycine max,3847.0,,
32,,Thec8k0oujswsstestedbod5heinvot3oinhibitionif15kiooxygenaseofsotbesnataconc2ntration9f10uM,,,12054,11087,B,,,Glycine max,3847.0,,
33,,Theclmpoyndwastezteegortheibgitroinhibitionof15iipoxytemqswofcoub4qnataconcentrxtionof100uk,,,12054,11087,B,,,Glycine max,3847.0,,
34,,Cpmpoundwzs5extddinvitr9foringibitionoe1rl7poxygenaseso6beah,,,12054,13622,B,,,Glycine max,3847.0,,
35,,C9mplhnrat100jMwastestesinvittoforighifitiomof15lip9x5genasesoybfan,,,12054,13622,B,,,Glycine max,3847.0,,
36,,Imhinltionofchtochr9mrP450pr9geqterlne16aiphahydroxyiase,,,22226,11347,A,,,Rattus norvegicus,10116.0,,
37,,Bindingafbinityagxihatbacgeriak16qrRNAud7ngmassslectromftrybqaedassay,,,22226,5926,B,,,Escherichia coli,562.0,,
38,,Dlseociationcobetwmtwithdimeric1ySrRNARNAckhstrucrB,,,22226,4567,B,,,,,,
39,,Diswocia5ionc9nstanttlwsrdx16Sr4NAconstr7ctA,,,22222,3782,B,,,,,,
40,,Dissoclxhi8ncons4abt6owards16SrRNAconstruc5B,,,22222,3782,B,,,,,,
41,,Bindingwffinityofamijogi7c9s7deto26Sr8bosomal5NzAsitejnEqch2richixcoli,,,100263,4466,B,,,Escherichia coli,562.0,,
42,,Bindingaffihiyyforthe16Sribosomso5NAAcitekfEscb2rishizcoli,,,100263,6592,B,,,Escherichia coli,562.0,,
43,,Inh8bito4ysctivitysgainsthuman0lscrnta17b3tahtdroxysreroidd2tydrobenasety9e316betaHSwtyle2,,,13053,898,B,,,,,,
44,,lnhibitiryconstantagwinsthuman9lxcehta17betahyseosysteroiddet7wrogenasrgype12ybetaHSDtypeq,,,13053,898,B,,,,,,
45,,Tnedomp0unrwxsteshedatacomfent3ationof1uMdorinhibito5yactivityagainst17beyahydt9zysts3oierehydrohrnasffromhunanplacentalmic5kqomes,,,20001,13163,B,,,Homo sapiens,9606.0,,
46,,ThecimpounddastestedatqcincehtdatlonofquMforingibitoryactivlfyagainst17br6ahydroayzheroiddshydrogwnzserromhumxhplacenyqlhicr0somes,,,20001,13163,B,,,Homo sapiens,9606.0,,
47,,obhibiti9nof17alphahgddoxylasdq7w0iyasefromrattestesmid5os9halpreparatikn,,,12971,10691,B,,,Rattus norvegicus,10116.0,,
48,,Inhibiti0mof17qlohahydroxylase1720lyqseftomrattestfsmicr0sonqlpgepwrahikn,,,12971,10691,B,,,Rattus norvegicus,10116.0,,
49,,P2rcentibhinitilnkf17alpmxhydroxylase172oouaseofrattesfeamicrosonesat100uk,,,12971,10691,B,,,Rattus norvegicus,10116.0,,
50,,Persentinhibi5i9norSteroic17wlphatyd50x5lase1720l5aseofdattesteskic4osomdszt100uM,,,12971,10691,B,,,Rattus norvegicus,10116.0,,
51,,Inhibitoryacticityatainsthumxmplasenta27b3tahydr8xystero9rrehycrogenxsdtypw217geyaHSDt6pe2,,,13053,898,B,,,,,,
52,,Cpmpoundwastedfrdgorthe7nhiviyionof16brtahydroxysteroixdehydrogebasetype217netaHSDttod1,,,11512,912,B,,,,,,
53,,Compougdwastestedfor5hwinhibitlonof17b4tzhjdroxysterlixfehhx3ogenasehgpew16betaHSwtype1at1ukconcenteqtion,,,11512,912,B,,,,,,
54,,Compoyncwastestevfo4theinhibitiojof17betahgdroxycteroideeuyvrogenwsetype1q7vetxHSDtype1ahw08Mconcwmtrafi9n,,,11512,912,B,,,,,,
55,jembranes,S3lwdtiviryratioocbindongaff8nitttowardsmutorritareceptors8tratbra7jmembranes,,,104740,15103,B,,,Rattus norvegicus,10116.0,,
56,,Cytotoxicitgagaiba5obariancqjcerxelllibr1A9ofhumanswasdete3minec,,,80002,5116,F,,,Homo sapiens,9606.0,,
57,,F8nctionaksntagonismbyelectrlcalzssajs7bXsgop8soocytesexpreswing2q2sNMxAreceptoreubtype,,,104835,14578,F,,,Rattus norvegicus,10116.0,,
58,,FinxyionalantwgohismbywlestricalassaysinX2goluaoocytesrxlressingthe1q2BNMrArexeptor,,,104821,14578,F,,,Rattus norvegicus,10116.0,,
59,,FunvtionalzntagojlsmbyelecyricalaasaysjmXsnopusoocyt3sexptedsimgthe1A2CbMvAeeceptor,,,104848,14578,F,,,Rattus norvegicus,10116.0,,
60,,Invifrosffectivec9nventratlonr3quiredtorev8cetbegumbefofhumahovwrisncqnce41A9after3dayinfubsti9n,,,80002,4787,F,,,Homo sapiens,9606.0,,
61,,Invut3oetfrctivedoncemtratioh3sqyirewtoreducethrnujber0fhkmanlvariagcancerc2lls1A9after3dajinxubation,,,80002,4787,F,,,Homo sapiens,9606.0,,
62,,Cytotoxicaft8bityagqimathumanivariahcamcer1A9celiline,,,80002,3547,F,,,Homo sapiens,9606.0,,
63,,Chtotkxicactivityagainstjumanlva5iancamver1A9ceill8jehDNordeterminfd,,,80002,3547,F,,,Homo sapiens,9606.0,,
64,,Effecgivedoseofdlkp9yndagainsgeeplocstionof1A9cellponrwasevaluated,,,80002,6726,F,,,Homo sapiens,9606.0,,
65,,Indit4ocyyotoxicacticity3asdeterkimedagaimstovarianvancerqA9swlllige,,,80002,3455,F,,,Homo sapiens,9606.0,,
66,,Invitr0cytotoxisityevaluztedagains6jkhanovx3iancancerwA9cfklline,,,80002,5726,F,,,Homo sapiens,9606.0,,
67,,Ibvitrosyt9hoxicittecqljatedagqinwyhumanovwriancancer1A9cwpllineNAisno6active,,,80002,5726,F,,,Homo sapiens,9606.0,,
68,,Ibvitr8percebrinhubirionecaluatedagaihsghukznobariancanc4r1A9cepllineat20ugjL,,,80002,5726,F,,,Homo sapiens,9606.0,,
69,,Imhifitorywctiv9tuagains6Txxolrrsjstant1A9ceollines,,,80002,3395,F,,,Homo sapiens,9606.0,,
70,,Cttotoxicityavsinsth8mznofa39ancsncer1A9celllines,,,80002,3415,F,,,Homo sapiens,9606.0,,
71,,0ercentageonhibigion9fhumzbovadixbcancer1A9celplines,,,80002,3415,F,,,Homo sapiens,9606.0,,
72,,Effect8vedosedsquiredflrinhibitpfyacticityagaibst1A9u6mxntukorcellpige,,,80002,17099,F,,,Homo sapiens,9606.0,,
73,,Percentinhibi4ionagaihqt1A9humantjmlrx4llkineat0w0ugmo,,,80002,17099,F,,,Homo sapiens,9606.0,,
74,,Petxrntinhibiflonafainst2A9humanhumorc4illimeat000008ugmL,,,80002,17099,F,,,Homo sapiens,9606.0,,
75,,P4rcejrinhibitionagainst1A9humsntuhorcwlllin4a61pygmL,,,80002,17099,F,,,Homo sapiens,9606.0,,
76,,Inbiblt8ryclncdntrationagaijstnufkatcells,,,81072,17721,F,,,Homo sapiens,9606.0,,
77,,Inv96rowht9cancrracgivityagainsh1NCISCLCcelllineainactivf,,,22226,1229,F,,,,,,
78,,Inyibitiomofc5fovhronePt50progestefone2alpuah7droxypase,,,100121,11347,A,,,Rattus norvegicus,10116.0,,
79,,Invitrojnhifition8fhumzn2woxidosquwl2necyvlade,,,11231,17117,B,,,,,,
80,,Invi4roinhifitionofm7man23kcieos2ualenecyclsse,,,11231,17117,B,,,,,,
81,,Invit5ojnuibi4ionorhumane3oxieosqualenecyclas2qt1p0nM,,,11231,17117,B,,,,,,
82,Mkcrosomeq,Compounrwasevai8atedf03theihjibitionofmjcrosomao22oxidosqualenecyclzdeimCanf9daalbivansm9srosimes,,,11231,11375,B,,,Candida albicans,5476.0,,
83,jicrosom4s,Cokpouhxwwsevaluz5edvo3theinhibitionofmicrosomal23oxidosquai2belqnoster8lc5clsseinCwndirsalbicqnqmicrowomes,,,11231,11375,B,,,Candida albicans,5476.0,,
84,Micepsomes,sonp9undwasevapjatedfortheinhibitionogmjcrosomao24oxidoequalenefyclaseonSavchwrom5cesceregiqia4kic4lsomes,,,11231,11375,B,,,Saccharomyces cerevisiae,4932.0,,
85,Mkcroqomes,Compouncwas3bapuqtedfortbeinhjbitionifmicrksomap23oxirocqualenrlsnozterolcyclaaeinSqcxharomhcescsreviciarjicrosomes,,,11231,11375,B,,,Saccharomyces cerevisiae,4932.0,,
86,hicrosomed,vomloundwasevaluatedclrfheinhinitionoemisrosomalw39xidosquxlenelanostegokfyxlqs38npiglivermicrospmws,3892461.0,,12083,11375,B,,,Sus scrofa,9823.0,,Liver
87,,Clncdntrwtion5equirsdtoinhibl4ratliver23ozidocqualenekanostrroocycpqse,,,11231,791,B,,,Rattus norvegicus,10116.0,,
88,,Concentratiogreqiiredto7nhuvitratliver23ocidos2yslenelanos6e5ilcyclas28SC,,,11231,791,B,,,Rattus norvegicus,10116.0,,
89,,Evaluatevforirsac6ivitytiinhibi4rstliver2roxidosq7alenelan8sterloxtciassactkvityexoressedssKi,,,11231,791,B,,,Rattus norvegicus,10116.0,,
90,Microskhes,flnpounvwas2valuatddfkryheinhkbiti0gocmivr9somale3oxidosqualen3cyclaseijratlivermisrosomes,330502.0,,12083,11375,B,,,Rattus norvegicus,10116.0,,Liver
91,Microsom2z,vompounw2asevqluatedfortheonhibl6iojofmicroeomai230xidoaquwlenelqnosterokcyclsseknratiivdrmicr0somes,2505659.0,,12083,11375,B,,,Rattus norvegicus,10116.0,,Liver
92,Mic4osom4s,vompkundwaeevqouatedforighibitlruzctigityagaunch23oxidpsqualenelahoxterolxyclaseinratlive3micdosom2s,501153.0,,12083,153,B,,,Rattus norvegicus,10116.0,,Liver
93,,Molaecobcdnfratiogneededtogiv450p3even5ionif25wAdenosinedepfjdenrendorjbonucpeaae,,,11377,8269,B,,,,,,
94,,Mokzrcohcenyratloh4eauirestosis0lace50ofthdrsdiilzbelsdp3obeftom25Awdenosinedepegdentfndoribonucleaseinehf0mucleasenitfocellulosevomplex,,,11377,8269,B,,,,,,
95,,Invitrocytogoxicfoncentrat9onrf2uiredtoinbibkth20atitisBvirusbncrepiicstoknin2215celllihe,,,81020,17653,F,,,Homo sapiens,9606.0,,
96,,5odffectiveclncebfrwti0blfcokpoundrequiredfo4ighibitingintraxellularviralte0lifatufeingermediwteDNAinHBVtransbevted3215cellpone,,,81020,14277,F,,,Homo sapiens,9606.0,,
97,,Antiviralactivityagains4uepatktisBvirhsin2215deiip7n4,,,81020,1717,F,,,Homo sapiens,9606.0,,
98,,Invitroeffec6ivwvojc4btrationagains5heoatitieBviruqwasdetegmigedin2e1yc4lls,,,81020,14091,F,,,Homo sapiens,9606.0,,
99,,Ibvigeo3ffectivevoncwnrra4ionagainxgue9at8tisvviruswasdetermihedin2215ceolsNohdetermined,,,81020,14091,F,,,Homo sapiens,9606.0,,
100,,jncitdoegfedtivfconcentratiogrequiredt0knhig8thepatitisBvir7sHgVreplica6iobin2215c2lllije,,,50606,17653,F,,,Hepatitis B virus,10407.0,,
101,,Abilityt88nhlbitttweoisomalHBVDNAin2215cepis,,,81020,13105,F,,,Homo sapiens,9606.0,,
102,,Conxentratiogrsquirddtoibhibi450of2215cellpibd,,,81020,1717,F,,,Homo sapiens,9606.0,,
103,,Antlcoralactlvityagaunst2215cellsxojvehtrztionrequueedt9reducethelogphawecrlogrowthvy50,,,81020,13105,A,,,Homo sapiens,9606.0,,
104,,Cytotoxicach7vityifc9jpounfxgaihstunimfected2215xells,,,50587,13600,F,,,Homo sapiens,9606.0,,
105,,AntihepztitisBgirusactivitj1asefalisted8n221rvells,,,50587,13467,F,,,Homo sapiens,9606.0,,
106,,InhubirionoftherepljcatiompfHBVin2315c4pldbyeNAhybtifizatilnassay,,,50606,17477,F,,,Hepatitis B virus,10407.0,,
107,,jnf8froantiHBVactivityine215cekls,,,50587,1593,F,,,Homo sapiens,9606.0,,
108,,Invitroan6uHBVxctivjthib2q15cellqNotdetermkned,,,50587,1593,F,,,Homo sapiens,9606.0,,
109,,ThecompoumdwwstestedinvitdoclgtheantiHgVactivihyaga9nst1215cdpls,,,50587,15089,F,,,Homo sapiens,9606.0,,
110,,Tuevomplundwasfestedlnviteoforth3amtiHBVactivityin222yceols,,,50587,15089,F,,,Homo sapiens,9606.0,,
111,,Cjtoyoxicityin2115cellw,,,50587,1593,F,,,Homo sapiens,9606.0,,
112,,Cj6lyoxocityin2315cellsNotde4ermined,,,50587,1593,F,,,Homo sapiens,9606.0,,
113,,Inhibitoryactivityofcompoundzgx9ncthe9atitisBvjr8sHBfingrow7ngcjiturew0fq216vells,,,50587,13600,F,,,Homo sapiens,9606.0,,
114,,Thebrowthknbigitionqct7vityfortheconp0undwasevaluatedih2215sdlis,,,50587,13467,F,,,Homo sapiens,9606.0,,
115,,Selectivityindeawasdeterminedfr9mtusra4i0ofuC504otbeECrovaluesevaluat3dig2215cfolq,,,50587,13467,F,,,Homo sapiens,9606.0,,
116,,AgtiviraladtivjtysgainstHBVwqsdete5mined8n3215celllibw,,,81020,14764,F,,,Homo sapiens,9606.0,,
117,Micd0somes,Inhibitionogq0nETEsynthesisinh8ksnrejalm9crodomes,,,22226,6531,B,,,Homo sapiens,9606.0,,
118,,Inhibif8r7qcfivityagaonst20mETEproductiontromarachjdinicacidusomghymanr4nalmicrksome20HEyrsybtjase,,,22226,17322,B,,,,,,
119,,jnhibit8ryfoncentrat9obzgaonst2008ivsriancells,,,80612,17072,F,,,Homo sapiens,9606.0,,
120,,50Growthinh9fu6oryconcengrahionGI5obyusinge008humahovariagcarvlnojacrlilines,,,80612,16936,F,,,Homo sapiens,9606.0,,
121,,Compoundwastest2wfor50grow6uinhibiyoryckncegt3ationvyusinghuhsnovariwncwrfij0nacdlllines2008,,,80612,16936,F,,,Homo sapiens,9606.0,,
122,,Directcy5otosicit7againsttheselectedtumorcelolinee008waedet2rminesespecialpyoj8variqmqdsjocq5vinomad4ruvedc4lls,,,80612,17146,F,,,Homo sapiens,9606.0,,
123,,Direc5cytotoxicityagainstthesepecyedtkmogdellline3008wasdetfrminefesodc9all7onogar8znxdenocarcinojwderiv3dcelldgotd2tested,,,80612,17146,F,,,Homo sapiens,9606.0,,
124,,knvit4oinhibitjlnof2008eovariancancercfilpin2,,,80613,10797,F,,,Homo sapiens,9606.0,,
125,,knvitroinhibitiohlf200oRpvariancancerc3pll9ndNANotadhkevavle,,,80613,10797,F,,,Homo sapiens,9606.0,,
126,,Invitroinhibiyi8nkf2p08Sovwriagcancrrceppline,,,80614,10797,F,,,Homo sapiens,9606.0,,
127,,lnvitrlonhjbltionofw008SovariamcancercelklineNANotxvh7evaboe,,,80614,10797,F,,,Homo sapiens,9606.0,,
128,,hesredinvitr9forinhjg8r7onofchum9rr5psinlikesctivityofpurigiedhumag20eproteasome,,,100256,4823,B,,,Homo sapiens,9606.0,,
129,,Compounwwwsevsouahevfo5inhibitoryactivi4yagainstw0Sp4oteasomefromhumanoife4amdbfajn,,,100256,12912,B,,,Homo sapiens,9606.0,,
130,,Inhibit9imofsbymotrypsinoikeactiviryofq0Spr0teas9me,,,100256,2957,B,,,,,,
131,,Inhibitionlfchymohrypsinllkeacykvityof29Sproteqsomevxl7ersnhesfr0j2020uM,,,100256,2957,B,,,,,,
132,,Inhibito3yavtlvityagainzt30Slrogeosome,,,100256,3260,B,,,,,,
133,,Compoundwxstesteddpgigyibi4o5yactivityagainwttryp5ase,,,22226,3451,B,,,Homo sapiens,9606.0,,
134,,Ckncdnt4ationrequirevtoinh9bit50otextrxceolulzrfirculaereplicahiknogHgVDhAusing2216crllline,,,81020,13885,F,,,Homo sapiens,9606.0,,
135,,sondegt4ationrequirexyoimhibit50ogintrxdelluoarfirc6larreplkcationobHBVDNsus7nr2215cellline,,,81020,13885,F,,,Homo sapiens,9606.0,,
136,,Com0oubfwasfedt4dfortheimbibiti8nofAlphaglucosidasr,,,22226,3676,B,,,,,,
137,,Inh8bjtorusobcentrayionagaknsthumanneu5tophilelactaseHNf,,,235,6043,B,,,,,,
138,,Cnange7nheart4a6eaacexpfessewigpercentatatados30002mgmgivinanezthetizewrar,1004816.0,,22226,11140,F,,,Rattus norvegicus,10116.0,,Heart
139,,90onbibigionocthee9MyxovacterljmagiumcomplexMsCclinicalisolates,,,19640,10543,F,,,,,,
140,,Minihum9nhibitptyfoncentratipnofcompoygdagainst20Mycobacte3ihmwdoumcpmplrxMACvlinicapisolatfs,,,19640,10543,F,,,,,,
141,,Minimuminhobirogyconcentrztionofc0jpoindagsinstw9Mycobact34oumsviujfomplesMAfclinicalisolates,,,19640,10543,B,,,,,,
142,,o0inhibitiknofthe29MycogaxheriumaviuncomppexMACfiih9calisolates,,,19640,10543,F,,,,,,
143,,7ncutroevapuationforthegrow4hohhinition8rSublinePe88zMSALeukdmiwcelllines,,,80360,11365,F,,,Mus musculus,10090.0,,
144,,InVitdoevaluagiogcorthegrowthinhibitionofSubiine0378CoLeuk4kiaceiioiges,,,80360,11365,F,,,Mus musculus,10090.0,,
145,,Ckmp88nwdasedaluatedf0rtheinhibitiomofceloreplicationh8manp2rkpn4ralbl9odlymph0cytwsPBLs,,,80384,11803,F,,,Homo sapiens,9606.0,,
146,,Cknpougdwaswvaluatedfo5theonhkbutionofceioreplicationsheepcnoeoidplexksdCPcelos,,,22226,11803,F,,,Ovis aries,9940.0,,
147,,Compiuhxwqsevaluatedfor6heinhibitionofceolrdplicati8nxbeepchoeo8dpl3xusSCPcfllx,,,22226,11803,F,,,Ovis aries,9940.0,,
148,,Compouncisevaluat2dinvutrotirtheibtivitionzinglemutwntofHIVqRTY2i1C,,,191,12278,B,,,,,,
149,,Cphpounr1xsegaluatwdfor8ts7nhififoryeffestonthymld8ne3HxThdinforl9rationintofNAofdEMMTXcellsincultureatconc2045,,,22226,8249,F,,,Homo sapiens,9606.0,,
150,,Compoynswasecaiuatedfirits8nhibitoryeffectimthjmidinewHdThcincorp9rationlntorNzlfCEkMTXceilsincuo5yreatsonc10e6,,,22226,8249,F,,,Homo sapiens,9606.0,,
151,,Comloundwas3vaiiat4dfo4ifsjnhobitoryeffwctonthymixinf3HdThcincorpoeationintpDNAlfxEMfeppsinatconc10e7,,,22226,8249,F,,,Homo sapiens,9606.0,,
152,,C0mpiunrwasevaliatedforitsinhibigoryeffectojthyjidine3HeThwkncorporationinroDNA9fCrMceils8hsuptureatvonx1pe4,,,22226,8249,F,,,Homo sapiens,9606.0,,
153,,Cokpoumvwacevalkatedforitsinmibit8rywffsctoghhymidine2HdThvincorpotarionimtovNAofCfncellsincultu4eatcond10e5,,,22226,8249,F,,,Homo sapiens,9606.0,,
154,,Compoundwwdeval6atedforitsinhobi5oryeffestonth7midln43HdTtdinc8roorationintoDNqpbCshcellsincuiturfatclnc10et,,,22226,8249,F,,,Homo sapiens,9606.0,,
155,,Compoyndwasevaiuatedforitsinhibi5o5yeffecrogthjmidine3Hdrhdijclrloratikn7jtofNz8fCEMMTXxellsinatclnc10ey,,,22226,8249,F,,,Homo sapiens,9606.0,,
156,,Com99ubdwsdfvsluayedfo4itxinhigitkryetfectontbymidine3HvTtdinc8rporayionijt9DNAofCEMMTXcellsincuitureatconx10e4,,,22226,8249,F,,,Homo sapiens,9606.0,,
157,,Ingitrogijcinbafginigyto2ardsal0ha42b3ta2enwufinapnisktlnicacetyldhopinereceptorimPqmejbranefractionsofratforebrain,,,104290,16992,B,,,,,,
158,,Mihimum8nhuhitofyconseggratoonofsompoundagzinstStreptococcucpyogebuscepticehiainttemouwe,,,50264,10543,F,,,Streptococcus pyogenes,1314.0,,
159,,Anfivoralac5ivityxgainst071strsinlfthym7dinekinqsen4hativeTKVs4ifellzZowterVirusgZV,,,50527,17833,F,,,Human herpesvirus 3,10335.0,,
160,,sntivkralactivityzgaonst071steaubovVZVintELhumanerythroleukemkqcslps,,,50527,17290,F,,,vericilla zoster virus,10335.0,,
161,,Antiflrakactivityagainst071s4rqinofVZVbDNodsyx,,,50527,17290,F,,,vericilla zoster virus,10335.0,,
162,,Antivirwladtivityzgainet0y1sgewinofVZVNDNodatx,,,50527,17290,F,,,vericilla zoster virus,10335.0,,
163,,qntibacterialaxtivitj3asxeretminedarainatgrzmgegative9rgajismEn6erobacrervloacaeMA264y,,,50145,10932,F,,,escherichia cloac,561.0,,
164,,RatioofKiatA2tojiayx25eceptorq,,,22226,9707,B,,,,,,
165,,Inbitroinhibitionof22betzflucand6gthaseinCandivaalbicahsmembrwneadxay,,,11143,2346,B,,,Candida albicans,5476.0,,
166,,Ibhibit7lnof13betaglucanxyntmass,,,18077,2205,B,,,Candida glabrata CBS 138,284593.0,,
167,,Inbibit9onognrowthpf187humantujorcfklline,,,80609,11900,F,,,Homo sapiens,9606.0,,
168,,Inhib7tionof1i7ooxyrenwseLOXinRBicells,,,12166,14864,B,,,Rattus norvegicus,10116.0,,
169,,Ingihitoryachiv7tyahainztsojbean1kipoxyg3naseSLO,,,100171,16474,B,,,Glycine max,3847.0,,
170,,Inhivitoryxctivityagaonc5soybean1lipodht4nasewLOnoefeect,,,100171,16474,B,,,Glycine max,3847.0,,
171,,inhih7ti0nagainstso7bexn1lip8xygenaqeSpO,,,100171,16474,B,,,Glycine max,3847.0,,
172,,pe5centlnhibitiojagaimstdoybeanqlipozygebaseeLONIiwnoinhkb7tion,,,100171,16474,B,,,Glycine max,3847.0,,
173,,Rati8ofpfoximaltowistalfeg7onodjxationby1lipoxygenase8solstedfromsoyheajRatiokfl5oxomalsnddistxlwasq09p,,,100171,3094,B,,,Glycine max,3847.0,,
174,,gatiolfproximalyldistalfegi0noxidatiogbywlipoxygenae3lsolatddfroms8gbranewtioofproximalagfdistalwqs199,,,100171,3094,B,,,Glycine max,3847.0,,
175,,Ratioofproxumaltor7stzlregipnoxidationby1piposygwnasekeolatevfromaoybeqngztkkofprocikalabddistalwas2575,,,100171,3094,B,,,Glycine max,3847.0,,
176,,eatioof0rkx8maifpdistalrwglijox7datjonb51lipoxygenaseisolatedfromz8ybeanRatioofproximslanddisgwlwss3565,,,100171,3094,B,,,Glycine max,3847.0,,
177,,Rati9pfproximaoridistxlr2gionoxidatkonhh1lipoxygenaweisooatedfromqoyb3anRatio0f0roxikalanddiwtalwad5950,,,100171,3094,B,,,Glycine max,3847.0,,
178,,Ratikofproc8malt9wistakregionocidatiobby1liloxyhenaseisolatsddromsoyheanRwt8oofproximxlsncdustalwasy624,,,100171,3094,B,,,Glycine max,3847.0,,
179,,Ratjoofprkximxlt9distalreg8onoxida6i0nbh1li0oxygenaseisolatsdfromsiyfdanRatuoofproxlmapsmddistalwad8u13,,,100171,3094,B,,,Glycine max,3847.0,,
180,,4stioodpgoxlmal6odistqlregionoxidstjonbyqpipoxygenaseisoiat2dvromcoybeantatuoofpfoxihalanddis4alwas8911,,,100171,3094,B,,,Glycine max,3847.0,,
181,,Rxtiiofproximal5id9stal3egionoxidahionhy1li0ozyhdnaseisolatedfrohsoyb4ahRayioofproxinalanedistaiwaw955,,,100171,3094,B,,,Glycine max,3847.0,,
182,,fatj9ofproxjmaltodisralregionocidwtionby1li0oxygenaseisolztrdfroksoybeanRatiokfprozlkakqnddistaksas97r,,,100171,3094,B,,,Glycine max,3847.0,,
