assay_id,src_id,assay_type,bao_format,assay_tax_id,doc_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction
151,1,F,BAO_0000219,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,Homo sapiens,,,CCRF-CEM,
152,1,F,BAO_0000219,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,Homo sapiens,,,CCRF-CEM,
153,1,F,BAO_0000219,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,Homo sapiens,,,CCRF-CEM,
154,1,F,BAO_0000219,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,Homo sapiens,,,CCRF-CEM,
155,1,F,BAO_0000019,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,Homo sapiens,,,,
156,1,F,BAO_0000019,9606.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,Homo sapiens,,,,
157,1,B,BAO_0000249,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,,
158,1,F,BAO_0000218,1314.0,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,Streptococcus pyogenes,,,,
159,1,F,BAO_0000218,10335.0,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,Human herpesvirus 3,,,,
160,1,F,BAO_0000218,10335.0,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,vericilla zoster virus,,,HEL,
161,1,F,BAO_0000218,10335.0,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,,vericilla zoster virus,,,,
162,1,F,BAO_0000218,10335.0,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,,vericilla zoster virus,,,,
163,1,F,BAO_0000218,561.0,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,escherichia cloac,,,,
164,1,B,BAO_0000019,,9707,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,,
165,1,B,BAO_0000249,5476.0,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,Candida albicans,,,,
166,1,B,BAO_0000357,284593.0,2205,"Inhibition of 1,3-beta-glucan synthase",,,Candida glabrata CBS 138,,,,
167,1,F,BAO_0000219,9606.0,11900,Inhibition of growth of 1-87 human tumor cell line,,,Homo sapiens,,,1-87 tumor cell line,
168,1,B,BAO_0000219,10116.0,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,Rattus norvegicus,,,,
169,1,B,BAO_0000357,3847.0,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,Glycine max,,,,
170,1,B,BAO_0000357,3847.0,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,Glycine max,,,,
171,1,B,BAO_0000357,3847.0,16474,% inhibition against soybean 1-lipoxygenase (SLO),,,Glycine max,,,,
172,1,B,BAO_0000357,3847.0,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,Glycine max,,,,
173,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,Glycine max,,,,
174,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,Glycine max,,,,
175,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,Glycine max,,,,
176,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,Glycine max,,,,
177,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,Glycine max,,,,
178,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,Glycine max,,,,
179,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,,Glycine max,,,,
180,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,,Glycine max,,,,
181,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,,Glycine max,,,,
182,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,,Glycine max,,,,
183,1,B,BAO_0000357,3847.0,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,,Glycine max,,,,
184,1,B,BAO_0000019,10090.0,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,,,Mus musculus,,,,
185,1,F,BAO_0000219,10090.0,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),,,Mus musculus,,,C3H 10T1/2,
186,1,F,BAO_0000019,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,,,,,,,
