Fiscal year,Organisation name,Division name,Amount spent,Desertification (marker),Programming process (new),Division ID,Project Browser country ID,Regional program (marker),PBA type,Untied amount(Project-level budget),Participatory development and good governance,FSTC percent,Gender equality (marker),Sector percent,ICT as a tool for development (marker),Branch name,Organisation sub-class,CountryRegion name,Section name,CIDA business delivery model (old),Continent ID,Section ID,Organisation type,Status,Project number,Maximum CIDA contribution (project-level),Branch ID,Fund centre ID,Fund centre name,IRTC percent,CFLI (marker),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Trade development (marker),Biodiversity (marker)
2009/2010,Cowater International Inc.,EDD Europe-Middle East Programming,73931.99,0,Uncoded: Pre-APP,D3100,EG,0,Not PBA,0.0,1,1.0,0,0.2,1,"EGM Europe, Middle East and Maghreb",CONSULTING SERVICES,Egypt,Middle East and North Africa,Directive,2,S4256,Canadian Profit Making,Closed,A019608001,16700508.62,B3100,4263,Egypt,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,EDD Europe-Middle East Programming,114.33,0,Uncoded: Pre-APP,D3100,DZ,0,Not PBA,0.0,0,0.998334353,2,1.0,0,"EGM Europe, Middle East and Maghreb",FEDERAL,Algeria,Middle East and North Africa,Directive,2,S4256,Canadian Non-Profit Making,Closed,A020161001,328400.96,B3100,4259,*Algeria,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,NDD Americas Programming,103009.4,0,Uncoded: Pre-APP,D4400,HT,0,Not PBA,4000000.0,1,1.0,3,0.2,0,NGM Americas,FEDERAL,Haiti,Ha�ti & Dominican Republic Section,Directive,1,S4449,Canadian Non-Profit Making,Closed,A020195001,4610501.0,B4400,4452,Haiti,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,NDD Americas Programming,412037.6,0,Uncoded: Pre-APP,D4400,HT,0,Not PBA,4000000.0,1,1.0,3,0.8,0,NGM Americas,FEDERAL,Haiti,Ha�ti & Dominican Republic Section,Directive,1,S4449,Canadian Non-Profit Making,Closed,A020195001,4610501.0,B4400,4452,Haiti,0.0,0,1,0,0,0,0,0
2009/2010,Parliamentary Centre,WED Southern & Eastern Africa,799.502,0,Uncoded: Pre-APP,D4270,ET,0,Not PBA,0.0,1,1.0,2,0.2,0,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,Ethiopia,"Ethiopia, PanAfrica, SubRegional",Directive,2,S4227,Canadian Non-Profit Making,Closed,A020222001,4229943.14,B4200,4229,Ethiopia,0.0,0,1,0,0,0,0,0
2009/2010,Parliamentary Centre,WED Southern & Eastern Africa,799.502,0,Uncoded: Pre-APP,D4270,ET,0,Not PBA,0.0,1,1.0,2,0.2,0,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,Ethiopia,"Ethiopia, PanAfrica, SubRegional",Directive,2,S4227,Canadian Non-Profit Making,Closed,A020222001,4229943.14,B4200,4229,Ethiopia,0.0,0,1,0,0,0,0,0
2009/2010,Parliamentary Centre,WED Southern & Eastern Africa,799.502,0,Uncoded: Pre-APP,D4270,ET,0,Not PBA,0.0,1,1.0,2,0.2,0,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,Ethiopia,"Ethiopia, PanAfrica, SubRegional",Directive,2,S4227,Canadian Non-Profit Making,Closed,A020222001,4229943.14,B4200,4229,Ethiopia,0.0,0,1,0,0,0,0,0
2009/2010,Parliamentary Centre,WED Southern & Eastern Africa,799.502,0,Uncoded: Pre-APP,D4270,ET,0,Not PBA,0.0,1,1.0,2,0.2,0,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,Ethiopia,"Ethiopia, PanAfrica, SubRegional",Directive,2,S4227,Canadian Non-Profit Making,Closed,A020222001,4229943.14,B4200,4229,Ethiopia,0.0,0,1,0,0,0,0,0
2009/2010,Parliamentary Centre,WED Southern & Eastern Africa,799.502,0,Uncoded: Pre-APP,D4270,ET,0,Not PBA,0.0,1,1.0,2,0.2,0,WGM Sub-Saharan Africa,SPECIALIZED INSTITUTE,Ethiopia,"Ethiopia, PanAfrica, SubRegional",Directive,2,S4227,Canadian Non-Profit Making,Closed,A020222001,4229943.14,B4200,4229,Ethiopia,0.0,0,1,0,0,0,0,0
2009/2010,Thompson Consultant Inc.,WWD West & Central Africa,2307.3284,0,Uncoded: Pre-APP,D4207,SN,0,Not PBA,4518387.69,0,1.0,2,0.34,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Senegal,Senegal Program,Directive,2,S4233,Canadian Profit Making,Terminating,A020246001,4518387.69,B4200,4238,Senegal,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,2157.8406,0,Uncoded: Pre-APP,D4207,SN,0,Not PBA,4518387.69,0,1.0,2,0.34,0,WGM Sub-Saharan Africa,CONSULTANT,Senegal,Senegal Program,Directive,2,S4233,Canadian Profit Making,Terminating,A020246001,4518387.69,B4200,4238,Senegal,0.0,0,1,0,0,0,0,0
2009/2010,Thompson Consultant Inc.,WWD West & Central Africa,4478.9316,0,Uncoded: Pre-APP,D4207,SN,0,Not PBA,4518387.69,0,1.0,2,0.66,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Senegal,Senegal Program,Directive,2,S4233,Canadian Profit Making,Terminating,A020246001,4518387.69,B4200,4238,Senegal,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,4188.7494,0,Uncoded: Pre-APP,D4207,SN,0,Not PBA,4518387.69,0,1.0,2,0.66,0,WGM Sub-Saharan Africa,CONSULTANT,Senegal,Senegal Program,Directive,2,S4233,Canadian Profit Making,Terminating,A020246001,4518387.69,B4200,4238,Senegal,0.0,0,1,0,0,0,0,0
2009/2010,CRC Sogema Inc.,NDD Americas Programming,539373.76,0,Uncoded: Pre-APP,D4400,GY,0,Not PBA,7850039.11,0,1.0,0,1.0,0,NGM Americas,CONSULTING SERVICES,Guyana,Caricom - Adm,Directive,1,S4429,Canadian Profit Making,Closed,A020252001,7850039.11,B4400,4438,Caribbean Regional - Guyana,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,12432.9,0,Uncoded: Pre-APP,D4100,PH,0,Not PBA,0.0,1,1.0,1,0.5,1,OGM Asia Pacific,FEDERAL,Philippines,Philippines and Mongolia,Directive,3,S4130,Canadian Non-Profit Making,Closed,A020272001,13000520.92,B4100,4128,Philippines,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,9946.32,0,Uncoded: Pre-APP,D4100,PH,0,Not PBA,0.0,1,1.0,1,0.4,1,OGM Asia Pacific,FEDERAL,Philippines,Philippines and Mongolia,Directive,3,S4130,Canadian Non-Profit Making,Closed,A020272001,13000520.92,B4100,4128,Philippines,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,2486.58,0,Uncoded: Pre-APP,D4100,PH,0,Not PBA,0.0,1,1.0,1,0.1,1,OGM Asia Pacific,FEDERAL,Philippines,Philippines and Mongolia,Directive,3,S4130,Canadian Non-Profit Making,Closed,A020272001,13000520.92,B4100,4128,Philippines,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,106986.01,0,Uncoded: Pre-APP,D4100,PK,0,Not PBA,0.0,1,1.0,1,1.0,0,OGM Asia Pacific,FEDERAL,Pakistan,"OAA Afghanistan, Pakistan and Sri Lanka",Directive,3,S4141,Canadian Non-Profit Making,Terminating,A020279001,2645994.04,B4100,4124,Pakistan,0.0,0,1,0,0,0,0,0
2009/2010,Agriteam Canada,WED Southern & Eastern Africa,73711.97,0,Uncoded: Pre-APP,D4270,MW,0,Not PBA,0.0,1,1.0,1,1.0,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Malawi,Mozambique Program,Directive,2,S4271,Canadian Profit Making,Closed,A020392001,7747230.74,B4200,4280,Malawi,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,OAD Asia Programming,500000.0,0,Uncoded: Pre-APP,D4100,BD,0,Not PBA,0.0,1,0.5,0,1.0,0,OGM Asia Pacific,FEDERAL,Bangladesh,Bangladesh Section,Directive,3,S4122,Canadian Non-Profit Making,Closed,A020395001,4947637.32,B4100,4122,Bangladesh,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,OAD Asia Programming,2362.0,0,Uncoded: Pre-APP,D4100,BD,0,Not PBA,0.0,1,0.5,0,1.0,0,OGM Asia Pacific,Unknown,Bangladesh,Bangladesh Section,Directive,3,S4122,Uncoded,Closed,A020395001,4947637.32,B4100,4122,Bangladesh,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WED Southern & Eastern Africa,667.81,0,Uncoded: Pre-APP,D4270,MZ,0,Not PBA,0.0,0,1.0,0,0.5,0,WGM Sub-Saharan Africa,CONSULTANT,Mozambique,Mozambique Program,Directive,2,S4271,Canadian Profit Making,Closed,A020398001,9096651.0,B4200,4274,Mozambique,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WED Southern & Eastern Africa,667.81,0,Uncoded: Pre-APP,D4270,MZ,0,Not PBA,0.0,0,1.0,0,0.5,0,WGM Sub-Saharan Africa,CONSULTANT,Mozambique,Mozambique Program,Directive,2,S4271,Canadian Profit Making,Closed,A020398001,9096651.0,B4200,4274,Mozambique,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,582248.05,0,Uncoded: Pre-APP,D4207,CM,0,Not PBA,2457111.5,1,1.0,2,1.0,0,WGM Sub-Saharan Africa,FEDERAL,Cameroon,Central Africa & Great Lakes Program,Directive,2,S4287,Canadian Non-Profit Making,Closed,A020449003,2457111.5,B4200,4289,Cameroon,0.0,0,1,1,0,0,0,0
2009/2010,D�M�NAGEMENT OUTAOUAIS INC.,WWD West & Central Africa,863.16,0,Uncoded: Pre-APP,D4207,CM,0,Not PBA,2457111.5,1,1.0,2,1.0,0,WGM Sub-Saharan Africa,SUPPLIER OF GOODS/SERVICES,Cameroon,Central Africa & Great Lakes Program,Directive,2,S4287,Canadian Profit Making,Closed,A020449003,2457111.5,B4200,4289,Cameroon,0.0,0,1,1,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,140613.87,0,Uncoded: Pre-APP,D4207,CM,0,Not PBA,2457111.5,1,1.0,2,1.0,0,WGM Sub-Saharan Africa,COOPERANT,Cameroon,Central Africa & Great Lakes Program,Directive,2,S4287,Canadian Profit Making,Closed,A020449003,2457111.5,B4200,4289,Cameroon,0.0,0,1,1,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,2361.97,0,Uncoded: Pre-APP,D4207,CM,0,Not PBA,2457111.5,1,1.0,2,1.0,0,WGM Sub-Saharan Africa,Unknown,Cameroon,Central Africa & Great Lakes Program,Directive,2,S4287,Uncoded,Closed,A020449003,2457111.5,B4200,4289,Cameroon,0.0,0,1,1,0,0,0,0
2009/2010,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,442790.91,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.5,0,WGM Sub-Saharan Africa,ASSOCIATIONS,Guinea,Senegal Program,Directive,2,S4233,Canadian Non-Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,4131.87,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.5,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Guinea,Senegal Program,Directive,2,S4233,Canadian Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,132837.27300000002,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.15,0,WGM Sub-Saharan Africa,ASSOCIATIONS,Guinea,Senegal Program,Directive,2,S4233,Canadian Non-Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,1239.5610000000001,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.15,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Guinea,Senegal Program,Directive,2,S4233,Canadian Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,88558.18199999999,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.1,0,WGM Sub-Saharan Africa,ASSOCIATIONS,Guinea,Senegal Program,Directive,2,S4233,Canadian Non-Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,826.3739999999999,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.1,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Guinea,Senegal Program,Directive,2,S4233,Canadian Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,132837.27300000002,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.15,0,WGM Sub-Saharan Africa,ASSOCIATIONS,Guinea,Senegal Program,Directive,2,S4233,Canadian Non-Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,1239.5610000000001,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.15,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Guinea,Senegal Program,Directive,2,S4233,Canadian Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,88558.18199999999,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.1,0,WGM Sub-Saharan Africa,ASSOCIATIONS,Guinea,Senegal Program,Directive,2,S4233,Canadian Non-Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,826.3739999999999,0,Uncoded: Pre-APP,D4207,GN,0,Not PBA,11427061.07,0,1.0,0,0.1,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Guinea,Senegal Program,Directive,2,S4233,Canadian Profit Making,Closed,A020715001,11427061.07,B4200,4242,*Guinea,0.0,0,1,0,0,0,0,0
2009/2010,Foundation for International Training,OAD Asia Programming,92293.62400000001,0,Uncoded: Pre-APP,D4100,LK,0,Not PBA,0.0,0,1.0,0,0.8,0,OGM Asia Pacific,NGO,Sri Lanka,"OAA Afghanistan, Pakistan and Sri Lanka",Directive,3,S4141,Canadian Non-Profit Making,Closed,A020790001,4308867.95,B4100,4118,Sri Lanka,0.0,0,1,0,0,0,0,0
2009/2010,Foundation for International Training,OAD Asia Programming,23073.406000000003,0,Uncoded: Pre-APP,D4100,LK,0,Not PBA,0.0,0,1.0,0,0.2,0,OGM Asia Pacific,NGO,Sri Lanka,"OAA Afghanistan, Pakistan and Sri Lanka",Directive,3,S4141,Canadian Non-Profit Making,Closed,A020790001,4308867.95,B4100,4118,Sri Lanka,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,57631.03,0,Uncoded: Pre-APP,D4207,ML,0,Other PBA,0.0,0,0.0,2,1.0,0,WGM Sub-Saharan Africa,FEDERAL,Mali,Mali Program Section,Directive,2,S4215,Canadian Non-Profit Making,Closed,A020891001,3063216.68,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Information not available,WWD West & Central Africa,23.9,0,Uncoded: Pre-APP,D4207,ML,0,Other PBA,0.0,0,0.0,2,1.0,0,WGM Sub-Saharan Africa,Unknown,Mali,Mali Program Section,Directive,2,S4215,Uncoded,Closed,A020891001,3063216.68,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,WWD West & Central Africa,10023.66,0,Uncoded: Pre-APP,D4207,ML,0,Other PBA,16726210.87,0,1.0,2,1.0,0,WGM Sub-Saharan Africa,FEDERAL,Mali,Mali Program Section,Directive,2,S4215,Canadian Non-Profit Making,Closed,A020892001,16726210.87,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,CAC International,WWD West & Central Africa,50605.0,0,Uncoded: Pre-APP,D4207,ML,0,Other PBA,16726210.87,0,1.0,2,1.0,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Mali,Mali Program Section,Directive,2,S4215,Canadian Profit Making,Closed,A020892001,16726210.87,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,WWD West & Central Africa,2019764.66,0,Uncoded: Pre-APP,D4207,ML,0,Other PBA,16726210.87,0,1.0,2,1.0,0,WGM Sub-Saharan Africa,CONSULTING SERVICES,Mali,Mali Program Section,Directive,2,S4215,Canadian Profit Making,Closed,A020892001,16726210.87,B4200,4216,Mali,0.0,0,1,0,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,NDD Americas Programming,64.46300000000001,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.1,0,NGM Americas,FEDERAL,South America,South America,Responsive,1,S4413,Canadian Non-Profit Making,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
2009/2010,Information not available,NDD Americas Programming,24.000999999999998,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.1,0,NGM Americas,Unknown,South America,South America,Responsive,1,S4413,Uncoded,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,NDD Americas Programming,51.5704,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.08,0,NGM Americas,FEDERAL,South America,South America,Responsive,1,S4413,Canadian Non-Profit Making,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
2009/2010,Information not available,NDD Americas Programming,19.2008,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.08,0,NGM Americas,Unknown,South America,South America,Responsive,1,S4413,Uncoded,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
2009/2010,Department of Foreign Affairs and International Trade,NDD Americas Programming,12.8926,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.02,0,NGM Americas,FEDERAL,South America,South America,Responsive,1,S4413,Canadian Non-Profit Making,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
2009/2010,Information not available,NDD Americas Programming,4.8002,0,Uncoded: Pre-APP,D4400,UY,1,Not PBA,0.0,1,1.0,0,0.02,0,NGM Americas,Unknown,South America,South America,Responsive,1,S4413,Uncoded,Closed,A020910001,1488850.78,B4400,4422,*Southern Cone,0.0,0,1,1,0,0,0,0
