Fiscal year,CIDA business delivery model (old),CountryRegion ID,Biodiversity (marker),Organisation name,Division ID,Programming process (new),Division name,Continent ID,Section ID,Project number,Trade development (marker),Branch name,Continent name,CountryRegion percent,Status,Maximum CIDA contribution (project-level),Branch ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker),Participatory development and good governance
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,EG,0,Cowater International Inc.,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A019608001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,16700508.62,B3100,Middle East and North Africa,0,4263,Egypt,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,DZ,0,Department of Foreign Affairs and International Trade,D3100,Uncoded: Pre-APP,EDD Europe-Middle East Programming,2,S4256,A020161001,0,"EGM Europe, Middle East and Maghreb",Africa,1.0,Closed,328400.96,B3100,Middle East and North Africa,0,4259,*Algeria,0.0,0.998334353,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,HT,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4449,A020195001,0,NGM Americas,America,1.0,Closed,4610501.0,B4400,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,HT,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4449,A020195001,0,NGM Americas,America,1.0,Closed,4610501.0,B4400,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,ET,0,Parliamentary Centre,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4227,A020222001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4229943.14,B4200,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,ET,0,Parliamentary Centre,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4227,A020222001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4229943.14,B4200,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,ET,0,Parliamentary Centre,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4227,A020222001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4229943.14,B4200,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,ET,0,Parliamentary Centre,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4227,A020222001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4229943.14,B4200,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,ET,0,Parliamentary Centre,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4227,A020222001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,4229943.14,B4200,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,SN,0,Thompson Consultant Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020246001,0,WGM Sub-Saharan Africa,Africa,1.0,Terminating,4518387.69,B4200,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,SN,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020246001,0,WGM Sub-Saharan Africa,Africa,1.0,Terminating,4518387.69,B4200,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,SN,0,Thompson Consultant Inc.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020246001,0,WGM Sub-Saharan Africa,Africa,1.0,Terminating,4518387.69,B4200,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,SN,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020246001,0,WGM Sub-Saharan Africa,Africa,1.0,Terminating,4518387.69,B4200,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GY,0,CRC Sogema Inc.,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4429,A020252001,0,NGM Americas,America,1.0,Closed,7850039.11,B4400,Caricom - Adm,0,4438,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,PH,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4130,A020272001,0,OGM Asia Pacific,Asia,1.0,Closed,13000520.92,B4100,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,PH,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4130,A020272001,0,OGM Asia Pacific,Asia,1.0,Closed,13000520.92,B4100,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,PH,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4130,A020272001,0,OGM Asia Pacific,Asia,1.0,Closed,13000520.92,B4100,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,PK,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A020279001,0,OGM Asia Pacific,Asia,1.0,Terminating,2645994.04,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MW,0,Agriteam Canada,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4271,A020392001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,7747230.74,B4200,Mozambique Program,0,4280,Malawi,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,BD,0,Department of Foreign Affairs and International Trade,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4122,A020395001,0,OGM Asia Pacific,Asia,1.0,Closed,4947637.32,B4100,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,BD,0,Information not available,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4122,A020395001,0,OGM Asia Pacific,Asia,1.0,Closed,4947637.32,B4100,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,1,Not PBA,0,0,0,0,1
2009/2010,Directive,MZ,0,Information not available,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4271,A020398001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,9096651.0,B4200,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,MZ,0,Information not available,D4270,Uncoded: Pre-APP,WED Southern & Eastern Africa,2,S4271,A020398001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,9096651.0,B4200,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,CM,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4287,A020449003,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,2457111.5,B4200,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,CM,0,D�M�NAGEMENT OUTAOUAIS INC.,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4287,A020449003,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,2457111.5,B4200,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,CM,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4287,A020449003,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,2457111.5,B4200,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,CM,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4287,A020449003,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,2457111.5,B4200,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Directive,GN,0,UPA DI - Union des producteurs agricoles d�veloppement,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,Le Groupe Conseil Baastel Lt�e,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,UPA DI - Union des producteurs agricoles d�veloppement,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,Le Groupe Conseil Baastel Lt�e,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,UPA DI - Union des producteurs agricoles d�veloppement,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,Le Groupe Conseil Baastel Lt�e,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,UPA DI - Union des producteurs agricoles d�veloppement,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,Le Groupe Conseil Baastel Lt�e,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,UPA DI - Union des producteurs agricoles d�veloppement,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,GN,0,Le Groupe Conseil Baastel Lt�e,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4233,A020715001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,11427061.07,B4200,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Foundation for International Training,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A020790001,0,OGM Asia Pacific,Asia,1.0,Closed,4308867.95,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,LK,0,Foundation for International Training,D4100,Uncoded: Pre-APP,OAD Asia Programming,3,S4141,A020790001,0,OGM Asia Pacific,Asia,1.0,Closed,4308867.95,B4100,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,1,Not PBA,0,0,0,0,0
2009/2010,Directive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A020891001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,3063216.68,B4200,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,Directive,ML,0,Information not available,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A020891001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,3063216.68,B4200,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,Directive,ML,0,Department of Foreign Affairs and International Trade,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A020892001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,16726210.87,B4200,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,Directive,ML,0,CAC International,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A020892001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,16726210.87,B4200,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,Directive,ML,0,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,D4207,Uncoded: Pre-APP,WWD West & Central Africa,2,S4215,A020892001,0,WGM Sub-Saharan Africa,Africa,1.0,Closed,16726210.87,B4200,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,1,Other PBA,0,0,0,0,0
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.1,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Department of Foreign Affairs and International Trade,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
2009/2010,Responsive,50,0,Information not available,D4400,Uncoded: Pre-APP,NDD Americas Programming,1,S4413,A020910001,0,NGM Americas,America,0.3,Closed,1488850.78,B4400,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,1,Not PBA,1,0,0,0,1
