length,rental_duration,rental_rate,release_year,description,original_language_id,language,title,replacement_cost,film_id,rating
46,5,2.99,2006,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,,English,ALIEN CENTER,10.99,15,NC-17
180,6,2.99,2006,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,,English,ALLEY EVOLUTION,23.99,16,NC-17
82,3,0.99,2006,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,,English,ALONE TRIP,14.99,17,R
57,6,0.99,2006,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,,English,ALTER VICTORY,27.99,18,PG-13
113,6,0.99,2006,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,,English,AMADEUS HOLY,20.99,19,PG
79,4,4.99,2006,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,,English,AMELIE HELLFIGHTERS,23.99,20,R
129,3,4.99,2006,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,,English,AMERICAN CIRCUS,17.99,21,R
85,6,2.99,2006,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,,English,AMISTAD MIDSUMMER,10.99,22,G
92,3,0.99,2006,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,,English,ANACONDA CONFESSIONS,9.99,23,R
181,6,2.99,2006,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,,English,ANALYZE HOOSIERS,19.99,24,R
74,3,2.99,2006,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,,English,ANGELS LIFE,15.99,25,G
86,3,0.99,2006,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,,English,ANNIE IDENTITY,15.99,26,G
179,7,0.99,2006,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,,English,ANONYMOUS HUMAN,12.99,27,NC-17
91,5,4.99,2006,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,,English,ANTHEM LUKE,16.99,28,PG-13
168,5,2.99,2006,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,,English,ANTITRUST TOMATOES,11.99,29,NC-17
82,4,2.99,2006,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,,English,ANYTHING SAVANNAH,27.99,30,R
92,5,4.99,2006,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,,English,APACHE DIVINE,16.99,31,NC-17
119,6,4.99,2006,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,,English,APOCALYPSE FLAMINGOS,11.99,32,R
153,5,2.99,2006,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,,English,APOLLO TEEN,15.99,33,PG-13
62,6,0.99,2006,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,,English,ARABIA DOGMA,29.99,34,NC-17
147,4,2.99,2006,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,,English,ARACHNOPHOBIA ROLLERCOASTER,24.99,35,PG-13
127,7,0.99,2006,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,,English,ARGONAUTS TOWN,12.99,36,PG-13
121,3,2.99,2006,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,,English,ARIZONA BANG,28.99,37,PG
68,6,0.99,2006,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,,English,ARK RIDGEMONT,25.99,38,NC-17
99,5,0.99,2006,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,,English,ARMAGEDDON LOST,10.99,39,G
148,4,0.99,2006,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,,English,ARMY FLINTSTONES,22.99,40,R
137,4,0.99,2006,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,,English,ARSENIC INDEPENDENCE,17.99,41,PG
170,5,2.99,2006,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,,English,ARTIST COLDBLOODED,10.99,42,NC-17
170,6,2.99,2006,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,,English,ATLANTIS CAUSE,15.99,43,G
113,5,4.99,2006,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,,English,ATTACKS HATE,21.99,44,PG-13
83,5,4.99,2006,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,,English,ATTRACTION NEWTON,14.99,45,PG-13
108,3,4.99,2006,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,,English,AUTUMN CROW,13.99,46,G
153,5,4.99,2006,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,,English,BABY HALL,23.99,47,NC-17
118,3,4.99,2006,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,,English,BACKLASH UNDEFEATED,24.99,48,PG-13
162,6,2.99,2006,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,,English,BADMAN DAWN,22.99,49,R
182,3,2.99,2006,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,,English,BAKED CLEOPATRA,20.99,50,G
75,5,2.99,2006,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,,English,BALLOON HOMEWARD,10.99,51,NC-17
173,6,0.99,2006,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,,English,BALLROOM MOCKINGBIRD,29.99,52,G
87,5,2.99,2006,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,,English,BANG KWAI,25.99,53,NC-17
113,5,0.99,2006,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,,English,BANGER PINOCCHIO,15.99,54,R
65,6,2.99,2006,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,,English,BARBARELLA STREETCAR,27.99,55,G
129,6,2.99,2006,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,,English,BAREFOOT MANCHURIAN,15.99,56,G
90,4,2.99,2006,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,,English,BASIC EASY,18.99,57,PG-13
122,6,2.99,2006,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,,English,BEACH HEARTBREAKERS,16.99,58,G
160,4,2.99,2006,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,,English,BEAR GRACELAND,20.99,59,R
89,3,4.99,2006,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,,English,BEAST HUNCHBACK,22.99,60,R
175,5,4.99,2006,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,,English,BEAUTY GREASE,28.99,61,G
106,5,2.99,2006,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,,English,BED HIGHBALL,23.99,62,NC-17
73,6,0.99,2006,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,,English,BEDAZZLED MARRIED,21.99,63,PG
151,6,0.99,2006,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,,English,BEETHOVEN EXORCIST,26.99,64,PG-13
100,3,4.99,2006,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,,English,BEHAVIOR RUNAWAY,20.99,65,PG
53,6,0.99,2006,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,,English,BENEATH RUSH,27.99,66,NC-17
77,5,2.99,2006,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,,English,BERETS AGENT,24.99,67,PG-13
122,5,4.99,2006,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,,English,BETRAYED REAR,26.99,68,NC-17
85,3,2.99,2006,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,,English,BEVERLY OUTLAW,21.99,69,R
142,7,4.99,2006,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,,English,BIKINI BORROWERS,26.99,70,NC-17
100,3,4.99,2006,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,,English,BILKO ANONYMOUS,25.99,71,PG-13
93,6,2.99,2006,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,,English,BILL OTHERS,12.99,72,PG
150,5,2.99,2006,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,,English,BINGO TALENTED,22.99,73,PG-13
162,4,4.99,2006,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,,English,BIRCH ANTITRUST,18.99,74,PG
163,6,4.99,2006,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,,English,BIRD INDEPENDENCE,14.99,75,G
103,4,0.99,2006,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,,English,BIRDCAGE CASPER,23.99,76,NC-17
61,5,4.99,2006,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,,English,BIRDS PERDITION,15.99,77,G
85,7,2.99,2006,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,,English,BLACKOUT PRIVATE,12.99,78,PG
114,5,0.99,2006,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,,English,BLADE POLISH,10.99,79,PG-13
148,7,2.99,2006,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,,English,BLANKET BEVERLY,21.99,80,G
103,6,4.99,2006,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,,English,BLINDNESS GUN,29.99,81,PG-13
71,3,0.99,2006,A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse,,English,BLOOD ARGONAUTS,13.99,82,G
50,5,2.99,2006,A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,,English,BLUES INSTINCT,18.99,83,G
102,7,4.99,2006,A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,,English,BOILED DARES,13.99,84,PG
63,4,0.99,2006,A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,,English,BONNIE HOLOCAUST,29.99,85,G
121,6,4.99,2006,A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico,,English,BOOGIE AMELIE,11.99,86,R
76,7,0.99,2006,A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,,English,BOONDOCK BALLROOM,14.99,87,NC-17
179,7,4.99,2006,A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,,English,BORN SPINAL,17.99,88,PG
63,7,0.99,2006,A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,,English,BORROWERS BEDAZZLED,22.99,89,G
63,3,0.99,2006,A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,,English,BOULEVARD MOB,11.99,90,R
98,5,0.99,2006,A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,,English,BOUND CHEAPER,17.99,91,PG
72,7,4.99,2006,A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,,English,BOWFINGER GABLES,19.99,92,NC-17
121,4,4.99,2006,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,,English,BRANNIGAN SUNRISE,27.99,93,PG
176,7,2.99,2006,A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,,English,BRAVEHEART HUMAN,14.99,94,PG-13
123,5,4.99,2006,A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,,English,BREAKFAST GOLDFINGER,18.99,95,G
169,4,2.99,2006,A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,,English,BREAKING HOME,21.99,96,PG-13
56,7,0.99,2006,A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans,,English,BRIDE INTRIGUE,24.99,97,G
73,4,4.99,2006,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,,English,BRIGHT ENCOUNTERS,12.99,98,PG-13
136,7,2.99,2006,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,,English,BRINGING HYSTERICAL,14.99,99,PG
161,7,4.99,2006,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,,English,BROOKLYN DESERT,21.99,100,R
73,3,0.99,2006,A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,,English,BROTHERHOOD BLANKET,26.99,101,R
60,4,4.99,2006,A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,,English,BUBBLE GROSSE,20.99,102,R
133,7,4.99,2006,A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,,English,BUCKET BROTHERHOOD,27.99,103,PG
119,4,2.99,2006,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,,English,BUGSY SONG,17.99,104,G
125,6,0.99,2006,A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,,English,BULL SHAWSHANK,21.99,105,NC-17
61,4,2.99,2006,A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,,English,BULWORTH COMMANDMENTS,14.99,106,G
63,4,2.99,2006,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,,English,BUNCH MINDS,13.99,107,G
67,6,0.99,2006,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,,English,BUTCH PANTHER,19.99,108,PG-13
89,3,0.99,2006,A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,,English,BUTTERFLY CHOCOLAT,17.99,109,G
53,4,0.99,2006,A Stunning Epistle of a Boat And a Man who must Challenge a A Shark in A Baloon Factory,,English,CABIN FLASH,25.99,110,NC-17
52,3,0.99,2006,A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,,English,CADDYSHACK JEDI,17.99,111,NC-17
120,4,4.99,2006,A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,,English,CALENDAR GUNFIGHT,22.99,112,NC-17
75,4,4.99,2006,A Thrilling Yarn of a Database Administrator And a Robot who must Battle a Database Administrator in Ancient India,,English,CALIFORNIA BIRDS,19.99,113,NC-17
61,3,0.99,2006,A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,,English,CAMELOT VACATION,26.99,114,NC-17
167,5,2.99,2006,A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,,English,CAMPUS REMEMBER,27.99,115,R
70,4,2.99,2006,A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station,,English,CANDIDATE PERDITION,10.99,116,R
135,6,4.99,2006,A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,,English,CANDLES GRAPES,15.99,117,NC-17
85,7,0.99,2006,A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,,English,CANYON STOCK,26.99,118,R
176,6,0.99,2006,A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,,English,CAPER MOTIONS,22.99,119,G
92,3,4.99,2006,A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,,English,CARIBBEAN LIBERTY,16.99,120,NC-17
151,4,2.99,2006,A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,,English,CAROL TEXAS,15.99,121,PG
114,7,0.99,2006,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,,English,CARRIE BUNCH,11.99,122,PG
85,6,4.99,2006,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,,English,CASABLANCA SUPER,22.99,123,G
163,3,4.99,2006,A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,,English,CASPER DRAGONFLY,16.99,124,PG-13
61,5,2.99,2006,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,,English,CASSIDY WYOMING,19.99,125,NC-17
179,3,4.99,2006,A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,,English,CASUALTIES ENCINO,16.99,126,G
112,5,4.99,2006,A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,,English,CAT CONEHEADS,14.99,127,G
183,7,0.99,2006,A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,,English,CATCH AMISTAD,10.99,128,G
179,3,2.99,2006,A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,,English,CAUSE DATE,16.99,129,R
110,7,0.99,2006,A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,,English,CELEBRITY HORN,24.99,130,PG-13
152,5,4.99,2006,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,,English,CENTER DINOSAUR,12.99,131,PG
114,6,0.99,2006,A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,,English,CHAINSAW UPTOWN,25.99,132,PG
117,7,4.99,2006,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,,English,CHAMBER ITALIAN,14.99,133,NC-17
51,4,4.99,2006,A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,,English,CHAMPION FLATLINERS,21.99,134,PG
70,3,2.99,2006,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,,English,CHANCE RESURRECTION,22.99,135,R
146,7,2.99,2006,A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,,English,CHAPLIN LICENSE,26.99,136,NC-17
66,3,2.99,2006,A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,,English,CHARADE DUFFEL,21.99,137,PG
71,5,2.99,2006,A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,,English,CHARIOTS CONSPIRACY,29.99,138,R
114,7,4.99,2006,A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,,English,CHASING FIGHT,21.99,139,PG
87,6,0.99,2006,A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,,English,CHEAPER CLYDE,23.99,140,G
185,6,4.99,2006,A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,,English,CHICAGO NORTH,11.99,141,PG-13
122,3,0.99,2006,A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,,English,CHICKEN HELLFIGHTERS,24.99,142,PG
142,6,0.99,2006,A Lacklusture Epistle of a Boat And a Technical Writer who must Fight a A Shark in The Canadian Rockies,,English,CHILL LUCK,17.99,143,PG
61,7,4.99,2006,A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,,English,CHINATOWN GLADIATOR,24.99,144,PG
124,5,4.99,2006,A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,,English,CHISUM BEHAVIOR,25.99,145,G
107,6,2.99,2006,A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,,English,CHITTY LOCK,24.99,146,G
101,5,0.99,2006,A Action-Packed Epistle of a Dentist And a Moose who must Meet a Mad Cow in Ancient Japan,,English,CHOCOLAT HARRY,16.99,147,NC-17
132,3,2.99,2006,A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,,English,CHOCOLATE DUCK,13.99,148,R
150,7,0.99,2006,A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,,English,CHRISTMAS MOONSHINE,21.99,149,NC-17
101,7,2.99,2006,A Stunning Character Study of a Composer And a Mad Cow who must Succumb a Cat in Soviet Georgia,,English,CIDER DESIRE,9.99,150,PG
143,5,4.99,2006,A Brilliant Saga of a Pastry Chef And a Hunter who must Confront a Butler in Berlin,,English,CINCINATTI WHISPERER,26.99,151,NC-17
90,5,2.99,2006,A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,,English,CIRCUS YOUTH,13.99,152,PG-13
165,7,0.99,2006,A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,,English,CITIZEN SHREK,18.99,153,G
81,6,2.99,2006,A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,,English,CLASH FREDDY,12.99,154,G
150,6,0.99,2006,A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,,English,CLEOPATRA DEVIL,26.99,155,PG-13
164,3,4.99,2006,A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon,,English,CLERKS ANGELS,15.99,156,G
143,7,0.99,2006,A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,,English,CLOCKWORK PARADISE,29.99,157,PG-13
124,6,2.99,2006,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,,English,CLONES PINOCCHIO,16.99,158,R
58,5,4.99,2006,A Unbelieveable Panorama of a Frisbee And a Hunter who must Vanquish a Monkey in Ancient India,,English,CLOSER BANG,12.99,159,R
65,4,0.99,2006,A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,,English,CLUB GRAFFITI,12.99,160,PG-13
70,6,4.99,2006,A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,,English,CLUE GRAIL,27.99,161,NC-17
95,4,2.99,2006,A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,,English,CLUELESS BUCKET,13.99,162,R
139,4,0.99,2006,A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,,English,CLYDE THEORY,29.99,163,PG-13
55,4,0.99,2006,A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,,English,COAST RAINBOW,20.99,164,PG
70,7,4.99,2006,A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,,English,COLDBLOODED DARLING,27.99,165,G
149,6,2.99,2006,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,,English,COLOR PHILADELPHIA,19.99,166,G
109,6,4.99,2006,A Awe-Inspiring Drama of a Boy And a Frisbee who must Escape a Pastry Chef in California,,English,COMA HEAD,10.99,167,NC-17
67,5,0.99,2006,A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,,English,COMANCHEROS ENEMY,23.99,168,R
76,3,2.99,2006,A Unbelieveable Panorama of a Pioneer And a Husband who must Meet a Mad Cow in An Abandoned Mine Shaft,,English,COMFORTS RUSH,19.99,169,NC-17
120,5,4.99,2006,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,,English,COMMAND DARLING,28.99,170,PG-13
59,6,4.99,2006,A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,,English,COMMANDMENTS EXPRESS,13.99,171,R
112,7,4.99,2006,A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,,English,CONEHEADS SMOOCHY,12.99,172,NC-17
65,7,4.99,2006,A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,,English,CONFESSIONS MAGUIRE,25.99,173,PG-13
180,6,4.99,2006,A Stunning Reflection of a Cat And a Woman who must Find a Astronaut in Ancient Japan,,English,CONFIDENTIAL INTERVIEW,13.99,174,NC-17
122,3,2.99,2006,A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,,English,CONFUSED CANDLES,27.99,175,PG-13
87,6,0.99,2006,A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,,English,CONGENIALITY QUEST,21.99,176,PG-13
172,4,4.99,2006,A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,,English,CONNECTICUT TRAMP,20.99,177,R
115,6,0.99,2006,A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,,English,CONNECTION MICROCOSMOS,25.99,178,G
173,4,4.99,2006,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,,English,CONQUERER NUTS,14.99,179,G
