assay_id,assay_test_type,variant_id,bao_format,assay_cell_type,src_id,curated_by,src_assay_id,tid,cell_id,assay_strain,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id
29,,,BzOo000357,,1,Autocu4atiin,,12054,,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,3847.0
30,,,BzO0000367,,1,A8tocuratiom,,12054,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,3847.0
31,,,BAOp000457,,1,Auticufation,,12054,,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,3847.0
32,,,BAOo900357,,1,zutocuratipn,,12054,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,3847.0
33,,,BAO0009457,,1,Autocurayi8n,,12054,,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,3847.0
34,,,BzO000035i,,1,A7tocurqtion,,12054,,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0
35,,,BAO000o257,,1,Autocu5atjon,,12054,,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0
36,,,BAOo00001o,,1,A6tocurqtion,,22226,,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,10116.0
37,,,BxO0900019,,1,Autochra4ion,,22226,,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,562.0
38,,,BAO09o0019,,1,Autocurx4ion,,22226,,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,
39,,,BAO90002w5,,1,Intermeeiat4,,22222,,,3782,Dissociation constant towards 16S rRNA construct A,B,,,
40,,,BxO0009225,,1,Ijte4mediate,,22222,,,3782,Dissociation constant towards 16S rRNA construct B,B,,,
41,,,BA8p000225,,1,Experh,,100263,,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,562.0
42,,,BAO00092e5,,1,Experf,,100263,,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,562.0
43,,,fAO0000029,,1,Ahtoc7ration,,13053,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
44,,,hAO000o019,,1,Autoxuratiln,,13053,,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
45,,,nAO0900019,,1,Au5osuration,,20001,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0
46,,,BAOo000p19,,1,wutoduration,,20001,,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0
47,,,BAO000o010,,1,Exper5,,12971,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0
48,,,BAO9090019,,1,Experh,,12971,,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0
49,,,BxO0000o19,,1,Ezpert,,12971,,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0
50,,,BAO000op19,,1,Expeft,,12971,,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0
51,,,gA90000019,,1,Aut0curat9on,,13053,,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,
52,,,gAO000035y,,1,Autocyrwtion,,11512,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,
53,,,BAOpo00357,,1,Aut0curafion,,11512,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,
54,,,BAO0000e5u,,1,zutocurxtion,,11512,,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,
55,,,BAOo0p0249,,1,Autocurafipn,,104740,,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0
56,,,BA90009219,1A9,1,Interheviate,,80002,883.0,,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0
57,,,BAOpp00219,Oocyteq,1,Autocurqtioh,,104835,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0
58,,,BAO000oe19,Oocyt3s,1,sutocurztion,,104821,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0
59,,,BAO0900229,locytes,1,Aktoxuration,,104848,,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0
60,,,BAO0090q19,1A9,1,Expwrt,,80002,784.0,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0
61,,,fsO0000219,1A9,1,Intefmed9ate,,80002,510.0,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0
62,,,BAO0909219,1A9,1,Int2rmediats,,80002,474.0,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0
63,,,BAl000o219,1A9,1,Intermedjafe,,80002,770.0,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0
64,,,BzO00002q9,1A9,1,9nt3rmediate,,80002,739.0,,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0
65,,,vAO000021o,1A9,1,Expett,,80002,644.0,,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0
66,,,BsO000o219,1A9,1,Intermedoat4,,80002,887.0,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0
67,,,BAO0p00w19,1A9,1,Inteekediate,,80002,1264.0,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0
68,,,BwO0o00219,1A9,1,9htermediate,,80002,951.0,,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0
69,,,BAOo000119,1A9,1,kntermfdiate,,80002,876.0,,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0
70,,,BAO0000318,1A9,1,Expdrt,,80002,556.0,,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0
71,,,nAO00002w9,1A9,1,Ex9ert,,80002,881.0,,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0
72,,,BAk0900219,1A9,1,Ex0ert,,80002,1079.0,,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0
73,,,BxO000p219,1A9,1,Ihterhediate,,80002,933.0,,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0
74,,,Bx80000219,1A9,1,kntermwdiate,,80002,763.0,,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0
75,,,BAOpo00219,1A9,1,9ntermefiate,,80002,588.0,,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0
76,,,gAO9000219,Jyrkat,1,In4ermediatr,,81072,438.0,,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0
77,,,BAl0900019,,1,Int2rmedkate,,22226,,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,
78,,,BAO0000r5u,,1,Expegt,,100121,,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0
79,,,gAO00o0357,,1,Experf,,11231,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
80,,,BAOp00p357,,1,sxpert,,11231,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
81,,,BAOp000457,,1,Ex9ert,,11231,,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,
82,,,fAO0000241,,1,Autocjrati0n,,11231,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0
83,,,BAO000925q,,1,Autocudxtion,,11231,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0
84,,,BAO00002rw,,1,zutofuration,,11231,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0
85,,,BAl0000252,,1,Autocura5i0n,,11231,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0
86,,,BzO0009251,,1,Aurosuration,,12083,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0
87,,,BAO0p000q9,,1,Autisuration,,11231,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0
88,,,BxOo000019,,1,Autkcura6ion,,11231,,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0
89,,,BsO00000w9,,1,Autochrati8n,,11231,,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0
90,,,BApo000251,,1,Autockratjon,,12083,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0
91,,,BAO0000352,,1,Au5ociration,,12083,,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0
92,,,BAO09o0251,,1,Autocurariob,,12083,,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0
93,,,BA90000257,,1,Experf,,11377,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,
94,,,fAO000035y,,1,Ex0ert,,11377,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,
95,,,BAO000p21o,He9G2,1,dxpert,,81020,356.0,,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0
96,,,BAO0900319,HepGe,1,Intwrm4diate,,81020,790.0,,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0
97,,,gAOp000219,uepG2,1,Int4rmedkate,,81020,817.0,,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0
98,,,BAO0090229,nepG2,1,Inte3med7ate,,81020,840.0,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0
99,,,BAO0090229,He9G2,1,In5erkediate,,81020,780.0,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0
100,,,BAO0909218,,1,Exoert,,50606,,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0
101,,,BAOo0o0219,HepGw,1,Ibhermediate,,81020,867.0,,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0
102,,,BAl0900219,uepG2,1,Interhedizte,,81020,471.0,,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0
103,,,BAOp00p219,HelG2,1,Intermediarr,,81020,768.0,,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0
104,,,hAk0000218,2215,1,Intrrnediate,,50587,,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0
105,,,BAi0o00218,2215,1,Intermedizre,,50587,,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0
106,,,BA09000218,2215,1,Experh,,50606,,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0
107,,,nAO00002w8,2215,1,Intermewiqte,,50587,,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0
108,,,BAO00002wi,2215,1,untermedia6e,,50587,,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0
109,,,BwO0009218,2215,1,Integmediatf,,50587,,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0
110,,,BAO00o02q8,2215,1,Interkeciate,,50587,,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0
111,,,gAO00002q8,2215,1,Intermsd8ate,,50587,,,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0
112,,,BqO0009218,2215,1,Intermed7afe,,50587,,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0
113,,,fAO0000q18,2215,1,Integmedkate,,50587,,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0
114,,,BAkp000218,2215,1,Intermswiate,,50587,,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0
115,,,vAO0000217,2215,1,untwrmediate,,50587,,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0
116,,,BAp000p219,HepG3,1,knternediate,,81020,912.0,,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0
117,,,BAO00oo251,,1,qut9curation,,22226,,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0
118,,,BAi0000010,,1,Autocurzti0n,,22226,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,
119,,,BxO0000q19,2008,1,Inte4meciate,,80612,557.0,,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0
120,,,vA00000219,2008,1,Intfrjediate,,80612,703.0,,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0
121,,,hAO0000e19,2008,1,Intermedlage,,80612,796.0,,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0
122,,,vAO0000q19,2008,1,unt4rmediate,,80612,1054.0,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0
123,,,nAO00002q9,2008,1,Inte3mediat2,,80612,739.0,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0
124,,,BAO0o0o219,2008g,1,Inte3mediwte,,80613,835.0,,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0
125,,,BAO9000119,2p08R,1,Intermediaff,,80613,687.0,,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0
126,,,BA900002w9,2008c,1,Intermeeiat3,,80614,768.0,,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0
127,,,BAk0000229,200iS,1,Intdrm3diate,,80614,784.0,,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0
128,,,fAO0000q20,,1,Ezpert,,100256,,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0
129,,,nAO000022p,,1,In6erm2diate,,100256,,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0
130,,,fAO0000229,,1,Espert,,100256,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,
131,,,BAO0p00210,,1,3xpert,,100256,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,
132,,,gxO0000220,,1,In6ermed8ate,,100256,,,3260,Inhibitory activity against 20S proteosome,B,,,
133,,,BAO000p029,,1,Aktocuratiob,,22226,,,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0
134,,,BA8000o219,H4pG2,1,Int2rmediage,,81020,638.0,,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0
135,,,vAO0000218,HspG2,1,Intermddiwte,,81020,296.0,,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0
136,,,BsO000o019,,1,Aut0curatiln,,22226,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,
137,,,BAO0000rt7,,1,Auyocurstion,,235,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,
138,,,BAOp009218,,1,xutoc6ration,,22226,,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0
139,,,gAO00000q9,,1,zutocuratlon,,19640,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
140,,,hA00000019,,1,Exp2rt,,19640,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
141,,,BwO0000356,,1,Autofuratikn,,19640,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,
142,,,BAO0o09019,,1,Ex0ert,,19640,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
143,,,nAO0000e19,P338,1,Intetkediate,,80360,660.0,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0
144,,,BzO9000219,P338,1,jnterhediate,,80360,827.0,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0
145,,,BAO0909219,PBL,1,Ibtermesiate,,80384,952.0,,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0
146,,,BAO9o00019,,1,Aitocurwtion,,22226,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0
147,,,BAO00p0029,,1,Autoc8rztion,,22226,,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0
148,,,BAO0009356,,1,Auticuratipn,,191,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,
149,,,BsO0p00019,,1,sutoc8ration,,22226,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0
150,,,nsO0000019,,1,Autocura5iob,,22226,,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0
151,,,Bql0000219,CCRFxEM,1,Aufocuratioj,,22226,936.0,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0
152,,,BAO9o00219,vCRFCEM,1,Autockratiln,,22226,1066.0,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0
153,,,BAO0000qq9,xCRFCEM,1,Aitocurati0n,,22226,825.0,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0
154,,,BAO000o21o,dCRFCEM,1,Autlcu4ation,,22226,819.0,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0
155,,,BsOo000019,,1,Auticjration,,22226,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0
156,,,gAO9000019,,1,Autocurati8m,,22226,,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0
157,,,BsO0p00249,,1,Aktocurwtion,,104290,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,
158,,,BAl0000219,,1,Ibtermediafe,,50264,,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0
159,,,BAO00p02q8,,1,Ijtermed9ate,,50527,,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0
160,,,BAO000p118,HEL,1,Expedt,,50527,756.0,,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0
161,,,BAO090021u,,1,Intefmediat2,,50527,,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0
162,,,BwO000021i,,1,Igtrrmediate,,50527,,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0
