Fiscal year,Section ID,CountryRegion name,Organisation name,Knowledge for development (marker),Trade development (marker),Organisation class,CountryRegion percent,Youth issues (marker),Continent ID,Bilateral aid (international marker),CFLI (marker),Branch name,Regional program (marker),Urban issues (marker),PBA type,Desertification (marker),Maximum CIDA contribution (project-level),Children issues (marker),Division ID,Continent name,Status,Project number,CIDA business delivery model (old),Division name,Project Browser country ID,Branch ID,Sector percent,Participatory development and good governance,Organisation type,Disability issues (marker),Gender equality (marker),Section name,Biodiversity (marker),Programming process (new),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,S4429,Jamaica,DEVPAR FINANCIAL CONSULTING LTD,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,3441416.83,0,D4400,America,Closed,A019362001,Responsive,NDD Americas Programming,JM,B4400,1.0,0,Canadian Profit Making,0,0,Caricom - Adm,0,Uncoded: Pre-APP,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,0,0
2009/2010,S4429,Jamaica,MM LYNCH CONSULTANTS INTERNATIONAL,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,3441416.83,0,D4400,America,Closed,A019362001,Responsive,NDD Americas Programming,JM,B4400,1.0,0,Canadian Profit Making,0,0,Caricom - Adm,0,Uncoded: Pre-APP,4439,Caribbean Regional - Jamaica,3441416.83,1.0,0.0,0,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.2,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.05,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.05,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.05,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.25,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.15,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.05,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Egypt,Cowater International Inc.,0,0,Civil Society,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,16700508.62,0,D3100,Africa,Closed,A019608001,Directive,EDD Europe-Middle East Programming,EG,B3100,0.2,1,Canadian Profit Making,0,0,Middle East and North Africa,0,Uncoded: Pre-APP,4263,Egypt,0.0,1.0,0.0,1,0,0
2009/2010,S4256,Algeria,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,"EGM Europe, Middle East and Maghreb",0,0,Not PBA,0,328400.96,0,D3100,Africa,Closed,A020161001,Directive,EDD Europe-Middle East Programming,DZ,B3100,1.0,0,Canadian Non-Profit Making,0,2,Middle East and North Africa,0,Uncoded: Pre-APP,4259,*Algeria,0.0,0.998334353,0.0,0,0,0
2009/2010,S4449,Haiti,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,4610501.0,0,D4400,America,Closed,A020195001,Directive,NDD Americas Programming,HT,B4400,0.2,1,Canadian Non-Profit Making,0,3,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,4000000.0,1.0,0.0,0,0,0
2009/2010,S4449,Haiti,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,4610501.0,0,D4400,America,Closed,A020195001,Directive,NDD Americas Programming,HT,B4400,0.8,1,Canadian Non-Profit Making,0,3,Ha�ti & Dominican Republic Section,0,Uncoded: Pre-APP,4452,Haiti,4000000.0,1.0,0.0,0,0,0
2009/2010,S4227,Ethiopia,Parliamentary Centre,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4229943.14,0,D4270,Africa,Closed,A020222001,Directive,WED Southern & Eastern Africa,ET,B4200,0.2,1,Canadian Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4229,Ethiopia,0.0,1.0,0.0,0,0,0
2009/2010,S4227,Ethiopia,Parliamentary Centre,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4229943.14,0,D4270,Africa,Closed,A020222001,Directive,WED Southern & Eastern Africa,ET,B4200,0.2,1,Canadian Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4229,Ethiopia,0.0,1.0,0.0,0,0,0
2009/2010,S4227,Ethiopia,Parliamentary Centre,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4229943.14,0,D4270,Africa,Closed,A020222001,Directive,WED Southern & Eastern Africa,ET,B4200,0.2,1,Canadian Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4229,Ethiopia,0.0,1.0,0.0,0,0,0
2009/2010,S4227,Ethiopia,Parliamentary Centre,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4229943.14,0,D4270,Africa,Closed,A020222001,Directive,WED Southern & Eastern Africa,ET,B4200,0.2,1,Canadian Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4229,Ethiopia,0.0,1.0,0.0,0,0,0
2009/2010,S4227,Ethiopia,Parliamentary Centre,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4229943.14,0,D4270,Africa,Closed,A020222001,Directive,WED Southern & Eastern Africa,ET,B4200,0.2,1,Canadian Non-Profit Making,0,2,"Ethiopia, PanAfrica, SubRegional",0,Uncoded: Pre-APP,4229,Ethiopia,0.0,1.0,0.0,0,0,0
2009/2010,S4233,Senegal,Thompson Consultant Inc.,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4518387.69,0,D4207,Africa,Terminating,A020246001,Directive,WWD West & Central Africa,SN,B4200,0.34,0,Canadian Profit Making,0,2,Senegal Program,0,Uncoded: Pre-APP,4238,Senegal,4518387.69,1.0,0.0,0,0,0
2009/2010,S4233,Senegal,Information not available,0,0,Individual,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4518387.69,0,D4207,Africa,Terminating,A020246001,Directive,WWD West & Central Africa,SN,B4200,0.34,0,Canadian Profit Making,0,2,Senegal Program,0,Uncoded: Pre-APP,4238,Senegal,4518387.69,1.0,0.0,0,0,0
2009/2010,S4233,Senegal,Thompson Consultant Inc.,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4518387.69,0,D4207,Africa,Terminating,A020246001,Directive,WWD West & Central Africa,SN,B4200,0.66,0,Canadian Profit Making,0,2,Senegal Program,0,Uncoded: Pre-APP,4238,Senegal,4518387.69,1.0,0.0,0,0,0
2009/2010,S4233,Senegal,Information not available,0,0,Individual,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,4518387.69,0,D4207,Africa,Terminating,A020246001,Directive,WWD West & Central Africa,SN,B4200,0.66,0,Canadian Profit Making,0,2,Senegal Program,0,Uncoded: Pre-APP,4238,Senegal,4518387.69,1.0,0.0,0,0,0
2009/2010,S4429,Guyana,CRC Sogema Inc.,0,0,Civil Society,1.0,0,1,1,0,NGM Americas,0,0,Not PBA,0,7850039.11,0,D4400,America,Closed,A020252001,Directive,NDD Americas Programming,GY,B4400,1.0,0,Canadian Profit Making,0,0,Caricom - Adm,0,Uncoded: Pre-APP,4438,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,0,0
2009/2010,S4130,Philippines,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13000520.92,0,D4100,Asia,Closed,A020272001,Directive,OAD Asia Programming,PH,B4100,0.5,1,Canadian Non-Profit Making,0,1,Philippines and Mongolia,0,Uncoded: Pre-APP,4128,Philippines,0.0,1.0,0.0,1,0,0
2009/2010,S4130,Philippines,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13000520.92,0,D4100,Asia,Closed,A020272001,Directive,OAD Asia Programming,PH,B4100,0.4,1,Canadian Non-Profit Making,0,1,Philippines and Mongolia,0,Uncoded: Pre-APP,4128,Philippines,0.0,1.0,0.0,1,0,0
2009/2010,S4130,Philippines,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,13000520.92,0,D4100,Asia,Closed,A020272001,Directive,OAD Asia Programming,PH,B4100,0.1,1,Canadian Non-Profit Making,0,1,Philippines and Mongolia,0,Uncoded: Pre-APP,4128,Philippines,0.0,1.0,0.0,1,0,0
2009/2010,S4141,Pakistan,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,2645994.04,0,D4100,Asia,Terminating,A020279001,Directive,OAD Asia Programming,PK,B4100,1.0,1,Canadian Non-Profit Making,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4124,Pakistan,0.0,1.0,0.0,0,0,0
2009/2010,S4271,Malawi,Agriteam Canada,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,7747230.74,0,D4270,Africa,Closed,A020392001,Directive,WED Southern & Eastern Africa,MW,B4200,1.0,1,Canadian Profit Making,0,1,Mozambique Program,0,Uncoded: Pre-APP,4280,Malawi,0.0,1.0,0.0,0,0,0
2009/2010,S4122,Bangladesh,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4947637.32,0,D4100,Asia,Closed,A020395001,Directive,OAD Asia Programming,BD,B4100,1.0,1,Canadian Non-Profit Making,0,0,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,0.0,0.5,0.0,0,0,0
2009/2010,S4122,Bangladesh,Information not available,0,0,Unknown,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4947637.32,0,D4100,Asia,Closed,A020395001,Directive,OAD Asia Programming,BD,B4100,1.0,1,Uncoded,0,0,Bangladesh Section,0,Uncoded: Pre-APP,4122,Bangladesh,0.0,0.5,0.0,0,0,0
2009/2010,S4271,Mozambique,Information not available,0,0,Individual,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,9096651.0,0,D4270,Africa,Closed,A020398001,Directive,WED Southern & Eastern Africa,MZ,B4200,0.5,0,Canadian Profit Making,0,0,Mozambique Program,0,Uncoded: Pre-APP,4274,Mozambique,0.0,1.0,0.0,0,0,0
2009/2010,S4271,Mozambique,Information not available,0,0,Individual,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,9096651.0,0,D4270,Africa,Closed,A020398001,Directive,WED Southern & Eastern Africa,MZ,B4200,0.5,0,Canadian Profit Making,0,0,Mozambique Program,0,Uncoded: Pre-APP,4274,Mozambique,0.0,1.0,0.0,0,0,0
2009/2010,S4287,Cameroon,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,2457111.5,0,D4207,Africa,Closed,A020449003,Directive,WWD West & Central Africa,CM,B4200,1.0,1,Canadian Non-Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4289,Cameroon,2457111.5,1.0,0.0,1,0,0
2009/2010,S4287,Cameroon,D�M�NAGEMENT OUTAOUAIS INC.,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,2457111.5,0,D4207,Africa,Closed,A020449003,Directive,WWD West & Central Africa,CM,B4200,1.0,1,Canadian Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4289,Cameroon,2457111.5,1.0,0.0,1,0,0
2009/2010,S4287,Cameroon,Information not available,0,0,Individual,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,2457111.5,0,D4207,Africa,Closed,A020449003,Directive,WWD West & Central Africa,CM,B4200,1.0,1,Canadian Profit Making,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4289,Cameroon,2457111.5,1.0,0.0,1,0,0
2009/2010,S4287,Cameroon,Information not available,0,0,Unknown,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,2457111.5,0,D4207,Africa,Closed,A020449003,Directive,WWD West & Central Africa,CM,B4200,1.0,1,Uncoded,0,2,Central Africa & Great Lakes Program,0,Uncoded: Pre-APP,4289,Cameroon,2457111.5,1.0,0.0,1,0,0
2009/2010,S4233,Guinea,UPA DI - Union des producteurs agricoles d�veloppement,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.5,0,Canadian Non-Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,Le Groupe Conseil Baastel Lt�e,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.5,0,Canadian Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,UPA DI - Union des producteurs agricoles d�veloppement,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.15,0,Canadian Non-Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,Le Groupe Conseil Baastel Lt�e,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.15,0,Canadian Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,UPA DI - Union des producteurs agricoles d�veloppement,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.1,0,Canadian Non-Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,Le Groupe Conseil Baastel Lt�e,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.1,0,Canadian Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,UPA DI - Union des producteurs agricoles d�veloppement,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.15,0,Canadian Non-Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,Le Groupe Conseil Baastel Lt�e,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.15,0,Canadian Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,UPA DI - Union des producteurs agricoles d�veloppement,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.1,0,Canadian Non-Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4233,Guinea,Le Groupe Conseil Baastel Lt�e,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Not PBA,0,11427061.07,0,D4207,Africa,Closed,A020715001,Directive,WWD West & Central Africa,GN,B4200,0.1,0,Canadian Profit Making,0,0,Senegal Program,0,Uncoded: Pre-APP,4242,*Guinea,11427061.07,1.0,0.0,0,0,0
2009/2010,S4141,Sri Lanka,Foundation for International Training,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4308867.95,1,D4100,Asia,Closed,A020790001,Directive,OAD Asia Programming,LK,B4100,0.8,0,Canadian Non-Profit Making,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4118,Sri Lanka,0.0,1.0,0.0,0,0,0
2009/2010,S4141,Sri Lanka,Foundation for International Training,0,0,Civil Society,1.0,0,3,1,0,OGM Asia Pacific,0,0,Not PBA,0,4308867.95,1,D4100,Asia,Closed,A020790001,Directive,OAD Asia Programming,LK,B4100,0.2,0,Canadian Non-Profit Making,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",0,Uncoded: Pre-APP,4118,Sri Lanka,0.0,1.0,0.0,0,0,0
2009/2010,S4215,Mali,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Other PBA,0,3063216.68,1,D4207,Africa,Closed,A020891001,Directive,WWD West & Central Africa,ML,B4200,1.0,0,Canadian Non-Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,0.0,0.0,0.0,0,0,0
2009/2010,S4215,Mali,Information not available,0,0,Unknown,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Other PBA,0,3063216.68,1,D4207,Africa,Closed,A020891001,Directive,WWD West & Central Africa,ML,B4200,1.0,0,Uncoded,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,0.0,0.0,0.0,0,0,0
2009/2010,S4215,Mali,Department of Foreign Affairs and International Trade,0,0,Governmental,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Other PBA,0,16726210.87,0,D4207,Africa,Closed,A020892001,Directive,WWD West & Central Africa,ML,B4200,1.0,0,Canadian Non-Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,16726210.87,1.0,0.0,0,0,0
2009/2010,S4215,Mali,CAC International,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Other PBA,0,16726210.87,0,D4207,Africa,Closed,A020892001,Directive,WWD West & Central Africa,ML,B4200,1.0,0,Canadian Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,16726210.87,1.0,0.0,0,0,0
2009/2010,S4215,Mali,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,0,0,Civil Society,1.0,0,2,1,0,WGM Sub-Saharan Africa,0,0,Other PBA,0,16726210.87,0,D4207,Africa,Closed,A020892001,Directive,WWD West & Central Africa,ML,B4200,1.0,0,Canadian Profit Making,0,2,Mali Program Section,0,Uncoded: Pre-APP,4216,Mali,16726210.87,1.0,0.0,0,0,0
2009/2010,S4413,South America,Department of Foreign Affairs and International Trade,0,0,Governmental,0.1,0,1,1,0,NGM Americas,1,0,Not PBA,0,1488850.78,1,D4400,America,Closed,A020910001,Responsive,NDD Americas Programming,UY,B4400,0.1,1,Canadian Non-Profit Making,0,0,South America,0,Uncoded: Pre-APP,4422,*Southern Cone,0.0,1.0,0.0,1,0,0
2009/2010,S4413,South America,Information not available,0,0,Unknown,0.1,0,1,1,0,NGM Americas,1,0,Not PBA,0,1488850.78,1,D4400,America,Closed,A020910001,Responsive,NDD Americas Programming,UY,B4400,0.1,1,Uncoded,0,0,South America,0,Uncoded: Pre-APP,4422,*Southern Cone,0.0,1.0,0.0,1,0,0
2009/2010,S4413,South America,Department of Foreign Affairs and International Trade,0,0,Governmental,0.1,0,1,1,0,NGM Americas,1,0,Not PBA,0,1488850.78,1,D4400,America,Closed,A020910001,Responsive,NDD Americas Programming,UY,B4400,0.08,1,Canadian Non-Profit Making,0,0,South America,0,Uncoded: Pre-APP,4422,*Southern Cone,0.0,1.0,0.0,1,0,0
