description,curated_by,variant_id,cell_id,assay_tax_id,assay_subcellular_fraction,src_assay_id,assay_id,chembl_id,assay_tissue,confidence_score,src_id,assay_category,bao_format,assay_test_type,assay_organism,doc_id,tid,assay_type,relationship_type,assay_cell_type,tissue_id,assay_strain
Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),Autocuration,,,,,,22,CHEMBL615136,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,,,,23,CHEMBL615137,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,Autocuration,,,,,,24,CHEMBL615138,,8,1,,BAO_0000357,,,16474,12054,B,H,,,
"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",Autocuration,,,,,,25,CHEMBL836324,,0,1,,BAO_0000219,,,14352,22226,B,U,,,
In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,Autocuration,,,9986.0,,,26,CHEMBL615139,,8,1,,BAO_0000357,,Oryctolagus cuniculus,5646,12054,B,H,,,
Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),Autocuration,,,9986.0,,,27,CHEMBL615140,,8,1,,BAO_0000357,,Oryctolagus cuniculus,5646,12054,B,H,,,
Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,Autocuration,,,,,,28,CHEMBL615141,,8,1,,BAO_0000219,,,10997,12426,B,H,,,
Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,Autocuration,,,3847.0,,,29,CHEMBL615142,,8,1,,BAO_0000357,,soya bean,6309,12054,B,H,,,
Inhibitory activity against soybean 15-lipoxygenase was evaluated,Autocuration,,,3847.0,,,30,CHEMBL615143,,8,1,,BAO_0000357,,Glycine max,167,12054,B,H,,,
Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,Autocuration,,,3847.0,,,31,CHEMBL615144,,8,1,,BAO_0000357,,Glycine max,167,12054,B,H,,,
The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,Autocuration,,,3847.0,,,32,CHEMBL872867,,8,1,,BAO_0000357,,Glycine max,11087,12054,B,H,,,
The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Autocuration,,,3847.0,,,33,CHEMBL615145,,8,1,,BAO_0000357,,Glycine max,11087,12054,B,H,,,
Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,,3847.0,,,34,CHEMBL615146,,8,1,,BAO_0000357,,Glycine max,13622,12054,B,H,,,
Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,,3847.0,,,35,CHEMBL615147,,8,1,,BAO_0000357,,Glycine max,13622,12054,B,H,,,
Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Autocuration,,,10116.0,,,36,CHEMBL615148,,0,1,,BAO_0000019,,Rattus norvegicus,11347,22226,A,U,,,
Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Autocuration,,,562.0,,,37,CHEMBL615149,,0,1,,BAO_0000019,,Escherichia coli,5926,22226,B,U,,,
Dissociation constant with dimeric 16S rRNA RNA construct B,Autocuration,,,,,,38,CHEMBL615150,,0,1,,BAO_0000019,,,4567,22226,B,U,,,
Dissociation constant towards 16S rRNA construct A,Intermediate,,,,,,39,CHEMBL615151,,3,1,,BAO_0000225,,,3782,22222,B,M,,,
Dissociation constant towards 16S rRNA construct B,Intermediate,,,,,,40,CHEMBL615152,,3,1,,BAO_0000225,,,3782,22222,B,M,,,
Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Expert,,,562.0,,,41,CHEMBL615153,,3,1,,BAO_0000225,,Escherichia coli,4466,100263,B,M,,,
Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Expert,,,562.0,,,42,CHEMBL615154,,3,1,,BAO_0000225,,Escherichia coli,6592,100263,B,M,,,
Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,,43,CHEMBL615155,,8,1,,BAO_0000019,,,898,13053,B,H,,,
Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,,44,CHEMBL615156,,8,1,,BAO_0000019,,,898,13053,B,H,,,
The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,9606.0,,,45,CHEMBL615157,,8,1,,BAO_0000019,,Homo sapiens,13163,20001,B,H,,,
The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,9606.0,,,46,CHEMBL615158,,8,1,,BAO_0000019,,Homo sapiens,13163,20001,B,H,,,
"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,10116.0,,,47,CHEMBL615159,,9,1,,BAO_0000019,,Rattus norvegicus,10691,12971,B,D,,,
"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,10116.0,,,48,CHEMBL615172,,9,1,,BAO_0000019,,Rattus norvegicus,10691,12971,B,D,,,
"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,10116.0,,,49,CHEMBL615173,,9,1,,BAO_0000019,,Rattus norvegicus,10691,12971,B,D,,,
"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,10116.0,,,50,CHEMBL615174,,9,1,,BAO_0000019,,Rattus norvegicus,10691,12971,B,D,,,
Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,,51,CHEMBL884518,,8,1,,BAO_0000019,,,898,13053,B,H,,,
Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),Autocuration,,,,,,52,CHEMBL615175,,8,1,,BAO_0000357,,,912,11512,B,H,,,
Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,Autocuration,,,,,,53,CHEMBL615176,,8,1,,BAO_0000357,,,912,11512,B,H,,,
Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,Autocuration,,,,,,54,CHEMBL615177,,8,1,,BAO_0000357,,,912,11512,B,H,,,
Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Autocuration,,,10116.0,Membranes,,55,CHEMBL615178,,5,1,,BAO_0000249,,Rattus norvegicus,15103,104740,B,D,,,
Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Intermediate,,506.0,9606.0,,,56,CHEMBL615179,,1,1,,BAO_0000219,,Homo sapiens,5116,80002,F,N,1A9,,
Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Autocuration,,,10116.0,,,57,CHEMBL615180,,7,1,,BAO_0000219,,Rattus norvegicus,14578,104835,F,D,Oocytes,,
Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Autocuration,,,10116.0,,,58,CHEMBL615181,,7,1,,BAO_0000219,,Rattus norvegicus,14578,104821,F,D,Oocytes,,
Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Autocuration,,,10116.0,,,59,CHEMBL615182,,7,1,,BAO_0000219,,Rattus norvegicus,14578,104848,F,D,Oocytes,,
In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Expert,,506.0,9606.0,,,60,CHEMBL615183,,1,1,,BAO_0000219,,Homo sapiens,4787,80002,F,N,1A9,,
In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Intermediate,,506.0,9606.0,,,61,CHEMBL615184,,1,1,,BAO_0000219,,Homo sapiens,4787,80002,F,N,1A9,,
Cytotoxic activity against human ovarian cancer (1A9) cell line,Intermediate,,506.0,9606.0,,,62,CHEMBL615185,,1,1,,BAO_0000219,,Homo sapiens,3547,80002,F,N,1A9,,
Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Intermediate,,506.0,9606.0,,,63,CHEMBL615186,,1,1,,BAO_0000219,,Homo sapiens,3547,80002,F,N,1A9,,
Effective dose of compound against replication of 1A9 cell line was evaluated,Intermediate,,506.0,9606.0,,,64,CHEMBL615187,,1,1,,BAO_0000219,,Homo sapiens,6726,80002,F,N,1A9,,
In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Expert,,506.0,9606.0,,,65,CHEMBL885343,,1,1,,BAO_0000219,,Homo sapiens,3455,80002,F,N,1A9,,
In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Intermediate,,506.0,9606.0,,,66,CHEMBL615188,,1,1,,BAO_0000219,,Homo sapiens,5726,80002,F,N,1A9,,
In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Intermediate,,506.0,9606.0,,,67,CHEMBL615189,,1,1,,BAO_0000219,,Homo sapiens,5726,80002,F,N,1A9,,
In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Intermediate,,506.0,9606.0,,,68,CHEMBL615190,,1,1,,BAO_0000219,,Homo sapiens,5726,80002,F,N,1A9,,
Inhibitory activity against Taxol resistant 1A9 cell lines,Intermediate,,506.0,9606.0,,,69,CHEMBL615191,,1,1,,BAO_0000219,,Homo sapiens,3395,80002,F,N,1A9,,
Cytotoxicity against human ovarian cancer (1A9) cell lines.,Expert,,506.0,9606.0,,,70,CHEMBL615192,,1,1,,BAO_0000219,,Homo sapiens,3415,80002,F,N,1A9,,
Percentage inhibition of human ovarian cancer (1A9) cell lines.,Expert,,506.0,9606.0,,,71,CHEMBL827083,,1,1,,BAO_0000219,,Homo sapiens,3415,80002,F,N,1A9,,
Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Expert,,506.0,9606.0,,,72,CHEMBL615193,,1,1,,BAO_0000219,,Homo sapiens,17099,80002,F,N,1A9,,
Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Intermediate,,506.0,9606.0,,,73,CHEMBL615194,,1,1,,BAO_0000219,,Homo sapiens,17099,80002,F,N,1A9,,
Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Intermediate,,506.0,9606.0,,,74,CHEMBL615195,,1,1,,BAO_0000219,,Homo sapiens,17099,80002,F,N,1A9,,
Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Intermediate,,506.0,9606.0,,,75,CHEMBL615196,,1,1,,BAO_0000219,,Homo sapiens,17099,80002,F,N,1A9,,
Inhibitory concentration against Jurkat cells,Intermediate,,503.0,9606.0,,,76,CHEMBL615197,,1,1,,BAO_0000219,,Homo sapiens,17721,81072,F,N,Jurkat,,
In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,Intermediate,,,,,,77,CHEMBL615198,,0,1,,BAO_0000019,,,1229,22226,F,U,,,
Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Expert,,,10116.0,,,78,CHEMBL615199,,9,1,,BAO_0000357,,Rattus norvegicus,11347,100121,A,D,,,
"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,,79,CHEMBL615200,,8,1,,BAO_0000357,,,17117,11231,B,H,,,
"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,,80,CHEMBL615201,,8,1,,BAO_0000357,,,17117,11231,B,H,,,
"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",Expert,,,,,,81,CHEMBL615202,,8,1,,BAO_0000357,,,17117,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Autocuration,,,5476.0,Microsomes,,82,CHEMBL615203,,8,1,,BAO_0000251,,Candida albicans,11375,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Autocuration,,,5476.0,Microsomes,,83,CHEMBL615204,,8,1,,BAO_0000251,,Candida albicans,11375,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,4932.0,Microsomes,,84,CHEMBL615205,,8,1,,BAO_0000251,,Saccharomyces cerevisiae,11375,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,4932.0,Microsomes,,85,CHEMBL615206,,8,1,,BAO_0000251,,Saccharomyces cerevisiae,11375,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Autocuration,,,9823.0,Microsomes,,86,CHEMBL615207,Liver,8,1,,BAO_0000251,,Sus scrofa,11375,12083,B,H,,2107.0,
"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Autocuration,,,10116.0,,,87,CHEMBL827084,,8,1,,BAO_0000019,,Rattus norvegicus,791,11231,B,H,,,
"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Autocuration,,,10116.0,,,88,CHEMBL615208,,8,1,,BAO_0000019,,Rattus norvegicus,791,11231,B,H,,,
"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Autocuration,,,10116.0,,,89,CHEMBL615209,,8,1,,BAO_0000019,,Rattus norvegicus,791,11231,B,H,,,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Autocuration,,,10116.0,Microsomes,,90,CHEMBL615210,Liver,9,1,,BAO_0000251,,Rattus norvegicus,11375,12083,B,D,,2107.0,
"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,10116.0,Microsomes,,91,CHEMBL615211,Liver,9,1,,BAO_0000251,,Rattus norvegicus,11375,12083,B,D,,2107.0,
"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,10116.0,Microsomes,,92,CHEMBL615212,Liver,9,1,,BAO_0000251,,Rattus norvegicus,153,12083,B,D,,2107.0,
Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),Expert,,,,,,93,CHEMBL615213,,8,1,,BAO_0000357,,,8269,11377,B,H,,,
Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,Expert,,,,,,94,CHEMBL615273,,8,1,,BAO_0000357,,,8269,11377,B,H,,,
In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,726.0,9606.0,,,95,CHEMBL615274,,1,1,,BAO_0000219,,Homo sapiens,17653,81020,F,N,HepG2,,
50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Intermediate,,726.0,9606.0,,,96,CHEMBL615275,,1,1,,BAO_0000219,,Homo sapiens,14277,81020,F,N,HepG2,,
Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Intermediate,,726.0,9606.0,,,97,CHEMBL615276,,1,1,,BAO_0000219,,Homo sapiens,1717,81020,F,N,HepG2,,
In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Intermediate,,726.0,9606.0,,,98,CHEMBL615277,,1,1,,BAO_0000219,,Homo sapiens,14091,81020,F,N,HepG2,,
In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Intermediate,,726.0,9606.0,,,99,CHEMBL615326,,1,1,,BAO_0000219,,Homo sapiens,14091,81020,F,N,HepG2,,
In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,,10407.0,,,100,CHEMBL883130,,1,1,,BAO_0000218,,Hepatitis B virus,17653,50606,F,N,,,
Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Intermediate,,726.0,9606.0,,,101,CHEMBL884519,,1,1,,BAO_0000219,,Homo sapiens,13105,81020,F,N,HepG2,,
Concentration required to inhibit 50% of 2.2.15 cell line,Intermediate,,726.0,9606.0,,,102,CHEMBL615327,,1,1,,BAO_0000219,,Homo sapiens,1717,81020,F,N,HepG2,,
Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Intermediate,,726.0,9606.0,,,103,CHEMBL615328,,1,1,,BAO_0000219,,Homo sapiens,13105,81020,A,N,HepG2,,
Cytotoxic activity of compound against uninfected 2.2.15 cells.,Intermediate,,,9606.0,,,104,CHEMBL615329,,1,1,,BAO_0000218,,Homo sapiens,13600,50587,F,N,2.2.15,,
Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Intermediate,,,9606.0,,,105,CHEMBL615330,,1,1,,BAO_0000218,,Homo sapiens,13467,50587,F,N,2.2.15,,
"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Expert,,,10407.0,,,106,CHEMBL615331,,1,1,,BAO_0000218,,Hepatitis B virus,17477,50606,F,N,2.2.15,,
In vitro anti-HBV activity in 2.2.15 cells,Intermediate,,,9606.0,,,107,CHEMBL615332,,1,1,,BAO_0000218,,Homo sapiens,1593,50587,F,N,2.2.15,,
In vitro anti-HBV activity in 2.2.15 cells; Not determined,Intermediate,,,9606.0,,,108,CHEMBL615333,,1,1,,BAO_0000218,,Homo sapiens,1593,50587,F,N,2.2.15,,
The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Intermediate,,,9606.0,,,109,CHEMBL615334,,1,1,,BAO_0000218,,Homo sapiens,15089,50587,F,N,2.2.15,,
The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Intermediate,,,9606.0,,,110,CHEMBL615335,,1,1,,BAO_0000218,,Homo sapiens,15089,50587,F,N,2.2.15,,
Cytotoxicity in 2.2.15 cells,Intermediate,,,9606.0,,,111,CHEMBL615336,,1,1,,BAO_0000218,,Homo sapiens,1593,50587,F,N,2.2.15,,
Cytotoxicity in 2.2.15 cells; Not determined,Intermediate,,,9606.0,,,112,CHEMBL615337,,1,1,,BAO_0000218,,Homo sapiens,1593,50587,F,N,2.2.15,,
Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Intermediate,,,9606.0,,,113,CHEMBL615338,,1,1,,BAO_0000218,,Homo sapiens,13600,50587,F,N,2.2.15,,
The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Intermediate,,,9606.0,,,114,CHEMBL615339,,1,1,,BAO_0000218,,Homo sapiens,13467,50587,F,N,2.2.15,,
Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Intermediate,,,9606.0,,,115,CHEMBL615340,,1,1,,BAO_0000218,,Homo sapiens,13467,50587,F,N,2.2.15,,
Antiviral activity against HBV was determined in 2.215 cell line,Intermediate,,726.0,9606.0,,,116,CHEMBL615341,,1,1,,BAO_0000219,,Homo sapiens,14764,81020,F,N,HepG2,,
Inhibition of 20-HETE synthesis in human renal microsomes,Autocuration,,,9606.0,Microsomes,,117,CHEMBL615342,,0,1,,BAO_0000251,,Homo sapiens,6531,22226,B,U,,,
Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,Autocuration,,,,,,118,CHEMBL615343,,0,1,,BAO_0000019,,,17322,22226,B,U,,,
Inhibitory concentration against 2008 (ovarian) cells,Intermediate,,388.0,9606.0,,,119,CHEMBL615344,,1,1,,BAO_0000219,,Homo sapiens,17072,80612,F,N,2008,,
50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Intermediate,,388.0,9606.0,,,120,CHEMBL615345,,1,1,,BAO_0000219,,Homo sapiens,16936,80612,F,N,2008,,
Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Intermediate,,388.0,9606.0,,,121,CHEMBL615346,,1,1,,BAO_0000219,,Homo sapiens,16936,80612,F,N,2008,,
Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Intermediate,,388.0,9606.0,,,122,CHEMBL615347,,1,1,,BAO_0000219,,Homo sapiens,17146,80612,F,N,2008,,
Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Intermediate,,388.0,9606.0,,,123,CHEMBL615348,,1,1,,BAO_0000219,,Homo sapiens,17146,80612,F,N,2008,,
In vitro inhibition of 2008/R ovarian cancer cell line,Intermediate,,561.0,9606.0,,,124,CHEMBL827085,,1,1,,BAO_0000219,,Homo sapiens,10797,80613,F,N,2008/R,,
In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Intermediate,,561.0,9606.0,,,125,CHEMBL615349,,1,1,,BAO_0000219,,Homo sapiens,10797,80613,F,N,2008/R,,
In vitro inhibition of 2008/S ovarian cancer cell line,Intermediate,,389.0,9606.0,,,126,CHEMBL615350,,1,1,,BAO_0000219,,Homo sapiens,10797,80614,F,N,2008/S,,
In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Intermediate,,389.0,9606.0,,,127,CHEMBL615351,,1,1,,BAO_0000219,,Homo sapiens,10797,80614,F,N,2008/S,,
Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Expert,,,9606.0,,,128,CHEMBL615352,,2,1,,BAO_0000220,,Homo sapiens,4823,100256,B,S,,,
Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Intermediate,,,9606.0,,,129,CHEMBL615353,,2,1,,BAO_0000220,,Homo sapiens,12912,100256,B,S,,,
Inhibition of chymotrypsin-like activity of 20S proteasome,Expert,,,,,,130,CHEMBL615354,,2,1,,BAO_0000220,,,2957,100256,B,S,,,
Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,Expert,,,,,,131,CHEMBL615355,,2,1,,BAO_0000220,,,2957,100256,B,S,,,
Inhibitory activity against 20S proteosome,Intermediate,,,,,,132,CHEMBL615356,,2,1,,BAO_0000220,,,3260,100256,B,S,,,
Compound was tested for inhibitory activity against tryptase,Autocuration,,,9606.0,,,133,CHEMBL615357,,0,1,,BAO_0000019,,Homo sapiens,3451,22226,B,U,,,
Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,726.0,9606.0,,,134,CHEMBL615358,,1,1,,BAO_0000219,,Homo sapiens,13885,81020,F,N,HepG2,,
Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,726.0,9606.0,,,135,CHEMBL827086,,1,1,,BAO_0000219,,Homo sapiens,13885,81020,F,N,HepG2,,
Compound was tested for the inhibition of Alpha-glucosidase,Autocuration,,,,,,136,CHEMBL615359,,0,1,,BAO_0000019,,,3676,22226,B,U,,,
Inhibitory concentration against human neutrophil elastase (HNE),Autocuration,,,,,,137,CHEMBL615360,,8,1,,BAO_0000357,,,6043,235,B,H,,,
Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Autocuration,,,10116.0,,,138,CHEMBL615361,Heart,0,1,,BAO_0000218,,Rattus norvegicus,11140,22226,F,U,,948.0,
