ss_sbclllr_frctn,ss_tst_tp,ss_tss,ss_cll_tp,ss_ctgr,cnfdnc_scr,vrnt_d,src_ss_d,rltnshp_tp,td,dc_d,src_d,ss_tx_d,ss_d,ss_strn,b_frmt,ss_rgnsm,tss_d,chmbl_d,ss_tp,cll_d,dscrptn,crtd_b
,,Plasma,,,1,,,N,50597,2879,1,10116.0,7554,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL620447,A,,Biological half-life measured in plasma of rat,Intermediate
,,Plasma,,,1,,,N,50597,2879,1,10116.0,7555,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL621129,A,,Biological half-life measured in plasma of rat; 22-25,Intermediate
,,Plasma,,,1,,,N,50597,2879,1,10116.0,7556,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL621130,A,,Biological half-life measured in plasma of rat; 9-16,Intermediate
,In vivo,,,,1,,,N,50597,3184,1,10116.0,7557,,BAO_0000218,Rattus norvegicus,,CHEMBL873808,A,,Compound was evaluated for its half life when administered intravenously in rat,Intermediate
,In vivo,,,,1,,,N,50597,4891,1,10116.0,7558,,BAO_0000218,Rattus norvegicus,,CHEMBL876598,A,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Intermediate
,In vivo,,,,1,,,N,50597,429,1,10116.0,7559,,BAO_0000218,Rattus norvegicus,,CHEMBL621131,A,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Intermediate
,In vivo,,,,1,,,N,50597,5656,1,10116.0,7560,,BAO_0000218,Rattus norvegicus,,CHEMBL621132,A,,Half life (T1/2) after oral administration in rat,Intermediate
,In vivo,,,,1,,,N,50597,4413,1,10116.0,7561,,BAO_0000218,Rattus norvegicus,,CHEMBL621133,A,,Half life of compound after iv administration of 20 mg/kg dose in rat,Intermediate
,In vivo,,,,1,,,N,50597,3598,1,10116.0,7562,,BAO_0000218,Rattus norvegicus,,CHEMBL621312,A,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Expert
,,,,,1,,,N,50597,17267,1,10116.0,7563,,BAO_0000218,Rattus norvegicus,,CHEMBL621313,A,,Half life of compound was determined in rat,Intermediate
,,Blood,,,1,,,N,50597,4727,1,10116.0,7564,,BAO_0000218,Rattus norvegicus,178.0,CHEMBL621314,A,,Half life of compound was determined in rat blood,Intermediate
,In vivo,,,,1,,,N,50597,17651,1,10116.0,7565,,BAO_0000218,Rattus norvegicus,,CHEMBL621315,A,,Half life at 1 mg/kg was determined in rat,Intermediate
,In vivo,,,,1,,,N,50597,17651,1,10116.0,7566,,BAO_0000218,Rattus norvegicus,,CHEMBL621316,A,,Half life at 10 mg/kg was determined in rat,Intermediate
,,,,,1,,,N,50597,401,1,10116.0,7567,,BAO_0000218,Rattus norvegicus,,CHEMBL621317,A,,Half life in rats,Intermediate
,,,,,1,,,N,50597,4942,1,10116.0,7568,,BAO_0000218,Rattus norvegicus,,CHEMBL621318,A,,Half life in rats in hours,Intermediate
,In vivo,,,,1,,,N,50597,17735,1,10116.0,7569,,BAO_0000218,Rattus norvegicus,,CHEMBL621319,A,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate
,In vivo,,,,1,,,N,50597,6056,1,10116.0,7570,,BAO_0000218,Rattus norvegicus,,CHEMBL621377,A,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Intermediate
,,,,,1,,,N,50597,5213,1,10116.0,7571,,BAO_0000218,Rattus norvegicus,,CHEMBL621378,A,,Half life was determined,Intermediate
,In vivo,,,,1,,,N,50597,6616,1,10116.0,7572,,BAO_0000218,Rattus norvegicus,,CHEMBL876599,A,,Half life after i.v. administration,Intermediate
,In vivo,,,,1,,,N,50597,5937,1,10116.0,7573,,BAO_0000218,Rattus norvegicus,,CHEMBL621379,A,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,Intermediate
,,Plasma,,,1,,,N,50597,5819,1,10116.0,7574,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL621380,A,,Half life in rat plasma,Intermediate
,,Plasma,,,1,,,N,50597,5819,1,10116.0,7575,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL621381,A,,Half life in rat plasma; Not detected,Intermediate
,,,,,1,,,N,50597,6803,1,10116.0,7576,,BAO_0000218,Rattus norvegicus,,CHEMBL618515,A,,Half life in rats,Intermediate
,In vivo,,,,1,,,N,50597,17804,1,10116.0,7577,,BAO_0000218,Rattus norvegicus,,CHEMBL618516,A,,Half life period of compound was determined after peroral administration,Intermediate
,In vivo,,,,1,,,N,50597,17804,1,10116.0,7578,,BAO_0000218,Rattus norvegicus,,CHEMBL618517,A,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,Intermediate
,,,,,1,,,N,50597,5948,1,10116.0,7579,,BAO_0000218,Rattus norvegicus,,CHEMBL618518,A,,Half life period in rat,Intermediate
,In vivo,,,,1,,,N,50597,1916,1,10116.0,7580,,BAO_0000218,Rattus norvegicus,,CHEMBL618519,A,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Intermediate
,In vivo,,,,1,,,N,50597,1916,1,10116.0,7581,,BAO_0000218,Rattus norvegicus,,CHEMBL618698,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,Intermediate
,In vivo,,,,1,,,N,50597,1916,1,10116.0,7582,,BAO_0000218,Rattus norvegicus,,CHEMBL618862,A,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,Intermediate
,In vivo,,,,1,,,N,50597,4890,1,10116.0,7583,,BAO_0000218,Rattus norvegicus,,CHEMBL618863,A,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,Intermediate
,In vivo,,,,1,,,N,50597,17764,1,10116.0,7584,,BAO_0000218,Rattus norvegicus,,CHEMBL618864,A,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,Intermediate
,In vivo,,,,1,,,N,50597,4727,1,10116.0,7585,,BAO_0000218,Rattus norvegicus,,CHEMBL618865,A,,Half life time in rat the dose of 2 mg/kg,Intermediate
,In vivo,,,,1,,,N,50597,17509,1,10116.0,7586,,BAO_0000218,Rattus norvegicus,,CHEMBL618866,A,,Half-life 24 hr after 10 mg/kg iv administration in rats,Intermediate
,In vivo,,,,1,,,N,50597,17509,1,10116.0,7587,,BAO_0000218,Rattus norvegicus,,CHEMBL618867,A,,Half-life 24 hr after 2 mg/kg iv administration in rats,Intermediate
,,,,,1,,,N,50597,6597,1,10116.0,7588,,BAO_0000218,Rattus norvegicus,,CHEMBL875828,A,,Half-life consistent with the observed metabolic steady state in rats,Intermediate
,In vivo,,,,1,,,N,50597,17735,1,10116.0,7589,,BAO_0000218,Rattus norvegicus,,CHEMBL618868,A,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Intermediate
,,,,,1,,,N,50597,6597,1,10116.0,7590,,BAO_0000218,Rattus norvegicus,,CHEMBL618869,A,,Half-life for oxidative metabolic stability was determined using male human,Intermediate
,In vivo,,,,1,,,N,50597,17670,1,10116.0,7591,,BAO_0000218,Rattus norvegicus,,CHEMBL618870,A,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",Intermediate
,,Plasma,,,1,,,N,50597,1696,1,10116.0,7592,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL618871,A,,Half-life in rat plasma,Intermediate
,,Plasma,,,1,,,N,50597,1742,1,10116.0,7593,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL618872,A,,Half-life in rat plasma was determined,Intermediate
,,,,,1,,,N,50597,17800,1,10116.0,7594,,BAO_0000218,Rattus norvegicus,,CHEMBL873816,A,,Half-life in rats was determined,Intermediate
,,,,,0,,,U,22224,12923,1,,7595,,BAO_0000218,,,CHEMBL618873,A,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,Autocuration
,,,,,0,,,U,22224,11954,1,,7596,,BAO_0000019,,,CHEMBL621602,A,,Area under curve after oral dose of 0.1 mg//kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7597,,BAO_0000218,,,CHEMBL621603,A,,Area under curve after oral dose of 0.3 mg/kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7598,,BAO_0000218,,,CHEMBL621604,A,,Area under curve after oral dose of 1 mg/kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7599,,BAO_0000218,,,CHEMBL621605,A,,Area under curve after oral dose of 10 mg/kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7600,,BAO_0000218,,,CHEMBL621606,A,,Area under curve after oral dose of 23.4 mg/kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7601,,BAO_0000218,,,CHEMBL621607,A,,Area under curve after oral dose of 3 mg/kg,Autocuration
,,,,,0,,,U,22224,11954,1,,7602,,BAO_0000218,,,CHEMBL621608,A,,Area under curve after oral dose of 3.87 mg/kg,Autocuration
,,,,,0,,,U,22224,5237,1,,7603,,BAO_0000019,,,CHEMBL621609,A,,Area under curve was determined,Autocuration
,,,,,0,,,U,22224,4026,1,,7604,,BAO_0000218,,,CHEMBL621610,A,,Area under curve at a dose of 10 mg/kg,Autocuration
,,,,,1,,,N,50597,5237,1,10116.0,7605,,BAO_0000218,Rattus norvegicus,,CHEMBL621611,A,,Area under curve was determined; ND=No data,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7606,,BAO_0000218,Rattus norvegicus,,CHEMBL621612,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7607,,BAO_0000218,Rattus norvegicus,,CHEMBL622308,A,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7608,,BAO_0000218,Rattus norvegicus,,CHEMBL622309,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7609,,BAO_0000218,Rattus norvegicus,,CHEMBL622310,A,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7610,,BAO_0000218,Rattus norvegicus,,CHEMBL622311,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7611,,BAO_0000218,Rattus norvegicus,,CHEMBL622312,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7612,,BAO_0000218,Rattus norvegicus,,CHEMBL622931,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,,,,1,,,N,50597,14793,1,10116.0,7613,,BAO_0000218,Rattus norvegicus,,CHEMBL622932,A,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7614,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622736,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7615,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622737,A,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7616,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622738,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7617,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622739,A,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7618,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622740,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7619,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622741,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7620,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622742,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Intermediate
,,Plasma,,,1,,,N,50597,14793,1,10116.0,7621,,BAO_0000218,Rattus norvegicus,1969.0,CHEMBL622743,A,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Intermediate
,,Plasma,,,1,,,N,50594,11637,1,10090.0,7622,,BAO_0000218,Mus musculus,1969.0,CHEMBL622744,A,,AUC in mice,Intermediate
,,,,,0,,,U,22224,11149,1,,7623,,BAO_0000019,,,CHEMBL624134,A,,Area under curve was measured from the graph obtained from concentration Vs time,Autocuration
,,,,,0,,,U,22224,10016,1,,7624,,BAO_0000019,,,CHEMBL624135,A,,Area under curve value of compound per hour after oral administration,Autocuration
,,,,,1,,,N,50597,17796,1,10116.0,7625,,BAO_0000218,Rattus norvegicus,,CHEMBL624136,A,,Area under curve was determined after oral administration in rats,Intermediate
,,,,,1,,,N,50597,17796,1,10116.0,7626,,BAO_0000218,Rattus norvegicus,,CHEMBL624137,A,,Area under curve was determined after oral administration in rats; No data,Intermediate
,,,,,1,,,N,50597,17796,1,10116.0,7627,,BAO_0000218,Rattus norvegicus,,CHEMBL624320,A,,Area under curve was determined after oral administration in rats;No data,Intermediate
,,,,,1,,,N,50588,12923,1,9615.0,7628,,BAO_0000218,Canis lupus familiaris,,CHEMBL624321,A,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7629,,BAO_0000218,Rattus norvegicus,,CHEMBL624322,A,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7630,,BAO_0000218,Rattus norvegicus,,CHEMBL624323,A,,Area under curve was determined for the compound after iv dose of 5.06 in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7631,,BAO_0000218,Rattus norvegicus,,CHEMBL624324,A,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7632,,BAO_0000218,Rattus norvegicus,,CHEMBL624325,A,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7633,,BAO_0000218,Rattus norvegicus,,CHEMBL624326,A,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7634,,BAO_0000218,Rattus norvegicus,,CHEMBL624327,A,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,Intermediate
,,,,,1,,,N,50597,15372,1,10116.0,7635,,BAO_0000218,Rattus norvegicus,,CHEMBL624328,A,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,Intermediate
,,,,,1,,,N,50588,14169,1,9615.0,7636,,BAO_0000218,Canis lupus familiaris,,CHEMBL627848,A,,Area under curve was determined in Dogs after peroral administration,Intermediate
,,,,,1,,,N,50597,14169,1,10116.0,7637,,BAO_0000218,Rattus norvegicus,,CHEMBL627849,A,,Area under curve was determined in Rats after peroral administration,Intermediate
,,,,,1,,,N,50597,14258,1,10116.0,7638,,BAO_0000218,Rattus norvegicus,,CHEMBL627850,A,,Area under curve was determined in carotid blood of rat when administered intradermally,Intermediate
,,,,,1,,,N,50597,14258,1,10116.0,7639,,BAO_0000218,Rattus norvegicus,,CHEMBL627851,A,,Area under curve was determined in portal blood of rat when administered intradermally,Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7640,,BAO_0000218,Mus musculus,,CHEMBL627852,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7641,,BAO_0000218,Mus musculus,,CHEMBL627853,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7642,,BAO_0000218,Mus musculus,,CHEMBL627854,A,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7643,,BAO_0000218,Mus musculus,,CHEMBL627855,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7644,,BAO_0000218,Mus musculus,,CHEMBL627856,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7645,,BAO_0000218,Mus musculus,,CHEMBL875339,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Intermediate
,,,,,1,,,N,50594,15011,1,10090.0,7646,,BAO_0000218,Mus musculus,,CHEMBL627857,A,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),Intermediate
,In vivo,Spleen,,,1,,,N,50597,11195,1,10116.0,7647,,BAO_0000218,Rattus norvegicus,2106.0,CHEMBL627858,A,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Intermediate
,,Blood,,,1,,,N,50597,10130,1,10116.0,7648,,BAO_0000218,Rattus norvegicus,178.0,CHEMBL627859,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Intermediate
,,Brain,,,1,,,N,50597,10130,1,10116.0,7649,,BAO_0000218,Rattus norvegicus,955.0,CHEMBL627860,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Intermediate
,,Heart,,,1,,,N,50597,10130,1,10116.0,7650,,BAO_0000218,Rattus norvegicus,948.0,CHEMBL627019,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Intermediate
,,Liver,,,1,,,N,50597,10130,1,10116.0,7651,,BAO_0000218,Rattus norvegicus,2107.0,CHEMBL627020,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Intermediate
,,Lung,,,1,,,N,50597,10130,1,10116.0,7652,,BAO_0000218,Rattus norvegicus,2048.0,CHEMBL627021,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Intermediate
,,Muscle tissue,,,1,,,N,50597,10130,1,10116.0,7653,,BAO_0000218,Rattus norvegicus,2385.0,CHEMBL627022,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Intermediate
,,,,,1,,,N,50597,10130,1,10116.0,7654,,BAO_0000218,Rattus norvegicus,,CHEMBL627023,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,Intermediate
,,Spleen,,,1,,,N,50597,10130,1,10116.0,7655,,BAO_0000218,Rattus norvegicus,2106.0,CHEMBL627024,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Intermediate
,,Thyroid gland,,,1,,,N,50597,10130,1,10116.0,7656,,BAO_0000218,Rattus norvegicus,2046.0,CHEMBL627025,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Intermediate
,,Kidney,,,1,,,N,50597,10130,1,10116.0,7657,,BAO_0000218,Rattus norvegicus,2113.0,CHEMBL627026,A,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Intermediate
,,Blood,,,1,,,N,50597,10130,1,10116.0,7658,,BAO_0000218,Rattus norvegicus,178.0,CHEMBL627027,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Intermediate
,,Brain,,,1,,,N,50597,10130,1,10116.0,7659,,BAO_0000218,Rattus norvegicus,955.0,CHEMBL627028,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Intermediate
,,Heart,,,1,,,N,50597,10130,1,10116.0,7660,,BAO_0000218,Rattus norvegicus,948.0,CHEMBL627029,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Intermediate
,,Kidney,,,1,,,N,50597,10130,1,10116.0,7661,,BAO_0000218,Rattus norvegicus,2113.0,CHEMBL627030,A,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Intermediate
