assay_id,tissue_id,doc_id,assay_tax_id,bao_format,assay_category,src_assay_id,cell_id,curated_by,src_id,assay_organism,assay_test_type,confidence_score,assay_subcellular_fraction,relationship_type,assay_strain,description,assay_type,assay_tissue
55,,15103,10116.0,BAO_0000249,,,,Autocuration,1,Rattus norvegicus,,5,Membranes,D,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,
56,,5116,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,
57,,14578,10116.0,BAO_0000219,,,,Autocuration,1,Rattus norvegicus,,7,,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,
58,,14578,10116.0,BAO_0000219,,,,Autocuration,1,Rattus norvegicus,,7,,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,
59,,14578,10116.0,BAO_0000219,,,,Autocuration,1,Rattus norvegicus,,7,,D,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,
60,,4787,9606.0,BAO_0000219,,,506.0,Expert,1,Homo sapiens,,1,,N,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,
61,,4787,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,
62,,3547,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,
63,,3547,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,
64,,6726,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Effective dose of compound against replication of 1A9 cell line was evaluated,F,
65,,3455,9606.0,BAO_0000219,,,506.0,Expert,1,Homo sapiens,,1,,N,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,
66,,5726,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,
67,,5726,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,
68,,5726,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,
69,,3395,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Inhibitory activity against Taxol resistant 1A9 cell lines,F,
70,,3415,9606.0,BAO_0000219,,,506.0,Expert,1,Homo sapiens,,1,,N,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,
71,,3415,9606.0,BAO_0000219,,,506.0,Expert,1,Homo sapiens,,1,,N,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,
72,,17099,9606.0,BAO_0000219,,,506.0,Expert,1,Homo sapiens,,1,,N,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,
73,,17099,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,
74,,17099,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,
75,,17099,9606.0,BAO_0000219,,,506.0,Intermediate,1,Homo sapiens,,1,,N,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,
76,,17721,9606.0,BAO_0000219,,,503.0,Intermediate,1,Homo sapiens,,1,,N,,Inhibitory concentration against Jurkat cells,F,
77,,1229,,BAO_0000019,,,,Intermediate,1,,,0,,U,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,
78,,11347,10116.0,BAO_0000357,,,,Expert,1,Rattus norvegicus,,9,,D,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,
79,,17117,,BAO_0000357,,,,Expert,1,,,8,,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
80,,17117,,BAO_0000357,,,,Expert,1,,,8,,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,
81,,17117,,BAO_0000357,,,,Expert,1,,,8,,H,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,
82,,11375,5476.0,BAO_0000251,,,,Autocuration,1,Candida albicans,,8,Microsomes,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,
83,,11375,5476.0,BAO_0000251,,,,Autocuration,1,Candida albicans,,8,Microsomes,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,
84,,11375,4932.0,BAO_0000251,,,,Autocuration,1,Saccharomyces cerevisiae,,8,Microsomes,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,
85,,11375,4932.0,BAO_0000251,,,,Autocuration,1,Saccharomyces cerevisiae,,8,Microsomes,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,
86,2107.0,11375,9823.0,BAO_0000251,,,,Autocuration,1,Sus scrofa,,8,Microsomes,H,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,Liver
87,,791,10116.0,BAO_0000019,,,,Autocuration,1,Rattus norvegicus,,8,,H,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,
88,,791,10116.0,BAO_0000019,,,,Autocuration,1,Rattus norvegicus,,8,,H,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,
89,,791,10116.0,BAO_0000019,,,,Autocuration,1,Rattus norvegicus,,8,,H,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,
90,2107.0,11375,10116.0,BAO_0000251,,,,Autocuration,1,Rattus norvegicus,,9,Microsomes,D,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,Liver
91,2107.0,11375,10116.0,BAO_0000251,,,,Autocuration,1,Rattus norvegicus,,9,Microsomes,D,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Liver
92,2107.0,153,10116.0,BAO_0000251,,,,Autocuration,1,Rattus norvegicus,,9,Microsomes,D,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Liver
93,,8269,,BAO_0000357,,,,Expert,1,,,8,,H,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,
94,,8269,,BAO_0000357,,,,Expert,1,,,8,,H,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,
95,,17653,9606.0,BAO_0000219,,,726.0,Expert,1,Homo sapiens,,1,,N,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
96,,14277,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,
97,,1717,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,
98,,14091,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,
99,,14091,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,
100,,17653,10407.0,BAO_0000218,,,,Expert,1,Hepatitis B virus,,1,,N,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,
101,,13105,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,
102,,1717,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Concentration required to inhibit 50% of 2.2.15 cell line,F,
103,,13105,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,
104,,13600,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,
105,,13467,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,
106,,17477,10407.0,BAO_0000218,,,,Expert,1,Hepatitis B virus,,1,,N,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,
107,,1593,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,In vitro anti-HBV activity in 2.2.15 cells,F,
108,,1593,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,
109,,15089,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,
110,,15089,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,
111,,1593,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxicity in 2.2.15 cells,F,
112,,1593,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Cytotoxicity in 2.2.15 cells; Not determined,F,
113,,13600,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,
114,,13467,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,
115,,13467,9606.0,BAO_0000218,,,,Intermediate,1,Homo sapiens,,1,,N,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,
116,,14764,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Antiviral activity against HBV was determined in 2.215 cell line,F,
117,,6531,9606.0,BAO_0000251,,,,Autocuration,1,Homo sapiens,,0,Microsomes,U,,Inhibition of 20-HETE synthesis in human renal microsomes,B,
118,,17322,,BAO_0000019,,,,Autocuration,1,,,0,,U,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,
119,,17072,9606.0,BAO_0000219,,,388.0,Intermediate,1,Homo sapiens,,1,,N,,Inhibitory concentration against 2008 (ovarian) cells,F,
120,,16936,9606.0,BAO_0000219,,,388.0,Intermediate,1,Homo sapiens,,1,,N,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,
121,,16936,9606.0,BAO_0000219,,,388.0,Intermediate,1,Homo sapiens,,1,,N,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,
122,,17146,9606.0,BAO_0000219,,,388.0,Intermediate,1,Homo sapiens,,1,,N,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,
123,,17146,9606.0,BAO_0000219,,,388.0,Intermediate,1,Homo sapiens,,1,,N,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,
124,,10797,9606.0,BAO_0000219,,,561.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro inhibition of 2008/R ovarian cancer cell line,F,
125,,10797,9606.0,BAO_0000219,,,561.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,
126,,10797,9606.0,BAO_0000219,,,389.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro inhibition of 2008/S ovarian cancer cell line,F,
127,,10797,9606.0,BAO_0000219,,,389.0,Intermediate,1,Homo sapiens,,1,,N,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,
128,,4823,9606.0,BAO_0000220,,,,Expert,1,Homo sapiens,,2,,S,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,
129,,12912,9606.0,BAO_0000220,,,,Intermediate,1,Homo sapiens,,2,,S,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,
130,,2957,,BAO_0000220,,,,Expert,1,,,2,,S,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,
131,,2957,,BAO_0000220,,,,Expert,1,,,2,,S,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,
132,,3260,,BAO_0000220,,,,Intermediate,1,,,2,,S,,Inhibitory activity against 20S proteosome,B,
133,,3451,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,0,,U,,Compound was tested for inhibitory activity against tryptase,B,
134,,13885,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,
135,,13885,9606.0,BAO_0000219,,,726.0,Intermediate,1,Homo sapiens,,1,,N,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,
136,,3676,,BAO_0000019,,,,Autocuration,1,,,0,,U,,Compound was tested for the inhibition of Alpha-glucosidase,B,
137,,6043,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Inhibitory concentration against human neutrophil elastase (HNE),B,
138,948.0,11140,10116.0,BAO_0000218,,,,Autocuration,1,Rattus norvegicus,,0,,U,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,Heart
139,,10543,,BAO_0000019,,,,Autocuration,1,,,8,,H,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
140,,10543,,BAO_0000019,,,,Expert,1,,,8,,H,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,
141,,10543,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,
142,,10543,,BAO_0000019,,,,Expert,1,,,8,,H,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,
143,,11365,10090.0,BAO_0000219,,,524.0,Intermediate,1,Mus musculus,,1,,N,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,
144,,11365,10090.0,BAO_0000219,,,524.0,Intermediate,1,Mus musculus,,1,,N,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,
145,,11803,9606.0,BAO_0000219,,,554.0,Intermediate,1,Homo sapiens,,1,,N,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,
146,,11803,9940.0,BAO_0000019,,,,Autocuration,1,Ovis aries,,0,,U,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,
147,,11803,9940.0,BAO_0000019,,,,Autocuration,1,Ovis aries,,0,,U,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,
148,,12278,,BAO_0000357,,,,Autocuration,1,,,8,,H,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,
149,,8249,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,
150,,8249,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,
151,,8249,9606.0,BAO_0000219,,,635.0,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,
152,,8249,9606.0,BAO_0000219,,,635.0,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,
153,,8249,9606.0,BAO_0000219,,,635.0,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,
154,,8249,9606.0,BAO_0000219,,,635.0,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,
155,,8249,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,
156,,8249,9606.0,BAO_0000019,,,,Autocuration,1,Homo sapiens,,0,,U,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,
157,,16992,,BAO_0000249,,,,Autocuration,1,,,6,,H,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,
158,,10543,1314.0,BAO_0000218,,,,Intermediate,1,Streptococcus pyogenes,,1,,N,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,
159,,17833,10335.0,BAO_0000218,,,,Intermediate,1,Human herpesvirus 3,,1,,N,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,
160,,17290,10335.0,BAO_0000218,,,468.0,Expert,1,vericilla zoster virus,,1,,N,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,
161,,17290,10335.0,BAO_0000218,,,,Intermediate,1,vericilla zoster virus,,1,,N,,Antiviral activity against 07/1 strain of VZV; ND: No data,F,
