assay_id,assay_subcellular_fraction,doc_id,assay_category,assay_tax_id,assay_cell_type,assay_tissue,assay_type,assay_strain,bao_format,tissue_id,description,assay_test_type,assay_organism,tid,relationship_type,confidence_score
14,,11324,,47900.0,,,F,,BAO000011o,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,50185,N,1
15,,11324,,13014.0,,,F,,BA9p000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,50185,N,1
16,,11324,,35864.0,,,F,,fAk0000218,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,Staphylococcus aureus,50185,N,1
17,,11347,,21881.0,,,A,,hAO00o0357,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,Rattus norvegicus,100122,D,9
18,,16474,,,,,B,,BAO00093r7,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,12054,H,8
19,,10091,,,,,B,,BAO00p9019,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,12054,H,8
20,,16474,,,,,B,,BsO00p0357,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,12054,H,8
21,,16474,,,,,B,,BAO00p9357,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,12054,H,8
22,,16474,,,,,B,,BAO0o00358,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,12054,H,8
23,,16474,,,,,B,,BxO0000r57,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,12054,H,8
24,,16474,,,,,B,,BAOp000e57,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,12054,H,8
25,,14352,,,,,B,,BAO0000q1o,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,22226,U,0
26,,5646,,15981.0,,,B,,BAOo00035u,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,Oryctolagus cuniculus,12054,H,8
27,,5646,,1182.0,,,B,,BAO00003t6,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,Oryctolagus cuniculus,12054,H,8
28,,10997,,,,,B,,BAO0p0p219,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,12426,H,8
29,,6309,,22433.0,,,B,,BAOo090357,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,soya bean,12054,H,8
30,,167,,32133.0,,,B,,BA800p0357,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,Glycine max,12054,H,8
31,,167,,40847.0,,,B,,BAO90003y7,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,Glycine max,12054,H,8
32,,11087,,3307.0,,,B,,gA80000357,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,Glycine max,12054,H,8
33,,11087,,7830.0,,,B,,BAO00003r6,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,Glycine max,12054,H,8
34,,13622,,46395.0,,,B,,BAO000pw57,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,12054,H,8
35,,13622,,52455.0,,,B,,hAO0000347,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,Glycine max,12054,H,8
36,,11347,,10511.0,,,A,,BqO00000q9,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,Rattus norvegicus,22226,U,0
37,,5926,,1412.0,,,B,,BAk000001o,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,Escherichia coli,22226,U,0
38,,4567,,,,,B,,BAO0000ow9,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,22226,U,0
39,,3782,,,,,B,,BAO0o00q25,,Dissociation constant towards 16S rRNA construct A,,,22222,M,3
40,,3782,,,,,B,,gAO000022t,,Dissociation constant towards 16S rRNA construct B,,,22222,M,3
41,,4466,,71315.0,,,B,,gAO00o0225,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,Escherichia coli,100263,M,3
42,,6592,,16860.0,,,B,,vAO000o225,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,Escherichia coli,100263,M,3
43,,898,,,,,B,,BAO0p00029,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,H,8
44,,898,,,,,B,,hAO000001o,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,H,8
45,,13163,,22669.0,,,B,,BAO0000p1o,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,20001,H,8
46,,13163,,17397.0,,,B,,vAO00p0019,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,Homo sapiens,20001,H,8
47,,10691,,20561.0,,,B,,BAk00000w9,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,12971,D,9
48,,10691,,1789.0,,,B,,BAOoo00019,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,Rattus norvegicus,12971,D,9
49,,10691,,5184.0,,,B,,BwOo000019,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,12971,D,9
50,,10691,,21382.0,,,B,,BAk0p00019,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,Rattus norvegicus,12971,D,9
51,,898,,,,,B,,BAp000001i,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,13053,H,8
52,,912,,,,,B,,BAO0o0035u,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,11512,H,8
53,,912,,,,,B,,BsO0000347,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,11512,H,8
54,,912,,,,,B,,BAO0000wy7,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,11512,H,8
55,Membeanes,15103,,27149.0,,,B,,BAO000025p,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,Rattus norvegicus,104740,D,5
56,,5116,,31485.0,1A9,,F,,BAO009021p,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,Homo sapiens,80002,N,1
57,,14578,,69449.0,0ocytes,,F,,BAOp00021i,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,Rattus norvegicus,104835,D,7
58,,14578,,44845.0,Olcytes,,F,,fAO0000w19,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,Rattus norvegicus,104821,D,7
59,,14578,,482.0,kocytes,,F,,BqO000o219,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,Rattus norvegicus,104848,D,7
60,,4787,,36206.0,1A9,,F,,BAO900p219,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,Homo sapiens,80002,N,1
61,,4787,,32910.0,1A9,,F,,BA90900219,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,Homo sapiens,80002,N,1
62,,3547,,4709.0,1A9,,F,,BAk000021p,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,Homo sapiens,80002,N,1
63,,3547,,7300.0,1A9,,F,,BwO000o219,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,Homo sapiens,80002,N,1
64,,6726,,45155.0,1A9,,F,,BAOp090219,,Effective dose of compound against replication of 1A9 cell line was evaluated,,Homo sapiens,80002,N,1
65,,3455,,22085.0,1A9,,F,,BAO90p0219,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,Homo sapiens,80002,N,1
66,,5726,,48487.0,1A9,,F,,hsO0000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,Homo sapiens,80002,N,1
67,,5726,,880.0,1A9,,F,,fA00000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,Homo sapiens,80002,N,1
68,,5726,,20882.0,1A9,,F,,BAOp00021i,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,Homo sapiens,80002,N,1
69,,3395,,35105.0,1A9,,F,,BAi000o219,,Inhibitory activity against Taxol resistant 1A9 cell lines,,Homo sapiens,80002,N,1
70,,3415,,14689.0,1A9,,F,,BA90900219,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,Homo sapiens,80002,N,1
71,,3415,,6887.0,1A9,,F,,BA89000219,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,Homo sapiens,80002,N,1
72,,17099,,2192.0,1A9,,F,,BAO0009218,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,Homo sapiens,80002,N,1
73,,17099,,43259.0,1A9,,F,,BAO000o319,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,Homo sapiens,80002,N,1
74,,17099,,62289.0,1A9,,F,,BxOo000219,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,Homo sapiens,80002,N,1
75,,17099,,10301.0,1A9,,F,,nAO00002q9,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,Homo sapiens,80002,N,1
76,,17721,,27294.0,yurkat,,F,,BAO0o00q19,,Inhibitory concentration against Jurkat cells,,Homo sapiens,81072,N,1
77,,1229,,,,,F,,BAO00o0p19,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,22226,U,0
78,,11347,,275.0,,,A,,BAO00093r7,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,Rattus norvegicus,100121,D,9
79,,17117,,,,,B,,BAO000p3r7,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,11231,H,8
80,,17117,,,,,B,,nAO00003r7,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,11231,H,8
81,,17117,,,,,B,,BAO000p3t7,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,11231,H,8
82,Micridomes,11375,,16168.0,,,B,,BAO9900251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,Candida albicans,11231,H,8
83,Microskkes,11375,,21168.0,,,B,,BAO00001r1,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,Candida albicans,11231,H,8
84,Mifeosomes,11375,,60066.0,,,B,,BAO00p9251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,11231,H,8
85,M9crksomes,11375,,7828.0,,,B,,BsOp000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,Saccharomyces cerevisiae,11231,H,8
86,Mixrosom2s,11375,,8047.0,,Lider,B,,BAOop00251,608649.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,Sus scrofa,12083,H,8
87,,791,,53419.0,,,B,,BqO0000010,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,Rattus norvegicus,11231,H,8
88,,791,,4538.0,,,B,,hAO0000029,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,Rattus norvegicus,11231,H,8
89,,791,,25195.0,,,B,,BAO0o0001o,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,Rattus norvegicus,11231,H,8
90,Mic38somes,11375,,18032.0,,Lider,B,,BAO00p025w,1891762.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,Rattus norvegicus,12083,D,9
91,Mlcrpsomes,11375,,16229.0,,Liveg,B,,BAO0009151,1986478.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,12083,D,9
92,Microsojrs,153,,1498.0,,Livwr,B,,BAO00pp251,1734294.0,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,Rattus norvegicus,12083,D,9
93,,8269,,,,,B,,vAO9000357,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,11377,H,8
94,,8269,,,,,B,,BAO0o00367,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,11377,H,8
95,,17653,,5228.0,Hepf2,,F,,nAO000o219,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Homo sapiens,81020,N,1
96,,14277,,60844.0,H3pG2,,F,,BAO090p219,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,Homo sapiens,81020,N,1
97,,1717,,7307.0,HfpG2,,F,,BxO0o00219,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,Homo sapiens,81020,N,1
98,,14091,,68936.0,HeoG2,,F,,BAO009o219,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,Homo sapiens,81020,N,1
99,,14091,,10542.0,mepG2,,F,,BAl000021i,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,Homo sapiens,81020,N,1
100,,17653,,70072.0,,,F,,Bql0000218,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,Hepatitis B virus,50606,N,1
101,,13105,,16663.0,HspG2,,F,,BAlo000219,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,Homo sapiens,81020,N,1
102,,1717,,15284.0,HepG3,,F,,BAk0000210,,Concentration required to inhibit 50% of 2.2.15 cell line,,Homo sapiens,81020,N,1
103,,13105,,80481.0,HepG1,,A,,BAO0000q29,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,Homo sapiens,81020,N,1
104,,13600,,21774.0,2215,,F,,BqO0000219,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,Homo sapiens,50587,N,1
105,,13467,,51728.0,2215,,F,,BAl0090218,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,Homo sapiens,50587,N,1
106,,17477,,12886.0,2215,,F,,BAO0p00118,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,Hepatitis B virus,50606,N,1
107,,1593,,28104.0,2215,,F,,BqO0900218,,In vitro anti-HBV activity in 2.2.15 cells,,Homo sapiens,50587,N,1
108,,1593,,15295.0,2215,,F,,BAO009021u,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,Homo sapiens,50587,N,1
109,,15089,,25359.0,2215,,F,,fAO00o0218,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,Homo sapiens,50587,N,1
110,,15089,,1644.0,2215,,F,,BAO0o002w8,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,Homo sapiens,50587,N,1
111,,1593,,7818.0,2215,,F,,BAO0o90218,,Cytotoxicity in 2.2.15 cells,,Homo sapiens,50587,N,1
112,,1593,,29097.0,2215,,F,,BAO00o0228,,Cytotoxicity in 2.2.15 cells; Not determined,,Homo sapiens,50587,N,1
113,,13600,,33470.0,2215,,F,,BA8p000218,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,Homo sapiens,50587,N,1
114,,13467,,42449.0,2215,,F,,BAO0o002q8,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,Homo sapiens,50587,N,1
115,,13467,,7793.0,2215,,F,,BA0o000218,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,Homo sapiens,50587,N,1
116,,14764,,30734.0,HdpG2,,F,,BAOo900219,,Antiviral activity against HBV was determined in 2.215 cell line,,Homo sapiens,81020,N,1
117,Micros8mfs,6531,,40095.0,,,B,,nAO000o251,,Inhibition of 20-HETE synthesis in human renal microsomes,,Homo sapiens,22226,U,0
118,,17322,,,,,B,,BAO00o0018,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,22226,U,0
119,,17072,,57034.0,2008,,F,,nAO00002q9,,Inhibitory concentration against 2008 (ovarian) cells,,Homo sapiens,80612,N,1
120,,16936,,21417.0,2008,,F,,fAO0000q19,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,Homo sapiens,80612,N,1
121,,16936,,56985.0,2008,,F,,BAO0o002w9,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,Homo sapiens,80612,N,1
122,,17146,,33967.0,2008,,F,,Bzi0000219,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,Homo sapiens,80612,N,1
123,,17146,,20168.0,2008,,F,,nAO0000229,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,Homo sapiens,80612,N,1
124,,10797,,44942.0,20p8R,,F,,BAk0000119,,In vitro inhibition of 2008/R ovarian cancer cell line,,Homo sapiens,80613,N,1
125,,10797,,21701.0,2009R,,F,,Bq00000219,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,Homo sapiens,80613,N,1
126,,10797,,1576.0,2098S,,F,,BwO00002q9,,In vitro inhibition of 2008/S ovarian cancer cell line,,Homo sapiens,80614,N,1
127,,10797,,3031.0,2007S,,F,,fAO000p219,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,Homo sapiens,80614,N,1
128,,4823,,21768.0,,,B,,fAl0000220,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,Homo sapiens,100256,S,2
129,,12912,,26134.0,,,B,,vAO00o0220,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,Homo sapiens,100256,S,2
130,,2957,,,,,B,,BqO00002e0,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,100256,S,2
131,,2957,,,,,B,,nAO00p0220,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,100256,S,2
132,,3260,,,,,B,,BAO0p00230,,Inhibitory activity against 20S proteosome,,,100256,S,2
133,,3451,,33973.0,,,B,,BAO0009p19,,Compound was tested for inhibitory activity against tryptase,,Homo sapiens,22226,U,0
134,,13885,,8936.0,HspG2,,F,,BAO00002wp,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,81020,N,1
135,,13885,,23468.0,HelG2,,F,,vAO000021o,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,Homo sapiens,81020,N,1
136,,3676,,,,,B,,BAl0900019,,Compound was tested for the inhibition of Alpha-glucosidase,,,22226,U,0
137,,6043,,,,,B,,BA00o00357,,Inhibitory concentration against human neutrophil elastase (HNE),,,235,H,8
138,,11140,,15386.0,,H4art,F,,fAi0000218,124068.0,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,Rattus norvegicus,22226,U,0
139,,10543,,,,,F,,BzO0000919,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,H,8
140,,10543,,,,,F,,BwO0000o19,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,H,8
141,,10543,,,,,B,,vAO0900357,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,H,8
142,,10543,,,,,F,,BAO9000010,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,19640,H,8
143,,11365,,28840.0,P338,,F,,BAO0000318,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,Mus musculus,80360,N,1
144,,11365,,17717.0,P338,,F,,fAO0000e19,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,Mus musculus,80360,N,1
145,,11803,,48822.0,PBL,,F,,hAO0900219,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,Homo sapiens,80384,N,1
146,,11803,,11685.0,,,F,,BAO000pp19,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,Ovis aries,22226,U,0
147,,11803,,57647.0,,,F,,BAO009001o,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,Ovis aries,22226,U,0
148,,12278,,,,,B,,BAO0p0035u,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,191,H,8
149,,8249,,23180.0,,,F,,BAO0090010,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,Homo sapiens,22226,U,0
150,,8249,,28764.0,,,F,,BAO0000o29,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,Homo sapiens,22226,U,0
151,,8249,,7469.0,CCRFCEh,,F,,BAOpo00219,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,Homo sapiens,22226,U,0
152,,8249,,21774.0,fCRFCEM,,F,,BAOp0002q9,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,Homo sapiens,22226,U,0
153,,8249,,9550.0,CCRFdEM,,F,,BAO0o002w9,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,Homo sapiens,22226,U,0
154,,8249,,278.0,CfRFCEM,,F,,BAO00o021p,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,Homo sapiens,22226,U,0
155,,8249,,12807.0,,,F,,fAOp000019,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,Homo sapiens,22226,U,0
156,,8249,,38900.0,,,F,,BsO0000o19,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,Homo sapiens,22226,U,0
157,,16992,,,,,B,,Bw80000249,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,104290,H,6
158,,10543,,2023.0,,,F,,BAO090021o,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,Streptococcus pyogenes,50264,N,1
159,,17833,,20591.0,,,F,,BxO0000228,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,Human herpesvirus 3,50527,N,1
160,,17290,,11249.0,HEL,,F,,BAO9000228,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,vericilla zoster virus,50527,N,1
161,,17290,,59025.0,,,F,,gAO0000219,,Antiviral activity against 07/1 strain of VZV; ND: No data,,vericilla zoster virus,50527,N,1
162,,17290,,80148.0,,,F,,BAO00092q8,,Antiviral activity against 07/1 strain of VZV; ND=No data,,vericilla zoster virus,50527,N,1
163,,10932,,6298.0,,,F,,BAO000011i,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,escherichia cloac,50145,N,1
164,,9707,,,,,B,,BAO0000o18,,Ratio of Ki at A2 to Ki at A1 receptors,,,22226,U,0
165,,2346,,30551.0,,,B,,gAOo000249,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,Candida albicans,11143,H,8
166,,2205,,35610.0,,,B,,BAO00p035u,,"Inhibition of 1,3-beta-glucan synthase",,Candida glabrata CBS 138,18077,H,8
167,,11900,,9045.0,187tkkorceolline,,F,,BAOp900219,,Inhibition of growth of 1-87 human tumor cell line,,Homo sapiens,80609,N,1
168,,14864,,13157.0,,,B,,vAO000021p,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,Rattus norvegicus,12166,D,9
169,,16474,,36232.0,,,B,,BsO0000347,,Inhibitory activity against soybean 1-lipoxygenase (SLO),,Glycine max,100171,D,9
170,,16474,,18209.0,,,B,,BAO0090367,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,Glycine max,100171,D,9
171,,16474,,12789.0,,,B,,BAl00003y7,,% inhibition against soybean 1-lipoxygenase (SLO),,Glycine max,100171,D,9
172,,16474,,33567.0,,,B,,vAO000035y,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,Glycine max,100171,D,9
173,,3094,,38638.0,,,B,,BAOo00035u,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,Glycine max,100171,D,9
174,,3094,,30809.0,,,B,,hAO000035i,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,Glycine max,100171,D,9
