film_id,category_id,category_name
156,6,Documentary
732,1,Action
76,12,Music
763,15,Sports
988,16,Travel
652,4,Classics
905,5,Comedy
418,7,Drama
53,8,Family
233,16,Travel
13,11,Horror
721,12,Music
708,6,Documentary
72,6,Documentary
650,6,Documentary
861,10,Games
309,8,Family
776,6,Documentary
73,14,Sci-Fi
216,13,New
800,11,Horror
321,13,New
485,3,Children
65,11,Horror
268,2,Animation
338,14,Sci-Fi
881,11,Horror
719,15,Sports
665,11,Horror
185,9,Foreign
341,4,Classics
435,9,Foreign
871,5,Comedy
148,9,Foreign
348,8,Family
980,12,Music
429,15,Sports
107,7,Drama
451,16,Travel
70,2,Animation
182,5,Comedy
625,14,Sci-Fi
633,4,Classics
635,13,New
992,6,Documentary
545,9,Foreign
999,3,Children
414,9,Foreign
337,9,Foreign
669,9,Foreign
654,10,Games
419,8,Family
673,12,Music
493,9,Foreign
438,10,Games
333,12,Music
303,1,Action
327,1,Action
403,7,Drama
226,13,New
492,13,New
916,2,Animation
9,11,Horror
645,16,Travel
572,14,Sci-Fi
575,6,Documentary
101,6,Documentary
384,12,Music
592,12,Music
723,14,Sci-Fi
152,3,Children
965,11,Horror
648,16,Travel
38,1,Action
292,1,Action
35,11,Horror
914,16,Travel
674,9,Foreign
624,10,Games
440,9,Foreign
377,8,Family
82,8,Family
737,11,Horror
116,4,Classics
195,14,Sci-Fi
659,1,Action
529,5,Comedy
844,15,Sports
205,1,Action
305,13,New
761,3,Children
785,16,Travel
890,15,Sports
903,16,Travel
484,4,Classics
356,3,Children
740,11,Horror
982,1,Action
884,12,Music
270,13,New
497,6,Documentary
130,1,Action
841,15,Sports
402,2,Animation
311,9,Foreign
810,8,Family
567,9,Foreign
909,11,Horror
416,9,Foreign
138,14,Sci-Fi
933,13,New
699,10,Games
352,10,Games
639,8,Family
447,10,Games
211,10,Games
503,15,Sports
368,7,Drama
455,9,Foreign
632,13,New
798,14,Sci-Fi
607,9,Foreign
437,8,Family
986,2,Animation
612,15,Sports
823,1,Action
459,9,Foreign
895,4,Classics
830,11,Horror
753,8,Family
524,5,Comedy
375,1,Action
531,9,Foreign
892,2,Animation
768,3,Children
603,8,Family
891,4,Classics
464,2,Animation
898,15,Sports
977,16,Travel
872,16,Travel
675,13,New
825,1,Action
276,5,Comedy
806,13,New
520,14,Sci-Fi
628,15,Sports
462,12,Music
985,14,Sci-Fi
711,14,Sci-Fi
858,5,Comedy
848,16,Travel
578,4,Classics
679,8,Family
511,1,Action
283,13,New
307,16,Travel
198,9,Foreign
718,12,Music
847,13,New
37,4,Classics
557,8,Family
501,1,Action
959,3,Children
775,7,Drama
750,13,New
22,13,New
653,11,Horror
549,1,Action
32,13,New
585,7,Drama
45,13,New
97,1,Action
439,7,Drama
445,4,Classics
133,12,Music
237,15,Sports
190,4,Classics
209,7,Drama
299,16,Travel
81,14,Sci-Fi
24,11,Horror
954,13,New
876,11,Horror
646,10,Games
442,8,Family
320,13,New
476,8,Family
75,16,Travel
668,15,Sports
995,11,Horror
28,5,Comedy
794,1,Action
114,14,Sci-Fi
98,7,Drama
887,2,Animation
747,10,Games
938,5,Comedy
805,2,Animation
824,8,Family
401,7,Drama
729,15,Sports
344,3,Children
193,2,Animation
314,2,Animation
760,13,New
657,5,Comedy
512,4,Classics
249,4,Classics
16,9,Foreign
730,13,New
90,13,New
95,13,New
239,2,Animation
944,7,Drama
473,7,Drama
551,13,New
875,15,Sports
543,16,Travel
453,15,Sports
254,15,Sports
387,10,Games
663,4,Classics
990,11,Horror
10,15,Sports
413,5,Comedy
257,16,Travel
313,11,Horror
380,9,Foreign
1,6,Documentary
926,6,Documentary
808,4,Classics
850,1,Action
862,4,Classics
220,12,Music
30,11,Horror
956,10,Games
569,2,Animation
533,9,Foreign
353,9,Foreign
516,12,Music
746,10,Games
560,10,Games
733,15,Sports
147,8,Family
159,5,Comedy
513,16,Travel
115,1,Action
420,15,Sports
487,4,Classics
92,11,Horror
1000,5,Comedy
253,1,Action
553,3,Children
397,14,Sci-Fi
894,16,Travel
378,12,Music
961,9,Foreign
217,10,Games
371,1,Action
717,1,Action
819,12,Music
971,9,Foreign
906,5,Comedy
606,15,Sports
272,7,Drama
619,15,Sports
537,4,Classics
125,16,Travel
983,12,Music
897,7,Drama
641,9,Foreign
475,11,Horror
791,6,Documentary
634,8,Family
215,10,Games
40,6,Documentary
864,3,Children
409,3,Children
581,12,Music
709,7,Drama
281,10,Games
425,4,Classics
290,9,Foreign
322,15,Sports
336,6,Documentary
221,6,Documentary
802,1,Action
390,14,Sci-Fi
248,6,Documentary
167,16,Travel
623,9,Foreign
395,1,Action
103,16,Travel
856,11,Horror
20,12,Music
280,3,Children
527,11,Horror
232,10,Games
874,4,Classics
539,7,Drama
724,8,Family
291,15,Sports
54,12,Music
93,13,New
626,3,Children
367,14,Sci-Fi
577,15,Sports
277,11,Horror
345,8,Family
731,4,Classics
643,7,Drama
637,14,Sci-Fi
735,3,Children
807,10,Games
517,15,Sports
49,14,Sci-Fi
376,9,Foreign
4,11,Horror
792,9,Foreign
23,2,Animation
104,9,Foreign
602,14,Sci-Fi
618,7,Drama
106,10,Games
953,2,Animation
782,15,Sports
919,10,Games
486,9,Foreign
670,6,Documentary
111,1,Action
595,9,Foreign
910,7,Drama
52,9,Foreign
346,4,Classics
996,6,Documentary
366,7,Drama
555,5,Comedy
56,1,Action
828,4,Classics
351,11,Horror
88,16,Travel
36,2,Animation
113,15,Sports
334,11,Horror
793,1,Action
264,10,Games
372,15,Sports
570,15,Sports
19,1,Action
417,1,Action
631,15,Sports
921,12,Music
616,6,Documentary
466,6,Documentary
814,5,Comedy
331,10,Games
131,4,Classics
136,13,New
608,3,Children
162,1,Action
907,7,Drama
580,13,New
502,5,Comedy
436,13,New
212,1,Action
951,4,Classics
640,9,Foreign
686,13,New
295,6,Documentary
629,6,Documentary
789,9,Foreign
842,10,Games
564,2,Animation
294,16,Travel
301,11,Horror
696,2,Animation
840,10,Games
433,2,Animation
809,15,Sports
478,5,Comedy
561,13,New
161,12,Music
510,2,Animation
790,7,Drama
263,15,Sports
680,5,Comedy
574,1,Action
370,3,Children
168,3,Children
582,2,Animation
224,16,Travel
935,13,New
318,1,Action
843,4,Classics
297,4,Classics
893,14,Sci-Fi
374,14,Sci-Fi
213,8,Family
42,15,Sports
412,6,Documentary
361,15,Sports
778,8,Family
720,13,New
630,7,Drama
381,10,Games
180,4,Classics
470,2,Animation
694,4,Classics
859,2,Animation
286,16,Travel
100,9,Foreign
137,14,Sci-Fi
60,4,Classics
617,8,Family
181,16,Travel
882,7,Drama
796,15,Sports
535,11,Horror
931,16,Travel
122,11,Horror
777,15,Sports
214,3,Children
332,5,Comedy
279,15,Sports
908,9,Foreign
481,13,New
691,15,Sports
826,16,Travel
811,16,Travel
869,1,Action
978,5,Comedy
697,1,Action
851,15,Sports
554,4,Classics
901,2,Animation
6,9,Foreign
423,3,Children
222,11,Horror
930,14,Sci-Fi
102,15,Sports
754,5,Comedy
559,14,Sci-Fi
238,3,Children
743,2,Animation
822,8,Family
703,2,Animation
265,5,Comedy
518,16,Travel
540,12,Music
877,12,Music
63,8,Family
943,6,Documentary
29,1,Action
586,1,Action
987,12,Music
58,6,Documentary
96,13,New
600,11,Horror
163,13,New
676,15,Sports
2,11,Horror
304,3,Children
210,1,Action
241,2,Animation
846,13,New
360,1,Action
508,10,Games
329,1,Action
952,6,Documentary
700,8,Family
818,7,Drama
188,5,Comedy
647,12,Music
584,9,Foreign
912,14,Sci-Fi
593,11,Horror
979,7,Drama
26,14,Sci-Fi
599,15,Sports
566,9,Foreign
878,16,Travel
