assays_ss_ctgr,assays_rltnshp_tp,assays_td,assays_cll_d,assays_ss_sbclllr_frctn,assays_ss_tst_tp,assays_ss_tp,assays_tss_d,assays_chmbl_d,assays_cnfdnc_scr,assays_vrnt_d,assays_b_frmt,assays_dc_d,assays_dscrptn,assays_src_d,assays_src_ss_d,assays_ss_tss,assays_ss_rgnsm,assays_crtd_b,assays_ss_cll_tp,assays_ss_strn,assays_ss_d,assays_ss_tx_d
,N,50597,,,In vivo,A,,CHEMBL873808,1,,BAO_0000218,3184,Compound was evaluated for its half life when administered intravenously in rat,1,,,Rattus norvegicus,Intermediate,,,7557,10116.0
,N,50597,,,In vivo,A,,CHEMBL876598,1,,BAO_0000218,4891,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,1,,,Rattus norvegicus,Intermediate,,,7558,10116.0
,N,50597,,,In vivo,A,,CHEMBL621131,1,,BAO_0000218,429,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,1,,,Rattus norvegicus,Intermediate,,,7559,10116.0
,N,50597,,,In vivo,A,,CHEMBL621132,1,,BAO_0000218,5656,Half life (T1/2) after oral administration in rat,1,,,Rattus norvegicus,Intermediate,,,7560,10116.0
,N,50597,,,In vivo,A,,CHEMBL621133,1,,BAO_0000218,4413,Half life of compound after iv administration of 20 mg/kg dose in rat,1,,,Rattus norvegicus,Intermediate,,,7561,10116.0
,N,50597,,,In vivo,A,,CHEMBL621312,1,,BAO_0000218,3598,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,1,,,Rattus norvegicus,Expert,,,7562,10116.0
,N,50597,,,,A,,CHEMBL621313,1,,BAO_0000218,17267,Half life of compound was determined in rat,1,,,Rattus norvegicus,Intermediate,,,7563,10116.0
,N,50597,,,,A,178.0,CHEMBL621314,1,,BAO_0000218,4727,Half life of compound was determined in rat blood,1,,Blood,Rattus norvegicus,Intermediate,,,7564,10116.0
,N,50597,,,In vivo,A,,CHEMBL621315,1,,BAO_0000218,17651,Half life at 1 mg/kg was determined in rat,1,,,Rattus norvegicus,Intermediate,,,7565,10116.0
,N,50597,,,In vivo,A,,CHEMBL621316,1,,BAO_0000218,17651,Half life at 10 mg/kg was determined in rat,1,,,Rattus norvegicus,Intermediate,,,7566,10116.0
,N,50597,,,,A,,CHEMBL621317,1,,BAO_0000218,401,Half life in rats,1,,,Rattus norvegicus,Intermediate,,,7567,10116.0
,N,50597,,,,A,,CHEMBL621318,1,,BAO_0000218,4942,Half life in rats in hours,1,,,Rattus norvegicus,Intermediate,,,7568,10116.0
,N,50597,,,In vivo,A,,CHEMBL621319,1,,BAO_0000218,17735,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,,Rattus norvegicus,Intermediate,,,7569,10116.0
,N,50597,,,In vivo,A,,CHEMBL621377,1,,BAO_0000218,6056,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,1,,,Rattus norvegicus,Intermediate,,,7570,10116.0
,N,50597,,,,A,,CHEMBL621378,1,,BAO_0000218,5213,Half life was determined,1,,,Rattus norvegicus,Intermediate,,,7571,10116.0
,N,50597,,,In vivo,A,,CHEMBL876599,1,,BAO_0000218,6616,Half life after i.v. administration,1,,,Rattus norvegicus,Intermediate,,,7572,10116.0
,N,50597,,,In vivo,A,,CHEMBL621379,1,,BAO_0000218,5937,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,1,,,Rattus norvegicus,Intermediate,,,7573,10116.0
,N,50597,,,,A,1969.0,CHEMBL621380,1,,BAO_0000218,5819,Half life in rat plasma,1,,Plasma,Rattus norvegicus,Intermediate,,,7574,10116.0
,N,50597,,,,A,1969.0,CHEMBL621381,1,,BAO_0000218,5819,Half life in rat plasma; Not detected,1,,Plasma,Rattus norvegicus,Intermediate,,,7575,10116.0
,N,50597,,,,A,,CHEMBL618515,1,,BAO_0000218,6803,Half life in rats,1,,,Rattus norvegicus,Intermediate,,,7576,10116.0
,N,50597,,,In vivo,A,,CHEMBL618516,1,,BAO_0000218,17804,Half life period of compound was determined after peroral administration,1,,,Rattus norvegicus,Intermediate,,,7577,10116.0
,N,50597,,,In vivo,A,,CHEMBL618517,1,,BAO_0000218,17804,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,1,,,Rattus norvegicus,Intermediate,,,7578,10116.0
,N,50597,,,,A,,CHEMBL618518,1,,BAO_0000218,5948,Half life period in rat,1,,,Rattus norvegicus,Intermediate,,,7579,10116.0
,N,50597,,,In vivo,A,,CHEMBL618519,1,,BAO_0000218,1916,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,1,,,Rattus norvegicus,Intermediate,,,7580,10116.0
,N,50597,,,In vivo,A,,CHEMBL618698,1,,BAO_0000218,1916,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,1,,,Rattus norvegicus,Intermediate,,,7581,10116.0
,N,50597,,,In vivo,A,,CHEMBL618862,1,,BAO_0000218,1916,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,1,,,Rattus norvegicus,Intermediate,,,7582,10116.0
,N,50597,,,In vivo,A,,CHEMBL618863,1,,BAO_0000218,4890,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,1,,,Rattus norvegicus,Intermediate,,,7583,10116.0
,N,50597,,,In vivo,A,,CHEMBL618864,1,,BAO_0000218,17764,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,1,,,Rattus norvegicus,Intermediate,,,7584,10116.0
,N,50597,,,In vivo,A,,CHEMBL618865,1,,BAO_0000218,4727,Half life time in rat the dose of 2 mg/kg,1,,,Rattus norvegicus,Intermediate,,,7585,10116.0
,N,50597,,,In vivo,A,,CHEMBL618866,1,,BAO_0000218,17509,Half-life 24 hr after 10 mg/kg iv administration in rats,1,,,Rattus norvegicus,Intermediate,,,7586,10116.0
,N,50597,,,In vivo,A,,CHEMBL618867,1,,BAO_0000218,17509,Half-life 24 hr after 2 mg/kg iv administration in rats,1,,,Rattus norvegicus,Intermediate,,,7587,10116.0
,N,50597,,,,A,,CHEMBL875828,1,,BAO_0000218,6597,Half-life consistent with the observed metabolic steady state in rats,1,,,Rattus norvegicus,Intermediate,,,7588,10116.0
,N,50597,,,In vivo,A,,CHEMBL618868,1,,BAO_0000218,17735,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,1,,,Rattus norvegicus,Intermediate,,,7589,10116.0
,N,50597,,,,A,,CHEMBL618869,1,,BAO_0000218,6597,Half-life for oxidative metabolic stability was determined using male human,1,,,Rattus norvegicus,Intermediate,,,7590,10116.0
,N,50597,,,In vivo,A,,CHEMBL618870,1,,BAO_0000218,17670,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",1,,,Rattus norvegicus,Intermediate,,,7591,10116.0
,N,50597,,,,A,1969.0,CHEMBL618871,1,,BAO_0000218,1696,Half-life in rat plasma,1,,Plasma,Rattus norvegicus,Intermediate,,,7592,10116.0
,N,50597,,,,A,1969.0,CHEMBL618872,1,,BAO_0000218,1742,Half-life in rat plasma was determined,1,,Plasma,Rattus norvegicus,Intermediate,,,7593,10116.0
,N,50597,,,,A,,CHEMBL873816,1,,BAO_0000218,17800,Half-life in rats was determined,1,,,Rattus norvegicus,Intermediate,,,7594,10116.0
,U,22224,,,,A,,CHEMBL618873,0,,BAO_0000218,12923,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,1,,,,Autocuration,,,7595,
,U,22224,,,,A,,CHEMBL621602,0,,BAO_0000019,11954,Area under curve after oral dose of 0.1 mg//kg,1,,,,Autocuration,,,7596,
,U,22224,,,,A,,CHEMBL621603,0,,BAO_0000218,11954,Area under curve after oral dose of 0.3 mg/kg,1,,,,Autocuration,,,7597,
,U,22224,,,,A,,CHEMBL621604,0,,BAO_0000218,11954,Area under curve after oral dose of 1 mg/kg,1,,,,Autocuration,,,7598,
,U,22224,,,,A,,CHEMBL621605,0,,BAO_0000218,11954,Area under curve after oral dose of 10 mg/kg,1,,,,Autocuration,,,7599,
,U,22224,,,,A,,CHEMBL621606,0,,BAO_0000218,11954,Area under curve after oral dose of 23.4 mg/kg,1,,,,Autocuration,,,7600,
,U,22224,,,,A,,CHEMBL621607,0,,BAO_0000218,11954,Area under curve after oral dose of 3 mg/kg,1,,,,Autocuration,,,7601,
,U,22224,,,,A,,CHEMBL621608,0,,BAO_0000218,11954,Area under curve after oral dose of 3.87 mg/kg,1,,,,Autocuration,,,7602,
,U,22224,,,,A,,CHEMBL621609,0,,BAO_0000019,5237,Area under curve was determined,1,,,,Autocuration,,,7603,
,U,22224,,,,A,,CHEMBL621610,0,,BAO_0000218,4026,Area under curve at a dose of 10 mg/kg,1,,,,Autocuration,,,7604,
,N,50597,,,,A,,CHEMBL621611,1,,BAO_0000218,5237,Area under curve was determined; ND=No data,1,,,Rattus norvegicus,Intermediate,,,7605,10116.0
,N,50597,,,,A,,CHEMBL621612,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,,Rattus norvegicus,Intermediate,,,7606,10116.0
,N,50597,,,,A,,CHEMBL622308,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,,Rattus norvegicus,Intermediate,,,7607,10116.0
,N,50597,,,,A,,CHEMBL622309,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,,Rattus norvegicus,Intermediate,,,7608,10116.0
,N,50597,,,,A,,CHEMBL622310,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,,Rattus norvegicus,Intermediate,,,7609,10116.0
,N,50597,,,,A,,CHEMBL622311,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,,Rattus norvegicus,Intermediate,,,7610,10116.0
,N,50597,,,,A,,CHEMBL622312,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,1,,,Rattus norvegicus,Intermediate,,,7611,10116.0
,N,50597,,,,A,,CHEMBL622931,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,,Rattus norvegicus,Intermediate,,,7612,10116.0
,N,50597,,,,A,,CHEMBL622932,1,,BAO_0000218,14793,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,1,,,Rattus norvegicus,Intermediate,,,7613,10116.0
,N,50597,,,,A,1969.0,CHEMBL622736,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7614,10116.0
,N,50597,,,,A,1969.0,CHEMBL622737,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7615,10116.0
,N,50597,,,,A,1969.0,CHEMBL622738,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7616,10116.0
,N,50597,,,,A,1969.0,CHEMBL622739,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7617,10116.0
,N,50597,,,,A,1969.0,CHEMBL622740,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7618,10116.0
,N,50597,,,,A,1969.0,CHEMBL622741,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7619,10116.0
,N,50597,,,,A,1969.0,CHEMBL622742,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7620,10116.0
,N,50597,,,,A,1969.0,CHEMBL622743,1,,BAO_0000218,14793,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,1,,Plasma,Rattus norvegicus,Intermediate,,,7621,10116.0
,N,50594,,,,A,1969.0,CHEMBL622744,1,,BAO_0000218,11637,AUC in mice,1,,Plasma,Mus musculus,Intermediate,,,7622,10090.0
,U,22224,,,,A,,CHEMBL624134,0,,BAO_0000019,11149,Area under curve was measured from the graph obtained from concentration Vs time,1,,,,Autocuration,,,7623,
,U,22224,,,,A,,CHEMBL624135,0,,BAO_0000019,10016,Area under curve value of compound per hour after oral administration,1,,,,Autocuration,,,7624,
,N,50597,,,,A,,CHEMBL624136,1,,BAO_0000218,17796,Area under curve was determined after oral administration in rats,1,,,Rattus norvegicus,Intermediate,,,7625,10116.0
,N,50597,,,,A,,CHEMBL624137,1,,BAO_0000218,17796,Area under curve was determined after oral administration in rats; No data,1,,,Rattus norvegicus,Intermediate,,,7626,10116.0
,N,50597,,,,A,,CHEMBL624320,1,,BAO_0000218,17796,Area under curve was determined after oral administration in rats;No data,1,,,Rattus norvegicus,Intermediate,,,7627,10116.0
,N,50588,,,,A,,CHEMBL624321,1,,BAO_0000218,12923,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,1,,,Canis lupus familiaris,Intermediate,,,7628,9615.0
,N,50597,,,,A,,CHEMBL624322,1,,BAO_0000218,15372,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7629,10116.0
,N,50597,,,,A,,CHEMBL624323,1,,BAO_0000218,15372,Area under curve was determined for the compound after iv dose of 5.06 in rats,1,,,Rattus norvegicus,Intermediate,,,7630,10116.0
,N,50597,,,,A,,CHEMBL624324,1,,BAO_0000218,15372,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7631,10116.0
,N,50597,,,,A,,CHEMBL624325,1,,BAO_0000218,15372,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7632,10116.0
,N,50597,,,,A,,CHEMBL624326,1,,BAO_0000218,15372,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7633,10116.0
,N,50597,,,,A,,CHEMBL624327,1,,BAO_0000218,15372,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7634,10116.0
,N,50597,,,,A,,CHEMBL624328,1,,BAO_0000218,15372,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,1,,,Rattus norvegicus,Intermediate,,,7635,10116.0
,N,50588,,,,A,,CHEMBL627848,1,,BAO_0000218,14169,Area under curve was determined in Dogs after peroral administration,1,,,Canis lupus familiaris,Intermediate,,,7636,9615.0
,N,50597,,,,A,,CHEMBL627849,1,,BAO_0000218,14169,Area under curve was determined in Rats after peroral administration,1,,,Rattus norvegicus,Intermediate,,,7637,10116.0
,N,50597,,,,A,,CHEMBL627850,1,,BAO_0000218,14258,Area under curve was determined in carotid blood of rat when administered intradermally,1,,,Rattus norvegicus,Intermediate,,,7638,10116.0
,N,50597,,,,A,,CHEMBL627851,1,,BAO_0000218,14258,Area under curve was determined in portal blood of rat when administered intradermally,1,,,Rattus norvegicus,Intermediate,,,7639,10116.0
,N,50594,,,,A,,CHEMBL627852,1,,BAO_0000218,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,,Mus musculus,Intermediate,,,7640,10090.0
,N,50594,,,,A,,CHEMBL627853,1,,BAO_0000218,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,,Mus musculus,Intermediate,,,7641,10090.0
,N,50594,,,,A,,CHEMBL627854,1,,BAO_0000218,15011,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),1,,,Mus musculus,Intermediate,,,7642,10090.0
,N,50594,,,,A,,CHEMBL627855,1,,BAO_0000218,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,1,,,Mus musculus,Intermediate,,,7643,10090.0
,N,50594,,,,A,,CHEMBL627856,1,,BAO_0000218,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),1,,,Mus musculus,Intermediate,,,7644,10090.0
,N,50594,,,,A,,CHEMBL875339,1,,BAO_0000218,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,1,,,Mus musculus,Intermediate,,,7645,10090.0
,N,50594,,,,A,,CHEMBL627857,1,,BAO_0000218,15011,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),1,,,Mus musculus,Intermediate,,,7646,10090.0
,N,50597,,,In vivo,A,2106.0,CHEMBL627858,1,,BAO_0000218,11195,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,1,,Spleen,Rattus norvegicus,Intermediate,,,7647,10116.0
,N,50597,,,,A,178.0,CHEMBL627859,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,1,,Blood,Rattus norvegicus,Intermediate,,,7648,10116.0
,N,50597,,,,A,955.0,CHEMBL627860,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,1,,Brain,Rattus norvegicus,Intermediate,,,7649,10116.0
,N,50597,,,,A,948.0,CHEMBL627019,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,1,,Heart,Rattus norvegicus,Intermediate,,,7650,10116.0
,N,50597,,,,A,2107.0,CHEMBL627020,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,1,,Liver,Rattus norvegicus,Intermediate,,,7651,10116.0
,N,50597,,,,A,2048.0,CHEMBL627021,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,1,,Lung,Rattus norvegicus,Intermediate,,,7652,10116.0
,N,50597,,,,A,2385.0,CHEMBL627022,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,1,,Muscle tissue,Rattus norvegicus,Intermediate,,,7653,10116.0
,N,50597,,,,A,,CHEMBL627023,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,1,,,Rattus norvegicus,Intermediate,,,7654,10116.0
,N,50597,,,,A,2106.0,CHEMBL627024,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,1,,Spleen,Rattus norvegicus,Intermediate,,,7655,10116.0
,N,50597,,,,A,2046.0,CHEMBL627025,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,1,,Thyroid gland,Rattus norvegicus,Intermediate,,,7656,10116.0
,N,50597,,,,A,2113.0,CHEMBL627026,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,1,,Kidney,Rattus norvegicus,Intermediate,,,7657,10116.0
,N,50597,,,,A,178.0,CHEMBL627027,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,1,,Blood,Rattus norvegicus,Intermediate,,,7658,10116.0
,N,50597,,,,A,955.0,CHEMBL627028,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,1,,Brain,Rattus norvegicus,Intermediate,,,7659,10116.0
,N,50597,,,,A,948.0,CHEMBL627029,1,,BAO_0000218,10130,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,1,,Heart,Rattus norvegicus,Intermediate,,,7660,10116.0
