cliente_id,noleggio_id,personale_id,data_pagamento,pagamento_id,ammontare
14,11480,1,2005-08-02 22:18:24,378,4.99
15,4127,1,2005-07-07 07:26:19,390,5.99
15,8193,1,2005-07-28 22:50:50,394,0.99
15,11118,1,2005-08-02 08:44:18,398,2.99
15,11307,2,2005-08-02 15:48:08,400,2.99
15,12635,1,2005-08-18 18:00:23,405,2.99
15,13541,1,2005-08-20 03:41:41,409,4.99
15,13677,2,2005-08-20 08:34:41,410,3.99
15,14569,2,2005-08-21 16:31:22,411,0.99
15,14872,2,2005-08-22 03:23:41,413,8.99
15,15178,1,2005-08-22 15:36:04,414,0.99
15,15897,1,2005-08-23 17:12:31,415,4.99
16,593,1,2005-05-28 13:33:23,419,2.99
16,1944,1,2005-06-17 07:50:53,423,7.99
16,3348,2,2005-06-21 11:16:42,426,0.99
16,3548,1,2005-07-06 02:23:39,427,0.99
16,4517,2,2005-07-08 02:45:19,430,4.99
16,6100,1,2005-07-11 06:40:31,431,4.99
16,10687,2,2005-08-01 17:53:02,437,2.99
16,12104,2,2005-08-17 22:53:00,440,2.99
16,13480,1,2005-08-20 01:10:27,445,6.99
16,14511,1,2005-08-21 14:45:34,446,8.99
17,2175,2,2005-06-18 00:17:58,450,5.99
17,3269,2,2005-06-21 05:06:30,452,5.99
17,5883,1,2005-07-10 19:25:21,454,3.99
17,9092,2,2005-07-30 08:30:56,458,8.99
17,9138,1,2005-07-30 10:11:52,459,2.99
18,4724,2,2005-07-08 12:46:30,476,3.99
18,10721,2,2005-08-01 19:05:18,485,1.99
18,11094,2,2005-08-02 08:03:02,486,4.99
19,179,1,2005-05-26 04:26:06,492,6.99
19,337,1,2005-05-27 03:22:30,493,2.99
19,6495,2,2005-07-12 02:57:02,500,4.99
19,9157,1,2005-07-30 11:06:23,501,5.99
19,9256,1,2005-07-30 14:29:29,502,0.99
19,10176,1,2005-07-31 23:40:35,504,7.99
19,11869,1,2005-08-17 14:10:22,506,5.99
20,202,2,2005-05-26 07:27:36,514,2.99
20,546,2,2005-05-28 07:16:25,516,1.99
20,3350,1,2005-06-21 11:21:38,520,4.99
20,4011,2,2005-07-07 00:48:25,521,3.99
20,7864,2,2005-07-28 10:06:10,527,5.99
20,10284,2,2005-08-01 03:33:19,531,4.99
20,12180,1,2005-08-18 01:28:15,535,0.99
20,15057,2,2005-08-22 10:19:58,540,6.99
21,2830,2,2005-06-19 21:14:33,550,4.99
21,3212,1,2005-06-21 01:04:35,551,10.99
21,6943,2,2005-07-26 23:28:13,555,1.99
21,7994,1,2005-07-28 14:56:54,556,0.99
21,11072,2,2005-08-02 07:10:57,563,0.99
21,12660,2,2005-08-18 19:07:23,566,4.99
21,12774,1,2005-08-18 23:34:22,567,6.99
21,13699,1,2005-08-20 09:26:14,572,9.99
22,820,2,2005-05-29 21:07:22,581,8.99
22,5294,1,2005-07-09 15:23:42,584,6.99
22,5815,1,2005-07-10 15:48:19,585,2.99
22,7705,1,2005-07-28 04:02:58,587,7.99
22,9410,2,2005-07-30 20:38:05,588,0.99
22,12809,2,2005-08-19 00:42:24,592,0.99
22,15134,1,2005-08-22 13:18:25,596,7.99
23,129,1,2005-05-25 21:20:03,601,8.99
23,2753,1,2005-06-19 16:44:35,604,1.99
23,7155,1,2005-07-27 07:18:46,615,7.99
23,8015,1,2005-07-28 15:33:03,616,2.99
23,9718,2,2005-07-31 08:25:03,620,3.99
23,10898,1,2005-08-02 01:29:57,622,2.99
23,13511,2,2005-08-20 02:21:40,627,0.99
24,1716,1,2005-06-16 14:39:31,633,2.99
24,2451,1,2005-06-18 19:28:02,636,5.99
24,7266,1,2005-07-27 11:22:17,643,1.99
24,10491,2,2005-08-01 10:38:27,647,2.99
24,12165,2,2005-08-18 00:53:37,650,8.99
24,12745,1,2005-08-18 22:22:45,651,2.99
25,90,1,2005-05-25 14:31:25,656,7.99
25,1033,2,2005-05-31 04:50:07,657,2.99
25,4282,1,2005-07-07 15:26:31,664,2.99
25,4319,1,2005-07-07 17:50:27,665,0.99
25,8667,2,2005-07-29 15:40:57,670,2.99
25,9334,2,2005-07-30 17:56:38,673,2.99
25,14236,1,2005-08-21 05:13:16,682,4.99
25,15972,1,2005-08-23 20:00:30,684,5.99
26,1105,2,2005-05-31 14:33:56,686,2.99
26,2416,2,2005-06-18 17:07:34,690,3.99
26,4065,1,2005-07-07 04:32:28,694,2.99
26,4382,1,2005-07-07 20:41:03,696,4.99
26,6243,2,2005-07-11 14:53:25,703,2.99
26,11744,1,2005-08-17 08:54:30,711,5.99
26,13111,2,2005-08-19 11:25:10,712,4.99
26,14183,2,2005-08-21 03:24:29,713,4.99
26,14677,1,2005-08-21 20:12:30,716,7.99
27,787,2,2005-05-29 16:03:03,719,2.99
27,1480,2,2005-06-15 21:17:17,721,4.99
27,1960,2,2005-06-17 08:59:57,723,3.99
27,4038,2,2005-07-07 02:52:53,728,0.99
27,4510,1,2005-07-08 02:34:51,729,5.99
27,6115,2,2005-07-11 07:36:50,732,0.99
27,7927,1,2005-07-28 12:13:42,735,1.99
27,10794,1,2005-08-01 21:51:15,740,7.99
27,11661,1,2005-08-17 05:25:57,743,8.99
27,12021,2,2005-08-17 19:52:43,745,5.99
27,12531,1,2005-08-18 13:57:50,747,2.99
27,13816,2,2005-08-20 13:13:56,748,4.99
28,7580,1,2005-07-27 23:07:40,764,9.99
28,9705,2,2005-07-31 07:40:33,769,4.99
28,10116,2,2005-07-31 21:14:02,770,2.99
28,12359,1,2005-08-18 07:44:05,775,0.99
29,194,2,2005-05-26 06:52:33,782,1.99
29,2673,1,2005-06-19 11:42:20,784,0.99
29,10899,2,2005-08-02 01:30:21,802,1.99
29,12508,1,2005-08-18 13:20:13,806,2.99
29,13436,1,2005-08-19 23:36:25,810,0.99
29,14985,1,2005-08-22 07:35:56,815,7.99
30,5972,2,2005-07-11 00:08:54,828,7.99
30,6359,2,2005-07-11 21:06:17,830,2.99
30,7394,2,2005-07-27 16:03:08,831,2.99
30,7769,2,2005-07-28 06:45:23,832,4.99
30,8038,2,2005-07-28 16:32:55,834,4.99
30,9998,1,2005-07-31 17:40:35,840,2.99
30,10235,1,2005-08-01 01:57:48,841,6.99
30,12240,1,2005-08-18 03:27:11,842,2.99
30,14339,1,2005-08-21 08:37:15,847,0.99
30,15829,2,2005-08-23 15:17:14,851,2.99
31,1656,2,2005-06-16 10:05:40,852,4.99
31,2233,1,2005-06-18 03:57:36,854,0.99
31,2341,2,2005-06-18 11:35:30,855,6.99
31,2396,1,2005-06-18 15:49:48,856,7.99
31,3172,2,2005-06-20 22:19:25,861,1.99
31,4738,2,2005-07-08 13:24:58,866,9.99
31,6580,2,2005-07-12 06:26:10,868,4.99
31,12377,1,2005-08-18 08:26:05,875,0.99
32,803,2,2005-05-29 17:52:30,879,4.99
32,1887,2,2005-06-17 03:53:18,881,6.99
32,2624,2,2005-06-19 08:22:09,883,5.99
32,3500,1,2005-07-06 00:11:13,885,2.99
32,4771,2,2005-07-08 15:33:32,887,2.99
32,5307,1,2005-07-09 15:57:15,889,9.99
32,5954,1,2005-07-10 23:22:01,891,2.99
32,8390,2,2005-07-29 05:52:26,897,5.99
32,8914,2,2005-07-30 01:42:03,899,2.99
32,11135,1,2005-08-02 09:22:25,900,4.99
33,1301,1,2005-06-15 09:46:33,908,10.99
33,4095,1,2005-07-07 06:01:48,910,5.99
33,5723,1,2005-07-10 11:14:48,912,4.99
33,9040,1,2005-07-30 06:31:45,915,4.99
33,14623,1,2005-08-21 18:29:13,924,0.99
33,15096,1,2005-08-22 11:43:04,925,5.99
34,1900,1,2005-06-17 04:29:58,928,4.99
34,5918,2,2005-07-10 21:32:06,935,5.99
34,7532,1,2005-07-27 21:20:52,938,0.99
34,11096,2,2005-08-02 08:05:19,942,0.99
34,11505,1,2005-08-16 23:18:47,943,2.99
34,11701,2,2005-08-17 07:15:47,944,4.99
34,12286,2,2005-08-18 04:57:59,945,2.99
34,14686,1,2005-08-21 20:32:08,950,5.99
35,2743,1,2005-06-19 16:15:56,958,2.99
35,5013,1,2005-07-09 01:46:45,963,2.99
35,5323,2,2005-07-09 16:34:07,964,0.99
35,5916,1,2005-07-10 21:26:31,965,5.99
35,6401,1,2005-07-11 22:44:34,968,4.99
35,8971,1,2005-07-30 04:03:58,973,5.99
35,11298,1,2005-08-02 15:32:32,976,1.99
35,11452,1,2005-08-02 20:59:52,977,7.99
35,14735,2,2005-08-21 22:25:09,983,4.99
36,5403,1,2005-07-09 20:07:09,990,0.99
36,9369,1,2005-07-30 18:52:19,998,2.99
36,9805,2,2005-07-31 11:11:10,999,0.99
36,13562,2,2005-08-20 04:31:45,1006,2.99
36,13564,2,2005-08-20 04:34:46,1007,1.99
36,15657,2,2005-08-23 08:42:40,1010,4.99
37,8419,1,2005-07-29 06:54:48,1020,9.99
37,13147,2,2005-08-19 12:55:09,1025,4.99
37,14532,2,2005-08-21 15:15:03,1030,2.99
38,3392,2,2005-06-21 15:12:44,1038,3.99
38,4300,1,2005-07-07 16:36:16,1041,4.99
38,4644,2,2005-07-08 09:14:29,1042,4.99
38,12092,2,2005-08-17 22:28:15,1061,0.99
38,12187,2,2005-08-18 01:45:50,1062,1.99
38,14632,2,2005-08-21 18:48:06,1064,2.99
38,15738,1,2005-08-23 11:55:50,1067,5.99
39,4712,2,2005-07-08 12:10:50,1076,6.99
39,4727,2,2005-07-08 12:54:15,1077,7.99
39,5515,2,2005-07-10 01:12:44,1079,2.99
39,6045,1,2005-07-11 03:21:05,1080,2.99
39,8366,2,2005-07-29 05:11:14,1082,1.99
39,12459,2,2005-08-18 11:25:11,1094,4.99
40,128,1,2005-05-25 21:19:53,1097,4.99
40,2993,1,2005-06-20 09:12:12,1100,4.99
40,3428,1,2005-06-21 18:39:34,1101,0.99
40,5777,2,2005-07-10 13:38:41,1103,2.99
40,9975,1,2005-07-31 16:53:43,1112,1.99
40,11919,2,2005-08-17 16:08:49,1114,0.99
40,13951,1,2005-08-20 17:58:11,1121,2.99
40,15193,1,2005-08-22 16:06:49,1123,2.99
41,3246,2,2005-06-21 03:10:01,1125,7.99
41,4543,1,2005-07-08 04:06:55,1128,4.99
41,7517,1,2005-07-27 20:57:07,1132,1.99
41,8225,2,2005-07-28 23:59:29,1136,2.99
41,10170,1,2005-07-31 23:27:31,1140,7.99
41,12821,2,2005-08-19 01:07:02,1145,0.99
41,14539,2,2005-08-21 15:29:47,1146,7.99
42,1534,2,2005-06-16 00:49:32,1150,0.99
42,2302,1,2005-06-18 08:27:33,1153,4.99
42,5652,2,2005-07-10 07:18:58,1157,3.99
42,6179,1,2005-07-11 10:59:59,1158,2.99
42,6799,1,2005-07-12 16:52:13,1159,2.99
42,6925,1,2005-07-26 22:52:32,1160,0.99
42,10060,2,2005-07-31 19:23:00,1169,6.99
42,10345,2,2005-08-01 05:18:56,1170,2.99
42,15407,1,2006-02-14 15:16:03,1178,0.0
43,4498,1,2005-07-08 02:07:50,1183,2.99
43,6680,2,2005-07-12 12:01:56,1189,0.99
43,9204,1,2005-07-30 12:43:58,1193,4.99
43,15155,2,2005-08-22 14:27:46,1198,4.99
43,15945,2,2005-08-23 18:51:41,1200,2.99
43,15644,2,2006-02-14 15:16:03,1201,3.98
44,721,2,2005-05-29 05:28:47,1206,0.99
44,1497,1,2005-06-15 21:56:39,1208,3.99
44,2809,1,2005-06-19 19:40:27,1210,3.99
44,5787,1,2005-07-10 14:08:49,1215,8.99
44,5909,2,2005-07-10 20:46:13,1217,4.99
44,11364,1,2005-08-02 17:53:36,1222,2.99
44,12790,1,2005-08-19 00:16:54,1225,6.99
45,3444,2,2005-06-21 20:39:39,1234,0.99
45,4843,1,2005-07-08 18:27:28,1235,0.99
45,7961,1,2005-07-28 13:47:21,1243,3.99
45,11004,1,2005-08-02 05:04:18,1246,8.99
45,11483,2,2005-08-02 22:28:22,1248,2.99
45,13394,2,2005-08-19 22:05:19,1252,4.99
45,15812,1,2005-08-23 14:47:26,1254,10.99
46,401,2,2005-05-27 12:57:55,1256,2.99
46,1214,2,2005-06-15 03:18:40,1260,4.99
46,2203,1,2005-06-18 02:10:42,1262,2.99
46,3916,1,2005-07-06 20:18:50,1267,4.99
46,7336,1,2005-07-27 14:11:45,1269,0.99
46,10088,1,2005-07-31 20:16:21,1273,2.99
46,10827,1,2005-08-01 23:13:00,1276,5.99
46,13226,1,2005-08-19 16:05:36,1283,0.99
46,14940,1,2005-08-22 05:54:03,1286,4.99
46,15708,1,2005-08-23 10:35:51,1288,0.99
47,175,2,2005-05-26 03:46:26,1290,3.99
47,207,2,2005-05-26 08:04:38,1291,4.99
47,4064,2,2005-07-07 04:29:20,1297,5.99
47,5174,1,2005-07-09 09:31:59,1298,0.99
47,6337,1,2005-07-11 19:30:47,1301,3.99
48,4367,1,2005-07-07 19:52:01,1318,2.99
48,6498,2,2005-07-12 03:05:38,1320,3.99
48,7920,1,2005-07-28 12:01:19,1321,2.99
48,14536,2,2005-08-21 15:22:50,1327,2.99
49,239,1,2005-05-26 12:30:26,1330,3.99
49,1010,2,2005-05-31 01:57:32,1332,4.99
49,3575,2,2005-07-06 03:36:19,1338,4.99
49,5491,1,2005-07-10 00:09:45,1340,2.99
49,6521,1,2005-07-12 04:06:11,1343,7.99
49,7209,2,2005-07-27 09:16:53,1345,4.99
49,14627,1,2005-08-21 18:35:54,1355,6.99
50,763,1,2005-05-29 11:32:15,1357,4.99
50,3169,2,2005-06-20 21:55:54,1365,2.99
50,5641,2,2005-07-10 06:43:43,1368,4.99
50,5681,2,2005-07-10 08:48:39,1369,9.99
50,6667,1,2005-07-12 11:36:22,1372,8.99
50,8089,1,2005-07-28 18:26:47,1374,0.99
50,9615,1,2005-07-31 03:59:56,1378,4.99
50,10180,2,2005-07-31 23:57:43,1382,6.99
50,10485,2,2005-08-01 10:20:34,1384,7.99
50,13136,2,2005-08-19 12:24:23,1387,7.99
50,15388,2,2005-08-22 22:49:23,1390,6.99
50,16015,1,2005-08-23 21:25:03,1391,4.99
51,1373,2,2005-06-15 14:48:04,1395,1.99
51,1477,1,2005-06-15 21:11:18,1396,0.99
51,11685,2,2005-08-17 06:39:16,1413,4.99
51,11751,2,2005-08-17 09:07:56,1414,6.99
51,13098,2,2005-08-19 10:51:59,1417,2.99
51,13302,1,2005-08-19 18:54:26,1418,2.99
52,874,1,2005-05-30 05:36:21,1425,0.99
52,2232,2,2005-06-18 03:54:31,1427,0.99
52,3196,2,2005-06-21 00:02:28,1429,4.99
52,7284,2,2005-07-27 12:12:04,1435,0.99
52,7627,2,2005-07-28 00:56:47,1437,4.99
52,9749,2,2005-07-31 09:18:33,1440,3.99
52,10591,2,2005-08-01 14:12:29,1442,0.99
52,12200,2,2005-08-18 02:12:33,1446,2.99
52,14820,2,2005-08-22 01:18:37,1449,2.99
53,856,2,2005-05-30 02:01:21,1458,9.99
53,1964,1,2005-06-17 09:10:09,1460,0.99
53,2388,1,2005-06-18 15:26:30,1461,2.99
53,5185,2,2005-07-09 10:14:39,1467,2.99
53,10594,1,2005-08-01 14:14:59,1472,3.99
53,14119,2,2005-08-21 01:15:59,1479,5.99
53,11657,2,2006-02-14 15:16:03,1482,7.98
54,441,2,2005-05-27 18:11:05,1485,4.99
54,2647,1,2005-06-19 09:57:56,1490,4.99
54,6560,2,2005-07-12 05:22:06,1496,2.99
54,11182,1,2005-08-02 10:55:14,1502,4.99
54,12872,2,2005-08-19 02:57:37,1507,0.99
55,555,1,2005-05-28 08:31:14,1513,4.99
55,1825,2,2005-06-16 21:53:05,1516,2.99
55,2062,2,2005-06-17 15:56:43,1517,2.99
55,3149,1,2005-06-20 20:34:55,1520,4.99
55,7050,2,2005-07-27 03:33:17,1523,4.99
55,9596,2,2005-07-31 03:28:47,1526,5.99
55,12776,1,2005-08-18 23:37:33,1529,4.99
55,15296,1,2005-08-22 19:37:20,1534,4.99
56,341,1,2005-05-27 04:01:42,1536,5.99
56,1795,2,2005-06-16 20:09:01,1539,6.99
56,7385,1,2005-07-27 15:49:46,1548,2.99
56,11656,1,2005-08-17 05:11:09,1556,4.99
56,12713,2,2005-08-18 21:07:28,1558,4.99
56,13560,2,2005-08-20 04:17:16,1559,8.99
57,6482,2,2005-07-12 01:50:21,1577,4.99
57,15571,2,2005-08-23 05:26:30,1591,0.99
58,230,1,2005-05-26 11:31:50,1593,0.99
58,9561,2,2005-07-31 02:22:13,1605,2.99
58,12292,2,2005-08-18 05:08:54,1611,8.99
58,14305,2,2005-08-21 07:29:05,1616,5.99
58,14989,1,2005-08-22 07:47:07,1618,4.99
59,1728,1,2005-06-16 15:29:29,1624,3.99
59,5207,1,2005-07-09 11:15:44,1631,3.99
59,7991,1,2005-07-28 14:45:45,1633,4.99
59,12833,1,2005-08-19 01:42:28,1638,5.99
59,13573,1,2005-08-20 05:10:14,1640,2.99
59,14977,1,2005-08-22 07:12:53,1643,5.99
60,2394,2,2005-06-18 15:42:30,1651,4.99
60,3473,2,2005-07-05 22:57:34,1652,2.99
60,7331,1,2005-07-27 13:57:50,1656,3.99
60,11092,1,2005-08-02 07:58:50,1661,4.99
60,12614,2,2005-08-18 17:16:03,1664,7.99
61,11379,2,2005-08-02 18:16:55,1680,2.99
61,15089,2,2005-08-22 11:34:06,1684,6.99
62,3843,2,2005-07-06 16:35:40,1695,2.99
62,5292,2,2005-07-09 15:16:54,1697,2.99
62,11297,1,2005-08-02 15:22:47,1701,5.99
62,13512,2,2005-08-20 02:27:13,1703,8.99
63,1818,2,2005-06-16 21:30:34,1709,0.99
63,5585,1,2005-07-10 04:15:43,1712,6.99
63,5788,2,2005-07-10 14:10:22,1713,4.99
63,9795,1,2005-07-31 10:47:19,1721,0.99
63,11902,1,2005-08-17 15:37:34,1725,4.99
63,13624,1,2005-08-20 06:51:02,1730,8.99
63,14931,1,2005-08-22 05:38:55,1731,3.99
64,494,1,2005-05-28 00:39:31,1734,4.99
64,1001,1,2005-05-31 00:46:31,1736,2.99
64,1335,2,2005-06-15 11:51:30,1737,0.99
64,4288,1,2005-07-07 15:38:25,1740,4.99
64,4819,2,2005-07-08 17:19:15,1742,5.99
64,4971,2,2005-07-08 23:54:49,1743,5.99
64,9832,1,2005-07-31 12:01:49,1755,2.99
64,13773,1,2005-08-20 11:50:14,1762,2.99
64,14316,2,2005-08-21 07:59:47,1765,0.99
65,657,2,2005-05-28 20:23:09,1768,0.99
65,2173,1,2005-06-18 00:08:20,1769,7.99
65,3051,1,2005-06-20 13:06:52,1770,4.99
65,4635,2,2005-07-08 08:42:40,1773,3.99
65,9293,1,2005-07-30 16:12:28,1779,3.99
65,11227,1,2005-08-02 12:48:05,1781,8.99
66,933,2,2005-05-30 13:08:45,1789,4.99
66,2106,1,2005-06-17 19:29:03,1792,4.99
66,2571,2,2005-06-19 04:20:14,1793,2.99
66,3395,2,2005-06-21 15:19:19,1796,6.99
66,3573,1,2005-07-06 03:33:48,1797,4.99
66,6290,1,2005-07-11 17:12:42,1804,8.99
66,6402,1,2005-07-11 22:46:10,1806,3.99
66,12699,1,2005-08-18 20:20:59,1815,0.99
66,14123,2,2005-08-21 01:31:25,1817,2.99
66,14351,2,2005-08-21 09:04:20,1819,2.99
66,15598,1,2005-08-23 06:23:26,1822,8.99
67,331,2,2005-05-27 02:22:26,1823,9.99
67,767,1,2005-05-29 12:20:19,1824,2.99
67,7895,2,2005-07-28 10:57:15,1834,0.99
67,11295,1,2005-08-02 15:10:06,1837,8.99
67,13652,1,2005-08-20 07:52:34,1840,2.99
67,13837,2,2005-08-20 14:19:03,1842,2.99
67,14967,2,2005-08-22 06:46:03,1843,4.99
67,15085,2,2005-08-22 11:19:22,1844,2.99
68,4555,2,2005-07-08 04:48:36,1853,6.99
68,9538,1,2005-07-31 01:25:22,1857,3.99
68,12742,2,2005-08-18 22:22:03,1861,2.99
68,14242,2,2005-08-21 05:25:59,1863,0.99
68,15524,1,2005-08-23 03:36:26,1866,4.99
69,3358,1,2005-06-21 11:56:40,1870,4.99
69,6385,1,2005-07-11 22:07:32,1876,6.99
69,14311,2,2005-08-21 07:45:47,1887,3.99
69,11995,2,2006-02-14 15:16:03,1891,0.99
70,2472,1,2005-06-18 20:32:40,1893,4.99
70,7036,2,2005-07-27 03:06:12,1896,4.99
70,8550,2,2005-07-29 11:12:37,1899,0.99
70,13680,2,2005-08-20 08:44:06,1907,4.99
70,15616,1,2005-08-23 07:06:38,1909,3.99
71,2374,1,2005-06-18 14:44:06,1913,4.99
71,7550,1,2005-07-27 21:55:07,1924,4.99
71,7982,2,2005-07-28 14:19:59,1925,4.99
71,8128,2,2005-07-28 19:46:06,1926,2.99
71,8293,1,2005-07-29 02:30:50,1927,2.99
71,16000,1,2005-08-23 20:44:36,1939,0.99
72,8228,2,2005-07-29 00:08:58,1950,4.99
72,11679,1,2005-08-17 06:08:54,1958,4.99
72,12448,1,2005-08-18 10:59:04,1961,0.99
72,13145,1,2005-08-19 12:53:53,1963,0.99
72,14020,1,2005-08-20 20:59:43,1967,0.99
73,1669,1,2005-06-16 10:20:20,1972,0.99
73,6514,1,2005-07-12 03:47:44,1977,9.99
73,10434,2,2005-08-01 08:47:00,1984,4.99
73,12291,2,2005-08-18 05:08:37,1989,4.99
73,16002,2,2005-08-23 20:47:12,1992,2.99
74,2517,2,2005-06-19 00:11:26,1996,0.99
74,6475,1,2005-07-12 01:36:57,2004,2.99
74,7304,1,2005-07-27 12:56:56,2005,6.99
74,10051,2,2005-07-31 19:14:20,2008,3.99
74,13583,1,2005-08-20 05:29:45,2014,1.99
74,15500,2,2005-08-23 02:39:37,2018,0.99
75,2738,2,2005-06-19 15:56:30,2025,4.99
75,3062,2,2005-06-20 13:50:00,2026,6.99
75,3210,1,2005-06-21 01:00:25,2027,4.99
75,4511,2,2005-07-08 02:36:21,2030,0.99
75,6092,1,2005-07-11 05:51:31,2034,3.99
75,7843,1,2005-07-28 09:10:22,2040,0.99
75,7897,2,2005-07-28 11:01:51,2041,2.99
75,9783,1,2005-07-31 10:15:46,2047,9.99
75,12239,2,2005-08-18 03:26:42,2053,0.99
75,12426,1,2005-08-18 10:24:11,2056,4.99
75,12662,1,2005-08-18 19:10:41,2057,0.99
75,13534,2,2006-02-14 15:16:03,2059,8.97
76,3416,2,2005-06-21 17:05:29,2069,0.99
76,9312,2,2005-07-30 16:59:17,2077,2.99
76,10795,2,2005-08-01 21:56:37,2079,4.99
76,14637,1,2005-08-21 19:01:00,2082,2.99
77,3151,1,2005-06-20 20:36:53,2093,2.99
78,2949,2,2005-06-20 06:05:53,2114,6.99
78,3248,2,2005-06-21 03:12:21,2115,7.99
78,4627,2,2005-07-08 08:24:39,2118,2.99
78,5078,1,2005-07-09 05:20:24,2120,1.99
78,6005,1,2005-07-11 01:36:42,2122,0.99
78,12474,2,2005-08-18 12:10:03,2134,8.99
78,14716,1,2005-08-21 21:29:55,2140,0.99
78,16039,2,2005-08-23 22:18:51,2143,2.99
79,5205,2,2005-07-09 10:56:37,2154,2.99
79,7220,1,2005-07-27 09:35:54,2157,9.99
79,8849,1,2005-07-29 23:21:01,2158,2.99
79,9814,1,2005-07-31 11:29:46,2159,1.99
79,9845,2,2005-07-31 12:28:05,2160,6.99
79,14179,1,2005-08-21 03:14:27,2165,0.99
80,3367,1,2005-06-21 13:08:21,2168,3.99
80,4268,2,2005-07-07 14:36:05,2170,8.99
80,5420,2,2005-07-09 20:48:42,2173,3.99
80,6417,2,2005-07-11 23:35:11,2176,6.99
80,10656,1,2005-08-01 16:38:04,2182,6.99
