assay_id,relationship_type,variant_id,cell_id,assay_strain,description,curated_by,src_assay_id,assay_cell_type,assay_category,tissue_id,tid,bao_format,assay_type,assay_subcellular_fraction,doc_id,assay_test_type,assay_organism,assay_tax_id
43,H,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,,
44,H,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,,
45,H,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,,,20001,BAO_0000019,B,,13163,,Homo sapiens,9606.0
46,H,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,,,,20001,BAO_0000019,B,,13163,,Homo sapiens,9606.0
47,D,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,,,12971,BAO_0000019,B,,10691,,Rattus norvegicus,10116.0
48,D,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,,,,12971,BAO_0000019,B,,10691,,Rattus norvegicus,10116.0
49,D,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,,,12971,BAO_0000019,B,,10691,,Rattus norvegicus,10116.0
50,D,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,,,,12971,BAO_0000019,B,,10691,,Rattus norvegicus,10116.0
51,H,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,,,,13053,BAO_0000019,B,,898,,,
52,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),Autocuration,,,,,11512,BAO_0000357,B,,912,,,
53,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,Autocuration,,,,,11512,BAO_0000357,B,,912,,,
54,H,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,Autocuration,,,,,11512,BAO_0000357,B,,912,,,
55,D,,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Autocuration,,,,,104740,BAO_0000249,B,Membranes,15103,,Rattus norvegicus,10116.0
56,N,,506.0,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Intermediate,,1A9,,,80002,BAO_0000219,F,,5116,,Homo sapiens,9606.0
57,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Autocuration,,Oocytes,,,104835,BAO_0000219,F,,14578,,Rattus norvegicus,10116.0
58,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Autocuration,,Oocytes,,,104821,BAO_0000219,F,,14578,,Rattus norvegicus,10116.0
59,D,,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Autocuration,,Oocytes,,,104848,BAO_0000219,F,,14578,,Rattus norvegicus,10116.0
60,N,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Expert,,1A9,,,80002,BAO_0000219,F,,4787,,Homo sapiens,9606.0
61,N,,506.0,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Intermediate,,1A9,,,80002,BAO_0000219,F,,4787,,Homo sapiens,9606.0
62,N,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line,Intermediate,,1A9,,,80002,BAO_0000219,F,,3547,,Homo sapiens,9606.0
63,N,,506.0,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Intermediate,,1A9,,,80002,BAO_0000219,F,,3547,,Homo sapiens,9606.0
64,N,,506.0,,Effective dose of compound against replication of 1A9 cell line was evaluated,Intermediate,,1A9,,,80002,BAO_0000219,F,,6726,,Homo sapiens,9606.0
65,N,,506.0,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Expert,,1A9,,,80002,BAO_0000219,F,,3455,,Homo sapiens,9606.0
66,N,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,Homo sapiens,9606.0
67,N,,506.0,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,Homo sapiens,9606.0
68,N,,506.0,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,5726,,Homo sapiens,9606.0
69,N,,506.0,,Inhibitory activity against Taxol resistant 1A9 cell lines,Intermediate,,1A9,,,80002,BAO_0000219,F,,3395,,Homo sapiens,9606.0
70,N,,506.0,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,Expert,,1A9,,,80002,BAO_0000219,F,,3415,,Homo sapiens,9606.0
71,N,,506.0,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,Expert,,1A9,,,80002,BAO_0000219,F,,3415,,Homo sapiens,9606.0
72,N,,506.0,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Expert,,1A9,,,80002,BAO_0000219,F,,17099,,Homo sapiens,9606.0
73,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,Homo sapiens,9606.0
74,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,Homo sapiens,9606.0
75,N,,506.0,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Intermediate,,1A9,,,80002,BAO_0000219,F,,17099,,Homo sapiens,9606.0
76,N,,503.0,,Inhibitory concentration against Jurkat cells,Intermediate,,Jurkat,,,81072,BAO_0000219,F,,17721,,Homo sapiens,9606.0
77,U,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,Intermediate,,,,,22226,BAO_0000019,F,,1229,,,
78,D,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Expert,,,,,100121,BAO_0000357,A,,11347,,Rattus norvegicus,10116.0
79,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,11231,BAO_0000357,B,,17117,,,
80,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,,,,11231,BAO_0000357,B,,17117,,,
81,H,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",Expert,,,,,11231,BAO_0000357,B,,17117,,,
82,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,Candida albicans,5476.0
83,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,Candida albicans,5476.0
84,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,Saccharomyces cerevisiae,4932.0
85,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,,,,11231,BAO_0000251,B,Microsomes,11375,,Saccharomyces cerevisiae,4932.0
86,H,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,,Sus scrofa,9823.0
87,H,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Autocuration,,,,,11231,BAO_0000019,B,,791,,Rattus norvegicus,10116.0
88,H,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Autocuration,,,,,11231,BAO_0000019,B,,791,,Rattus norvegicus,10116.0
89,H,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Autocuration,,,,,11231,BAO_0000019,B,,791,,Rattus norvegicus,10116.0
90,D,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,,Rattus norvegicus,10116.0
91,D,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,11375,,Rattus norvegicus,10116.0
92,D,,,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,,,2107.0,12083,BAO_0000251,B,Microsomes,153,,Rattus norvegicus,10116.0
93,H,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),Expert,,,,,11377,BAO_0000357,B,,8269,,,
94,H,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,Expert,,,,,11377,BAO_0000357,B,,8269,,,
95,N,,726.0,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,HepG2,,,81020,BAO_0000219,F,,17653,,Homo sapiens,9606.0
96,N,,726.0,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14277,,Homo sapiens,9606.0
97,N,,726.0,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,1717,,Homo sapiens,9606.0
98,N,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14091,,Homo sapiens,9606.0
99,N,,726.0,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14091,,Homo sapiens,9606.0
100,N,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,,,,50606,BAO_0000218,F,,17653,,Hepatitis B virus,10407.0
101,N,,726.0,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13105,,Homo sapiens,9606.0
102,N,,726.0,,Concentration required to inhibit 50% of 2.2.15 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,1717,,Homo sapiens,9606.0
103,N,,726.0,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Intermediate,,HepG2,,,81020,BAO_0000219,A,,13105,,Homo sapiens,9606.0
104,N,,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13600,,Homo sapiens,9606.0
105,N,,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,Homo sapiens,9606.0
106,N,,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Expert,,2.2.15,,,50606,BAO_0000218,F,,17477,,Hepatitis B virus,10407.0
107,N,,,,In vitro anti-HBV activity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,Homo sapiens,9606.0
108,N,,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,Homo sapiens,9606.0
109,N,,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,15089,,Homo sapiens,9606.0
110,N,,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,15089,,Homo sapiens,9606.0
111,N,,,,Cytotoxicity in 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,Homo sapiens,9606.0
112,N,,,,Cytotoxicity in 2.2.15 cells; Not determined,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,1593,,Homo sapiens,9606.0
113,N,,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13600,,Homo sapiens,9606.0
114,N,,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,Homo sapiens,9606.0
115,N,,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Intermediate,,2.2.15,,,50587,BAO_0000218,F,,13467,,Homo sapiens,9606.0
116,N,,726.0,,Antiviral activity against HBV was determined in 2.215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,14764,,Homo sapiens,9606.0
117,U,,,,Inhibition of 20-HETE synthesis in human renal microsomes,Autocuration,,,,,22226,BAO_0000251,B,Microsomes,6531,,Homo sapiens,9606.0
118,U,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,Autocuration,,,,,22226,BAO_0000019,B,,17322,,,
119,N,,388.0,,Inhibitory concentration against 2008 (ovarian) cells,Intermediate,,2008,,,80612,BAO_0000219,F,,17072,,Homo sapiens,9606.0
120,N,,388.0,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Intermediate,,2008,,,80612,BAO_0000219,F,,16936,,Homo sapiens,9606.0
121,N,,388.0,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Intermediate,,2008,,,80612,BAO_0000219,F,,16936,,Homo sapiens,9606.0
122,N,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Intermediate,,2008,,,80612,BAO_0000219,F,,17146,,Homo sapiens,9606.0
123,N,,388.0,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Intermediate,,2008,,,80612,BAO_0000219,F,,17146,,Homo sapiens,9606.0
124,N,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line,Intermediate,,2008/R,,,80613,BAO_0000219,F,,10797,,Homo sapiens,9606.0
125,N,,561.0,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Intermediate,,2008/R,,,80613,BAO_0000219,F,,10797,,Homo sapiens,9606.0
126,N,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line,Intermediate,,2008/S,,,80614,BAO_0000219,F,,10797,,Homo sapiens,9606.0
127,N,,389.0,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Intermediate,,2008/S,,,80614,BAO_0000219,F,,10797,,Homo sapiens,9606.0
128,S,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Expert,,,,,100256,BAO_0000220,B,,4823,,Homo sapiens,9606.0
129,S,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Intermediate,,,,,100256,BAO_0000220,B,,12912,,Homo sapiens,9606.0
130,S,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,Expert,,,,,100256,BAO_0000220,B,,2957,,,
131,S,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,Expert,,,,,100256,BAO_0000220,B,,2957,,,
132,S,,,,Inhibitory activity against 20S proteosome,Intermediate,,,,,100256,BAO_0000220,B,,3260,,,
133,U,,,,Compound was tested for inhibitory activity against tryptase,Autocuration,,,,,22226,BAO_0000019,B,,3451,,Homo sapiens,9606.0
134,N,,726.0,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13885,,Homo sapiens,9606.0
135,N,,726.0,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Intermediate,,HepG2,,,81020,BAO_0000219,F,,13885,,Homo sapiens,9606.0
136,U,,,,Compound was tested for the inhibition of Alpha-glucosidase,Autocuration,,,,,22226,BAO_0000019,B,,3676,,,
137,H,,,,Inhibitory concentration against human neutrophil elastase (HNE),Autocuration,,,,,235,BAO_0000357,B,,6043,,,
138,U,,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Autocuration,,,,948.0,22226,BAO_0000218,F,,11140,,Rattus norvegicus,10116.0
139,H,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,,,19640,BAO_0000019,F,,10543,,,
140,H,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,,,19640,BAO_0000019,F,,10543,,,
141,H,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,Autocuration,,,,,19640,BAO_0000357,B,,10543,,,
142,H,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,Expert,,,,,19640,BAO_0000019,F,,10543,,,
143,N,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,Intermediate,,P338,,,80360,BAO_0000219,F,,11365,,Mus musculus,10090.0
144,N,,524.0,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,Intermediate,,P338,,,80360,BAO_0000219,F,,11365,,Mus musculus,10090.0
145,N,,554.0,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,Intermediate,,PBL,,,80384,BAO_0000219,F,,11803,,Homo sapiens,9606.0
146,U,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,Autocuration,,,,,22226,BAO_0000019,F,,11803,,Ovis aries,9940.0
147,U,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,Autocuration,,,,,22226,BAO_0000019,F,,11803,,Ovis aries,9940.0
148,H,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),Autocuration,,,,,191,BAO_0000357,B,,12278,,,
149,U,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,Autocuration,,,,,22226,BAO_0000019,F,,8249,,Homo sapiens,9606.0
150,U,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,Autocuration,,,,,22226,BAO_0000019,F,,8249,,Homo sapiens,9606.0
151,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,Homo sapiens,9606.0
152,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,Homo sapiens,9606.0
153,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,Homo sapiens,9606.0
154,U,,635.0,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,Autocuration,,CCRF-CEM,,,22226,BAO_0000219,F,,8249,,Homo sapiens,9606.0
155,U,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,Autocuration,,,,,22226,BAO_0000019,F,,8249,,Homo sapiens,9606.0
156,U,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,Autocuration,,,,,22226,BAO_0000019,F,,8249,,Homo sapiens,9606.0
157,H,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,Autocuration,,,,,104290,BAO_0000249,B,,16992,,,
158,N,,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,Intermediate,,,,,50264,BAO_0000218,F,,10543,,Streptococcus pyogenes,1314.0
