assay_id,assay_organism,doc_id,assay_cell_type,src_id,assay_type,src_assay_id,assay_tissue,tissue_id,curated_by,cell_id,description,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_subcellular_fraction
17,Rattus norvegicus,11347,,1,A,,,,Expert,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,,10116.0,,
18,,16474,,1,B,,,,Autocuration,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
19,,10091,,1,B,,,,Autocuration,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,
20,,16474,,1,B,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
21,,16474,,1,B,,,,Autocuration,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
22,,16474,,1,B,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
23,,16474,,1,B,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
24,,16474,,1,B,,,,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
25,,14352,,1,B,,,,Autocuration,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,
26,Oryctolagus cuniculus,5646,,1,B,,,,Autocuration,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,9986.0,,
27,Oryctolagus cuniculus,5646,,1,B,,,,Autocuration,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,9986.0,,
28,,10997,,1,B,,,,Autocuration,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,
29,soya bean,6309,,1,B,,,,Autocuration,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,3847.0,,
30,Glycine max,167,,1,B,,,,Autocuration,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,3847.0,,
31,Glycine max,167,,1,B,,,,Autocuration,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,3847.0,,
32,Glycine max,11087,,1,B,,,,Autocuration,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,3847.0,,
33,Glycine max,11087,,1,B,,,,Autocuration,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,3847.0,,
34,Glycine max,13622,,1,B,,,,Autocuration,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,3847.0,,
35,Glycine max,13622,,1,B,,,,Autocuration,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,3847.0,,
36,Rattus norvegicus,11347,,1,A,,,,Autocuration,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,10116.0,,
37,Escherichia coli,5926,,1,B,,,,Autocuration,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,562.0,,
38,,4567,,1,B,,,,Autocuration,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,
39,,3782,,1,B,,,,Intermediate,,Dissociation constant towards 16S rRNA construct A,,,,,
40,,3782,,1,B,,,,Intermediate,,Dissociation constant towards 16S rRNA construct B,,,,,
41,Escherichia coli,4466,,1,B,,,,Expert,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,562.0,,
42,Escherichia coli,6592,,1,B,,,,Expert,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,562.0,,
43,,898,,1,B,,,,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
44,,898,,1,B,,,,Autocuration,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
45,Homo sapiens,13163,,1,B,,,,Autocuration,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,9606.0,,
46,Homo sapiens,13163,,1,B,,,,Autocuration,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,9606.0,,
47,Rattus norvegicus,10691,,1,B,,,,Expert,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,10116.0,,
48,Rattus norvegicus,10691,,1,B,,,,Expert,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,10116.0,,
49,Rattus norvegicus,10691,,1,B,,,,Expert,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,10116.0,,
50,Rattus norvegicus,10691,,1,B,,,,Expert,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,10116.0,,
51,,898,,1,B,,,,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
52,,912,,1,B,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,
53,,912,,1,B,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,
54,,912,,1,B,,,,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,
55,Rattus norvegicus,15103,,1,B,,,,Autocuration,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,10116.0,,Membranes
56,Homo sapiens,5116,1A9,1,F,,,,Intermediate,506.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,9606.0,,
57,Rattus norvegicus,14578,Oocytes,1,F,,,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,10116.0,,
58,Rattus norvegicus,14578,Oocytes,1,F,,,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,10116.0,,
59,Rattus norvegicus,14578,Oocytes,1,F,,,,Autocuration,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,10116.0,,
60,Homo sapiens,4787,1A9,1,F,,,,Expert,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,9606.0,,
61,Homo sapiens,4787,1A9,1,F,,,,Intermediate,506.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,9606.0,,
62,Homo sapiens,3547,1A9,1,F,,,,Intermediate,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,9606.0,,
63,Homo sapiens,3547,1A9,1,F,,,,Intermediate,506.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,9606.0,,
64,Homo sapiens,6726,1A9,1,F,,,,Intermediate,506.0,Effective dose of compound against replication of 1A9 cell line was evaluated,,,9606.0,,
65,Homo sapiens,3455,1A9,1,F,,,,Expert,506.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,9606.0,,
66,Homo sapiens,5726,1A9,1,F,,,,Intermediate,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,9606.0,,
67,Homo sapiens,5726,1A9,1,F,,,,Intermediate,506.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,9606.0,,
68,Homo sapiens,5726,1A9,1,F,,,,Intermediate,506.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,9606.0,,
69,Homo sapiens,3395,1A9,1,F,,,,Intermediate,506.0,Inhibitory activity against Taxol resistant 1A9 cell lines,,,9606.0,,
70,Homo sapiens,3415,1A9,1,F,,,,Expert,506.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,9606.0,,
71,Homo sapiens,3415,1A9,1,F,,,,Expert,506.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,9606.0,,
72,Homo sapiens,17099,1A9,1,F,,,,Expert,506.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,9606.0,,
73,Homo sapiens,17099,1A9,1,F,,,,Intermediate,506.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,9606.0,,
74,Homo sapiens,17099,1A9,1,F,,,,Intermediate,506.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,9606.0,,
75,Homo sapiens,17099,1A9,1,F,,,,Intermediate,506.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,9606.0,,
76,Homo sapiens,17721,Jurkat,1,F,,,,Intermediate,503.0,Inhibitory concentration against Jurkat cells,,,9606.0,,
77,,1229,,1,F,,,,Intermediate,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,
78,Rattus norvegicus,11347,,1,A,,,,Expert,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,10116.0,,
79,,17117,,1,B,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
80,,17117,,1,B,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
81,,17117,,1,B,,,,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,
82,Candida albicans,11375,,1,B,,,,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,5476.0,,Microsomes
83,Candida albicans,11375,,1,B,,,,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,5476.0,,Microsomes
84,Saccharomyces cerevisiae,11375,,1,B,,,,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,4932.0,,Microsomes
85,Saccharomyces cerevisiae,11375,,1,B,,,,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,4932.0,,Microsomes
86,Sus scrofa,11375,,1,B,,Liver,2107.0,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,9823.0,,Microsomes
87,Rattus norvegicus,791,,1,B,,,,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,10116.0,,
88,Rattus norvegicus,791,,1,B,,,,Autocuration,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,10116.0,,
89,Rattus norvegicus,791,,1,B,,,,Autocuration,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,10116.0,,
90,Rattus norvegicus,11375,,1,B,,Liver,2107.0,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,10116.0,,Microsomes
91,Rattus norvegicus,11375,,1,B,,Liver,2107.0,Autocuration,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,10116.0,,Microsomes
92,Rattus norvegicus,153,,1,B,,Liver,2107.0,Autocuration,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,10116.0,,Microsomes
93,,8269,,1,B,,,,Expert,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,
94,,8269,,1,B,,,,Expert,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,
95,Homo sapiens,17653,HepG2,1,F,,,,Expert,726.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,9606.0,,
96,Homo sapiens,14277,HepG2,1,F,,,,Intermediate,726.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,9606.0,,
97,Homo sapiens,1717,HepG2,1,F,,,,Intermediate,726.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,9606.0,,
98,Homo sapiens,14091,HepG2,1,F,,,,Intermediate,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,9606.0,,
99,Homo sapiens,14091,HepG2,1,F,,,,Intermediate,726.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,9606.0,,
100,Hepatitis B virus,17653,,1,F,,,,Expert,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,10407.0,,
101,Homo sapiens,13105,HepG2,1,F,,,,Intermediate,726.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,9606.0,,
102,Homo sapiens,1717,HepG2,1,F,,,,Intermediate,726.0,Concentration required to inhibit 50% of 2.2.15 cell line,,,9606.0,,
103,Homo sapiens,13105,HepG2,1,A,,,,Intermediate,726.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,9606.0,,
104,Homo sapiens,13600,2.2.15,1,F,,,,Intermediate,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,9606.0,,
105,Homo sapiens,13467,2.2.15,1,F,,,,Intermediate,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,9606.0,,
106,Hepatitis B virus,17477,2.2.15,1,F,,,,Expert,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,10407.0,,
107,Homo sapiens,1593,2.2.15,1,F,,,,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells,,,9606.0,,
108,Homo sapiens,1593,2.2.15,1,F,,,,Intermediate,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,9606.0,,
109,Homo sapiens,15089,2.2.15,1,F,,,,Intermediate,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,9606.0,,
110,Homo sapiens,15089,2.2.15,1,F,,,,Intermediate,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,9606.0,,
111,Homo sapiens,1593,2.2.15,1,F,,,,Intermediate,,Cytotoxicity in 2.2.15 cells,,,9606.0,,
112,Homo sapiens,1593,2.2.15,1,F,,,,Intermediate,,Cytotoxicity in 2.2.15 cells; Not determined,,,9606.0,,
113,Homo sapiens,13600,2.2.15,1,F,,,,Intermediate,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,9606.0,,
114,Homo sapiens,13467,2.2.15,1,F,,,,Intermediate,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,9606.0,,
115,Homo sapiens,13467,2.2.15,1,F,,,,Intermediate,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,9606.0,,
116,Homo sapiens,14764,HepG2,1,F,,,,Intermediate,726.0,Antiviral activity against HBV was determined in 2.215 cell line,,,9606.0,,
117,Homo sapiens,6531,,1,B,,,,Autocuration,,Inhibition of 20-HETE synthesis in human renal microsomes,,,9606.0,,Microsomes
118,,17322,,1,B,,,,Autocuration,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,
119,Homo sapiens,17072,2008,1,F,,,,Intermediate,388.0,Inhibitory concentration against 2008 (ovarian) cells,,,9606.0,,
120,Homo sapiens,16936,2008,1,F,,,,Intermediate,388.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,9606.0,,
121,Homo sapiens,16936,2008,1,F,,,,Intermediate,388.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,9606.0,,
122,Homo sapiens,17146,2008,1,F,,,,Intermediate,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,9606.0,,
123,Homo sapiens,17146,2008,1,F,,,,Intermediate,388.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,9606.0,,
124,Homo sapiens,10797,2008/R,1,F,,,,Intermediate,561.0,In vitro inhibition of 2008/R ovarian cancer cell line,,,9606.0,,
125,Homo sapiens,10797,2008/R,1,F,,,,Intermediate,561.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,9606.0,,
126,Homo sapiens,10797,2008/S,1,F,,,,Intermediate,389.0,In vitro inhibition of 2008/S ovarian cancer cell line,,,9606.0,,
127,Homo sapiens,10797,2008/S,1,F,,,,Intermediate,389.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,9606.0,,
128,Homo sapiens,4823,,1,B,,,,Expert,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,9606.0,,
129,Homo sapiens,12912,,1,B,,,,Intermediate,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,9606.0,,
130,,2957,,1,B,,,,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,
131,,2957,,1,B,,,,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,
132,,3260,,1,B,,,,Intermediate,,Inhibitory activity against 20S proteosome,,,,,
133,Homo sapiens,3451,,1,B,,,,Autocuration,,Compound was tested for inhibitory activity against tryptase,,,9606.0,,
134,Homo sapiens,13885,HepG2,1,F,,,,Intermediate,726.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,9606.0,,
135,Homo sapiens,13885,HepG2,1,F,,,,Intermediate,726.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,9606.0,,
136,,3676,,1,B,,,,Autocuration,,Compound was tested for the inhibition of Alpha-glucosidase,,,,,
137,,6043,,1,B,,,,Autocuration,,Inhibitory concentration against human neutrophil elastase (HNE),,,,,
138,Rattus norvegicus,11140,,1,F,,Heart,948.0,Autocuration,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,10116.0,,
139,,10543,,1,F,,,,Autocuration,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
140,,10543,,1,F,,,,Expert,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
141,,10543,,1,B,,,,Autocuration,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
142,,10543,,1,F,,,,Expert,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
143,Mus musculus,11365,P338,1,F,,,,Intermediate,524.0,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,10090.0,,
144,Mus musculus,11365,P338,1,F,,,,Intermediate,524.0,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,10090.0,,
145,Homo sapiens,11803,PBL,1,F,,,,Intermediate,554.0,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,9606.0,,
146,Ovis aries,11803,,1,F,,,,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,9940.0,,
147,Ovis aries,11803,,1,F,,,,Autocuration,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,9940.0,,
148,,12278,,1,B,,,,Autocuration,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,
149,Homo sapiens,8249,,1,F,,,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,9606.0,,
150,Homo sapiens,8249,,1,F,,,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,9606.0,,
151,Homo sapiens,8249,CCRF-CEM,1,F,,,,Autocuration,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,9606.0,,
152,Homo sapiens,8249,CCRF-CEM,1,F,,,,Autocuration,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,9606.0,,
153,Homo sapiens,8249,CCRF-CEM,1,F,,,,Autocuration,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,9606.0,,
154,Homo sapiens,8249,CCRF-CEM,1,F,,,,Autocuration,635.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,9606.0,,
155,Homo sapiens,8249,,1,F,,,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,9606.0,,
156,Homo sapiens,8249,,1,F,,,,Autocuration,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,9606.0,,
157,,16992,,1,B,,,,Autocuration,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,
158,Streptococcus pyogenes,10543,,1,F,,,,Intermediate,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,1314.0,,
159,Human herpesvirus 3,17833,,1,F,,,,Intermediate,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,10335.0,,
160,vericilla zoster virus,17290,HEL,1,F,,,,Expert,468.0,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,10335.0,,
161,vericilla zoster virus,17290,,1,F,,,,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND: No data,,,10335.0,,
162,vericilla zoster virus,17290,,1,F,,,,Intermediate,,Antiviral activity against 07/1 strain of VZV; ND=No data,,,10335.0,,
163,escherichia cloac,10932,,1,F,,,,Intermediate,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,,561.0,,
164,,9707,,1,B,,,,Autocuration,,Ratio of Ki at A2 to Ki at A1 receptors,,,,,
165,Candida albicans,2346,,1,B,,,,Expert,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,,5476.0,,
166,Candida glabrata CBS 138,2205,,1,B,,,,Expert,,"Inhibition of 1,3-beta-glucan synthase",,,284593.0,,
167,Homo sapiens,11900,1-87 tumor cell line,1,F,,,,Intermediate,832.0,Inhibition of growth of 1-87 human tumor cell line,,,9606.0,,
168,Rattus norvegicus,14864,,1,B,,,,Expert,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,,10116.0,,
169,Glycine max,16474,,1,B,,,,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,3847.0,,
170,Glycine max,16474,,1,B,,,,Autocuration,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,3847.0,,
171,Glycine max,16474,,1,B,,,,Autocuration,,% inhibition against soybean 1-lipoxygenase (SLO),,,3847.0,,
172,Glycine max,16474,,1,B,,,,Autocuration,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,3847.0,,
173,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,3847.0,,
174,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,3847.0,,
175,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,3847.0,,
176,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,3847.0,,
177,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,3847.0,,
178,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,3847.0,,
179,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,,3847.0,,
180,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,,3847.0,,
181,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,,3847.0,,
182,Glycine max,3094,,1,B,,,,Autocuration,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,,3847.0,,
