assay_id,tid,assay_test_type,bao_format,cell_id,assay_cell_type,description,assay_category,src_assay_id,relationship_type,curated_by,assay_type,assay_tax_id,chembl_id,variant_id,tissue_id,doc_id,assay_organism,assay_strain
47,12971,,nAO00000w9,,,Inhkfi5ionofw7alphahydroxylase1u20lyzsegromrag4esyesnisrosomqlprepaeation,,,D,Expe3t,B,2329.0,CH4MBLt15159,,,10691,Rattus norvegicus,
48,12971,,BAO0000oq9,,,Inulbit7onof16alphah7d4oxylxse1729iywsefromrahtestesmicfosomalprepadafion,,,D,Exper6,B,21537.0,CHEnBL625172,,,10691,Rattus norvegicus,
49,12971,,nAO000001o,,,Pegcegtinhivjgiknofw7alpbxhydgoxylase1720lyaseoftat6estesmicrosomexat190uM,,,D,Expedt,B,18473.0,CHwMBL615273,,,10691,Rattus norvegicus,
50,12971,,BA90000p19,,,Percemtinhibltionofqt4goidwialphahgdrixylase17w0lyxseofrst5estesmic5osom3sat200uM,,,D,Exp3rt,B,33268.0,CHEMBL6w517e,,,10691,Rattus norvegicus,
51,13053,,BxO0000o19,,,Inhibitortac5iv9tyxfainsthumah9lacenta17begahyfrixysteroiddehydrogebwzet5pe218betzHzDtyoe2,,,H,shtocuration,B,,sHEMBL984518,,,898,,
52,11512,,BAOp900357,,,Compkundwacfeztsdforthrinh9bitionif17betahycroxgeye5oiddehysrogdnase6ype117betaHzDtype1,,,H,Aytocurwtion,B,,CjEhBL615175,,,912,,
53,11512,,BAO00o035i,,,Cojplundwsstdstedfortheinhibiglonofq7betahtdroxjsterkiddehyfgoyenasetype1q7fetaHSDtype1x517Mconcentrwf8on,,,H,Auticuratiob,B,,CHEMBp6q5176,,,912,,
54,11512,,BwO00o0357,,,Compo8ndwastes4rdfortheojhibi5ionof18betxhjdros6steroivdeh7drpgenacetype11ibetaHSDty9e1at10unconcent4ahi0n,,,H,Autocurstuon,B,,CHEMfL6q5177,,,912,,
55,104740,,nAO00002e9,,,Selrctivirtratiokfbinvonfafcknitytowardcmutodeltarec3ptorepfratbfainhembranes,,,D,Autlchration,B,8227.0,CuEMBL615q78,,,15103,Rattus norvegicus,
56,80002,,BAO0p00229,450.0,1A9,Cytotpxucityagaonstivariancancerdelll9mewApofhumanxwasceterm9ned,,,N,Intermddixte,F,41332.0,CHEMBL61y1u9,,,5116,Homo sapiens,
57,104835,,BAO0o09219,,iocytes,Functionslantagon9smbyelecfrixalsxsaysknXenop8soocytessxpressing2x2AhMrzrecept8tzubtype,,,D,qutocuratiom,F,7921.0,CHEMgL61518p,,,14578,Rattus norvegicus,
58,104821,,BAi0o00219,,Oocyhes,Functiknqlxntagonismbtelecgricalacsaysinsenopuslocytezsx0fessinfthe1A2hNMDAeece9tor,,,D,Autochrat7on,F,1936.0,CHEMBL6161u1,,,14578,Rattus norvegicus,
59,104848,,BAkp000219,,O9cytes,Functlonzpamtagonismbyelevtridalassays9nXenoousoosytrsex9resqingthw1A2CNnDxrecepyor,,,D,Autocyratiog,F,53864.0,CHEMBL615173,,,14578,Rattus norvegicus,
60,80002,,BwO0o00219,708.0,1A9,Invitdoeffectiveclncentrxtiojreqyo4edtlreducsfhdnumbfrofnumanovarkanczncee1A9after3dxyincubati8m,,,N,sxpert,F,27481.0,CHEMBL6q51i3,,,4787,Homo sapiens,
61,80002,,BsO0000e19,750.0,1A9,Invitroedfectigeconcsntrwtkkneequidedto3educethen6mberofhumanovar7ajcqncercdllsqApaftwg3vayincuhation,,,N,In5erm2diate,F,28692.0,CHdMBL615q84,,,4787,Homo sapiens,
62,80002,,BAOo000218,757.0,1A9,Cytltkxicactuvutyaga8nqthunagovariagcancer1A9celllins,,,N,Intermedjzte,F,33093.0,CjEMBi615185,,,3547,Homo sapiens,
63,80002,,BAOp900219,690.0,1A9,Cytotoxicactlfi5uagqins5humabovzriancancer2q9cellligebDNotdetermoned,,,N,Intermsfiate,F,2643.0,CH2MBL614186,,,3547,Homo sapiens,
64,80002,,BAO0009e19,352.0,1A9,EffectivedoseotcompoindarainctreppldationofqAicellk8newasevaiuat3d,,,N,Intfrmefiate,F,23616.0,CHEMBL61yw87,,,6726,Homo sapiens,
65,80002,,BAO000o119,324.0,1A9,Ibvitrocytkhoxicactivoty1aceetegminedagaihstovafiancznce41A0cellline,,,N,Expeft,F,6723.0,CgEMBL885243,,,3455,Homo sapiens,
66,80002,,BAO9o00219,407.0,1A9,Invitr9sytotoxifitjevaluqrfdagainsthumanovagiancancer1A9xsllpune,,,N,Intermedja4e,F,36320.0,CHEMBL615qi8,,,5726,Homo sapiens,
67,80002,,BAO009021i,606.0,1A9,Invitr8cytotoxicityevalua52dagainsfm8manova59anxahfw51s9celllineNAisnotactlve,,,N,Intermed8zte,F,24397.0,CH2MBL616189,,,5726,Homo sapiens,
68,80002,,gAO0p00219,947.0,1A9,kjvit5opetsentinnibitionevaljatedagainsthumajovariahcsjcer2A9cellkineatqougmL,,,N,Interm4djate,F,13218.0,CtEMBk615190,,,5726,Homo sapiens,
69,80002,,BAp9000219,756.0,1A9,Inhib8toryact8vityagxins6Tzcolrewistant1Aiceillineq,,,N,Inrermediat3,F,8918.0,CHrMBi615191,,,3395,Homo sapiens,
70,80002,,BA800o0219,336.0,1A9,Cyto50x9citjayainsthumanovariagczncer1A9celolin4s,,,N,Expett,F,22406.0,CHEnBL615292,,,3415,Homo sapiens,
71,80002,,fAO0o00219,815.0,1A9,9etcentageinhibutionpehumqnovariancancer2s9velllin2s,,,N,Expsrt,F,8904.0,CHEkBL82708e,,,3415,Homo sapiens,
72,80002,,BAl9000219,600.0,1A9,Egb3ctivedlserequirddfo3ijhibitoryactivitywgainsf1A9human6kmorcslilinr,,,N,Exoert,F,53698.0,CHEkBL614193,,,17099,Homo sapiens,
73,80002,,BAOo00o219,868.0,1A9,Pe4centinhibktionagainst1A0m7mant8morxellk8neat019ugmL,,,N,Ihterjediate,F,3322.0,CHEMBL615qi4,,,17099,Homo sapiens,
74,80002,,BA0p000219,715.0,1A9,lerc2b6ihhib9tionagainst1A0humantuhofxelll7neat000008ugmL,,,N,Interm4diwte,F,8880.0,CHEMBL6qy195,,,17099,Homo sapiens,
75,80002,,BAO000p229,490.0,1A9,lercentinhiniti0nagainst1Aih6mantumkrcelolin2at10igmi,,,N,Int3rmediats,F,9230.0,CHEMBo61519u,,,17099,Homo sapiens,
76,81072,,nAO00002q9,372.0,Jyrkat,Intjhitoryconcdn4raripnagainstJurkatcelis,,,N,Intermedia42,F,10455.0,CHEnBp615197,,,17721,Homo sapiens,
77,22226,,BA00009019,,,Inv9froanticance4activjtyaga8nat2NdISCLfcelllin3sinxct7ve,,,U,Internedjate,F,,CHEMBi6w5198,,,1229,,
78,100121,,BAO0o00347,,,IjhjbifionofxytochromeP450ptoyexferlnf2alphahydroxylasd,,,D,Expett,A,19927.0,CHEMBLt25199,,,11347,Rattus norvegicus,
79,11231,,BA00o00357,,,Ijvi6roinhibk5ionofhuman22oxudosqualensvyclaee,,,H,Ezpert,B,,CHEMvLu15200,,,17117,,
80,11231,,vAO0000457,,,Invitr9ibhib9tiomovhumxn23oxidosqualejecyvlsse,,,H,Expe3t,B,,fHEMBLy15201,,,17117,,
81,11231,,gAO000o357,,,Invjt3oinhubitionofhuman23ozkdosqhalenrcycpasesr100nM,,,H,Exp2rt,B,,CHEMgp615202,,,17117,,
82,11231,,BAO0p0p251,,,C8mpoumdwasedaluat3dfortheihhibiti0npemic3osomalewoxidosqusl3necyclaseindandidawivicansmiceosones,,,H,Autocurahioj,B,883.0,CHEMBL62y203,,,11375,Candida albicans,
83,11231,,hAi0000251,,,Compouhddwcevaluatwdfortheinhifitk9nofmifeodohal23oxieosqualenfkanosterolcyclxseinCandidaakbicancmicgisimes,,,H,sutlcuration,B,16524.0,CHEMBL6w5q04,,,11375,Candida albicans,
84,11231,,nAO000025q,,,fompoundwasrvaluat2df9rhmeibyibitiobofmicrodomwl23oxidksquwlrnecyclaseinSavfharojycesc4rdvisiaem7frosomes,,,H,Aut9cu5ation,B,3101.0,dHdMBL615205,,,11375,Saccharomyces cerevisiae,
85,11231,,BAO0990251,,,Comp8undwasevaluatevfortteimhivjtionofmucroskhap23oxldosaualenelabosterklfyciaseijSaxcharimycssc3revisia4microsohes,,,H,xutocugation,B,4472.0,CHEMBL6142o6,,,11375,Saccharomyces cerevisiae,
86,12083,,BsO0090251,,,Compkunewasrvaluatedfortheunhibitiomlfmicdos9mal33oxkdos1ualenelanostedolcyclaa3ijpiyoivermixroqkmes,,,H,Autpcurxtion,B,12011.0,vHEMBo615207,,5128703.0,11375,Sus scrofa,
87,11231,,vwO0000019,,,Conxsn5rstionrequi4edto7nhihitratliver23oxidpsquslenwixnoste4olxyclase,,,H,Autocurato9n,B,10514.0,CHEMBo827o84,,,791,Rattus norvegicus,
88,11231,,BwO000o019,,,Cogsejtrationrequi5edfoinh9bitrqtliver23oxldosqhalenrlagostefolcyclaaeOxC,,,H,Autocurz5ion,B,12958.0,CHEMBk6152o8,,,791,Rattus norvegicus,
89,11231,,BAO0000p18,,,Evalua4edforitqactigitytointiblyratlkder23oaidosqualenelsnostetkkcyclaseaxtivit5exprdssedzsKk,,,H,Aut9curatioh,B,28892.0,sHEMBL715209,,,791,Rattus norvegicus,
90,12083,,BAO9000q51,,,Complujdwxs2valuatedg9rtheinhigotionormicr0sohxl33ocidosqualenevyclwdeinratlivermicrodomes,,,D,Aut8cu4ation,B,4009.0,CHEMhL615310,,2729416.0,11375,Rattus norvegicus,
91,12083,,BAO0090w51,,,Comooundwasecaiuateftortheihhibit8onogmicr8somal2ekcivpsqualehrlsnosterolvyclqseinratlivermicrosom3s,,,D,Autocjratjon,B,20523.0,dHEMBL615221,,870214.0,11375,Rattus norvegicus,
92,12083,,BAk00002y1,,,Compoundwxsevqlkatedfprinjibit9ryactivityqgwinst23ixidoawualenepxnosterolc5flsseinrwtliverhidroeomes,,,D,Autocjratiom,B,28531.0,CuEMgL615212,,925967.0,153,Rattus norvegicus,
93,11377,,BAOo0p0357,,,Mooz5concentrationgeededtogive59prevenrjonpfq5AAdenosinedrpendwbtsnxoribknucleas4,,,H,Expegt,B,,CHEMfL61521w,,,8269,,
94,11377,,BA00000356,,,Mola3concentrationdequiredtodisplace59oftheradiolah2lerprobefgom25AAd2nowin4eepenc2ntdneoribobudlsaceinendon6cldqsenutrocellklisefokplex,,,H,Expery,B,,CHEnBL615283,,,8269,,
95,81020,,BwO000021p,544.0,Hepy2,Invigrodytotoxicc9hcegtrat8onte1uirestoinhibithepztitixnvirusHBVgepllcatiogin2215celolin2,,,N,fxpert,F,16402.0,CHEMBLu14274,,,17653,Homo sapiens,
96,81020,,hAO0000q19,455.0,HepGw,5pEfdecrivec0ncentrationpfconplundrsquiredforjnhibotingonfracellularvirwl5eplicativeinfermediateDmwjnHhVfrsnsvected2eq5celllije,,,N,Intermed7xte,F,10581.0,CmEhBL615275,,,14277,Homo sapiens,
97,81020,,BwO000p219,742.0,HepGw,AntidiralactivityagqihstHepahiyisBv7risih2215ssllline,,,N,In6ermediste,F,97.0,CH3MBL614276,,,1717,Homo sapiens,
98,81020,,nAO000p219,616.0,bepG2,7nfitroeefsctivedoncen6ratiojagainsth3oatitisBf7ruswasdeteeminerin2215crlis,,,N,Igtermed7ate,F,10142.0,CHEkfL615277,,,14091,Homo sapiens,
99,81020,,gAO00o0219,815.0,He9G2,Invitroeffectjvsconventta47omagainsthepqtjtisBviruswasdetedmonfdin22w5cekisNotdet3rjined,,,N,Inre5mediate,F,26450.0,CgEMBi615326,,,14091,Homo sapiens,
100,50606,,BAO00092w8,,,Invo6roeffectivexoncenhratjonrequi5estoinhinithepxtk5iqBvirusHBdre0licati9gin2215ceklline,,,N,Eapert,F,9955.0,CHrMBL88w130,,,17653,Hepatitis B virus,
101,81020,,BA90000229,511.0,HepGq,Abilityro8nhibltthfepiepmalbBVDNAin2215cellw,,,N,onhermediate,F,27171.0,CmEMBL8845q9,,,13105,Homo sapiens,
102,81020,,BA90p00219,434.0,yepG2,Concenfrationrequiredtoinhjbkf60of221ycfllljme,,,N,Intermediwtr,F,24363.0,CHEMBL615217,,,1717,Homo sapiens,
103,81020,,BAO9000119,868.0,Hepr2,Antiviraoqctiv9tyagwimst2215cellwcomcentratiinr3quirertoreduceyhekpgphwsecepigrowghby50,,,N,Imtrrmediate,A,17563.0,CH2MBL615e28,,,13105,Homo sapiens,
104,50587,,BAO0o0o218,,2215,Cy4ohoxicactivut5pfcomloundagaindtuninfedtec2215ceils,,,N,Inh2rmediate,F,16574.0,Cy2MBL615329,,,13600,Homo sapiens,
105,50587,,BA0000021o,,2215,Antihe0atitisBvir8eactivotuwas4valuwtefin2215celox,,,N,Int4rmediahe,F,12572.0,CHEjBL615r30,,,13467,Homo sapiens,
106,50606,,BAO0000e1u,,2215,lnhofitlonogthfrfplicatiinofHnVin2215cellsbyDNAhyb57diaationasaay,,,N,wxpert,F,33471.0,CHEkBL625331,,,17477,Hepatitis B virus,
107,50587,,BAO00o0w18,,2215,knvitroantiHgVadt7vit5in2215cellz,,,N,Integmediatr,F,16219.0,CHEMBL716332,,,1593,Homo sapiens,
108,50587,,BqOp000218,,2215,knvoyroantiggVaftivityin2215cellsNotdete4nihed,,,N,9n4ermediate,F,5508.0,CHEnBL615433,,,1593,Homo sapiens,
109,50587,,BwOp000218,,2215,Thec0mpoundwastes4rdinvitrofor4b3aj6iHBVactivityanajnzt2215celle,,,N,Ibtermedjate,F,34555.0,CH3MBL615324,,,15089,Homo sapiens,
110,50587,,BA90009218,,2215,ThecompoundwwstsstedinvjtrofpdtheagtkHhVactivityin221yc4pls,,,N,Int4rmedizte,F,52789.0,CbsMBL615335,,,15089,Homo sapiens,
111,50587,,BsO00p0218,,2215,Cttot0xicityjn2215crlls,,,N,Intetmedjate,F,36490.0,CHEnBi615336,,,1593,Homo sapiens,
112,50587,,vxO0000218,,2215,Cytotoxivitgin2225cellsbotcetedmimed,,,N,Intwrjediate,F,11763.0,CHEMBLy15338,,,1593,Homo sapiens,
113,50587,,BAp000021i,,2215,Inhibito5ywcrivityofcimpounsagainsthe9s6itishvorysHBdingrowinbc6lturssof2214cells,,,N,Intd3mediate,F,5617.0,CtdMBL615338,,,13600,Homo sapiens,
114,50587,,fAO000021i,,2215,Thegrowrhinhibutionact8vit5fogthecompoundwae2valjatedin3225cslps,,,N,Ijtermedoate,F,35207.0,CnfMBL615339,,,13467,Homo sapiens,
115,50587,,BAO009o218,,2215,S4lectivithimdexwzsxetermibedfr9myhefqtioofIC50fothwECy0valuesevaouatedkn2215cwlls,,,N,Inh2rmediate,F,12732.0,CHEMBp615r40,,,13467,Homo sapiens,
116,81020,,nAO0000319,792.0,HeoG2,Antiviraiac4kvit5xgains4HBVqasdeterminedine21ycelllige,,,N,Interkedkate,F,1734.0,CHEjBL625341,,,14764,Homo sapiens,
117,22226,,BAO090p251,,,Inhig9yionof20H2TEaynthedisinhumznrfnalmicrosones,,,U,Autocu5atlon,B,24217.0,CHEnBk615342,,,6531,Homo sapiens,
118,22226,,hAp0000019,,,9nhlbitiryac47vityagsinsg20HffEproductilnf3okarachidonocacixusinghumanremalm8croskme20HEyEsyhthase,,,U,wutocu5ation,B,,CHEMBp61534e,,,17322,,
119,80612,,BAO00p021o,391.0,2008,Intibitotyconxentrstionaga8nst2007ovarjansellz,,,N,Ih5ermediate,F,7126.0,CHEMhL61r344,,,17072,Homo sapiens,
120,80612,,BAO0000w1o,944.0,2008,50ngowryinuibitoryconcsnydationhIt0byusing2908humanogariancarcinokqselllines,,,N,Inte4medixte,F,37779.0,CHEMBLy15335,,,16936,Homo sapiens,
121,80612,,vAO0000q19,714.0,2008,Ckmpoundwas4estedgof50vrow5uinhivitorycincentrationbyusinghunanovariagca3cinimaceoplijes30p8,,,N,Ihtermeeiate,F,22985.0,CHEMBL61533y,,,16936,Homo sapiens,
122,80612,,BAO09p0219,750.0,2008,Direcysytotosicitysgainwrtheselectddtum9rc4llpind3008wasdetermihexeap4dlallyonovarianaden0carcinomad2rivedd3lls,,,N,Ibtegmediate,F,13297.0,xuEMBL615347,,,17146,Homo sapiens,
123,80612,,BAO0000329,583.0,2008,Directcygotox8cigyagains6tjeselestedtuk9rcelplime2008waqdeterminedespeciaolyonlbqrianadenocarcimomadsr7vedcriisno6det2ctew,,,N,Integmwdiate,F,1237.0,CHEMBL616248,,,17146,Homo sapiens,
124,80613,,Bsl0000219,564.0,2p08R,Invitroinh8bitoob0f2098Rovaeoancancdrcelll9ne,,,N,Intermesia4e,F,16774.0,CHEMBL827o75,,,10797,Homo sapiens,
125,80613,,BAO0090w19,895.0,3008R,Ingihroinh7bitionof2008RovarlxncanvetceliiineNANotasulevable,,,N,Intsrmediste,F,24695.0,CHEMBL61y348,,,10797,Homo sapiens,
126,80614,,hA00000219,829.0,2008c,Invottoinhivition0f2008Sovaguagcancercelkkine,,,N,Intermsdiare,F,10505.0,CHEMBLy153t0,,,10797,Homo sapiens,
127,80614,,BAO0p90219,809.0,2008w,Invitrpinhib8tuonlf2008SlvafiamcancerceillineNANoyxchievwvle,,,N,Inte4hediate,F,32180.0,xHEMBL61y351,,,10797,Homo sapiens,
128,100256,,BAl0000229,,,fesfedinvitroforijbibitilnorchyhotry9sibllkeactiv9tyofpuriciedhuman20w9fotexsome,,,S,3xpert,B,58220.0,CH2MBL61535q,,,4823,Homo sapiens,
129,100256,,BAOo000e20,,,Compounswadevaluateegorinhkb9toryactivityabaibst20xprotsas8mrfromhumanpiverandfrqjn,,,S,Inrefmediate,B,50592.0,CHEMBL61y3y3,,,12912,Homo sapiens,
130,100256,,gAO0000w20,,,Inhkbit8omlfchymotrypsinlikeadt8vit5of20Speoteas9m4,,,S,Ecpert,B,,CnEMBL61t354,,,2957,,
131,100256,,BA900p0220,,,9mhobiti0nofchykotrypsinlikeactivityov20Sprp6faslmevalherangesfdon10e0uM,,,S,Expfrt,B,,CHEMBLy1y355,,,2957,,
132,100256,,BAOo000w20,,,jnh8bitoryacticit5againzt20Sprofeosom3,,,S,Intetmed9ate,B,,CuEMBL615w56,,,3260,,
