ASSI,DOI,ASST,ASSCT,TISI,Ti,Descr,ASTI,CONFISC,CEI,ASORG,SI,ASSTAI,RELAT,CUB,ASSST,SRASI,CHEI,BFOR,VAI
16,11324,F,,,50185,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,1,,Staphylococcus aureus,1,1280.0,N,Intermediate,,,CHEMBL615131,BAO_0000218,
17,11347,A,,,100122,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL884521,BAO_0000357,
18,16474,B,,,12054,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,8,,,1,,H,Autocuration,,,CHEMBL615132,BAO_0000357,
19,10091,B,,,12054,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,8,,,1,,H,Autocuration,,,CHEMBL615133,BAO_0000019,
20,16474,B,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,8,,,1,,H,Autocuration,,,CHEMBL615134,BAO_0000357,
21,16474,B,,,12054,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,8,,,1,,H,Autocuration,,,CHEMBL615135,BAO_0000357,
22,16474,B,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,8,,,1,,H,Autocuration,,,CHEMBL615136,BAO_0000357,
23,16474,B,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,8,,,1,,H,Autocuration,,,CHEMBL615137,BAO_0000357,
24,16474,B,,,12054,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,8,,,1,,H,Autocuration,,,CHEMBL615138,BAO_0000357,
25,14352,B,,,22226,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,0,,,1,,U,Autocuration,,,CHEMBL836324,BAO_0000219,
26,5646,B,,,12054,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,8,,Oryctolagus cuniculus,1,9986.0,H,Autocuration,,,CHEMBL615139,BAO_0000357,
27,5646,B,,,12054,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,8,,Oryctolagus cuniculus,1,9986.0,H,Autocuration,,,CHEMBL615140,BAO_0000357,
28,10997,B,,,12426,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,8,,,1,,H,Autocuration,,,CHEMBL615141,BAO_0000219,
29,6309,B,,,12054,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,8,,soya bean,1,3847.0,H,Autocuration,,,CHEMBL615142,BAO_0000357,
30,167,B,,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL615143,BAO_0000357,
31,167,B,,,12054,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL615144,BAO_0000357,
32,11087,B,,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL872867,BAO_0000357,
33,11087,B,,,12054,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL615145,BAO_0000357,
34,13622,B,,,12054,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL615146,BAO_0000357,
35,13622,B,,,12054,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,8,,Glycine max,1,3847.0,H,Autocuration,,,CHEMBL615147,BAO_0000357,
36,11347,A,,,22226,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,0,,Rattus norvegicus,1,10116.0,U,Autocuration,,,CHEMBL615148,BAO_0000019,
37,5926,B,,,22226,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,0,,Escherichia coli,1,562.0,U,Autocuration,,,CHEMBL615149,BAO_0000019,
38,4567,B,,,22226,Dissociation constant with dimeric 16S rRNA RNA construct B,,0,,,1,,U,Autocuration,,,CHEMBL615150,BAO_0000019,
39,3782,B,,,22222,Dissociation constant towards 16S rRNA construct A,,3,,,1,,M,Intermediate,,,CHEMBL615151,BAO_0000225,
40,3782,B,,,22222,Dissociation constant towards 16S rRNA construct B,,3,,,1,,M,Intermediate,,,CHEMBL615152,BAO_0000225,
41,4466,B,,,100263,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,3,,Escherichia coli,1,562.0,M,Expert,,,CHEMBL615153,BAO_0000225,
42,6592,B,,,100263,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,3,,Escherichia coli,1,562.0,M,Expert,,,CHEMBL615154,BAO_0000225,
43,898,B,,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,8,,,1,,H,Autocuration,,,CHEMBL615155,BAO_0000019,
44,898,B,,,13053,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,8,,,1,,H,Autocuration,,,CHEMBL615156,BAO_0000019,
45,13163,B,,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,8,,Homo sapiens,1,9606.0,H,Autocuration,,,CHEMBL615157,BAO_0000019,
46,13163,B,,,20001,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,8,,Homo sapiens,1,9606.0,H,Autocuration,,,CHEMBL615158,BAO_0000019,
47,10691,B,,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL615159,BAO_0000019,
48,10691,B,,,12971,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL615172,BAO_0000019,
49,10691,B,,,12971,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL615173,BAO_0000019,
50,10691,B,,,12971,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL615174,BAO_0000019,
51,898,B,,,13053,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,8,,,1,,H,Autocuration,,,CHEMBL884518,BAO_0000019,
52,912,B,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,8,,,1,,H,Autocuration,,,CHEMBL615175,BAO_0000357,
53,912,B,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,8,,,1,,H,Autocuration,,,CHEMBL615176,BAO_0000357,
54,912,B,,,11512,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,8,,,1,,H,Autocuration,,,CHEMBL615177,BAO_0000357,
55,15103,B,,,104740,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,5,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615178,BAO_0000249,
56,5116,F,1A9,,80002,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615179,BAO_0000219,
57,14578,F,Oocytes,,104835,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,7,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615180,BAO_0000219,
58,14578,F,Oocytes,,104821,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,7,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615181,BAO_0000219,
59,14578,F,Oocytes,,104848,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,7,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615182,BAO_0000219,
60,4787,F,1A9,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,1,506.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615183,BAO_0000219,
61,4787,F,1A9,,80002,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615184,BAO_0000219,
62,3547,F,1A9,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615185,BAO_0000219,
63,3547,F,1A9,,80002,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615186,BAO_0000219,
64,6726,F,1A9,,80002,Effective dose of compound against replication of 1A9 cell line was evaluated,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615187,BAO_0000219,
65,3455,F,1A9,,80002,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,1,506.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL885343,BAO_0000219,
66,5726,F,1A9,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615188,BAO_0000219,
67,5726,F,1A9,,80002,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615189,BAO_0000219,
68,5726,F,1A9,,80002,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615190,BAO_0000219,
69,3395,F,1A9,,80002,Inhibitory activity against Taxol resistant 1A9 cell lines,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615191,BAO_0000219,
70,3415,F,1A9,,80002,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,1,506.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615192,BAO_0000219,
71,3415,F,1A9,,80002,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,1,506.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL827083,BAO_0000219,
72,17099,F,1A9,,80002,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,1,506.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615193,BAO_0000219,
73,17099,F,1A9,,80002,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615194,BAO_0000219,
74,17099,F,1A9,,80002,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615195,BAO_0000219,
75,17099,F,1A9,,80002,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,1,506.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615196,BAO_0000219,
76,17721,F,Jurkat,,81072,Inhibitory concentration against Jurkat cells,,1,503.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615197,BAO_0000219,
77,1229,F,,,22226,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,0,,,1,,U,Intermediate,,,CHEMBL615198,BAO_0000019,
78,11347,A,,,100121,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,9,,Rattus norvegicus,1,10116.0,D,Expert,,,CHEMBL615199,BAO_0000357,
79,17117,B,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,8,,,1,,H,Expert,,,CHEMBL615200,BAO_0000357,
80,17117,B,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,8,,,1,,H,Expert,,,CHEMBL615201,BAO_0000357,
81,17117,B,,,11231,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,8,,,1,,H,Expert,,,CHEMBL615202,BAO_0000357,
82,11375,B,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,8,,Candida albicans,1,5476.0,H,Autocuration,,,CHEMBL615203,BAO_0000251,
83,11375,B,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,8,,Candida albicans,1,5476.0,H,Autocuration,,,CHEMBL615204,BAO_0000251,
84,11375,B,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,8,,Saccharomyces cerevisiae,1,4932.0,H,Autocuration,,,CHEMBL615205,BAO_0000251,
85,11375,B,,,11231,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,8,,Saccharomyces cerevisiae,1,4932.0,H,Autocuration,,,CHEMBL615206,BAO_0000251,
86,11375,B,,2107.0,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Liver,8,,Sus scrofa,1,9823.0,H,Autocuration,,,CHEMBL615207,BAO_0000251,
87,791,B,,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,8,,Rattus norvegicus,1,10116.0,H,Autocuration,,,CHEMBL827084,BAO_0000019,
88,791,B,,,11231,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,8,,Rattus norvegicus,1,10116.0,H,Autocuration,,,CHEMBL615208,BAO_0000019,
89,791,B,,,11231,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,8,,Rattus norvegicus,1,10116.0,H,Autocuration,,,CHEMBL615209,BAO_0000019,
90,11375,B,,2107.0,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Liver,9,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615210,BAO_0000251,
91,11375,B,,2107.0,12083,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,9,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615211,BAO_0000251,
92,153,B,,2107.0,12083,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,9,,Rattus norvegicus,1,10116.0,D,Autocuration,,,CHEMBL615212,BAO_0000251,
93,8269,B,,,11377,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,8,,,1,,H,Expert,,,CHEMBL615213,BAO_0000357,
94,8269,B,,,11377,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,8,,,1,,H,Expert,,,CHEMBL615273,BAO_0000357,
95,17653,F,HepG2,,81020,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Expert,,,CHEMBL615274,BAO_0000219,
96,14277,F,HepG2,,81020,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615275,BAO_0000219,
97,1717,F,HepG2,,81020,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615276,BAO_0000219,
98,14091,F,HepG2,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615277,BAO_0000219,
99,14091,F,HepG2,,81020,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615326,BAO_0000219,
100,17653,F,,,50606,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,1,,Hepatitis B virus,1,10407.0,N,Expert,,,CHEMBL883130,BAO_0000218,
101,13105,F,HepG2,,81020,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL884519,BAO_0000219,
102,1717,F,HepG2,,81020,Concentration required to inhibit 50% of 2.2.15 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615327,BAO_0000219,
103,13105,A,HepG2,,81020,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615328,BAO_0000219,
104,13600,F,2.2.15,,50587,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615329,BAO_0000218,
105,13467,F,2.2.15,,50587,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615330,BAO_0000218,
106,17477,F,2.2.15,,50606,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,1,,Hepatitis B virus,1,10407.0,N,Expert,,,CHEMBL615331,BAO_0000218,
107,1593,F,2.2.15,,50587,In vitro anti-HBV activity in 2.2.15 cells,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615332,BAO_0000218,
108,1593,F,2.2.15,,50587,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615333,BAO_0000218,
109,15089,F,2.2.15,,50587,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615334,BAO_0000218,
110,15089,F,2.2.15,,50587,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615335,BAO_0000218,
111,1593,F,2.2.15,,50587,Cytotoxicity in 2.2.15 cells,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615336,BAO_0000218,
112,1593,F,2.2.15,,50587,Cytotoxicity in 2.2.15 cells; Not determined,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615337,BAO_0000218,
113,13600,F,2.2.15,,50587,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615338,BAO_0000218,
114,13467,F,2.2.15,,50587,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615339,BAO_0000218,
115,13467,F,2.2.15,,50587,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,1,,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615340,BAO_0000218,
116,14764,F,HepG2,,81020,Antiviral activity against HBV was determined in 2.215 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615341,BAO_0000219,
117,6531,B,,,22226,Inhibition of 20-HETE synthesis in human renal microsomes,,0,,Homo sapiens,1,9606.0,U,Autocuration,,,CHEMBL615342,BAO_0000251,
118,17322,B,,,22226,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,0,,,1,,U,Autocuration,,,CHEMBL615343,BAO_0000019,
119,17072,F,2008,,80612,Inhibitory concentration against 2008 (ovarian) cells,,1,388.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615344,BAO_0000219,
120,16936,F,2008,,80612,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,1,388.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615345,BAO_0000219,
121,16936,F,2008,,80612,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,1,388.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615346,BAO_0000219,
122,17146,F,2008,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,1,388.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615347,BAO_0000219,
123,17146,F,2008,,80612,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,1,388.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615348,BAO_0000219,
124,10797,F,2008/R,,80613,In vitro inhibition of 2008/R ovarian cancer cell line,,1,561.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL827085,BAO_0000219,
125,10797,F,2008/R,,80613,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,1,561.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615349,BAO_0000219,
126,10797,F,2008/S,,80614,In vitro inhibition of 2008/S ovarian cancer cell line,,1,389.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615350,BAO_0000219,
127,10797,F,2008/S,,80614,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,1,389.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615351,BAO_0000219,
128,4823,B,,,100256,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,2,,Homo sapiens,1,9606.0,S,Expert,,,CHEMBL615352,BAO_0000220,
129,12912,B,,,100256,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,2,,Homo sapiens,1,9606.0,S,Intermediate,,,CHEMBL615353,BAO_0000220,
130,2957,B,,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome,,2,,,1,,S,Expert,,,CHEMBL615354,BAO_0000220,
131,2957,B,,,100256,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,2,,,1,,S,Expert,,,CHEMBL615355,BAO_0000220,
132,3260,B,,,100256,Inhibitory activity against 20S proteosome,,2,,,1,,S,Intermediate,,,CHEMBL615356,BAO_0000220,
133,3451,B,,,22226,Compound was tested for inhibitory activity against tryptase,,0,,Homo sapiens,1,9606.0,U,Autocuration,,,CHEMBL615357,BAO_0000019,
134,13885,F,HepG2,,81020,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL615358,BAO_0000219,
135,13885,F,HepG2,,81020,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,1,726.0,Homo sapiens,1,9606.0,N,Intermediate,,,CHEMBL827086,BAO_0000219,
136,3676,B,,,22226,Compound was tested for the inhibition of Alpha-glucosidase,,0,,,1,,U,Autocuration,,,CHEMBL615359,BAO_0000019,
137,6043,B,,,235,Inhibitory concentration against human neutrophil elastase (HNE),,8,,,1,,H,Autocuration,,,CHEMBL615360,BAO_0000357,
138,11140,F,,948.0,22226,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Heart,0,,Rattus norvegicus,1,10116.0,U,Autocuration,,,CHEMBL615361,BAO_0000218,
139,10543,F,,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,8,,,1,,H,Autocuration,,,CHEMBL615362,BAO_0000019,
140,10543,F,,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,8,,,1,,H,Expert,,,CHEMBL615363,BAO_0000019,
141,10543,B,,,19640,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,8,,,1,,H,Autocuration,,,CHEMBL615364,BAO_0000357,
142,10543,F,,,19640,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,8,,,1,,H,Expert,,,CHEMBL615365,BAO_0000019,
143,11365,F,P338,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,1,524.0,Mus musculus,1,10090.0,N,Intermediate,,,CHEMBL615366,BAO_0000219,
144,11365,F,P338,,80360,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,1,524.0,Mus musculus,1,10090.0,N,Intermediate,,,CHEMBL615367,BAO_0000219,
