stato_id,città_id,città
82,13,al-Hawiya
44,400,Patiala
75,61,Baybay
50,338,Miyakonojo
73,453,San Lorenzo
17,436,Ruse
49,309,Livorno
103,245,Joliet
44,566,Varanasi (Benares)
86,268,Kimchon
60,213,Huixquilucan
82,237,Jedda
44,395,Palghat (Palakkad)
46,481,Sirjan
15,413,Poços de Caldas
46,514,Tabriz
44,144,Dhule (Dhulia)
97,538,Tokat
108,280,Kragujevac
107,7,Aden
47,344,Mosul
46,162,Esfahan
23,592,Zalantun
74,503,Sullana
23,302,Liaocheng
97,58,Batman
61,115,Chisinau
12,525,Tangail
50,382,Onomichi
24,96,Buenaventura
69,374,Ogbomosho
29,465,Sawhaj
80,39,Atšinsk
15,317,Luziânia
87,459,Santiago de Compostela
85,267,Kimberley
6,289,La Plata
42,279,Kowloon and New Kowloon
106,111,Charlotte Amalie
108,368,Novi Sad
100,385,Šostka
76,133,Czestochowa
31,6,Addis Abeba
46,265,Kermanshah
69,389,Owo
5,493,South Hill
44,24,Amroha
73,122,Ciudad del Este
92,546,Tsaotun
60,330,Matamoros
80,259,Kamyšin
9,307,Linz
67,158,Emmen
97,222,Inegöl
44,475,Shivapuri
60,556,Uruapan
84,90,Bratislava
15,190,Águas Lindas de Goiás
14,501,Sucre
45,117,Cianjur
85,497,Springs
23,207,Hohhot
102,312,London
48,34,Ashdod
80,310,Ljubertsy
107,455,Sanaa
29,476,Shubra al-Khayma
27,450,San Felipe de Puerto Plata
80,352,Nabereznyje Tšelny
15,486,São Leopoldo
45,509,Surakarta
87,1,A Coruña (La Coruña)
23,174,Fuyu
50,377,Okinawa
9,447,Salzburg
55,560,Vaduz
58,304,Lilongwe
44,261,Kanchrapara
71,444,Salala
81,269,Kingstown
80,274,Kolpino
45,119,Ciparay
53,233,Jalib al-Shuyukh
60,288,La Paz
44,522,Tambaram
60,19,Allende
44,110,Chapra
75,138,Davao
23,210,Huai´an
20,300,Lethbridge
45,184,Gorontalo
15,456,Santa Bárbara d´Oeste
101,12,al-Ayn
102,494,Southampton
44,418,Purnea (Purnia)
103,333,Memphis
86,113,Cheju
36,167,Faaa
38,148,Duisburg
102,149,Dundee
97,50,Balikesir
80,369,Novotšerkassk
44,568,Vijayawada
44,264,Katihar
48,533,Tel Aviv-Jaffa
44,417,Pune
80,466,Serpuhov
44,346,Munger (Monghyr)
23,291,Laiwu
100,258,Kamjanets-Podilskyi
85,85,Boksburg
60,103,Carmen
44,582,Yamuna Nagar
102,589,York
23,471,Shenzhen
75,192,Hagonoy
92,116,Chungho
80,254,Kaliningrad
54,303,Liepaja
50,463,Sasebo
45,403,Pemalang
103,135,Dallas
23,241,Jining
26,378,Olomouc
6,128,Córdoba
92,168,Fengshan
97,266,Kilis
44,107,Chandrapur
97,180,Gaziantep
6,424,Quilmes
60,130,Cuautla
23,578,Xi´angfan
44,8,Adoni
91,56,Basel
85,112,Chatsworth
50,474,Shimonoseki
27,290,La Romana
8,576,Woodridge
23,249,Junan
69,220,Ilorin
103,185,Grand Prairie
104,102,Caracas
50,380,Omiya
50,260,Kanazawa
72,134,Dadu
23,362,Nanyang
18,406,Phnom Penh
45,118,Ciomas
10,48,Baku
23,537,Tieli
80,285,Kurgan
46,31,Arak
75,219,Iligan
6,524,Tandil
76,236,Jastrzebie-Zdrój
97,281,Kütahya
60,393,Pachuca de Soto
74,99,Callao
23,591,Yuzhou
50,440,Sagamihara
29,216,Idfu
105,201,Hanoi
76,409,Plock
82,16,al-Qatif
103,441,Saint Louis
44,426,Rajkot
15,490,Sorocaba
44,9,Ahmadnagar
89,15,al-Qadarif
29,337,Mit Ghamr
23,462,Sanya
23,145,Dongying
6,161,Escobar
50,355,Nagareyama
86,357,Naju
44,350,Mysore
104,561,Valencia
48,57,Bat Yam
17,498,Stara Zagora
104,562,Valle de la Pascua
15,21,Alvorada
76,549,Tychy
97,142,Denizli
62,353,Nador
15,26,Anápolis
23,574,Weifang
4,360,Namibe
93,513,Tabora
15,28,Aparecida de Goiânia
103,120,Citrus Heights
103,262,Kansas City
75,528,Tarlac
75,82,Bislig
75,527,Tanza
24,487,Sogamoso
60,129,Cuauhtémoc
103,177,Garden Grove
78,95,Bucuresti
23,199,Hami
24,147,Dos Quebradas
76,577,Wroclaw
44,425,Rae Bareli
50,205,Hiroshima
6,43,Avellaneda
44,243,Jodhpur
23,242,Jinzhou
103,508,Sunnyvale
15,66,Belém
97,557,Usak
100,275,Konotop
69,141,Deba Habe
41,121,Città del Vaticano
44,416,Pudukkottai
20,313,London
52,372,Nyeri
60,541,Torreón
44,263,Karnal
23,293,Laohekou
103,11,Akron
38,575,Witten
103,65,Bellevue
40,371,Nuuk
105,194,Haiphong
60,595,Zapopan
44,197,Halisahar
104,55,Barcelona
50,229,Izumisano
44,257,Kamarhati
85,364,Newcastle
44,354,Nagaon
105,100,Cam Ranh
60,188,Guadalajara
22,27,Antofagasta
7,586,Yerevan
93,347,Mwanza
69,217,Ife
75,458,Santa Rosa
68,200,Hamilton
44,74,Bhilwara
74,305,Lima
75,98,Cabuyao
64,349,Myingyan
44,51,Balurghat
103,449,San Bernardino
50,226,Iwaki
76,255,Kalisz
103,187,Greensboro
101,3,Abu Dhabi
75,182,Gingoog
103,499,Sterling Heights
105,359,Nam Dinh
12,234,Jamalpur
72,324,Mandi Bahauddin
102,500,Stockport
80,308,Lipetsk
59,282,Kuching
69,252,Kaduna
67,438,´s-Hertogenbosch
65,583,Yangor
15,83,Blumenau
103,101,Cape Coral
23,579,Xi´angtan
69,218,Ikerre
14,153,El Alto
15,84,Boa Vista
103,33,Arlington
86,553,Uijongbu
103,155,El Monte
44,473,Shimoga
23,46,Baicheng
60,131,Cuernavaca
35,105,Cayenne
38,439,Saarbrücken
45,301,Lhokseumawe
44,18,Allappuzha (Alleppey)
60,202,Hidalgo
92,114,Chiayi
15,25,Angra dos Reis
75,323,Mandaluyong
60,250,Juárez
50,224,Isesaki
85,87,Botshabelo
44,239,Jhansi
69,488,Sokoto
44,464,Satna
45,532,Tegal
75,523,Tanauan
107,518,Taizz
103,126,Compton
27,460,Santiago de los Caballeros
90,321,Malmö
23,536,Tiefa
60,154,El Fuerte
33,387,Oulu
15,461,Santo André
23,535,Tianjin
80,225,Ivanovo
13,339,Mogiljov
44,164,Etawah
80,484,Smolensk
80,531,Tšeboksary
80,367,Niznekamsk
60,246,José Azueta
101,470,Sharja
92,542,Touliu
23,590,Yuncheng
75,294,Lapu-Lapu
20,383,Oshawa
82,515,Tabuk
50,521,Tama
2,63,Béchar
23,332,Meixian
103,292,Lancaster
96,492,Sousse
34,544,Toulouse
88,230,Jaffna
24,405,Pereira
69,596,Zaria
63,351,Naçala-Porto
6,45,Bahía Blanca
50,276,Koriyama
28,414,Portoviejo
44,399,Pathankot
80,278,Korolev
75,104,Cavite
60,40,Atlixco
85,392,Paarl
38,160,Erlangen
75,519,Talavera
97,482,Sivas
87,181,Gijón
10,505,Sumqayit
49,551,Udine
44,336,Miraj
23,587,Yinchuan
18,60,Battambang
60,341,Monclova
92,316,Lungtan
85,273,Klerksdorp
60,4,Acuña
73,37,Asunción
50,552,Ueda
6,334,Merlo
44,559,Uttarpara-Kotrung
92,361,Nantou
46,356,Najafabad
6,454,San Miguel de Tucumán
98,35,Ashgabat
91,296,Lausanne
15,30,Araçatuba
105,366,Nha Trang
103,404,Peoria
44,283,Kumbakonam
87,146,Donostia-San Sebastián
103,520,Tallahassee
45,419,Purwakarta
43,512,Székesfehérvár
51,402,Pavlodar
60,452,San Juan Bautista Tuxtepec
38,477,Siegen
60,335,Mexicali
50,376,Okayama
28,434,Ríobamba
44,71,Berhampore (Baharampur)
62,68,Beni-Mellal
29,79,Bilbays
100,345,Mukatševe
59,507,Sungai Petani
15,89,Brasília
23,581,Xinxiang
85,491,Soshanguve
15,183,Goiânia
24,480,Sincelejo
15,431,Rio Claro
23,136,Datong
45,412,Pontianak
23,502,Suihua
83,600,Ziguinchor
23,175,Fuzhou
49,511,Syrakusa
50,253,Kakamigahara
80,150,Dzerzinsk
85,437,Rustenburg
80,343,Moscow
67,29,Apeldoorn
37,54,Banjul
23,166,Ezhou
75,548,Tuguegarao
109,272,Kitwe
52,271,Kisumu
80,238,Jelets
44,427,Rampur
75,62,Bayugan
25,348,Mwene-Ditu
50,256,Kamakura
87,388,Ourense (Orense)
23,109,Changzhou
15,248,Juiz de Fora
50,204,Hino
76,97,Bydgoszcz
80,558,Usolje-Sibirskoje
39,401,Patras
15,328,Maringá
23,80,Binzhou
23,240,Jinchang
23,599,Zhoushan
91,72,Bern
25,315,Lubumbashi
44,398,Parbhani
97,384,Osmaniye
104,326,Maracaíbo
97,163,Eskisehir
44,22,Ambattur
70,420,Pyongyang
69,69,Benin City
62,443,Salé
22,127,Coquimbo
60,125,Coatzacoalcos
94,489,Songkhla
44,77,Bhusawal
32,545,Tórshavn
46,423,Qomsheh
97,504,Sultanbeyli
80,286,Kursk
76,314,Lublin
2,59,Batna
50,386,Otsu
6,20,Almirante Brown
36,397,Papeete
39,38,Athenai
50,172,Fukuyama
45,396,Pangkal Pinang
69,381,Ondo
103,42,Aurora
59,223,Ipoh
75,221,Imus
72,375,Okara
16,53,Bandar Seri Begawan
44,448,Sambhal
6,457,Santa Fé
23,468,Shanwei
