assays_ss_d,assays_ss_sbclllr_frctn,assays_cll_d,assays_td,assays_cnfdnc_scr,assays_src_d,assays_src_ss_d,assays_ss_strn,assays_ss_rgnsm,assays_dc_d,assays_chmbl_d,assays_ss_cll_tp,assays_rltnshp_tp,assays_crtd_b,assays_b_frmt,assays_tss_d,assays_vrnt_d
7615,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622737,,N,Intermediate,BAO_0000218,1969.0,
7616,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622738,,N,Intermediate,BAO_0000218,1969.0,
7617,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622739,,N,Intermediate,BAO_0000218,1969.0,
7618,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622740,,N,Intermediate,BAO_0000218,1969.0,
7619,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622741,,N,Intermediate,BAO_0000218,1969.0,
7620,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622742,,N,Intermediate,BAO_0000218,1969.0,
7621,,,50597,1,1,,,Rattus norvegicus,14793,CHEMBL622743,,N,Intermediate,BAO_0000218,1969.0,
7622,,,50594,1,1,,,Mus musculus,11637,CHEMBL622744,,N,Intermediate,BAO_0000218,1969.0,
7623,,,22224,0,1,,,,11149,CHEMBL624134,,U,Autocuration,BAO_0000019,,
7624,,,22224,0,1,,,,10016,CHEMBL624135,,U,Autocuration,BAO_0000019,,
7625,,,50597,1,1,,,Rattus norvegicus,17796,CHEMBL624136,,N,Intermediate,BAO_0000218,,
7626,,,50597,1,1,,,Rattus norvegicus,17796,CHEMBL624137,,N,Intermediate,BAO_0000218,,
7627,,,50597,1,1,,,Rattus norvegicus,17796,CHEMBL624320,,N,Intermediate,BAO_0000218,,
7628,,,50588,1,1,,,Canis lupus familiaris,12923,CHEMBL624321,,N,Intermediate,BAO_0000218,,
7629,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624322,,N,Intermediate,BAO_0000218,,
7630,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624323,,N,Intermediate,BAO_0000218,,
7631,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624324,,N,Intermediate,BAO_0000218,,
7632,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624325,,N,Intermediate,BAO_0000218,,
7633,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624326,,N,Intermediate,BAO_0000218,,
7634,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624327,,N,Intermediate,BAO_0000218,,
7635,,,50597,1,1,,,Rattus norvegicus,15372,CHEMBL624328,,N,Intermediate,BAO_0000218,,
7636,,,50588,1,1,,,Canis lupus familiaris,14169,CHEMBL627848,,N,Intermediate,BAO_0000218,,
7637,,,50597,1,1,,,Rattus norvegicus,14169,CHEMBL627849,,N,Intermediate,BAO_0000218,,
7638,,,50597,1,1,,,Rattus norvegicus,14258,CHEMBL627850,,N,Intermediate,BAO_0000218,,
7639,,,50597,1,1,,,Rattus norvegicus,14258,CHEMBL627851,,N,Intermediate,BAO_0000218,,
7640,,,50594,1,1,,,Mus musculus,15011,CHEMBL627852,,N,Intermediate,BAO_0000218,,
7641,,,50594,1,1,,,Mus musculus,15011,CHEMBL627853,,N,Intermediate,BAO_0000218,,
7642,,,50594,1,1,,,Mus musculus,15011,CHEMBL627854,,N,Intermediate,BAO_0000218,,
7643,,,50594,1,1,,,Mus musculus,15011,CHEMBL627855,,N,Intermediate,BAO_0000218,,
7644,,,50594,1,1,,,Mus musculus,15011,CHEMBL627856,,N,Intermediate,BAO_0000218,,
7645,,,50594,1,1,,,Mus musculus,15011,CHEMBL875339,,N,Intermediate,BAO_0000218,,
7646,,,50594,1,1,,,Mus musculus,15011,CHEMBL627857,,N,Intermediate,BAO_0000218,,
7647,,,50597,1,1,,,Rattus norvegicus,11195,CHEMBL627858,,N,Intermediate,BAO_0000218,2106.0,
7648,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627859,,N,Intermediate,BAO_0000218,178.0,
7649,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627860,,N,Intermediate,BAO_0000218,955.0,
7650,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627019,,N,Intermediate,BAO_0000218,948.0,
7651,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627020,,N,Intermediate,BAO_0000218,2107.0,
7652,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627021,,N,Intermediate,BAO_0000218,2048.0,
7653,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627022,,N,Intermediate,BAO_0000218,2385.0,
7654,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627023,,N,Intermediate,BAO_0000218,,
7655,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627024,,N,Intermediate,BAO_0000218,2106.0,
7656,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627025,,N,Intermediate,BAO_0000218,2046.0,
7657,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627026,,N,Intermediate,BAO_0000218,2113.0,
7658,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627027,,N,Intermediate,BAO_0000218,178.0,
7659,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627028,,N,Intermediate,BAO_0000218,955.0,
7660,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627029,,N,Intermediate,BAO_0000218,948.0,
7661,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627030,,N,Intermediate,BAO_0000218,2113.0,
7662,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627031,,N,Intermediate,BAO_0000218,2107.0,
7663,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627032,,N,Intermediate,BAO_0000218,2048.0,
7664,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627033,,N,Intermediate,BAO_0000218,2385.0,
7665,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627034,,N,Intermediate,BAO_0000218,,
7666,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627035,,N,Intermediate,BAO_0000218,2106.0,
7667,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627036,,N,Intermediate,BAO_0000218,2046.0,
7668,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL875340,,N,Intermediate,BAO_0000218,178.0,
7669,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627037,,N,Intermediate,BAO_0000218,948.0,
7670,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627038,,N,Intermediate,BAO_0000218,2113.0,
7671,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627039,,N,Intermediate,BAO_0000218,2107.0,
7672,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL627040,,N,Intermediate,BAO_0000218,2385.0,
7673,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL624663,,N,Intermediate,BAO_0000218,2106.0,
7674,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL625963,,N,Intermediate,BAO_0000218,2046.0,
7675,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL876799,,N,Intermediate,BAO_0000218,955.0,
7676,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL626133,,N,Intermediate,BAO_0000218,2048.0,
7677,,,50597,1,1,,,Rattus norvegicus,10130,CHEMBL626134,,N,Intermediate,BAO_0000218,,
7678,,,50597,1,1,,,Rattus norvegicus,6295,CHEMBL626135,,N,Intermediate,BAO_0000218,,
7679,,,50597,1,1,,,Rattus norvegicus,6296,CHEMBL626136,,N,Intermediate,BAO_0000218,,
7680,,,50597,1,1,,,Rattus norvegicus,6296,CHEMBL626137,,N,Intermediate,BAO_0000218,,
7681,,,50597,1,1,,,Rattus norvegicus,6295,CHEMBL626138,,N,Intermediate,BAO_0000218,,
7682,,,50597,1,1,,,Rattus norvegicus,6296,CHEMBL626139,,N,Intermediate,BAO_0000218,,
7683,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL626140,,N,Intermediate,BAO_0000218,,
7684,,,50597,1,1,,,Rattus norvegicus,17260,CHEMBL626141,,N,Intermediate,BAO_0000218,,
7685,,,50597,1,1,,,Rattus norvegicus,17686,CHEMBL626142,,N,Intermediate,BAO_0000218,,
7686,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627930,,N,Intermediate,BAO_0000218,2385.0,
7687,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627931,,N,Intermediate,BAO_0000218,2385.0,
7688,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627932,,N,Intermediate,BAO_0000218,2385.0,
7689,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627933,,N,Intermediate,BAO_0000218,2106.0,
7690,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627934,,N,Intermediate,BAO_0000218,2106.0,
7691,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627935,,N,Intermediate,BAO_0000218,2106.0,
7692,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627936,,N,Intermediate,BAO_0000218,178.0,
7693,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627937,,N,Intermediate,BAO_0000218,178.0,
7694,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627938,,N,Intermediate,BAO_0000218,178.0,
7695,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627939,,N,Intermediate,BAO_0000218,178.0,
7696,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627940,,N,Intermediate,BAO_0000218,178.0,
7697,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627941,,N,Intermediate,BAO_0000218,178.0,
7698,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL876800,,N,Intermediate,BAO_0000218,178.0,
7699,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627942,,N,Intermediate,BAO_0000218,178.0,
7700,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627943,,N,Intermediate,BAO_0000218,178.0,
7701,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627944,,N,Intermediate,BAO_0000218,178.0,
7702,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627945,,N,Intermediate,BAO_0000218,178.0,
7703,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628584,,N,Intermediate,BAO_0000218,178.0,
7704,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628585,,N,Intermediate,BAO_0000218,178.0,
7705,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628586,,N,Intermediate,BAO_0000218,178.0,
7706,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628587,,N,Intermediate,BAO_0000218,178.0,
7707,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628588,,N,Intermediate,BAO_0000218,178.0,
7708,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL628589,,N,Intermediate,BAO_0000218,178.0,
7709,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL625304,,N,Intermediate,BAO_0000218,178.0,
7710,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL625305,,N,Intermediate,BAO_0000218,178.0,
7711,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL625306,,N,Intermediate,BAO_0000218,178.0,
7712,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL625307,,N,Intermediate,BAO_0000218,178.0,
7713,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL625308,,N,Intermediate,BAO_0000218,178.0,
7714,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627740,,N,Intermediate,BAO_0000218,178.0,
7715,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627741,,N,Intermediate,BAO_0000218,178.0,
7716,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627742,,N,Intermediate,BAO_0000218,178.0,
7717,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627743,,N,Intermediate,BAO_0000218,178.0,
7718,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627744,,N,Intermediate,BAO_0000218,178.0,
7719,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627745,,N,Intermediate,BAO_0000218,10000001.0,
7720,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627746,,N,Intermediate,BAO_0000218,10000001.0,
7721,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627747,,N,Intermediate,BAO_0000218,10000001.0,
7722,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL876810,,N,Intermediate,BAO_0000218,10000001.0,
7723,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627748,,N,Intermediate,BAO_0000218,10000001.0,
7724,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627749,,N,Intermediate,BAO_0000218,10000001.0,
7725,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL627750,,N,Intermediate,BAO_0000218,10000001.0,
7726,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618728,,N,Intermediate,BAO_0000218,10000001.0,
7727,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618729,,N,Intermediate,BAO_0000218,10000001.0,
7728,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618730,,N,Intermediate,BAO_0000218,10000001.0,
7729,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618731,,N,Intermediate,BAO_0000218,10000001.0,
7730,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618732,,N,Intermediate,BAO_0000218,10000001.0,
7731,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618733,,N,Intermediate,BAO_0000218,10000001.0,
7732,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618734,,N,Intermediate,BAO_0000218,10000001.0,
7733,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618735,,N,Intermediate,BAO_0000218,10000001.0,
7734,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL876602,,N,Intermediate,BAO_0000218,10000001.0,
7735,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618736,,N,Intermediate,BAO_0000218,10000001.0,
7736,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618737,,N,Intermediate,BAO_0000218,10000001.0,
7737,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618738,,N,Intermediate,BAO_0000218,10000001.0,
7738,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618739,,N,Intermediate,BAO_0000218,10000001.0,
7739,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618740,,N,Intermediate,BAO_0000218,10000001.0,
7740,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618741,,N,Intermediate,BAO_0000218,10000001.0,
7741,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618742,,N,Intermediate,BAO_0000218,10000001.0,
7742,,,50597,1,1,,,Rattus norvegicus,9866,CHEMBL618743,,N,Intermediate,BAO_0000218,10000001.0,
7743,,,50597,1,1,,,Rattus norvegicus,17752,CHEMBL618744,,N,Intermediate,BAO_0000218,1969.0,
7744,,,50597,1,1,,,Rattus norvegicus,5610,CHEMBL618745,,N,Intermediate,BAO_0000218,,
7745,,,50597,1,1,,,Rattus norvegicus,5939,CHEMBL620479,,N,Intermediate,BAO_0000218,,
7746,,,50597,1,1,,,Rattus norvegicus,5939,CHEMBL620480,,N,Intermediate,BAO_0000218,,
7747,,,50597,1,1,,,Rattus norvegicus,17771,CHEMBL620481,,N,Intermediate,BAO_0000218,,
7748,,,50597,1,1,,,Rattus norvegicus,1974,CHEMBL620482,,N,Intermediate,BAO_0000218,,
7749,,,50597,1,1,,,Rattus norvegicus,4239,CHEMBL876603,,N,Intermediate,BAO_0000218,,
7750,,,50597,1,1,,,Rattus norvegicus,6681,CHEMBL620483,,N,Intermediate,BAO_0000218,,
7751,,,50597,1,1,,,Rattus norvegicus,17752,CHEMBL620484,,N,Intermediate,BAO_0000218,,
7752,,,50597,1,1,,,Rattus norvegicus,6046,CHEMBL620485,,N,Intermediate,BAO_0000218,,
7753,,,50597,1,1,,,Rattus norvegicus,6685,CHEMBL620486,,N,Intermediate,BAO_0000218,,
7754,,,50597,1,1,,,Rattus norvegicus,6685,CHEMBL620487,,N,Intermediate,BAO_0000218,,
7755,,,50597,1,1,,,Rattus norvegicus,6685,CHEMBL620488,,N,Intermediate,BAO_0000218,,
7756,,,50597,1,1,,,Rattus norvegicus,4727,CHEMBL620489,,N,Intermediate,BAO_0000218,,
7757,,,50597,1,1,,,Rattus norvegicus,1088,CHEMBL620490,,N,Intermediate,BAO_0000218,,
7758,,,50597,1,1,,,Rattus norvegicus,5610,CHEMBL620491,,N,Intermediate,BAO_0000218,,
7759,,,50597,1,1,,,Rattus norvegicus,3032,CHEMBL876604,,N,Intermediate,BAO_0000218,1969.0,
7760,,,50597,1,1,,,Rattus norvegicus,5199,CHEMBL620492,,N,Intermediate,BAO_0000218,,
7761,,,50597,1,1,,,Rattus norvegicus,14941,CHEMBL620493,,N,Intermediate,BAO_0000218,,
7762,,,50597,1,1,,,Rattus norvegicus,4408,CHEMBL620494,,N,Intermediate,BAO_0000218,,
7763,,,50597,1,1,,,Rattus norvegicus,2552,CHEMBL620495,,N,Intermediate,BAO_0000218,1969.0,
7764,,,50597,1,1,,,Rattus norvegicus,5199,CHEMBL620496,,N,Intermediate,BAO_0000218,1969.0,
7765,,,50597,1,1,,,Rattus norvegicus,15662,CHEMBL620497,,N,Intermediate,BAO_0000218,1969.0,
