Fiscal year,Participatory development and good governance,Branch ID,Branch name,CountryRegion ID,Continent name,Organisation sub-class,Section ID,Fund centre name,Regional program (marker),Organisation class,PBA type,Bilateral aid (international marker),Sector name,Climate change adaptation (marker),Project number,Status,Maximum CIDA contribution (project-level),Division ID,Division name,Section name,Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Enviromental sustainability (marker),Climate change mitigation (marker),Desertification (marker),Trade development (marker),Biodiversity (marker)
2009/2010,0,B4400,NGM Americas,JM,America,CONSULTING SERVICES,S4429,Caribbean Regional - Jamaica,0,Civil Society,Not PBA,1,Informal/semi-formal financial intermediaries,0,A019362001,Closed,3441416.83,D4400,NDD Americas Programming,Caricom - Adm,4439,3441416.83,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4400,NGM Americas,JM,America,CONSULTING SERVICES,S4429,Caribbean Regional - Jamaica,0,Civil Society,Not PBA,1,Informal/semi-formal financial intermediaries,0,A019362001,Closed,3441416.83,D4400,NDD Americas Programming,Caricom - Adm,4439,3441416.83,1.0,0.0,0,Responsive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Democratic participation and civil society,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Formal sector financial intermediaries,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Business support services and institutions,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Industrial policy and administrative management,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Small and medium-sized enterprises (SME) development,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Technological research and development,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Environmental policy and administrative management,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B3100,"EGM Europe, Middle East and Maghreb",EG,Africa,CONSULTING SERVICES,S4256,Egypt,0,Civil Society,Not PBA,1,Biosphere protection,0,A019608001,Closed,16700508.62,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4263,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,0,B3100,"EGM Europe, Middle East and Maghreb",DZ,Africa,FEDERAL,S4256,*Algeria,0,Governmental,Not PBA,1,Multisector aid,0,A020161001,Closed,328400.96,D3100,EDD Europe-Middle East Programming,Middle East and North Africa,4259,0.0,0.998334353,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4400,NGM Americas,HT,America,FEDERAL,S4449,Haiti,0,Governmental,Not PBA,1,Democratic participation and civil society,0,A020195001,Closed,4610501.0,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,4000000.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4400,NGM Americas,HT,America,FEDERAL,S4449,Haiti,0,Governmental,Not PBA,1,Human rights,0,A020195001,Closed,4610501.0,D4400,NDD Americas Programming,Ha�ti & Dominican Republic Section,4452,4000000.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ET,Africa,SPECIALIZED INSTITUTE,S4227,Ethiopia,0,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A020222001,Closed,4229943.14,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ET,Africa,SPECIALIZED INSTITUTE,S4227,Ethiopia,0,Civil Society,Not PBA,1,Public finance management,0,A020222001,Closed,4229943.14,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ET,Africa,SPECIALIZED INSTITUTE,S4227,Ethiopia,0,Civil Society,Not PBA,1,Legal and judicial development,0,A020222001,Closed,4229943.14,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ET,Africa,SPECIALIZED INSTITUTE,S4227,Ethiopia,0,Civil Society,Not PBA,1,Democratic participation and civil society,0,A020222001,Closed,4229943.14,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,ET,Africa,SPECIALIZED INSTITUTE,S4227,Ethiopia,0,Civil Society,Not PBA,1,Human rights,0,A020222001,Closed,4229943.14,D4270,WED Southern & Eastern Africa,"Ethiopia, PanAfrica, SubRegional",4229,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,SN,Africa,CONSULTING SERVICES,S4233,Senegal,0,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A020246001,Terminating,4518387.69,D4207,WWD West & Central Africa,Senegal Program,4238,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,SN,Africa,CONSULTANT,S4233,Senegal,0,Individual,Not PBA,1,Public sector policy and administrative management,0,A020246001,Terminating,4518387.69,D4207,WWD West & Central Africa,Senegal Program,4238,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,SN,Africa,CONSULTING SERVICES,S4233,Senegal,0,Civil Society,Not PBA,1,Informal/semi-formal financial intermediaries,0,A020246001,Terminating,4518387.69,D4207,WWD West & Central Africa,Senegal Program,4238,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,SN,Africa,CONSULTANT,S4233,Senegal,0,Individual,Not PBA,1,Informal/semi-formal financial intermediaries,0,A020246001,Terminating,4518387.69,D4207,WWD West & Central Africa,Senegal Program,4238,4518387.69,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4400,NGM Americas,GY,America,CONSULTING SERVICES,S4429,Caribbean Regional - Guyana,0,Civil Society,Not PBA,1,Teacher training,0,A020252001,Closed,7850039.11,D4400,NDD Americas Programming,Caricom - Adm,4438,7850039.11,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PH,Asia,FEDERAL,S4130,Philippines,0,Governmental,Not PBA,1,Public sector policy and administrative management,0,A020272001,Closed,13000520.92,D4100,OAD Asia Programming,Philippines and Mongolia,4128,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PH,Asia,FEDERAL,S4130,Philippines,0,Governmental,Not PBA,1,Public finance management,0,A020272001,Closed,13000520.92,D4100,OAD Asia Programming,Philippines and Mongolia,4128,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PH,Asia,FEDERAL,S4130,Philippines,0,Governmental,Not PBA,1,Democratic participation and civil society,0,A020272001,Closed,13000520.92,D4100,OAD Asia Programming,Philippines and Mongolia,4128,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,PK,Asia,FEDERAL,S4141,Pakistan,0,Governmental,Not PBA,1,Public sector policy and administrative management,0,A020279001,Terminating,2645994.04,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4124,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,MW,Africa,CONSULTING SERVICES,S4271,Malawi,0,Civil Society,Not PBA,1,Public sector policy and administrative management,0,A020392001,Closed,7747230.74,D4270,WED Southern & Eastern Africa,Mozambique Program,4280,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,BD,Asia,FEDERAL,S4122,Bangladesh,0,Governmental,Not PBA,1,Multisector aid,0,A020395001,Closed,4947637.32,D4100,OAD Asia Programming,Bangladesh Section,4122,0.0,0.5,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4100,OGM Asia Pacific,BD,Asia,Unknown,S4122,Bangladesh,0,Unknown,Not PBA,1,Multisector aid,0,A020395001,Closed,4947637.32,D4100,OAD Asia Programming,Bangladesh Section,4122,0.0,0.5,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,MZ,Africa,CONSULTANT,S4271,Mozambique,0,Individual,Not PBA,1,Basic drinking water supply,0,A020398001,Closed,9096651.0,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,MZ,Africa,CONSULTANT,S4271,Mozambique,0,Individual,Not PBA,1,Basic sanitation,0,A020398001,Closed,9096651.0,D4270,WED Southern & Eastern Africa,Mozambique Program,4274,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,CM,Africa,FEDERAL,S4287,Cameroon,0,Governmental,Not PBA,1,Multisector aid,0,A020449003,Closed,2457111.5,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,CM,Africa,SUPPLIER OF GOODS/SERVICES,S4287,Cameroon,0,Civil Society,Not PBA,1,Multisector aid,0,A020449003,Closed,2457111.5,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,CM,Africa,COOPERANT,S4287,Cameroon,0,Individual,Not PBA,1,Multisector aid,0,A020449003,Closed,2457111.5,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4200,WGM Sub-Saharan Africa,CM,Africa,Unknown,S4287,Cameroon,0,Unknown,Not PBA,1,Multisector aid,0,A020449003,Closed,2457111.5,D4207,WWD West & Central Africa,Central Africa & Great Lakes Program,4289,2457111.5,1.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,ASSOCIATIONS,S4233,*Guinea,0,Civil Society,Not PBA,1,Democratic participation and civil society,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,CONSULTING SERVICES,S4233,*Guinea,0,Civil Society,Not PBA,1,Democratic participation and civil society,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,ASSOCIATIONS,S4233,*Guinea,0,Civil Society,Not PBA,1,Food crop production,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,CONSULTING SERVICES,S4233,*Guinea,0,Civil Society,Not PBA,1,Food crop production,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,ASSOCIATIONS,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural extension,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,CONSULTING SERVICES,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural extension,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,ASSOCIATIONS,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural education/training,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,CONSULTING SERVICES,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural education/training,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,ASSOCIATIONS,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural services,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,GN,Africa,CONSULTING SERVICES,S4233,*Guinea,0,Civil Society,Not PBA,1,Agricultural services,0,A020715001,Closed,11427061.07,D4207,WWD West & Central Africa,Senegal Program,4242,11427061.07,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4100,OGM Asia Pacific,LK,Asia,NGO,S4141,Sri Lanka,0,Civil Society,Not PBA,1,Democratic participation and civil society,0,A020790001,Closed,4308867.95,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4100,OGM Asia Pacific,LK,Asia,NGO,S4141,Sri Lanka,0,Civil Society,Not PBA,1,Human rights,0,A020790001,Closed,4308867.95,D4100,OAD Asia Programming,"OAA Afghanistan, Pakistan and Sri Lanka",4118,0.0,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,ML,Africa,FEDERAL,S4215,Mali,0,Governmental,Other PBA,1,Education policy and administrative management,0,A020891001,Closed,3063216.68,D4207,WWD West & Central Africa,Mali Program Section,4216,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,ML,Africa,Unknown,S4215,Mali,0,Unknown,Other PBA,1,Education policy and administrative management,0,A020891001,Closed,3063216.68,D4207,WWD West & Central Africa,Mali Program Section,4216,0.0,0.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,ML,Africa,FEDERAL,S4215,Mali,0,Governmental,Other PBA,1,Teacher training,0,A020892001,Closed,16726210.87,D4207,WWD West & Central Africa,Mali Program Section,4216,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,ML,Africa,CONSULTING SERVICES,S4215,Mali,0,Civil Society,Other PBA,1,Teacher training,0,A020892001,Closed,16726210.87,D4207,WWD West & Central Africa,Mali Program Section,4216,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,0,B4200,WGM Sub-Saharan Africa,ML,Africa,CONSULTING SERVICES,S4215,Mali,0,Civil Society,Other PBA,1,Teacher training,0,A020892001,Closed,16726210.87,D4207,WWD West & Central Africa,Mali Program Section,4216,16726210.87,1.0,0.0,0,Directive,Uncoded: Pre-APP,0,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Family planning,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Family planning,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Public sector policy and administrative management,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Family planning,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Family planning,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Public sector policy and administrative management,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Public sector policy and administrative management,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Primary education,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,FEDERAL,S4413,*Southern Cone,1,Governmental,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
2009/2010,1,B4400,NGM Americas,50,America,Unknown,S4413,*Southern Cone,1,Unknown,Not PBA,1,Basic health care,0,A020910001,Closed,1488850.78,D4400,NDD Americas Programming,South America,4422,0.0,1.0,0.0,0,Responsive,Uncoded: Pre-APP,1,0,0,0,0
