Fiscal year,Fund centre name,Biodiversity (marker),CountryRegion ID,Organisation type,Organisation name,Desertification (marker),Sector name,CountryRegion percent,CountryRegion name,Fund centre ID,CFLI (marker),Youth issues (marker),Organisation class,Urban issues (marker),Project number,Status,Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Untied amount(Project-level budget),FSTC percent,IRTC percent,CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker)
2009/2010,Caribbean Regional - Jamaica,0,JM,Canadian Profit Making,DEVPAR FINANCIAL CONSULTING LTD,0,Informal/semi-formal financial intermediaries,1.0,Jamaica,4439,0,0,Civil Society,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,3441416.83,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Jamaica,0,JM,Canadian Profit Making,MM LYNCH CONSULTANTS INTERNATIONAL,0,Informal/semi-formal financial intermediaries,1.0,Jamaica,4439,0,0,Civil Society,0,A019362001,Closed,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,3441416.83,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Democratic participation and civil society,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Formal sector financial intermediaries,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Business support services and institutions,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Industrial policy and administrative management,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Small and medium-sized enterprises (SME) development,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Technological research and development,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Environmental policy and administrative management,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Egypt,0,EG,Canadian Profit Making,Cowater International Inc.,0,Biosphere protection,1.0,Egypt,4263,0,0,Civil Society,0,A019608001,Closed,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Algeria,0,DZ,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Multisector aid,1.0,Algeria,4259,0,0,Governmental,0,A020161001,Closed,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,Middle East and North Africa,0,0.0,0.998334353,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Haiti,0,HT,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Democratic participation and civil society,1.0,Haiti,4452,0,0,Governmental,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4000000.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Haiti,0,HT,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Human rights,1.0,Haiti,4452,0,0,Governmental,0,A020195001,Closed,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4000000.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,0,ET,Canadian Non-Profit Making,Parliamentary Centre,0,Public sector policy and administrative management,1.0,Ethiopia,4229,0,0,Civil Society,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,0,ET,Canadian Non-Profit Making,Parliamentary Centre,0,Public finance management,1.0,Ethiopia,4229,0,0,Civil Society,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,0,ET,Canadian Non-Profit Making,Parliamentary Centre,0,Legal and judicial development,1.0,Ethiopia,4229,0,0,Civil Society,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,0,ET,Canadian Non-Profit Making,Parliamentary Centre,0,Democratic participation and civil society,1.0,Ethiopia,4229,0,0,Civil Society,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Ethiopia,0,ET,Canadian Non-Profit Making,Parliamentary Centre,0,Human rights,1.0,Ethiopia,4229,0,0,Civil Society,0,A020222001,Closed,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,0,SN,Canadian Profit Making,Thompson Consultant Inc.,0,Public sector policy and administrative management,1.0,Senegal,4238,0,0,Civil Society,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,0,SN,Canadian Profit Making,Information not available,0,Public sector policy and administrative management,1.0,Senegal,4238,0,0,Individual,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,0,SN,Canadian Profit Making,Thompson Consultant Inc.,0,Informal/semi-formal financial intermediaries,1.0,Senegal,4238,0,0,Civil Society,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Senegal,0,SN,Canadian Profit Making,Information not available,0,Informal/semi-formal financial intermediaries,1.0,Senegal,4238,0,0,Individual,0,A020246001,Terminating,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4518387.69,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Caribbean Regional - Guyana,0,GY,Canadian Profit Making,CRC Sogema Inc.,0,Teacher training,1.0,Guyana,4438,0,0,Civil Society,0,A020252001,Closed,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,7850039.11,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Philippines,0,PH,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,1.0,Philippines,4128,0,0,Governmental,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Philippines,0,PH,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public finance management,1.0,Philippines,4128,0,0,Governmental,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Philippines,0,PH,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Democratic participation and civil society,1.0,Philippines,4128,0,0,Governmental,0,A020272001,Closed,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Pakistan,0,PK,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,1.0,Pakistan,4124,0,0,Governmental,0,A020279001,Terminating,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Malawi,0,MW,Canadian Profit Making,Agriteam Canada,0,Public sector policy and administrative management,1.0,Malawi,4280,0,0,Civil Society,0,A020392001,Closed,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,0,BD,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Multisector aid,1.0,Bangladesh,4122,0,0,Governmental,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,0.0,0.5,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Bangladesh,0,BD,Uncoded,Information not available,0,Multisector aid,1.0,Bangladesh,4122,0,0,Unknown,0,A020395001,Closed,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,0.0,0.5,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mozambique,0,MZ,Canadian Profit Making,Information not available,0,Basic drinking water supply,1.0,Mozambique,4274,0,0,Individual,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mozambique,0,MZ,Canadian Profit Making,Information not available,0,Basic sanitation,1.0,Mozambique,4274,0,0,Individual,0,A020398001,Closed,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Cameroon,0,CM,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Multisector aid,1.0,Cameroon,4289,0,0,Governmental,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,0,CM,Canadian Profit Making,D�M�NAGEMENT OUTAOUAIS INC.,0,Multisector aid,1.0,Cameroon,4289,0,0,Civil Society,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,0,CM,Canadian Profit Making,Information not available,0,Multisector aid,1.0,Cameroon,4289,0,0,Individual,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,Cameroon,0,CM,Uncoded,Information not available,0,Multisector aid,1.0,Cameroon,4289,0,0,Unknown,0,A020449003,Closed,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,2457111.5,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Guinea,0,GN,Canadian Non-Profit Making,UPA DI - Union des producteurs agricoles d�veloppement,0,Democratic participation and civil society,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Profit Making,Le Groupe Conseil Baastel Lt�e,0,Democratic participation and civil society,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Non-Profit Making,UPA DI - Union des producteurs agricoles d�veloppement,0,Food crop production,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Profit Making,Le Groupe Conseil Baastel Lt�e,0,Food crop production,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Non-Profit Making,UPA DI - Union des producteurs agricoles d�veloppement,0,Agricultural extension,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Profit Making,Le Groupe Conseil Baastel Lt�e,0,Agricultural extension,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Non-Profit Making,UPA DI - Union des producteurs agricoles d�veloppement,0,Agricultural education/training,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Profit Making,Le Groupe Conseil Baastel Lt�e,0,Agricultural education/training,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Non-Profit Making,UPA DI - Union des producteurs agricoles d�veloppement,0,Agricultural services,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,*Guinea,0,GN,Canadian Profit Making,Le Groupe Conseil Baastel Lt�e,0,Agricultural services,1.0,Guinea,4242,0,0,Civil Society,0,A020715001,Closed,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,11427061.07,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Sri Lanka,0,LK,Canadian Non-Profit Making,Foundation for International Training,0,Democratic participation and civil society,1.0,Sri Lanka,4118,0,0,Civil Society,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Sri Lanka,0,LK,Canadian Non-Profit Making,Foundation for International Training,0,Human rights,1.0,Sri Lanka,4118,0,0,Civil Society,0,A020790001,Closed,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,0.0,1.0,0.0,Directive,Uncoded: Pre-APP,1,Not PBA,0
2009/2010,Mali,0,ML,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Education policy and administrative management,1.0,Mali,4216,0,0,Governmental,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,0,ML,Uncoded,Information not available,0,Education policy and administrative management,1.0,Mali,4216,0,0,Unknown,0,A020891001,Closed,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,0.0,0.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,0,ML,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Teacher training,1.0,Mali,4216,0,0,Governmental,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,0,ML,Canadian Profit Making,CAC International,0,Teacher training,1.0,Mali,4216,0,0,Civil Society,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,Mali,0,ML,Canadian Profit Making,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,0,Teacher training,1.0,Mali,4216,0,0,Civil Society,0,A020892001,Closed,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,16726210.87,1.0,0.0,Directive,Uncoded: Pre-APP,1,Other PBA,0
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Primary education,0.1,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Uncoded,Information not available,0,Primary education,0.1,South America,4422,0,0,Unknown,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Basic health care,0.1,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Uncoded,Information not available,0,Basic health care,0.1,South America,4422,0,0,Unknown,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Family planning,0.1,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Uncoded,Information not available,0,Family planning,0.1,South America,4422,0,0,Unknown,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Public sector policy and administrative management,0.1,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Uncoded,Information not available,0,Public sector policy and administrative management,0.1,South America,4422,0,0,Unknown,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Primary education,0.3,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Uncoded,Information not available,0,Primary education,0.3,South America,4422,0,0,Unknown,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
2009/2010,*Southern Cone,0,50,Canadian Non-Profit Making,Department of Foreign Affairs and International Trade,0,Basic health care,0.3,South America,4422,0,0,Governmental,0,A020910001,Closed,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,0.0,1.0,0.0,Responsive,Uncoded: Pre-APP,1,Not PBA,1
