Fiscal year,Climate change mitigation (marker),Disability issues (marker),Division name,Status,Biodiversity (marker),Programming process (new),FSTC percent,CountryRegion ID,Participatory development and good governance,IRTC percent,Section name,Division ID,Project Browser country ID,Organisation name,Project number,Maximum CIDA contribution (project-level),Branch ID,Branch name,Section ID,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Trade development (marker),Urban issues (marker)
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PH,1,0.0,Philippines and Mongolia,D4100,PH,Department of Foreign Affairs and International Trade,A020272001,13000520.92,B4100,OGM Asia Pacific,S4130,0,4128,Philippines,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PH,1,0.0,Philippines and Mongolia,D4100,PH,Department of Foreign Affairs and International Trade,A020272001,13000520.92,B4100,OGM Asia Pacific,S4130,0,4128,Philippines,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,PH,1,0.0,Philippines and Mongolia,D4100,PH,Department of Foreign Affairs and International Trade,A020272001,13000520.92,B4100,OGM Asia Pacific,S4130,0,4128,Philippines,0.0,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Terminating,0,Uncoded: Pre-APP,1.0,PK,1,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,PK,Department of Foreign Affairs and International Trade,A020279001,2645994.04,B4100,OGM Asia Pacific,S4141,0,4124,Pakistan,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,MW,1,0.0,Mozambique Program,D4270,MW,Agriteam Canada,A020392001,7747230.74,B4200,WGM Sub-Saharan Africa,S4271,0,4280,Malawi,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,0.5,BD,1,0.0,Bangladesh Section,D4100,BD,Department of Foreign Affairs and International Trade,A020395001,4947637.32,B4100,OGM Asia Pacific,S4122,0,4122,Bangladesh,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,0.5,BD,1,0.0,Bangladesh Section,D4100,BD,Information not available,A020395001,4947637.32,B4100,OGM Asia Pacific,S4122,0,4122,Bangladesh,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,MZ,0,0.0,Mozambique Program,D4270,MZ,Information not available,A020398001,9096651.0,B4200,WGM Sub-Saharan Africa,S4271,0,4274,Mozambique,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WED Southern & Eastern Africa,Closed,0,Uncoded: Pre-APP,1.0,MZ,0,0.0,Mozambique Program,D4270,MZ,Information not available,A020398001,9096651.0,B4200,WGM Sub-Saharan Africa,S4271,0,4274,Mozambique,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,CM,1,0.0,Central Africa & Great Lakes Program,D4207,CM,Department of Foreign Affairs and International Trade,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,S4287,0,4289,Cameroon,2457111.5,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,CM,1,0.0,Central Africa & Great Lakes Program,D4207,CM,D�M�NAGEMENT OUTAOUAIS INC.,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,S4287,0,4289,Cameroon,2457111.5,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,CM,1,0.0,Central Africa & Great Lakes Program,D4207,CM,Information not available,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,S4287,0,4289,Cameroon,2457111.5,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,CM,1,0.0,Central Africa & Great Lakes Program,D4207,CM,Information not available,A020449003,2457111.5,B4200,WGM Sub-Saharan Africa,S4287,0,4289,Cameroon,2457111.5,0,Directive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,UPA DI - Union des producteurs agricoles d�veloppement,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,Le Groupe Conseil Baastel Lt�e,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,UPA DI - Union des producteurs agricoles d�veloppement,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,Le Groupe Conseil Baastel Lt�e,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,UPA DI - Union des producteurs agricoles d�veloppement,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,Le Groupe Conseil Baastel Lt�e,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,UPA DI - Union des producteurs agricoles d�veloppement,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,Le Groupe Conseil Baastel Lt�e,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,UPA DI - Union des producteurs agricoles d�veloppement,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,GN,0,0.0,Senegal Program,D4207,GN,Le Groupe Conseil Baastel Lt�e,A020715001,11427061.07,B4200,WGM Sub-Saharan Africa,S4233,0,4242,*Guinea,11427061.07,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,LK,0,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,LK,Foundation for International Training,A020790001,4308867.95,B4100,OGM Asia Pacific,S4141,0,4118,Sri Lanka,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,OAD Asia Programming,Closed,0,Uncoded: Pre-APP,1.0,LK,0,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",D4100,LK,Foundation for International Training,A020790001,4308867.95,B4100,OGM Asia Pacific,S4141,0,4118,Sri Lanka,0.0,0,Directive,1,Not PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,0.0,ML,0,0.0,Mali Program Section,D4207,ML,Department of Foreign Affairs and International Trade,A020891001,3063216.68,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,0.0,0,Directive,1,Other PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,0.0,ML,0,0.0,Mali Program Section,D4207,ML,Information not available,A020891001,3063216.68,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,0.0,0,Directive,1,Other PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,0,0.0,Mali Program Section,D4207,ML,Department of Foreign Affairs and International Trade,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,16726210.87,0,Directive,1,Other PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,0,0.0,Mali Program Section,D4207,ML,CAC International,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,16726210.87,0,Directive,1,Other PBA,0,0,0,0,0
2009/2010,0,0,WWD West & Central Africa,Closed,0,Uncoded: Pre-APP,1.0,ML,0,0.0,Mali Program Section,D4207,ML,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,A020892001,16726210.87,B4200,WGM Sub-Saharan Africa,S4215,0,4216,Mali,16726210.87,0,Directive,1,Other PBA,0,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,UY,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,AR,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Department of Foreign Affairs and International Trade,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
2009/2010,0,0,NDD Americas Programming,Closed,0,Uncoded: Pre-APP,1.0,50,1,0.0,South America,D4400,CL,Information not available,A020910001,1488850.78,B4400,NGM Americas,S4413,1,4422,*Southern Cone,0.0,0,Responsive,1,Not PBA,1,0,0,0,0
