città_id,città,stato_id,stato
136,Datong,23,China
44,Bagé,15,Brazil
230,Jaffna,88,Sri Lanka
157,Emeishan,23,China
374,Ogbomosho,69,Nigeria
384,Osmaniye,97,Turkey
265,Kermanshah,46,Iran
363,NDjamna,21,Chad
293,Laohekou,23,China
499,Sterling Heights,103,United States
217,Ife,69,Nigeria
290,La Romana,27,Dominican Republic
146,Donostia-San Sebastián,87,Spain
407,Pingxiang,23,China
368,Novi Sad,108,Yugoslavia
317,Luziânia,15,Brazil
204,Hino,50,Japan
39,Atšinsk,80,Russian Federation
206,Hodeida,107,Yemen
107,Chandrapur,44,India
31,Arak,46,Iran
437,Rustenburg,85,South Africa
480,Sincelejo,24,Colombia
369,Novotšerkassk,80,Russian Federation
133,Czestochowa,76,Poland
249,Junan,23,China
497,Springs,85,South Africa
76,Bhopal,44,India
597,Zeleznogorsk,80,Russian Federation
535,Tianjin,23,China
573,Warren,103,United States
515,Tabuk,82,Saudi Arabia
526,Tanshui,92,Taiwan
289,La Plata,6,Argentina
568,Vijayawada,44,India
406,Phnom Penh,18,Cambodia
357,Naju,86,South Korea
67,Benguela,4,Angola
101,Cape Coral,103,United States
464,Satna,44,India
267,Kimberley,85,South Africa
263,Karnal,44,India
352,Nabereznyje Tšelny,80,Russian Federation
104,Cavite,75,Philippines
154,El Fuerte,60,Mexico
595,Zapopan,60,Mexico
557,Usak,97,Turkey
219,Iligan,75,Philippines
144,Dhule (Dhulia),44,India
533,Tel Aviv-Jaffa,48,Israel
252,Kaduna,69,Nigeria
248,Juiz de Fora,15,Brazil
338,Miyakonojo,50,Japan
113,Cheju,86,South Korea
585,Yaoundé,19,Cameroon
134,Dadu,72,Pakistan
574,Weifang,23,China
40,Atlixco,60,Mexico
223,Ipoh,59,Malaysia
372,Nyeri,52,Kenya
161,Escobar,6,Argentina
421,Qalyub,29,Egypt
2,Abha,82,Saudi Arabia
356,Najafabad,46,Iran
324,Mandi Bahauddin,72,Pakistan
410,Poá,15,Brazil
122,Ciudad del Este,73,Paraguay
151,Ede,67,Netherlands
496,Southport,102,United Kingdom
392,Paarl,85,South Africa
554,Uluberia,44,India
379,Omdurman,89,Sudan
38,Athenai,39,Greece
241,Jining,23,China
12,al-Ayn,101,United Arab Emirates
315,Lubumbashi,25,"Congo, The Democratic Republic of the"
96,Buenaventura,24,Colombia
128,Córdoba,6,Argentina
108,Changhwa,92,Taiwan
207,Hohhot,23,China
477,Siegen,38,Germany
312,London,102,United Kingdom
541,Torreón,60,Mexico
220,Ilorin,69,Nigeria
578,Xi´angfan,23,China
18,Allappuzha (Alleppey),44,India
26,Anápolis,15,Brazil
449,San Bernardino,103,United States
337,Mit Ghamr,29,Egypt
509,Surakarta,45,Indonesia
572,Vitória de Santo Antão,15,Brazil
467,Shahr-e Kord,46,Iran
318,Madiun,45,Indonesia
299,Leshan,23,China
310,Ljubertsy,80,Russian Federation
529,Tarsus,97,Turkey
58,Batman,97,Turkey
569,Vila Velha,15,Brazil
277,Korla,23,China
240,Jinchang,23,China
148,Duisburg,38,Germany
420,Pyongyang,70,North Korea
347,Mwanza,93,Tanzania
512,Székesfehérvár,43,Hungary
218,Ikerre,69,Nigeria
468,Shanwei,23,China
349,Myingyan,64,Myanmar
440,Sagamihara,50,Japan
498,Stara Zagora,17,Bulgaria
42,Aurora,103,United States
288,La Paz,60,Mexico
425,Rae Bareli,44,India
580,Xintai,23,China
261,Kanchrapara,44,India
61,Baybay,75,Philippines
521,Tama,50,Japan
7,Aden,107,Yemen
441,Saint Louis,103,United States
88,Bradford,102,United Kingdom
123,Clarksville,103,United States
121,Città del Vaticano,41,Holy See (Vatican City State)
145,Dongying,23,China
309,Livorno,49,Italy
278,Korolev,80,Russian Federation
534,Tete,63,Mozambique
506,Sumy,100,Ukraine
4,Acuña,60,Mexico
531,Tšeboksary,80,Russian Federation
291,Laiwu,23,China
560,Vaduz,55,Liechtenstein
408,Pjatigorsk,80,Russian Federation
173,Funafuti,99,Tuvalu
202,Hidalgo,60,Mexico
226,Iwaki,50,Japan
57,Bat Yam,48,Israel
94,Brockton,103,United States
416,Pudukkottai,44,India
354,Nagaon,44,India
505,Sumqayit,10,Azerbaijan
53,Bandar Seri Begawan,16,Brunei
513,Tabora,93,Tanzania
451,San Felipe del Progreso,60,Mexico
438,´s-Hertogenbosch,67,Netherlands
250,Juárez,60,Mexico
231,Jaipur,44,India
321,Malmö,90,Sweden
523,Tanauan,75,Philippines
423,Qomsheh,46,Iran
3,Abu Dhabi,101,United Arab Emirates
139,Daxian,23,China
274,Kolpino,80,Russian Federation
481,Sirjan,46,Iran
377,Okinawa,50,Japan
282,Kuching,59,Malaysia
545,Tórshavn,32,Faroe Islands
194,Haiphong,105,Vietnam
463,Sasebo,50,Japan
422,Qinhuangdao,23,China
43,Avellaneda,6,Argentina
55,Barcelona,104,Venezuela
495,Southend-on-Sea,102,United Kingdom
47,Baiyin,23,China
16,al-Qatif,82,Saudi Arabia
351,Naçala-Porto,63,Mozambique
591,Yuzhou,23,China
579,Xi´angtan,23,China
305,Lima,74,Peru
491,Soshanguve,85,South Africa
470,Sharja,101,United Arab Emirates
66,Belém,15,Brazil
590,Yuncheng,23,China
487,Sogamoso,24,Colombia
443,Salé,62,Morocco
292,Lancaster,103,United States
466,Serpuhov,80,Russian Federation
446,Salinas,103,United States
339,Mogiljov,13,Belarus
358,Nakhon Sawan,94,Thailand
525,Tangail,12,Bangladesh
530,Tartu,30,Estonia
185,Grand Prairie,103,United States
409,Plock,76,Poland
193,Haining,23,China
251,Kabul,1,Afghanistan
362,Nanyang,23,China
520,Tallahassee,103,United States
522,Tambaram,44,India
78,Bijapur,44,India
79,Bilbays,29,Egypt
286,Kursk,80,Russian Federation
164,Etawah,44,India
593,Zanzibar,93,Tanzania
378,Olomouc,26,Czech Republic
439,Saarbrücken,38,Germany
571,Vinh,105,Vietnam
214,Huánuco,74,Peru
402,Pavlodar,51,Kazakstan
329,Masqat,71,Oman
17,Alessandria,49,Italy
198,Halle/Saale,38,Germany
32,Arecibo,77,Puerto Rico
419,Purwakarta,45,Indonesia
382,Onomichi,50,Japan
381,Ondo,69,Nigeria
179,Gatineau,20,Canada
228,Iwatsuki,50,Japan
503,Sullana,74,Peru
475,Shivapuri,44,India
73,Bhavnagar,44,India
549,Tychy,76,Poland
242,Jinzhou,23,China
229,Izumisano,50,Japan
564,Valparai,44,India
63,Béchar,2,Algeria
326,Maracaíbo,104,Venezuela
237,Jedda,82,Saudi Arabia
14,al-Manama,11,Bahrain
238,Jelets,80,Russian Federation
29,Apeldoorn,67,Netherlands
370,Nuku´alofa,95,Tonga
266,Kilis,97,Turkey
448,Sambhal,44,India
412,Pontianak,45,Indonesia
548,Tuguegarao,75,Philippines
287,Kuwana,50,Japan
30,Araçatuba,15,Brazil
176,Gandhinagar,44,India
461,Santo André,15,Brazil
188,Guadalajara,60,Mexico
115,Chisinau,61,Moldova
222,Inegöl,97,Turkey
397,Papeete,36,French Polynesia
581,Xinxiang,23,China
36,Ashqelon,48,Israel
130,Cuautla,60,Mexico
304,Lilongwe,58,Malawi
328,Maringá,15,Brazil
504,Sultanbeyli,97,Turkey
89,Brasília,15,Brazil
216,Idfu,29,Egypt
150,Dzerzinsk,80,Russian Federation
436,Ruse,17,Bulgaria
366,Nha Trang,105,Vietnam
388,Ourense (Orense),87,Spain
59,Batna,2,Algeria
482,Sivas,97,Turkey
125,Coatzacoalcos,60,Mexico
306,Lincoln,103,United States
553,Uijongbu,86,South Korea
344,Mosul,47,Iraq
186,Graz,9,Austria
15,al-Qadarif,89,Sudan
111,Charlotte Amalie,106,"Virgin Islands, U.S."
517,Taguig,75,Philippines
34,Ashdod,48,Israel
340,Molodetšno,13,Belarus
215,Ibirité,15,Brazil
435,Rockford,103,United States
275,Konotop,100,Ukraine
316,Lungtan,92,Taiwan
432,Rizhao,23,China
501,Sucre,14,Bolivia
166,Ezhou,23,China
323,Mandaluyong,75,Philippines
391,Ozamis,75,Philippines
210,Huai´an,23,China
455,Sanaa,107,Yemen
106,Celaya,60,Mexico
473,Shimoga,44,India
390,Oyo,69,Nigeria
300,Lethbridge,20,Canada
118,Ciomas,45,Indonesia
199,Hami,23,China
140,Dayton,103,United States
232,Jakarta,45,Indonesia
385,Šostka,100,Ukraine
364,Newcastle,85,South Africa
174,Fuyu,23,China
127,Coquimbo,22,Chile
565,Vancouver,20,Canada
212,Huejutla de Reyes,60,Mexico
567,Vicente López,6,Argentina
311,Loja,28,Ecuador
187,Greensboro,103,United States
177,Garden Grove,103,United States
413,Poços de Caldas,15,Brazil
105,Cayenne,35,French Guiana
156,Elista,80,Russian Federation
325,Mannheim,38,Germany
235,Jaroslavl,80,Russian Federation
583,Yangor,65,Nauru
314,Lublin,76,Poland
126,Compton,103,United States
137,Daugavpils,54,Latvia
258,Kamjanets-Podilskyi,100,Ukraine
213,Huixquilucan,60,Mexico
444,Salala,71,Oman
532,Tegal,45,Indonesia
471,Shenzhen,23,China
52,Bamenda,19,Cameroon
297,Le Mans,34,France
129,Cuauhtémoc,60,Mexico
178,Garland,103,United States
201,Hanoi,105,Vietnam
365,Nezahualcóyotl,60,Mexico
268,Kimchon,86,South Korea
598,Zhezqazghan,51,Kazakstan
403,Pemalang,45,Indonesia
180,Gaziantep,97,Turkey
350,Mysore,44,India
192,Hagonoy,75,Philippines
415,Probolinggo,45,Indonesia
359,Nam Dinh,105,Vietnam
200,Hamilton,68,New Zealand
566,Varanasi (Benares),44,India
65,Bellevue,103,United States
182,Gingoog,75,Philippines
562,Valle de la Pascua,104,Venezuela
313,London,20,Canada
341,Monclova,60,Mexico
294,Lapu-Lapu,75,Philippines
559,Uttarpara-Kotrung,44,India
386,Otsu,50,Japan
563,Valle de Santiago,60,Mexico
453,San Lorenzo,73,Paraguay
91,Brescia,49,Italy
6,Addis Abeba,31,Ethiopia
414,Portoviejo,28,Ecuador
45,Bahía Blanca,6,Argentina
393,Pachuca de Soto,60,Mexico
307,Linz,9,Austria
