assays_ss_d,assays_cnfdnc_scr,assays_vrnt_d,assays_ss_ctgr,assays_tss_d,assays_ss_sbclllr_frctn,assays_ss_tst_tp,assays_ss_rgnsm,assays_src_ss_d,assays_src_d,assays_rltnshp_tp,assays_ss_cll_tp,assays_td,assays_crtd_b,assays_chmbl_d,assays_cll_d,assays_b_frmt
7570,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621377,,BAO_0000218
7571,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621378,,BAO_0000218
7572,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876599,,BAO_0000218
7573,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621379,,BAO_0000218
7574,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621380,,BAO_0000218
7575,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621381,,BAO_0000218
7576,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618515,,BAO_0000218
7577,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618516,,BAO_0000218
7578,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618517,,BAO_0000218
7579,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618518,,BAO_0000218
7580,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618519,,BAO_0000218
7581,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618698,,BAO_0000218
7582,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618862,,BAO_0000218
7583,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618863,,BAO_0000218
7584,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618864,,BAO_0000218
7585,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618865,,BAO_0000218
7586,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618866,,BAO_0000218
7587,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618867,,BAO_0000218
7588,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL875828,,BAO_0000218
7589,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618868,,BAO_0000218
7590,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618869,,BAO_0000218
7591,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618870,,BAO_0000218
7592,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618871,,BAO_0000218
7593,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618872,,BAO_0000218
7594,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL873816,,BAO_0000218
7595,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL618873,,BAO_0000218
7596,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621602,,BAO_0000019
7597,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621603,,BAO_0000218
7598,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621604,,BAO_0000218
7599,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621605,,BAO_0000218
7600,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621606,,BAO_0000218
7601,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621607,,BAO_0000218
7602,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621608,,BAO_0000218
7603,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621609,,BAO_0000019
7604,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL621610,,BAO_0000218
7605,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621611,,BAO_0000218
7606,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL621612,,BAO_0000218
7607,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622308,,BAO_0000218
7608,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622309,,BAO_0000218
7609,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622310,,BAO_0000218
7610,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622311,,BAO_0000218
7611,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622312,,BAO_0000218
7612,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622931,,BAO_0000218
7613,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622932,,BAO_0000218
7614,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622736,,BAO_0000218
7615,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622737,,BAO_0000218
7616,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622738,,BAO_0000218
7617,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622739,,BAO_0000218
7618,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622740,,BAO_0000218
7619,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622741,,BAO_0000218
7620,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622742,,BAO_0000218
7621,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL622743,,BAO_0000218
7622,1,,,1969.0,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL622744,,BAO_0000218
7623,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL624134,,BAO_0000019
7624,0,,,,,,,,1,U,,22224,Autocuration,CHEMBL624135,,BAO_0000019
7625,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624136,,BAO_0000218
7626,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624137,,BAO_0000218
7627,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624320,,BAO_0000218
7628,1,,,,,,Canis lupus familiaris,,1,N,,50588,Intermediate,CHEMBL624321,,BAO_0000218
7629,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624322,,BAO_0000218
7630,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624323,,BAO_0000218
7631,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624324,,BAO_0000218
7632,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624325,,BAO_0000218
7633,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624326,,BAO_0000218
7634,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624327,,BAO_0000218
7635,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624328,,BAO_0000218
7636,1,,,,,,Canis lupus familiaris,,1,N,,50588,Intermediate,CHEMBL627848,,BAO_0000218
7637,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627849,,BAO_0000218
7638,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627850,,BAO_0000218
7639,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627851,,BAO_0000218
7640,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627852,,BAO_0000218
7641,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627853,,BAO_0000218
7642,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627854,,BAO_0000218
7643,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627855,,BAO_0000218
7644,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627856,,BAO_0000218
7645,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL875339,,BAO_0000218
7646,1,,,,,,Mus musculus,,1,N,,50594,Intermediate,CHEMBL627857,,BAO_0000218
7647,1,,,2106.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627858,,BAO_0000218
7648,1,,,178.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627859,,BAO_0000218
7649,1,,,955.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627860,,BAO_0000218
7650,1,,,948.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627019,,BAO_0000218
7651,1,,,2107.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627020,,BAO_0000218
7652,1,,,2048.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627021,,BAO_0000218
7653,1,,,2385.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627022,,BAO_0000218
7654,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627023,,BAO_0000218
7655,1,,,2106.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627024,,BAO_0000218
7656,1,,,2046.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627025,,BAO_0000218
7657,1,,,2113.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627026,,BAO_0000218
7658,1,,,178.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627027,,BAO_0000218
7659,1,,,955.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627028,,BAO_0000218
7660,1,,,948.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627029,,BAO_0000218
7661,1,,,2113.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627030,,BAO_0000218
7662,1,,,2107.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627031,,BAO_0000218
7663,1,,,2048.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627032,,BAO_0000218
7664,1,,,2385.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627033,,BAO_0000218
7665,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627034,,BAO_0000218
7666,1,,,2106.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627035,,BAO_0000218
7667,1,,,2046.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627036,,BAO_0000218
7668,1,,,178.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL875340,,BAO_0000218
7669,1,,,948.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627037,,BAO_0000218
7670,1,,,2113.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627038,,BAO_0000218
7671,1,,,2107.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627039,,BAO_0000218
7672,1,,,2385.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627040,,BAO_0000218
7673,1,,,2106.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL624663,,BAO_0000218
7674,1,,,2046.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625963,,BAO_0000218
7675,1,,,955.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876799,,BAO_0000218
7676,1,,,2048.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626133,,BAO_0000218
7677,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626134,,BAO_0000218
7678,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626135,,BAO_0000218
7679,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626136,,BAO_0000218
7680,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626137,,BAO_0000218
7681,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626138,,BAO_0000218
7682,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626139,,BAO_0000218
7683,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626140,,BAO_0000218
7684,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626141,,BAO_0000218
7685,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL626142,,BAO_0000218
7686,1,,,2385.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627930,,BAO_0000218
7687,1,,,2385.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627931,,BAO_0000218
7688,1,,,2385.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627932,,BAO_0000218
7689,1,,,2106.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627933,,BAO_0000218
7690,1,,,2106.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627934,,BAO_0000218
7691,1,,,2106.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627935,,BAO_0000218
7692,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627936,,BAO_0000218
7693,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627937,,BAO_0000218
7694,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627938,,BAO_0000218
7695,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627939,,BAO_0000218
7696,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627940,,BAO_0000218
7697,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627941,,BAO_0000218
7698,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876800,,BAO_0000218
7699,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627942,,BAO_0000218
7700,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627943,,BAO_0000218
7701,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627944,,BAO_0000218
7702,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627945,,BAO_0000218
7703,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628584,,BAO_0000218
7704,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628585,,BAO_0000218
7705,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628586,,BAO_0000218
7706,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628587,,BAO_0000218
7707,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628588,,BAO_0000218
7708,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL628589,,BAO_0000218
7709,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625304,,BAO_0000218
7710,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625305,,BAO_0000218
7711,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625306,,BAO_0000218
7712,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625307,,BAO_0000218
7713,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL625308,,BAO_0000218
7714,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627740,,BAO_0000218
7715,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627741,,BAO_0000218
7716,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627742,,BAO_0000218
7717,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627743,,BAO_0000218
7718,1,,,178.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627744,,BAO_0000218
7719,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627745,,BAO_0000218
7720,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627746,,BAO_0000218
7721,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627747,,BAO_0000218
7722,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876810,,BAO_0000218
7723,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627748,,BAO_0000218
7724,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627749,,BAO_0000218
7725,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL627750,,BAO_0000218
7726,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618728,,BAO_0000218
7727,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618729,,BAO_0000218
7728,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618730,,BAO_0000218
7729,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618731,,BAO_0000218
7730,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618732,,BAO_0000218
7731,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618733,,BAO_0000218
7732,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618734,,BAO_0000218
7733,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618735,,BAO_0000218
7734,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876602,,BAO_0000218
7735,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618736,,BAO_0000218
7736,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618737,,BAO_0000218
7737,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618738,,BAO_0000218
7738,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618739,,BAO_0000218
7739,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618740,,BAO_0000218
7740,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618741,,BAO_0000218
7741,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618742,,BAO_0000218
7742,1,,,10000001.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618743,,BAO_0000218
7743,1,,,1969.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618744,,BAO_0000218
7744,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL618745,,BAO_0000218
7745,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620479,,BAO_0000218
7746,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620480,,BAO_0000218
7747,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620481,,BAO_0000218
7748,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620482,,BAO_0000218
7749,1,,,,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876603,,BAO_0000218
7750,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620483,,BAO_0000218
7751,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620484,,BAO_0000218
7752,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620485,,BAO_0000218
7753,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620486,,BAO_0000218
7754,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620487,,BAO_0000218
7755,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620488,,BAO_0000218
7756,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620489,,BAO_0000218
7757,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620490,,BAO_0000218
7758,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620491,,BAO_0000218
7759,1,,,1969.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL876604,,BAO_0000218
7760,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620492,,BAO_0000218
7761,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620493,,BAO_0000218
7762,1,,,,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620494,,BAO_0000218
7763,1,,,1969.0,,,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620495,,BAO_0000218
7764,1,,,1969.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620496,,BAO_0000218
7765,1,,,1969.0,,In vivo,Rattus norvegicus,,1,N,,50597,Intermediate,CHEMBL620497,,BAO_0000218
