Fiscal year,ICT as a tool for development (marker),Fund centre ID,Biodiversity (marker),Organisation sub-class,CountryRegion percent,Branch ID,Organisation name,Division name,Maximum CIDA contribution (project-level),Status,Section name,Climate change mitigation (marker),Organisation ID,Continent ID,CIDA business delivery model (old),Enviromental sustainability (marker),CFLI (marker),CountryRegion ID,Trade development (marker),CountryRegion name,Desertification (marker),Regional program (marker),Project number,Untied amount(Project-level budget),Branch name,Division ID,Section ID,Fund centre name,FSTC percent,IRTC percent,Programming process (new),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Participatory development and good governance,Urban issues (marker),Children issues (marker)
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4263,0,CONSULTING SERVICES,1.0,B3100,Cowater International Inc.,EDD Europe-Middle East Programming,16700508.62,Closed,Middle East and North Africa,0,1000335,2,Directive,1,0,EG,0,Egypt,0,0,A019608001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,Egypt,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4259,0,FEDERAL,1.0,B3100,Department of Foreign Affairs and International Trade,EDD Europe-Middle East Programming,328400.96,Closed,Middle East and North Africa,0,10050,2,Directive,0,0,DZ,0,Algeria,0,0,A020161001,0.0,"EGM Europe, Middle East and Maghreb",D3100,S4256,*Algeria,0.998334353,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4452,0,FEDERAL,1.0,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,4610501.0,Closed,Ha�ti & Dominican Republic Section,0,10050,1,Directive,0,0,HT,0,Haiti,0,0,A020195001,4000000.0,NGM Americas,D4400,S4449,Haiti,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4452,0,FEDERAL,1.0,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,4610501.0,Closed,Ha�ti & Dominican Republic Section,0,10050,1,Directive,0,0,HT,0,Haiti,0,0,A020195001,4000000.0,NGM Americas,D4400,S4449,Haiti,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4229,0,SPECIALIZED INSTITUTE,1.0,B4200,Parliamentary Centre,WED Southern & Eastern Africa,4229943.14,Closed,"Ethiopia, PanAfrica, SubRegional",0,1000852,2,Directive,0,0,ET,0,Ethiopia,0,0,A020222001,0.0,WGM Sub-Saharan Africa,D4270,S4227,Ethiopia,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4229,0,SPECIALIZED INSTITUTE,1.0,B4200,Parliamentary Centre,WED Southern & Eastern Africa,4229943.14,Closed,"Ethiopia, PanAfrica, SubRegional",0,1000852,2,Directive,0,0,ET,0,Ethiopia,0,0,A020222001,0.0,WGM Sub-Saharan Africa,D4270,S4227,Ethiopia,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4229,0,SPECIALIZED INSTITUTE,1.0,B4200,Parliamentary Centre,WED Southern & Eastern Africa,4229943.14,Closed,"Ethiopia, PanAfrica, SubRegional",0,1000852,2,Directive,0,0,ET,0,Ethiopia,0,0,A020222001,0.0,WGM Sub-Saharan Africa,D4270,S4227,Ethiopia,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4229,0,SPECIALIZED INSTITUTE,1.0,B4200,Parliamentary Centre,WED Southern & Eastern Africa,4229943.14,Closed,"Ethiopia, PanAfrica, SubRegional",0,1000852,2,Directive,0,0,ET,0,Ethiopia,0,0,A020222001,0.0,WGM Sub-Saharan Africa,D4270,S4227,Ethiopia,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4229,0,SPECIALIZED INSTITUTE,1.0,B4200,Parliamentary Centre,WED Southern & Eastern Africa,4229943.14,Closed,"Ethiopia, PanAfrica, SubRegional",0,1000852,2,Directive,0,0,ET,0,Ethiopia,0,0,A020222001,0.0,WGM Sub-Saharan Africa,D4270,S4227,Ethiopia,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4238,0,CONSULTING SERVICES,1.0,B4200,Thompson Consultant Inc.,WWD West & Central Africa,4518387.69,Terminating,Senegal Program,0,1014497,2,Directive,0,0,SN,0,Senegal,0,0,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,S4233,Senegal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4238,0,CONSULTANT,1.0,B4200,Information not available,WWD West & Central Africa,4518387.69,Terminating,Senegal Program,0,Information not available,2,Directive,0,0,SN,0,Senegal,0,0,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,S4233,Senegal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4238,0,CONSULTING SERVICES,1.0,B4200,Thompson Consultant Inc.,WWD West & Central Africa,4518387.69,Terminating,Senegal Program,0,1014497,2,Directive,0,0,SN,0,Senegal,0,0,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,S4233,Senegal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4238,0,CONSULTANT,1.0,B4200,Information not available,WWD West & Central Africa,4518387.69,Terminating,Senegal Program,0,Information not available,2,Directive,0,0,SN,0,Senegal,0,0,A020246001,4518387.69,WGM Sub-Saharan Africa,D4207,S4233,Senegal,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4438,0,CONSULTING SERVICES,1.0,B4400,CRC Sogema Inc.,NDD Americas Programming,7850039.11,Closed,Caricom - Adm,0,1000975,1,Directive,0,0,GY,0,Guyana,0,0,A020252001,7850039.11,NGM Americas,D4400,S4429,Caribbean Regional - Guyana,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,1,4128,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13000520.92,Closed,Philippines and Mongolia,0,10050,3,Directive,1,0,PH,0,Philippines,0,0,A020272001,0.0,OGM Asia Pacific,D4100,S4130,Philippines,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4128,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13000520.92,Closed,Philippines and Mongolia,0,10050,3,Directive,1,0,PH,0,Philippines,0,0,A020272001,0.0,OGM Asia Pacific,D4100,S4130,Philippines,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,1,4128,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,13000520.92,Closed,Philippines and Mongolia,0,10050,3,Directive,1,0,PH,0,Philippines,0,0,A020272001,0.0,OGM Asia Pacific,D4100,S4130,Philippines,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4124,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,2645994.04,Terminating,"OAA Afghanistan, Pakistan and Sri Lanka",0,10050,3,Directive,0,0,PK,0,Pakistan,0,0,A020279001,0.0,OGM Asia Pacific,D4100,S4141,Pakistan,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4280,0,CONSULTING SERVICES,1.0,B4200,Agriteam Canada,WED Southern & Eastern Africa,7747230.74,Closed,Mozambique Program,0,1000601,2,Directive,0,0,MW,0,Malawi,0,0,A020392001,0.0,WGM Sub-Saharan Africa,D4270,S4271,Malawi,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4122,0,FEDERAL,1.0,B4100,Department of Foreign Affairs and International Trade,OAD Asia Programming,4947637.32,Closed,Bangladesh Section,0,10050,3,Directive,0,0,BD,0,Bangladesh,0,0,A020395001,0.0,OGM Asia Pacific,D4100,S4122,Bangladesh,0.5,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4122,0,Unknown,1.0,B4100,Information not available,OAD Asia Programming,4947637.32,Closed,Bangladesh Section,0,Information not available,3,Directive,0,0,BD,0,Bangladesh,0,0,A020395001,0.0,OGM Asia Pacific,D4100,S4122,Bangladesh,0.5,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4274,0,CONSULTANT,1.0,B4200,Information not available,WED Southern & Eastern Africa,9096651.0,Closed,Mozambique Program,0,Information not available,2,Directive,0,0,MZ,0,Mozambique,0,0,A020398001,0.0,WGM Sub-Saharan Africa,D4270,S4271,Mozambique,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4274,0,CONSULTANT,1.0,B4200,Information not available,WED Southern & Eastern Africa,9096651.0,Closed,Mozambique Program,0,Information not available,2,Directive,0,0,MZ,0,Mozambique,0,0,A020398001,0.0,WGM Sub-Saharan Africa,D4270,S4271,Mozambique,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4289,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,2457111.5,Closed,Central Africa & Great Lakes Program,0,10050,2,Directive,1,0,CM,0,Cameroon,0,0,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,S4287,Cameroon,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4289,0,SUPPLIER OF GOODS/SERVICES,1.0,B4200,D�M�NAGEMENT OUTAOUAIS INC.,WWD West & Central Africa,2457111.5,Closed,Central Africa & Great Lakes Program,0,1000948,2,Directive,1,0,CM,0,Cameroon,0,0,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,S4287,Cameroon,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4289,0,COOPERANT,1.0,B4200,Information not available,WWD West & Central Africa,2457111.5,Closed,Central Africa & Great Lakes Program,0,Information not available,2,Directive,1,0,CM,0,Cameroon,0,0,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,S4287,Cameroon,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4289,0,Unknown,1.0,B4200,Information not available,WWD West & Central Africa,2457111.5,Closed,Central Africa & Great Lakes Program,0,Information not available,2,Directive,1,0,CM,0,Cameroon,0,0,A020449003,2457111.5,WGM Sub-Saharan Africa,D4207,S4287,Cameroon,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,0
2009/2010,0,4242,0,ASSOCIATIONS,1.0,B4200,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1000171,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,CONSULTING SERVICES,1.0,B4200,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1001142,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,ASSOCIATIONS,1.0,B4200,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1000171,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,CONSULTING SERVICES,1.0,B4200,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1001142,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,ASSOCIATIONS,1.0,B4200,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1000171,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,CONSULTING SERVICES,1.0,B4200,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1001142,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,ASSOCIATIONS,1.0,B4200,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1000171,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,CONSULTING SERVICES,1.0,B4200,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1001142,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,ASSOCIATIONS,1.0,B4200,UPA DI - Union des producteurs agricoles d�veloppement,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1000171,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4242,0,CONSULTING SERVICES,1.0,B4200,Le Groupe Conseil Baastel Lt�e,WWD West & Central Africa,11427061.07,Closed,Senegal Program,0,1001142,2,Directive,0,0,GN,0,Guinea,0,0,A020715001,11427061.07,WGM Sub-Saharan Africa,D4207,S4233,*Guinea,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,0
2009/2010,0,4118,0,NGO,1.0,B4100,Foundation for International Training,OAD Asia Programming,4308867.95,Closed,"OAA Afghanistan, Pakistan and Sri Lanka",0,1000136,3,Directive,0,0,LK,0,Sri Lanka,0,0,A020790001,0.0,OGM Asia Pacific,D4100,S4141,Sri Lanka,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,1
2009/2010,0,4118,0,NGO,1.0,B4100,Foundation for International Training,OAD Asia Programming,4308867.95,Closed,"OAA Afghanistan, Pakistan and Sri Lanka",0,1000136,3,Directive,0,0,LK,0,Sri Lanka,0,0,A020790001,0.0,OGM Asia Pacific,D4100,S4141,Sri Lanka,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,0,0,1
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,3063216.68,Closed,Mali Program Section,0,10050,2,Directive,0,0,ML,0,Mali,0,0,A020891001,0.0,WGM Sub-Saharan Africa,D4207,S4215,Mali,0.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,Unknown,1.0,B4200,Information not available,WWD West & Central Africa,3063216.68,Closed,Mali Program Section,0,Information not available,2,Directive,0,0,ML,0,Mali,0,0,A020891001,0.0,WGM Sub-Saharan Africa,D4207,S4215,Mali,0.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,1
2009/2010,0,4216,0,FEDERAL,1.0,B4200,Department of Foreign Affairs and International Trade,WWD West & Central Africa,16726210.87,Closed,Mali Program Section,0,10050,2,Directive,0,0,ML,0,Mali,0,0,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,0
2009/2010,0,4216,0,CONSULTING SERVICES,1.0,B4200,CAC International,WWD West & Central Africa,16726210.87,Closed,Mali Program Section,0,1001126,2,Directive,0,0,ML,0,Mali,0,0,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,0
2009/2010,0,4216,0,CONSULTING SERVICES,1.0,B4200,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,WWD West & Central Africa,16726210.87,Closed,Mali Program Section,0,1014203,2,Directive,0,0,ML,0,Mali,0,0,A020892001,16726210.87,WGM Sub-Saharan Africa,D4207,S4215,Mali,1.0,0.0,Uncoded: Pre-APP,1,Other PBA,0,0,0,0
2009/2010,0,4422,0,FEDERAL,0.1,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,Unknown,0.1,B4400,Information not available,NDD Americas Programming,1488850.78,Closed,South America,0,Information not available,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,FEDERAL,0.1,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,Unknown,0.1,B4400,Information not available,NDD Americas Programming,1488850.78,Closed,South America,0,Information not available,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,FEDERAL,0.1,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,Unknown,0.1,B4400,Information not available,NDD Americas Programming,1488850.78,Closed,South America,0,Information not available,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,FEDERAL,0.1,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,Unknown,0.1,B4400,Information not available,NDD Americas Programming,1488850.78,Closed,South America,0,Information not available,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,FEDERAL,0.3,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,Unknown,0.3,B4400,Information not available,NDD Americas Programming,1488850.78,Closed,South America,0,Information not available,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
2009/2010,0,4422,0,FEDERAL,0.3,B4400,Department of Foreign Affairs and International Trade,NDD Americas Programming,1488850.78,Closed,South America,0,10050,1,Responsive,1,0,50,0,South America,0,1,A020910001,0.0,NGM Americas,D4400,S4413,*Southern Cone,1.0,0.0,Uncoded: Pre-APP,1,Not PBA,0,1,0,1
