fsclr,rgnlprgrm(mrkr),prjctbrwsrcntrd,cntrrgnd,cdbsnssdlvrmdl(ld),fndcntrd,mntspnt,sctnd,dsrtfctn(mrkr),prjctnmbr,nvrmntlsstnblt(mrkr),prtcptrdvlpmntndgdgvrnnc,dsbltsss(mrkr),rgnstnnm,cntnntd,bdvrst(mrkr),rbnsss(mrkr),chldrnsss(mrkr),thsss(mrkr),ndgnssss(mrkr),ctstlfrdvlpmnt(mrkr),knwldgfrdvlpmnt(mrkr),gndrqlt(mrkr),rgnstnd,rgnstntp,rgnstnclss,rgnstnsb-clss,cntnntnm,cntrrgnnm,cntrrgnprcnt,sctrd,sctrnm,sctrprcnt
2009/2010,0,X3,X3,Core Funding,5311,900000.0,S5330,0,M013172001,0,0,0,ICRC Appeals via CRCS,3,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia,Asia MC,0.3,72010,Material relief assistance and services,1.0
2009/2010,0,X4,X4,Core Funding,5311,150000.0,S5330,0,M013172001,0,0,0,ICRC Appeals via CRCS,5,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Europe,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,X1,X1,Core Funding,5311,1500000.0,S5330,0,M013173001,0,0,0,ICRC Appeals via CRCS,2,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Africa,Africa MC,0.5,72010,Material relief assistance and services,1.0
2009/2010,0,X2,X2,Core Funding,5311,450000.0,S5330,0,M013173001,0,0,0,ICRC Appeals via CRCS,1,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,America,Americas MC,0.15,72010,Material relief assistance and services,1.0
2009/2010,0,X3,X3,Core Funding,5311,900000.0,S5330,0,M013173001,0,0,0,ICRC Appeals via CRCS,3,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia,Asia MC,0.3,72010,Material relief assistance and services,1.0
2009/2010,0,X4,X4,Core Funding,5311,150000.0,S5330,0,M013173001,0,0,0,ICRC Appeals via CRCS,5,0,0,0,0,0,0,0,1,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Europe,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,LK,LK,Responsive,5303,500000.0,S5320,0,M013174001,1,0,0,Mines Advisory Group,3,0,0,0,0,0,0,0,0,1015332,Foreign Non-Profit Making,Civil Society,NGO,Asia,Sri Lanka,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,LK,LK,Responsive,5303,500000.0,S5320,0,M013175001,1,0,0,The Halo Trust,3,0,0,0,0,0,0,0,0,1015331,Foreign Non-Profit Making,Civil Society,NGO,Asia,Sri Lanka,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,X1,X1,Responsive,5230,150000.0,S5330,0,M013176001,1,1,0,International Crisis Group,2,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,Africa,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X2,X2,Responsive,5230,30000.0,S5330,0,M013176001,1,1,0,International Crisis Group,1,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,America,Americas MC,0.1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X3,X3,Responsive,5230,90000.0,S5330,0,M013176001,1,1,0,International Crisis Group,3,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,Asia,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X4,X4,Responsive,5230,30000.0,S5330,0,M013176001,1,1,0,International Crisis Group,5,0,0,0,0,0,0,1,0,1002035,Foreign Non-Profit Making,Civil Society,NGO,Europe,Europe MC,0.1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,YE,YE,Responsive,5309,500000.0,S5320,0,M013177001,0,0,0,WFP - World Food Programme,3,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia,Yemen,1.0,72040,Emergency food aid,1.0
2009/2010,0,CO,CO,Responsive,5309,1500000.0,S5320,0,M013178001,0,0,0,WFP - World Food Programme,1,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,America,Colombia,1.0,72040,Emergency food aid,1.0
2009/2010,0,TD,TD,Responsive,5309,6500000.0,S5320,0,M013180001,0,0,0,WFP - World Food Programme,2,0,0,0,0,0,0,0,1,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa,Chad,1.0,72040,Emergency food aid,1.0
2009/2010,0,SD,SD,Responsive,5309,3950000.0,S5320,0,M013181001,0,0,0,WFP - World Food Programme,2,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa,Sudan,1.0,72040,Emergency food aid,1.0
2009/2010,0,X1,X1,Core Funding,5311,6300000.0,S5330,0,M013182001,0,0,0,UNHCR - United Nations High Commissioner for Refugees,2,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa,Africa MC,0.45,72010,Material relief assistance and services,1.0
2009/2010,0,X2,X2,Core Funding,5311,700000.0,S5330,0,M013182001,0,0,0,UNHCR - United Nations High Commissioner for Refugees,1,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,America,Americas MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,X3,X3,Core Funding,5311,6300000.0,S5330,0,M013182001,0,0,0,UNHCR - United Nations High Commissioner for Refugees,3,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia,Asia MC,0.45,72010,Material relief assistance and services,1.0
2009/2010,0,X4,X4,Core Funding,5311,700000.0,S5330,0,M013182001,0,0,0,UNHCR - United Nations High Commissioner for Refugees,5,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.05,72010,Material relief assistance and services,1.0
2009/2010,0,X3,X3,Responsive,5303,500000.0,S5320,0,M013183001,0,0,0,ICRC Appeals via CRCS,3,0,0,0,0,0,0,0,0,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,Asia,Asia MC,1.0,72010,Material relief assistance and services,1.0
2009/2010,0,X1,X1,Responsive,5303,1350000.0,S5320,0,M013184001,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,2,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Africa,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X2,X2,Responsive,5303,405000.0,S5320,0,M013184001,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,1,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,America,Americas MC,0.15,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X3,X3,Responsive,5303,810000.0,S5320,0,M013184001,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,3,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Asia,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,X4,X4,Responsive,5303,135000.0,S5320,0,M013184001,0,0,0,OCHA - Office for the Coordination of Humanitarian Affairs,5,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,Europe,Europe MC,0.05,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,AF,AF,Responsive,5461,39000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31110,Agricultural policy and administrative management,0.2
2009/2010,0,AF,AF,Responsive,5461,39000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31120,Agricultural development,0.2
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31150,Agricultural inputs,0.1
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31161,Food crop production,0.1
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31166,Agricultural extension,0.1
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31182,Agricultural research,0.1
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31191,Agricultural services,0.1
2009/2010,0,AF,AF,Responsive,5461,19500.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Afghanistan,0.0065,31193,Agricultural financial services,0.1
2009/2010,0,BD,BD,Responsive,5461,630000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31110,Agricultural policy and administrative management,0.2
2009/2010,0,BD,BD,Responsive,5461,630000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31120,Agricultural development,0.2
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31150,Agricultural inputs,0.1
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31161,Food crop production,0.1
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31166,Agricultural extension,0.1
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31182,Agricultural research,0.1
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31191,Agricultural services,0.1
2009/2010,0,BD,BD,Responsive,5461,315000.0,S5460,0,M013185001,1,0,0,World Bank,3,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Asia,Bangladesh,0.105,31193,Agricultural financial services,0.1
2009/2010,0,BI,BI,Responsive,5461,48600.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31110,Agricultural policy and administrative management,0.2
2009/2010,0,BI,BI,Responsive,5461,48600.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31120,Agricultural development,0.2
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31150,Agricultural inputs,0.1
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31161,Food crop production,0.1
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31166,Agricultural extension,0.1
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31182,Agricultural research,0.1
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31191,Agricultural services,0.1
2009/2010,0,BI,BI,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Burundi,0.0081,31193,Agricultural financial services,0.1
2009/2010,0,BJ,BJ,Responsive,5461,43800.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31110,Agricultural policy and administrative management,0.2
2009/2010,0,BJ,BJ,Responsive,5461,43800.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31120,Agricultural development,0.2
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31150,Agricultural inputs,0.1
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31161,Food crop production,0.1
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31166,Agricultural extension,0.1
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31182,Agricultural research,0.1
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31191,Agricultural services,0.1
2009/2010,0,BJ,BJ,Responsive,5461,21900.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Benin,0.0073,31193,Agricultural financial services,0.1
2009/2010,0,CF,CF,Responsive,5461,34200.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31110,Agricultural policy and administrative management,0.2
2009/2010,0,CF,CF,Responsive,5461,34200.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31120,Agricultural development,0.2
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31150,Agricultural inputs,0.1
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31161,Food crop production,0.1
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31166,Agricultural extension,0.1
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31182,Agricultural research,0.1
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31191,Agricultural services,0.1
2009/2010,0,CF,CF,Responsive,5461,17100.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Central Afr.Rep,0.0057,31193,Agricultural financial services,0.1
2009/2010,0,DJ,DJ,Responsive,5461,24000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31110,Agricultural policy and administrative management,0.2
2009/2010,0,DJ,DJ,Responsive,5461,24000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31120,Agricultural development,0.2
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31150,Agricultural inputs,0.1
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31161,Food crop production,0.1
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31166,Agricultural extension,0.1
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31182,Agricultural research,0.1
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31191,Agricultural services,0.1
2009/2010,0,DJ,DJ,Responsive,5461,12000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Djibouti,0.004,31193,Agricultural financial services,0.1
2009/2010,0,ET,ET,Responsive,5461,1332000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31110,Agricultural policy and administrative management,0.2
2009/2010,0,ET,ET,Responsive,5461,1332000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31120,Agricultural development,0.2
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31150,Agricultural inputs,0.1
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31161,Food crop production,0.1
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31166,Agricultural extension,0.1
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31182,Agricultural research,0.1
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31191,Agricultural services,0.1
2009/2010,0,ET,ET,Responsive,5461,666000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Ethiopia,0.222,31193,Agricultural financial services,0.1
2009/2010,0,GN,GN,Responsive,5461,48600.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31110,Agricultural policy and administrative management,0.2
2009/2010,0,GN,GN,Responsive,5461,48600.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31120,Agricultural development,0.2
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31150,Agricultural inputs,0.1
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31161,Food crop production,0.1
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31166,Agricultural extension,0.1
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31182,Agricultural research,0.1
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31191,Agricultural services,0.1
2009/2010,0,GN,GN,Responsive,5461,24300.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea,0.0081,31193,Agricultural financial services,0.1
2009/2010,0,GW,GW,Responsive,5461,24000.0,S5460,0,M013185001,1,0,0,World Bank,2,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,Africa,Guinea-Bissau,0.004,31110,Agricultural policy and administrative management,0.2
