ASI,BFO,DI,CEI,CHEI,ASSTY,TISI,ASTI,ASCT,ASTIS,SASI,Ti,RELATY,CONFISC,CURAB,SRI,VARII
7699,BAO_0000218,9866,,CHEMBL627942,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7700,BAO_0000218,9866,,CHEMBL627943,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7701,BAO_0000218,9866,,CHEMBL627944,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7702,BAO_0000218,9866,,CHEMBL627945,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7703,BAO_0000218,9866,,CHEMBL628584,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7704,BAO_0000218,9866,,CHEMBL628585,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7705,BAO_0000218,9866,,CHEMBL628586,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7706,BAO_0000218,9866,,CHEMBL628587,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7707,BAO_0000218,9866,,CHEMBL628588,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7708,BAO_0000218,9866,,CHEMBL628589,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7709,BAO_0000218,9866,,CHEMBL625304,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7710,BAO_0000218,9866,,CHEMBL625305,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7711,BAO_0000218,9866,,CHEMBL625306,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7712,BAO_0000218,9866,,CHEMBL625307,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7713,BAO_0000218,9866,,CHEMBL625308,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7714,BAO_0000218,9866,,CHEMBL627740,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7715,BAO_0000218,9866,,CHEMBL627741,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7716,BAO_0000218,9866,,CHEMBL627742,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7717,BAO_0000218,9866,,CHEMBL627743,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7718,BAO_0000218,9866,,CHEMBL627744,A,178.0,10116.0,,Blood,,50597,N,1,Intermediate,1,
7719,BAO_0000218,9866,,CHEMBL627745,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7720,BAO_0000218,9866,,CHEMBL627746,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7721,BAO_0000218,9866,,CHEMBL627747,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7722,BAO_0000218,9866,,CHEMBL876810,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7723,BAO_0000218,9866,,CHEMBL627748,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7724,BAO_0000218,9866,,CHEMBL627749,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7725,BAO_0000218,9866,,CHEMBL627750,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7726,BAO_0000218,9866,,CHEMBL618728,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7727,BAO_0000218,9866,,CHEMBL618729,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7728,BAO_0000218,9866,,CHEMBL618730,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7729,BAO_0000218,9866,,CHEMBL618731,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7730,BAO_0000218,9866,,CHEMBL618732,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7731,BAO_0000218,9866,,CHEMBL618733,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7732,BAO_0000218,9866,,CHEMBL618734,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7733,BAO_0000218,9866,,CHEMBL618735,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7734,BAO_0000218,9866,,CHEMBL876602,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7735,BAO_0000218,9866,,CHEMBL618736,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7736,BAO_0000218,9866,,CHEMBL618737,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7737,BAO_0000218,9866,,CHEMBL618738,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7738,BAO_0000218,9866,,CHEMBL618739,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7739,BAO_0000218,9866,,CHEMBL618740,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7740,BAO_0000218,9866,,CHEMBL618741,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7741,BAO_0000218,9866,,CHEMBL618742,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7742,BAO_0000218,9866,,CHEMBL618743,A,10000001.0,10116.0,,Bone,,50597,N,1,Intermediate,1,
7743,BAO_0000218,17752,,CHEMBL618744,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7744,BAO_0000218,5610,,CHEMBL618745,A,,10116.0,,,,50597,N,1,Intermediate,1,
7745,BAO_0000218,5939,,CHEMBL620479,A,,10116.0,,,,50597,N,1,Intermediate,1,
7746,BAO_0000218,5939,,CHEMBL620480,A,,10116.0,,,,50597,N,1,Intermediate,1,
7747,BAO_0000218,17771,,CHEMBL620481,A,,10116.0,,,,50597,N,1,Intermediate,1,
7748,BAO_0000218,1974,,CHEMBL620482,A,,10116.0,,,,50597,N,1,Intermediate,1,
7749,BAO_0000218,4239,,CHEMBL876603,A,,10116.0,,,,50597,N,1,Intermediate,1,
7750,BAO_0000218,6681,,CHEMBL620483,A,,10116.0,,,,50597,N,1,Intermediate,1,
7751,BAO_0000218,17752,,CHEMBL620484,A,,10116.0,,,,50597,N,1,Intermediate,1,
7752,BAO_0000218,6046,,CHEMBL620485,A,,10116.0,,,,50597,N,1,Intermediate,1,
7753,BAO_0000218,6685,,CHEMBL620486,A,,10116.0,,,,50597,N,1,Intermediate,1,
7754,BAO_0000218,6685,,CHEMBL620487,A,,10116.0,,,,50597,N,1,Intermediate,1,
7755,BAO_0000218,6685,,CHEMBL620488,A,,10116.0,,,,50597,N,1,Intermediate,1,
7756,BAO_0000218,4727,,CHEMBL620489,A,,10116.0,,,,50597,N,1,Intermediate,1,
7757,BAO_0000218,1088,,CHEMBL620490,A,,10116.0,,,,50597,N,1,Intermediate,1,
7758,BAO_0000218,5610,,CHEMBL620491,A,,10116.0,,,,50597,N,1,Intermediate,1,
7759,BAO_0000218,3032,,CHEMBL876604,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7760,BAO_0000218,5199,,CHEMBL620492,A,,10116.0,,,,50597,N,1,Intermediate,1,
7761,BAO_0000218,14941,,CHEMBL620493,A,,10116.0,,,,50597,N,1,Intermediate,1,
7762,BAO_0000218,4408,,CHEMBL620494,A,,10116.0,,,,50597,N,1,Intermediate,1,
7763,BAO_0000218,2552,,CHEMBL620495,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7764,BAO_0000218,5199,,CHEMBL620496,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7765,BAO_0000218,15662,,CHEMBL620497,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7766,BAO_0000218,1465,,CHEMBL620498,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7767,BAO_0000218,1446,,CHEMBL620499,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7768,BAO_0000218,6824,,CHEMBL620500,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7769,BAO_0000218,17533,,CHEMBL873809,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7770,BAO_0000218,5979,,CHEMBL620501,A,,10116.0,,,,50597,N,1,Intermediate,1,
7771,BAO_0000218,4689,,CHEMBL620502,A,,10116.0,,,,50597,N,1,Intermediate,1,
7772,BAO_0000218,4689,,CHEMBL620503,A,,10116.0,,,,50597,N,1,Intermediate,1,
7773,BAO_0000218,2463,,CHEMBL620504,A,,10116.0,,,,50597,N,1,Intermediate,1,
7774,BAO_0000218,4883,,CHEMBL876605,A,,10116.0,,,,50597,N,1,Intermediate,1,
7775,BAO_0000218,4883,,CHEMBL620505,A,,10116.0,,,,50597,N,1,Intermediate,1,
7776,BAO_0000218,15662,,CHEMBL873811,A,1969.0,10116.0,,Plasma,,50597,N,1,Intermediate,1,
7777,BAO_0000218,3598,,CHEMBL624016,A,,10116.0,,,,50597,N,1,Expert,1,
