assays_ASI,assays_ASSORG,assays_ASCA,assays_TII,assays_ASSTI,assays_ASTT,assays_ASST,assays_SRI,assays_SRASSI,assays_DOI,assays_RELT,assays_Ti,assays_ASSCT,assays_CONFISC,assays_ASSTIS,assay_type,assays_CHEI,assays_CI,assays_BFO,assays_VARI
7602,,,,,,,1,,11954,U,22224,,0,,A,CHEMBL621608,,BAO_0000218,
7603,,,,,,,1,,5237,U,22224,,0,,A,CHEMBL621609,,BAO_0000019,
7604,,,,,,,1,,4026,U,22224,,0,,A,CHEMBL621610,,BAO_0000218,
7605,Rattus norvegicus,,,10116.0,,,1,,5237,N,50597,,1,,A,CHEMBL621611,,BAO_0000218,
7606,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL621612,,BAO_0000218,
7607,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622308,,BAO_0000218,
7608,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622309,,BAO_0000218,
7609,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622310,,BAO_0000218,
7610,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622311,,BAO_0000218,
7611,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622312,,BAO_0000218,
7612,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622931,,BAO_0000218,
7613,Rattus norvegicus,,,10116.0,,,1,,14793,N,50597,,1,,A,CHEMBL622932,,BAO_0000218,
7614,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622736,,BAO_0000218,
7615,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622737,,BAO_0000218,
7616,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622738,,BAO_0000218,
7617,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622739,,BAO_0000218,
7618,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622740,,BAO_0000218,
7619,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622741,,BAO_0000218,
7620,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622742,,BAO_0000218,
7621,Rattus norvegicus,,1969.0,10116.0,,,1,,14793,N,50597,,1,Plasma,A,CHEMBL622743,,BAO_0000218,
7622,Mus musculus,,1969.0,10090.0,,,1,,11637,N,50594,,1,Plasma,A,CHEMBL622744,,BAO_0000218,
7623,,,,,,,1,,11149,U,22224,,0,,A,CHEMBL624134,,BAO_0000019,
7624,,,,,,,1,,10016,U,22224,,0,,A,CHEMBL624135,,BAO_0000019,
7625,Rattus norvegicus,,,10116.0,,,1,,17796,N,50597,,1,,A,CHEMBL624136,,BAO_0000218,
7626,Rattus norvegicus,,,10116.0,,,1,,17796,N,50597,,1,,A,CHEMBL624137,,BAO_0000218,
7627,Rattus norvegicus,,,10116.0,,,1,,17796,N,50597,,1,,A,CHEMBL624320,,BAO_0000218,
7628,Canis lupus familiaris,,,9615.0,,,1,,12923,N,50588,,1,,A,CHEMBL624321,,BAO_0000218,
7629,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624322,,BAO_0000218,
7630,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624323,,BAO_0000218,
7631,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624324,,BAO_0000218,
7632,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624325,,BAO_0000218,
7633,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624326,,BAO_0000218,
7634,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624327,,BAO_0000218,
7635,Rattus norvegicus,,,10116.0,,,1,,15372,N,50597,,1,,A,CHEMBL624328,,BAO_0000218,
7636,Canis lupus familiaris,,,9615.0,,,1,,14169,N,50588,,1,,A,CHEMBL627848,,BAO_0000218,
7637,Rattus norvegicus,,,10116.0,,,1,,14169,N,50597,,1,,A,CHEMBL627849,,BAO_0000218,
7638,Rattus norvegicus,,,10116.0,,,1,,14258,N,50597,,1,,A,CHEMBL627850,,BAO_0000218,
7639,Rattus norvegicus,,,10116.0,,,1,,14258,N,50597,,1,,A,CHEMBL627851,,BAO_0000218,
7640,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627852,,BAO_0000218,
7641,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627853,,BAO_0000218,
7642,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627854,,BAO_0000218,
7643,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627855,,BAO_0000218,
7644,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627856,,BAO_0000218,
7645,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL875339,,BAO_0000218,
7646,Mus musculus,,,10090.0,,,1,,15011,N,50594,,1,,A,CHEMBL627857,,BAO_0000218,
7647,Rattus norvegicus,,2106.0,10116.0,In vivo,,1,,11195,N,50597,,1,Spleen,A,CHEMBL627858,,BAO_0000218,
7648,Rattus norvegicus,,178.0,10116.0,,,1,,10130,N,50597,,1,Blood,A,CHEMBL627859,,BAO_0000218,
7649,Rattus norvegicus,,955.0,10116.0,,,1,,10130,N,50597,,1,Brain,A,CHEMBL627860,,BAO_0000218,
7650,Rattus norvegicus,,948.0,10116.0,,,1,,10130,N,50597,,1,Heart,A,CHEMBL627019,,BAO_0000218,
7651,Rattus norvegicus,,2107.0,10116.0,,,1,,10130,N,50597,,1,Liver,A,CHEMBL627020,,BAO_0000218,
7652,Rattus norvegicus,,2048.0,10116.0,,,1,,10130,N,50597,,1,Lung,A,CHEMBL627021,,BAO_0000218,
7653,Rattus norvegicus,,2385.0,10116.0,,,1,,10130,N,50597,,1,Muscle tissue,A,CHEMBL627022,,BAO_0000218,
7654,Rattus norvegicus,,,10116.0,,,1,,10130,N,50597,,1,,A,CHEMBL627023,,BAO_0000218,
7655,Rattus norvegicus,,2106.0,10116.0,,,1,,10130,N,50597,,1,Spleen,A,CHEMBL627024,,BAO_0000218,
7656,Rattus norvegicus,,2046.0,10116.0,,,1,,10130,N,50597,,1,Thyroid gland,A,CHEMBL627025,,BAO_0000218,
7657,Rattus norvegicus,,2113.0,10116.0,,,1,,10130,N,50597,,1,Kidney,A,CHEMBL627026,,BAO_0000218,
7658,Rattus norvegicus,,178.0,10116.0,,,1,,10130,N,50597,,1,Blood,A,CHEMBL627027,,BAO_0000218,
7659,Rattus norvegicus,,955.0,10116.0,,,1,,10130,N,50597,,1,Brain,A,CHEMBL627028,,BAO_0000218,
7660,Rattus norvegicus,,948.0,10116.0,,,1,,10130,N,50597,,1,Heart,A,CHEMBL627029,,BAO_0000218,
7661,Rattus norvegicus,,2113.0,10116.0,,,1,,10130,N,50597,,1,Kidney,A,CHEMBL627030,,BAO_0000218,
7662,Rattus norvegicus,,2107.0,10116.0,,,1,,10130,N,50597,,1,Liver,A,CHEMBL627031,,BAO_0000218,
7663,Rattus norvegicus,,2048.0,10116.0,,,1,,10130,N,50597,,1,Lung,A,CHEMBL627032,,BAO_0000218,
7664,Rattus norvegicus,,2385.0,10116.0,,,1,,10130,N,50597,,1,Muscle tissue,A,CHEMBL627033,,BAO_0000218,
7665,Rattus norvegicus,,,10116.0,,,1,,10130,N,50597,,1,,A,CHEMBL627034,,BAO_0000218,
7666,Rattus norvegicus,,2106.0,10116.0,,,1,,10130,N,50597,,1,Spleen,A,CHEMBL627035,,BAO_0000218,
7667,Rattus norvegicus,,2046.0,10116.0,,,1,,10130,N,50597,,1,Thyroid gland,A,CHEMBL627036,,BAO_0000218,
7668,Rattus norvegicus,,178.0,10116.0,,,1,,10130,N,50597,,1,Blood,A,CHEMBL875340,,BAO_0000218,
7669,Rattus norvegicus,,948.0,10116.0,,,1,,10130,N,50597,,1,Heart,A,CHEMBL627037,,BAO_0000218,
7670,Rattus norvegicus,,2113.0,10116.0,,,1,,10130,N,50597,,1,Kidney,A,CHEMBL627038,,BAO_0000218,
7671,Rattus norvegicus,,2107.0,10116.0,,,1,,10130,N,50597,,1,Liver,A,CHEMBL627039,,BAO_0000218,
7672,Rattus norvegicus,,2385.0,10116.0,,,1,,10130,N,50597,,1,Muscle tissue,A,CHEMBL627040,,BAO_0000218,
7673,Rattus norvegicus,,2106.0,10116.0,,,1,,10130,N,50597,,1,Spleen,A,CHEMBL624663,,BAO_0000218,
7674,Rattus norvegicus,,2046.0,10116.0,,,1,,10130,N,50597,,1,Thyroid gland,A,CHEMBL625963,,BAO_0000218,
7675,Rattus norvegicus,,955.0,10116.0,,,1,,10130,N,50597,,1,Brain,A,CHEMBL876799,,BAO_0000218,
7676,Rattus norvegicus,,2048.0,10116.0,,,1,,10130,N,50597,,1,Lung,A,CHEMBL626133,,BAO_0000218,
7677,Rattus norvegicus,,,10116.0,,,1,,10130,N,50597,,1,,A,CHEMBL626134,,BAO_0000218,
7678,Rattus norvegicus,,,10116.0,,,1,,6295,N,50597,,1,,A,CHEMBL626135,,BAO_0000218,
7679,Rattus norvegicus,,,10116.0,,,1,,6296,N,50597,,1,,A,CHEMBL626136,,BAO_0000218,
7680,Rattus norvegicus,,,10116.0,,,1,,6296,N,50597,,1,,A,CHEMBL626137,,BAO_0000218,
7681,Rattus norvegicus,,,10116.0,,,1,,6295,N,50597,,1,,A,CHEMBL626138,,BAO_0000218,
7682,Rattus norvegicus,,,10116.0,,,1,,6296,N,50597,,1,,A,CHEMBL626139,,BAO_0000218,
7683,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL626140,,BAO_0000218,
7684,Rattus norvegicus,,,10116.0,In vivo,,1,,17260,N,50597,,1,,A,CHEMBL626141,,BAO_0000218,
7685,Rattus norvegicus,,,10116.0,,,1,,17686,N,50597,,1,,A,CHEMBL626142,,BAO_0000218,
7686,Rattus norvegicus,,2385.0,10116.0,In vivo,,1,,9866,N,50597,,1,Muscle tissue,A,CHEMBL627930,,BAO_0000218,
7687,Rattus norvegicus,,2385.0,10116.0,In vivo,,1,,9866,N,50597,,1,Muscle tissue,A,CHEMBL627931,,BAO_0000218,
7688,Rattus norvegicus,,2385.0,10116.0,In vivo,,1,,9866,N,50597,,1,Muscle tissue,A,CHEMBL627932,,BAO_0000218,
7689,Rattus norvegicus,,2106.0,10116.0,In vivo,,1,,9866,N,50597,,1,Spleen,A,CHEMBL627933,,BAO_0000218,
7690,Rattus norvegicus,,2106.0,10116.0,In vivo,,1,,9866,N,50597,,1,Spleen,A,CHEMBL627934,,BAO_0000218,
7691,Rattus norvegicus,,2106.0,10116.0,In vivo,,1,,9866,N,50597,,1,Spleen,A,CHEMBL627935,,BAO_0000218,
7692,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627936,,BAO_0000218,
7693,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627937,,BAO_0000218,
7694,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627938,,BAO_0000218,
7695,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627939,,BAO_0000218,
7696,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627940,,BAO_0000218,
7697,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627941,,BAO_0000218,
7698,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL876800,,BAO_0000218,
7699,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627942,,BAO_0000218,
7700,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627943,,BAO_0000218,
7701,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627944,,BAO_0000218,
7702,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627945,,BAO_0000218,
7703,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628584,,BAO_0000218,
7704,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628585,,BAO_0000218,
7705,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628586,,BAO_0000218,
7706,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628587,,BAO_0000218,
7707,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628588,,BAO_0000218,
7708,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL628589,,BAO_0000218,
7709,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL625304,,BAO_0000218,
7710,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL625305,,BAO_0000218,
7711,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL625306,,BAO_0000218,
7712,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL625307,,BAO_0000218,
7713,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL625308,,BAO_0000218,
7714,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627740,,BAO_0000218,
7715,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627741,,BAO_0000218,
7716,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627742,,BAO_0000218,
7717,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627743,,BAO_0000218,
7718,Rattus norvegicus,,178.0,10116.0,In vivo,,1,,9866,N,50597,,1,Blood,A,CHEMBL627744,,BAO_0000218,
7719,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627745,,BAO_0000218,
7720,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627746,,BAO_0000218,
7721,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627747,,BAO_0000218,
7722,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL876810,,BAO_0000218,
7723,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627748,,BAO_0000218,
7724,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627749,,BAO_0000218,
7725,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL627750,,BAO_0000218,
7726,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618728,,BAO_0000218,
7727,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618729,,BAO_0000218,
7728,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618730,,BAO_0000218,
7729,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618731,,BAO_0000218,
7730,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618732,,BAO_0000218,
7731,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618733,,BAO_0000218,
7732,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618734,,BAO_0000218,
7733,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618735,,BAO_0000218,
7734,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL876602,,BAO_0000218,
7735,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618736,,BAO_0000218,
7736,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618737,,BAO_0000218,
7737,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618738,,BAO_0000218,
7738,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618739,,BAO_0000218,
7739,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618740,,BAO_0000218,
7740,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618741,,BAO_0000218,
7741,Rattus norvegicus,,10000001.0,10116.0,In vivo,,1,,9866,N,50597,,1,Bone,A,CHEMBL618742,,BAO_0000218,
