miller2_fsclr,miller2_trddvlpmnt(mrkr),miller2_bdvrst(mrkr),miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_gndrqlt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstntp,miller2_rgnstnclss,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_sctrnm,miller2_sctrprcnt,miller2_mntspnt
2009/2010,0,0,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,1,America,X2,X2,Americas MC,0.05,72010,Material relief assistance and services,1.0,700000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.45,72010,Material relief assistance and services,1.0,6300000.0
2009/2010,0,0,0,0,0,0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.05,72010,Material relief assistance and services,1.0,700000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,3,Asia,X3,X3,Asia MC,1.0,72010,Material relief assistance and services,1.0,500000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,2,Africa,X1,X1,Africa MC,0.5,72050,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,1,America,X2,X2,Americas MC,0.15,72050,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,3,Asia,X3,X3,Asia MC,0.3,72050,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,0,0,0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,5,Europe,X4,X4,Europe MC,0.05,72050,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31110,Agricultural policy and administrative management,0.2,39000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31120,Agricultural development,0.2,39000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31150,Agricultural inputs,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31161,Food crop production,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31166,Agricultural extension,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31182,Agricultural research,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31191,Agricultural services,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,AF,AF,Afghanistan,0.0065,31193,Agricultural financial services,0.1,19500.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31110,Agricultural policy and administrative management,0.2,630000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31120,Agricultural development,0.2,630000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31150,Agricultural inputs,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31161,Food crop production,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31166,Agricultural extension,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31182,Agricultural research,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31191,Agricultural services,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,3,Asia,BD,BD,Bangladesh,0.105,31193,Agricultural financial services,0.1,315000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31110,Agricultural policy and administrative management,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31120,Agricultural development,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31150,Agricultural inputs,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31161,Food crop production,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31166,Agricultural extension,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31182,Agricultural research,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31191,Agricultural services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BI,BI,Burundi,0.0081,31193,Agricultural financial services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31110,Agricultural policy and administrative management,0.2,43800.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31120,Agricultural development,0.2,43800.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31150,Agricultural inputs,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31161,Food crop production,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31166,Agricultural extension,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31182,Agricultural research,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31191,Agricultural services,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,BJ,BJ,Benin,0.0073,31193,Agricultural financial services,0.1,21900.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31110,Agricultural policy and administrative management,0.2,34200.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31120,Agricultural development,0.2,34200.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31150,Agricultural inputs,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31161,Food crop production,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31166,Agricultural extension,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31182,Agricultural research,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31191,Agricultural services,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,CF,CF,Central Afr.Rep,0.0057,31193,Agricultural financial services,0.1,17100.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31110,Agricultural policy and administrative management,0.2,24000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31120,Agricultural development,0.2,24000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31150,Agricultural inputs,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31161,Food crop production,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31166,Agricultural extension,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31182,Agricultural research,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31191,Agricultural services,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,DJ,DJ,Djibouti,0.004,31193,Agricultural financial services,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31110,Agricultural policy and administrative management,0.2,1332000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31120,Agricultural development,0.2,1332000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31150,Agricultural inputs,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31161,Food crop production,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31166,Agricultural extension,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31182,Agricultural research,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31191,Agricultural services,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,ET,ET,Ethiopia,0.222,31193,Agricultural financial services,0.1,666000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31110,Agricultural policy and administrative management,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31120,Agricultural development,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31150,Agricultural inputs,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31161,Food crop production,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31166,Agricultural extension,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31182,Agricultural research,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31191,Agricultural services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GN,GN,Guinea,0.0081,31193,Agricultural financial services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31110,Agricultural policy and administrative management,0.2,24000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31120,Agricultural development,0.2,24000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31150,Agricultural inputs,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31161,Food crop production,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31166,Agricultural extension,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31182,Agricultural research,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31191,Agricultural services,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,GW,GW,Guinea-Bissau,0.004,31193,Agricultural financial services,0.1,12000.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31110,Agricultural policy and administrative management,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31120,Agricultural development,0.2,48600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31150,Agricultural inputs,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31161,Food crop production,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31166,Agricultural extension,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31182,Agricultural research,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31191,Agricultural services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HN,HN,Honduras,0.0081,31193,Agricultural financial services,0.1,24300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31110,Agricultural policy and administrative management,0.2,72600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31120,Agricultural development,0.2,72600.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31150,Agricultural inputs,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31161,Food crop production,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31166,Agricultural extension,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31182,Agricultural research,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31191,Agricultural services,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,1,America,HT,HT,Haiti,0.0121,31193,Agricultural financial services,0.1,36300.0
2009/2010,1,0,0,0,0,0,0,0,0,1,1001306,World Bank,Foreign Non-Profit Making,Multilateral,IFI,2,Africa,KE,KE,Kenya,0.0444,31110,Agricultural policy and administrative management,0.2,266400.0
