geniusNameLabel,websiteLabel,familyNameLabel,motherLabel,birthDate,givenNameLabel,numberOfChildren,recordLabelLabel,cityLabel,musicianLabel,genreLabel,activityStart,religionLabel,fatherLabel,partner,musician,genderLabel,ethnicityLabel,residenceLabel,twitterNameLabel
,http://www.beck.com,Beck,Bibbe Hansen,1970-07-08T00:00:00Z,,,XL Recordings,Los Angeles,Beck,alternative rock,1989-01-01T00:00:00Z,Scientology,David Campbell,Marissa Ribisi,http://www.wikidata.org/entity/Q11901,male,,,beck
Kurt-cobain,,Cobain,,1967-02-20T00:00:00Z,Donald,,Sub Pop,Aberdeen,Kurt Cobain,grunge,1982-01-01T00:00:00Z,,,Courtney Love,http://www.wikidata.org/entity/Q8446,male,,,
Chuck-berry,http://www.chuckberry.com/,Berry,,1926-10-18T00:00:00Z,Chuck,4.0,Mercury Records,St. Louis,Chuck Berry,rock and roll,1953-01-01T00:00:00Z,Baptists,,,http://www.wikidata.org/entity/Q5921,male,African Americans,The Ville,
,,Willis,,1955-03-19T00:00:00Z,Bruce,,Motown,Idar-Oberstein,Bruce Willis,,1979-01-01T00:00:00Z,atheism,,Emma Heming Willis,http://www.wikidata.org/entity/Q2680,male,,Los Angeles,
,http://50cent.com/,Jackson,,1975-07-06T00:00:00Z,Curtis,2.0,Universal Records,South Jamaica,50 Cent,East Coast hip hop,1998-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q6060,male,African Americans,,50cent
,,Guthrie,,1912-07-14T00:00:00Z,Woody,8.0,Folkways Records,Okemah,Woody Guthrie,contemporary folk music,1930-01-01T00:00:00Z,,,Marjorie Guthrie,http://www.wikidata.org/entity/Q4061,male,,,
Paul-simon,http://www.paulsimon.com,Simon,Belle (?),1941-10-13T00:00:00Z,Paul Frederic,,Warner Bros. Records,Newark,Paul Simon,soft rock,1957-01-01T00:00:00Z,Judaism,Louis Simon,Kathleen Mary Chitty,http://www.wikidata.org/entity/Q4028,male,,,paulsimonmusic
Patti-smith,http://www.pattismith.net/intro.html,Smith,,1946-12-30T00:00:00Z,Patti,,Arista,Chicago,Patti Smith,punk rock,1967-01-01T00:00:00Z,,,Fred Smith,http://www.wikidata.org/entity/Q557,female,,,
,,Bumpass,,1951-11-20T00:00:00Z,Rodger,,,Little Rock,Rodger Bumpass,,1977-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4337,male,,,
Marlene-dietrich,http://www.marlene.com/,Dietrich,Wilhelmina Elisabeth Joséphine Felsing,1901-12-27T00:00:00Z,Marie,,Liberty,Rote Insel,Marlene Dietrich,,1919-01-01T00:00:00Z,state atheism,Louis Erich Otto Dietrich,Yul Brynner,http://www.wikidata.org/entity/Q4612,female,Germans,,
Jimi-hendrix,https://www.jimihendrix.com/,Hendrix,,1942-11-27T00:00:00Z,Jimi,,MCA Inc.,Seattle,Jimi Hendrix,acid rock,1965-01-01T00:00:00Z,Lapsed Catholic,,,http://www.wikidata.org/entity/Q5928,male,Cherokee,,JimiHendrix
,http://www.carlyrosesonenclar.com,,,1999-04-20T00:00:00Z,Carly,,Syco Music,New York City,Carly Rose Sonenclar,contemporary R&B,,,,,http://www.wikidata.org/entity/Q8160,female,,,CarlyRoseMusic
,http://www.tarastrong.com,Strong,Lucy Charendoff,1973-02-12T00:00:00Z,Tara,,,Toronto,Tara Strong,,1986-01-01T00:00:00Z,Judaism,Syd Charendoff,Craig Strong,http://www.wikidata.org/entity/Q4029,female,Ashkenazi Jews,Los Angeles,tarastrong
Dr-dre,http://www.drdre.com,Young,,1965-02-18T00:00:00Z,Romelle,8.0,Death Row Records,Compton,Dr. Dre,West Coast hip hop,1984-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q6078,male,African Americans,Beverly Hills,drdre
Ceelo-green,http://www.ceelogreen.com,Callaway,,1975-05-30T00:00:00Z,DeCarlo,1.0,Arista,Atlanta,CeeLo Green,soul music,1994-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4042,male,African Americans,,CeeLoGreen
Aaliyah,https://www.aaliyah.com/,Haughton,,1979-01-16T00:00:00Z,Aaliyah,,Virgin Records,Brooklyn,Aaliyah,rhythm and blues,1991-01-01T00:00:00Z,Catholicism,,R. Kelly,http://www.wikidata.org/entity/Q11617,female,African Americans,Detroit,AaliyahHaughton
,http://kevincostner.com/,Costner,,1955-01-18T00:00:00Z,Kevin,7.0,Show Dog-Universal Music,Lynwood,Kevin Costner,country music,1974-01-01T00:00:00Z,Baptists,,Christine Baumgartner,http://www.wikidata.org/entity/Q11930,male,,California,
Miranda-cosgrove,http://www.mirandacosgroveofficial.com,Cosgrove,,1993-05-14T00:00:00Z,Miranda,,Epic,Los Angeles,Miranda Cosgrove,pop music,2001-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q5104,female,,,MirandaBuzz
,http://www.kimcarnes.com,Carnes,,1945-07-20T00:00:00Z,Kim,,A&M Records,Pasadena,Kim Carnes,pop rock,1967-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4070,female,,,
,,Hoppus,,1972-03-15T00:00:00Z,Mark Alan,,BMG Rights Management,Ridgecrest,Mark Hoppus,alternative rock,1988-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4271,male,,Beverly Hills,MarkHoppus
,http://www.jennettemccurdy.com/,McCurdy,,1992-06-26T00:00:00Z,Jennette,,Capitol Records,Long Beach,Jennette McCurdy,pop music,2000-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4473,female,,Studio City,jennettemccurdy
James-brown,http://www.godfatherofsoul.com,Brown,,1933-05-03T00:00:00Z,James,,Federal,Barnwell,James Brown,soul music,1954-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q5950,male,African Americans,,
Chet-baker,,Baker,,1929-12-23T00:00:00Z,Chesney,,Columbia Records,Yale,Chet Baker,jazz,1949-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q2274,male,,,
,http://www.melissafahn.com/,Fahn,,1967-04-28T00:00:00Z,Melissa,,,New York City,Melissa Fahn,,,,,Joel Alpers,http://www.wikidata.org/entity/Q4350,female,,,melissafahn
Eddie-cochran,http://www.eddie-cochran.info,Cochran,,1938-10-03T00:00:00Z,Edward,,Liberty,Albert Lea,Eddie Cochran,country music,1952-01-01T00:00:00Z,,,Sharon Sheeley,http://www.wikidata.org/entity/Q5969,male,,,
,http://www.artgarfunkel.com,Garfunkel,,1941-11-05T00:00:00Z,Arthur,,Columbia Records,Forest Hills,Art Garfunkel,rock music,1956-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q4039,male,,,
David-cicero,http://www.myspace.com/davidcicero,,,1970-05-29T00:00:00Z,David,,Spaghetti Records,Greenport,David Cicero,synth-pop,1988-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q8876,male,,,
,,Rose,,1962-02-06T00:00:00Z,Bruce,,Uzi Suicide,Lafayette,Axl Rose,heavy metal,1995-01-01T00:00:00Z,,,Erin Everly,http://www.wikidata.org/entity/Q11885,male,,Spain,axlrose
Cher,http://www.cher.com,,Georgia Holt,1946-05-20T00:00:00Z,Cher,,Imperial,El Centro,Cher,dance music,1963-01-01T00:00:00Z,,,Richie Sambora,http://www.wikidata.org/entity/Q12003,female,Irish people,,cher
Bob-dylan,http://www.bobdylan.com,Dylan,,1941-05-24T00:00:00Z,Bob,,Asylum Records,Duluth,Bob Dylan,country rock,1962-01-01T00:00:00Z,,,Joan Baez,http://www.wikidata.org/entity/Q392,male,,Malibu,bobdylan
,http://www.eelstheband.com/,Everett,,1963-04-10T00:00:00Z,Mark,,DreamWorks Records,Virginia,Mark Oliver Everett,rock music,1985-01-01T00:00:00Z,atheism,Hugh Everett III,,http://www.wikidata.org/entity/Q11907,male,,,
,http://www.sashagrey.com/,Grey,,1988-03-14T00:00:00Z,Ann,,,North Highlands,Sasha Grey,,,atheism,,,http://www.wikidata.org/entity/Q2709,female,White people,,sashagrey
Corbin-bleu,http://www.corbinbleu.com,Reivers,,1989-02-21T00:00:00Z,Bleu,,Walt Disney Records,Brooklyn,Corbin Bleu,pop music,1996-01-01T00:00:00Z,,David Reivers,Sasha Clements,http://www.wikidata.org/entity/Q4617,male,African Americans,Los Angeles,corbinbleu
Anne-hathaway,,Hathaway,,1982-11-12T00:00:00Z,Anne,,,New York City,Anne Hathaway,,1999-01-01T00:00:00Z,,,Adam Shulman,http://www.wikidata.org/entity/Q36301,female,,,
Savannah-outen,,Outen,,1992-10-14T00:00:00Z,Savannah,,,Hillsboro,Savannah Outen,pop music,2007-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q54858,female,,,therealsavannah
,http://victoriajackson.com,Jackson,,1959-08-02T00:00:00Z,Victoria,,,Miami,Victoria Jackson,,1982-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q46080,female,,,VictoriaJackson
,http://www.leannrimesworld.com,,,1982-08-28T00:00:00Z,,,Curb Records,Jackson,LeAnn Rimes,pop music,1991-01-01T00:00:00Z,,,Eddie Cibrian,http://www.wikidata.org/entity/Q120533,female,,,leannrimes
,http://freddurst.com/,Durst,,1970-08-20T00:00:00Z,Fred,,Shrapnel Records,Jacksonville,Fred Durst,rap metal,1993-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q44707,male,,,FredDurst
,https://louisck.net/,Székely,,1967-09-12T00:00:00Z,Louis,2.0,,Tecámac Municipality,Louis C.K.,,,,,Alix Bailey,http://www.wikidata.org/entity/Q15079,male,,Mexico City,louisck
Ray-william-johnson,http://www.raywj.com,Johnson,,1981-08-14T00:00:00Z,Ray,,,Oklahoma City,Ray William Johnson,,2007-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q49847,male,,Los Angeles,RayWJ
Blind-lemon-jefferson,,Jefferson,,1894-10-26T00:00:00Z,,,Paramount,Coutchman,Blind Lemon Jefferson,blues,1900-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q45001,male,African Americans,,
Mike-shinoda,http://mikeshinoda.com,Shinoda,,1977-02-11T00:00:00Z,Mike,3.0,Machine Shop Records,Panorama City,Mike Shinoda,alternative rock,1994-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q19201,male,German Americans,,m_shinoda
,http://www.johnbarrowman.com,Barrowman,,1967-03-11T00:00:00Z,John,,,"Mount Vernon\, Glasgow",John Barrowman,musical,1985-01-01T00:00:00Z,,,Scott Gill,http://www.wikidata.org/entity/Q24632,male,Scottish American,Glasgow,
Aloe-blacc,http://www.aloeblacc.com/,,,1979-01-07T00:00:00Z,,,Stones Throw Records,Newport Beach,Aloe Blacc,soul music,1995-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q49319,male,,,aloeblacc
,http://www.lisazane.com,Zane,,1961-04-05T00:00:00Z,Lisa,,,Chicago,Lisa Zane,,1984-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q26539,female,,,
,https://www.izhawaii.com,,,1959-05-20T00:00:00Z,Israel,,Mountain Apple Company,Honolulu,Israel Kamakawiwoʻole,contemporary folk music,1976-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q42180,male,,,
Whitney-houston,https://www.whitneyhouston.com/,Houston,Cissy Houston,1963-08-09T00:00:00Z,Whitney,,Arista,Newark,Whitney Houston,rhythm and blues,1977-01-01T00:00:00Z,Baptists,,Bobby Brown,http://www.wikidata.org/entity/Q34389,female,African Americans,,
,,Nash,,1940-08-19T00:00:00Z,Lester,,Epic,Houston,Johnny Nash,reggae,1956-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q49735,male,African Americans,,
,http://www.wizkhalifa.com/,,,1987-09-08T00:00:00Z,,,Warner Bros. Records,Minot,Wiz Khalifa,pop music,2005-01-01T00:00:00Z,Catholicism,,Amber Rose,http://www.wikidata.org/entity/Q117139,male,African Americans,Germany,wizkhalifa
Christina-aguilera,https://www.christinaaguilera.com/,Aguilera,,1980-12-18T00:00:00Z,Christina,2.0,RCA Records,Staten Island,Christina Aguilera,contemporary R&B,1991-01-01T00:00:00Z,,Fausto Xavier Aguilera,Jordan Bratman,http://www.wikidata.org/entity/Q41594,female,,Rochester,xtina
,,Williams,,1977-05-09T00:00:00Z,,,Entertainment One Music,Oakland,Keak da Sneak,hyphy,1992-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q40422,male,,,KeakDaSneak
,http://www.lalaine.net/,,,1987-06-03T00:00:00Z,,,Reprise Records,Burbank,Lalaine Vergara-Paras,pop music,1999-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q30896,female,,,
Paris-hilton,http://www.parishilton.com,Hilton,Kathy Hilton,1981-02-17T00:00:00Z,Paris,,Warner Bros. Records,New York City,Paris Hilton,pop music,1997-01-01T00:00:00Z,,Richard Hilton,Jason Shaw,http://www.wikidata.org/entity/Q47899,female,,,ParisHilton
Joe-pesci,,Pesci,,1943-02-09T00:00:00Z,Joe,,,Newark,Joe Pesci,drama,1961-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q20178,male,,Lavallette,
Sharon-van-etten,http://www.sharonvanetten.com,,,1981-02-26T00:00:00Z,Sharon,,Jagjaguwar,Belleville,Sharon Van Etten,pop music,2007-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q14538,female,,,sharonvanetten
,,Accola,,1987-05-13T00:00:00Z,Candice,,,Houston,Candice King,pop music,2006-01-01T00:00:00Z,,,Joe King,http://www.wikidata.org/entity/Q39574,female,,,CandiceAccola
Dizzy-gillespie,http://www.dizzygillespie.com/,Gillespie,,1917-10-21T00:00:00Z,,,Savoy Records,Cheraw,Dizzy Gillespie,jazz,1935-01-01T00:00:00Z,Bahá'í Faith,,,http://www.wikidata.org/entity/Q49575,male,African Americans,,
,http://www.jackiejackson5.com/,Jackson,Katherine Jackson,1951-05-04T00:00:00Z,Jackie,,Epic,Gary,Jackie Jackson,rhythm and blues,1962-01-01T00:00:00Z,,Joe Jackson,Paula Abdul,http://www.wikidata.org/entity/Q44855,male,African Americans,,
,http://www.marcanthonyonline.com/,Muñiz,,1968-09-16T00:00:00Z,Marco Antonio,,RMM Records & Video,New York City,Marc Anthony,Latin American music,1988-01-01T00:00:00Z,,,Jennifer Lopez,http://www.wikidata.org/entity/Q26625,male,,,MarcAnthony
,http://www.amandasomerville.com/,Somerville,,1979-03-07T00:00:00Z,Amanda,,,Flushing,Amanda Somerville,pop music,1997-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q24064,female,,,amsomerville
,,Parker,,1969-10-19T00:00:00Z,Randolph,,,Conifer,Trey Parker,,1989-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q44414,male,,,
,http://www.mosdefmusic.com/,Smith,,1973-12-11T00:00:00Z,,6.0,Downtown Records,Brooklyn,Mos Def,hip hop music,1994-01-01T00:00:00Z,Islam,,,http://www.wikidata.org/entity/Q38875,male,,,MosDefOfficial
,http://www.theborlandgallery.com/,Borland,,1975-02-07T00:00:00Z,Wes,,independent record label,Richmond,Wes Borland,nu metal,1994-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q44721,male,,,wesborland
Lana-del-rey,https://www.lanadelrey.com,Grant,,1985-06-21T00:00:00Z,Elizabeth,,Interscope Records,New York City,Lana Del Rey,baroque pop,2005-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q37150,female,,Los Angeles,LanaDelRey
,https://lionelrichie.com,,,1949-06-20T00:00:00Z,Lionel,,Motown,Tuskegee,Lionel Richie,soul music,1968-01-01T00:00:00Z,,,Brenda Harvey-Richie,http://www.wikidata.org/entity/Q26695,male,,Los Angeles,lionelrichie
,,McWane,,1976-11-18T00:00:00Z,David,,,Beverly,David McWane,ska,1995-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q38150,male,,,
,http://www.jamesmaslow.com,Maslow,,1990-07-16T00:00:00Z,James,,Nick Records,New York City,James Maslow,pop music,2008-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q26058,male,,,jamesmaslow
Bijou-phillips,,Phillips,Geneviève Waïte,1980-04-01T00:00:00Z,Bijou,,,Greenwich,Bijou Phillips,pop music,1994-01-01T00:00:00Z,Scientology,John Phillips,Danny Masterson,http://www.wikidata.org/entity/Q45362,female,,,
,http://www.emmyrossum.com/,Rossum,,1986-09-12T00:00:00Z,Emmy,,Warner Bros. Records,New York City,Emmy Rossum,pop music,1993-01-01T00:00:00Z,,,Sam Esmail,http://www.wikidata.org/entity/Q35912,female,,,emmyrossum
,http://hoodieallen.com,Allen,,1988-08-19T00:00:00Z,,,,Plainview,Hoodie Allen,hip hop music,,,,,http://www.wikidata.org/entity/Q39224,male,,,HoodieAllen
,http://www.jjcale.com/,,,1938-12-05T00:00:00Z,John,,Shelter Records,Oklahoma City,JJ Cale,folk music,1958-01-01T00:00:00Z,,,Christine Lakeland,http://www.wikidata.org/entity/Q44833,male,,,
,http://www.jamielynnspears.com,Spears,Lynne Spears,1991-04-04T00:00:00Z,Lynn,2.0,,McComb,Jamie Lynn Spears,country pop,2002-01-01T00:00:00Z,Christianity,,,http://www.wikidata.org/entity/Q55497,female,,,jamielynnspears
,http://www.dianaross.com/,Ross,,1944-03-26T00:00:00Z,Diana,,RCA,Detroit,Diana Ross,jazz,1959-01-01T00:00:00Z,,,Berry Gordy,http://www.wikidata.org/entity/Q36290,female,African Americans,,iamdianaross
,http://www.johnleehooker.com,Hooker,,1917-08-22T00:00:00Z,Lee,,Charly Records,Clarksdale,John Lee Hooker,blues,1942-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q44570,male,African Americans,,
Melissa-benoist,,Benoist,,1988-10-04T00:00:00Z,Melissa,,,Littleton,Melissa Benoist,pop music,2008-01-01T00:00:00Z,,,Chris Wood,http://www.wikidata.org/entity/Q46677,female,,Vancouver,MelissaBenoist
,,,,1936-12-29T00:00:00Z,Mary,1.0,,Brooklyn,Mary Tyler Moore,,1958-01-01T00:00:00Z,Catholicism,,Grant Tinker,http://www.wikidata.org/entity/Q41342,female,,,
Rebecca-black,http://www.rebeccablackonline.com,Black,,1997-06-21T00:00:00Z,Rebecca,,ARK Music Factory,Irvine,Rebecca Black,pop music,2010-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q18804,female,,,MsRebeccaBlack
Lindsay-lohan,,Lohan,Dina Lohan,1986-07-02T00:00:00Z,Lindsay,,Casablanca Records,The Bronx,Lindsay Lohan,dance music,1989-01-01T00:00:00Z,,Michael Lohan,,http://www.wikidata.org/entity/Q44903,female,,London,lindsaylohan
,,Lott,,1941-10-09T00:00:00Z,Trent,,,Grenada,Trent Lott,,,Southern Baptist Convention,,,http://www.wikidata.org/entity/Q50608,male,,,
Jim-morrison,,Morrison,,1943-12-08T00:00:00Z,Douglas,,Elektra,Melbourne,Jim Morrison,poetry,1971-01-01T00:00:00Z,,George Stephen Morrison,Pamela Courson,http://www.wikidata.org/entity/Q44301,male,,,
,http://www.ericclapton.com/,Clapton,,1945-03-30T00:00:00Z,Eric,,Warner Bros. Records,Ripley,Eric Clapton,blues,1962-01-01T00:00:00Z,,,Lory Del Santo,http://www.wikidata.org/entity/Q48187,male,,,EricClapton
,https://www.mayaangelou.com/,Angelou,,1928-04-04T00:00:00Z,Maya,,,St. Louis,Maya Angelou,,1969-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q19526,female,African Americans,St. Louis,DrMayaAngelou
,http://www.missmarthareeves.com,Reeves,,1941-07-18T00:00:00Z,Martha,,Motown,Eufaula,Martha Reeves,soul music,1957-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q25652,female,African Americans,,
,,Newman,,1998-04-24T00:00:00Z,Ryan,,,Manhattan Beach,Ryan Newman,,2006-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q18989,female,,,ryrynewman
Moby,http://moby.com,Hall,,1965-09-11T00:00:00Z,Melville,,Mute Records,Harlem,Moby,house music,1978-01-01T00:00:00Z,Christianity,,,http://www.wikidata.org/entity/Q14045,male,,,thelittleidiot
Nicole-kidman,http://www.nicolekidmanofficial.com/,Kidman,Janelle Kidman,1967-06-20T00:00:00Z,Nicole,4.0,,Honolulu,Nicole Kidman,,1983-01-01T00:00:00Z,,Antony Kidman,Keith Urban,http://www.wikidata.org/entity/Q37459,female,,,NicoleKidman
Kanye-west,http://kanyewest.com,West,Donda West,1977-06-08T00:00:00Z,Omari,4.0,Def Jam Recordings,Atlanta,Kanye West,hip hop music,1996-01-01T00:00:00Z,Catholicism,Ray West,Kim Kardashian,http://www.wikidata.org/entity/Q15935,male,African Americans,Hidden Hills,kanyewest
,,Rapp,,1971-10-26T00:00:00Z,Anthony,,,Chicago,Anthony Rapp,,,,,,http://www.wikidata.org/entity/Q39983,male,,,albinokid
,,Reeves,,1964-09-02T00:00:00Z,Charles,,,Beirut,Keanu Reeves,alternative rock,1984-01-01T00:00:00Z,,,Alexandra Grant,http://www.wikidata.org/entity/Q43416,male,,Hollywood Hills,
,,Farrakhan,,1933-05-11T00:00:00Z,Louis,,,The Bronx,Louis Farrakhan,,,Nation of Islam,,Khadijah Farrakhan,http://www.wikidata.org/entity/Q49075,male,African Americans,Kenwood,
Noah-cyrus,http://noahcyrus.com,Cyrus,Tish Cyrus,2000-01-08T00:00:00Z,Noah,,Syco Music,Nashville,Noah Cyrus,pop music,2002-01-01T00:00:00Z,,Billy Ray Cyrus,,http://www.wikidata.org/entity/Q54868,female,,Nashville,noahcyrus
,http://www.coheedandcambria.com,Sanchez,,1978-03-12T00:00:00Z,Claudio,,Columbia Records,Suffern,Claudio Sanchez,alternative rock,1995-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q18593,male,,,
Liza-minnelli,http://www.officiallizaminnelli.com/,Minnelli,Judy Garland,1946-03-12T00:00:00Z,Liza,,Capitol Records,Hollywood,Liza Minnelli,jazz,1949-01-01T00:00:00Z,Episcopal Church,Vincente Minnelli,Peter Allen,http://www.wikidata.org/entity/Q14441,female,,Los Angeles,
