Fiscal year,Organisation ID,Urban issues (marker),Trade development (marker),IRTC percent,Status,Children issues (marker),Project number,Organisation sub-class,Fund centre ID,Desertification (marker),Gender equality (marker),Section name,Amount spent,Biodiversity (marker),Maximum CIDA contribution (project-level),Branch ID,Branch name,Division ID,Division name,Section ID,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker)
2009/2010,1000378,0,0,0.0,Closed,0,A019362001,CONSULTING SERVICES,4439,0,0,Caricom - Adm,13163.27,0,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001165,0,0,0.0,Closed,0,A019362001,CONSULTING SERVICES,4439,0,0,Caricom - Adm,7256.25,0,3441416.83,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Jamaica,3441416.83,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,73931.99,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,18482.9975,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,18482.9975,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,18482.9975,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,92414.9875,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,55448.9925,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,18482.9975,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000335,0,0,0.0,Closed,0,A019608001,CONSULTING SERVICES,4263,0,0,Middle East and North Africa,73931.99,0,16700508.62,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,Egypt,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020161001,FEDERAL,4259,0,2,Middle East and North Africa,114.33,0,328400.96,B3100,"EGM Europe, Middle East and Maghreb",D3100,EDD Europe-Middle East Programming,S4256,0,*Algeria,0.0,0.998334353,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020195001,FEDERAL,4452,0,3,Ha�ti & Dominican Republic Section,103009.4,0,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,Haiti,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020195001,FEDERAL,4452,0,3,Ha�ti & Dominican Republic Section,412037.6,0,4610501.0,B4400,NGM Americas,D4400,NDD Americas Programming,S4449,0,Haiti,4000000.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000852,0,0,0.0,Closed,0,A020222001,SPECIALIZED INSTITUTE,4229,0,2,"Ethiopia, PanAfrica, SubRegional",799.502,0,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000852,0,0,0.0,Closed,0,A020222001,SPECIALIZED INSTITUTE,4229,0,2,"Ethiopia, PanAfrica, SubRegional",799.502,0,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000852,0,0,0.0,Closed,0,A020222001,SPECIALIZED INSTITUTE,4229,0,2,"Ethiopia, PanAfrica, SubRegional",799.502,0,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000852,0,0,0.0,Closed,0,A020222001,SPECIALIZED INSTITUTE,4229,0,2,"Ethiopia, PanAfrica, SubRegional",799.502,0,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000852,0,0,0.0,Closed,0,A020222001,SPECIALIZED INSTITUTE,4229,0,2,"Ethiopia, PanAfrica, SubRegional",799.502,0,4229943.14,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,0,Ethiopia,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1014497,0,0,0.0,Terminating,0,A020246001,CONSULTING SERVICES,4238,0,2,Senegal Program,2307.3284,0,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Terminating,0,A020246001,CONSULTANT,4238,0,2,Senegal Program,2157.8406,0,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1014497,0,0,0.0,Terminating,0,A020246001,CONSULTING SERVICES,4238,0,2,Senegal Program,4478.9316,0,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Terminating,0,A020246001,CONSULTANT,4238,0,2,Senegal Program,4188.7494,0,4518387.69,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000975,0,0,0.0,Closed,0,A020252001,CONSULTING SERVICES,4438,0,0,Caricom - Adm,539373.76,0,7850039.11,B4400,NGM Americas,D4400,NDD Americas Programming,S4429,0,Caribbean Regional - Guyana,7850039.11,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020272001,FEDERAL,4128,0,1,Philippines and Mongolia,12432.9,0,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020272001,FEDERAL,4128,0,1,Philippines and Mongolia,9946.32,0,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020272001,FEDERAL,4128,0,1,Philippines and Mongolia,2486.58,0,13000520.92,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Terminating,0,A020279001,FEDERAL,4124,0,1,"OAA Afghanistan, Pakistan and Sri Lanka",106986.01,0,2645994.04,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Pakistan,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000601,0,0,0.0,Closed,0,A020392001,CONSULTING SERVICES,4280,0,1,Mozambique Program,73711.97,0,7747230.74,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Malawi,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020395001,FEDERAL,4122,0,0,Bangladesh Section,500000.0,0,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,0.0,0.5,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A020395001,Unknown,4122,0,0,Bangladesh Section,2362.0,0,4947637.32,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,0,Bangladesh,0.0,0.5,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A020398001,CONSULTANT,4274,0,0,Mozambique Program,667.81,0,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Mozambique,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A020398001,CONSULTANT,4274,0,0,Mozambique Program,667.81,0,9096651.0,B4200,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,0,Mozambique,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020449003,FEDERAL,4289,0,2,Central Africa & Great Lakes Program,582248.05,0,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000948,0,0,0.0,Closed,0,A020449003,SUPPLIER OF GOODS/SERVICES,4289,0,2,Central Africa & Great Lakes Program,863.16,0,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A020449003,COOPERANT,4289,0,2,Central Africa & Great Lakes Program,140613.87,0,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,0,A020449003,Unknown,4289,0,2,Central Africa & Great Lakes Program,2361.97,0,2457111.5,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,1000171,0,0,0.0,Closed,0,A020715001,ASSOCIATIONS,4242,0,0,Senegal Program,442790.91,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001142,0,0,0.0,Closed,0,A020715001,CONSULTING SERVICES,4242,0,0,Senegal Program,4131.87,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000171,0,0,0.0,Closed,0,A020715001,ASSOCIATIONS,4242,0,0,Senegal Program,132837.27300000002,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001142,0,0,0.0,Closed,0,A020715001,CONSULTING SERVICES,4242,0,0,Senegal Program,1239.5610000000001,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000171,0,0,0.0,Closed,0,A020715001,ASSOCIATIONS,4242,0,0,Senegal Program,88558.18199999999,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001142,0,0,0.0,Closed,0,A020715001,CONSULTING SERVICES,4242,0,0,Senegal Program,826.3739999999999,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000171,0,0,0.0,Closed,0,A020715001,ASSOCIATIONS,4242,0,0,Senegal Program,132837.27300000002,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001142,0,0,0.0,Closed,0,A020715001,CONSULTING SERVICES,4242,0,0,Senegal Program,1239.5610000000001,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000171,0,0,0.0,Closed,0,A020715001,ASSOCIATIONS,4242,0,0,Senegal Program,88558.18199999999,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1001142,0,0,0.0,Closed,0,A020715001,CONSULTING SERVICES,4242,0,0,Senegal Program,826.3739999999999,0,11427061.07,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000136,0,0,0.0,Closed,1,A020790001,NGO,4118,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",92293.62400000001,0,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Sri Lanka,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,1000136,0,0,0.0,Closed,1,A020790001,NGO,4118,0,0,"OAA Afghanistan, Pakistan and Sri Lanka",23073.406000000003,0,4308867.95,B4100,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,0,Sri Lanka,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,Not PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020891001,FEDERAL,4216,0,2,Mali Program Section,57631.03,0,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020891001,Unknown,4216,0,2,Mali Program Section,23.9,0,3063216.68,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,0,A020892001,FEDERAL,4216,0,2,Mali Program Section,10023.66,0,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1001126,0,0,0.0,Closed,0,A020892001,CONSULTING SERVICES,4216,0,2,Mali Program Section,50605.0,0,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,1014203,0,0,0.0,Closed,0,A020892001,CONSULTING SERVICES,4216,0,2,Mali Program Section,2019764.66,0,16726210.87,B4200,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,Other PBA,0,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,64.46300000000001,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,24.000999999999998,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,51.5704,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,19.2008,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,12.8926,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,4.8002,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,515.7040000000001,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,192.00799999999998,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,193.389,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,72.003,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,154.7112,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,57.6024,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,38.6778,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,14.4006,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,1547.112,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,576.024,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,193.389,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,72.003,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,154.7112,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,57.6024,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,38.6778,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,14.4006,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,10050,0,0,0.0,Closed,1,A020910001,FEDERAL,4422,0,0,South America,1547.112,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
2009/2010,Information not available,0,0,0.0,Closed,1,A020910001,Unknown,4422,0,0,South America,576.024,0,1488850.78,B4400,NGM Americas,D4400,NDD Americas Programming,S4413,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,Not PBA,1,0,0
