assays_Des,assays_ASCETY,assays_CONFSCO,assays_CHI,assays_CURB,assays_SASI,assays_CI,assays_ASTY,assays_RELTY,assays_SI,assays_ASSI,assays_TISI,assays_ASSOR,assays_ASSTET,assays_ASSSTR,assays_T,assays_VARII,assays_DOI,assays_ASSTAI,assays_ASSCATE,assays_ASSTIS,assays_BFOR,assays_ASSUBCELFR
Half life in rat plasma,,1,CHEMBL621380,Intermediate,,,A,N,1,7574,1969.0,Rattus norvegicus,,,50597,,5819,10116.0,,Plasma,BAO_0000218,
Half life in rat plasma; Not detected,,1,CHEMBL621381,Intermediate,,,A,N,1,7575,1969.0,Rattus norvegicus,,,50597,,5819,10116.0,,Plasma,BAO_0000218,
Half life in rats,,1,CHEMBL618515,Intermediate,,,A,N,1,7576,,Rattus norvegicus,,,50597,,6803,10116.0,,,BAO_0000218,
Half life period of compound was determined after peroral administration,,1,CHEMBL618516,Intermediate,,,A,N,1,7577,,Rattus norvegicus,In vivo,,50597,,17804,10116.0,,,BAO_0000218,
Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,1,CHEMBL618517,Intermediate,,,A,N,1,7578,,Rattus norvegicus,In vivo,,50597,,17804,10116.0,,,BAO_0000218,
Half life period in rat,,1,CHEMBL618518,Intermediate,,,A,N,1,7579,,Rattus norvegicus,,,50597,,5948,10116.0,,,BAO_0000218,
Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,1,CHEMBL618519,Intermediate,,,A,N,1,7580,,Rattus norvegicus,In vivo,,50597,,1916,10116.0,,,BAO_0000218,
Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,1,CHEMBL618698,Intermediate,,,A,N,1,7581,,Rattus norvegicus,In vivo,,50597,,1916,10116.0,,,BAO_0000218,
Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,1,CHEMBL618862,Intermediate,,,A,N,1,7582,,Rattus norvegicus,In vivo,,50597,,1916,10116.0,,,BAO_0000218,
Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,1,CHEMBL618863,Intermediate,,,A,N,1,7583,,Rattus norvegicus,In vivo,,50597,,4890,10116.0,,,BAO_0000218,
Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,1,CHEMBL618864,Intermediate,,,A,N,1,7584,,Rattus norvegicus,In vivo,,50597,,17764,10116.0,,,BAO_0000218,
Half life time in rat the dose of 2 mg/kg,,1,CHEMBL618865,Intermediate,,,A,N,1,7585,,Rattus norvegicus,In vivo,,50597,,4727,10116.0,,,BAO_0000218,
Half-life 24 hr after 10 mg/kg iv administration in rats,,1,CHEMBL618866,Intermediate,,,A,N,1,7586,,Rattus norvegicus,In vivo,,50597,,17509,10116.0,,,BAO_0000218,
Half-life 24 hr after 2 mg/kg iv administration in rats,,1,CHEMBL618867,Intermediate,,,A,N,1,7587,,Rattus norvegicus,In vivo,,50597,,17509,10116.0,,,BAO_0000218,
Half-life consistent with the observed metabolic steady state in rats,,1,CHEMBL875828,Intermediate,,,A,N,1,7588,,Rattus norvegicus,,,50597,,6597,10116.0,,,BAO_0000218,
Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,1,CHEMBL618868,Intermediate,,,A,N,1,7589,,Rattus norvegicus,In vivo,,50597,,17735,10116.0,,,BAO_0000218,
Half-life for oxidative metabolic stability was determined using male human,,1,CHEMBL618869,Intermediate,,,A,N,1,7590,,Rattus norvegicus,,,50597,,6597,10116.0,,,BAO_0000218,
"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,1,CHEMBL618870,Intermediate,,,A,N,1,7591,,Rattus norvegicus,In vivo,,50597,,17670,10116.0,,,BAO_0000218,
Half-life in rat plasma,,1,CHEMBL618871,Intermediate,,,A,N,1,7592,1969.0,Rattus norvegicus,,,50597,,1696,10116.0,,Plasma,BAO_0000218,
Half-life in rat plasma was determined,,1,CHEMBL618872,Intermediate,,,A,N,1,7593,1969.0,Rattus norvegicus,,,50597,,1742,10116.0,,Plasma,BAO_0000218,
Half-life in rats was determined,,1,CHEMBL873816,Intermediate,,,A,N,1,7594,,Rattus norvegicus,,,50597,,17800,10116.0,,,BAO_0000218,
Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,0,CHEMBL618873,Autocuration,,,A,U,1,7595,,,,,22224,,12923,,,,BAO_0000218,
Area under curve after oral dose of 0.1 mg//kg,,0,CHEMBL621602,Autocuration,,,A,U,1,7596,,,,,22224,,11954,,,,BAO_0000019,
Area under curve after oral dose of 0.3 mg/kg,,0,CHEMBL621603,Autocuration,,,A,U,1,7597,,,,,22224,,11954,,,,BAO_0000218,
Area under curve after oral dose of 1 mg/kg,,0,CHEMBL621604,Autocuration,,,A,U,1,7598,,,,,22224,,11954,,,,BAO_0000218,
Area under curve after oral dose of 10 mg/kg,,0,CHEMBL621605,Autocuration,,,A,U,1,7599,,,,,22224,,11954,,,,BAO_0000218,
Area under curve after oral dose of 23.4 mg/kg,,0,CHEMBL621606,Autocuration,,,A,U,1,7600,,,,,22224,,11954,,,,BAO_0000218,
Area under curve after oral dose of 3 mg/kg,,0,CHEMBL621607,Autocuration,,,A,U,1,7601,,,,,22224,,11954,,,,BAO_0000218,
Area under curve after oral dose of 3.87 mg/kg,,0,CHEMBL621608,Autocuration,,,A,U,1,7602,,,,,22224,,11954,,,,BAO_0000218,
Area under curve was determined,,0,CHEMBL621609,Autocuration,,,A,U,1,7603,,,,,22224,,5237,,,,BAO_0000019,
Area under curve at a dose of 10 mg/kg,,0,CHEMBL621610,Autocuration,,,A,U,1,7604,,,,,22224,,4026,,,,BAO_0000218,
Area under curve was determined; ND=No data,,1,CHEMBL621611,Intermediate,,,A,N,1,7605,,Rattus norvegicus,,,50597,,5237,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL621612,Intermediate,,,A,N,1,7606,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,1,CHEMBL622308,Intermediate,,,A,N,1,7607,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL622309,Intermediate,,,A,N,1,7608,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,1,CHEMBL622310,Intermediate,,,A,N,1,7609,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,1,CHEMBL622311,Intermediate,,,A,N,1,7610,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,1,CHEMBL622312,Intermediate,,,A,N,1,7611,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL622931,Intermediate,,,A,N,1,7612,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,1,CHEMBL622932,Intermediate,,,A,N,1,7613,,Rattus norvegicus,,,50597,,14793,10116.0,,,BAO_0000218,
Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL622736,Intermediate,,,A,N,1,7614,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,1,CHEMBL622737,Intermediate,,,A,N,1,7615,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL622738,Intermediate,,,A,N,1,7616,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,1,CHEMBL622739,Intermediate,,,A,N,1,7617,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,1,CHEMBL622740,Intermediate,,,A,N,1,7618,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,1,CHEMBL622741,Intermediate,,,A,N,1,7619,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,1,CHEMBL622742,Intermediate,,,A,N,1,7620,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,1,CHEMBL622743,Intermediate,,,A,N,1,7621,1969.0,Rattus norvegicus,,,50597,,14793,10116.0,,Plasma,BAO_0000218,
AUC in mice,,1,CHEMBL622744,Intermediate,,,A,N,1,7622,1969.0,Mus musculus,,,50594,,11637,10090.0,,Plasma,BAO_0000218,
Area under curve was measured from the graph obtained from concentration Vs time,,0,CHEMBL624134,Autocuration,,,A,U,1,7623,,,,,22224,,11149,,,,BAO_0000019,
Area under curve value of compound per hour after oral administration,,0,CHEMBL624135,Autocuration,,,A,U,1,7624,,,,,22224,,10016,,,,BAO_0000019,
Area under curve was determined after oral administration in rats,,1,CHEMBL624136,Intermediate,,,A,N,1,7625,,Rattus norvegicus,,,50597,,17796,10116.0,,,BAO_0000218,
Area under curve was determined after oral administration in rats; No data,,1,CHEMBL624137,Intermediate,,,A,N,1,7626,,Rattus norvegicus,,,50597,,17796,10116.0,,,BAO_0000218,
Area under curve was determined after oral administration in rats;No data,,1,CHEMBL624320,Intermediate,,,A,N,1,7627,,Rattus norvegicus,,,50597,,17796,10116.0,,,BAO_0000218,
Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,1,CHEMBL624321,Intermediate,,,A,N,1,7628,,Canis lupus familiaris,,,50588,,12923,9615.0,,,BAO_0000218,
Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,1,CHEMBL624322,Intermediate,,,A,N,1,7629,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after iv dose of 5.06 in rats,,1,CHEMBL624323,Intermediate,,,A,N,1,7630,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,1,CHEMBL624324,Intermediate,,,A,N,1,7631,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,1,CHEMBL624325,Intermediate,,,A,N,1,7632,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,1,CHEMBL624326,Intermediate,,,A,N,1,7633,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,1,CHEMBL624327,Intermediate,,,A,N,1,7634,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,1,CHEMBL624328,Intermediate,,,A,N,1,7635,,Rattus norvegicus,,,50597,,15372,10116.0,,,BAO_0000218,
Area under curve was determined in Dogs after peroral administration,,1,CHEMBL627848,Intermediate,,,A,N,1,7636,,Canis lupus familiaris,,,50588,,14169,9615.0,,,BAO_0000218,
Area under curve was determined in Rats after peroral administration,,1,CHEMBL627849,Intermediate,,,A,N,1,7637,,Rattus norvegicus,,,50597,,14169,10116.0,,,BAO_0000218,
Area under curve was determined in carotid blood of rat when administered intradermally,,1,CHEMBL627850,Intermediate,,,A,N,1,7638,,Rattus norvegicus,,,50597,,14258,10116.0,,,BAO_0000218,
Area under curve was determined in portal blood of rat when administered intradermally,,1,CHEMBL627851,Intermediate,,,A,N,1,7639,,Rattus norvegicus,,,50597,,14258,10116.0,,,BAO_0000218,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,1,CHEMBL627852,Intermediate,,,A,N,1,7640,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,1,CHEMBL627853,Intermediate,,,A,N,1,7641,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,1,CHEMBL627854,Intermediate,,,A,N,1,7642,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,1,CHEMBL627855,Intermediate,,,A,N,1,7643,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,1,CHEMBL627856,Intermediate,,,A,N,1,7644,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,1,CHEMBL875339,Intermediate,,,A,N,1,7645,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,1,CHEMBL627857,Intermediate,,,A,N,1,7646,,Mus musculus,,,50594,,15011,10090.0,,,BAO_0000218,
Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,1,CHEMBL627858,Intermediate,,,A,N,1,7647,2106.0,Rattus norvegicus,In vivo,,50597,,11195,10116.0,,Spleen,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,1,CHEMBL627859,Intermediate,,,A,N,1,7648,178.0,Rattus norvegicus,,,50597,,10130,10116.0,,Blood,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,1,CHEMBL627860,Intermediate,,,A,N,1,7649,955.0,Rattus norvegicus,,,50597,,10130,10116.0,,Brain,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,1,CHEMBL627019,Intermediate,,,A,N,1,7650,948.0,Rattus norvegicus,,,50597,,10130,10116.0,,Heart,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,1,CHEMBL627020,Intermediate,,,A,N,1,7651,2107.0,Rattus norvegicus,,,50597,,10130,10116.0,,Liver,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,1,CHEMBL627021,Intermediate,,,A,N,1,7652,2048.0,Rattus norvegicus,,,50597,,10130,10116.0,,Lung,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,1,CHEMBL627022,Intermediate,,,A,N,1,7653,2385.0,Rattus norvegicus,,,50597,,10130,10116.0,,Muscle tissue,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,1,CHEMBL627023,Intermediate,,,A,N,1,7654,,Rattus norvegicus,,,50597,,10130,10116.0,,,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,1,CHEMBL627024,Intermediate,,,A,N,1,7655,2106.0,Rattus norvegicus,,,50597,,10130,10116.0,,Spleen,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,1,CHEMBL627025,Intermediate,,,A,N,1,7656,2046.0,Rattus norvegicus,,,50597,,10130,10116.0,,Thyroid gland,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,1,CHEMBL627026,Intermediate,,,A,N,1,7657,2113.0,Rattus norvegicus,,,50597,,10130,10116.0,,Kidney,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,1,CHEMBL627027,Intermediate,,,A,N,1,7658,178.0,Rattus norvegicus,,,50597,,10130,10116.0,,Blood,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,1,CHEMBL627028,Intermediate,,,A,N,1,7659,955.0,Rattus norvegicus,,,50597,,10130,10116.0,,Brain,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,1,CHEMBL627029,Intermediate,,,A,N,1,7660,948.0,Rattus norvegicus,,,50597,,10130,10116.0,,Heart,BAO_0000218,
In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,1,CHEMBL627030,Intermediate,,,A,N,1,7661,2113.0,Rattus norvegicus,,,50597,,10130,10116.0,,Kidney,BAO_0000218,
