assays_ASI,assays_ASCA,assays_ASTIS,assays_VAI,assays_ASSOR,assays_CHI,assays_DI,assays_ASSTR,assays_Ti,assays_CURAB,assays_ASSTAI,assays_CONFISCO,assays_SRI,assays_SRASI,assays_CEI,assays_BAFOR,assays_TII
19,,,,,CHEMBL615133,10091,,12054,Autocuration,,8,1,,,BAO_0000019,
20,,,,,CHEMBL615134,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
21,,,,,CHEMBL615135,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
22,,,,,CHEMBL615136,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
23,,,,,CHEMBL615137,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
24,,,,,CHEMBL615138,16474,,12054,Autocuration,,8,1,,,BAO_0000357,
25,,,,,CHEMBL836324,14352,,22226,Autocuration,,0,1,,,BAO_0000219,
26,,,,Oryctolagus cuniculus,CHEMBL615139,5646,,12054,Autocuration,9986.0,8,1,,,BAO_0000357,
27,,,,Oryctolagus cuniculus,CHEMBL615140,5646,,12054,Autocuration,9986.0,8,1,,,BAO_0000357,
28,,,,,CHEMBL615141,10997,,12426,Autocuration,,8,1,,,BAO_0000219,
29,,,,soya bean,CHEMBL615142,6309,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
30,,,,Glycine max,CHEMBL615143,167,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
31,,,,Glycine max,CHEMBL615144,167,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
32,,,,Glycine max,CHEMBL872867,11087,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
33,,,,Glycine max,CHEMBL615145,11087,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
34,,,,Glycine max,CHEMBL615146,13622,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
35,,,,Glycine max,CHEMBL615147,13622,,12054,Autocuration,3847.0,8,1,,,BAO_0000357,
36,,,,Rattus norvegicus,CHEMBL615148,11347,,22226,Autocuration,10116.0,0,1,,,BAO_0000019,
37,,,,Escherichia coli,CHEMBL615149,5926,,22226,Autocuration,562.0,0,1,,,BAO_0000019,
38,,,,,CHEMBL615150,4567,,22226,Autocuration,,0,1,,,BAO_0000019,
39,,,,,CHEMBL615151,3782,,22222,Intermediate,,3,1,,,BAO_0000225,
40,,,,,CHEMBL615152,3782,,22222,Intermediate,,3,1,,,BAO_0000225,
41,,,,Escherichia coli,CHEMBL615153,4466,,100263,Expert,562.0,3,1,,,BAO_0000225,
42,,,,Escherichia coli,CHEMBL615154,6592,,100263,Expert,562.0,3,1,,,BAO_0000225,
43,,,,,CHEMBL615155,898,,13053,Autocuration,,8,1,,,BAO_0000019,
44,,,,,CHEMBL615156,898,,13053,Autocuration,,8,1,,,BAO_0000019,
45,,,,Homo sapiens,CHEMBL615157,13163,,20001,Autocuration,9606.0,8,1,,,BAO_0000019,
46,,,,Homo sapiens,CHEMBL615158,13163,,20001,Autocuration,9606.0,8,1,,,BAO_0000019,
47,,,,Rattus norvegicus,CHEMBL615159,10691,,12971,Expert,10116.0,9,1,,,BAO_0000019,
48,,,,Rattus norvegicus,CHEMBL615172,10691,,12971,Expert,10116.0,9,1,,,BAO_0000019,
49,,,,Rattus norvegicus,CHEMBL615173,10691,,12971,Expert,10116.0,9,1,,,BAO_0000019,
50,,,,Rattus norvegicus,CHEMBL615174,10691,,12971,Expert,10116.0,9,1,,,BAO_0000019,
51,,,,,CHEMBL884518,898,,13053,Autocuration,,8,1,,,BAO_0000019,
52,,,,,CHEMBL615175,912,,11512,Autocuration,,8,1,,,BAO_0000357,
53,,,,,CHEMBL615176,912,,11512,Autocuration,,8,1,,,BAO_0000357,
54,,,,,CHEMBL615177,912,,11512,Autocuration,,8,1,,,BAO_0000357,
55,,,,Rattus norvegicus,CHEMBL615178,15103,,104740,Autocuration,10116.0,5,1,,,BAO_0000249,
56,,,,Homo sapiens,CHEMBL615179,5116,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
57,,,,Rattus norvegicus,CHEMBL615180,14578,,104835,Autocuration,10116.0,7,1,,,BAO_0000219,
58,,,,Rattus norvegicus,CHEMBL615181,14578,,104821,Autocuration,10116.0,7,1,,,BAO_0000219,
59,,,,Rattus norvegicus,CHEMBL615182,14578,,104848,Autocuration,10116.0,7,1,,,BAO_0000219,
60,,,,Homo sapiens,CHEMBL615183,4787,,80002,Expert,9606.0,1,1,,506.0,BAO_0000219,
61,,,,Homo sapiens,CHEMBL615184,4787,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
62,,,,Homo sapiens,CHEMBL615185,3547,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
63,,,,Homo sapiens,CHEMBL615186,3547,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
64,,,,Homo sapiens,CHEMBL615187,6726,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
65,,,,Homo sapiens,CHEMBL885343,3455,,80002,Expert,9606.0,1,1,,506.0,BAO_0000219,
66,,,,Homo sapiens,CHEMBL615188,5726,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
67,,,,Homo sapiens,CHEMBL615189,5726,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
68,,,,Homo sapiens,CHEMBL615190,5726,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
69,,,,Homo sapiens,CHEMBL615191,3395,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
70,,,,Homo sapiens,CHEMBL615192,3415,,80002,Expert,9606.0,1,1,,506.0,BAO_0000219,
71,,,,Homo sapiens,CHEMBL827083,3415,,80002,Expert,9606.0,1,1,,506.0,BAO_0000219,
72,,,,Homo sapiens,CHEMBL615193,17099,,80002,Expert,9606.0,1,1,,506.0,BAO_0000219,
73,,,,Homo sapiens,CHEMBL615194,17099,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
74,,,,Homo sapiens,CHEMBL615195,17099,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
75,,,,Homo sapiens,CHEMBL615196,17099,,80002,Intermediate,9606.0,1,1,,506.0,BAO_0000219,
76,,,,Homo sapiens,CHEMBL615197,17721,,81072,Intermediate,9606.0,1,1,,503.0,BAO_0000219,
77,,,,,CHEMBL615198,1229,,22226,Intermediate,,0,1,,,BAO_0000019,
78,,,,Rattus norvegicus,CHEMBL615199,11347,,100121,Expert,10116.0,9,1,,,BAO_0000357,
79,,,,,CHEMBL615200,17117,,11231,Expert,,8,1,,,BAO_0000357,
80,,,,,CHEMBL615201,17117,,11231,Expert,,8,1,,,BAO_0000357,
81,,,,,CHEMBL615202,17117,,11231,Expert,,8,1,,,BAO_0000357,
82,,,,Candida albicans,CHEMBL615203,11375,,11231,Autocuration,5476.0,8,1,,,BAO_0000251,
83,,,,Candida albicans,CHEMBL615204,11375,,11231,Autocuration,5476.0,8,1,,,BAO_0000251,
84,,,,Saccharomyces cerevisiae,CHEMBL615205,11375,,11231,Autocuration,4932.0,8,1,,,BAO_0000251,
85,,,,Saccharomyces cerevisiae,CHEMBL615206,11375,,11231,Autocuration,4932.0,8,1,,,BAO_0000251,
86,,Liver,,Sus scrofa,CHEMBL615207,11375,,12083,Autocuration,9823.0,8,1,,,BAO_0000251,2107.0
87,,,,Rattus norvegicus,CHEMBL827084,791,,11231,Autocuration,10116.0,8,1,,,BAO_0000019,
88,,,,Rattus norvegicus,CHEMBL615208,791,,11231,Autocuration,10116.0,8,1,,,BAO_0000019,
89,,,,Rattus norvegicus,CHEMBL615209,791,,11231,Autocuration,10116.0,8,1,,,BAO_0000019,
90,,Liver,,Rattus norvegicus,CHEMBL615210,11375,,12083,Autocuration,10116.0,9,1,,,BAO_0000251,2107.0
91,,Liver,,Rattus norvegicus,CHEMBL615211,11375,,12083,Autocuration,10116.0,9,1,,,BAO_0000251,2107.0
92,,Liver,,Rattus norvegicus,CHEMBL615212,153,,12083,Autocuration,10116.0,9,1,,,BAO_0000251,2107.0
93,,,,,CHEMBL615213,8269,,11377,Expert,,8,1,,,BAO_0000357,
94,,,,,CHEMBL615273,8269,,11377,Expert,,8,1,,,BAO_0000357,
95,,,,Homo sapiens,CHEMBL615274,17653,,81020,Expert,9606.0,1,1,,726.0,BAO_0000219,
96,,,,Homo sapiens,CHEMBL615275,14277,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
97,,,,Homo sapiens,CHEMBL615276,1717,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
98,,,,Homo sapiens,CHEMBL615277,14091,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
99,,,,Homo sapiens,CHEMBL615326,14091,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
100,,,,Hepatitis B virus,CHEMBL883130,17653,,50606,Expert,10407.0,1,1,,,BAO_0000218,
101,,,,Homo sapiens,CHEMBL884519,13105,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
102,,,,Homo sapiens,CHEMBL615327,1717,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
103,,,,Homo sapiens,CHEMBL615328,13105,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
104,,,,Homo sapiens,CHEMBL615329,13600,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
105,,,,Homo sapiens,CHEMBL615330,13467,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
106,,,,Hepatitis B virus,CHEMBL615331,17477,,50606,Expert,10407.0,1,1,,,BAO_0000218,
107,,,,Homo sapiens,CHEMBL615332,1593,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
108,,,,Homo sapiens,CHEMBL615333,1593,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
109,,,,Homo sapiens,CHEMBL615334,15089,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
110,,,,Homo sapiens,CHEMBL615335,15089,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
111,,,,Homo sapiens,CHEMBL615336,1593,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
112,,,,Homo sapiens,CHEMBL615337,1593,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
113,,,,Homo sapiens,CHEMBL615338,13600,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
114,,,,Homo sapiens,CHEMBL615339,13467,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
115,,,,Homo sapiens,CHEMBL615340,13467,,50587,Intermediate,9606.0,1,1,,,BAO_0000218,
116,,,,Homo sapiens,CHEMBL615341,14764,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
117,,,,Homo sapiens,CHEMBL615342,6531,,22226,Autocuration,9606.0,0,1,,,BAO_0000251,
118,,,,,CHEMBL615343,17322,,22226,Autocuration,,0,1,,,BAO_0000019,
119,,,,Homo sapiens,CHEMBL615344,17072,,80612,Intermediate,9606.0,1,1,,388.0,BAO_0000219,
120,,,,Homo sapiens,CHEMBL615345,16936,,80612,Intermediate,9606.0,1,1,,388.0,BAO_0000219,
121,,,,Homo sapiens,CHEMBL615346,16936,,80612,Intermediate,9606.0,1,1,,388.0,BAO_0000219,
122,,,,Homo sapiens,CHEMBL615347,17146,,80612,Intermediate,9606.0,1,1,,388.0,BAO_0000219,
123,,,,Homo sapiens,CHEMBL615348,17146,,80612,Intermediate,9606.0,1,1,,388.0,BAO_0000219,
124,,,,Homo sapiens,CHEMBL827085,10797,,80613,Intermediate,9606.0,1,1,,561.0,BAO_0000219,
125,,,,Homo sapiens,CHEMBL615349,10797,,80613,Intermediate,9606.0,1,1,,561.0,BAO_0000219,
126,,,,Homo sapiens,CHEMBL615350,10797,,80614,Intermediate,9606.0,1,1,,389.0,BAO_0000219,
127,,,,Homo sapiens,CHEMBL615351,10797,,80614,Intermediate,9606.0,1,1,,389.0,BAO_0000219,
128,,,,Homo sapiens,CHEMBL615352,4823,,100256,Expert,9606.0,2,1,,,BAO_0000220,
129,,,,Homo sapiens,CHEMBL615353,12912,,100256,Intermediate,9606.0,2,1,,,BAO_0000220,
130,,,,,CHEMBL615354,2957,,100256,Expert,,2,1,,,BAO_0000220,
131,,,,,CHEMBL615355,2957,,100256,Expert,,2,1,,,BAO_0000220,
132,,,,,CHEMBL615356,3260,,100256,Intermediate,,2,1,,,BAO_0000220,
133,,,,Homo sapiens,CHEMBL615357,3451,,22226,Autocuration,9606.0,0,1,,,BAO_0000019,
134,,,,Homo sapiens,CHEMBL615358,13885,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
135,,,,Homo sapiens,CHEMBL827086,13885,,81020,Intermediate,9606.0,1,1,,726.0,BAO_0000219,
136,,,,,CHEMBL615359,3676,,22226,Autocuration,,0,1,,,BAO_0000019,
137,,,,,CHEMBL615360,6043,,235,Autocuration,,8,1,,,BAO_0000357,
138,,Heart,,Rattus norvegicus,CHEMBL615361,11140,,22226,Autocuration,10116.0,0,1,,,BAO_0000218,948.0
139,,,,,CHEMBL615362,10543,,19640,Autocuration,,8,1,,,BAO_0000019,
140,,,,,CHEMBL615363,10543,,19640,Expert,,8,1,,,BAO_0000019,
141,,,,,CHEMBL615364,10543,,19640,Autocuration,,8,1,,,BAO_0000357,
142,,,,,CHEMBL615365,10543,,19640,Expert,,8,1,,,BAO_0000019,
143,,,,Mus musculus,CHEMBL615366,11365,,80360,Intermediate,10090.0,1,1,,524.0,BAO_0000219,
144,,,,Mus musculus,CHEMBL615367,11365,,80360,Intermediate,10090.0,1,1,,524.0,BAO_0000219,
145,,,,Homo sapiens,CHEMBL615368,11803,,80384,Intermediate,9606.0,1,1,,554.0,BAO_0000219,
146,,,,Ovis aries,CHEMBL615369,11803,,22226,Autocuration,9940.0,0,1,,,BAO_0000019,
147,,,,Ovis aries,CHEMBL615370,11803,,22226,Autocuration,9940.0,0,1,,,BAO_0000019,
148,,,,,CHEMBL615673,12278,,191,Autocuration,,8,1,,,BAO_0000357,
149,,,,Homo sapiens,CHEMBL615674,8249,,22226,Autocuration,9606.0,0,1,,,BAO_0000019,
150,,,,Homo sapiens,CHEMBL615675,8249,,22226,Autocuration,9606.0,0,1,,,BAO_0000019,
151,,,,Homo sapiens,CHEMBL615676,8249,,22226,Autocuration,9606.0,0,1,,635.0,BAO_0000219,
152,,,,Homo sapiens,CHEMBL615677,8249,,22226,Autocuration,9606.0,0,1,,635.0,BAO_0000219,
153,,,,Homo sapiens,CHEMBL615678,8249,,22226,Autocuration,9606.0,0,1,,635.0,BAO_0000219,
154,,,,Homo sapiens,CHEMBL615679,8249,,22226,Autocuration,9606.0,0,1,,635.0,BAO_0000219,
155,,,,Homo sapiens,CHEMBL615680,8249,,22226,Autocuration,9606.0,0,1,,,BAO_0000019,
156,,,,Homo sapiens,CHEMBL615681,8249,,22226,Autocuration,9606.0,0,1,,,BAO_0000019,
157,,,,,CHEMBL857972,16992,,104290,Autocuration,,6,1,,,BAO_0000249,
158,,,,Streptococcus pyogenes,CHEMBL857899,10543,,50264,Intermediate,1314.0,1,1,,,BAO_0000218,
159,,,,Human herpesvirus 3,CHEMBL615371,17833,,50527,Intermediate,10335.0,1,1,,,BAO_0000218,
160,,,,vericilla zoster virus,CHEMBL615372,17290,,50527,Expert,10335.0,1,1,,468.0,BAO_0000218,
161,,,,vericilla zoster virus,CHEMBL615373,17290,,50527,Intermediate,10335.0,1,1,,,BAO_0000218,
162,,,,vericilla zoster virus,CHEMBL615374,17290,,50527,Intermediate,10335.0,1,1,,,BAO_0000218,
163,,,,escherichia cloac,CHEMBL615375,10932,,50145,Intermediate,561.0,1,1,,,BAO_0000218,
164,,,,,CHEMBL615376,9707,,22226,Autocuration,,0,1,,,BAO_0000019,
165,,,,Candida albicans,CHEMBL615377,2346,,11143,Expert,5476.0,8,1,,,BAO_0000249,
166,,,,Candida glabrata CBS 138,CHEMBL615378,2205,,18077,Expert,284593.0,8,1,,,BAO_0000357,
167,,,,Homo sapiens,CHEMBL615379,11900,,80609,Intermediate,9606.0,1,1,,832.0,BAO_0000219,
168,,,,Rattus norvegicus,CHEMBL615380,14864,,12166,Expert,10116.0,9,1,,,BAO_0000219,
169,,,,Glycine max,CHEMBL615381,16474,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
170,,,,Glycine max,CHEMBL615382,16474,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
171,,,,Glycine max,CHEMBL615383,16474,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
172,,,,Glycine max,CHEMBL615384,16474,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
173,,,,Glycine max,CHEMBL615385,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
174,,,,Glycine max,CHEMBL615386,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
175,,,,Glycine max,CHEMBL615387,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
176,,,,Glycine max,CHEMBL615388,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
177,,,,Glycine max,CHEMBL615214,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
178,,,,Glycine max,CHEMBL827087,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
179,,,,Glycine max,CHEMBL615215,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
180,,,,Glycine max,CHEMBL615216,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
181,,,,Glycine max,CHEMBL615217,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
182,,,,Glycine max,CHEMBL615218,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
183,,,,Glycine max,CHEMBL615219,3094,,100171,Autocuration,3847.0,9,1,,,BAO_0000357,
184,,,,Mus musculus,CHEMBL615220,10413,,22226,Autocuration,10090.0,0,1,,,BAO_0000019,
185,,,,Mus musculus,CHEMBL615221,16929,,80049,Intermediate,10090.0,1,1,,294.0,BAO_0000219,
186,,,,,CHEMBL615222,1229,,22226,Intermediate,,0,1,,,BAO_0000019,
187,,,,,CHEMBL615223,16587,,11489,Autocuration,,8,1,,,BAO_0000357,
188,,,,,CHEMBL615224,16587,,11862,Autocuration,,8,1,,,BAO_0000357,
189,,,,,CHEMBL615225,16587,,11862,Autocuration,,8,1,,,BAO_0000357,
190,,,,,CHEMBL615226,16587,,11489,Autocuration,,8,1,,,BAO_0000357,
191,,,,,CHEMBL615227,16587,,11862,Autocuration,,8,1,,,BAO_0000357,
192,,,,Bos taurus,CHEMBL615228,8058,,12347,Expert,9913.0,9,1,,,BAO_0000019,
193,,,,Rattus norvegicus,CHEMBL615229,9065,,100120,Expert,10116.0,9,1,,,BAO_0000357,
194,,Adrenal gland,,Rattus norvegicus,CHEMBL615230,8865,,100120,Expert,10116.0,9,1,,,BAO_0000357,2369.0
195,,,,Rattus norvegicus,CHEMBL615231,9066,,100120,Expert,10116.0,9,1,,,BAO_0000357,
196,,,,Rattus norvegicus,CHEMBL884520,8394,,100120,Expert,10116.0,9,1,,,BAO_0000357,
197,,,,Rattus norvegicus,CHEMBL615232,8394,,100120,Expert,10116.0,9,1,,,BAO_0000357,
198,,,,,CHEMBL615233,6431,,10328,Autocuration,,8,1,,,BAO_0000019,
199,,,,,CHEMBL827088,6431,,11490,Autocuration,,8,1,,,BAO_0000357,
200,,,,,CHEMBL615234,6431,,11490,Autocuration,,8,1,,,BAO_0000357,
201,,,,,CHEMBL615235,9295,,11134,Autocuration,,8,1,,,BAO_0000019,
202,,,,,CHEMBL615236,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
203,,,,,CHEMBL615237,13622,,11134,Autocuration,,8,1,,,BAO_0000019,
204,,,,,CHEMBL615238,12079,,11134,Autocuration,,8,1,,,BAO_0000019,
205,,,,,CHEMBL615239,13622,,11134,Autocuration,,8,1,,,BAO_0000019,
206,,,,Homo sapiens,CHEMBL615240,12079,,11134,Autocuration,9606.0,9,1,,,BAO_0000019,
207,,,,,CHEMBL615241,13500,,11835,Expert,,8,1,,,BAO_0000019,
208,,,,,CHEMBL615242,13723,,11601,Expert,,8,1,,,BAO_0000357,
209,,,,,CHEMBL615243,16474,,11134,Autocuration,,8,1,,,BAO_0000019,
210,,,,,CHEMBL615244,1630,,11134,Autocuration,,8,1,,,BAO_0000019,
211,,,,,CHEMBL615245,167,,11134,Autocuration,,8,1,,,BAO_0000019,
212,,,,,CHEMBL615246,16474,,11134,Autocuration,,8,1,,,BAO_0000019,
213,,,,,CHEMBL615247,167,,11134,Autocuration,,8,1,,,BAO_0000019,
214,,,,,CHEMBL615248,16474,,11134,Autocuration,,8,1,,,BAO_0000019,
215,,,,,CHEMBL615249,10091,,11601,Autocuration,,8,1,,,BAO_0000357,
216,,,,,CHEMBL615250,11966,,11601,Autocuration,,8,1,,,BAO_0000357,
217,,,,,CHEMBL615251,951,,12052,Autocuration,,8,1,,,BAO_0000019,
218,,,,,CHEMBL615252,10997,,12052,Autocuration,,8,1,,,BAO_0000019,
219,,,,,CHEMBL828340,10193,,12052,Expert,,8,1,,,BAO_0000019,
220,,,,,CHEMBL615253,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
221,,,,,CHEMBL615254,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
222,,,,,CHEMBL615255,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
223,,,,,CHEMBL615256,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
224,,,,,CHEMBL615257,10193,,12052,Autocuration,,8,1,,,BAO_0000019,
225,,,,,CHEMBL615258,11087,,12052,Autocuration,,8,1,,,BAO_0000019,
226,,,,Homo sapiens,CHEMBL615259,15569,,80007,Intermediate,9606.0,1,1,,621.0,BAO_0000219,
227,,,,Homo sapiens,CHEMBL615260,12989,,80007,Expert,9606.0,1,1,,621.0,BAO_0000219,
228,,,,Homo sapiens,CHEMBL615261,16745,,80007,Intermediate,9606.0,1,1,,621.0,BAO_0000219,
229,,,,Homo sapiens,CHEMBL615262,15569,,80007,Intermediate,9606.0,1,1,,621.0,BAO_0000219,
230,,,,Homo sapiens,CHEMBL615263,12989,,80007,Expert,9606.0,1,1,,621.0,BAO_0000219,
231,,,,Homo sapiens,CHEMBL838393,12989,,80007,Expert,9606.0,1,1,,621.0,BAO_0000219,
232,,,,Homo sapiens,CHEMBL615264,16745,,80007,Intermediate,9606.0,1,1,,621.0,BAO_0000219,
233,,,,Homo sapiens,CHEMBL615265,6210,,84,Expert,9606.0,9,1,,,BAO_0000357,
234,,,,Homo sapiens,CHEMBL615266,6210,,68,Expert,9606.0,9,1,,,BAO_0000357,
235,,,,,CHEMBL615267,6226,,68,Expert,,8,1,,,BAO_0000357,
236,,,,,CHEMBL615268,17855,,10201,Expert,,8,1,,,BAO_0000357,
237,,,,,CHEMBL615269,17855,,10201,Expert,,8,1,,,BAO_0000357,
238,,,,,CHEMBL615270,17855,,10201,Expert,,8,1,,,BAO_0000357,
239,,,,,CHEMBL615271,10413,,12220,Autocuration,,8,1,,,BAO_0000357,
240,,,,Escherichia coli,CHEMBL615272,10413,,11303,Autocuration,562.0,8,1,,,BAO_0000357,
241,,,,Escherichia coli,CHEMBL615103,10413,,11303,Autocuration,562.0,8,1,,,BAO_0000357,
242,,,,Escherichia coli,CHEMBL615104,10413,,11303,Autocuration,562.0,8,1,,,BAO_0000357,
243,,,,,CHEMBL615105,10413,,12220,Autocuration,,8,1,,,BAO_0000357,
244,,,,,CHEMBL872866,10413,,12220,Autocuration,,8,1,,,BAO_0000357,
245,,,,Sus scrofa,CHEMBL615106,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000357,
246,,,,Sus scrofa,CHEMBL615107,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
247,,,,Sus scrofa,CHEMBL615108,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000357,
248,,,,Sus scrofa,CHEMBL615109,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000357,
249,,,,Sus scrofa,CHEMBL615110,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000357,
250,,,,Sus scrofa,CHEMBL840105,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
251,,,,Sus scrofa,CHEMBL615111,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
252,,,,Sus scrofa,CHEMBL615112,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
253,,,,Sus scrofa,CHEMBL615113,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
254,,,,Sus scrofa,CHEMBL615114,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
255,,,,Sus scrofa,CHEMBL615115,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000357,
256,,,,Sus scrofa,CHEMBL615116,7587,,11303,Autocuration,9823.0,8,1,,,BAO_0000019,
257,,,,,CHEMBL615698,7323,,11303,Autocuration,,8,1,,,BAO_0000357,
258,,,,Sus scrofa,CHEMBL615699,7587,,22226,Autocuration,9823.0,0,1,,,BAO_0000019,
259,,,,Sus scrofa,CHEMBL615700,7587,,22226,Autocuration,9823.0,0,1,,,BAO_0000019,
260,,,,Saccharomyces cerevisiae,CHEMBL615701,13750,,100249,Expert,4932.0,8,1,,,BAO_0000357,
261,,,,Rattus norvegicus,CHEMBL615702,7662,,22226,Autocuration,10116.0,0,1,,,BAO_0000019,
262,,,,Rattus norvegicus,CHEMBL615703,7662,,22226,Autocuration,10116.0,0,1,,,BAO_0000019,
