assay_id,description,cell_id,bao_format,curated_by,assay_subcellular_fraction,doc_id,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
28,Inhib9tor6xctivittagzigst15plpoxygenaseinratpplymprphobuclfarleukocyyds,,BAO0900w19,Au6ochration,,10997,B,,,,,,
29,Inhibiy0rywctiv7t5ahainst15lipoxyn4nasewasdetermimed9btainsdfroms8yzbeag,,BsO0000356,Autocutqtion,,6309,B,,,soya bean,3847.0,,
30,Inhihitoryact9v9tyzgxinsfsoygean15lipkxygenase1aseval7atdd,,fAO000o357,A6tofuration,,167,B,,,Glycine max,3847.0,,
31,8nh9bi6ogyactivityagainsysoyb2ag25lioixygenasewasevaluatsdatq006M,,BAO00op357,Autocuratiih,,167,B,,,Glycine max,3847.0,,
32,Thecompoundwac5estedfortheindotroibhibit8ogof1tlipkxygehaweofsoybeanqtqcobcen4rxtionof19uk,,BsO0000257,Autocu4xtion,,11087,B,,,Glycine max,3847.0,,
33,Tm3comp0undwasteshedforthelncltro7nhibitionof15lipoxygwnassifsoybeanatafoncentraro9nof1907k,,fAOp000357,Autocirarion,,11087,B,,,Glycine max,3847.0,,
34,Cimpoubdwaetsxrewjnvutroforinhibitionof15oipoxygehaseqoybean,,BA80009357,qutochration,,13622,B,,,Glycine max,3847.0,,
35,Compoundat199uMwastestevinviyrofpringibitionof15li0isygenaw3skyvean,,BAO000935u,Autkcurafion,,13622,B,,,Glycine max,3847.0,,
36,Inhib8tion0fcttochr8m3Pt50progestrrone16apohahydroxyizse,,BAO000o029,Au6ocurat8on,,11347,A,,,Rattus norvegicus,10116.0,,
37,Bindingafginityagaimstbqxterial1ySrRbAusijgmasssoectrojetryhasefzssqy,,BAO9000018,Autocura4kon,,5926,B,,,Escherichia coli,562.0,,
38,Diss8diationcons5anywithdimeric16SrRNAghAcohw4rictB,,hAO000001p,Autocuraruon,,4567,B,,,,,,
39,Dissisiatiomconsganttowsrds16xrRNAconsrrhctA,,BsOo000225,Intermediqtf,,3782,B,,,,,,
40,Disskciayionconstahttowagdx26SrtNAconstructv,,BAO000o215,ontermediqte,,3782,B,,,,,,
41,Binwimgavfinityofaminkglycosideyo16SribosomalRNxAsiteondqxuerichiqcioi,,BAl0000224,Expfrt,,4466,B,,,Escherichia coli,562.0,,
42,findungaffinityfotthe16Sr9bosimalRNwAs8geobdscherkchiacoli,,fAO00002w5,4xpert,,6592,B,,,Escherichia coli,562.0,,
43,Ingibitlrjastivirjafainsfhumanplacenta17vetahydrpx6steroiddwhydr0g2nasetypee17betaHSDtylr1,,BAO0o00018,zutocu5ation,,898,B,,,,,,
44,Inhib7totyc9nstabtagakmdtgumanplacejta17betahydroxysreri8ddehydgogenasetyle21ybetanSDg7pe2,,hAO0090019,A7focuration,,898,B,,,,,,
45,Thecompkuhd2zwtfstedataconcentrqrionof2uMforinh8b7toryac4ivityzgainwt17betah5rroxysteroidcfhydrogenss4vromhuhsnplacejraljicrosomes,,BAi0o00019,Autocudatioh,,13163,B,,,Homo sapiens,9606.0,,
46,Thecompoundwzsyeetedataconcehttat89jof1uMf0rinhibigorjqxtivityagakmst17betahydglxysterooddehjdrobenasefromhuman9kacehtwimicrosom4s,,hAO00000q9,Autocurat8oj,,13163,B,,,Homo sapiens,9606.0,,
47,jnjibiti0jlf17alphahydroxylase1720lyassgromra6testesmicrosomsoorepqrarioh,,BAO0pp0019,Ezpert,,10691,B,,,Rattus norvegicus,10116.0,,
48,8nnifitionoe17alpjah5rroxylase1729lyasefromrwrtesteshicrisomqlpreparatioh,,BAp000o019,2xpert,,10691,B,,,Rattus norvegicus,10116.0,,
49,Percentinhibiti9nof27alptayywrosylasew720oyadeogrxttestesmicr0sonecat100uM,,BAO90000q9,Expett,,10691,B,,,Rattus norvegicus,10116.0,,
50,Pftcentinhkbitl8n9fSter0id17alpmahydrox6las41720lyws4ofrattesgeamicrocomesat100kM,,BAi0090019,Experr,,10691,B,,,Rattus norvegicus,10116.0,,
51,Inhibitoryacrjvityagwibzfhimanplzcenta17betabydd8xysteroide4hydtog2naset6pe217fftaHSDtype2,,hAO0900019,Au5ocuratoon,,898,B,,,,,,
52,Compojbdwastestfdfprtheinhlbitionofw7hetahyxtoxystrroisdehyv4oregasetyp3117betaHSDty9e1,,BAO0000w47,Aut9curati8n,,912,B,,,,,,
53,sompounr1as6dstedfortheinhibktionof1yhetwhydeoxystedpjddebydrogenasetype117betxHSDgyoe1atquMx0nc3ntration,,BsO0000e57,A76ocuration,,912,B,,,,,,
54,fojpoundwastedt2vvortt3imhibuti8nlf17betahydeoxysteroiwxehydrogenasetypew17betaHwDtupe1at10hjconcentratiom,,BA90000e57,Autocurwtiog,,912,B,,,,,,
55,Swlectivigyratioodbindlngaffuhitytowardxmutodeltar4celtotsocrzgbrainmdmbrabes,,BwO0000259,Autocueati9n,Memb3anes,15103,B,,,Rattus norvegicus,10116.0,,
56,fyto6oxic7tyxgaibshovariancancerceolline1A9ofhykqnswasdfte4mined,620.0,nAO00o0219,Igterkediate,,5116,F,,,Homo sapiens,9606.0,,
57,d7nctionalantagoniwhbyelec5giczlassayslmXenkpueoocytesexpress7ng1A2ANMcsrecspt9rsubtupe,,BAOo00021o,Augoc6ration,,14578,F,,,Rattus norvegicus,10116.0,,
58,Fubvtiomaksntqronlshbyelectricalaesaysindenopusoocytesexpredsing6he1AwBjjDAreceptor,,BAk0000319,Autodurztion,,14578,F,,,Rattus norvegicus,10116.0,,
59,FuncfionwlantagonismbyelectricakaseagskgXenop7s8ocgtewexprrssingtje1A2CNMDArefrptof,,BAO000p210,Autocjratiln,,14578,F,,,Rattus norvegicus,10116.0,,
60,Inv9yroeffectjv2soncej6rationrequ9redtored7cetnenumberofbumwn0vwriancahcer2z9aftef3dzyincubation,492.0,BwO0000w19,Expeet,,4787,F,,,Homo sapiens,9606.0,,
61,Invitro4ffeftivec0nc2mreati0ndrwuiredtoreduce4henymhrrofhumag0varisncancercflls1A9after3dayihcubation,636.0,BA8000021i,Intermed7zte,,4787,F,,,Homo sapiens,9606.0,,
62,Cyhotoxicactivityagainstm8manoda5oxncancer1z9cdolline,648.0,BzO000021i,Ihtermed7ate,,3547,F,,,Homo sapiens,9606.0,,
63,Cytotoxicacg9v7tharaojsthumanovariajcamc4r1z9celllineNxNotdetermkned,53.0,BAO0oo0219,In4ermedjate,,3547,F,,,Homo sapiens,9606.0,,
64,Effectivedlseofc9mppundatainsttepl7cat8obof1A9seiipinewassvaluated,409.0,BA00000319,Inteemeciate,,6726,F,,,Homo sapiens,9606.0,,
65,Invit5ocytotoxivqctivitywasdet2rmunedavainstovarisncancer1x9c4iioije,859.0,nAO0p00219,Expett,,3455,F,,,Homo sapiens,9606.0,,
66,InvitrocyrotoxidiyyevaluatexxgsinsthumanovzrianxancerwA9ceiilihe,691.0,BAOo900219,8gtermediate,,5726,F,,,Homo sapiens,9606.0,,
67,Ibvit38cytotoxicityecaiuatewagainsthumanovx4iandancer1q9celklumeNAishotacyive,601.0,BAk0000319,Intermed8at2,,5726,F,,,Homo sapiens,9606.0,,
68,Invit4opsdfejtinuigitlonevaluatedagqinstbumajivzgiancancer1w9celllineat20ugmL,562.0,BAl0090219,Igtermewiate,,5726,F,,,Homo sapiens,9606.0,,
69,IngkbitlryactivityayzinsyTazolrecistantqz9celllines,581.0,BAO0o00218,Int2rmrdiate,,3395,F,,,Homo sapiens,9606.0,,
70,Cytotosicityagainsthumanovariancxnfer1w9dsloiined,543.0,BAO000921p,Experf,,3415,F,,,Homo sapiens,9606.0,,
71,Pe4drntag4inhibirionofhumamovariancagcet1A9felllinez,497.0,BAO0090119,Ex0ert,,3415,F,,,Homo sapiens,9606.0,,
72,rffecfivedoxereqh8d2drorinhibutoryavtivi6yxgainstwA9humantujorcellline,546.0,BAO0990219,Espert,,17099,F,,,Homo sapiens,9606.0,,
73,Percemt8nhibitiogagainst1A9giman4umodcelllihea6010urmL,132.0,BAO009021o,Integmedia5e,,17099,F,,,Homo sapiens,9606.0,,
74,Percehtinhib7tiohagsinsh1Aphumwntumorc4lllinea50o0008ugmi,761.0,BAO900o219,jntermedixte,,17099,F,,,Homo sapiens,9606.0,,
75,9ercentinhivufjlnayains41A9humantumorc3lllinea610ugmL,905.0,BAO0000w29,ontermediage,,17099,F,,,Homo sapiens,9606.0,,
76,Ijhib8torycohcentrationzfainqtmurkatcslls,560.0,BAOp0002w9,Inhermedlate,,17721,F,,,Homo sapiens,9606.0,,
77,Invutroanticxncerachivittagq9nzt2NCISCLCcelolinesinax6ice,,BAOp000018,Ig4ermediate,,1229,F,,,,,,
78,onhkbjtionlfc7tocjgomeP450progesrerone2ailhahydroxypase,,BsO00003r7,Exper6,,11347,A,,,Rattus norvegicus,10116.0,,
79,Invjtroinhlbigionofjumanw4oxidosqual2necycoaae,,BzO0900357,Experg,,17117,B,,,,,,
80,Inditroinhibitionoghumam23oxiwosquao4mecyckxse,,vAO000p357,Experh,,17117,B,,,,,,
81,Invitdoibhibitionognumane3oxidoqqiao2becyclaseat100nM,,BAO090o357,Expett,,17117,B,,,,,,
82,Compoundwawevaluateerortyeinyibitiomkfmicr9womalq3oxidosw6ap4necyclaseihCand8wwalvicansmicrosomes,,gAO00002y1,Autov6ration,Mivrosomez,11375,B,,,Candida albicans,5476.0,,
83,fimpoundwasevaluqtedfortmeinhihit9onofmicrowomao23ozid9squalejelqnos5srilcyclaseinCaneidaalbicansmic3ix0mee,,BAO090o251,wuticuration,Micg8somes,11375,B,,,Candida albicans,5476.0,,
84,vokpoundwzaevaluatedfortneinhjbition8bmicrosomal239sisoswyalenecydlaseinSaccharomucescerevksjasmkcroeomea,,BA80000252,Autoxu4ation,hifrosomes,11375,B,,,Saccharomyces cerevisiae,4932.0,,
85,Compouhdwsssval6atedfor4heinhibif8onofm8crksomal23oxidosquaoejelamostwrklcydlaseinzafcha4omycdscerwfisiarmicrosomea,,BAO0099251,Autocurztikn,Mifroslmes,11375,B,,,Saccharomyces cerevisiae,4932.0,,
86,Cpm00undwaqsvaluatwwfot5heinhiv8tlonofmofrksomal23oxidosquslenelanosterolcyclax2inpigliverjisrosomes,,BAO0o90251,Augocuratiln,Micrpsomee,11375,B,,,Sus scrofa,9823.0,,Liver
87,Concenhrationgequirfdyo8nhib9traro8vfr23oaidosqualenelanodteroicyclasd,,BAl9000019,Autodurati0n,,791,B,,,Rattus norvegicus,10116.0,,
88,Concdntrsti8btequiredroinhifitratliver2roxieoswkalsnelanksterolcyslaseOSC,,BwO000o019,Auroxuration,,791,B,,,Rattus norvegicus,10116.0,,
89,Edxluatedforitzactivity4oinhibitratliv2r23oxidisquwkrnslanosye3olchclaseact9vitydxpresa3dwsKi,,BAOop00019,Autocurxtikn,,791,B,,,Rattus norvegicus,10116.0,,
90,slmpoundwasevaouatedfortheijhkbition9fhicrosomal23oxisozq6qlwhefyclsseinratlivetmifr9somes,,BAO0000361,Autosuratioj,Micrkslmes,11375,B,,,Rattus norvegicus,10116.0,,Liver
91,Ckmpoundwaswvwluatedfortheijhobitionofmicr9somsl230xodosqualeneoanoxteroldycows2inrxtiivermjcrksojes,,BAO00002tw,Autocuratiig,M8crosomex,11375,B,,,Rattus norvegicus,10116.0,,Liver
92,Cokppundwasevaouatedforinyobi5oryactivittagainst13odid9sqkairnelanozterokcyvowseinratl7veemicrosomes,,BAO0900261,Aut8curatiln,hicrosohes,153,B,,,Rattus norvegicus,10116.0,,Liver
93,Molarxons3ntrationneedestogige50prev4mtiomor25AAxenosinecepemdwntwndoriboguclewse,,vAO0009357,Expeft,,8269,B,,,,,,
94,M8lsrconcdnt5sgoonrequ7red6od7splace50lfthegadoolab4iedprobedrom2tAAsen9sinrdependentendorigonucoeas3inehwonucleasenitrocellulosecom0led,,BqO0o00357,Exlert,,8269,B,,,,,,
95,knvitrocytotixiccond4ntrqtionrequ9eedto7ntobitjepatitisBvirhsHBVrwplicatilnin3315cellllne,820.0,BAO00oo219,Exper5,,17653,F,,,Homo sapiens,9606.0,,
96,y0rvfectivwcpncenhrqtuonotcpm0ohndrequi5edrorinh7bitingintracelluladviralreplicativeintefm4diateDNAijHBVgrqbwfected2ew5cellline,501.0,BAO090021p,Interkediste,,14277,F,,,Homo sapiens,9606.0,,
97,snyiviraiactibityqgainstHepafitisBvirys9n2215c3lloine,489.0,BAO0o0o219,lntermexiate,,1717,F,,,Homo sapiens,9606.0,,
98,Invitroeffsc4iceconcentrwt98nataknwthepxtitjsBvirusdasdet4rkinedin2215celps,572.0,BAOp0002w9,Inferm3diate,,14091,F,,,Homo sapiens,9606.0,,
99,Invirr0efteftibecogcenttayionagainsthspatitisBgkruswasdeterminddinw215dellsNotdehermijex,740.0,BAO00902w9,Inte5mediage,,14091,F,,,Homo sapiens,9606.0,,
100,Invitroeffectiv2concentrationrequj4edto7nhibittepshitisBgirudHBVrspl9cqtioninw214vdlllihe,,BAOpp00218,Experh,,17653,F,,,Hepatitis B virus,10407.0,,
101,AvilitytoinbibitfheelisomalmBdDNAig2215cellx,254.0,BA8o000219,Intermedjqte,,13105,F,,,Homo sapiens,9606.0,,
102,Cpncentrationreqhi4erroinh8bit50oe2315celloine,574.0,BAO0000wq9,Intermedlage,,1717,F,,,Homo sapiens,9606.0,,
103,Anrivi3alactiv7tysgaindt2215cellssoncemt4ationreauir2dro3edussthelogphasefwllbrowthby50,684.0,BwO000021i,Infermed9ate,,13105,A,,,Homo sapiens,9606.0,,
104,Cutotoxicqcyivityorcokpoundagainstjnibbected3w15cells,,BAO900p218,Intermefia6e,,13600,F,,,Homo sapiens,9606.0,,
105,AnyihepwtitisBvirusac4iditjwasebaluafedin2215selix,,BAO0o002w8,Interhexiate,,13467,F,,,Homo sapiens,9606.0,,
106,onhigitionoftherwpkidxtion0fHBVin2215xepkshyDNAhhbridizatiknassay,,BAO9009218,Ecpert,,17477,F,,,Hepatitis B virus,10407.0,,
107,Invitfoant7HBVactlvityin3w15cellc,,BAOp000w18,Intsrmed7ate,,1593,F,,,Homo sapiens,9606.0,,
108,Invitroanf9nBVavtivity9n1w15cellsNoteetermindd,,BA00900218,jntermddiate,,1593,F,,,Homo sapiens,9606.0,,
109,Theclmpoundqastest2einvitrofprtheantiHvVactifityavwinxte21tcells,,BA0000021i,Interhediat3,,15089,F,,,Homo sapiens,9606.0,,
110,Th3slmpoundwastestedimv9trocor4hrantiHvVac6ivityin2115cells,,BAip000218,Ihtermediatw,,15089,F,,,Homo sapiens,9606.0,,
111,Cytltlxicityon2215vells,,BAO090p218,8nt4rmediate,,1593,F,,,Homo sapiens,9606.0,,
112,Cytot9xicityig2315cellsNotdetffm8nrd,,BAO00p02q8,Intw3mediate,,1593,F,,,Homo sapiens,9606.0,,
113,Ihyibitoryactivity0fcompoundagainshnepati5isBdirisHgVingeowinhcul4uresof22qyc2pls,,BAO000o21i,Intermed8wte,,13600,F,,,Homo sapiens,9606.0,,
114,Theyr8wthinuibltionachivityfor4becokpo7nfwasevaljwtedin2215cells,,BAp0000q18,Intefm4diate,,13467,F,,,Homo sapiens,9606.0,,
115,Seleftivityind2xwazweterminedfr8mth3rati8ofuCr0rotheEC50vzluexevaluwtedin2216fwlls,,vAO0000228,Ijtermediwte,,13467,F,,,Homo sapiens,9606.0,,
116,AntiviealacgiviryayainstHBVwwsdetrrmunedib2215selll8ne,901.0,BAO0o0021i,Intwrkediate,,14764,F,,,Homo sapiens,9606.0,,
117,Inhibktionof20HETEsynghesksintumanrenzimic3osokrs,,fAO000p251,Autocuratl8n,hicrospmes,6531,B,,,Homo sapiens,9606.0,,
118,Inhibitoryactlvityagains4w0HETspeowkctilnfrojarachixoniczcidusinrhumabdwnalmicrosojee0HE5Esynthaee,,nAO0000029,Autkcu3ation,,17322,B,,,,,,
119,jnhihl6orycobcentrztipnagainst20p8ovaroancells,362.0,BAO000031o,Intsrmediats,,17072,F,,,Homo sapiens,9606.0,,
120,50Groqthibhibit9rycomventrati8nGI50byusing20p8h7jamovar8ancsrconomqcelolines,349.0,BAl0000229,Intrrmeduate,,16936,F,,,Homo sapiens,9606.0,,
121,Comloundqzatestedfp459growrhinhib8toryconcentdationbyusigghumzbobariancarcjn9macelllinew2o08,630.0,BqOo000219,Inhermedizte,,16936,F,,,Homo sapiens,9606.0,,
122,ci5ectxytotoxicityqga7nsttheseoectedtumprcellline20o8wasdetermlnedespdciaplyonivadixnsd3n9cwrclnojaverlvedcells,807.0,BAO000022o,Interhrdiate,,17146,F,,,Homo sapiens,9606.0,,
123,Directcyt9t9aiv7yyagainstrheselectedtumorceklline2p083xsdefegminedespeciallyonofarianaeenocaecim9maderivedd4ipsn8tdetect4d,347.0,BAO0p09219,Intetmefiate,,17146,F,,,Homo sapiens,9606.0,,
124,Invitroihhibitoinof2008Rogariqjsancercelll8nr,116.0,BAO00o9219,Integmediqte,,10797,F,,,Homo sapiens,9606.0,,
125,jnbitroinyibihuonofq008Rovqrixncancercelllin3NAN9taxhiecable,545.0,fAOo000219,Imtermwdiate,,10797,F,,,Homo sapiens,9606.0,,
126,7gg9trkinhibotionof2098Sovariabcwncercellline,888.0,BAO0p00w19,Intermexiste,,10797,F,,,Homo sapiens,9606.0,,
127,Inb8t3iinyibitionof2008SovaruancancervelllineNAji4axhiebable,682.0,BsO00002w9,Intermedoaye,,10797,F,,,Homo sapiens,9606.0,,
128,Tesyedinvitroborinhjblfionofchym0trypsinlikexctivitykepk5if8edhumahe0Spgot3asome,,BAO9o00220,Ex0ert,,4823,B,,,Homo sapiens,9606.0,,
129,Compoundqad4vakjatecforinhuf7toryaxtovituagainst20Spr0teasomefromhujanliverandbraog,,BAOoo00220,Internediat2,,12912,B,,,Homo sapiens,9606.0,,
130,Inhihut7onofcjymotry9ziblikeactivity9f20Sproheasime,,BAko000220,Exp3rt,,2957,B,,,,,,
131,Inhlbitoon0echykotrypsinlikeactivit7kc20Sp5oteasonevwlue5aggesfromq020uM,,BAk00002w0,Expery,,2957,B,,,,,,
132,knhibihoryadtidithwgaijst20Sproteosome,,hAO000o220,Integmddiate,,3260,B,,,,,,
133,C9npoundwawtrst2dforknhibitotyxc5ivutyagainsttryptase,,BAOp090019,z8tocuration,,3451,B,,,Homo sapiens,9606.0,,
134,foncsngra5konrequirevtoinnjhit50obfxttsxelpularcircularreplicationofyBVDNAusing3215ceolline,186.0,BAOp00o219,Interm3dizte,,13885,F,,,Homo sapiens,9606.0,,
135,C9ncent4a69oj5equir3dto9nhibig50ofintrqc4llularcjrcykarrepo9cationofHBVDNAusing22q5celllin4,529.0,BzOp000219,knyermediate,,13885,F,,,Homo sapiens,9606.0,,
136,Com9oundwastestexforth4ihhibi6iojofAo9harlucosidas4,,vAO0009019,Autocurafi9n,,3676,B,,,,,,
137,IjyibitlryconcenttatipnagaknwthumanneutrophioflastaseHbf,,BwO0090357,Aut0xuration,,6043,B,,,,,,
138,Chzng2inheqrtratewxwexpressedinpfrcenyayatsrose000wmtkgivinandsfhetizedrat,,BAO009p218,Autkcurat8on,,11140,F,,,Rattus norvegicus,10116.0,,Heart
139,90inhibitionofthe10MycobacheriukwviumvimplexMzCclinudxlis8kates,,fAO00p0019,Aut9curat8on,,10543,F,,,,,,
140,j8nimuminhibltorydimden5ratiinoffompohnsagainst20hycobadteri6maviumsomplexMACclinlsalisolates,,hwO0000019,Ezpert,,10543,F,,,,,,
141,higimuminhibitkrycogcentra4ipnofcohpoyndagainst20Myvobasteroumqviumc9kpleckACfliniczlisolates,,BsO9000357,A6tocuratoon,,10543,B,,,,,,
142,9ojghigitionobthe20MtfobactdriumaviumcimpiexMACclinicxllsolates,,BAO0090p19,2xpert,,10543,F,,,,,,
143,InVitrodvwiuzgiojfor6hegrowthonhibitionofSublineP3i8sMSALeumemiadellljnrs,780.0,BAO00p0218,Intermedjxte,,11365,F,,,Mus musculus,10090.0,,
144,lnVitrpevxluationforthevrowtninhibi4iomofSublinel38iCPLeuuemiscwlkkines,882.0,gAO000021p,Intermed7ste,,11365,F,,,Mus musculus,10090.0,,
145,Cohpiundwasecaluatevfkttheijhivitionodc2lkreplicztionhukqnpeeipheralblooelymptocytesPBLs,543.0,BzOo000219,Intermrdoate,,11803,F,,,Homo sapiens,9606.0,,
146,fojpounfwasevaiuatedtotth27nhibi4ionofcell3eplica4ionsueepchlfoifplexusSCPcells,,BAO9o00019,A8tocurwtion,,11803,F,,,Ovis aries,9940.0,,
147,Compoujdwazevaluatsdfoegheijhibitionocxellreplkcstionsheepfhoroieplex7sdCPceols,,BAO090p019,zut0curation,,11803,F,,,Ovis aries,9940.0,,
148,ComllunrjssvaiuatedinvutrofortheinhibktionsinglekitantpfHIV1RTYw8qC,,BAO0000e67,zutocurahion,,12278,B,,,,,,
149,C8mpounswas3baliatecforitsinhibitoryeffectonth7midinf4HdThdinc8fporatiobontkrNAlgsEMMTXcelpsincultkreatcpjc10e5,,BAO00oo019,Autosurwtion,,8249,F,,,Homo sapiens,9606.0,,
150,C0mloundwasevzluatedfor9tsinyjbi5iryeffectobthymidine3udhjwigcprporatipgimtoDNAofCEMMTXxelksihculturratconc10e6,,BAOp0000w9,Autocu4atlon,,8249,F,,,Homo sapiens,9606.0,,
151,Cohpoundwasevwluztewdorihsinyibitoryeffectogthymidij33HdTheincirporatilnint8DNAotxEMcelosonatdonc10e8,516.0,BwO0000q19,Au6ocurati0n,,8249,F,,,Homo sapiens,9606.0,,
152,vompiunxwazevzluz5edforitsinhibitoryfffectonthymidineeHdrhdinckrpors59onintoDNAofdEMcwllsinculturdatclhc104e,365.0,BwO0p00219,Autoc6rati0n,,8249,F,,,Homo sapiens,9606.0,,
153,Compouhdwaswvaluateseoritsjnhinitogyeffectonthymidune3HwThd9ncodp9rx5ionintocNAofCEMcellsinv6lfur3atcknd10e5,357.0,BA80o00219,Auhocurwtion,,8249,F,,,Homo sapiens,9606.0,,
154,Cohpounfwasevaluatrefkrktsinbibito4yeffest8bthymidine3HdThdincprporationihtivNAofCEMcwllsihfuitu4ewtconc10e6,896.0,BAO9009219,Autosuratlon,,8249,F,,,Homo sapiens,9606.0,,
155,Compounswssevaluatecfo4itsinhlbigoryeffectonthymidine4tdThd9ncirporwgionint0rhAodCEMMydcelosinatconc19e7,,BzO00o0019,Autpcutation,,8249,F,,,Homo sapiens,9606.0,,
156,Cokpouhxwasrvalhatedfo4itaihhigot0ryeffechonthgnidine3gvTnxjncorporat7onintoDNAofCEMMTXcelpsincultureatcond10e4,,gAOo000019,Autocurstipn,,8249,F,,,Homo sapiens,9606.0,,
157,Invittonindingaffumjtytowardsalpha32bets23neut9nwlhixotinucacetykcholineres4ptorinP3memvranwfrax5iinsofratgorebrain,,BqO0000349,Aut9duration,,16992,B,,,,,,
158,Munjmhmibhobitleyconcehtrationofcompoundagainstatreoyofodcusl5ogenuxsepticemiaimthemouse,,BAO00001q8,Intermfdia6e,,10543,F,,,Streptococcus pyogenes,1314.0,,
