ss_tst_tp,vrnt_d,ss_tp,src_ss_d,crtd_b,cnfdnc_scr,ss_ctgr,td,chmbl_d,tss_d,ss_d,ss_rgnsm,ss_cll_tp,ss_tx_d,rltnshp_tp,ss_tss,src_d,cll_d,dscrptn,ss_sbclllr_frctn,b_frmt,dc_d,ss_strn
,,A,,Intermediate,1,,50597,CHEMBL618660,,7538,Rattus norvegicus,,10116.0,N,,1,,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,,BAO_0000218,5202,
,,A,,Intermediate,1,,50597,CHEMBL618661,,7539,Rattus norvegicus,,10116.0,N,,1,,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,,BAO_0000218,1088,
,,A,,Intermediate,1,,50597,CHEMBL873807,,7540,Rattus norvegicus,,10116.0,N,,1,,Half life in rats,,BAO_0000218,3169,
,,A,,Intermediate,1,,50597,CHEMBL618662,,7541,Rattus norvegicus,,10116.0,N,,1,,Half life in Dawley rat,,BAO_0000218,5353,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618663,,7542,Rattus norvegicus,,10116.0,N,,1,,Half life period after 3 mg/kg iv administration,,BAO_0000218,2864,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618664,,7543,Rattus norvegicus,,10116.0,N,,1,,Half life period after 3 mg/kg iv administration in rat,,BAO_0000218,2864,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618665,,7544,Rattus norvegicus,,10116.0,N,,1,,Half life period after 3 mg/kg iv administration in the rat,,BAO_0000218,2864,
,,A,,Intermediate,1,,50597,CHEMBL876498,,7545,Rattus norvegicus,,10116.0,N,,1,,Half life period in female Sprague-Dawley rats,,BAO_0000218,6362,
,,A,,Intermediate,1,,50597,CHEMBL618666,,7546,Rattus norvegicus,,10116.0,N,,1,,Half life period in rat,,BAO_0000218,6249,
,,A,,Intermediate,1,,50597,CHEMBL620440,,7547,Rattus norvegicus,,10116.0,N,,1,,Half-life in rats was determined,,BAO_0000218,3169,
,,A,,Intermediate,1,,50597,CHEMBL620441,,7548,Rattus norvegicus,,10116.0,N,,1,,Half-life in rats with metabolic oxidation,,BAO_0000218,3169,
,,A,,Intermediate,1,,50597,CHEMBL620442,,7549,Rattus norvegicus,,10116.0,N,,1,,Half-life in rats,,BAO_0000218,3169,
In vivo,,A,,Intermediate,1,,50597,CHEMBL620443,,7550,Rattus norvegicus,,10116.0,N,,1,,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,BAO_0000218,17260,
In vivo,,A,,Intermediate,1,,50597,CHEMBL620444,,7551,Rattus norvegicus,,10116.0,N,,1,,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,BAO_0000218,17260,
In vivo,,A,,Intermediate,1,,50597,CHEMBL620445,,7552,Rattus norvegicus,,10116.0,N,,1,,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,BAO_0000218,17260,
In vivo,,A,,Intermediate,1,,50597,CHEMBL620446,,7553,Rattus norvegicus,,10116.0,N,,1,,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,BAO_0000218,17260,
,,A,,Intermediate,1,,50597,CHEMBL620447,1969.0,7554,Rattus norvegicus,,10116.0,N,Plasma,1,,Biological half-life measured in plasma of rat,,BAO_0000218,2879,
,,A,,Intermediate,1,,50597,CHEMBL621129,1969.0,7555,Rattus norvegicus,,10116.0,N,Plasma,1,,Biological half-life measured in plasma of rat; 22-25,,BAO_0000218,2879,
,,A,,Intermediate,1,,50597,CHEMBL621130,1969.0,7556,Rattus norvegicus,,10116.0,N,Plasma,1,,Biological half-life measured in plasma of rat; 9-16,,BAO_0000218,2879,
In vivo,,A,,Intermediate,1,,50597,CHEMBL873808,,7557,Rattus norvegicus,,10116.0,N,,1,,Compound was evaluated for its half life when administered intravenously in rat,,BAO_0000218,3184,
In vivo,,A,,Intermediate,1,,50597,CHEMBL876598,,7558,Rattus norvegicus,,10116.0,N,,1,,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,,BAO_0000218,4891,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621131,,7559,Rattus norvegicus,,10116.0,N,,1,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,BAO_0000218,429,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621132,,7560,Rattus norvegicus,,10116.0,N,,1,,Half life (T1/2) after oral administration in rat,,BAO_0000218,5656,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621133,,7561,Rattus norvegicus,,10116.0,N,,1,,Half life of compound after iv administration of 20 mg/kg dose in rat,,BAO_0000218,4413,
In vivo,,A,,Expert,1,,50597,CHEMBL621312,,7562,Rattus norvegicus,,10116.0,N,,1,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,BAO_0000218,3598,
,,A,,Intermediate,1,,50597,CHEMBL621313,,7563,Rattus norvegicus,,10116.0,N,,1,,Half life of compound was determined in rat,,BAO_0000218,17267,
,,A,,Intermediate,1,,50597,CHEMBL621314,178.0,7564,Rattus norvegicus,,10116.0,N,Blood,1,,Half life of compound was determined in rat blood,,BAO_0000218,4727,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621315,,7565,Rattus norvegicus,,10116.0,N,,1,,Half life at 1 mg/kg was determined in rat,,BAO_0000218,17651,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621316,,7566,Rattus norvegicus,,10116.0,N,,1,,Half life at 10 mg/kg was determined in rat,,BAO_0000218,17651,
,,A,,Intermediate,1,,50597,CHEMBL621317,,7567,Rattus norvegicus,,10116.0,N,,1,,Half life in rats,,BAO_0000218,401,
,,A,,Intermediate,1,,50597,CHEMBL621318,,7568,Rattus norvegicus,,10116.0,N,,1,,Half life in rats in hours,,BAO_0000218,4942,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621319,,7569,Rattus norvegicus,,10116.0,N,,1,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,BAO_0000218,17735,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621377,,7570,Rattus norvegicus,,10116.0,N,,1,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,BAO_0000218,6056,
,,A,,Intermediate,1,,50597,CHEMBL621378,,7571,Rattus norvegicus,,10116.0,N,,1,,Half life was determined,,BAO_0000218,5213,
In vivo,,A,,Intermediate,1,,50597,CHEMBL876599,,7572,Rattus norvegicus,,10116.0,N,,1,,Half life after i.v. administration,,BAO_0000218,6616,
In vivo,,A,,Intermediate,1,,50597,CHEMBL621379,,7573,Rattus norvegicus,,10116.0,N,,1,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,BAO_0000218,5937,
,,A,,Intermediate,1,,50597,CHEMBL621380,1969.0,7574,Rattus norvegicus,,10116.0,N,Plasma,1,,Half life in rat plasma,,BAO_0000218,5819,
,,A,,Intermediate,1,,50597,CHEMBL621381,1969.0,7575,Rattus norvegicus,,10116.0,N,Plasma,1,,Half life in rat plasma; Not detected,,BAO_0000218,5819,
,,A,,Intermediate,1,,50597,CHEMBL618515,,7576,Rattus norvegicus,,10116.0,N,,1,,Half life in rats,,BAO_0000218,6803,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618516,,7577,Rattus norvegicus,,10116.0,N,,1,,Half life period of compound was determined after peroral administration,,BAO_0000218,17804,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618517,,7578,Rattus norvegicus,,10116.0,N,,1,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,BAO_0000218,17804,
,,A,,Intermediate,1,,50597,CHEMBL618518,,7579,Rattus norvegicus,,10116.0,N,,1,,Half life period in rat,,BAO_0000218,5948,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618519,,7580,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,BAO_0000218,1916,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618698,,7581,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,BAO_0000218,1916,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618862,,7582,Rattus norvegicus,,10116.0,N,,1,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,BAO_0000218,1916,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618863,,7583,Rattus norvegicus,,10116.0,N,,1,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,BAO_0000218,4890,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618864,,7584,Rattus norvegicus,,10116.0,N,,1,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,BAO_0000218,17764,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618865,,7585,Rattus norvegicus,,10116.0,N,,1,,Half life time in rat the dose of 2 mg/kg,,BAO_0000218,4727,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618866,,7586,Rattus norvegicus,,10116.0,N,,1,,Half-life 24 hr after 10 mg/kg iv administration in rats,,BAO_0000218,17509,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618867,,7587,Rattus norvegicus,,10116.0,N,,1,,Half-life 24 hr after 2 mg/kg iv administration in rats,,BAO_0000218,17509,
,,A,,Intermediate,1,,50597,CHEMBL875828,,7588,Rattus norvegicus,,10116.0,N,,1,,Half-life consistent with the observed metabolic steady state in rats,,BAO_0000218,6597,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618868,,7589,Rattus norvegicus,,10116.0,N,,1,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,BAO_0000218,17735,
,,A,,Intermediate,1,,50597,CHEMBL618869,,7590,Rattus norvegicus,,10116.0,N,,1,,Half-life for oxidative metabolic stability was determined using male human,,BAO_0000218,6597,
In vivo,,A,,Intermediate,1,,50597,CHEMBL618870,,7591,Rattus norvegicus,,10116.0,N,,1,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,BAO_0000218,17670,
,,A,,Intermediate,1,,50597,CHEMBL618871,1969.0,7592,Rattus norvegicus,,10116.0,N,Plasma,1,,Half-life in rat plasma,,BAO_0000218,1696,
,,A,,Intermediate,1,,50597,CHEMBL618872,1969.0,7593,Rattus norvegicus,,10116.0,N,Plasma,1,,Half-life in rat plasma was determined,,BAO_0000218,1742,
,,A,,Intermediate,1,,50597,CHEMBL873816,,7594,Rattus norvegicus,,10116.0,N,,1,,Half-life in rats was determined,,BAO_0000218,17800,
,,A,,Autocuration,0,,22224,CHEMBL618873,,7595,,,,U,,1,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,BAO_0000218,12923,
,,A,,Autocuration,0,,22224,CHEMBL621602,,7596,,,,U,,1,,Area under curve after oral dose of 0.1 mg//kg,,BAO_0000019,11954,
,,A,,Autocuration,0,,22224,CHEMBL621603,,7597,,,,U,,1,,Area under curve after oral dose of 0.3 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621604,,7598,,,,U,,1,,Area under curve after oral dose of 1 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621605,,7599,,,,U,,1,,Area under curve after oral dose of 10 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621606,,7600,,,,U,,1,,Area under curve after oral dose of 23.4 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621607,,7601,,,,U,,1,,Area under curve after oral dose of 3 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621608,,7602,,,,U,,1,,Area under curve after oral dose of 3.87 mg/kg,,BAO_0000218,11954,
,,A,,Autocuration,0,,22224,CHEMBL621609,,7603,,,,U,,1,,Area under curve was determined,,BAO_0000019,5237,
,,A,,Autocuration,0,,22224,CHEMBL621610,,7604,,,,U,,1,,Area under curve at a dose of 10 mg/kg,,BAO_0000218,4026,
,,A,,Intermediate,1,,50597,CHEMBL621611,,7605,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined; ND=No data,,BAO_0000218,5237,
,,A,,Intermediate,1,,50597,CHEMBL621612,,7606,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622308,,7607,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622309,,7608,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622310,,7609,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622311,,7610,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622312,,7611,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622931,,7612,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622932,,7613,Rattus norvegicus,,10116.0,N,,1,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622736,1969.0,7614,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622737,1969.0,7615,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622738,1969.0,7616,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622739,1969.0,7617,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622740,1969.0,7618,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622741,1969.0,7619,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622742,1969.0,7620,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50597,CHEMBL622743,1969.0,7621,Rattus norvegicus,,10116.0,N,Plasma,1,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,,BAO_0000218,14793,
,,A,,Intermediate,1,,50594,CHEMBL622744,1969.0,7622,Mus musculus,,10090.0,N,Plasma,1,,AUC in mice,,BAO_0000218,11637,
,,A,,Autocuration,0,,22224,CHEMBL624134,,7623,,,,U,,1,,Area under curve was measured from the graph obtained from concentration Vs time,,BAO_0000019,11149,
,,A,,Autocuration,0,,22224,CHEMBL624135,,7624,,,,U,,1,,Area under curve value of compound per hour after oral administration,,BAO_0000019,10016,
,,A,,Intermediate,1,,50597,CHEMBL624136,,7625,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after oral administration in rats,,BAO_0000218,17796,
,,A,,Intermediate,1,,50597,CHEMBL624137,,7626,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after oral administration in rats; No data,,BAO_0000218,17796,
,,A,,Intermediate,1,,50597,CHEMBL624320,,7627,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined after oral administration in rats;No data,,BAO_0000218,17796,
,,A,,Intermediate,1,,50588,CHEMBL624321,,7628,Canis lupus familiaris,,9615.0,N,,1,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,BAO_0000218,12923,
,,A,,Intermediate,1,,50597,CHEMBL624322,,7629,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624323,,7630,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624324,,7631,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624325,,7632,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624326,,7633,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624327,,7634,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50597,CHEMBL624328,,7635,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,BAO_0000218,15372,
,,A,,Intermediate,1,,50588,CHEMBL627848,,7636,Canis lupus familiaris,,9615.0,N,,1,,Area under curve was determined in Dogs after peroral administration,,BAO_0000218,14169,
,,A,,Intermediate,1,,50597,CHEMBL627849,,7637,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in Rats after peroral administration,,BAO_0000218,14169,
,,A,,Intermediate,1,,50597,CHEMBL627850,,7638,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in carotid blood of rat when administered intradermally,,BAO_0000218,14258,
,,A,,Intermediate,1,,50597,CHEMBL627851,,7639,Rattus norvegicus,,10116.0,N,,1,,Area under curve was determined in portal blood of rat when administered intradermally,,BAO_0000218,14258,
,,A,,Intermediate,1,,50594,CHEMBL627852,,7640,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL627853,,7641,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL627854,,7642,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL627855,,7643,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL627856,,7644,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL875339,,7645,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,BAO_0000218,15011,
,,A,,Intermediate,1,,50594,CHEMBL627857,,7646,Mus musculus,,10090.0,N,,1,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,BAO_0000218,15011,
In vivo,,A,,Intermediate,1,,50597,CHEMBL627858,2106.0,7647,Rattus norvegicus,,10116.0,N,Spleen,1,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,,BAO_0000218,11195,
,,A,,Intermediate,1,,50597,CHEMBL627859,178.0,7648,Rattus norvegicus,,10116.0,N,Blood,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627860,955.0,7649,Rattus norvegicus,,10116.0,N,Brain,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627019,948.0,7650,Rattus norvegicus,,10116.0,N,Heart,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627020,2107.0,7651,Rattus norvegicus,,10116.0,N,Liver,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627021,2048.0,7652,Rattus norvegicus,,10116.0,N,Lung,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627022,2385.0,7653,Rattus norvegicus,,10116.0,N,Muscle tissue,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627023,,7654,Rattus norvegicus,,10116.0,N,,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627024,2106.0,7655,Rattus norvegicus,,10116.0,N,Spleen,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627025,2046.0,7656,Rattus norvegicus,,10116.0,N,Thyroid gland,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627026,2113.0,7657,Rattus norvegicus,,10116.0,N,Kidney,1,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627027,178.0,7658,Rattus norvegicus,,10116.0,N,Blood,1,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627028,955.0,7659,Rattus norvegicus,,10116.0,N,Brain,1,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627029,948.0,7660,Rattus norvegicus,,10116.0,N,Heart,1,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,,BAO_0000218,10130,
,,A,,Intermediate,1,,50597,CHEMBL627030,2113.0,7661,Rattus norvegicus,,10116.0,N,Kidney,1,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,,BAO_0000218,10130,
