assay_id,variant_id,src_id,assay_subcellular_fraction,assay_organism,cell_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_tax_id,assay_strain,assay_tissue
85,,1,Microsomes,Saccharomyces cerevisiae,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,4932.0,,
86,,1,Microsomes,Sus scrofa,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,9823.0,,Liver
87,,1,,Rattus norvegicus,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,10116.0,,
88,,1,,Rattus norvegicus,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,10116.0,,
89,,1,,Rattus norvegicus,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,10116.0,,
90,,1,Microsomes,Rattus norvegicus,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,10116.0,,Liver
91,,1,Microsomes,Rattus norvegicus,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,,Liver
92,,1,Microsomes,Rattus norvegicus,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,10116.0,,Liver
93,,1,,,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,1,,,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,1,,Homo sapiens,726.0,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,9606.0,,
96,,1,,Homo sapiens,726.0,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,9606.0,,
97,,1,,Homo sapiens,726.0,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,9606.0,,
98,,1,,Homo sapiens,726.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,9606.0,,
99,,1,,Homo sapiens,726.0,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,9606.0,,
100,,1,,Hepatitis B virus,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,10407.0,,
101,,1,,Homo sapiens,726.0,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,9606.0,,
102,,1,,Homo sapiens,726.0,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,9606.0,,
103,,1,,Homo sapiens,726.0,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,9606.0,,
104,,1,,Homo sapiens,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,9606.0,,
105,,1,,Homo sapiens,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,9606.0,,
106,,1,,Hepatitis B virus,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,10407.0,,
107,,1,,Homo sapiens,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,9606.0,,
108,,1,,Homo sapiens,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,9606.0,,
109,,1,,Homo sapiens,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,9606.0,,
110,,1,,Homo sapiens,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,9606.0,,
111,,1,,Homo sapiens,,1593,Cytotoxicity in 2.2.15 cells,F,,,9606.0,,
112,,1,,Homo sapiens,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,9606.0,,
113,,1,,Homo sapiens,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,9606.0,,
114,,1,,Homo sapiens,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,9606.0,,
115,,1,,Homo sapiens,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,9606.0,,
116,,1,,Homo sapiens,726.0,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,9606.0,,
117,,1,Microsomes,Homo sapiens,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,9606.0,,
118,,1,,,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,1,,Homo sapiens,388.0,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,9606.0,,
120,,1,,Homo sapiens,388.0,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,9606.0,,
121,,1,,Homo sapiens,388.0,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,9606.0,,
122,,1,,Homo sapiens,388.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,9606.0,,
123,,1,,Homo sapiens,388.0,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,9606.0,,
124,,1,,Homo sapiens,561.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,9606.0,,
125,,1,,Homo sapiens,561.0,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,9606.0,,
126,,1,,Homo sapiens,389.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,9606.0,,
127,,1,,Homo sapiens,389.0,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,9606.0,,
128,,1,,Homo sapiens,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,9606.0,,
129,,1,,Homo sapiens,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,9606.0,,
130,,1,,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,1,,,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,1,,,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,1,,Homo sapiens,,3451,Compound was tested for inhibitory activity against tryptase,B,,,9606.0,,
134,,1,,Homo sapiens,726.0,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,,
135,,1,,Homo sapiens,726.0,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,9606.0,,
136,,1,,,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,1,,,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,1,,Rattus norvegicus,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,10116.0,,Heart
139,,1,,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,1,,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,1,,,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,1,,,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,1,,Mus musculus,524.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,10090.0,,
144,,1,,Mus musculus,524.0,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,10090.0,,
145,,1,,Homo sapiens,554.0,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,9606.0,,
146,,1,,Ovis aries,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,9940.0,,
147,,1,,Ovis aries,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,9940.0,,
148,,1,,,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,1,,Homo sapiens,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,9606.0,,
150,,1,,Homo sapiens,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,9606.0,,
151,,1,,Homo sapiens,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,9606.0,,
152,,1,,Homo sapiens,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,9606.0,,
153,,1,,Homo sapiens,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,9606.0,,
154,,1,,Homo sapiens,635.0,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,9606.0,,
155,,1,,Homo sapiens,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,9606.0,,
156,,1,,Homo sapiens,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,9606.0,,
157,,1,,,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,1,,Streptococcus pyogenes,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,1314.0,,
159,,1,,Human herpesvirus 3,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,10335.0,,
160,,1,,vericilla zoster virus,468.0,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,10335.0,,
161,,1,,vericilla zoster virus,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,10335.0,,
162,,1,,vericilla zoster virus,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,10335.0,,
163,,1,,escherichia cloac,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,561.0,,
164,,1,,,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,1,,Candida albicans,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,5476.0,,
166,,1,,Candida glabrata CBS 138,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,284593.0,,
167,,1,,Homo sapiens,832.0,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,9606.0,,
168,,1,,Rattus norvegicus,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,10116.0,,
169,,1,,Glycine max,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,3847.0,,
170,,1,,Glycine max,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,3847.0,,
171,,1,,Glycine max,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,3847.0,,
172,,1,,Glycine max,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,3847.0,,
173,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,3847.0,,
174,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,3847.0,,
175,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,3847.0,,
176,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,3847.0,,
177,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,3847.0,,
178,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,3847.0,,
179,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,3847.0,,
180,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,3847.0,,
181,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,3847.0,,
182,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,3847.0,,
183,,1,,Glycine max,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,3847.0,,
184,,1,,Mus musculus,,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,10090.0,,
185,,1,,Mus musculus,294.0,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,10090.0,,
186,,1,,,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,
187,,1,,,,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
188,,1,,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
189,,1,,,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,
190,,1,,,,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,
191,,1,,,,16587,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,B,,,,,
192,,1,,Bos taurus,,8058,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,F,,,9913.0,,
193,,1,,Rattus norvegicus,,9065,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,B,,,10116.0,,
194,,1,,Rattus norvegicus,,8865,Inhibition of 11 beta-hydroxylase from rat adrenal gland,B,,,10116.0,,Adrenal gland
195,,1,,Rattus norvegicus,,9066,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,10116.0,,
196,,1,,Rattus norvegicus,,8394,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,10116.0,,
197,,1,,Rattus norvegicus,,8394,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,B,,,10116.0,,
198,,1,,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,B,,,,,
199,,1,,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,
200,,1,,,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,
201,,1,,,,9295,Compound was tested for the percent of inhibition against 12-LO at 10 uM,F,,,,,
202,,1,,,,10193,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,
203,,1,,,,13622,Compound was tested in vitro for inhibition of 12-LO human platelet,B,,,,,
204,,1,,,,12079,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,,,
205,,1,,,,13622,Compound at 100 uM was tested in vitro for inhibition of 12-LO human platelet,B,,,,,
206,,1,,Homo sapiens,,12079,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,9606.0,,
207,,1,,,,13500,Tested for inhibition of 12-LO (12-lipoxygenase) as an inhibitor of 12(S)-HETE biosynthesis in mouse epidermal homogenates,B,,,,,
208,,1,,,,13723,Inhibitory activity against conversion of [1-14C]arachidonic acid to 12-HPETE and its reduction product 12-HETE by porcine leukocyte type 12-lipoxygenase,B,,,,,
