assay_id,assay_test_type,curated_by,confidence_score,cell_id,bao_format,doc_id,description,assay_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue
17,,3xpert,9,,BAO09p0357,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
18,,Autocuratilh,8,,BAO90o0357,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,,zutocuratioh,8,,BwO0000o19,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,,Autpchration,8,,vAOp000357,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,zutocurstion,8,,nzO0000357,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,Ajtocufation,8,,BAO0090e57,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,Auhocuratlon,8,,BAO0p003y7,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,Aytochration,8,,BAOo0p0357,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,Auticuratipn,0,,BAO0p09219,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,Aufocuratiin,8,,BAl000p357,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,Oryctolagus cuniculus,9986.0,,
27,,Aufoc8ration,8,,BA00009357,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,Oryctolagus cuniculus,9986.0,,
28,,A6focuration,8,,hAO000o219,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,,x7tocuration,8,,BAO0000w56,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,soya bean,3847.0,,
30,,Autocu5atiog,8,,BwO0000347,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,Glycine max,3847.0,,
31,,Autosuratikn,8,,BA0000035y,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,Glycine max,3847.0,,
32,,Autosura6ion,8,,BAk0009357,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,Glycine max,3847.0,,
33,,Autodufation,8,,BA8000035u,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,Glycine max,3847.0,,
34,,Autocuratiih,8,,BA90000r57,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
35,,Aut0cu3ation,8,,vAO0000w57,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,Glycine max,3847.0,,
36,,Aurocurstion,0,,BAO0000pq9,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,Rattus norvegicus,10116.0,,
37,,Autocufati9n,0,,BAO9000o19,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,Escherichia coli,562.0,,
38,,Au6lcuration,0,,BAOp0o0019,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,Interhed8ate,3,,fAO00o0225,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,Intrrkediate,3,,BAO000p2w5,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,Experh,3,,BAOp000235,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,Escherichia coli,562.0,,
42,,rxpert,3,,BA000002q5,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,Escherichia coli,562.0,,
43,,Autochrqtion,8,,BAl0000029,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,Autoc6ratlon,8,,fAO00000w9,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,Autocurzgion,8,,BAO000o01p,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
46,,Aut9curatkon,8,,BAO00o0018,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,Homo sapiens,9606.0,,
47,,rxpert,9,,BA80p00019,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
48,,Expe5t,9,,BxO0000018,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,Rattus norvegicus,10116.0,,
49,,Exprrt,9,,BzO0009019,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
50,,Exlert,9,,BAO000o029,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,Rattus norvegicus,10116.0,,
51,,Auyocura5ion,8,,hAO00p0019,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,sutochration,8,,BzO0000367,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,Autpcuratiob,8,,BAO0000e67,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,Autlcuratioj,8,,BAO0op0357,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,Autodyration,5,,BAO09002t9,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,Rattus norvegicus,10116.0,,
56,,Ingerjediate,1,307.0,BsO00002q9,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,Homo sapiens,9606.0,,
57,,Au6ocuratiln,7,,BA900002w9,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Rattus norvegicus,10116.0,,
58,,Autkcu4ation,7,,nAO000p219,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Rattus norvegicus,10116.0,,
59,,Autod6ration,7,,BAk000o219,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Rattus norvegicus,10116.0,,
60,,Exp2rt,1,333.0,BA00o00219,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,
61,,Intermedlzte,1,269.0,BAO0090229,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,Homo sapiens,9606.0,,
62,,untermewiate,1,356.0,BAO00p0210,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,
63,,Infermeciate,1,303.0,BxO0900219,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,Homo sapiens,9606.0,,
64,,Intermediw6e,1,270.0,BA80p00219,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,Homo sapiens,9606.0,,
65,,Ezpert,1,400.0,BAO0000129,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,Homo sapiens,9606.0,,
66,,Interhsdiate,1,322.0,BqO00002q9,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,Homo sapiens,9606.0,,
67,,Intwrmediaye,1,389.0,BAO00092q9,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,Homo sapiens,9606.0,,
68,,Intermedjahe,1,345.0,BxO0p00219,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,Homo sapiens,9606.0,,
69,,Int2rmediage,1,286.0,BAOoo00219,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,Homo sapiens,9606.0,,
70,,Exoert,1,105.0,BAk00002w9,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,
71,,rxpert,1,338.0,vAO000021p,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,Homo sapiens,9606.0,,
72,,Expedt,1,388.0,hzO0000219,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,Homo sapiens,9606.0,,
73,,Intermewiqte,1,365.0,gAO00002q9,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,Homo sapiens,9606.0,,
74,,9ntsrmediate,1,321.0,BAi00o0219,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,Homo sapiens,9606.0,,
75,,Intermeviatw,1,332.0,nAOo000219,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,Homo sapiens,9606.0,,
76,,jnterkediate,1,289.0,BAO00o0119,17721,Inhibitory concentration against Jurkat cells,F,,Homo sapiens,9606.0,,
77,,Interkediare,0,,BAO0000929,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,Experh,9,,nAO000035u,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,Rattus norvegicus,10116.0,,
79,,Expe4t,8,,BwO0900357,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,Ex9ert,8,,BAO0000wy7,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,Experf,8,,BAO0000r67,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,Aytocuratiln,8,,BAO0900w51,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
83,,zutocurat8on,8,,BAO000p241,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,Candida albicans,5476.0,,
84,,Autovurat9on,8,,BAk9000251,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
85,,zutpcuration,8,,nAk0000251,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,Saccharomyces cerevisiae,4932.0,,
86,,Aurocuratkon,8,,BzO0000q51,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,Sus scrofa,9823.0,,Liver
87,,Au60curation,8,,vAO0o00019,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,Rattus norvegicus,10116.0,,
88,,Autocuea4ion,8,,BAko000019,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,Rattus norvegicus,10116.0,,
89,,Autodurati0n,8,,BAOp000029,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,Rattus norvegicus,10116.0,,
90,,Autofurstion,9,,BA80000w51,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
91,,Autocura6ipn,9,,BAO00902y1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
92,,Autocugatiog,9,,BAO0090261,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,Rattus norvegicus,10116.0,,Liver
93,,Edpert,8,,fAO000035y,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,Eapert,8,,BAp0000w57,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,Expett,1,431.0,BA800002q9,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Homo sapiens,9606.0,,
96,,Intermrdizte,1,337.0,hA80000219,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,Homo sapiens,9606.0,,
97,,ontermedizte,1,456.0,nAO00o0219,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,Homo sapiens,9606.0,,
98,,Interhedixte,1,222.0,nAO00002w9,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,Homo sapiens,9606.0,,
99,,Ibtefmediate,1,375.0,BAO0o0o219,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
100,,3xpert,1,,BAO0909218,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,Hepatitis B virus,10407.0,,
101,,Intermediqfe,1,178.0,nAO0090219,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
102,,Interked8ate,1,241.0,BAO0009e19,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,Homo sapiens,9606.0,,
103,,Intwrmedkate,1,282.0,BAO000022o,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,Homo sapiens,9606.0,,
104,,Intermediztd,1,,vAO0009218,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,Homo sapiens,9606.0,,
105,,In4ermed8ate,1,,BAO0o002w8,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
106,,Expwrt,1,,BAOp009218,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,Hepatitis B virus,10407.0,,
107,,Intedmsdiate,1,,Bwk0000218,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
108,,Ijtermediat2,1,,BAO00002q9,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
109,,Internediat2,1,,BAk000o218,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,Homo sapiens,9606.0,,
110,,Intermediwtf,1,,BAO000031i,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
111,,Int4rm4diate,1,,BAO000011i,1593,Cytotoxicity in 2.2.15 cells,F,,Homo sapiens,9606.0,,
112,,Integmedia4e,1,,BAO0009318,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,Homo sapiens,9606.0,,
113,,Igtermeeiate,1,,BApo000218,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,Homo sapiens,9606.0,,
114,,Intermedlatf,1,,fAO0900218,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
115,,Interjewiate,1,,gAO00002q8,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,Homo sapiens,9606.0,,
116,,Imfermediate,1,354.0,BAOp009219,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,Homo sapiens,9606.0,,
117,,Autosuratiob,0,,BqO0090251,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,Homo sapiens,9606.0,,
118,,Autoc8rstion,0,,BAO000p0w9,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,Int3rhediate,1,365.0,BqO000o219,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,Homo sapiens,9606.0,,
120,,Intefmediare,1,538.0,BAO0oo0219,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,Homo sapiens,9606.0,,
121,,Intermeciat4,1,317.0,hzO0000219,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,Homo sapiens,9606.0,,
122,,Intermfdiste,1,420.0,BAO0p0021o,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,Homo sapiens,9606.0,,
123,,Inte3medlate,1,246.0,BxO000p219,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,Homo sapiens,9606.0,,
124,,Inrermediqte,1,297.0,hAO9000219,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,Homo sapiens,9606.0,,
125,,Inte5mefiate,1,319.0,BAOo0o0219,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,
126,,7nt2rmediate,1,413.0,BsO0o00219,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,Homo sapiens,9606.0,,
127,,Inteemediage,1,271.0,BAi0009219,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,Homo sapiens,9606.0,,
128,,Expfrt,2,,nAOo000220,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,Homo sapiens,9606.0,,
129,,Intdrmsdiate,2,,BA00900220,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,Homo sapiens,9606.0,,
130,,Exprrt,2,,BAO900022p,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,Expery,2,,BAO09002w0,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,Interm2diahe,2,,BAO000p229,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,xutocyration,0,,BxO0o00019,3451,Compound was tested for inhibitory activity against tryptase,B,,Homo sapiens,9606.0,,
134,,Intdrmediaye,1,54.0,vwO0000219,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,
135,,Ijtermfdiate,1,293.0,hAO000p219,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,Homo sapiens,9606.0,,
136,,Autifuration,0,,vAOo000019,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,Autocu3wtion,8,,BAO009o357,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,Autoc7rahion,0,,BwO000o218,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,Rattus norvegicus,10116.0,,Heart
139,,xuticuration,8,,BAk00p0019,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,Exoert,8,,BAO0p00o19,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,Autocurahjon,8,,BAO90003y7,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,Ex9ert,8,,gAO0000029,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,Inhermediatf,1,509.0,BAO09p0219,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,Mus musculus,10090.0,,
144,,Ibterm3diate,1,266.0,BAO0p09219,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,Mus musculus,10090.0,,
145,,lntermediat3,1,281.0,BAp0p00219,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,Homo sapiens,9606.0,,
146,,Aut9curstion,0,,BAip000019,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,Ovis aries,9940.0,,
147,,Autocjeation,0,,BzO0000p19,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,Ovis aries,9940.0,,
148,,surocuration,8,,BAp000035u,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,Auyocutation,0,,BAO090001p,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
150,,sutoc7ration,0,,BAO000p0w9,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
151,,A6tocuratiom,0,256.0,BAO9o00219,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,Homo sapiens,9606.0,,
152,,Autocuratl0n,0,388.0,BAO00002wi,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
153,,Autocurwtiom,0,231.0,BAl00o0219,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,Homo sapiens,9606.0,,
154,,Auyocurati0n,0,295.0,BAp000o219,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,Homo sapiens,9606.0,,
155,,Autoc8ratioh,0,,BzO0000010,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,Homo sapiens,9606.0,,
156,,Autociratoon,0,,BqO0000919,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,Homo sapiens,9606.0,,
157,,Ahtocuratlon,6,,BAO000p24i,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,8nterm3diate,1,,BA80009218,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,Streptococcus pyogenes,1314.0,,
159,,Inte3meeiate,1,,BAO0900q18,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,Human herpesvirus 3,10335.0,,
160,,Ex9ert,1,264.0,vAO0090218,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,vericilla zoster virus,10335.0,,
161,,Intermedia4f,1,,BxO00o0218,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,vericilla zoster virus,10335.0,,
162,,In6ermediaye,1,,vAOo000218,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,vericilla zoster virus,10335.0,,
163,,Imterm4diate,1,,hAO0000219,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,escherichia cloac,561.0,,
164,,Au4pcuration,0,,nzO0000019,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,Ex0ert,8,,BAO0000340,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,Candida albicans,5476.0,,
166,,Exper6,8,,BAO0900347,2205,"Inhibition of 1,3-beta-glucan synthase",B,,Candida glabrata CBS 138,284593.0,,
167,,Intetjediate,1,395.0,BAp0900219,11900,Inhibition of growth of 1-87 human tumor cell line,F,,Homo sapiens,9606.0,,
168,,Exp2rt,9,,hAk0000219,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,Rattus norvegicus,10116.0,,
169,,A8tocuratiln,9,,BqO00o0357,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
170,,Autocu5ztion,9,,fAO0o00357,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,Glycine max,3847.0,,
171,,A8tocuratikn,9,,BAO0090347,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,Glycine max,3847.0,,
172,,xutosuration,9,,BAO0900358,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,Glycine max,3847.0,,
173,,Aktocuratlon,9,,BA000p0357,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,Glycine max,3847.0,,
174,,zuticuration,9,,BAO0p00367,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,Glycine max,3847.0,,
175,,Au5ocurqtion,9,,BAO9000347,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,Glycine max,3847.0,,
