assays_ASSI,assays_CEI,assays_ASORG,assays_BFO,assays_ASCT,assays_SI,assays_AST,assays_CURAB,assays_ASTET,assays_CONSCO,assays_Des,assays_T,assays_RELTY,assays_SASSI,assays_CHEI,assays_TISI,assays_VARI
19,,,BAO_0000019,,1,B,Autocuration,,8,Inhibition of partially purified 15-lipoxygenase from human leukocytes,12054,H,,CHEMBL615133,,
20,,,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,H,,CHEMBL615134,,
21,,,BAO_0000357,,1,B,Autocuration,,8,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),12054,H,,CHEMBL615135,,
22,,,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),12054,H,,CHEMBL615136,,
23,,,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,H,,CHEMBL615137,,
24,,,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,12054,H,,CHEMBL615138,,
25,,,BAO_0000219,,1,B,Autocuration,,0,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",22226,U,,CHEMBL836324,,
26,,Oryctolagus cuniculus,BAO_0000357,,1,B,Autocuration,,8,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,12054,H,,CHEMBL615139,,
27,,Oryctolagus cuniculus,BAO_0000357,,1,B,Autocuration,,8,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),12054,H,,CHEMBL615140,,
28,,,BAO_0000219,,1,B,Autocuration,,8,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,12426,H,,CHEMBL615141,,
29,,soya bean,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,12054,H,,CHEMBL615142,,
30,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against soybean 15-lipoxygenase was evaluated,12054,H,,CHEMBL615143,,
31,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,12054,H,,CHEMBL615144,,
32,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,12054,H,,CHEMBL872867,,
33,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,12054,H,,CHEMBL615145,,
34,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,H,,CHEMBL615146,,
35,,Glycine max,BAO_0000357,,1,B,Autocuration,,8,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,12054,H,,CHEMBL615147,,
36,,Rattus norvegicus,BAO_0000019,,1,A,Autocuration,,0,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,22226,U,,CHEMBL615148,,
37,,Escherichia coli,BAO_0000019,,1,B,Autocuration,,0,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,22226,U,,CHEMBL615149,,
38,,,BAO_0000019,,1,B,Autocuration,,0,Dissociation constant with dimeric 16S rRNA RNA construct B,22226,U,,CHEMBL615150,,
39,,,BAO_0000225,,1,B,Intermediate,,3,Dissociation constant towards 16S rRNA construct A,22222,M,,CHEMBL615151,,
40,,,BAO_0000225,,1,B,Intermediate,,3,Dissociation constant towards 16S rRNA construct B,22222,M,,CHEMBL615152,,
41,,Escherichia coli,BAO_0000225,,1,B,Expert,,3,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,100263,M,,CHEMBL615153,,
42,,Escherichia coli,BAO_0000225,,1,B,Expert,,3,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,100263,M,,CHEMBL615154,,
43,,,BAO_0000019,,1,B,Autocuration,,8,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,H,,CHEMBL615155,,
44,,,BAO_0000019,,1,B,Autocuration,,8,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,H,,CHEMBL615156,,
45,,Homo sapiens,BAO_0000019,,1,B,Autocuration,,8,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,H,,CHEMBL615157,,
46,,Homo sapiens,BAO_0000019,,1,B,Autocuration,,8,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,H,,CHEMBL615158,,
47,,Rattus norvegicus,BAO_0000019,,1,B,Expert,,9,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,D,,CHEMBL615159,,
48,,Rattus norvegicus,BAO_0000019,,1,B,Expert,,9,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,D,,CHEMBL615172,,
49,,Rattus norvegicus,BAO_0000019,,1,B,Expert,,9,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,D,,CHEMBL615173,,
50,,Rattus norvegicus,BAO_0000019,,1,B,Expert,,9,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,D,,CHEMBL615174,,
51,,,BAO_0000019,,1,B,Autocuration,,8,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,H,,CHEMBL884518,,
52,,,BAO_0000357,,1,B,Autocuration,,8,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),11512,H,,CHEMBL615175,,
53,,,BAO_0000357,,1,B,Autocuration,,8,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,11512,H,,CHEMBL615176,,
54,,,BAO_0000357,,1,B,Autocuration,,8,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,11512,H,,CHEMBL615177,,
55,,Rattus norvegicus,BAO_0000249,,1,B,Autocuration,,5,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,104740,D,,CHEMBL615178,,
56,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,80002,N,,CHEMBL615179,,
57,,Rattus norvegicus,BAO_0000219,Oocytes,1,F,Autocuration,,7,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,104835,D,,CHEMBL615180,,
58,,Rattus norvegicus,BAO_0000219,Oocytes,1,F,Autocuration,,7,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,104821,D,,CHEMBL615181,,
59,,Rattus norvegicus,BAO_0000219,Oocytes,1,F,Autocuration,,7,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,104848,D,,CHEMBL615182,,
60,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Expert,,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,80002,N,,CHEMBL615183,,
61,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,80002,N,,CHEMBL615184,,
62,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,80002,N,,CHEMBL615185,,
63,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,80002,N,,CHEMBL615186,,
64,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Effective dose of compound against replication of 1A9 cell line was evaluated,80002,N,,CHEMBL615187,,
65,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Expert,,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,80002,N,,CHEMBL885343,,
66,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),80002,N,,CHEMBL615188,,
67,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,80002,N,,CHEMBL615189,,
68,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,80002,N,,CHEMBL615190,,
69,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Inhibitory activity against Taxol resistant 1A9 cell lines,80002,N,,CHEMBL615191,,
70,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Expert,,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,80002,N,,CHEMBL615192,,
71,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Expert,,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,80002,N,,CHEMBL827083,,
72,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Expert,,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,80002,N,,CHEMBL615193,,
73,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,80002,N,,CHEMBL615194,,
74,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,80002,N,,CHEMBL615195,,
75,506.0,Homo sapiens,BAO_0000219,1A9,1,F,Intermediate,,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,80002,N,,CHEMBL615196,,
76,503.0,Homo sapiens,BAO_0000219,Jurkat,1,F,Intermediate,,1,Inhibitory concentration against Jurkat cells,81072,N,,CHEMBL615197,,
77,,,BAO_0000019,,1,F,Intermediate,,0,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,22226,U,,CHEMBL615198,,
78,,Rattus norvegicus,BAO_0000357,,1,A,Expert,,9,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,100121,D,,CHEMBL615199,,
79,,,BAO_0000357,,1,B,Expert,,8,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,H,,CHEMBL615200,,
80,,,BAO_0000357,,1,B,Expert,,8,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,H,,CHEMBL615201,,
81,,,BAO_0000357,,1,B,Expert,,8,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",11231,H,,CHEMBL615202,,
82,,Candida albicans,BAO_0000251,,1,B,Autocuration,,8,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11231,H,,CHEMBL615203,,
83,,Candida albicans,BAO_0000251,,1,B,Autocuration,,8,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11231,H,,CHEMBL615204,,
84,,Saccharomyces cerevisiae,BAO_0000251,,1,B,Autocuration,,8,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11231,H,,CHEMBL615205,,
85,,Saccharomyces cerevisiae,BAO_0000251,,1,B,Autocuration,,8,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11231,H,,CHEMBL615206,,
86,,Sus scrofa,BAO_0000251,,1,B,Autocuration,,8,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",12083,H,,CHEMBL615207,2107.0,
87,,Rattus norvegicus,BAO_0000019,,1,B,Autocuration,,8,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",11231,H,,CHEMBL827084,,
88,,Rattus norvegicus,BAO_0000019,,1,B,Autocuration,,8,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",11231,H,,CHEMBL615208,,
89,,Rattus norvegicus,BAO_0000019,,1,B,Autocuration,,8,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",11231,H,,CHEMBL615209,,
90,,Rattus norvegicus,BAO_0000251,,1,B,Autocuration,,9,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",12083,D,,CHEMBL615210,2107.0,
91,,Rattus norvegicus,BAO_0000251,,1,B,Autocuration,,9,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,D,,CHEMBL615211,2107.0,
92,,Rattus norvegicus,BAO_0000251,,1,B,Autocuration,,9,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,D,,CHEMBL615212,2107.0,
93,,,BAO_0000357,,1,B,Expert,,8,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),11377,H,,CHEMBL615213,,
94,,,BAO_0000357,,1,B,Expert,,8,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,11377,H,,CHEMBL615273,,
95,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Expert,,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,81020,N,,CHEMBL615274,,
96,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,81020,N,,CHEMBL615275,,
97,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,81020,N,,CHEMBL615276,,
98,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,81020,N,,CHEMBL615277,,
99,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,81020,N,,CHEMBL615326,,
100,,Hepatitis B virus,BAO_0000218,,1,F,Expert,,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,50606,N,,CHEMBL883130,,
101,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,81020,N,,CHEMBL884519,,
102,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Concentration required to inhibit 50% of 2.2.15 cell line,81020,N,,CHEMBL615327,,
103,726.0,Homo sapiens,BAO_0000219,HepG2,1,A,Intermediate,,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,81020,N,,CHEMBL615328,,
104,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,50587,N,,CHEMBL615329,,
105,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,50587,N,,CHEMBL615330,,
106,,Hepatitis B virus,BAO_0000218,2.2.15,1,F,Expert,,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",50606,N,,CHEMBL615331,,
107,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,In vitro anti-HBV activity in 2.2.15 cells,50587,N,,CHEMBL615332,,
108,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,50587,N,,CHEMBL615333,,
109,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,50587,N,,CHEMBL615334,,
110,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,50587,N,,CHEMBL615335,,
111,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Cytotoxicity in 2.2.15 cells,50587,N,,CHEMBL615336,,
112,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Cytotoxicity in 2.2.15 cells; Not determined,50587,N,,CHEMBL615337,,
113,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,50587,N,,CHEMBL615338,,
114,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,50587,N,,CHEMBL615339,,
115,,Homo sapiens,BAO_0000218,2.2.15,1,F,Intermediate,,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,50587,N,,CHEMBL615340,,
116,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Antiviral activity against HBV was determined in 2.215 cell line,81020,N,,CHEMBL615341,,
117,,Homo sapiens,BAO_0000251,,1,B,Autocuration,,0,Inhibition of 20-HETE synthesis in human renal microsomes,22226,U,,CHEMBL615342,,
118,,,BAO_0000019,,1,B,Autocuration,,0,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,22226,U,,CHEMBL615343,,
119,388.0,Homo sapiens,BAO_0000219,2008,1,F,Intermediate,,1,Inhibitory concentration against 2008 (ovarian) cells,80612,N,,CHEMBL615344,,
120,388.0,Homo sapiens,BAO_0000219,2008,1,F,Intermediate,,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,80612,N,,CHEMBL615345,,
121,388.0,Homo sapiens,BAO_0000219,2008,1,F,Intermediate,,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),80612,N,,CHEMBL615346,,
122,388.0,Homo sapiens,BAO_0000219,2008,1,F,Intermediate,,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,80612,N,,CHEMBL615347,,
123,388.0,Homo sapiens,BAO_0000219,2008,1,F,Intermediate,,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,80612,N,,CHEMBL615348,,
124,561.0,Homo sapiens,BAO_0000219,2008/R,1,F,Intermediate,,1,In vitro inhibition of 2008/R ovarian cancer cell line,80613,N,,CHEMBL827085,,
125,561.0,Homo sapiens,BAO_0000219,2008/R,1,F,Intermediate,,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,80613,N,,CHEMBL615349,,
126,389.0,Homo sapiens,BAO_0000219,2008/S,1,F,Intermediate,,1,In vitro inhibition of 2008/S ovarian cancer cell line,80614,N,,CHEMBL615350,,
127,389.0,Homo sapiens,BAO_0000219,2008/S,1,F,Intermediate,,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,80614,N,,CHEMBL615351,,
128,,Homo sapiens,BAO_0000220,,1,B,Expert,,2,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,100256,S,,CHEMBL615352,,
129,,Homo sapiens,BAO_0000220,,1,B,Intermediate,,2,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,100256,S,,CHEMBL615353,,
130,,,BAO_0000220,,1,B,Expert,,2,Inhibition of chymotrypsin-like activity of 20S proteasome,100256,S,,CHEMBL615354,,
131,,,BAO_0000220,,1,B,Expert,,2,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,100256,S,,CHEMBL615355,,
132,,,BAO_0000220,,1,B,Intermediate,,2,Inhibitory activity against 20S proteosome,100256,S,,CHEMBL615356,,
133,,Homo sapiens,BAO_0000019,,1,B,Autocuration,,0,Compound was tested for inhibitory activity against tryptase,22226,U,,CHEMBL615357,,
134,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,81020,N,,CHEMBL615358,,
135,726.0,Homo sapiens,BAO_0000219,HepG2,1,F,Intermediate,,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,81020,N,,CHEMBL827086,,
136,,,BAO_0000019,,1,B,Autocuration,,0,Compound was tested for the inhibition of Alpha-glucosidase,22226,U,,CHEMBL615359,,
137,,,BAO_0000357,,1,B,Autocuration,,8,Inhibitory concentration against human neutrophil elastase (HNE),235,H,,CHEMBL615360,,
138,,Rattus norvegicus,BAO_0000218,,1,F,Autocuration,,0,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,22226,U,,CHEMBL615361,948.0,
139,,,BAO_0000019,,1,F,Autocuration,,8,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,H,,CHEMBL615362,,
140,,,BAO_0000019,,1,F,Expert,,8,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,H,,CHEMBL615363,,
141,,,BAO_0000357,,1,B,Autocuration,,8,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,H,,CHEMBL615364,,
142,,,BAO_0000019,,1,F,Expert,,8,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,H,,CHEMBL615365,,
143,524.0,Mus musculus,BAO_0000219,P338,1,F,Intermediate,,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,80360,N,,CHEMBL615366,,
144,524.0,Mus musculus,BAO_0000219,P338,1,F,Intermediate,,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,80360,N,,CHEMBL615367,,
145,554.0,Homo sapiens,BAO_0000219,PBL,1,F,Intermediate,,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,80384,N,,CHEMBL615368,,
146,,Ovis aries,BAO_0000019,,1,F,Autocuration,,0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,22226,U,,CHEMBL615369,,
147,,Ovis aries,BAO_0000019,,1,F,Autocuration,,0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,22226,U,,CHEMBL615370,,
148,,,BAO_0000357,,1,B,Autocuration,,8,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),191,H,,CHEMBL615673,,
149,,Homo sapiens,BAO_0000019,,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,22226,U,,CHEMBL615674,,
150,,Homo sapiens,BAO_0000019,,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,22226,U,,CHEMBL615675,,
151,635.0,Homo sapiens,BAO_0000219,CCRF-CEM,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,22226,U,,CHEMBL615676,,
152,635.0,Homo sapiens,BAO_0000219,CCRF-CEM,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,22226,U,,CHEMBL615677,,
153,635.0,Homo sapiens,BAO_0000219,CCRF-CEM,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,22226,U,,CHEMBL615678,,
154,635.0,Homo sapiens,BAO_0000219,CCRF-CEM,1,F,Autocuration,,0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,22226,U,,CHEMBL615679,,
