assay_tissue,bao_format,assay_id,relationship_type,description,curated_by,cell_id,tid,variant_id,doc_id,tissue_id,assay_tax_id,assay_organism,assay_category,chembl_id,assay_cell_type,src_assay_id,assay_test_type,assay_subcellular_fraction,assay_type,src_id,confidence_score,assay_strain
,BAO_0000357,33,H,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,Autocuration,,12054,,11087,,3847.0,Glycine max,,CHEMBL615145,,,,,B,1,8,
,BAO_0000357,34,H,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,12054,,13622,,3847.0,Glycine max,,CHEMBL615146,,,,,B,1,8,
,BAO_0000357,35,H,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,Autocuration,,12054,,13622,,3847.0,Glycine max,,CHEMBL615147,,,,,B,1,8,
,BAO_0000019,36,U,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,Autocuration,,22226,,11347,,10116.0,Rattus norvegicus,,CHEMBL615148,,,,,A,1,0,
,BAO_0000019,37,U,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,Autocuration,,22226,,5926,,562.0,Escherichia coli,,CHEMBL615149,,,,,B,1,0,
,BAO_0000019,38,U,Dissociation constant with dimeric 16S rRNA RNA construct B,Autocuration,,22226,,4567,,,,,CHEMBL615150,,,,,B,1,0,
,BAO_0000225,39,M,Dissociation constant towards 16S rRNA construct A,Intermediate,,22222,,3782,,,,,CHEMBL615151,,,,,B,1,3,
,BAO_0000225,40,M,Dissociation constant towards 16S rRNA construct B,Intermediate,,22222,,3782,,,,,CHEMBL615152,,,,,B,1,3,
,BAO_0000225,41,M,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,Expert,,100263,,4466,,562.0,Escherichia coli,,CHEMBL615153,,,,,B,1,3,
,BAO_0000225,42,M,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,Expert,,100263,,6592,,562.0,Escherichia coli,,CHEMBL615154,,,,,B,1,3,
,BAO_0000019,43,H,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,13053,,898,,,,,CHEMBL615155,,,,,B,1,8,
,BAO_0000019,44,H,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,13053,,898,,,,,CHEMBL615156,,,,,B,1,8,
,BAO_0000019,45,H,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,20001,,13163,,9606.0,Homo sapiens,,CHEMBL615157,,,,,B,1,8,
,BAO_0000019,46,H,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,Autocuration,,20001,,13163,,9606.0,Homo sapiens,,CHEMBL615158,,,,,B,1,8,
,BAO_0000019,47,D,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,12971,,10691,,10116.0,Rattus norvegicus,,CHEMBL615159,,,,,B,1,9,
,BAO_0000019,48,D,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",Expert,,12971,,10691,,10116.0,Rattus norvegicus,,CHEMBL615172,,,,,B,1,9,
,BAO_0000019,49,D,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,12971,,10691,,10116.0,Rattus norvegicus,,CHEMBL615173,,,,,B,1,9,
,BAO_0000019,50,D,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",Expert,,12971,,10691,,10116.0,Rattus norvegicus,,CHEMBL615174,,,,,B,1,9,
,BAO_0000019,51,H,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),Autocuration,,13053,,898,,,,,CHEMBL884518,,,,,B,1,8,
,BAO_0000357,52,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),Autocuration,,11512,,912,,,,,CHEMBL615175,,,,,B,1,8,
,BAO_0000357,53,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,Autocuration,,11512,,912,,,,,CHEMBL615176,,,,,B,1,8,
,BAO_0000357,54,H,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,Autocuration,,11512,,912,,,,,CHEMBL615177,,,,,B,1,8,
,BAO_0000249,55,D,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Autocuration,,104740,,15103,,10116.0,Rattus norvegicus,,CHEMBL615178,,,,Membranes,B,1,5,
,BAO_0000219,56,N,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,Intermediate,506.0,80002,,5116,,9606.0,Homo sapiens,,CHEMBL615179,1A9,,,,F,1,1,
,BAO_0000219,57,D,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,Autocuration,,104835,,14578,,10116.0,Rattus norvegicus,,CHEMBL615180,Oocytes,,,,F,1,7,
,BAO_0000219,58,D,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,Autocuration,,104821,,14578,,10116.0,Rattus norvegicus,,CHEMBL615181,Oocytes,,,,F,1,7,
,BAO_0000219,59,D,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,Autocuration,,104848,,14578,,10116.0,Rattus norvegicus,,CHEMBL615182,Oocytes,,,,F,1,7,
,BAO_0000219,60,N,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,Expert,506.0,80002,,4787,,9606.0,Homo sapiens,,CHEMBL615183,1A9,,,,F,1,1,
,BAO_0000219,61,N,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,Intermediate,506.0,80002,,4787,,9606.0,Homo sapiens,,CHEMBL615184,1A9,,,,F,1,1,
,BAO_0000219,62,N,Cytotoxic activity against human ovarian cancer (1A9) cell line,Intermediate,506.0,80002,,3547,,9606.0,Homo sapiens,,CHEMBL615185,1A9,,,,F,1,1,
,BAO_0000219,63,N,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,Intermediate,506.0,80002,,3547,,9606.0,Homo sapiens,,CHEMBL615186,1A9,,,,F,1,1,
,BAO_0000219,64,N,Effective dose of compound against replication of 1A9 cell line was evaluated,Intermediate,506.0,80002,,6726,,9606.0,Homo sapiens,,CHEMBL615187,1A9,,,,F,1,1,
,BAO_0000219,65,N,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,Expert,506.0,80002,,3455,,9606.0,Homo sapiens,,CHEMBL885343,1A9,,,,F,1,1,
,BAO_0000219,66,N,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),Intermediate,506.0,80002,,5726,,9606.0,Homo sapiens,,CHEMBL615188,1A9,,,,F,1,1,
,BAO_0000219,67,N,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,Intermediate,506.0,80002,,5726,,9606.0,Homo sapiens,,CHEMBL615189,1A9,,,,F,1,1,
,BAO_0000219,68,N,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,Intermediate,506.0,80002,,5726,,9606.0,Homo sapiens,,CHEMBL615190,1A9,,,,F,1,1,
,BAO_0000219,69,N,Inhibitory activity against Taxol resistant 1A9 cell lines,Intermediate,506.0,80002,,3395,,9606.0,Homo sapiens,,CHEMBL615191,1A9,,,,F,1,1,
,BAO_0000219,70,N,Cytotoxicity against human ovarian cancer (1A9) cell lines.,Expert,506.0,80002,,3415,,9606.0,Homo sapiens,,CHEMBL615192,1A9,,,,F,1,1,
,BAO_0000219,71,N,Percentage inhibition of human ovarian cancer (1A9) cell lines.,Expert,506.0,80002,,3415,,9606.0,Homo sapiens,,CHEMBL827083,1A9,,,,F,1,1,
,BAO_0000219,72,N,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,Expert,506.0,80002,,17099,,9606.0,Homo sapiens,,CHEMBL615193,1A9,,,,F,1,1,
,BAO_0000219,73,N,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,Intermediate,506.0,80002,,17099,,9606.0,Homo sapiens,,CHEMBL615194,1A9,,,,F,1,1,
,BAO_0000219,74,N,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,Intermediate,506.0,80002,,17099,,9606.0,Homo sapiens,,CHEMBL615195,1A9,,,,F,1,1,
,BAO_0000219,75,N,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,Intermediate,506.0,80002,,17099,,9606.0,Homo sapiens,,CHEMBL615196,1A9,,,,F,1,1,
,BAO_0000219,76,N,Inhibitory concentration against Jurkat cells,Intermediate,503.0,81072,,17721,,9606.0,Homo sapiens,,CHEMBL615197,Jurkat,,,,F,1,1,
,BAO_0000019,77,U,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,Intermediate,,22226,,1229,,,,,CHEMBL615198,,,,,F,1,0,
,BAO_0000357,78,D,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,Expert,,100121,,11347,,10116.0,Rattus norvegicus,,CHEMBL615199,,,,,A,1,9,
,BAO_0000357,79,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,11231,,17117,,,,,CHEMBL615200,,,,,B,1,8,
,BAO_0000357,80,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",Expert,,11231,,17117,,,,,CHEMBL615201,,,,,B,1,8,
,BAO_0000357,81,H,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",Expert,,11231,,17117,,,,,CHEMBL615202,,,,,B,1,8,
,BAO_0000251,82,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Autocuration,,11231,,11375,,5476.0,Candida albicans,,CHEMBL615203,,,,Microsomes,B,1,8,
,BAO_0000251,83,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Autocuration,,11231,,11375,,5476.0,Candida albicans,,CHEMBL615204,,,,Microsomes,B,1,8,
,BAO_0000251,84,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,11231,,11375,,4932.0,Saccharomyces cerevisiae,,CHEMBL615205,,,,Microsomes,B,1,8,
,BAO_0000251,85,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Autocuration,,11231,,11375,,4932.0,Saccharomyces cerevisiae,,CHEMBL615206,,,,Microsomes,B,1,8,
Liver,BAO_0000251,86,H,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Autocuration,,12083,,11375,2107.0,9823.0,Sus scrofa,,CHEMBL615207,,,,Microsomes,B,1,8,
,BAO_0000019,87,H,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",Autocuration,,11231,,791,,10116.0,Rattus norvegicus,,CHEMBL827084,,,,,B,1,8,
,BAO_0000019,88,H,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",Autocuration,,11231,,791,,10116.0,Rattus norvegicus,,CHEMBL615208,,,,,B,1,8,
,BAO_0000019,89,H,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",Autocuration,,11231,,791,,10116.0,Rattus norvegicus,,CHEMBL615209,,,,,B,1,8,
Liver,BAO_0000251,90,D,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Autocuration,,12083,,11375,2107.0,10116.0,Rattus norvegicus,,CHEMBL615210,,,,Microsomes,B,1,9,
Liver,BAO_0000251,91,D,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,12083,,11375,2107.0,10116.0,Rattus norvegicus,,CHEMBL615211,,,,Microsomes,B,1,9,
Liver,BAO_0000251,92,D,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Autocuration,,12083,,153,2107.0,10116.0,Rattus norvegicus,,CHEMBL615212,,,,Microsomes,B,1,9,
,BAO_0000357,93,H,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),Expert,,11377,,8269,,,,,CHEMBL615213,,,,,B,1,8,
,BAO_0000357,94,H,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,Expert,,11377,,8269,,,,,CHEMBL615273,,,,,B,1,8,
,BAO_0000219,95,N,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,726.0,81020,,17653,,9606.0,Homo sapiens,,CHEMBL615274,HepG2,,,,F,1,1,
,BAO_0000219,96,N,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,Intermediate,726.0,81020,,14277,,9606.0,Homo sapiens,,CHEMBL615275,HepG2,,,,F,1,1,
,BAO_0000219,97,N,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,Intermediate,726.0,81020,,1717,,9606.0,Homo sapiens,,CHEMBL615276,HepG2,,,,F,1,1,
,BAO_0000219,98,N,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,Intermediate,726.0,81020,,14091,,9606.0,Homo sapiens,,CHEMBL615277,HepG2,,,,F,1,1,
,BAO_0000219,99,N,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,Intermediate,726.0,81020,,14091,,9606.0,Homo sapiens,,CHEMBL615326,HepG2,,,,F,1,1,
,BAO_0000218,100,N,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,Expert,,50606,,17653,,10407.0,Hepatitis B virus,,CHEMBL883130,,,,,F,1,1,
,BAO_0000219,101,N,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,Intermediate,726.0,81020,,13105,,9606.0,Homo sapiens,,CHEMBL884519,HepG2,,,,F,1,1,
,BAO_0000219,102,N,Concentration required to inhibit 50% of 2.2.15 cell line,Intermediate,726.0,81020,,1717,,9606.0,Homo sapiens,,CHEMBL615327,HepG2,,,,F,1,1,
,BAO_0000219,103,N,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,Intermediate,726.0,81020,,13105,,9606.0,Homo sapiens,,CHEMBL615328,HepG2,,,,A,1,1,
,BAO_0000218,104,N,Cytotoxic activity of compound against uninfected 2.2.15 cells.,Intermediate,,50587,,13600,,9606.0,Homo sapiens,,CHEMBL615329,2.2.15,,,,F,1,1,
,BAO_0000218,105,N,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,Intermediate,,50587,,13467,,9606.0,Homo sapiens,,CHEMBL615330,2.2.15,,,,F,1,1,
,BAO_0000218,106,N,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",Expert,,50606,,17477,,10407.0,Hepatitis B virus,,CHEMBL615331,2.2.15,,,,F,1,1,
,BAO_0000218,107,N,In vitro anti-HBV activity in 2.2.15 cells,Intermediate,,50587,,1593,,9606.0,Homo sapiens,,CHEMBL615332,2.2.15,,,,F,1,1,
,BAO_0000218,108,N,In vitro anti-HBV activity in 2.2.15 cells; Not determined,Intermediate,,50587,,1593,,9606.0,Homo sapiens,,CHEMBL615333,2.2.15,,,,F,1,1,
,BAO_0000218,109,N,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,Intermediate,,50587,,15089,,9606.0,Homo sapiens,,CHEMBL615334,2.2.15,,,,F,1,1,
,BAO_0000218,110,N,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,Intermediate,,50587,,15089,,9606.0,Homo sapiens,,CHEMBL615335,2.2.15,,,,F,1,1,
,BAO_0000218,111,N,Cytotoxicity in 2.2.15 cells,Intermediate,,50587,,1593,,9606.0,Homo sapiens,,CHEMBL615336,2.2.15,,,,F,1,1,
,BAO_0000218,112,N,Cytotoxicity in 2.2.15 cells; Not determined,Intermediate,,50587,,1593,,9606.0,Homo sapiens,,CHEMBL615337,2.2.15,,,,F,1,1,
,BAO_0000218,113,N,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,Intermediate,,50587,,13600,,9606.0,Homo sapiens,,CHEMBL615338,2.2.15,,,,F,1,1,
,BAO_0000218,114,N,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,Intermediate,,50587,,13467,,9606.0,Homo sapiens,,CHEMBL615339,2.2.15,,,,F,1,1,
,BAO_0000218,115,N,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,Intermediate,,50587,,13467,,9606.0,Homo sapiens,,CHEMBL615340,2.2.15,,,,F,1,1,
,BAO_0000219,116,N,Antiviral activity against HBV was determined in 2.215 cell line,Intermediate,726.0,81020,,14764,,9606.0,Homo sapiens,,CHEMBL615341,HepG2,,,,F,1,1,
,BAO_0000251,117,U,Inhibition of 20-HETE synthesis in human renal microsomes,Autocuration,,22226,,6531,,9606.0,Homo sapiens,,CHEMBL615342,,,,Microsomes,B,1,0,
,BAO_0000019,118,U,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,Autocuration,,22226,,17322,,,,,CHEMBL615343,,,,,B,1,0,
,BAO_0000219,119,N,Inhibitory concentration against 2008 (ovarian) cells,Intermediate,388.0,80612,,17072,,9606.0,Homo sapiens,,CHEMBL615344,2008,,,,F,1,1,
,BAO_0000219,120,N,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,Intermediate,388.0,80612,,16936,,9606.0,Homo sapiens,,CHEMBL615345,2008,,,,F,1,1,
,BAO_0000219,121,N,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),Intermediate,388.0,80612,,16936,,9606.0,Homo sapiens,,CHEMBL615346,2008,,,,F,1,1,
,BAO_0000219,122,N,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,Intermediate,388.0,80612,,17146,,9606.0,Homo sapiens,,CHEMBL615347,2008,,,,F,1,1,
,BAO_0000219,123,N,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,Intermediate,388.0,80612,,17146,,9606.0,Homo sapiens,,CHEMBL615348,2008,,,,F,1,1,
,BAO_0000219,124,N,In vitro inhibition of 2008/R ovarian cancer cell line,Intermediate,561.0,80613,,10797,,9606.0,Homo sapiens,,CHEMBL827085,2008/R,,,,F,1,1,
,BAO_0000219,125,N,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,Intermediate,561.0,80613,,10797,,9606.0,Homo sapiens,,CHEMBL615349,2008/R,,,,F,1,1,
,BAO_0000219,126,N,In vitro inhibition of 2008/S ovarian cancer cell line,Intermediate,389.0,80614,,10797,,9606.0,Homo sapiens,,CHEMBL615350,2008/S,,,,F,1,1,
,BAO_0000219,127,N,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,Intermediate,389.0,80614,,10797,,9606.0,Homo sapiens,,CHEMBL615351,2008/S,,,,F,1,1,
,BAO_0000220,128,S,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,Expert,,100256,,4823,,9606.0,Homo sapiens,,CHEMBL615352,,,,,B,1,2,
,BAO_0000220,129,S,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,Intermediate,,100256,,12912,,9606.0,Homo sapiens,,CHEMBL615353,,,,,B,1,2,
,BAO_0000220,130,S,Inhibition of chymotrypsin-like activity of 20S proteasome,Expert,,100256,,2957,,,,,CHEMBL615354,,,,,B,1,2,
,BAO_0000220,131,S,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,Expert,,100256,,2957,,,,,CHEMBL615355,,,,,B,1,2,
,BAO_0000220,132,S,Inhibitory activity against 20S proteosome,Intermediate,,100256,,3260,,,,,CHEMBL615356,,,,,B,1,2,
,BAO_0000019,133,U,Compound was tested for inhibitory activity against tryptase,Autocuration,,22226,,3451,,9606.0,Homo sapiens,,CHEMBL615357,,,,,B,1,0,
,BAO_0000219,134,N,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,Intermediate,726.0,81020,,13885,,9606.0,Homo sapiens,,CHEMBL615358,HepG2,,,,F,1,1,
,BAO_0000219,135,N,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,Intermediate,726.0,81020,,13885,,9606.0,Homo sapiens,,CHEMBL827086,HepG2,,,,F,1,1,
,BAO_0000019,136,U,Compound was tested for the inhibition of Alpha-glucosidase,Autocuration,,22226,,3676,,,,,CHEMBL615359,,,,,B,1,0,
,BAO_0000357,137,H,Inhibitory concentration against human neutrophil elastase (HNE),Autocuration,,235,,6043,,,,,CHEMBL615360,,,,,B,1,8,
Heart,BAO_0000218,138,U,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Autocuration,,22226,,11140,948.0,10116.0,Rattus norvegicus,,CHEMBL615361,,,,,F,1,0,
