prospect_AgencyID,prospect_State,prospect_AddressLine2,prospect_Country,prospect_Employer,prospect_CreditRating,prospect_Income,prospect_NumberCars,prospect_NumberChildren,prospect_MaritalStatus,prospect_Age,prospect_OwnOrRentFlag,prospect_NumberCreditCards,prospect_NetWorth
Gar27,FL,,United States of America,,354.0,495334.0,0.0,,S,51.0,O,0.0,597140.0
Dor28,Newfoundland,,United States of America,Great Plains Energy,511.0,274685.0,1.0,1.0,M,97.0,O,1.0,146931.0
DIO29,TX,,United States of America,Broadcom,412.0,320820.0,2.0,2.0,,52.0,,7.0,353495.0
Mer30,WA,,Canada,Discover Financial Services,583.0,195835.0,4.0,0.0,S,98.0,O,1.0,295647.0
Atc31,MN,,United States of America,UAL,710.0,108085.0,5.0,3.0,U,47.0,O,5.0,408941.0
Pla32,WY,,United States of America,Charles Schwab,380.0,260185.0,2.0,1.0,M,47.0,O,9.0,362523.0
SEL33,NY,,United States of America,Coach,796.0,258323.0,0.0,0.0,M,9.0,R,2.0,2102359.0
sha34,SC,,United States of America,DaVita,818.0,79476.0,1.0,3.0,M,85.0,U,2.0,3480265.0
MER35,MS,,United States of America,Marshall & Ilsley Corp.,766.0,102156.0,5.0,3.0,M,81.0,U,3.0,3648900.0
con36,UT,,United States of America,Cablevision Systems,359.0,221481.0,2.0,3.0,M,0.0,O,2.0,1161790.0
ons37,PA,,United States of America,Barnes & Noble,401.0,41836.0,1.0,5.0,S,28.0,R,2.0,2050587.0
Sum38,OK,,Canada,EMC,609.0,72389.0,1.0,1.0,U,65.0,O,0.0,3579198.0
gro39,WY,,United States of America,Fluor,630.0,66486.0,3.0,0.0,S,20.0,O,2.0,889494.0
dil40,RI,Apt. 382,United States of America,Dollar General,671.0,200185.0,3.0,1.0,M,55.0,O,9.0,2205682.0
DOL41,HI,,United States of America,Lear,715.0,289215.0,0.0,2.0,U,76.0,O,10.0,1140117.0
Pos42,VA,,United States of America,J.P. Morgan Chase & Co.,707.0,322484.0,4.0,1.0,M,1.0,O,9.0,1421319.0
Mac43,OK,,United States of America,Affinia Group Intermediate,329.0,83458.0,4.0,2.0,M,3.0,O,0.0,3525204.0
che44,Prince Edward Island,,United States of America,,601.0,,0.0,3.0,D,100.0,R,8.0,468976.0
hol45,SD,,United States of America,Goldman Sachs Group,623.0,492407.0,5.0,1.0,W,81.0,O,2.0,1685443.0
pfi46,OH,,United States of America,E*Trade Financial,376.0,346630.0,4.0,4.0,S,76.0,O,2.0,337564.0
elk47,MA,,Canada,Pfizer,560.0,9572.0,1.0,3.0,W,51.0,O,0.0,84777.0
Lab48,MD,,United States of America,Safeway,693.0,265369.0,1.0,5.0,,,O,4.0,3146477.0
laf49,Saskatchewan,,United States of America,Simon Property Group,346.0,104172.0,1.0,2.0,S,58.0,U,0.0,495277.0
Nor50,WA,,United States of America,Trinity Industries,342.0,65550.0,0.0,3.0,M,52.0,O,0.0,746904.0
hag51,OH,,Canada,Solutia,563.0,,2.0,0.0,M,91.0,R,8.0,1219620.0
Bet52,WY,,United States of America,,391.0,,2.0,3.0,M,17.0,O,4.0,1718910.0
Van53,NJ,,United States of America,A.O. Smith,381.0,66244.0,4.0,4.0,S,6.0,O,8.0,
O'L54,ND,,United States of America,AptarGroup,539.0,426954.0,0.0,3.0,S,89.0,U,9.0,2636424.0
and55,NC,,United States of America,Coca-Cola,497.0,126891.0,5.0,4.0,M,99.0,O,0.0,1326305.0
sta56,WV,,Canada,Kimberly-Clark,661.0,454196.0,4.0,2.0,M,77.0,O,,2241997.0
CHA57,GA,Apt. 275,United States of America,Visteon,558.0,163940.0,5.0,3.0,S,,R,0.0,1542891.0
ASI58,Ontario,,Canada,TECO Energy,534.0,365213.0,,1.0,W,90.0,O,,797918.0
ask59,MA,,United States of America,Bemis,373.0,428739.0,0.0,0.0,M,82.0,U,6.0,347654.0
Kik60,CA,,United States of America,Wyeth,382.0,142444.0,4.0,0.0,M,,O,8.0,2456397.0
Cha61,SD,,United States of America,United Technologies,475.0,416168.0,3.0,3.0,S,15.0,O,10.0,1284229.0
KIL62,Saskatchewan,,United States of America,Clorox,539.0,291420.0,2.0,0.0,D,,O,3.0,618787.0
kin63,RI,,United States of America,Discovery Communications,711.0,413501.0,4.0,5.0,M,96.0,O,6.0,1171606.0
MAL64,NC,,United States of America,Williams-Sonoma,606.0,,4.0,,M,38.0,O,1.0,3983261.0
Odu65,SD,,United States of America,Manitowoc,494.0,419143.0,3.0,3.0,W,10.0,O,0.0,2328568.0
DI 66,IL,,United States of America,Henry Schein,309.0,155057.0,1.0,5.0,M,72.0,O,3.0,2078600.0
STU67,OR,,United States of America,Trinity Industries,630.0,313859.0,2.0,5.0,M,97.0,O,3.0,2986155.0
HAM68,Ontario,,United States of America,Pepsi Bottling,330.0,265907.0,4.0,1.0,S,48.0,O,10.0,1864039.0
LIB69,FL,,Canada,UGI,710.0,283481.0,,0.0,S,97.0,O,9.0,1293721.0
ohs70,NM,,United States of America,Greif,475.0,200635.0,4.0,0.0,M,73.0,R,7.0,3850114.0
HUM71,NE,APT. 143,United States of America,Equifax,596.0,434519.0,0.0,1.0,U,71.0,O,3.0,1618743.0
BRA72,MI,,United States of America,,670.0,392315.0,5.0,1.0,W,93.0,O,9.0,3383487.0
Boa73,New Brunswick,,United States of America,Freescale Semiconductor,722.0,493829.0,5.0,3.0,U,53.0,O,,2981876.0
Mcn74,NJ,,United States of America,Aleris International,587.0,97489.0,3.0,2.0,U,32.0,O,7.0,2109339.0
MAR75,ND,,United States of America,,609.0,,4.0,3.0,S,1.0,O,4.0,791803.0
Wil76,Saskatchewan,,United States of America,World Fuel Services,401.0,383046.0,0.0,1.0,S,39.0,O,7.0,3523678.0
Dea77,KS,,United States of America,R.R. Donnelley & Sons,335.0,1190.0,4.0,0.0,M,77.0,,0.0,1681902.0
Hou78,SD,,United States of America,Brinker International,569.0,85733.0,5.0,5.0,U,18.0,O,7.0,3851455.0
Goy79,FL,,Canada,Temple-Inland,,387890.0,0.0,2.0,M,70.0,R,9.0,2339382.0
Mok80,Saskatchewan,,United States of America,Psychiatric Solutions,679.0,16808.0,2.0,0.0,S,26.0,O,7.0,
Run81,FL,,United States of America,Nash-Finch,356.0,304589.0,,4.0,M,,,10.0,2065016.0
BEL82,UT,,United States of America,AMR,308.0,48506.0,2.0,5.0,S,58.0,R,9.0,2454049.0
BAE83,WY,,United States of America,Spartan Stores,412.0,,0.0,4.0,M,43.0,O,4.0,2423395.0
MAU84,NH,,United States of America,Cigna,618.0,358862.0,2.0,3.0,D,65.0,O,4.0,1342045.0
Koo85,AR,,United States of America,General Cable,429.0,477614.0,5.0,3.0,S,24.0,O,5.0,861756.0
Lau86,CT,,United States of America,Dun & Bradstreet,819.0,175414.0,3.0,1.0,S,79.0,O,3.0,1215349.0
Man87,VT,,Canada,Casey's General Stores,552.0,427598.0,0.0,1.0,M,48.0,O,7.0,3981554.0
PIE88,Manitoba,,United States of America,Jack in the Box,587.0,368207.0,0.0,4.0,S,69.0,O,9.0,3865937.0
Bus89,NJ,,United States of America,Assurant,304.0,449944.0,3.0,1.0,S,91.0,O,6.0,2804700.0
BAB90,KY,,United States of America,Psychiatric Solutions,795.0,166247.0,5.0,5.0,,75.0,U,4.0,3283558.0
Bur91,GA,APT. 373,United States of America,Danaher,830.0,391165.0,1.0,3.0,S,85.0,O,2.0,450524.0
Kin92,NJ,,United States of America,Clorox,709.0,165854.0,5.0,3.0,M,76.0,R,3.0,
POM93,SC,,United States of America,Boyd Gaming,493.0,326181.0,2.0,1.0,S,68.0,O,8.0,
BOA94,TN,,United States of America,Eaton,680.0,173387.0,3.0,,M,95.0,O,,633760.0
Ron95,WY,,United States of America,Dynegy,800.0,301127.0,1.0,5.0,M,15.0,R,,3634954.0
wei96,Ontario,,United States of America,AmeriCredit,614.0,487230.0,1.0,5.0,M,17.0,R,4.0,799268.0
Hel97,DC,,Canada,SLM,763.0,425747.0,4.0,0.0,,94.0,R,6.0,39093.0
mog98,Alberta,,United States of America,NV Energy,561.0,401946.0,4.0,4.0,S,70.0,O,3.0,2705353.0
boz99,ME,,United States of America,Landstar System,569.0,425422.0,1.0,2.0,S,29.0,O,4.0,3565153.0
Zah100,MA,,United States of America,Pacific Life,634.0,208890.0,4.0,1.0,M,52.0,O,5.0,2832204.0
And101,NV,,United States of America,Textron,488.0,67880.0,5.0,3.0,U,51.0,O,10.0,2194345.0
Bam102,WA,,Canada,Pfizer,788.0,133412.0,2.0,3.0,W,24.0,O,5.0,3737140.0
fro103,WY,,United States of America,Cigna,333.0,144829.0,3.0,4.0,D,98.0,O,8.0,464753.0
Car104,NJ,,United States of America,Ameren,601.0,,1.0,1.0,M,59.0,U,,596696.0
muc105,LA,,Canada,Consolidated Edison,595.0,143682.0,3.0,4.0,U,49.0,O,2.0,1504753.0
gat106,TX,,United States of America,Occidental Petroleum,433.0,350020.0,0.0,1.0,U,1.0,O,10.0,3049281.0
Sch107,SC,,United States of America,Sherwin-Williams,403.0,435103.0,0.0,,U,79.0,O,10.0,247478.0
pom108,TX,,United States of America,Affiliated Computer Services,615.0,207768.0,1.0,5.0,,6.0,R,3.0,2750301.0
cuc109,MN,,United States of America,Valassis Communications,735.0,407512.0,0.0,4.0,M,70.0,O,1.0,721333.0
SUG110,ID,,United States of America,,668.0,403366.0,3.0,0.0,S,23.0,O,1.0,669440.0
Pep111,MI,,Canada,Smithfield Foods,349.0,384095.0,3.0,5.0,M,78.0,O,,2473979.0
Cha112,OK,SUITE 7,United States of America,,654.0,288969.0,4.0,,S,79.0,,,3545170.0
SEI113,UT,Apt. 971,United States of America,TD Ameritrade,361.0,233665.0,2.0,3.0,U,72.0,O,6.0,1494871.0
GAR114,PA,,Canada,Comerica,427.0,147236.0,4.0,0.0,S,31.0,U,1.0,436164.0
Tou115,New Brunswick,,United States of America,Steel Dynamics,322.0,452557.0,0.0,3.0,W,86.0,O,1.0,1069481.0
Kur116,UT,,United States of America,Coca-Cola Enterprises,792.0,179305.0,2.0,0.0,S,,R,9.0,
Her117,VA,,Canada,News Corp.,478.0,205817.0,3.0,0.0,U,87.0,O,2.0,2957261.0
MCV118,NH,,United States of America,,477.0,262711.0,,5.0,M,92.0,O,1.0,228459.0
LAB119,VT,,Canada,Stater Bros. Holdings,449.0,84810.0,1.0,5.0,M,4.0,O,6.0,67267.0
but120,FL,,United States of America,BorgWarner,466.0,96441.0,2.0,4.0,U,8.0,O,2.0,1087978.0
Pro121,NC,,United States of America,CB Richard Ellis Group,483.0,462762.0,0.0,5.0,M,97.0,O,2.0,3885967.0
Irc122,VA,,United States of America,Zimmer Holdings,588.0,141890.0,5.0,4.0,D,,O,4.0,3271101.0
Ziv123,DC,,Canada,Mohawk Industries,313.0,156610.0,5.0,5.0,,40.0,O,2.0,
sim124,NC,,United States of America,Berkshire Hathaway,647.0,164752.0,1.0,4.0,U,95.0,R,1.0,1999133.0
kei125,MS,,United States of America,Saks,430.0,278949.0,1.0,5.0,S,92.0,O,2.0,1100786.0
arv126,SC,,United States of America,Gardner Denver,467.0,,0.0,5.0,W,67.0,O,8.0,563992.0
Pra127,KS,,United States of America,Hasbro,399.0,463736.0,3.0,2.0,M,24.0,O,7.0,962397.0
lue128,VT,,United States of America,CBS,654.0,,2.0,3.0,M,26.0,O,5.0,1064169.0
Prz129,IL,,United States of America,Synnex,378.0,86667.0,2.0,0.0,S,62.0,O,3.0,2100059.0
pen130,FL,,United States of America,Belden,338.0,193470.0,5.0,1.0,W,37.0,O,10.0,99025.0
Gua131,MI,,United States of America,Broadcom,695.0,406379.0,5.0,0.0,S,71.0,R,10.0,3865481.0
bre132,Newfoundland,,Canada,Reynolds American,614.0,480595.0,1.0,3.0,M,29.0,U,7.0,804544.0
Sav133,ME,,United States of America,Wells Fargo,307.0,181718.0,4.0,5.0,S,89.0,O,7.0,3143356.0
ABB134,AL,,United States of America,Retail Ventures,331.0,468310.0,0.0,3.0,M,11.0,O,2.0,
OP135,IN,,United States of America,AT&T,638.0,354987.0,2.0,0.0,S,20.0,O,2.0,2311953.0
Mer136,NH,,Canada,Wynn Resorts,703.0,284539.0,3.0,5.0,W,75.0,O,3.0,3120608.0
rut137,DC,,United States of America,Eastman Kodak,302.0,213725.0,0.0,5.0,S,95.0,O,7.0,2058270.0
bem138,DC,,United States of America,Aramark,522.0,74195.0,2.0,3.0,U,0.0,O,,1511983.0
Pen139,MD,,United States of America,ENSCO International,,169295.0,5.0,1.0,M,73.0,O,,439080.0
tor140,Prince Edward Island,,United States of America,Auto-Owners Insurance,833.0,307832.0,1.0,0.0,W,39.0,R,5.0,921255.0
law141,MD,,United States of America,Bemis,,20397.0,1.0,1.0,U,76.0,O,2.0,3810365.0
Bee142,New Brunswick,Suite 397,United States of America,Securian Financial Group,664.0,463094.0,2.0,2.0,U,5.0,O,6.0,2641938.0
sch143,HI,,United States of America,Ford Motor,789.0,331900.0,4.0,1.0,U,65.0,O,7.0,3857323.0
Wit144,ND,,United States of America,ConAgra Foods,803.0,8421.0,5.0,0.0,S,94.0,U,0.0,1636212.0
MER145,Nova Scotia,,United States of America,Charter Communications,720.0,35780.0,4.0,4.0,M,95.0,,3.0,2999082.0
bia146,ME,,United States of America,Calpine,839.0,139897.0,1.0,0.0,M,28.0,R,4.0,2280820.0
Swi147,Alberta,SUITE 464,United States of America,Crane,621.0,414119.0,4.0,1.0,D,76.0,O,0.0,1050866.0
bul148,VT,,United States of America,Textron,628.0,234035.0,5.0,4.0,D,81.0,O,3.0,
TYR149,DE,,Canada,Idearc,813.0,144405.0,3.0,5.0,W,38.0,O,6.0,603001.0
Fyf150,MA,,United States of America,Cabela's,367.0,55441.0,5.0,3.0,W,25.0,R,3.0,3368239.0
Sic151,CA,,United States of America,EOG Resources,807.0,392869.0,4.0,2.0,D,0.0,O,10.0,1042629.0
CAS152,Manitoba,,United States of America,,501.0,402416.0,3.0,4.0,U,61.0,O,8.0,1948746.0
Cho153,TN,,United States of America,Burlington Coat Factory,490.0,89984.0,0.0,2.0,U,3.0,O,10.0,3113862.0
CHA154,FL,,United States of America,Southwest Airlines,321.0,395773.0,2.0,3.0,W,77.0,O,3.0,2777290.0
bei155,CA,,United States of America,RPM International,,126662.0,1.0,0.0,U,8.0,R,6.0,2210073.0
Ele156,CO,,United States of America,Amazon.com,446.0,132008.0,4.0,1.0,U,34.0,O,7.0,1999684.0
o'g157,Saskatchewan,,United States of America,Neiman Marcus,428.0,417218.0,5.0,5.0,M,15.0,O,2.0,2119678.0
Kat158,UT,,United States of America,Goldman Sachs Group,423.0,360063.0,0.0,0.0,S,66.0,O,5.0,169808.0
Lui159,ME,,United States of America,Boeing,499.0,100516.0,5.0,4.0,U,55.0,O,6.0,1072732.0
Kla160,NH,,United States of America,United Refining,342.0,16814.0,1.0,1.0,S,8.0,O,7.0,2261442.0
Bru161,VA,,United States of America,D.R. Horton,632.0,,1.0,3.0,M,7.0,U,1.0,2234368.0
Apt162,TX,,United States of America,Jarden,525.0,315962.0,3.0,1.0,M,97.0,O,6.0,575288.0
sch163,Saskatchewan,,United States of America,Systemax,371.0,299268.0,5.0,1.0,M,95.0,R,9.0,1102479.0
Lan164,NH,,United States of America,Marriott International,699.0,301490.0,1.0,3.0,U,92.0,O,4.0,2995388.0
Fus165,VA,,United States of America,Expeditors International,435.0,36052.0,3.0,2.0,M,17.0,O,8.0,1147193.0
Nev166,IA,,United States of America,Great Plains Energy,512.0,437483.0,1.0,4.0,U,81.0,U,2.0,1136540.0
SHA167,NC,,Canada,Danaher,552.0,152971.0,5.0,,M,13.0,O,6.0,1677669.0
Sau168,NH,,Canada,,,449495.0,0.0,2.0,M,78.0,O,8.0,2160706.0
fri169,AL,,United States of America,Watson Wyatt Worldwide,687.0,349827.0,4.0,1.0,M,78.0,O,5.0,2525665.0
fer170,British Columbia,,United States of America,Yahoo,433.0,9562.0,3.0,1.0,M,85.0,R,0.0,3517622.0
LAN171,MD,,United States of America,Convergys,746.0,24514.0,1.0,2.0,U,68.0,,7.0,
Bha172,IA,,Canada,Celanese,405.0,407985.0,0.0,0.0,M,1.0,R,9.0,97675.0
Jor173,ND,,United States of America,Dana Holding,805.0,,5.0,5.0,M,83.0,O,,
KNU174,NY,,United States of America,XTO Energy,819.0,257897.0,4.0,4.0,M,78.0,O,5.0,3569070.0
Ham175,OR,,United States of America,Alliance Data Systems,648.0,261143.0,0.0,5.0,M,,O,0.0,1507616.0
MAU176,MO,,United States of America,Franklin Resources,401.0,110615.0,5.0,5.0,U,5.0,R,10.0,514151.0
Rez177,CT,Apt. 426,United States of America,Fidelity National Financial,484.0,407799.0,2.0,0.0,U,43.0,U,8.0,2903408.0
Koa178,MO,,Canada,FirstEnergy,463.0,195242.0,4.0,4.0,U,53.0,O,1.0,1695814.0
HAN179,MN,,United States of America,Commercial Metals,335.0,315490.0,3.0,0.0,U,13.0,O,5.0,868465.0
jak180,NC,,United States of America,Genzyme,,22201.0,5.0,4.0,U,7.0,O,10.0,2810709.0
ump181,TN,,United States of America,US Airways Group,381.0,441579.0,4.0,5.0,M,17.0,R,7.0,3593363.0
Wic182,NV,,Canada,Advanced Micro Devices,708.0,342730.0,2.0,2.0,M,67.0,O,1.0,2607636.0
Gat183,AL,Apt. 540,Canada,United Parcel Service,354.0,117267.0,5.0,4.0,M,54.0,R,8.0,2735642.0
bot184,NE,,United States of America,Fastenal,547.0,260107.0,1.0,4.0,S,5.0,,10.0,1501732.0
DAV185,KS,,United States of America,Core-Mark Holding,761.0,166760.0,1.0,1.0,D,28.0,O,9.0,397072.0
HIL186,NY,,United States of America,Boise,659.0,401021.0,4.0,1.0,M,5.0,O,1.0,3399757.0
war187,NY,,United States of America,DST Systems,351.0,70945.0,4.0,2.0,M,,R,9.0,2684548.0
MAC188,Saskatchewan,apt. 48,United States of America,United States Steel,608.0,389391.0,3.0,3.0,S,72.0,O,7.0,3041622.0
lev189,Prince Edward Island,,United States of America,Pepco Holdings,706.0,63226.0,4.0,2.0,S,12.0,O,3.0,3211816.0
Goo190,Alberta,apt. 968,United States of America,Acuity Brands,391.0,206220.0,0.0,4.0,M,71.0,O,8.0,127026.0
Koh191,Ontario,,United States of America,Baker Hughes,461.0,,5.0,4.0,W,90.0,R,2.0,588945.0
AYL192,TN,,United States of America,Newell Rubbermaid,510.0,337152.0,4.0,4.0,U,20.0,O,2.0,1962620.0
CHO193,VA,,United States of America,Westlake Chemical,805.0,312074.0,,2.0,W,58.0,O,5.0,178193.0
DIT194,TX,,United States of America,Jones Lang LaSalle,702.0,68551.0,2.0,4.0,M,57.0,O,7.0,2102811.0
EMI195,MT,,United States of America,Burger King Holdings,368.0,488800.0,4.0,1.0,W,43.0,O,3.0,2246854.0
Ryd196,IL,APT. 392,United States of America,Hovnanian Enterprises,520.0,431633.0,3.0,2.0,W,39.0,R,8.0,1312448.0
mei197,WY,,United States of America,Medical Mutual of Ohio,666.0,72797.0,0.0,3.0,S,87.0,O,2.0,295993.0
Ceg198,NC,,United States of America,Lockheed Martin,587.0,260576.0,0.0,1.0,S,57.0,O,9.0,1220003.0
hai199,ND,,United States of America,Yum Brands,643.0,200096.0,4.0,5.0,U,58.0,O,4.0,2400476.0
cle200,GA,,United States of America,Wesco International,484.0,,,4.0,,28.0,R,5.0,2900897.0
Cie201,VA,,United States of America,Volt Information Sciences,,267656.0,3.0,1.0,U,95.0,R,3.0,3942140.0
Par202,Prince Edward Island,,United States of America,Western Union,676.0,35253.0,1.0,2.0,S,98.0,R,8.0,2118119.0
LOZ203,OR,,United States of America,,300.0,113159.0,5.0,2.0,M,55.0,O,4.0,338540.0
Pas204,WI,APT. 630,Canada,Lubrizol,,297444.0,2.0,3.0,,14.0,R,8.0,2617116.0
Aul205,ID,,United States of America,C.H. Robinson Worldwide,831.0,52092.0,3.0,1.0,M,30.0,O,9.0,1459711.0
bar206,MT,,United States of America,Celgene,609.0,30249.0,3.0,1.0,M,90.0,O,7.0,1804959.0
ELL207,MD,,United States of America,Leggett & Platt,679.0,483052.0,2.0,0.0,S,69.0,O,2.0,2957472.0
for208,NY,suite 344,United States of America,Fidelity National Information,634.0,287060.0,4.0,0.0,U,67.0,O,6.0,2919293.0
Bur209,HI,,Canada,Arch Coal,338.0,274154.0,1.0,1.0,W,41.0,O,4.0,3610130.0
FOL210,DE,,United States of America,Affinia Group Intermediate,332.0,379659.0,5.0,5.0,M,2.0,O,4.0,1209441.0
Led211,PA,,United States of America,Kellogg,721.0,,0.0,0.0,M,89.0,O,8.0,1058712.0
kop212,IN,,United States of America,PerkinElmer,351.0,100796.0,4.0,1.0,,88.0,O,3.0,1946028.0
pay213,MT,,Canada,Limited Brands,564.0,128277.0,1.0,1.0,M,90.0,O,6.0,1420984.0
PAL214,WY,,United States of America,OfficeMax,379.0,147414.0,1.0,3.0,M,54.0,O,9.0,213235.0
fel215,FL,,United States of America,J.B. Hunt Transport Services,727.0,51559.0,1.0,2.0,S,53.0,O,8.0,472425.0
ATW216,RI,,United States of America,American Express,578.0,355622.0,2.0,3.0,U,89.0,O,2.0,1160132.0
Mcb217,CO,,United States of America,Occidental Petroleum,642.0,468116.0,5.0,1.0,W,31.0,O,10.0,2869995.0
Jal218,SD,apt. 3,United States of America,Shaw Group,,276728.0,1.0,0.0,M,1.0,O,1.0,3727044.0
vem219,TX,,Canada,W.W. Grainger,554.0,135306.0,3.0,0.0,S,57.0,R,,2293241.0
BAR220,VT,,United States of America,IDT,733.0,99566.0,1.0,0.0,U,10.0,U,6.0,2846515.0
PES221,IN,,United States of America,General Mills,345.0,263959.0,2.0,4.0,M,74.0,O,10.0,1619956.0
Sha222,UT,,United States of America,RBS Global,644.0,441498.0,2.0,0.0,M,28.0,R,6.0,2367607.0
Sch223,NV,,United States of America,Realogy,564.0,429621.0,3.0,0.0,S,96.0,U,3.0,3795566.0
Mat224,TX,,United States of America,ArvinMeritor,465.0,181214.0,1.0,3.0,M,42.0,O,10.0,734762.0
JAI225,OR,,United States of America,Amkor Technology,652.0,212502.0,,4.0,D,64.0,O,8.0,908994.0
KAR226,Ontario,,United States of America,Lear,714.0,244545.0,5.0,4.0,M,,O,6.0,2561296.0
gus227,Saskatchewan,APT. 587,Canada,Asbury Automotive Group,383.0,218681.0,5.0,4.0,M,49.0,R,10.0,3181069.0
Ann228,MO,,United States of America,Limited Brands,336.0,296916.0,,5.0,,81.0,O,7.0,2632226.0
lab229,UT,,Canada,Beazer Homes USA,626.0,453659.0,0.0,2.0,,57.0,O,9.0,
fli230,IL,,United States of America,,549.0,194450.0,3.0,0.0,S,42.0,U,0.0,1151333.0
sat231,NM,,United States of America,Acuity Brands,492.0,49533.0,5.0,4.0,U,30.0,O,0.0,2763939.0
tho232,NC,,United States of America,ABM Industries,327.0,394819.0,2.0,4.0,M,56.0,O,0.0,370710.0
CRI233,AZ,,United States of America,,545.0,342754.0,3.0,3.0,S,3.0,O,10.0,1192164.0
Gas234,CT,,United States of America,Southwestern Energy,571.0,224435.0,1.0,0.0,M,53.0,O,0.0,223487.0
Cha235,VA,,United States of America,Delta Air Lines,423.0,37717.0,0.0,2.0,W,67.0,O,7.0,2341143.0
Net236,NV,,United States of America,ITT,655.0,286483.0,1.0,0.0,,94.0,O,4.0,1774784.0
WOO237,VA,,United States of America,Health Management Associates,488.0,185412.0,0.0,5.0,M,37.0,O,0.0,3951308.0
val238,British Columbia,,United States of America,Western Union,352.0,472518.0,4.0,,M,75.0,,6.0,2756025.0
Ber239,VA,,United States of America,Family Insurance Group,810.0,425307.0,,1.0,M,51.0,O,0.0,1833112.0
lab240,TX,,United States of America,Advance Auto Parts,686.0,304909.0,2.0,2.0,D,74.0,O,8.0,698884.0
VRE241,CO,,Canada,J.P. Morgan Chase & Co.,389.0,231226.0,0.0,2.0,M,100.0,R,0.0,3287261.0
GOO242,GA,,United States of America,Fidelity National Financial,761.0,219026.0,0.0,0.0,M,,U,,3337290.0
cha243,NE,,United States of America,Toro,589.0,414993.0,0.0,1.0,D,28.0,O,4.0,2963197.0
TAM244,NC,,United States of America,Mueller Water Products,492.0,24837.0,0.0,0.0,M,18.0,O,1.0,1487009.0
CUM245,OK,Suite 463,United States of America,Energy Future Holdings,442.0,200645.0,2.0,5.0,D,77.0,U,10.0,3177428.0
SIM246,MO,,United States of America,Weis Markets,649.0,22605.0,4.0,3.0,S,14.0,O,8.0,1886280.0
Est247,AR,,United States of America,MasterCard,337.0,,0.0,0.0,U,23.0,O,8.0,1853087.0
han248,MT,,United States of America,Oracle,572.0,389524.0,4.0,,D,1.0,R,8.0,195847.0
