ss_d,chmbl_d,cnfdnc_scr,dc_d,crtd_b,ss_ctgr,ss_sbclllr_frctn,td,rltnshp_tp,src_d,src_ss_d,cll_d,b_frmt,tss_d,vrnt_d
7573,CHEMBL621379,1,5937,Intermediate,,,50597,N,1,,,BAO_0000218,,
7574,CHEMBL621380,1,5819,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7575,CHEMBL621381,1,5819,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7576,CHEMBL618515,1,6803,Intermediate,,,50597,N,1,,,BAO_0000218,,
7577,CHEMBL618516,1,17804,Intermediate,,,50597,N,1,,,BAO_0000218,,
7578,CHEMBL618517,1,17804,Intermediate,,,50597,N,1,,,BAO_0000218,,
7579,CHEMBL618518,1,5948,Intermediate,,,50597,N,1,,,BAO_0000218,,
7580,CHEMBL618519,1,1916,Intermediate,,,50597,N,1,,,BAO_0000218,,
7581,CHEMBL618698,1,1916,Intermediate,,,50597,N,1,,,BAO_0000218,,
7582,CHEMBL618862,1,1916,Intermediate,,,50597,N,1,,,BAO_0000218,,
7583,CHEMBL618863,1,4890,Intermediate,,,50597,N,1,,,BAO_0000218,,
7584,CHEMBL618864,1,17764,Intermediate,,,50597,N,1,,,BAO_0000218,,
7585,CHEMBL618865,1,4727,Intermediate,,,50597,N,1,,,BAO_0000218,,
7586,CHEMBL618866,1,17509,Intermediate,,,50597,N,1,,,BAO_0000218,,
7587,CHEMBL618867,1,17509,Intermediate,,,50597,N,1,,,BAO_0000218,,
7588,CHEMBL875828,1,6597,Intermediate,,,50597,N,1,,,BAO_0000218,,
7589,CHEMBL618868,1,17735,Intermediate,,,50597,N,1,,,BAO_0000218,,
7590,CHEMBL618869,1,6597,Intermediate,,,50597,N,1,,,BAO_0000218,,
7591,CHEMBL618870,1,17670,Intermediate,,,50597,N,1,,,BAO_0000218,,
7592,CHEMBL618871,1,1696,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7593,CHEMBL618872,1,1742,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7594,CHEMBL873816,1,17800,Intermediate,,,50597,N,1,,,BAO_0000218,,
7595,CHEMBL618873,0,12923,Autocuration,,,22224,U,1,,,BAO_0000218,,
7596,CHEMBL621602,0,11954,Autocuration,,,22224,U,1,,,BAO_0000019,,
7597,CHEMBL621603,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7598,CHEMBL621604,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7599,CHEMBL621605,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7600,CHEMBL621606,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7601,CHEMBL621607,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7602,CHEMBL621608,0,11954,Autocuration,,,22224,U,1,,,BAO_0000218,,
7603,CHEMBL621609,0,5237,Autocuration,,,22224,U,1,,,BAO_0000019,,
7604,CHEMBL621610,0,4026,Autocuration,,,22224,U,1,,,BAO_0000218,,
7605,CHEMBL621611,1,5237,Intermediate,,,50597,N,1,,,BAO_0000218,,
7606,CHEMBL621612,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7607,CHEMBL622308,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7608,CHEMBL622309,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7609,CHEMBL622310,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7610,CHEMBL622311,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7611,CHEMBL622312,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7612,CHEMBL622931,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7613,CHEMBL622932,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,,
7614,CHEMBL622736,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7615,CHEMBL622737,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7616,CHEMBL622738,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7617,CHEMBL622739,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7618,CHEMBL622740,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7619,CHEMBL622741,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7620,CHEMBL622742,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7621,CHEMBL622743,1,14793,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7622,CHEMBL622744,1,11637,Intermediate,,,50594,N,1,,,BAO_0000218,1969.0,
7623,CHEMBL624134,0,11149,Autocuration,,,22224,U,1,,,BAO_0000019,,
7624,CHEMBL624135,0,10016,Autocuration,,,22224,U,1,,,BAO_0000019,,
7625,CHEMBL624136,1,17796,Intermediate,,,50597,N,1,,,BAO_0000218,,
7626,CHEMBL624137,1,17796,Intermediate,,,50597,N,1,,,BAO_0000218,,
7627,CHEMBL624320,1,17796,Intermediate,,,50597,N,1,,,BAO_0000218,,
7628,CHEMBL624321,1,12923,Intermediate,,,50588,N,1,,,BAO_0000218,,
7629,CHEMBL624322,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7630,CHEMBL624323,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7631,CHEMBL624324,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7632,CHEMBL624325,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7633,CHEMBL624326,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7634,CHEMBL624327,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7635,CHEMBL624328,1,15372,Intermediate,,,50597,N,1,,,BAO_0000218,,
7636,CHEMBL627848,1,14169,Intermediate,,,50588,N,1,,,BAO_0000218,,
7637,CHEMBL627849,1,14169,Intermediate,,,50597,N,1,,,BAO_0000218,,
7638,CHEMBL627850,1,14258,Intermediate,,,50597,N,1,,,BAO_0000218,,
7639,CHEMBL627851,1,14258,Intermediate,,,50597,N,1,,,BAO_0000218,,
7640,CHEMBL627852,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7641,CHEMBL627853,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7642,CHEMBL627854,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7643,CHEMBL627855,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7644,CHEMBL627856,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7645,CHEMBL875339,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7646,CHEMBL627857,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7647,CHEMBL627858,1,11195,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7648,CHEMBL627859,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7649,CHEMBL627860,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,955.0,
7650,CHEMBL627019,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,948.0,
7651,CHEMBL627020,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7652,CHEMBL627021,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7653,CHEMBL627022,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7654,CHEMBL627023,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,,
7655,CHEMBL627024,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7656,CHEMBL627025,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2046.0,
7657,CHEMBL627026,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7658,CHEMBL627027,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7659,CHEMBL627028,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,955.0,
7660,CHEMBL627029,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,948.0,
7661,CHEMBL627030,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7662,CHEMBL627031,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7663,CHEMBL627032,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7664,CHEMBL627033,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7665,CHEMBL627034,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,,
7666,CHEMBL627035,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7667,CHEMBL627036,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2046.0,
7668,CHEMBL875340,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7669,CHEMBL627037,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,948.0,
7670,CHEMBL627038,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2113.0,
7671,CHEMBL627039,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2107.0,
7672,CHEMBL627040,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7673,CHEMBL624663,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7674,CHEMBL625963,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2046.0,
7675,CHEMBL876799,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,955.0,
7676,CHEMBL626133,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,2048.0,
7677,CHEMBL626134,1,10130,Intermediate,,,50597,N,1,,,BAO_0000218,,
7678,CHEMBL626135,1,6295,Intermediate,,,50597,N,1,,,BAO_0000218,,
7679,CHEMBL626136,1,6296,Intermediate,,,50597,N,1,,,BAO_0000218,,
7680,CHEMBL626137,1,6296,Intermediate,,,50597,N,1,,,BAO_0000218,,
7681,CHEMBL626138,1,6295,Intermediate,,,50597,N,1,,,BAO_0000218,,
7682,CHEMBL626139,1,6296,Intermediate,,,50597,N,1,,,BAO_0000218,,
7683,CHEMBL626140,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7684,CHEMBL626141,1,17260,Intermediate,,,50597,N,1,,,BAO_0000218,,
7685,CHEMBL626142,1,17686,Intermediate,,,50597,N,1,,,BAO_0000218,,
7686,CHEMBL627930,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7687,CHEMBL627931,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7688,CHEMBL627932,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2385.0,
7689,CHEMBL627933,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7690,CHEMBL627934,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7691,CHEMBL627935,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,2106.0,
7692,CHEMBL627936,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7693,CHEMBL627937,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7694,CHEMBL627938,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7695,CHEMBL627939,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7696,CHEMBL627940,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7697,CHEMBL627941,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7698,CHEMBL876800,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7699,CHEMBL627942,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7700,CHEMBL627943,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7701,CHEMBL627944,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7702,CHEMBL627945,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7703,CHEMBL628584,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7704,CHEMBL628585,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7705,CHEMBL628586,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7706,CHEMBL628587,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7707,CHEMBL628588,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7708,CHEMBL628589,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7709,CHEMBL625304,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7710,CHEMBL625305,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7711,CHEMBL625306,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7712,CHEMBL625307,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7713,CHEMBL625308,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7714,CHEMBL627740,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7715,CHEMBL627741,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7716,CHEMBL627742,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7717,CHEMBL627743,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7718,CHEMBL627744,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,178.0,
7719,CHEMBL627745,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7720,CHEMBL627746,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7721,CHEMBL627747,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7722,CHEMBL876810,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7723,CHEMBL627748,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7724,CHEMBL627749,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7725,CHEMBL627750,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7726,CHEMBL618728,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7727,CHEMBL618729,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7728,CHEMBL618730,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7729,CHEMBL618731,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7730,CHEMBL618732,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7731,CHEMBL618733,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7732,CHEMBL618734,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7733,CHEMBL618735,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7734,CHEMBL876602,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7735,CHEMBL618736,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7736,CHEMBL618737,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7737,CHEMBL618738,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7738,CHEMBL618739,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7739,CHEMBL618740,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7740,CHEMBL618741,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7741,CHEMBL618742,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7742,CHEMBL618743,1,9866,Intermediate,,,50597,N,1,,,BAO_0000218,10000001.0,
7743,CHEMBL618744,1,17752,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7744,CHEMBL618745,1,5610,Intermediate,,,50597,N,1,,,BAO_0000218,,
7745,CHEMBL620479,1,5939,Intermediate,,,50597,N,1,,,BAO_0000218,,
7746,CHEMBL620480,1,5939,Intermediate,,,50597,N,1,,,BAO_0000218,,
7747,CHEMBL620481,1,17771,Intermediate,,,50597,N,1,,,BAO_0000218,,
7748,CHEMBL620482,1,1974,Intermediate,,,50597,N,1,,,BAO_0000218,,
7749,CHEMBL876603,1,4239,Intermediate,,,50597,N,1,,,BAO_0000218,,
7750,CHEMBL620483,1,6681,Intermediate,,,50597,N,1,,,BAO_0000218,,
7751,CHEMBL620484,1,17752,Intermediate,,,50597,N,1,,,BAO_0000218,,
7752,CHEMBL620485,1,6046,Intermediate,,,50597,N,1,,,BAO_0000218,,
7753,CHEMBL620486,1,6685,Intermediate,,,50597,N,1,,,BAO_0000218,,
7754,CHEMBL620487,1,6685,Intermediate,,,50597,N,1,,,BAO_0000218,,
7755,CHEMBL620488,1,6685,Intermediate,,,50597,N,1,,,BAO_0000218,,
7756,CHEMBL620489,1,4727,Intermediate,,,50597,N,1,,,BAO_0000218,,
7757,CHEMBL620490,1,1088,Intermediate,,,50597,N,1,,,BAO_0000218,,
7758,CHEMBL620491,1,5610,Intermediate,,,50597,N,1,,,BAO_0000218,,
7759,CHEMBL876604,1,3032,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7760,CHEMBL620492,1,5199,Intermediate,,,50597,N,1,,,BAO_0000218,,
7761,CHEMBL620493,1,14941,Intermediate,,,50597,N,1,,,BAO_0000218,,
7762,CHEMBL620494,1,4408,Intermediate,,,50597,N,1,,,BAO_0000218,,
7763,CHEMBL620495,1,2552,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7764,CHEMBL620496,1,5199,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7765,CHEMBL620497,1,15662,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7766,CHEMBL620498,1,1465,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7767,CHEMBL620499,1,1446,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7768,CHEMBL620500,1,6824,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7769,CHEMBL873809,1,17533,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7770,CHEMBL620501,1,5979,Intermediate,,,50597,N,1,,,BAO_0000218,,
7771,CHEMBL620502,1,4689,Intermediate,,,50597,N,1,,,BAO_0000218,,
7772,CHEMBL620503,1,4689,Intermediate,,,50597,N,1,,,BAO_0000218,,
7773,CHEMBL620504,1,2463,Intermediate,,,50597,N,1,,,BAO_0000218,,
7774,CHEMBL876605,1,4883,Intermediate,,,50597,N,1,,,BAO_0000218,,
7775,CHEMBL620505,1,4883,Intermediate,,,50597,N,1,,,BAO_0000218,,
7776,CHEMBL873811,1,15662,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7777,CHEMBL624016,1,3598,Expert,,,50597,N,1,,,BAO_0000218,,
7778,CHEMBL624017,1,4576,Intermediate,,,50597,N,1,,,BAO_0000218,,
7779,CHEMBL624018,1,4576,Intermediate,,,50597,N,1,,,BAO_0000218,,
7780,CHEMBL624019,1,4576,Intermediate,,,50597,N,1,,,BAO_0000218,,
7781,CHEMBL624020,1,4910,Intermediate,,,50597,N,1,,,BAO_0000218,955.0,
7782,CHEMBL624201,1,4891,Intermediate,,,50597,N,1,,,BAO_0000218,,
7783,CHEMBL872528,1,429,Intermediate,,,50597,N,1,,,BAO_0000218,,
7784,CHEMBL624202,1,5974,Intermediate,,,50597,N,1,,,BAO_0000218,,
7785,CHEMBL624203,1,5974,Intermediate,,,50597,N,1,,,BAO_0000218,,
7786,CHEMBL624350,1,5974,Intermediate,,,50597,N,1,,,BAO_0000218,,
7787,CHEMBL621320,1,5974,Intermediate,,,50597,N,1,,,BAO_0000218,,
7788,CHEMBL621321,1,17582,Intermediate,,,50597,N,1,,,BAO_0000218,,
7789,CHEMBL621322,1,4026,Intermediate,,,50597,N,1,,,BAO_0000218,,
7790,CHEMBL621323,1,4890,Intermediate,,,50597,N,1,,,BAO_0000218,,
7791,CHEMBL621324,1,6571,Intermediate,,,50597,N,1,,,BAO_0000218,,
7792,CHEMBL621325,1,4727,Intermediate,,,50597,N,1,,,BAO_0000218,,
7793,CHEMBL875837,1,17651,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7794,CHEMBL621326,1,17651,Intermediate,,,50597,N,1,,,BAO_0000218,1969.0,
7795,CHEMBL621327,1,14465,Intermediate,,,50597,N,1,,,BAO_0000218,,
7796,CHEMBL621328,1,14941,Intermediate,,,50597,N,1,,,BAO_0000218,,
7797,CHEMBL621329,1,5960,Intermediate,,,50597,N,1,,,BAO_0000218,,
7798,CHEMBL621330,1,5022,Intermediate,,,50597,N,1,,,BAO_0000218,,
7799,CHEMBL621331,1,4408,Intermediate,,,50597,N,1,,,BAO_0000218,,
7800,CHEMBL621332,1,5983,Intermediate,,,50597,N,1,,,BAO_0000218,,
7801,CHEMBL621333,1,4689,Intermediate,,,50597,N,1,,,BAO_0000218,,
7802,CHEMBL621334,1,2792,Intermediate,,,50597,N,1,,,BAO_0000218,,
7803,CHEMBL621335,1,15011,Intermediate,,,50594,N,1,,,BAO_0000218,,
7804,CHEMBL621336,1,14180,Intermediate,,,50588,N,1,,,BAO_0000218,,
7805,CHEMBL621337,1,14180,Intermediate,,,50597,N,1,,,BAO_0000218,,
7806,CHEMBL621338,1,14599,Intermediate,,,50588,N,1,,,BAO_0000218,,
7807,CHEMBL875838,1,14599,Intermediate,,,50588,N,1,,,BAO_0000218,,
7808,CHEMBL621339,1,14599,Intermediate,,,50588,N,1,,,BAO_0000218,,
7809,CHEMBL621340,1,14599,Intermediate,,,50588,N,1,,,BAO_0000218,,
7810,CHEMBL621341,0,15675,Autocuration,,,22224,U,1,,,BAO_0000218,,
7811,CHEMBL621342,0,12706,Autocuration,,,22224,U,1,,,BAO_0000019,,
7812,CHEMBL621343,0,12706,Autocuration,,,22224,U,1,,,BAO_0000019,,
7813,CHEMBL621344,1,9750,Intermediate,,,50594,N,1,,,BAO_0000218,,
7814,CHEMBL621345,1,9750,Intermediate,,,50594,N,1,,,BAO_0000218,,
7815,CHEMBL621346,0,14691,Autocuration,,,22224,U,1,,,BAO_0000019,,
7816,CHEMBL621347,0,14691,Autocuration,,,22224,U,1,,,BAO_0000218,,
7817,CHEMBL621348,1,14691,Intermediate,,,50588,N,1,,,BAO_0000218,,
7818,CHEMBL621349,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7819,CHEMBL621350,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7820,CHEMBL875839,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7821,CHEMBL620211,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7822,CHEMBL620212,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7823,CHEMBL620213,0,2939,Autocuration,,,22224,U,1,,,BAO_0000019,178.0,
7824,CHEMBL620214,1,9552,Intermediate,,,50797,N,1,,,BAO_0000218,1969.0,
7825,CHEMBL620215,1,9552,Intermediate,,,50797,N,1,,,BAO_0000218,1969.0,
