miller2_fsclr,miller2_brnchd,miller2_rgnstnsb-clss,miller2_cntnntd,miller2_sctrprcnt,miller2_sctrnm,miller2_stts,miller2_prjctnmbr,miller2_clmtchngmtgtn(mrkr),miller2_gndrqlt(mrkr),miller2_prtcptrdvlpmntndgdgvrnnc,miller2_mxmmcdcntrbtn(prjct-lvl),miller2_rgnlprgrm(mrkr),miller2_sctnd,miller2_ntdmnt(prjct-lvlbdgt),miller2_rbnsss(mrkr),miller2_chldrnsss(mrkr),miller2_thsss(mrkr),miller2_ndgnssss(mrkr),miller2_dsbltsss(mrkr),miller2_ctstlfrdvlpmnt(mrkr),miller2_knwldgfrdvlpmnt(mrkr),miller2_rgnstnd,miller2_rgnstnnm,miller2_rgnstntp,miller2_rgnstnclss,miller2_cntnntnm,miller2_prjctbrwsrcntrd,miller2_cntrrgnd,miller2_cntrrgnnm,miller2_cntrrgnprcnt,miller2_sctrd,miller2_mntspnt
2009/2010,B5100,INTERNATIONAL NGO,1,1.0,Material relief assistance and services,Terminating,M013173001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,America,X2,X2,Americas MC,0.15,72010,450000.0
2009/2010,B5100,INTERNATIONAL NGO,3,1.0,Material relief assistance and services,Terminating,M013173001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,0.3,72010,900000.0
2009/2010,B5100,INTERNATIONAL NGO,5,1.0,Material relief assistance and services,Terminating,M013173001,0,1,0,3000000.0,0,S5330,3000000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,0.05,72010,150000.0
2009/2010,B5100,NGO,3,1.0,Material relief assistance and services,Closed,M013174001,0,0,0,500000.0,0,S5320,500000.0,0,0,0,0,0,0,0,1015332,Mines Advisory Group,Foreign Non-Profit Making,Civil Society,Asia,LK,LK,Sri Lanka,1.0,72010,500000.0
2009/2010,B5100,NGO,3,1.0,Material relief assistance and services,Closed,M013175001,0,0,0,500000.0,0,S5320,500000.0,0,0,0,0,0,0,0,1015331,The Halo Trust,Foreign Non-Profit Making,Civil Society,Asia,LK,LK,Sri Lanka,1.0,72010,500000.0
2009/2010,B5100,NGO,2,1.0,Relief co-ordination; protection and support services,Closed,M013176001,0,0,1,600000.0,0,S5330,600000.0,0,0,0,0,0,0,1,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,Africa,X1,X1,Africa MC,0.5,72050,150000.0
2009/2010,B5100,NGO,1,1.0,Relief co-ordination; protection and support services,Closed,M013176001,0,0,1,600000.0,0,S5330,600000.0,0,0,0,0,0,0,1,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,America,X2,X2,Americas MC,0.1,72050,30000.0
2009/2010,B5100,NGO,3,1.0,Relief co-ordination; protection and support services,Closed,M013176001,0,0,1,600000.0,0,S5330,600000.0,0,0,0,0,0,0,1,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,0.3,72050,90000.0
2009/2010,B5100,NGO,5,1.0,Relief co-ordination; protection and support services,Closed,M013176001,0,0,1,600000.0,0,S5330,600000.0,0,0,0,0,0,0,1,1002035,International Crisis Group,Foreign Non-Profit Making,Civil Society,Europe,X4,X4,Europe MC,0.1,72050,30000.0
2009/2010,B5100,UNITED NATIONS,3,1.0,Emergency food aid,Closed,M013177001,0,0,0,1800000.0,0,S5320,1800000.0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,Asia,YE,YE,Yemen,1.0,72040,500000.0
2009/2010,B5100,UNITED NATIONS,1,1.0,Emergency food aid,Closed,M013178001,0,0,0,3000000.0,0,S5320,3000000.0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,America,CO,CO,Colombia,1.0,72040,1500000.0
2009/2010,B5100,UNITED NATIONS,2,1.0,Emergency food aid,Closed,M013180001,0,1,0,6500000.0,0,S5320,6500000.0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,Africa,TD,TD,Chad,1.0,72040,6500000.0
2009/2010,B5100,UNITED NATIONS,2,1.0,Emergency food aid,Closed,M013181001,0,0,0,22450000.0,0,S5320,22450000.0,0,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,Multilateral,Africa,SD,SD,Sudan,1.0,72040,3950000.0
2009/2010,B5100,UNITED NATIONS,2,1.0,Material relief assistance and services,Closed,M013182001,0,1,0,14000000.0,0,S5330,14000000.0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,Africa,X1,X1,Africa MC,0.45,72010,6300000.0
2009/2010,B5100,UNITED NATIONS,1,1.0,Material relief assistance and services,Closed,M013182001,0,1,0,14000000.0,0,S5330,14000000.0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,America,X2,X2,Americas MC,0.05,72010,700000.0
2009/2010,B5100,UNITED NATIONS,3,1.0,Material relief assistance and services,Closed,M013182001,0,1,0,14000000.0,0,S5330,14000000.0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,0.45,72010,6300000.0
2009/2010,B5100,UNITED NATIONS,5,1.0,Material relief assistance and services,Closed,M013182001,0,1,0,14000000.0,0,S5330,14000000.0,0,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.05,72010,700000.0
2009/2010,B5100,INTERNATIONAL NGO,3,1.0,Material relief assistance and services,Closed,M013183001,0,0,0,500000.0,0,S5320,500000.0,0,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,Civil Society,Asia,X3,X3,Asia MC,1.0,72010,500000.0
2009/2010,B5100,UNITED NATIONS,2,1.0,Relief co-ordination; protection and support services,Closed,M013184001,0,0,0,2700000.0,0,S5320,2700000.0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,Africa,X1,X1,Africa MC,0.5,72050,1350000.0
2009/2010,B5100,UNITED NATIONS,1,1.0,Relief co-ordination; protection and support services,Closed,M013184001,0,0,0,2700000.0,0,S5320,2700000.0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,America,X2,X2,Americas MC,0.15,72050,405000.0
2009/2010,B5100,UNITED NATIONS,3,1.0,Relief co-ordination; protection and support services,Closed,M013184001,0,0,0,2700000.0,0,S5320,2700000.0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,Asia,X3,X3,Asia MC,0.3,72050,810000.0
2009/2010,B5100,UNITED NATIONS,5,1.0,Relief co-ordination; protection and support services,Closed,M013184001,0,0,0,2700000.0,0,S5320,2700000.0,0,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,Multilateral,Europe,X4,X4,Europe MC,0.05,72050,135000.0
2009/2010,B5100,IFI,3,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31110,39000.0
2009/2010,B5100,IFI,3,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31120,39000.0
2009/2010,B5100,IFI,3,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31150,19500.0
2009/2010,B5100,IFI,3,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31161,19500.0
2009/2010,B5100,IFI,3,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31166,19500.0
2009/2010,B5100,IFI,3,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31182,19500.0
2009/2010,B5100,IFI,3,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31191,19500.0
2009/2010,B5100,IFI,3,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,0.0065,31193,19500.0
2009/2010,B5100,IFI,3,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31110,630000.0
2009/2010,B5100,IFI,3,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31120,630000.0
2009/2010,B5100,IFI,3,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31150,315000.0
2009/2010,B5100,IFI,3,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31161,315000.0
2009/2010,B5100,IFI,3,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31166,315000.0
2009/2010,B5100,IFI,3,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31182,315000.0
2009/2010,B5100,IFI,3,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31191,315000.0
2009/2010,B5100,IFI,3,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,0.105,31193,315000.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31110,48600.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31120,48600.0
2009/2010,B5100,IFI,2,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31150,24300.0
2009/2010,B5100,IFI,2,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31161,24300.0
2009/2010,B5100,IFI,2,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31166,24300.0
2009/2010,B5100,IFI,2,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31182,24300.0
2009/2010,B5100,IFI,2,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31191,24300.0
2009/2010,B5100,IFI,2,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,0.0081,31193,24300.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31110,43800.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31120,43800.0
2009/2010,B5100,IFI,2,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31150,21900.0
2009/2010,B5100,IFI,2,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31161,21900.0
2009/2010,B5100,IFI,2,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31166,21900.0
2009/2010,B5100,IFI,2,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31182,21900.0
2009/2010,B5100,IFI,2,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31191,21900.0
2009/2010,B5100,IFI,2,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,0.0073,31193,21900.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31110,34200.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31120,34200.0
2009/2010,B5100,IFI,2,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31150,17100.0
2009/2010,B5100,IFI,2,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31161,17100.0
2009/2010,B5100,IFI,2,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31166,17100.0
2009/2010,B5100,IFI,2,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31182,17100.0
2009/2010,B5100,IFI,2,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31191,17100.0
2009/2010,B5100,IFI,2,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,0.0057,31193,17100.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31110,24000.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31120,24000.0
2009/2010,B5100,IFI,2,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31150,12000.0
2009/2010,B5100,IFI,2,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31161,12000.0
2009/2010,B5100,IFI,2,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31166,12000.0
2009/2010,B5100,IFI,2,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31182,12000.0
2009/2010,B5100,IFI,2,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31191,12000.0
2009/2010,B5100,IFI,2,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,DJ,DJ,Djibouti,0.004,31193,12000.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31110,1332000.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31120,1332000.0
2009/2010,B5100,IFI,2,0.1,Agricultural inputs,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31150,666000.0
2009/2010,B5100,IFI,2,0.1,Food crop production,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31161,666000.0
2009/2010,B5100,IFI,2,0.1,Agricultural extension,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31166,666000.0
2009/2010,B5100,IFI,2,0.1,Agricultural research,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31182,666000.0
2009/2010,B5100,IFI,2,0.1,Agricultural services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31191,666000.0
2009/2010,B5100,IFI,2,0.1,Agricultural financial services,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,ET,ET,Ethiopia,0.222,31193,666000.0
2009/2010,B5100,IFI,2,0.2,Agricultural policy and administrative management,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,GN,GN,Guinea,0.0081,31110,48600.0
2009/2010,B5100,IFI,2,0.2,Agricultural development,Operational,M013185001,0,1,0,30000000.0,0,S5460,30000000.0,0,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,Multilateral,Africa,GN,GN,Guinea,0.0081,31120,48600.0
