description,rental_duration,rental_rate,original_language_id,language,replacement_cost,film_id,release_year,title,length,rating
A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,3,4.99,,English,22.99,60,2006,BEAST HUNCHBACK,89,R
A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,5,4.99,,English,28.99,61,2006,BEAUTY GREASE,175,G
A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,5,2.99,,English,23.99,62,2006,BED HIGHBALL,106,NC-17
A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,6,0.99,,English,21.99,63,2006,BEDAZZLED MARRIED,73,PG
A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,6,0.99,,English,26.99,64,2006,BEETHOVEN EXORCIST,151,PG-13
A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,3,4.99,,English,20.99,65,2006,BEHAVIOR RUNAWAY,100,PG
A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,6,0.99,,English,27.99,66,2006,BENEATH RUSH,53,NC-17
A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,5,2.99,,English,24.99,67,2006,BERETS AGENT,77,PG-13
A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,3,2.99,,English,21.99,69,2006,BEVERLY OUTLAW,85,R
A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,7,4.99,,English,26.99,70,2006,BIKINI BORROWERS,142,NC-17
A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,6,2.99,,English,12.99,72,2006,BILL OTHERS,93,PG
A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,4,4.99,,English,18.99,74,2006,BIRCH ANTITRUST,162,PG
A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,6,4.99,,English,14.99,75,2006,BIRD INDEPENDENCE,163,G
A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,4,0.99,,English,23.99,76,2006,BIRDCAGE CASPER,103,NC-17
A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,5,4.99,,English,15.99,77,2006,BIRDS PERDITION,61,G
A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,7,2.99,,English,12.99,78,2006,BLACKOUT PRIVATE,85,PG
A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,5,0.99,,English,10.99,79,2006,BLADE POLISH,114,PG-13
A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,7,2.99,,English,21.99,80,2006,BLANKET BEVERLY,148,G
A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House,5,2.99,,English,18.99,83,2006,BLUES INSTINCT,50,G
A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan,7,4.99,,English,13.99,84,2006,BOILED DARES,102,PG
A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan,4,0.99,,English,29.99,85,2006,BONNIE HOLOCAUST,63,G
A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico,7,0.99,,English,14.99,87,2006,BOONDOCK BALLROOM,76,NC-17
A Touching Epistle of a Frisbee And a Husband who must Pursue a Student in Nigeria,7,4.99,,English,17.99,88,2006,BORN SPINAL,179,PG
A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House,7,0.99,,English,22.99,89,2006,BORROWERS BEDAZZLED,63,G
A Fateful Epistle of a Moose And a Monkey who must Confront a Lumberjack in Ancient China,3,0.99,,English,11.99,90,2006,BOULEVARD MOB,63,R
A Thrilling Panorama of a Database Administrator And a Astronaut who must Challenge a Lumberjack in A Baloon,5,0.99,,English,17.99,91,2006,BOUND CHEAPER,98,PG
A Fast-Paced Yarn of a Waitress And a Composer who must Outgun a Dentist in California,7,4.99,,English,19.99,92,2006,BOWFINGER GABLES,72,NC-17
A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,4,4.99,,English,27.99,93,2006,BRANNIGAN SUNRISE,121,PG
A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin,7,2.99,,English,14.99,94,2006,BRAVEHEART HUMAN,176,PG-13
A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin,5,4.99,,English,18.99,95,2006,BREAKFAST GOLDFINGER,123,G
A Beautiful Display of a Secret Agent And a Monkey who must Battle a Sumo Wrestler in An Abandoned Mine Shaft,4,2.99,,English,21.99,96,2006,BREAKING HOME,169,PG-13
A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,4,4.99,,English,12.99,98,2006,BRIGHT ENCOUNTERS,73,PG-13
A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,7,2.99,,English,14.99,99,2006,BRINGING HYSTERICAL,136,PG
A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan,3,0.99,,English,26.99,101,2006,BROTHERHOOD BLANKET,73,R
A Awe-Inspiring Panorama of a Crocodile And a Moose who must Confront a Girl in A Baloon,4,4.99,,English,20.99,102,2006,BUBBLE GROSSE,60,R
A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory,7,4.99,,English,27.99,103,2006,BUCKET BROTHERHOOD,133,PG
A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,4,2.99,,English,17.99,104,2006,BUGSY SONG,119,G
A Fanciful Drama of a Moose And a Squirrel who must Conquer a Pioneer in The Canadian Rockies,6,0.99,,English,21.99,105,2006,BULL SHAWSHANK,125,NC-17
A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback,4,2.99,,English,14.99,106,2006,BULWORTH COMMANDMENTS,61,G
A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,4,2.99,,English,13.99,107,2006,BUNCH MINDS,63,G
A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank,3,0.99,,English,17.99,109,2006,BUTTERFLY CHOCOLAT,89,G
A Awe-Inspiring Epistle of a Woman And a Madman who must Fight a Robot in Soviet Georgia,3,0.99,,English,17.99,111,2006,CADDYSHACK JEDI,52,NC-17
A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria,4,4.99,,English,22.99,112,2006,CALENDAR GUNFIGHT,120,NC-17
A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention,3,0.99,,English,26.99,114,2006,CAMELOT VACATION,61,NC-17
A Astounding Drama of a Crocodile And a Mad Cow who must Build a Robot in A Jet Boat,5,2.99,,English,27.99,115,2006,CAMPUS REMEMBER,167,R
A Fanciful Character Study of a Monkey And a Explorer who must Build a Astronaut in An Abandoned Fun House,6,4.99,,English,15.99,117,2006,CANDLES GRAPES,135,NC-17
A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse,7,0.99,,English,26.99,118,2006,CANYON STOCK,85,R
A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention,6,0.99,,English,22.99,119,2006,CAPER MOTIONS,176,G
A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank,3,4.99,,English,16.99,120,2006,CARIBBEAN LIBERTY,92,NC-17
A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery,4,2.99,,English,15.99,121,2006,CAROL TEXAS,151,PG
A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,7,0.99,,English,11.99,122,2006,CARRIE BUNCH,114,PG
A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,6,4.99,,English,22.99,123,2006,CASABLANCA SUPER,85,G
A Intrepid Documentary of a Boat And a Crocodile who must Chase a Robot in The Sahara Desert,3,4.99,,English,16.99,124,2006,CASPER DRAGONFLY,163,PG-13
A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,5,2.99,,English,19.99,125,2006,CASSIDY WYOMING,61,NC-17
A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery,3,4.99,,English,16.99,126,2006,CASUALTIES ENCINO,179,G
A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India,5,4.99,,English,14.99,127,2006,CAT CONEHEADS,112,G
A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria,7,0.99,,English,10.99,128,2006,CATCH AMISTAD,183,G
A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention,3,2.99,,English,16.99,129,2006,CAUSE DATE,179,R
A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank,7,0.99,,English,24.99,130,2006,CELEBRITY HORN,110,PG-13
A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,5,4.99,,English,12.99,131,2006,CENTER DINOSAUR,152,PG
A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia,6,0.99,,English,25.99,132,2006,CHAINSAW UPTOWN,114,PG
A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,7,4.99,,English,14.99,133,2006,CHAMBER ITALIAN,117,NC-17
A Amazing Story of a Mad Cow And a Dog who must Kill a Husband in A Monastery,4,4.99,,English,21.99,134,2006,CHAMPION FLATLINERS,51,PG
A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,3,2.99,,English,22.99,135,2006,CHANCE RESURRECTION,70,R
A Boring Drama of a Dog And a Forensic Psychologist who must Outrace a Explorer in Ancient India,7,2.99,,English,26.99,136,2006,CHAPLIN LICENSE,146,NC-17
A Action-Packed Display of a Man And a Waitress who must Build a Dog in A MySQL Convention,3,2.99,,English,21.99,137,2006,CHARADE DUFFEL,66,PG
A Unbelieveable Epistle of a Robot And a Husband who must Chase a Robot in The First Manned Space Station,5,2.99,,English,29.99,138,2006,CHARIOTS CONSPIRACY,71,R
A Astounding Saga of a Technical Writer And a Butler who must Battle a Butler in A Shark Tank,7,4.99,,English,21.99,139,2006,CHASING FIGHT,114,PG
A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan,6,0.99,,English,23.99,140,2006,CHEAPER CLYDE,87,G
A Fateful Yarn of a Mad Cow And a Waitress who must Battle a Student in California,6,4.99,,English,11.99,141,2006,CHICAGO NORTH,185,PG-13
A Emotional Drama of a Dog And a Explorer who must Outrace a Technical Writer in Australia,3,0.99,,English,24.99,142,2006,CHICKEN HELLFIGHTERS,122,PG
A Brilliant Panorama of a Technical Writer And a Lumberjack who must Escape a Butler in Ancient India,7,4.99,,English,24.99,144,2006,CHINATOWN GLADIATOR,61,PG
A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India,5,4.99,,English,25.99,145,2006,CHISUM BEHAVIOR,124,G
A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station,6,2.99,,English,24.99,146,2006,CHITTY LOCK,107,G
A Unbelieveable Story of a Mad Scientist And a Technical Writer who must Discover a Composer in Ancient China,3,2.99,,English,13.99,148,2006,CHOCOLATE DUCK,132,R
A Action-Packed Epistle of a Feminist And a Astronaut who must Conquer a Boat in A Manhattan Penthouse,7,0.99,,English,21.99,149,2006,CHRISTMAS MOONSHINE,150,NC-17
A Thoughtful Drama of a Pastry Chef And a Dentist who must Pursue a Girl in A Baloon,5,2.99,,English,13.99,152,2006,CIRCUS YOUTH,90,PG-13
A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback,7,0.99,,English,18.99,153,2006,CITIZEN SHREK,165,G
A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia,6,2.99,,English,12.99,154,2006,CLASH FREDDY,81,G
A Fanciful Documentary of a Crocodile And a Technical Writer who must Fight a A Shark in A Baloon,6,0.99,,English,26.99,155,2006,CLEOPATRA DEVIL,150,PG-13
A Insightful Documentary of a Technical Writer And a Feminist who must Challenge a Cat in A Baloon,7,0.99,,English,29.99,157,2006,CLOCKWORK PARADISE,143,PG-13
A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,6,2.99,,English,16.99,158,2006,CLONES PINOCCHIO,124,R
A Epic Tale of a Pioneer And a Hunter who must Escape a Girl in A U-Boat,4,0.99,,English,12.99,160,2006,CLUB GRAFFITI,65,PG-13
A Taut Tale of a Butler And a Mad Scientist who must Build a Crocodile in Ancient China,6,4.99,,English,27.99,161,2006,CLUE GRAIL,70,NC-17
A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House,4,2.99,,English,13.99,162,2006,CLUELESS BUCKET,95,R
A Beautiful Yarn of a Astronaut And a Frisbee who must Overcome a Explorer in A Jet Boat,4,0.99,,English,29.99,163,2006,CLYDE THEORY,139,PG-13
A Astounding Documentary of a Mad Cow And a Pioneer who must Challenge a Butler in The Sahara Desert,4,0.99,,English,20.99,164,2006,COAST RAINBOW,55,PG
A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico,7,4.99,,English,27.99,165,2006,COLDBLOODED DARLING,70,G
A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,6,2.99,,English,19.99,166,2006,COLOR PHILADELPHIA,149,G
A Boring Saga of a Lumberjack And a Monkey who must Find a Monkey in The Gulf of Mexico,5,0.99,,English,23.99,168,2006,COMANCHEROS ENEMY,67,R
A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,5,4.99,,English,28.99,170,2006,COMMAND DARLING,120,PG-13
A Fanciful Saga of a Student And a Mad Scientist who must Battle a Hunter in An Abandoned Mine Shaft,6,4.99,,English,13.99,171,2006,COMMANDMENTS EXPRESS,59,R
A Touching Story of a Womanizer And a Composer who must Pursue a Husband in Nigeria,7,4.99,,English,12.99,172,2006,CONEHEADS SMOOCHY,112,NC-17
A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon,7,4.99,,English,25.99,173,2006,CONFESSIONS MAGUIRE,65,PG-13
A Stunning Epistle of a Cat And a Forensic Psychologist who must Confront a Pioneer in A Baloon,3,2.99,,English,27.99,175,2006,CONFUSED CANDLES,122,PG-13
A Touching Documentary of a Cat And a Pastry Chef who must Find a Lumberjack in A Baloon,6,0.99,,English,21.99,176,2006,CONGENIALITY QUEST,87,PG-13
A Unbelieveable Drama of a Crocodile And a Mad Cow who must Reach a Dentist in A Shark Tank,4,4.99,,English,20.99,177,2006,CONNECTICUT TRAMP,172,R
A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station,6,0.99,,English,25.99,178,2006,CONNECTION MICROCOSMOS,115,G
A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,4,4.99,,English,14.99,179,2006,CONQUERER NUTS,173,G
A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery,7,4.99,,English,9.99,182,2006,CONTROL ANTHEM,185,G
A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse,3,2.99,,English,24.99,184,2006,CORE SUIT,92,PG-13
A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon,3,2.99,,English,10.99,185,2006,COWBOY DOOM,146,PG
A Lacklusture Display of a Explorer And a Hunter who must Succumb a Database Administrator in A Baloon Factory,6,0.99,,English,17.99,186,2006,CRAFT OUTFIELD,64,NC-17
A Fanciful Documentary of a Teacher And a Dog who must Outgun a Forensic Psychologist in A Baloon Factory,5,2.99,,English,12.99,187,2006,CRANES RESERVOIR,57,NC-17
A Fanciful Panorama of a Boy And a Woman who must Vanquish a Database Administrator in The Outback,7,2.99,,English,24.99,188,2006,CRAZY HOME,136,PG
A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India,3,0.99,,English,23.99,189,2006,CREATURES SHAKESPEARE,139,NC-17
A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat,5,4.99,,English,23.99,190,2006,CREEPERS KANE,172,NC-17
A Unbelieveable Drama of a Hunter And a Database Administrator who must Battle a Crocodile in An Abandoned Amusement Park,6,0.99,,English,27.99,191,2006,CROOKED FROGMEN,143,PG-13
A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback,5,2.99,,English,20.99,193,2006,CROSSROADS CASUALTIES,153,G
A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,6,0.99,,English,22.99,194,2006,CROW GREASE,104,PG
A Intrepid Documentary of a Astronaut And a Forensic Psychologist who must Find a Frisbee in An Abandoned Fun House,3,4.99,,English,16.99,195,2006,CROWDS TELEMARK,112,R
A Fast-Paced Reflection of a Explorer And a Butler who must Battle a Madman in An Abandoned Amusement Park,4,2.99,,English,27.99,197,2006,CRUSADE HONEY,112,R
A Fast-Paced Character Study of a Feminist And a Explorer who must Face a Pastry Chef in Ancient Japan,6,2.99,,English,22.99,198,2006,CRYSTAL BREAKING,184,NC-17
A Emotional Reflection of a Frisbee And a Boat who must Reach a Pastry Chef in An Abandoned Amusement Park,4,2.99,,English,29.99,199,2006,CUPBOARD SINNERS,56,R
A Lacklusture Drama of a Student And a Monkey who must Sink a Womanizer in A MySQL Convention,7,2.99,,English,18.99,201,2006,CYCLONE FAMILY,176,PG
A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,5,4.99,,English,26.99,202,2006,DADDY PITTSBURGH,161,G
A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India,5,4.99,,English,9.99,203,2006,DAISY MENAGERIE,84,G
A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse,4,0.99,,English,25.99,204,2006,DALMATIONS SWEDEN,106,PG
A Insightful Reflection of a A Shark And a Dog who must Kill a Butler in An Abandoned Amusement Park,3,0.99,,English,22.99,205,2006,DANCES NONE,58,NC-17
A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank,6,0.99,,English,25.99,206,2006,DANCING FEVER,144,G
A Unbelieveable Story of a Mad Scientist And a Woman who must Overcome a Dog in California,7,4.99,,English,26.99,207,2006,DANGEROUS UPTOWN,121,PG
A Fateful Story of a Robot And a Dentist who must Defeat a Astronaut in New Orleans,7,2.99,,English,16.99,208,2006,DARES PLUTO,89,PG-13
A Brilliant Documentary of a Astronaut And a Squirrel who must Succumb a Student in The Gulf of Mexico,7,4.99,,English,20.99,211,2006,DARLING BREAKING,165,PG-13
A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat,7,4.99,,English,14.99,212,2006,DARN FORRESTER,185,G
A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,4,0.99,,English,19.99,213,2006,DATE SPEED,104,R
A Beautiful Tale of a Hunter And a Mad Scientist who must Confront a Squirrel in The First Manned Space Station,3,4.99,,English,13.99,214,2006,DAUGHTER MADIGAN,59,PG-13
A Thoughtful Documentary of a Dentist And a Forensic Psychologist who must Defeat a Waitress in Berlin,4,4.99,,English,27.99,215,2006,DAWN POND,57,PG
A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat,3,4.99,,English,16.99,216,2006,DAY UNFAITHFUL,113,G
A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park,6,4.99,,English,20.99,217,2006,DAZED PUNK,120,G
A Taut Story of a Moose And a Squirrel who must Build a Husband in Ancient India,7,0.99,,English,22.99,218,2006,DECEIVER BETRAYED,122,NC-17
A Amazing Tale of a Crocodile And a Squirrel who must Discover a Composer in Australia,6,4.99,,English,20.99,219,2006,DEEP CRUSADE,51,PG-13
A Thoughtful Story of a Mad Cow And a Womanizer who must Overcome a Mad Scientist in Soviet Georgia,7,2.99,,English,13.99,220,2006,DEER VIRGINIAN,106,NC-17
