variant_id,relationship_type,bao_format,assay_category,description,assay_id,curated_by,tissue_id,confidence_score,assay_subcellular_fraction,assay_test_type,cell_id,src_assay_id,assay_tax_id,src_id,assay_cell_type,tid,assay_type,assay_organism,assay_strain,chembl_id,doc_id,assay_tissue
,D,BAO_0000019,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",47,Expert,,9,,,,,10116.0,1,,12971,B,Rattus norvegicus,,CHEMBL615159,10691,
,D,BAO_0000019,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",48,Expert,,9,,,,,10116.0,1,,12971,B,Rattus norvegicus,,CHEMBL615172,10691,
,D,BAO_0000019,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",49,Expert,,9,,,,,10116.0,1,,12971,B,Rattus norvegicus,,CHEMBL615173,10691,
,D,BAO_0000019,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",50,Expert,,9,,,,,10116.0,1,,12971,B,Rattus norvegicus,,CHEMBL615174,10691,
,H,BAO_0000019,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),51,Autocuration,,8,,,,,,1,,13053,B,,,CHEMBL884518,898,
,H,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),52,Autocuration,,8,,,,,,1,,11512,B,,,CHEMBL615175,912,
,H,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,53,Autocuration,,8,,,,,,1,,11512,B,,,CHEMBL615176,912,
,H,BAO_0000357,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,54,Autocuration,,8,,,,,,1,,11512,B,,,CHEMBL615177,912,
,D,BAO_0000249,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,55,Autocuration,,5,Membranes,,,,10116.0,1,,104740,B,Rattus norvegicus,,CHEMBL615178,15103,
,N,BAO_0000219,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,56,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615179,5116,
,D,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,57,Autocuration,,7,,,,,10116.0,1,Oocytes,104835,F,Rattus norvegicus,,CHEMBL615180,14578,
,D,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,58,Autocuration,,7,,,,,10116.0,1,Oocytes,104821,F,Rattus norvegicus,,CHEMBL615181,14578,
,D,BAO_0000219,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,59,Autocuration,,7,,,,,10116.0,1,Oocytes,104848,F,Rattus norvegicus,,CHEMBL615182,14578,
,N,BAO_0000219,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,60,Expert,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615183,4787,
,N,BAO_0000219,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,61,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615184,4787,
,N,BAO_0000219,,Cytotoxic activity against human ovarian cancer (1A9) cell line,62,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615185,3547,
,N,BAO_0000219,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,63,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615186,3547,
,N,BAO_0000219,,Effective dose of compound against replication of 1A9 cell line was evaluated,64,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615187,6726,
,N,BAO_0000219,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,65,Expert,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL885343,3455,
,N,BAO_0000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),66,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615188,5726,
,N,BAO_0000219,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,67,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615189,5726,
,N,BAO_0000219,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,68,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615190,5726,
,N,BAO_0000219,,Inhibitory activity against Taxol resistant 1A9 cell lines,69,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615191,3395,
,N,BAO_0000219,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,70,Expert,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615192,3415,
,N,BAO_0000219,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,71,Expert,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL827083,3415,
,N,BAO_0000219,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,72,Expert,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615193,17099,
,N,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,73,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615194,17099,
,N,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,74,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615195,17099,
,N,BAO_0000219,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,75,Intermediate,,1,,,506.0,,9606.0,1,1A9,80002,F,Homo sapiens,,CHEMBL615196,17099,
,N,BAO_0000219,,Inhibitory concentration against Jurkat cells,76,Intermediate,,1,,,503.0,,9606.0,1,Jurkat,81072,F,Homo sapiens,,CHEMBL615197,17721,
,U,BAO_0000019,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,77,Intermediate,,0,,,,,,1,,22226,F,,,CHEMBL615198,1229,
,D,BAO_0000357,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,78,Expert,,9,,,,,10116.0,1,,100121,A,Rattus norvegicus,,CHEMBL615199,11347,
,H,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",79,Expert,,8,,,,,,1,,11231,B,,,CHEMBL615200,17117,
,H,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",80,Expert,,8,,,,,,1,,11231,B,,,CHEMBL615201,17117,
,H,BAO_0000357,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",81,Expert,,8,,,,,,1,,11231,B,,,CHEMBL615202,17117,
,H,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",82,Autocuration,,8,Microsomes,,,,5476.0,1,,11231,B,Candida albicans,,CHEMBL615203,11375,
,H,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",83,Autocuration,,8,Microsomes,,,,5476.0,1,,11231,B,Candida albicans,,CHEMBL615204,11375,
,H,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",84,Autocuration,,8,Microsomes,,,,4932.0,1,,11231,B,Saccharomyces cerevisiae,,CHEMBL615205,11375,
,H,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",85,Autocuration,,8,Microsomes,,,,4932.0,1,,11231,B,Saccharomyces cerevisiae,,CHEMBL615206,11375,
,H,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",86,Autocuration,2107.0,8,Microsomes,,,,9823.0,1,,12083,B,Sus scrofa,,CHEMBL615207,11375,Liver
,H,BAO_0000019,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",87,Autocuration,,8,,,,,10116.0,1,,11231,B,Rattus norvegicus,,CHEMBL827084,791,
,H,BAO_0000019,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",88,Autocuration,,8,,,,,10116.0,1,,11231,B,Rattus norvegicus,,CHEMBL615208,791,
,H,BAO_0000019,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",89,Autocuration,,8,,,,,10116.0,1,,11231,B,Rattus norvegicus,,CHEMBL615209,791,
,D,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",90,Autocuration,2107.0,9,Microsomes,,,,10116.0,1,,12083,B,Rattus norvegicus,,CHEMBL615210,11375,Liver
,D,BAO_0000251,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",91,Autocuration,2107.0,9,Microsomes,,,,10116.0,1,,12083,B,Rattus norvegicus,,CHEMBL615211,11375,Liver
,D,BAO_0000251,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",92,Autocuration,2107.0,9,Microsomes,,,,10116.0,1,,12083,B,Rattus norvegicus,,CHEMBL615212,153,Liver
,H,BAO_0000357,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),93,Expert,,8,,,,,,1,,11377,B,,,CHEMBL615213,8269,
,H,BAO_0000357,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,94,Expert,,8,,,,,,1,,11377,B,,,CHEMBL615273,8269,
,N,BAO_0000219,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,95,Expert,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615274,17653,
,N,BAO_0000219,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,96,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615275,14277,
,N,BAO_0000219,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,97,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615276,1717,
,N,BAO_0000219,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,98,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615277,14091,
,N,BAO_0000219,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,99,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615326,14091,
,N,BAO_0000218,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,100,Expert,,1,,,,,10407.0,1,,50606,F,Hepatitis B virus,,CHEMBL883130,17653,
,N,BAO_0000219,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,101,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL884519,13105,
,N,BAO_0000219,,Concentration required to inhibit 50% of 2.2.15 cell line,102,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615327,1717,
,N,BAO_0000219,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,103,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,A,Homo sapiens,,CHEMBL615328,13105,
,N,BAO_0000218,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,104,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615329,13600,
,N,BAO_0000218,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,105,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615330,13467,
,N,BAO_0000218,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",106,Expert,,1,,,,,10407.0,1,2.2.15,50606,F,Hepatitis B virus,,CHEMBL615331,17477,
,N,BAO_0000218,,In vitro anti-HBV activity in 2.2.15 cells,107,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615332,1593,
,N,BAO_0000218,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,108,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615333,1593,
,N,BAO_0000218,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,109,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615334,15089,
,N,BAO_0000218,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,110,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615335,15089,
,N,BAO_0000218,,Cytotoxicity in 2.2.15 cells,111,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615336,1593,
,N,BAO_0000218,,Cytotoxicity in 2.2.15 cells; Not determined,112,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615337,1593,
,N,BAO_0000218,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,113,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615338,13600,
,N,BAO_0000218,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,114,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615339,13467,
,N,BAO_0000218,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,115,Intermediate,,1,,,,,9606.0,1,2.2.15,50587,F,Homo sapiens,,CHEMBL615340,13467,
,N,BAO_0000219,,Antiviral activity against HBV was determined in 2.215 cell line,116,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615341,14764,
,U,BAO_0000251,,Inhibition of 20-HETE synthesis in human renal microsomes,117,Autocuration,,0,Microsomes,,,,9606.0,1,,22226,B,Homo sapiens,,CHEMBL615342,6531,
,U,BAO_0000019,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,118,Autocuration,,0,,,,,,1,,22226,B,,,CHEMBL615343,17322,
,N,BAO_0000219,,Inhibitory concentration against 2008 (ovarian) cells,119,Intermediate,,1,,,388.0,,9606.0,1,2008,80612,F,Homo sapiens,,CHEMBL615344,17072,
,N,BAO_0000219,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,120,Intermediate,,1,,,388.0,,9606.0,1,2008,80612,F,Homo sapiens,,CHEMBL615345,16936,
,N,BAO_0000219,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),121,Intermediate,,1,,,388.0,,9606.0,1,2008,80612,F,Homo sapiens,,CHEMBL615346,16936,
,N,BAO_0000219,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,122,Intermediate,,1,,,388.0,,9606.0,1,2008,80612,F,Homo sapiens,,CHEMBL615347,17146,
,N,BAO_0000219,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,123,Intermediate,,1,,,388.0,,9606.0,1,2008,80612,F,Homo sapiens,,CHEMBL615348,17146,
,N,BAO_0000219,,In vitro inhibition of 2008/R ovarian cancer cell line,124,Intermediate,,1,,,561.0,,9606.0,1,2008/R,80613,F,Homo sapiens,,CHEMBL827085,10797,
,N,BAO_0000219,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,125,Intermediate,,1,,,561.0,,9606.0,1,2008/R,80613,F,Homo sapiens,,CHEMBL615349,10797,
,N,BAO_0000219,,In vitro inhibition of 2008/S ovarian cancer cell line,126,Intermediate,,1,,,389.0,,9606.0,1,2008/S,80614,F,Homo sapiens,,CHEMBL615350,10797,
,N,BAO_0000219,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,127,Intermediate,,1,,,389.0,,9606.0,1,2008/S,80614,F,Homo sapiens,,CHEMBL615351,10797,
,S,BAO_0000220,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,128,Expert,,2,,,,,9606.0,1,,100256,B,Homo sapiens,,CHEMBL615352,4823,
,S,BAO_0000220,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,129,Intermediate,,2,,,,,9606.0,1,,100256,B,Homo sapiens,,CHEMBL615353,12912,
,S,BAO_0000220,,Inhibition of chymotrypsin-like activity of 20S proteasome,130,Expert,,2,,,,,,1,,100256,B,,,CHEMBL615354,2957,
,S,BAO_0000220,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,131,Expert,,2,,,,,,1,,100256,B,,,CHEMBL615355,2957,
,S,BAO_0000220,,Inhibitory activity against 20S proteosome,132,Intermediate,,2,,,,,,1,,100256,B,,,CHEMBL615356,3260,
,U,BAO_0000019,,Compound was tested for inhibitory activity against tryptase,133,Autocuration,,0,,,,,9606.0,1,,22226,B,Homo sapiens,,CHEMBL615357,3451,
,N,BAO_0000219,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,134,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL615358,13885,
,N,BAO_0000219,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,135,Intermediate,,1,,,726.0,,9606.0,1,HepG2,81020,F,Homo sapiens,,CHEMBL827086,13885,
,U,BAO_0000019,,Compound was tested for the inhibition of Alpha-glucosidase,136,Autocuration,,0,,,,,,1,,22226,B,,,CHEMBL615359,3676,
,H,BAO_0000357,,Inhibitory concentration against human neutrophil elastase (HNE),137,Autocuration,,8,,,,,,1,,235,B,,,CHEMBL615360,6043,
,U,BAO_0000218,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,138,Autocuration,948.0,0,,,,,10116.0,1,,22226,F,Rattus norvegicus,,CHEMBL615361,11140,Heart
