assay_id,assay_subcellular_fraction,assay_cell_type,assay_type,confidence_score,curated_by,assay_test_type,doc_id,assay_organism,bao_format,cell_id,assay_tissue,assay_category,variant_id,tid,src_id,description,assay_tax_id,assay_strain
46,,,B,8,Autocuration,,13163,Homo sapiens,BAO_0000019,,,,,20001,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,9606.0,
47,,,B,9,Expert,,10691,Rattus norvegicus,BAO_0000019,,,,,12971,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10116.0,
48,,,B,9,Expert,,10691,Rattus norvegicus,BAO_0000019,,,,,12971,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",10116.0,
49,,,B,9,Expert,,10691,Rattus norvegicus,BAO_0000019,,,,,12971,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10116.0,
50,,,B,9,Expert,,10691,Rattus norvegicus,BAO_0000019,,,,,12971,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",10116.0,
51,,,B,8,Autocuration,,898,,BAO_0000019,,,,,13053,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,
52,,,B,8,Autocuration,,912,,BAO_0000357,,,,,11512,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,
53,,,B,8,Autocuration,,912,,BAO_0000357,,,,,11512,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,
54,,,B,8,Autocuration,,912,,BAO_0000357,,,,,11512,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,
55,Membranes,,B,5,Autocuration,,15103,Rattus norvegicus,BAO_0000249,,,,,104740,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,10116.0,
56,,1A9,F,1,Intermediate,,5116,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,9606.0,
57,,Oocytes,F,7,Autocuration,,14578,Rattus norvegicus,BAO_0000219,,,,,104835,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,10116.0,
58,,Oocytes,F,7,Autocuration,,14578,Rattus norvegicus,BAO_0000219,,,,,104821,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,10116.0,
59,,Oocytes,F,7,Autocuration,,14578,Rattus norvegicus,BAO_0000219,,,,,104848,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,10116.0,
60,,1A9,F,1,Expert,,4787,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,9606.0,
61,,1A9,F,1,Intermediate,,4787,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,9606.0,
62,,1A9,F,1,Intermediate,,3547,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,9606.0,
63,,1A9,F,1,Intermediate,,3547,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,9606.0,
64,,1A9,F,1,Intermediate,,6726,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Effective dose of compound against replication of 1A9 cell line was evaluated,9606.0,
65,,1A9,F,1,Expert,,3455,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,9606.0,
66,,1A9,F,1,Intermediate,,5726,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),9606.0,
67,,1A9,F,1,Intermediate,,5726,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,9606.0,
68,,1A9,F,1,Intermediate,,5726,Homo sapiens,BAO_0000219,506.0,,,,80002,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,9606.0,
69,,1A9,F,1,Intermediate,,3395,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Inhibitory activity against Taxol resistant 1A9 cell lines,9606.0,
70,,1A9,F,1,Expert,,3415,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,9606.0,
71,,1A9,F,1,Expert,,3415,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,9606.0,
72,,1A9,F,1,Expert,,17099,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,9606.0,
73,,1A9,F,1,Intermediate,,17099,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,9606.0,
74,,1A9,F,1,Intermediate,,17099,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,9606.0,
75,,1A9,F,1,Intermediate,,17099,Homo sapiens,BAO_0000219,506.0,,,,80002,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,9606.0,
76,,Jurkat,F,1,Intermediate,,17721,Homo sapiens,BAO_0000219,503.0,,,,81072,1,Inhibitory concentration against Jurkat cells,9606.0,
77,,,F,0,Intermediate,,1229,,BAO_0000019,,,,,22226,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,
78,,,A,9,Expert,,11347,Rattus norvegicus,BAO_0000357,,,,,100121,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,10116.0,
79,,,B,8,Expert,,17117,,BAO_0000357,,,,,11231,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
80,,,B,8,Expert,,17117,,BAO_0000357,,,,,11231,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,
81,,,B,8,Expert,,17117,,BAO_0000357,,,,,11231,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,
82,Microsomes,,B,8,Autocuration,,11375,Candida albicans,BAO_0000251,,,,,11231,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",5476.0,
83,Microsomes,,B,8,Autocuration,,11375,Candida albicans,BAO_0000251,,,,,11231,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",5476.0,
84,Microsomes,,B,8,Autocuration,,11375,Saccharomyces cerevisiae,BAO_0000251,,,,,11231,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",4932.0,
85,Microsomes,,B,8,Autocuration,,11375,Saccharomyces cerevisiae,BAO_0000251,,,,,11231,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",4932.0,
86,Microsomes,,B,8,Autocuration,,11375,Sus scrofa,BAO_0000251,,Liver,,,12083,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",9823.0,
87,,,B,8,Autocuration,,791,Rattus norvegicus,BAO_0000019,,,,,11231,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",10116.0,
88,,,B,8,Autocuration,,791,Rattus norvegicus,BAO_0000019,,,,,11231,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",10116.0,
89,,,B,8,Autocuration,,791,Rattus norvegicus,BAO_0000019,,,,,11231,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",10116.0,
90,Microsomes,,B,9,Autocuration,,11375,Rattus norvegicus,BAO_0000251,,Liver,,,12083,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",10116.0,
91,Microsomes,,B,9,Autocuration,,11375,Rattus norvegicus,BAO_0000251,,Liver,,,12083,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",10116.0,
92,Microsomes,,B,9,Autocuration,,153,Rattus norvegicus,BAO_0000251,,Liver,,,12083,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",10116.0,
93,,,B,8,Expert,,8269,,BAO_0000357,,,,,11377,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,
94,,,B,8,Expert,,8269,,BAO_0000357,,,,,11377,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,
95,,HepG2,F,1,Expert,,17653,Homo sapiens,BAO_0000219,726.0,,,,81020,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,9606.0,
96,,HepG2,F,1,Intermediate,,14277,Homo sapiens,BAO_0000219,726.0,,,,81020,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,9606.0,
97,,HepG2,F,1,Intermediate,,1717,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,9606.0,
98,,HepG2,F,1,Intermediate,,14091,Homo sapiens,BAO_0000219,726.0,,,,81020,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,9606.0,
99,,HepG2,F,1,Intermediate,,14091,Homo sapiens,BAO_0000219,726.0,,,,81020,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,9606.0,
100,,,F,1,Expert,,17653,Hepatitis B virus,BAO_0000218,,,,,50606,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,10407.0,
101,,HepG2,F,1,Intermediate,,13105,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,9606.0,
102,,HepG2,F,1,Intermediate,,1717,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Concentration required to inhibit 50% of 2.2.15 cell line,9606.0,
103,,HepG2,A,1,Intermediate,,13105,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,9606.0,
104,,2.2.15,F,1,Intermediate,,13600,Homo sapiens,BAO_0000218,,,,,50587,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,9606.0,
105,,2.2.15,F,1,Intermediate,,13467,Homo sapiens,BAO_0000218,,,,,50587,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,9606.0,
106,,2.2.15,F,1,Expert,,17477,Hepatitis B virus,BAO_0000218,,,,,50606,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",10407.0,
107,,2.2.15,F,1,Intermediate,,1593,Homo sapiens,BAO_0000218,,,,,50587,1,In vitro anti-HBV activity in 2.2.15 cells,9606.0,
108,,2.2.15,F,1,Intermediate,,1593,Homo sapiens,BAO_0000218,,,,,50587,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,9606.0,
109,,2.2.15,F,1,Intermediate,,15089,Homo sapiens,BAO_0000218,,,,,50587,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,9606.0,
110,,2.2.15,F,1,Intermediate,,15089,Homo sapiens,BAO_0000218,,,,,50587,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,9606.0,
111,,2.2.15,F,1,Intermediate,,1593,Homo sapiens,BAO_0000218,,,,,50587,1,Cytotoxicity in 2.2.15 cells,9606.0,
112,,2.2.15,F,1,Intermediate,,1593,Homo sapiens,BAO_0000218,,,,,50587,1,Cytotoxicity in 2.2.15 cells; Not determined,9606.0,
113,,2.2.15,F,1,Intermediate,,13600,Homo sapiens,BAO_0000218,,,,,50587,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,9606.0,
114,,2.2.15,F,1,Intermediate,,13467,Homo sapiens,BAO_0000218,,,,,50587,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,9606.0,
115,,2.2.15,F,1,Intermediate,,13467,Homo sapiens,BAO_0000218,,,,,50587,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,9606.0,
116,,HepG2,F,1,Intermediate,,14764,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Antiviral activity against HBV was determined in 2.215 cell line,9606.0,
117,Microsomes,,B,0,Autocuration,,6531,Homo sapiens,BAO_0000251,,,,,22226,1,Inhibition of 20-HETE synthesis in human renal microsomes,9606.0,
118,,,B,0,Autocuration,,17322,,BAO_0000019,,,,,22226,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,
119,,2008,F,1,Intermediate,,17072,Homo sapiens,BAO_0000219,388.0,,,,80612,1,Inhibitory concentration against 2008 (ovarian) cells,9606.0,
120,,2008,F,1,Intermediate,,16936,Homo sapiens,BAO_0000219,388.0,,,,80612,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,9606.0,
121,,2008,F,1,Intermediate,,16936,Homo sapiens,BAO_0000219,388.0,,,,80612,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),9606.0,
122,,2008,F,1,Intermediate,,17146,Homo sapiens,BAO_0000219,388.0,,,,80612,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,9606.0,
123,,2008,F,1,Intermediate,,17146,Homo sapiens,BAO_0000219,388.0,,,,80612,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,9606.0,
124,,2008/R,F,1,Intermediate,,10797,Homo sapiens,BAO_0000219,561.0,,,,80613,1,In vitro inhibition of 2008/R ovarian cancer cell line,9606.0,
125,,2008/R,F,1,Intermediate,,10797,Homo sapiens,BAO_0000219,561.0,,,,80613,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,9606.0,
126,,2008/S,F,1,Intermediate,,10797,Homo sapiens,BAO_0000219,389.0,,,,80614,1,In vitro inhibition of 2008/S ovarian cancer cell line,9606.0,
127,,2008/S,F,1,Intermediate,,10797,Homo sapiens,BAO_0000219,389.0,,,,80614,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,9606.0,
128,,,B,2,Expert,,4823,Homo sapiens,BAO_0000220,,,,,100256,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,9606.0,
129,,,B,2,Intermediate,,12912,Homo sapiens,BAO_0000220,,,,,100256,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,9606.0,
130,,,B,2,Expert,,2957,,BAO_0000220,,,,,100256,1,Inhibition of chymotrypsin-like activity of 20S proteasome,,
131,,,B,2,Expert,,2957,,BAO_0000220,,,,,100256,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,
132,,,B,2,Intermediate,,3260,,BAO_0000220,,,,,100256,1,Inhibitory activity against 20S proteosome,,
133,,,B,0,Autocuration,,3451,Homo sapiens,BAO_0000019,,,,,22226,1,Compound was tested for inhibitory activity against tryptase,9606.0,
134,,HepG2,F,1,Intermediate,,13885,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,9606.0,
135,,HepG2,F,1,Intermediate,,13885,Homo sapiens,BAO_0000219,726.0,,,,81020,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,9606.0,
136,,,B,0,Autocuration,,3676,,BAO_0000019,,,,,22226,1,Compound was tested for the inhibition of Alpha-glucosidase,,
137,,,B,8,Autocuration,,6043,,BAO_0000357,,,,,235,1,Inhibitory concentration against human neutrophil elastase (HNE),,
138,,,F,0,Autocuration,,11140,Rattus norvegicus,BAO_0000218,,Heart,,,22226,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,10116.0,
139,,,F,8,Autocuration,,10543,,BAO_0000019,,,,,19640,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
140,,,F,8,Expert,,10543,,BAO_0000019,,,,,19640,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
141,,,B,8,Autocuration,,10543,,BAO_0000357,,,,,19640,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,
142,,,F,8,Expert,,10543,,BAO_0000019,,,,,19640,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,
143,,P338,F,1,Intermediate,,11365,Mus musculus,BAO_0000219,524.0,,,,80360,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,10090.0,
144,,P338,F,1,Intermediate,,11365,Mus musculus,BAO_0000219,524.0,,,,80360,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,10090.0,
145,,PBL,F,1,Intermediate,,11803,Homo sapiens,BAO_0000219,554.0,,,,80384,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,9606.0,
146,,,F,0,Autocuration,,11803,Ovis aries,BAO_0000019,,,,,22226,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,9940.0,
147,,,F,0,Autocuration,,11803,Ovis aries,BAO_0000019,,,,,22226,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,9940.0,
148,,,B,8,Autocuration,,12278,,BAO_0000357,,,,,191,1,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,
149,,,F,0,Autocuration,,8249,Homo sapiens,BAO_0000019,,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,9606.0,
150,,,F,0,Autocuration,,8249,Homo sapiens,BAO_0000019,,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,9606.0,
151,,CCRF-CEM,F,0,Autocuration,,8249,Homo sapiens,BAO_0000219,635.0,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,9606.0,
152,,CCRF-CEM,F,0,Autocuration,,8249,Homo sapiens,BAO_0000219,635.0,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,9606.0,
153,,CCRF-CEM,F,0,Autocuration,,8249,Homo sapiens,BAO_0000219,635.0,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,9606.0,
154,,CCRF-CEM,F,0,Autocuration,,8249,Homo sapiens,BAO_0000219,635.0,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,9606.0,
155,,,F,0,Autocuration,,8249,Homo sapiens,BAO_0000019,,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,9606.0,
156,,,F,0,Autocuration,,8249,Homo sapiens,BAO_0000019,,,,,22226,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,9606.0,
157,,,B,6,Autocuration,,16992,,BAO_0000249,,,,,104290,1,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,
