assays_assay_id,assays_src_id,assays_description,assays_assay_tissue,assays_bao_format,assays_src_assay_id,assays_assay_organism,assays_assay_category,assays_curated_by,assays_doc_id,assays_assay_test_type,assays_relationship_type,assays_confidence_score,assays_chembl_id,assays_cell_id,assays_tissue_id,assays_variant_id
33,1,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,BAO_0000357,,Glycine max,,Autocuration,11087,,H,8,CHEMBL615145,,,
34,1,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,,Glycine max,,Autocuration,13622,,H,8,CHEMBL615146,,,
35,1,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,BAO_0000357,,Glycine max,,Autocuration,13622,,H,8,CHEMBL615147,,,
36,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,BAO_0000019,,Rattus norvegicus,,Autocuration,11347,,U,0,CHEMBL615148,,,
37,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,BAO_0000019,,Escherichia coli,,Autocuration,5926,,U,0,CHEMBL615149,,,
38,1,Dissociation constant with dimeric 16S rRNA RNA construct B,,BAO_0000019,,,,Autocuration,4567,,U,0,CHEMBL615150,,,
39,1,Dissociation constant towards 16S rRNA construct A,,BAO_0000225,,,,Intermediate,3782,,M,3,CHEMBL615151,,,
40,1,Dissociation constant towards 16S rRNA construct B,,BAO_0000225,,,,Intermediate,3782,,M,3,CHEMBL615152,,,
41,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,BAO_0000225,,Escherichia coli,,Expert,4466,,M,3,CHEMBL615153,,,
42,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,BAO_0000225,,Escherichia coli,,Expert,6592,,M,3,CHEMBL615154,,,
43,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,H,8,CHEMBL615155,,,
44,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,H,8,CHEMBL615156,,,
45,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,,Homo sapiens,,Autocuration,13163,,H,8,CHEMBL615157,,,
46,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,BAO_0000019,,Homo sapiens,,Autocuration,13163,,H,8,CHEMBL615158,,,
47,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,D,9,CHEMBL615159,,,
48,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,D,9,CHEMBL615172,,,
49,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,D,9,CHEMBL615173,,,
50,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,BAO_0000019,,Rattus norvegicus,,Expert,10691,,D,9,CHEMBL615174,,,
51,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,BAO_0000019,,,,Autocuration,898,,H,8,CHEMBL884518,,,
52,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,BAO_0000357,,,,Autocuration,912,,H,8,CHEMBL615175,,,
53,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,BAO_0000357,,,,Autocuration,912,,H,8,CHEMBL615176,,,
54,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,BAO_0000357,,,,Autocuration,912,,H,8,CHEMBL615177,,,
55,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,BAO_0000249,,Rattus norvegicus,,Autocuration,15103,,D,5,CHEMBL615178,,,
56,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,BAO_0000219,,Homo sapiens,,Intermediate,5116,,N,1,CHEMBL615179,506.0,,
57,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,D,7,CHEMBL615180,,,
58,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,D,7,CHEMBL615181,,,
59,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,BAO_0000219,,Rattus norvegicus,,Autocuration,14578,,D,7,CHEMBL615182,,,
60,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,BAO_0000219,,Homo sapiens,,Expert,4787,,N,1,CHEMBL615183,506.0,,
61,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,BAO_0000219,,Homo sapiens,,Intermediate,4787,,N,1,CHEMBL615184,506.0,,
62,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,,BAO_0000219,,Homo sapiens,,Intermediate,3547,,N,1,CHEMBL615185,506.0,,
63,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,3547,,N,1,CHEMBL615186,506.0,,
64,1,Effective dose of compound against replication of 1A9 cell line was evaluated,,BAO_0000219,,Homo sapiens,,Intermediate,6726,,N,1,CHEMBL615187,506.0,,
65,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,BAO_0000219,,Homo sapiens,,Expert,3455,,N,1,CHEMBL885343,506.0,,
66,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,BAO_0000219,,Homo sapiens,,Intermediate,5726,,N,1,CHEMBL615188,506.0,,
67,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,BAO_0000219,,Homo sapiens,,Intermediate,5726,,N,1,CHEMBL615189,506.0,,
68,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,5726,,N,1,CHEMBL615190,506.0,,
69,1,Inhibitory activity against Taxol resistant 1A9 cell lines,,BAO_0000219,,Homo sapiens,,Intermediate,3395,,N,1,CHEMBL615191,506.0,,
70,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,BAO_0000219,,Homo sapiens,,Expert,3415,,N,1,CHEMBL615192,506.0,,
71,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,BAO_0000219,,Homo sapiens,,Expert,3415,,N,1,CHEMBL827083,506.0,,
72,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,BAO_0000219,,Homo sapiens,,Expert,17099,,N,1,CHEMBL615193,506.0,,
73,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,N,1,CHEMBL615194,506.0,,
74,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,N,1,CHEMBL615195,506.0,,
75,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,BAO_0000219,,Homo sapiens,,Intermediate,17099,,N,1,CHEMBL615196,506.0,,
76,1,Inhibitory concentration against Jurkat cells,,BAO_0000219,,Homo sapiens,,Intermediate,17721,,N,1,CHEMBL615197,503.0,,
77,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,BAO_0000019,,,,Intermediate,1229,,U,0,CHEMBL615198,,,
78,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,BAO_0000357,,Rattus norvegicus,,Expert,11347,,D,9,CHEMBL615199,,,
79,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,,,,Expert,17117,,H,8,CHEMBL615200,,,
80,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,BAO_0000357,,,,Expert,17117,,H,8,CHEMBL615201,,,
81,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,BAO_0000357,,,,Expert,17117,,H,8,CHEMBL615202,,,
82,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,BAO_0000251,,Candida albicans,,Autocuration,11375,,H,8,CHEMBL615203,,,
83,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,BAO_0000251,,Candida albicans,,Autocuration,11375,,H,8,CHEMBL615204,,,
84,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,,Saccharomyces cerevisiae,,Autocuration,11375,,H,8,CHEMBL615205,,,
85,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,BAO_0000251,,Saccharomyces cerevisiae,,Autocuration,11375,,H,8,CHEMBL615206,,,
86,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Liver,BAO_0000251,,Sus scrofa,,Autocuration,11375,,H,8,CHEMBL615207,,2107.0,
87,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,H,8,CHEMBL827084,,,
88,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,H,8,CHEMBL615208,,,
89,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,BAO_0000019,,Rattus norvegicus,,Autocuration,791,,H,8,CHEMBL615209,,,
90,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,11375,,D,9,CHEMBL615210,,2107.0,
91,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,11375,,D,9,CHEMBL615211,,2107.0,
92,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Liver,BAO_0000251,,Rattus norvegicus,,Autocuration,153,,D,9,CHEMBL615212,,2107.0,
93,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,BAO_0000357,,,,Expert,8269,,H,8,CHEMBL615213,,,
94,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,BAO_0000357,,,,Expert,8269,,H,8,CHEMBL615273,,,
95,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Expert,17653,,N,1,CHEMBL615274,726.0,,
96,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,BAO_0000219,,Homo sapiens,,Intermediate,14277,,N,1,CHEMBL615275,726.0,,
97,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,1717,,N,1,CHEMBL615276,726.0,,
98,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,BAO_0000219,,Homo sapiens,,Intermediate,14091,,N,1,CHEMBL615277,726.0,,
99,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,BAO_0000219,,Homo sapiens,,Intermediate,14091,,N,1,CHEMBL615326,726.0,,
100,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,BAO_0000218,,Hepatitis B virus,,Expert,17653,,N,1,CHEMBL883130,,,
101,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,BAO_0000219,,Homo sapiens,,Intermediate,13105,,N,1,CHEMBL884519,726.0,,
102,1,Concentration required to inhibit 50% of 2.2.15 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,1717,,N,1,CHEMBL615327,726.0,,
103,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,BAO_0000219,,Homo sapiens,,Intermediate,13105,,N,1,CHEMBL615328,726.0,,
104,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13600,,N,1,CHEMBL615329,,,
105,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,N,1,CHEMBL615330,,,
106,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,BAO_0000218,,Hepatitis B virus,,Expert,17477,,N,1,CHEMBL615331,,,
107,1,In vitro anti-HBV activity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,N,1,CHEMBL615332,,,
108,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,N,1,CHEMBL615333,,,
109,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,15089,,N,1,CHEMBL615334,,,
110,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,15089,,N,1,CHEMBL615335,,,
111,1,Cytotoxicity in 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,N,1,CHEMBL615336,,,
112,1,Cytotoxicity in 2.2.15 cells; Not determined,,BAO_0000218,,Homo sapiens,,Intermediate,1593,,N,1,CHEMBL615337,,,
113,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,BAO_0000218,,Homo sapiens,,Intermediate,13600,,N,1,CHEMBL615338,,,
114,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,N,1,CHEMBL615339,,,
115,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,BAO_0000218,,Homo sapiens,,Intermediate,13467,,N,1,CHEMBL615340,,,
116,1,Antiviral activity against HBV was determined in 2.215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,14764,,N,1,CHEMBL615341,726.0,,
117,1,Inhibition of 20-HETE synthesis in human renal microsomes,,BAO_0000251,,Homo sapiens,,Autocuration,6531,,U,0,CHEMBL615342,,,
118,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,BAO_0000019,,,,Autocuration,17322,,U,0,CHEMBL615343,,,
119,1,Inhibitory concentration against 2008 (ovarian) cells,,BAO_0000219,,Homo sapiens,,Intermediate,17072,,N,1,CHEMBL615344,388.0,,
120,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,BAO_0000219,,Homo sapiens,,Intermediate,16936,,N,1,CHEMBL615345,388.0,,
121,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,BAO_0000219,,Homo sapiens,,Intermediate,16936,,N,1,CHEMBL615346,388.0,,
122,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,BAO_0000219,,Homo sapiens,,Intermediate,17146,,N,1,CHEMBL615347,388.0,,
123,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,BAO_0000219,,Homo sapiens,,Intermediate,17146,,N,1,CHEMBL615348,388.0,,
124,1,In vitro inhibition of 2008/R ovarian cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,N,1,CHEMBL827085,561.0,,
125,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,N,1,CHEMBL615349,561.0,,
126,1,In vitro inhibition of 2008/S ovarian cancer cell line,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,N,1,CHEMBL615350,389.0,,
127,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,BAO_0000219,,Homo sapiens,,Intermediate,10797,,N,1,CHEMBL615351,389.0,,
128,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,BAO_0000220,,Homo sapiens,,Expert,4823,,S,2,CHEMBL615352,,,
129,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,BAO_0000220,,Homo sapiens,,Intermediate,12912,,S,2,CHEMBL615353,,,
130,1,Inhibition of chymotrypsin-like activity of 20S proteasome,,BAO_0000220,,,,Expert,2957,,S,2,CHEMBL615354,,,
131,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,BAO_0000220,,,,Expert,2957,,S,2,CHEMBL615355,,,
132,1,Inhibitory activity against 20S proteosome,,BAO_0000220,,,,Intermediate,3260,,S,2,CHEMBL615356,,,
133,1,Compound was tested for inhibitory activity against tryptase,,BAO_0000019,,Homo sapiens,,Autocuration,3451,,U,0,CHEMBL615357,,,
134,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,13885,,N,1,CHEMBL615358,726.0,,
135,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,BAO_0000219,,Homo sapiens,,Intermediate,13885,,N,1,CHEMBL827086,726.0,,
136,1,Compound was tested for the inhibition of Alpha-glucosidase,,BAO_0000019,,,,Autocuration,3676,,U,0,CHEMBL615359,,,
137,1,Inhibitory concentration against human neutrophil elastase (HNE),,BAO_0000357,,,,Autocuration,6043,,H,8,CHEMBL615360,,,
138,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,Heart,BAO_0000218,,Rattus norvegicus,,Autocuration,11140,,U,0,CHEMBL615361,,948.0,
139,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Autocuration,10543,,H,8,CHEMBL615362,,,
140,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Expert,10543,,H,8,CHEMBL615363,,,
141,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000357,,,,Autocuration,10543,,H,8,CHEMBL615364,,,
142,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,BAO_0000019,,,,Expert,10543,,H,8,CHEMBL615365,,,
143,1,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,BAO_0000219,,Mus musculus,,Intermediate,11365,,N,1,CHEMBL615366,524.0,,
144,1,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,BAO_0000219,,Mus musculus,,Intermediate,11365,,N,1,CHEMBL615367,524.0,,
145,1,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,BAO_0000219,,Homo sapiens,,Intermediate,11803,,N,1,CHEMBL615368,554.0,,
146,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,BAO_0000019,,Ovis aries,,Autocuration,11803,,U,0,CHEMBL615369,,,
147,1,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,BAO_0000019,,Ovis aries,,Autocuration,11803,,U,0,CHEMBL615370,,,
148,1,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,BAO_0000357,,,,Autocuration,12278,,H,8,CHEMBL615673,,,
149,1,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615674,,,
150,1,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615675,,,
151,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615676,635.0,,
152,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615677,635.0,,
153,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615678,635.0,,
154,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,BAO_0000219,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615679,635.0,,
155,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615680,,,
156,1,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,BAO_0000019,,Homo sapiens,,Autocuration,8249,,U,0,CHEMBL615681,,,
157,1,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,BAO_0000249,,,,Autocuration,16992,,H,6,CHEMBL857972,,,
