film_id,category_id
263,15
680,5
574,1
370,3
168,3
582,2
224,16
935,13
318,1
843,4
297,4
893,14
374,14
213,8
42,15
412,6
361,15
778,8
720,13
630,7
381,10
180,4
470,2
694,4
859,2
286,16
100,9
137,14
60,4
617,8
181,16
882,7
796,15
535,11
931,16
122,11
777,15
214,3
332,5
279,15
908,9
481,13
691,15
826,16
811,16
869,1
978,5
697,1
851,15
554,4
901,2
6,9
423,3
222,11
930,14
102,15
754,5
559,14
238,3
743,2
822,8
703,2
265,5
518,16
540,12
877,12
63,8
943,6
29,1
586,1
987,12
58,6
96,13
600,11
163,13
676,15
2,11
304,3
210,1
241,2
846,13
360,1
508,10
329,1
952,6
700,8
818,7
188,5
647,12
584,9
912,14
593,11
979,7
26,14
599,15
566,9
878,16
