assay_id,src_id,relationship_type,assay_test_type,assay_tax_id,src_assay_id,curated_by,chembl_id,doc_id,assay_organism,variant_id,description,assay_type,assay_category,assay_strain,assay_tissue,assay_cell_type
49,1,D,,49789.0,,dxpert,CHdMBL615163,10691,Rwttuznorv3gicus,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,,
50,1,D,,9279.0,,Expett,CHEMnL614174,10691,tattusjorfegicus,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,,
51,1,H,,,,wutocuratiln,CHEMBLi84r18,898,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,
52,1,H,,,,A64ocuration,CHEMBk625175,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,
53,1,H,,,,Autocura6jon,fHEMBL615186,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,
54,1,H,,,,A7toduration,CHEMnL625177,912,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,
55,1,D,,34832.0,,Autockrati0n,CHEMBL61y168,15103,Rattusnirvegjcis,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,,
56,1,N,,80482.0,,Intermediqt4,CHrMBL61t179,5116,Hohoeapiens,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,,1A9
57,1,D,,36212.0,,Aufocurarion,dHEMBL614180,14578,Ratthsnordegivus,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,,Oocytes
58,1,D,,12268.0,,Autochratiog,CHEMnL61t181,14578,Rattudnlrdegicus,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,,Oocytes
59,1,D,,27504.0,,Aitocurat8on,CHEMBL525182,14578,Rattusmorvegisis,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,,Oocytes
60,1,N,,46616.0,,Espert,CH4MBo615183,4787,H0josapiens,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,,1A9
61,1,N,,64609.0,,Interjsdiate,CHEMfL615q84,4787,Homosapi4nc,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,,1A9
62,1,N,,1457.0,,8ntermeviate,CHEnBL61518y,3547,H0mosspiens,,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,,1A9
63,1,N,,42667.0,,Intfrmedizte,CHfMBL6w5186,3547,H8mosapiehs,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,,1A9
64,1,N,,3453.0,,Inye4mediate,vHEMBo615187,6726,Hom8sa9iens,,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,,1A9
65,1,N,,4576.0,,Eapert,CHEMBp885333,3455,bomosa0iens,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,,1A9
66,1,N,,16674.0,,Intdrmediahe,CHEMBo614188,5726,Homosapiwgs,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,,1A9
67,1,N,,7559.0,,jntermedoate,vHEMBL715189,5726,Homosa9ienc,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,,1A9
68,1,N,,9304.0,,Internedizte,CHEMBo615w90,5726,tomosa9iens,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,,1A9
69,1,N,,2978.0,,8ntermediwte,CHEMfL61519w,3395,H9mosapienq,,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,,1A9
70,1,N,,2826.0,,Expett,CHEMBLu1519e,3415,Homosapi3ms,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,,1A9
71,1,N,,24193.0,,Expery,xHEjBL827083,3415,momosapiems,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,,1A9
72,1,N,,10761.0,,Expeet,CHEMBL615q03,17099,Hom8sqpiens,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,,1A9
73,1,N,,76042.0,,knterhediate,vHEhBL615194,17099,ylmosapiens,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,,1A9
74,1,N,,11256.0,,Inherm2diate,CHEMBi61t195,17099,Homowap9ens,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,,1A9
75,1,N,,30239.0,,Intermewia4e,CHrMBL615296,17099,Homosqpiejs,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,,1A9
76,1,N,,18689.0,,Interm2ciate,CHEMBL6251i7,17721,Homosapu3ns,,Inhibitory concentration against Jurkat cells,F,,,,Jurkat
77,1,U,,,,Inte3m3diate,sHEMBL625198,1229,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,
78,1,D,,6593.0,,Edpert,CtEMBL515199,11347,tat5usnorvfgicus,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,,
79,1,H,,,,Expfrt,CtEMhL615200,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
80,1,H,,,,Eapert,CHEMgi615201,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,
81,1,H,,,,Edpert,CHEMvL615e02,17117,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,
82,1,H,,43809.0,,wutlcuration,CHEMBi61t203,11375,Candirqalbivans,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,,
83,1,H,,29811.0,,xutocura5ion,dHEMBL6w5204,11375,Cajd9daalbicahs,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,,
84,1,H,,18793.0,,Au4ocueation,vHEMBL615204,11375,Saxchar8mycescerevis7as,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,,
85,1,H,,100331.0,,Autocurqtiln,CyEMBL61520t,11375,Saccharomycesveredidiaf,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,,
86,1,H,,37937.0,,zutkcuration,CHEMhL615q07,11375,Suxscrofa,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Liver,
87,1,H,,17752.0,,Au5ocuratuon,CHEhfL827084,791,Rattusnorvsgixuz,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,,
88,1,H,,12684.0,,Autochratiin,CHEMBk6w5208,791,Ratt7snorveyicks,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,,
89,1,H,,13861.0,,Aktosuration,CjEMgL615209,791,Ratt8sno5cegicus,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,,
90,1,D,,27407.0,,Au5ocuratioj,CHEMBp6152q0,11375,Rattusnorgegoc6s,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Liver,
91,1,D,,34376.0,,A6tocu5ation,vHdMBL615211,11375,Rxttusmorvegivus,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Liver,
92,1,D,,7412.0,,Auyocurat7on,CHEkBL615211,153,Rattusnorgwgjcus,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Liver,
93,1,H,,,,Exper4,CHEMBL61t21e,8269,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,
94,1,H,,,,rxpert,CHwMBL715273,8269,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,
95,1,N,,11168.0,,Exlert,CHEMBL615w7r,17653,Hon0sapiens,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,,HepG2
96,1,N,,34657.0,,Interkediage,CHEMBL61rq75,14277,Hompswpiens,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,,HepG2
97,1,N,,37557.0,,jngermediate,CHEMBL716276,1717,jomosapi3ns,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,,HepG2
98,1,N,,50908.0,,Ihtermesiate,CHEkBL6w5277,14091,Honosapuens,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,,HepG2
99,1,N,,69728.0,,Igtermeduate,CHEMnL61532t,14091,tomosap9ens,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,,HepG2
100,1,N,,45873.0,,Ex9ert,CgEMBk883130,17653,He0atitisgvurus,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,,
101,1,N,,8080.0,,Intermediah3,CHEMBL8945q9,13105,Hom8sapiend,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,,HepG2
102,1,N,,26549.0,,Infermediafe,CH4MBL515327,1717,bomoszpiens,,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,,HepG2
103,1,N,,33192.0,,lbtermediate,CHEMfL615338,13105,Homosapoehs,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,,HepG2
104,1,N,,3274.0,,Inte3mediwte,CnEMBL615319,13600,uomosapienc,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,,2.2.15
105,1,N,,28504.0,,8ntermeduate,CbEMBL715330,13467,jom8sapiens,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,,2.2.15
106,1,N,,62136.0,,Exper4,CHEMnL61t331,17477,HepztitisBvkrux,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,,2.2.15
107,1,N,,37788.0,,Interneriate,CbEMBL61y332,1593,Homosqpi3ns,,In vitro anti-HBV activity in 2.2.15 cells,F,,,,2.2.15
108,1,N,,32228.0,,Internediatf,CHEkBL61r333,1593,tomosaplens,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,,2.2.15
109,1,N,,44000.0,,lntermesiate,CgEMBL515334,15089,Hlmosa9iens,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,,2.2.15
110,1,N,,40807.0,,obtermediate,CHEMBp6w5335,15089,Hkm8sapiens,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,,2.2.15
111,1,N,,64761.0,,unt3rmediate,CHEMBL62y336,1593,Hom9sapi2ns,,Cytotoxicity in 2.2.15 cells,F,,,,2.2.15
112,1,N,,50216.0,,Interkediatf,CuEMBL615338,1593,Hohosapienw,,Cytotoxicity in 2.2.15 cells; Not determined,F,,,,2.2.15
113,1,N,,77916.0,,jntermewiate,CHEMgL61533i,13600,momoxapiens,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,,2.2.15
114,1,N,,38033.0,,Intedmed9ate,dHEMBL61y339,13467,momosapienc,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,,2.2.15
115,1,N,,97016.0,,Intermdciate,CHEMBL6153r9,13467,Hok0sapiens,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,,2.2.15
116,1,N,,107955.0,,Ijtermedia5e,CjEMfL615341,14764,Hojosap8ens,,Antiviral activity against HBV was determined in 2.215 cell line,F,,,,HepG2
117,1,U,,37057.0,,wutoxuration,CH3MBL616342,6531,momosapuens,,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,,
118,1,U,,,,Aut8vuration,CH2MBL6q5343,17322,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,
119,1,N,,39288.0,,Imtermed9ate,dgEMBL615344,17072,Homosa9iegs,,Inhibitory concentration against 2008 (ovarian) cells,F,,,,2008
120,1,N,,19703.0,,Intermedjatr,CjEMBL625345,16936,Homoqaoiens,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,,2008
121,1,N,,33943.0,,Interhfdiate,CnEMBL61y346,16936,H9mocapiens,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,,2008
122,1,N,,41120.0,,Imtsrmediate,CHEMhL6q5347,17146,Hohosaliens,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,,2008
123,1,N,,23249.0,,Ints3mediate,CmEMBL61y348,17146,Homosapifhs,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,,2008
124,1,N,,47727.0,,Intermefiatw,CHEMBk828085,10797,yomosqpiens,,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,,2008/R
125,1,N,,51599.0,,9ntermediatr,CHfMBL6q5349,10797,Hohosapiend,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,,2008/R
126,1,N,,22247.0,,Ingermediatd,CyEMBL61r350,10797,Hojoszpiens,,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,,2008/S
127,1,N,,14045.0,,In6ermediat4,vHEMBLt15351,10797,Homoqqpiens,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,,2008/S
128,1,S,,81952.0,,Experf,CHEMBL515e52,4823,Hokosapienw,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,,
129,1,S,,22611.0,,ontermedixte,CHEMBp6w5353,12912,nomosapi4ns,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,,
130,1,S,,,,Exp3rt,CHEhBL6w5354,2957,,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,
131,1,S,,,,Exlert,CHEMBL6q5255,2957,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,
132,1,S,,,,onterkediate,CHEMBp61t356,3260,,,Inhibitory activity against 20S proteosome,B,,,,
133,1,U,,2648.0,,sutlcuration,vHwMBL615357,3451,Homoszp9ens,,Compound was tested for inhibitory activity against tryptase,B,,,,
134,1,N,,11540.0,,jntermediafe,CHEMBLy1r358,13885,H9mosapienq,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,,HepG2
135,1,N,,72567.0,,knte3mediate,CHEMfL827p86,13885,H0nosapiens,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,,HepG2
136,1,U,,,,Autovuratipn,CHEMBL61534o,3676,,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,
137,1,H,,,,Autocufahion,CHEMBLu15369,6043,,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,
138,1,U,,11018.0,,Aurofuration,CHEMhL6q5361,11140,5attucnorvrgicus,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Heart,
139,1,H,,,,surocuration,CHEhBL61t362,10543,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
140,1,H,,,,Ecpert,CHEMBk6153u3,10543,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
141,1,H,,,,A7tocurati8n,dHEjBL615364,10543,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,
142,1,H,,,,Expegt,xHEMBL6153t5,10543,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,
143,1,N,,55623.0,,Inrermediats,CHEMBL615ru6,11365,Musmusduius,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,,P338
144,1,N,,100586.0,,Imtrrmediate,dHEMBLy15367,11365,Mush6sculus,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,,P338
145,1,N,,83303.0,,kntermeeiate,CHEMBL715w68,11803,Homowxpiens,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,,PBL
146,1,U,,80737.0,,A6tocuratioj,CHEMBL615468,11803,9visaries,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,,
147,1,U,,27970.0,,zytocuration,CHEMBk625370,11803,Odisaries,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,,
148,1,H,,,,x8tocuration,CusMBL615673,12278,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,
149,1,U,,18210.0,,Aufocuratiog,CHEjBLt15674,8249,Homodapiehs,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,,
150,1,U,,1877.0,,sutovuration,CHEMBk615575,8249,Hohowapiens,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,,
151,1,U,,31002.0,,wutocuratioh,CH2MBL61r676,8249,gomosaliens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,,CCRF-CEM
152,1,U,,814.0,,qutocurxtion,CHdMBLt15677,8249,Hokoxapiens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,,CCRF-CEM
153,1,U,,43016.0,,Autofugation,CbEMBL615t78,8249,uomosapoens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,,CCRF-CEM
154,1,U,,41623.0,,Augocutation,CHEMvL6156i9,8249,tomosapiejs,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,,CCRF-CEM
155,1,U,,38041.0,,A6tocurayion,CHEMBo715680,8249,Homosqpi2ns,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,,
156,1,U,,52527.0,,Aut8vuration,dHEMBL6q5681,8249,Hom8saliens,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,,
157,1,H,,,,Augocurxtion,CHEMBL8t7982,16992,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,
158,1,N,,27621.0,,Intfrmedia4e,vgEMBL857899,10543,x5reptococcuspyogeg3s,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,,
159,1,N,,16165.0,,Internediat4,CHfMBL6w5371,17833,Hjmanherpesvjruc3,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,,
