Fiscal year,Children issues (marker),Organisation ID,IRTC percent,Sector percent,Organisation name,Enviromental sustainability (marker),Continent ID,FSTC percent,Project number,Urban issues (marker),PBA type,CountryRegion ID,Continent name,Branch ID,Maximum CIDA contribution (project-level),Climate change adaptation (marker),Project Browser country ID,Sector name,Trade development (marker),Fund centre ID,Programming process (new),Disability issues (marker),Gender equality (marker),Climate change mitigation (marker),Status,Branch name,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),CFLI (marker),CIDA business delivery model (old),Bilateral aid (international marker),Desertification (marker)
2009/2010,0,1000852,0.0,0.2,Parliamentary Centre,0,2,1.0,A020222001,0,Not PBA,ET,Africa,B4200,4229943.14,0,ET,Democratic participation and civil society,0,4229,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,0,Directive,1,0
2009/2010,0,1000852,0.0,0.2,Parliamentary Centre,0,2,1.0,A020222001,0,Not PBA,ET,Africa,B4200,4229943.14,0,ET,Human rights,0,4229,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,Ethiopia,0.0,0,Directive,1,0
2009/2010,0,1014497,0.0,0.34,Thompson Consultant Inc.,0,2,1.0,A020246001,0,Not PBA,SN,Africa,B4200,4518387.69,0,SN,Public sector policy and administrative management,0,4238,Uncoded: Pre-APP,0,2,0,Terminating,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.34,Information not available,0,2,1.0,A020246001,0,Not PBA,SN,Africa,B4200,4518387.69,0,SN,Public sector policy and administrative management,0,4238,Uncoded: Pre-APP,0,2,0,Terminating,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,0,Directive,1,0
2009/2010,0,1014497,0.0,0.66,Thompson Consultant Inc.,0,2,1.0,A020246001,0,Not PBA,SN,Africa,B4200,4518387.69,0,SN,Informal/semi-formal financial intermediaries,0,4238,Uncoded: Pre-APP,0,2,0,Terminating,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.66,Information not available,0,2,1.0,A020246001,0,Not PBA,SN,Africa,B4200,4518387.69,0,SN,Informal/semi-formal financial intermediaries,0,4238,Uncoded: Pre-APP,0,2,0,Terminating,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,0,Directive,1,0
2009/2010,0,1000975,0.0,1.0,CRC Sogema Inc.,0,1,1.0,A020252001,0,Not PBA,GY,America,B4400,7850039.11,0,GY,Teacher training,0,4438,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Guyana,7850039.11,0,Directive,1,0
2009/2010,0,10050,0.0,0.5,Department of Foreign Affairs and International Trade,1,3,1.0,A020272001,0,Not PBA,PH,Asia,B4100,13000520.92,0,PH,Public sector policy and administrative management,0,4128,Uncoded: Pre-APP,0,1,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,0.4,Department of Foreign Affairs and International Trade,1,3,1.0,A020272001,0,Not PBA,PH,Asia,B4100,13000520.92,0,PH,Public finance management,0,4128,Uncoded: Pre-APP,0,1,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,3,1.0,A020272001,0,Not PBA,PH,Asia,B4100,13000520.92,0,PH,Democratic participation and civil society,0,4128,Uncoded: Pre-APP,0,1,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,3,1.0,A020279001,0,Not PBA,PK,Asia,B4100,2645994.04,0,PK,Public sector policy and administrative management,0,4124,Uncoded: Pre-APP,0,1,0,Terminating,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,0,Directive,1,0
2009/2010,0,1000601,0.0,1.0,Agriteam Canada,0,2,1.0,A020392001,0,Not PBA,MW,Africa,B4200,7747230.74,0,MW,Public sector policy and administrative management,0,4280,Uncoded: Pre-APP,0,1,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Malawi,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,3,0.5,A020395001,0,Not PBA,BD,Asia,B4100,4947637.32,0,BD,Multisector aid,0,4122,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,0.0,0,Directive,1,0
2009/2010,0,Information not available,0.0,1.0,Information not available,0,3,0.5,A020395001,0,Not PBA,BD,Asia,B4100,4947637.32,0,BD,Multisector aid,0,4122,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,0.0,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.5,Information not available,0,2,1.0,A020398001,0,Not PBA,MZ,Africa,B4200,9096651.0,0,MZ,Basic drinking water supply,0,4274,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Mozambique,0.0,0,Directive,1,0
2009/2010,0,Information not available,0.0,0.5,Information not available,0,2,1.0,A020398001,0,Not PBA,MZ,Africa,B4200,9096651.0,0,MZ,Basic sanitation,0,4274,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Mozambique,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,1,2,1.0,A020449003,0,Not PBA,CM,Africa,B4200,2457111.5,0,CM,Multisector aid,0,4289,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,0,Directive,1,0
2009/2010,0,1000948,0.0,1.0,D�M�NAGEMENT OUTAOUAIS INC.,1,2,1.0,A020449003,0,Not PBA,CM,Africa,B4200,2457111.5,0,CM,Multisector aid,0,4289,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,0,Directive,1,0
2009/2010,0,Information not available,0.0,1.0,Information not available,1,2,1.0,A020449003,0,Not PBA,CM,Africa,B4200,2457111.5,0,CM,Multisector aid,0,4289,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,0,Directive,1,0
2009/2010,0,Information not available,0.0,1.0,Information not available,1,2,1.0,A020449003,0,Not PBA,CM,Africa,B4200,2457111.5,0,CM,Multisector aid,0,4289,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,0,Directive,1,0
2009/2010,0,1000171,0.0,0.5,UPA DI - Union des producteurs agricoles d�veloppement,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Democratic participation and civil society,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1001142,0.0,0.5,Le Groupe Conseil Baastel Lt�e,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Democratic participation and civil society,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1000171,0.0,0.15,UPA DI - Union des producteurs agricoles d�veloppement,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Food crop production,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1001142,0.0,0.15,Le Groupe Conseil Baastel Lt�e,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Food crop production,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1000171,0.0,0.1,UPA DI - Union des producteurs agricoles d�veloppement,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural extension,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1001142,0.0,0.1,Le Groupe Conseil Baastel Lt�e,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural extension,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1000171,0.0,0.15,UPA DI - Union des producteurs agricoles d�veloppement,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural education/training,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1001142,0.0,0.15,Le Groupe Conseil Baastel Lt�e,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural education/training,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1000171,0.0,0.1,UPA DI - Union des producteurs agricoles d�veloppement,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural services,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,0,1001142,0.0,0.1,Le Groupe Conseil Baastel Lt�e,0,2,1.0,A020715001,0,Not PBA,GN,Africa,B4200,11427061.07,0,GN,Agricultural services,0,4242,Uncoded: Pre-APP,0,0,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,0,Directive,1,0
2009/2010,1,1000136,0.0,0.8,Foundation for International Training,0,3,1.0,A020790001,0,Not PBA,LK,Asia,B4100,4308867.95,0,LK,Democratic participation and civil society,0,4118,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,0.0,0,Directive,1,0
2009/2010,1,1000136,0.0,0.2,Foundation for International Training,0,3,1.0,A020790001,0,Not PBA,LK,Asia,B4100,4308867.95,0,LK,Human rights,0,4118,Uncoded: Pre-APP,0,0,0,Closed,OGM Asia Pacific,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,0.0,0,Directive,1,0
2009/2010,1,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,2,0.0,A020891001,0,Other PBA,ML,Africa,B4200,3063216.68,0,ML,Education policy and administrative management,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,0.0,0,Directive,1,0
2009/2010,1,Information not available,0.0,1.0,Information not available,0,2,0.0,A020891001,0,Other PBA,ML,Africa,B4200,3063216.68,0,ML,Education policy and administrative management,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,0.0,0,Directive,1,0
2009/2010,0,10050,0.0,1.0,Department of Foreign Affairs and International Trade,0,2,1.0,A020892001,0,Other PBA,ML,Africa,B4200,16726210.87,0,ML,Teacher training,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,0,Directive,1,0
2009/2010,0,1001126,0.0,1.0,CAC International,0,2,1.0,A020892001,0,Other PBA,ML,Africa,B4200,16726210.87,0,ML,Teacher training,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,0,Directive,1,0
2009/2010,0,1014203,0.0,1.0,Consortium CRC SOGEMA Inc. et l'Universit� d'Ottawa,0,2,1.0,A020892001,0,Other PBA,ML,Africa,B4200,16726210.87,0,ML,Teacher training,0,4216,Uncoded: Pre-APP,0,2,0,Closed,WGM Sub-Saharan Africa,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,0,Directive,1,0
2009/2010,1,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Primary education,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,Information not available,0.0,0.1,Information not available,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Primary education,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,10050,0.0,0.08,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Basic health care,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,Information not available,0.0,0.08,Information not available,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Basic health care,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,10050,0.0,0.02,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Family planning,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,Information not available,0.0,0.02,Information not available,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Family planning,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,10050,0.0,0.8,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Public sector policy and administrative management,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,Information not available,0.0,0.8,Information not available,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,UY,Public sector policy and administrative management,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,10050,0.0,0.1,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,AR,Primary education,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,Information not available,0.0,0.1,Information not available,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,AR,Primary education,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
2009/2010,1,10050,0.0,0.08,Department of Foreign Affairs and International Trade,1,1,1.0,A020910001,0,Not PBA,50,America,B4400,1488850.78,0,AR,Basic health care,0,4422,Uncoded: Pre-APP,0,0,0,Closed,NGM Americas,D4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,0,Responsive,1,0
