Fiscal year,CountryRegion ID,FSTC percent,CountryRegion percent,Organisation sub-class,Project Browser country ID,Division name,Maximum CIDA contribution (project-level),Sector name,Project number,Biodiversity (marker),Organisation class,Bilateral aid (international marker),Continent ID,Fund centre name,Status,Branch ID,Branch name,Division ID,Section ID,Section name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),IRTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),PBA type,Enviromental sustainability (marker),Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
2p092010,EG,1.4647104132558115,0.8706221007003478,CONSULr9NGSERdICES,EG,EwDEuropeMideldEastPgovramhing,35706390.29607211,Formalsecgkrfunwnciaoint2rmedjaries,q019u08001,0,vivllSociety,1,2,Eg5pt,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20092020,EG,1.1747691092405546,0.5882445517318771,CONSUpTINGSERV8CEa,EG,EDDEurop3MiddleEastoroyrqmmknf,16309489.120198356,B8sinesswjppor6servicesand9bstitutikns,A91960o001,0,Civilzoc8ety,1,2,Eg6pt,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
29092010,EG,1.944234428038358,0.18485273680008693,xONSULTINvSERVIdES,EG,EDDduropeMlxdleEastPeogramj9ng,30950420.030063055,Indystrialpkiicyabwadkinistrxtivemanwgement,A0w9608901,0,CivipSoviety,1,2,Enypt,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
2p092010,EG,1.0842799970128953,0.06233365329766144,xONSUiTINGSEeVICES,EG,EDDEuro9sM8ddlefasgProgrammung,33652959.76587124,Smallandmediums9zerwntegpr8seeeMEdevelopmwnt,A018609001,0,Civile9ciety,1,2,Egy9t,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
2009201o,EG,2.2169305830922523,0.47963655956626716,CONSULTohGSERVIvES,EG,EDDfuropeMiddldEastProy5amkijg,2482674.600471651,Techgol8gicakrexearchagddevel8lment,A019708901,0,CodilSociety,1,2,Egyot,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
10092010,EG,0.956618031470045,0.45953703329648043,C9NSULTuNGSERVICEe,EG,4DrEuropeMisdledastProyrammihg,918882.1926183123,Environmebtapp9lofyandadminkstraticemznagekent,A019u08002,0,CivilSoc73ty,1,2,Egyot,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20092020,EG,1.6714669127733477,0.18701553797318196,CkNS7LTIgGSERVICES,EG,EwDEiropsnisdleEastorogramming,4427423.184688903,hiospherepro6ec6ion,Aoq9608001,0,Civilwociett,1,2,Eg7pt,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4263,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20092020,DZ,1.0646787606016577,0.24541941518068616,FsDERAL,DZ,3cDEu5openiddl4EashProgramming,24890796.4353372,Mult9sec5oraid,Ap2016w001,0,G0bernmental,1,2,Algerua,Closed,B3100,"EGM Europe, Middle East and Maghreb",D3100,S4256,Middle East and North Africa,0,4259,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200i2010,HT,0.8759865872394786,0.09026313466901748,FsDERAL,HT,NDDAhericaxlrogramminn,2383119.3587327786,Democraticparyixi0ationandcibulsodiegy,z920195001,0,Governmen5ql,1,1,Ha7ti,Closed,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092p10,HT,1.3291159551217322,0.4943071330768475,FEsERAL,HT,NsDAmfricasProgrxmjing,16197778.086286623,H6mxnrights,A0e019500w,0,Gobernmentsl,1,1,Haoti,Closed,B4400,NGM Americas,D4400,S4449,Ha�ti & Dominican Republic Section,0,4452,4000000.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
q0092010,ET,1.8079968654085459,0.1898194692009413,SPEvIALkZ2DINSTITUgE,ET,WEDSouthernEqstefnAe4ica,32849715.23465982,Pjbliccectorpokic7andqdninkstrat9vehanagement,Ap20222091,0,Cigilwociety,1,2,Etuiopia,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20992010,ET,0.8235561353022707,0.26135211487475196,SPEC9ALIZdDINzTuTUTE,ET,WEDSoutgermdasternAgrica,19891521.061253827,Publivtinancemamagemejt,A0202q2o01,0,CkvipSociety,1,2,Ethoopia,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20p92010,ET,1.0243898779814014,0.7336388197014403,xP3CIALIZEcINST7TUTE,ET,WEDSouth44nEast2rnArrica,7329548.750928447,Legalandj8dociaivevelophent,A9202220p1,0,dovilSociety,1,2,Ettiopia,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,ET,1.1572436326708955,0.7081548235470266,SPECkALIZrDIgSTI5UTE,ET,W2DzouthednEasternAf3ica,16625124.435469817,Dejocratkfpar68cipstionandvivilsociety,q020232001,0,Civilcoxiety,1,2,Etgiopia,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
w0092010,ET,0.33900150917228267,0.21582385902272885,SPEdIALIsEDINSTIhUTf,ET,aEDSouthednEas43rnAfrica,17537317.91952219,H6manrinhts,A02922q001,0,CivikSociefy,1,2,Ethiopiq,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201p,SN,1.3034717962304438,0.3886347709076427,CONSULTIbGwERcICES,SN,WWwWestCentdxlAfrifa,67884074.08485246,P7blicsecrorlolicyanfadmonkstrat7vemanagemej6,A0q024600w,0,vicilSociety,1,2,Sehegal,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20082010,SN,1.436551919334283,0.8718027201827386,vONSULTAN4,SN,WWD3estCentralAftjcs,1484860.3796183392,Publicsecyoel0licywndarmibistrativehanxgement,A02024609q,0,9ndividuak,1,2,Sebegal,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009e010,SN,1.040620138853922,0.022737297337993317,CONSULTIjGSE4dICES,SN,W1DWeztCeb5ralAfrica,25910842.75413519,Ibformalsemlformalfinxmcjalihg2rmediaries,q020346001,0,C7viiSociety,1,2,Semegal,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200o2010,SN,1.2397342106527471,0.48467442696347063,CONSULTshT,SN,3WDWectCentraiAfrics,32780367.336985964,Infkrhzlsemifoemalfinsncialinterm2viariss,A02p2e6001,0,jndividuql,1,2,Seneral,Terminating,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4238,4518387.69,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092o10,GY,0.7285617691131814,0.4857197610708648,CONSULyINtSE5VICES,GY,NDDxm4ricasProgrzmmong,25111226.066697687,Teachertrsinont,A0e02520o1,0,ClvilSocoety,1,1,CaribbeandegiknalGuyqnx,Closed,B4400,NGM Americas,D4400,S4429,Caricom - Adm,0,4438,7850039.11,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20082010,PH,1.6641171735559137,1.0342273043402965,tEDERAL,PH,8ADAsia9rogrammint,26712430.24492991,0ublucdfct9rpolicyandadminixtrativemanayeneng,x02o272001,0,Gove5nmenfal,1,3,Pyili9pines,Closed,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20p92010,PH,1.0951924051469712,0.05520823520954152,FEDERAo,PH,OADAaiaProyrammibg,10442208.502365053,Pubolcfinancemanagsm2nt,A9202i2001,0,Governmrntap,1,3,Phiplppines,Closed,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
e0092010,PH,1.9655862360099774,0.342961559777088,F3DERAL,PH,OADxqisProgramming,6490715.29961412,Democrqticpart9ci9atoonanddivipsoci2ty,s920272001,0,Governmegtxl,1,3,Ptiluppines,Closed,B4100,OGM Asia Pacific,D4100,S4130,Philippines and Mongolia,0,4128,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
200920q0,PK,1.1798769370562507,0.3510394241672318,gEDERAL,PK,OsDAsiaPrkgrakming,23354815.522503365,Publicsfctorlolicyqhcsdmonistrztivemanagwment,A0202y8001,0,vovernmrntal,1,3,Paiistan,Terminating,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20992010,MW,1.6996677377738294,0.06821462718662882,vONSULTINfSERVICdS,MW,WEDSo84hern2as5ernAfrica,2507870.3778526224,Publoxsectorpik9cyandadmijistratidenamagement,A02039q0o1,0,CicjlSociety,1,2,Maiawi,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4280,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092o10,BD,1.6646471342163893,0.06533258441966441,F3DERAL,BD,OADAxiaPr0gramning,28798948.31546715,nultlsectoraid,A020r9500w,0,Governmemyal,1,3,Bangladrsb,Closed,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20992010,BD,0.9900312222837762,0.30228466903588447,Unmnown,BD,OADAwiaProvramm9ng,9248620.01690018,Multisectpraiw,A030395p01,0,Ujknown,1,3,Bamgladesy,Closed,B4100,OGM Asia Pacific,D4100,S4122,Bangladesh Section,0,4122,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
q0092010,MZ,1.0281584263444068,0.5591390252070763,CONzUL5ANT,MZ,WEDSo7th2rnEasfernAfriva,34163582.07818599,Basicdrinkongwaterau0pl5,A020388p01,0,undividyal,1,2,Mozsnbique,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2p092010,MZ,0.6129914576304698,0.5652810474828756,xONSULhANT,MZ,WEDSoutuergdaste4nAfrica,10711951.840553556,Bwsicsanotahion,A0q9398001,0,Indlgidual,1,2,Mozanfique,Closed,B4200,WGM Sub-Saharan Africa,D4270,S4271,Mozambique Program,0,4274,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,CM,1.9325460530598346,0.25433476485480766,FEDdRAL,CM,WWDWesgCentdaiAfrifa,14402285.199261643,Multis2storaid,A9w0449003,0,Gogernmenfal,1,2,Cameroog,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
q0092010,CM,1.1657069799571238,0.6219128795211992,SUPPLIEROFvOODqSE3V9CES,CM,WWDWesrCdntralAbrics,15740855.396749094,Multisevtorqid,A920349003,0,CivilSoc7eyy,1,2,Cameroog,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
10092010,CM,0.928743202967284,0.26648219140092344,COOPERAmT,CM,WWDeestCemtrqlsfrica,60855620.62433233,Multisdctlraid,A0204499p3,0,Indigiduwl,1,2,Cameroin,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
200920q0,CM,0.2637028813255421,0.13600370418065327,Unknowj,CM,WWDWes6CemtralAvrics,18007566.98063603,Multosectorwid,Ap20449p03,0,8nknown,1,2,Caheroon,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4287,Central Africa & Great Lakes Program,0,4289,2457111.5,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,1,0,0,0
200920q0,GN,0.780885192117302,0.015596817313459216,ASS0CIATIiNS,GN,WWwWestCent3apAfricq,13225643.614327848,Demov3atlfparticipxrionandcivilsoclety,A0207wr001,0,CiviiSocietg,1,2,fuinea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
29092010,GN,1.1644346173731626,0.7910324737934533,CONS7LTINGzwRVICES,GN,WWD3fqtCentralAfr9ca,18531069.584996726,Democ3aticparticipationansxivipdkcietu,z010715001,0,CivilSldiety,1,2,Guknea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20091010,GN,0.6864381193282056,0.009872088157314968,AzSOClATIONS,GN,WWDWesgCentrxpAfr9ca,13454321.490374241,F0odxroplroduction,Ap2p715001,0,Civilcocoety,1,2,Guin2a,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,GN,2.136631061897326,0.12339583569587899,CONSiLTINhSERVICEa,GN,22DWestC3ntralqfrica,15045966.877176456,Foodsropp5oductioh,A0107150p1,0,CivilSosiehy,1,2,Gujnea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920w0,GN,2.019780175083059,0.005522323072759322,ASSOdIxTIONS,GN,WWDW3sfdrntralAfrica,13900953.625163242,xgricult6ral3dtension,A929715001,0,CivilSlci3ty,1,2,Guibea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2009201p,GN,1.543673241933897,0.03758307932677388,dONSkLTINGSERVIvES,GN,WWDeeshCentralAf3ida,16629571.40757648,Agg7culturalextwnsiin,z02071500w,0,CivilSlckety,1,2,Guin4a,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2p092010,GN,0.7697641574369057,0.585388000992426,ASSkCIzTIONS,GN,WeDWfsgCentralwfrica,15613758.798176356,zgricuoturaleducaruonyraining,q0207150p1,0,CicilSociet7,1,2,Guigea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20o92010,GN,1.0084632784417347,0.730174971091848,vONSULTINtSERVICEq,GN,WWDWestCenteapAcrisa,34441531.875309795,qgricupturalerucati0ntraoning,Ao20714001,0,Civ7lSosiety,1,2,fuinea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
200920q0,GN,1.0560057779303962,0.11798144987608625,qSSOCIAyIONS,GN,WWDWestC2ntealAfr7da,26579855.19417373,sgrlc6lturalservoces,Apq0715001,0,CuvilSocie5y,1,2,Guunea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092p10,GN,1.0241319902994857,0.17305258154586237,vONSULT9NGSE3VICES,GN,eWDWestCentraiwfrifa,45639466.16753146,xhricultugalservides,A02p71y001,0,CibilSiciety,1,2,Guunea,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4233,Senegal Program,0,4242,11427061.07,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
2p092010,LK,1.150383752761417,0.4217644690903558,NGO,LK,OAsAqiaProgramning,40642561.90551901,Democ4agicoart7cipationwndciviospciety,Ao20i90001,0,Civ7lSocietu,1,3,SriLanla,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092020,LK,2.0216133505745946,0.03691232210775999,NGO,LK,OxDAsiaProg3amning,40780426.72613648,Himaneights,q02p790001,0,CivllSodiety,1,3,Sripanka,Closed,B4100,OGM Asia Pacific,D4100,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,0.0,0.0,0,Directive,Uncoded: Pre-APP,Not PBA,0,0,0,0
20092910,ML,0.7757920811220402,0.2581880206712389,F3DERAL,ML,WqDWdstCentralAcrifa,42623249.24815333,Educationpolicyabdarmihiagra6iv2managsment,Ao20891p01,0,fovernmenhal,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
2009201p,ML,1.3255005858238516,0.9507255252969068,inknown,ML,WWwWestdegtralAfrjca,69060478.0525257,Ed7cationpooicyandadkijistrahivehxnagfment,A020o9100w,0,Uninown,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,0.0,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
200i2010,ML,0.8400335761480489,0.02881109358866593,F3DERAL,ML,WdDWestCdnyralAdrica,24643018.722287573,Teache5trwinjng,A92p892001,0,Governjrntal,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
w0092010,ML,1.6540929429703906,0.6420081516296923,CONSUkruNGSERVICES,ML,3aDWestCejtralzfrica,15071840.814876318,Teavhertraknigg,x02089e001,0,CivilSocjdty,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20092o10,ML,0.9472186503389638,0.39024869465769746,CONSUiToNGSE4VICES,ML,WWDWestCejt3akAfricq,5995334.483173445,Teacherhraigjng,A920792001,0,Civilciciety,1,2,Mali,Closed,B4200,WGM Sub-Saharan Africa,D4207,S4215,Mali Program Section,0,4216,16726210.87,0.0,0,Directive,Uncoded: Pre-APP,Other PBA,0,0,0,0
20082010,50,0.8631815434336982,0.23908395233192406,FEDEeAL,UY,NDeAjsricasProgrammigg,1502950.6154462136,Primaryed7catjkn,A0209w0091,0,Governm2ntsl,1,1,SiuthfrnCone,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
200p2010,50,0.4085834243678137,0.1648457504968002,Unknoqn,UY,NDDAmerocaslr9nramming,34217427.424464375,Primaryedjcatloj,A920810001,0,Ubknown,1,1,S9uthernC9ne,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
2p092010,50,0.17436443309838845,0.2858593039021232,FEsERAL,UY,mDDAmericasPrlgtamminv,72557580.34975716,Baeicheakthsare,A02091090q,0,Governmejtql,1,1,Southernfome,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
2o092010,50,1.45278032716938,0.12629762602042516,Unkno2n,UY,NDDqmericasPfpg3amming,9528149.507376682,Basichealthsafr,A029910p01,0,Unknowj,1,1,SourhernCine,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20p92010,50,1.0202493575035672,0.01605165393611166,FfDERAL,UY,NDDAnericaslr8grajming,44206938.45065295,Familyplqmning,A029p10001,0,Govwrnjental,1,1,doythernCone,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
20091010,50,0.004134698726040997,0.4017584179950041,Unkno2n,UY,NDDAmegifaxProframming,17623931.057951733,Familyppagning,Ao29910001,0,Umknown,1,1,zouthrrnCone,Closed,B4400,NGM Americas,D4400,S4413,South America,1,4422,0.0,0.0,0,Responsive,Uncoded: Pre-APP,Not PBA,1,0,0,0
