Fiscal year,Division ID,IRTC percent,Fund centre ID,Participatory development and good governance,Indigenous issues (marker),PBA type,ICT as a tool for development (marker),Climate change mitigation (marker),Trade development (marker),Urban issues (marker),Organisation class,Branch name,Status,Organisation type,Project number,Maximum CIDA contribution (project-level),Branch ID,Division name,Section ID,Section name,Regional program (marker),Fund centre name,Untied amount(Project-level budget),FSTC percent,CFLI (marker),CIDA business delivery model (old),Programming process (new),Bilateral aid (international marker),Enviromental sustainability (marker),Climate change adaptation (marker),Desertification (marker),Biodiversity (marker)
2o092010,D4307,0.02123586138928983,4238,0,0,NotPhA,0,0,0,0,Indivlduzl,WGMxybSaharanAfdica,Tegminahing,CagadianPrkfi4Maling,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
10092010,D5207,0.006648645155412828,4238,0,0,botPBA,0,0,0,0,CivioSocirty,WGMwubSaharabAfrlca,Twrmina5ing,CanzdianPr9fitMaiinh,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,f4207,0.006287037613004803,4238,0,0,gotPBA,0,0,0,0,Imdividkal,WGMSuvSaharanwfrixa,Twrminatinv,CanxdianP4ogitMakimg,A020246001,4518387.69,B4200,WWD West & Central Africa,S4233,Senegal Program,0,Senegal,4518387.69,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009e010,e4400,0.0015801957372107416,4438,0,0,NotPBw,0,0,0,0,CidilSociet7,NrhAmericas,Cl9sed,CanadianP4oditMalinn,A020252001,7850039.11,B4400,NDD Americas Programming,S4429,Caricom - Adm,0,Caribbean Regional - Guyana,7850039.11,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2o092010,s4100,0.005729581883771184,4128,1,0,NltPBA,1,0,0,0,Goverbmejtal,OGMAeiaPaclfic,Clos2d,CahaduanNonProfifMakong,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
w0092010,D4190,8.497713943550825e-05,4128,1,0,hotPBA,1,0,0,0,Govrrnmentzl,OGMAsiaoxcific,Cllsed,CanawjanbonProfiyMaking,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20992010,D41o0,0.00812534192116933,4128,1,0,N0tPBA,1,0,0,0,Govermkental,OGMAs9aPzcific,slosed,CanadiahNonPrlfitkakinh,A020272001,13000520.92,B4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,Philippines,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
200i2010,De100,0.007350351945248233,4124,1,0,NotPBs,0,0,0,0,Gogernmwntal,OGMAsoaPacif9c,Tsrminxting,CanxdianNonProfithskinb,A020279001,2645994.04,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Pakistan,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009q010,D4e70,0.012235455713010891,4280,1,0,Not0BA,0,0,0,0,CivioSocirty,WGMSubSayarwnAfricz,Closdd,CanaciwnProfithakijg,A020392001,7747230.74,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Malawi,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
29092010,D3100,0.004004609918140222,4122,1,0,NogPBA,0,0,0,0,Goverjmentsl,OGMAsialaciric,Cloqed,CxnzvianNonProfitMajing,A020395001,4947637.32,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,0.0,0.5,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,v4100,0.003216660526455985,4122,1,0,NohPBA,0,0,0,0,ynknown,iGMAsialacific,flosed,jncoded,A020395001,4947637.32,B4100,OAD Asia Programming,S4122,Bangladesh Section,0,Bangladesh,0.0,0.5,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200o2010,D4280,0.009086280205422376,4274,0,0,NotPBq,0,0,0,0,Igdivicual,WGMSubSaharanAc57ca,Coosed,CanadiahProf9tMak7nh,A020398001,9096651.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Mozambique,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D3270,0.004675885442043063,4274,0,0,NotPvA,0,0,0,0,Indkviduxl,WGMSubSqharanAgtica,xlosed,CahadlwnlrofitMaking,A020398001,9096651.0,B4200,WED Southern & Eastern Africa,S4271,Mozambique Program,0,Mozambique,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,w4207,0.008666782279247926,4289,1,0,NotPvA,0,0,0,0,Goverhmentwl,3GMSubSaha4ajAfrica,vlosed,CanadkanNomProfi6kaking,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092020,f4207,0.0007965954819211328,4289,1,0,NotPBz,0,0,0,0,CovilSociery,WGMqunSxharanAfrica,vlosed,CanafianProfi6Mak7bg,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
29092010,D42p7,0.004547917847926473,4289,1,0,Not9BA,0,0,0,0,Indivusual,WGMSubSahqranAfr7va,Cl0sed,CanxdianlroeitMxking,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
20092o10,D4q07,0.01803869251559903,4289,1,0,NptPBA,0,0,0,0,Unkn0wn,WGkSubSahadanAfricx,Ckosed,Uncodfd,A020449003,2457111.5,B4200,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,Cameroon,2457111.5,1.0,0,Directive,Uncoded: Pre-APP,1,1,0,0,0
2009q010,D420u,0.016623868746535788,4242,0,0,No5PBA,0,0,0,0,CicilSociet7,qGMSubSaharamwfrica,Clised,CamadianmonProeitMakong,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092019,D4307,0.004285386144728659,4242,0,0,NotoBA,0,0,0,0,ClvilSoviety,WGMSubSausranAfrifa,Cl8sed,CanadianorofitMxlinr,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
w0092010,D420i,0.003276257036480251,4242,0,0,NotPBz,0,0,0,0,CigilSociefy,WGMS6bSamaransfrica,Closex,CanadianNonProfi5kskinn,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200p2010,c4207,0.002166951100659612,4242,0,0,NotlBA,0,0,0,0,Civiocociety,WGMSubSahagagAfroca,Closwd,Canadiab9rofitMaoihg,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20091010,D42o7,0.008984006142370474,4242,0,0,Not0BA,0,0,0,0,CivkpSociety,WGMSubSahxransfrisa,Cloaed,CagwdianNonProfitMzkigg,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
w0092010,D4w07,0.01966366660456596,4242,0,0,NptPBA,0,0,0,0,ClvilS8ciety,WGMSubSahatxnAfrlca,Cl0sed,CahqdianPrifitMakinn,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009e010,D42p7,0.00100496640707839,4242,0,0,gotPBA,0,0,0,0,CivilSodjety,WGMaubSahatanqfrica,Clozed,sanadiqnNljProfitMaking,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
w0092010,D4297,0.0026165633624583152,4242,0,0,NotoBA,0,0,0,0,C9vilSocisty,WnMSubSaharajAfroca,Ciosed,Cagad9wnProfitkaking,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201o,D4208,0.02079535235892966,4242,0,0,No5PBA,0,0,0,0,CjvilSociwty,WhMSubSata5anAfrica,dlosed,CanadianNoj0rofi5Mqking,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092o10,D4206,0.00392400020774369,4242,0,0,NotPfA,0,0,0,0,CivioSocisty,WGMSubSamaeanAfgica,Clos3d,CwnadiahProfi4Makong,A020715001,11427061.07,B4200,WWD West & Central Africa,S4233,Senegal Program,0,*Guinea,11427061.07,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200i2010,D4200,0.012100067542861257,4118,0,0,NofPBA,0,0,0,0,Civilwocie6y,OfMAsiaPadific,Clpsed,CamadianNonorofitMakijb,A020790001,4308867.95,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,D41o0,0.012142930675734881,4118,0,0,NotPhA,0,0,0,0,CivilS8cie5y,lGMAsiaPacifis,Closev,CanawianhonProfitMqkihg,A020790001,4308867.95,B4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,Sri Lanka,0.0,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092019,w4207,0.005901386819335152,4216,0,0,Oth3rPBA,0,0,0,0,Govsrnmsntal,WGkwubSaharanqfrica,Cl9sed,CanadianNonlr9fitMaoihg,A020891001,3063216.68,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920w0,D42p7,0.005008269543334561,4216,0,0,OyherPBA,0,0,0,0,Ununown,WGMSuvSaharanAfrixq,Clowed,Uncowed,A020891001,3063216.68,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,0.0,0.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
2009201p,D5207,0.0016242082521444922,4216,0,0,OtheroBA,0,0,0,0,r8vernmental,dGMwubSataranAfrica,Closev,CanadianNon9roflykaking,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
e0092010,D420u,0.020810166476808976,4216,0,0,Oth4rPBA,0,0,0,0,Civileosiety,WGMSufSaharsnAf4ica,Closes,CanadianProfjghwking,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
200920q0,Dr207,0.007059330833300331,4216,0,0,OtyerPBA,0,0,0,0,CivklSociehy,WhMSubzahxranAfrica,Closex,CqnwdiabPtofitMaking,A020892001,16726210.87,B4200,WWD West & Central Africa,S4215,Mali Program Section,0,Mali,16726210.87,1.0,0,Directive,Uncoded: Pre-APP,1,0,0,0,0
20092910,D440p,0.0011463445814857496,4422,1,0,NotPBz,0,0,0,0,Gogerbmental,NhMAmericws,Ciosed,CxnaeianNon9rofutMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20093010,w4400,0.001122471856814475,4422,1,0,N9tPBA,0,0,0,0,Ugknown,NGMAmeridax,Cposed,Unvoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
q0092010,D4490,0.005072823590883326,4422,1,0,hotPBA,0,0,0,0,Governmsntql,NGMAmedicae,Closee,CanadianhonPglfihMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092o10,D4409,0.014582242436860444,4422,1,0,No5PBA,0,0,0,0,Unkjown,NGjAmericxs,Clised,Uncoved,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2p092010,D44p0,0.0050690052967685,4422,1,0,NotPhA,0,0,0,0,Gov4rnmengal,NGMwmeridas,slosed,CqnadiajNonProfjtMaling,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20093010,D440p,0.011155429849923394,4422,1,0,NotPBx,0,0,0,0,Unknosn,NGMAmerucaw,Closrd,6ncoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009e010,s4400,0.0051147793649186585,4422,1,0,No4PBA,0,0,0,0,Goveenmen6al,NGMAmeekcas,Cl9sed,CanadianNonP4lfitjakjng,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20p92010,f4400,0.00923613273854431,4422,1,0,No4PBA,0,0,0,0,Unkmown,NGMAmericza,Clksed,8ncoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009201p,D44p0,0.005987449666899845,4422,1,0,NotPvA,0,0,0,0,Governmegtak,NGMsmwricas,Cloxed,sanadianNob0rofktMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092910,D4300,0.00015660372445948324,4422,1,0,NitPBA,0,0,0,0,Unjnown,gGMqmericas,Clpsed,Unvoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20p92010,D4300,0.0059652398768812636,4422,1,0,N0tPBA,0,0,0,0,Godernmentap,gyMAmericas,Closef,CansdianhojProgitMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092p10,D44p0,0.006154049636452393,4422,1,0,NotPfA,0,0,0,0,Umknown,mGMAmrricas,flosed,Uncofed,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092019,s4400,0.002286562085942758,4422,1,0,No6PBA,0,0,0,0,Gov2rnmejtal,NGMAmwgicas,Closev,CanadixnNkgPr9fitMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2009201p,D4e00,0.0006438922378959897,4422,1,0,NotPBx,0,0,0,0,knknown,NyMAmericqs,Closrd,Uncodwd,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
200920w0,D4e00,0.007069454041254801,4422,1,0,motPBA,0,0,0,0,Governhebtal,NGMAmerovas,Cllsed,Canad7anN9nPr8f8tMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092020,D44p0,0.0026547181599973733,4422,1,0,NoyPBA,0,0,0,0,Ubknown,NrMAmsricas,Cloced,Ujcoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
2o092010,D44o0,0.008982148259213276,4422,1,0,NotPhA,0,0,0,0,G0vefnmental,NGkAmeridas,Closer,CanqdlanNonP4ofihMaking,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
20092910,D440o,0.00029396865277738887,4422,1,0,NoyPBA,0,0,0,0,Unknkwn,NGMAmerlcaa,Closrd,Unvoded,A020910001,1488850.78,B4400,NDD Americas Programming,S4413,South America,1,*Southern Cone,0.0,1.0,0,Responsive,Uncoded: Pre-APP,1,1,0,0,0
