ss_d,ss_sbclllr_frctn,cnfdnc_scr,tss_d,vrnt_d,rltnshp_tp,ss_tss,ss_cll_tp,td,crtd_b,src_d,src_ss_d,chmbl_d,cll_d,b_frmt
225,,8,,,H,,,12052,Autocuration,1,,CHEMBL615258,,BAO_0000019
226,,1,,,N,,41M,80007,Intermediate,1,,CHEMBL615259,621.0,BAO_0000219
227,,1,,,N,,41M,80007,Expert,1,,CHEMBL615260,621.0,BAO_0000219
228,,1,,,N,,41M,80007,Intermediate,1,,CHEMBL615261,621.0,BAO_0000219
229,,1,,,N,,41M,80007,Intermediate,1,,CHEMBL615262,621.0,BAO_0000219
230,,1,,,N,,41M,80007,Expert,1,,CHEMBL615263,621.0,BAO_0000219
231,,1,,,N,,41M,80007,Expert,1,,CHEMBL838393,621.0,BAO_0000219
232,,1,,,N,,41M,80007,Intermediate,1,,CHEMBL615264,621.0,BAO_0000219
233,,9,,,D,,,84,Expert,1,,CHEMBL615265,,BAO_0000357
234,,9,,,D,,,68,Expert,1,,CHEMBL615266,,BAO_0000357
235,,8,,,H,,,68,Expert,1,,CHEMBL615267,,BAO_0000357
236,,8,,,H,,,10201,Expert,1,,CHEMBL615268,,BAO_0000357
237,,8,,,H,,,10201,Expert,1,,CHEMBL615269,,BAO_0000357
238,,8,,,H,,,10201,Expert,1,,CHEMBL615270,,BAO_0000357
239,,8,,,H,,,12220,Autocuration,1,,CHEMBL615271,,BAO_0000357
240,,8,,,H,,,11303,Autocuration,1,,CHEMBL615272,,BAO_0000357
241,,8,,,H,,,11303,Autocuration,1,,CHEMBL615103,,BAO_0000357
242,,8,,,H,,,11303,Autocuration,1,,CHEMBL615104,,BAO_0000357
243,,8,,,H,,,12220,Autocuration,1,,CHEMBL615105,,BAO_0000357
244,,8,,,H,,,12220,Autocuration,1,,CHEMBL872866,,BAO_0000357
245,,8,,,H,,,11303,Autocuration,1,,CHEMBL615106,,BAO_0000357
246,,8,,,H,,,11303,Autocuration,1,,CHEMBL615107,,BAO_0000019
247,,8,,,H,,,11303,Autocuration,1,,CHEMBL615108,,BAO_0000357
248,,8,,,H,,,11303,Autocuration,1,,CHEMBL615109,,BAO_0000357
249,,8,,,H,,,11303,Autocuration,1,,CHEMBL615110,,BAO_0000357
250,,8,,,H,,,11303,Autocuration,1,,CHEMBL840105,,BAO_0000019
251,,8,,,H,,,11303,Autocuration,1,,CHEMBL615111,,BAO_0000019
252,,8,,,H,,,11303,Autocuration,1,,CHEMBL615112,,BAO_0000019
253,,8,,,H,,,11303,Autocuration,1,,CHEMBL615113,,BAO_0000019
254,,8,,,H,,,11303,Autocuration,1,,CHEMBL615114,,BAO_0000019
255,,8,,,H,,,11303,Autocuration,1,,CHEMBL615115,,BAO_0000357
256,,8,,,H,,,11303,Autocuration,1,,CHEMBL615116,,BAO_0000019
257,,8,,,H,,,11303,Autocuration,1,,CHEMBL615698,,BAO_0000357
258,,0,,,U,,,22226,Autocuration,1,,CHEMBL615699,,BAO_0000019
259,,0,,,U,,,22226,Autocuration,1,,CHEMBL615700,,BAO_0000019
260,,8,,,H,,,100249,Expert,1,,CHEMBL615701,,BAO_0000357
261,,0,,,U,,,22226,Autocuration,1,,CHEMBL615702,,BAO_0000019
262,,0,,,U,,,22226,Autocuration,1,,CHEMBL615703,,BAO_0000019
263,,0,,,U,,,22226,Autocuration,1,,CHEMBL615704,,BAO_0000019
264,,6,,,H,,,104698,Autocuration,1,,CHEMBL615705,,BAO_0000019
265,,6,,,H,,,104698,Autocuration,1,,CHEMBL615706,,BAO_0000019
266,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL615707,,BAO_0000221
267,,8,,,H,,,10623,Expert,1,,CHEMBL615708,,BAO_0000019
268,,8,,,H,,,121,Autocuration,1,,CHEMBL615709,,BAO_0000357
269,,0,,,U,,,22226,Autocuration,1,,CHEMBL615710,,BAO_0000218
270,,8,,,H,,,12688,Autocuration,1,,CHEMBL615711,,BAO_0000019
271,,9,,,D,,,121,Expert,1,,CHEMBL615712,,BAO_0000357
272,,9,,,D,,,121,Expert,1,,CHEMBL836325,,BAO_0000357
273,,8,,,H,,,12198,Autocuration,1,,CHEMBL615713,,BAO_0000019
274,,8,,,H,,,12198,Autocuration,1,,CHEMBL615714,,BAO_0000357
275,,8,,,H,,,12198,Autocuration,1,,CHEMBL615715,,BAO_0000019
276,,8,,,H,,,12198,Autocuration,1,,CHEMBL615716,,BAO_0000019
277,,4,,,H,,,104714,Autocuration,1,,CHEMBL615717,,BAO_0000019
278,,8,,,H,,,10577,Expert,1,,CHEMBL881818,,BAO_0000019
279,,8,,,H,,,105,Expert,1,,CHEMBL884540,,BAO_0000357
280,,5,,,D,,,104744,Autocuration,1,,CHEMBL615718,,BAO_0000224
281,,4,,,H,,,104744,Autocuration,1,,CHEMBL615719,,BAO_0000224
282,Membranes,4,,,H,,,104744,Autocuration,1,,CHEMBL615720,,BAO_0000249
283,Membranes,4,,,H,,,104744,Autocuration,1,,CHEMBL615721,,BAO_0000249
284,,4,,,H,,,104744,Autocuration,1,,CHEMBL615722,,BAO_0000019
285,,8,,,H,,,51,Autocuration,1,,CHEMBL615723,,BAO_0000019
286,,8,10000000.0,,H,Hippocampus,,51,Autocuration,1,,CHEMBL615724,,BAO_0000221
287,,8,10000000.0,,H,Hippocampus,,51,Autocuration,1,,CHEMBL615725,,BAO_0000221
288,,8,10000000.0,,H,Hippocampus,,51,Autocuration,1,,CHEMBL615726,,BAO_0000221
289,,8,,,H,,,10576,Autocuration,1,,CHEMBL615727,,BAO_0000218
290,,9,,,D,,,105570,Intermediate,1,,CHEMBL615728,,BAO_0000019
291,,8,,,H,,CHO,279,Autocuration,1,,CHEMBL857971,449.0,BAO_0000219
292,,8,,,H,,,107,Autocuration,1,,CHEMBL615729,,BAO_0000357
293,,9,,,D,,,12687,Expert,1,,CHEMBL615730,,BAO_0000019
294,,8,,,H,,,12687,Expert,1,,CHEMBL615731,,BAO_0000019
295,,8,,,H,,,12687,Expert,1,,CHEMBL615732,,BAO_0000019
296,,8,,,H,,,12687,Expert,1,,CHEMBL615733,,BAO_0000019
297,,8,,,H,,,12687,Expert,1,,CHEMBL615734,,BAO_0000019
298,,8,,,H,,,12687,Autocuration,1,,CHEMBL615735,,BAO_0000019
299,,8,,,H,,,12687,Expert,1,,CHEMBL615736,,BAO_0000019
300,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL615737,,BAO_0000221
301,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL615738,,BAO_0000221
302,,9,2116.0,,D,Ileum,,20033,Intermediate,1,,CHEMBL615739,,BAO_0000221
303,,8,,,H,,,10623,Autocuration,1,,CHEMBL615278,,BAO_0000357
304,,9,,,D,,,10623,Expert,1,,CHEMBL615279,,BAO_0000019
305,,8,,,H,,,168,Expert,1,,CHEMBL615280,,BAO_0000357
306,,0,,,U,,,22226,Autocuration,1,,CHEMBL615281,,BAO_0000019
307,,0,,,U,,,22226,Autocuration,1,,CHEMBL615282,,BAO_0000019
308,,0,,,U,,,22226,Autocuration,1,,CHEMBL615283,,BAO_0000019
309,,1,,,N,,HL-60,80156,Autocuration,1,,CHEMBL615284,649.0,BAO_0000219
310,,0,,,U,,,22226,Autocuration,1,,CHEMBL615285,,BAO_0000019
311,,0,,,U,,,22226,Autocuration,1,,CHEMBL615286,,BAO_0000019
312,,7,,,D,,Oocytes,104703,Autocuration,1,,CHEMBL615287,,BAO_0000219
313,,2,,,S,,,100256,Intermediate,1,,CHEMBL615288,,BAO_0000220
314,,2,,,S,,,100256,Intermediate,1,,CHEMBL615289,,BAO_0000220
315,,1,,,N,,A2780,81034,Intermediate,1,,CHEMBL615290,478.0,BAO_0000219
316,,1,,,N,,A2780,81034,Intermediate,1,,CHEMBL884522,478.0,BAO_0000219
317,,0,,,U,,,22226,Autocuration,1,,CHEMBL615291,,BAO_0000019
318,,3,,,M,,,22222,Intermediate,1,,CHEMBL615292,,BAO_0000225
319,,3,,,M,,,22222,Intermediate,1,,CHEMBL615293,,BAO_0000225
320,,3,,,M,,,22222,Intermediate,1,,CHEMBL615294,,BAO_0000225
321,,3,,,M,,,22222,Intermediate,1,,CHEMBL615295,,BAO_0000225
322,,0,,,U,,,22226,Autocuration,1,,CHEMBL825021,,BAO_0000019
323,,0,,,U,,,22226,Autocuration,1,,CHEMBL615296,,BAO_0000019
