assay_id,assay_strain,variant_id,assay_tissue,tid,src_assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_cell_type
15,,,,50185,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
16,,,,50185,,11324,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,Staphylococcus aureus,1280.0,
17,,,,100122,,11347,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
18,,,,12054,,16474,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
19,,,,12054,,10091,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,,
20,,,,12054,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
21,,,,12054,,16474,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
22,,,,12054,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,,
23,,,,12054,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
24,,,,12054,,16474,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,,
25,,,,22226,,14352,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,,
26,,,,12054,,5646,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,Oryctolagus cuniculus,9986.0,
27,,,,12054,,5646,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,Oryctolagus cuniculus,9986.0,
28,,,,12426,,10997,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,,
29,,,,12054,,6309,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,soya bean,3847.0,
30,,,,12054,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,Glycine max,3847.0,
31,,,,12054,,167,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,Glycine max,3847.0,
32,,,,12054,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,Glycine max,3847.0,
33,,,,12054,,11087,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,Glycine max,3847.0,
34,,,,12054,,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
35,,,,12054,,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,
36,,,,22226,,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,
37,,,,22226,,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0,
38,,,,22226,,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,
39,,,,22222,,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,
40,,,,22222,,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,
41,,,,100263,,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0,
42,,,,100263,,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0,
43,,,,13053,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
44,,,,13053,,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
45,,,,20001,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
46,,,,20001,,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,
47,,,,12971,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
48,,,,12971,,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,
49,,,,12971,,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
50,,,,12971,,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,
51,,,,13053,,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,
52,,,,11512,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,
53,,,,11512,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,
54,,,,11512,,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,
55,,,,104740,,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0,
56,,,,80002,,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0,1A9
57,,,,104835,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0,Oocytes
58,,,,104821,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0,Oocytes
59,,,,104848,,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0,Oocytes
60,,,,80002,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,1A9
61,,,,80002,,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,1A9
62,,,,80002,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,1A9
63,,,,80002,,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0,1A9
64,,,,80002,,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0,1A9
65,,,,80002,,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,1A9
66,,,,80002,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0,1A9
67,,,,80002,,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0,1A9
68,,,,80002,,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0,1A9
69,,,,80002,,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0,1A9
70,,,,80002,,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,1A9
71,,,,80002,,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,1A9
72,,,,80002,,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0,1A9
73,,,,80002,,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0,1A9
74,,,,80002,,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0,1A9
75,,,,80002,,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0,1A9
76,,,,81072,,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0,Jurkat
77,,,,22226,,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,
78,,,,100121,,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0,
79,,,,11231,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
80,,,,11231,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,
81,,,,11231,,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,
82,,,,11231,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
83,,,,11231,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,
84,,,,11231,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
85,,,,11231,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,
86,,,Livdr,12083,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,
87,,,,11231,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,
88,,,,11231,,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,
89,,,,11231,,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,
90,,,L9ver,12083,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
91,,,Livef,12083,,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
92,,,iiver,12083,,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,
93,,,,11377,,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,
94,,,,11377,,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,
95,,,,81020,,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,HepG2
96,,,,81020,,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,HepG2
97,,,,81020,,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,HepG2
98,,,,81020,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,HepG2
99,,,,81020,,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,HepG2
100,,,,50606,,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,
101,,,,81020,,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,HepG2
102,,,,81020,,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,HepG2
103,,,,81020,,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,HepG2
104,,,,50587,,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,2.2.15
105,,,,50587,,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,2.2.15
106,,,,50606,,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,2.2.15
107,,,,50587,,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,2.2.15
108,,,,50587,,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,2.2.15
109,,,,50587,,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,2.2.15
110,,,,50587,,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,2.2.15
111,,,,50587,,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,2.2.15
112,,,,50587,,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,2.2.15
113,,,,50587,,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,2.2.15
114,,,,50587,,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,2.2.15
115,,,,50587,,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,2.2.15
116,,,,81020,,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,HepG2
117,,,,22226,,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,
118,,,,22226,,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,
119,,,,80612,,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,2008
120,,,,80612,,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,2008
121,,,,80612,,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,2008
122,,,,80612,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,2008
123,,,,80612,,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,2008
124,,,,80613,,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,2008/R
125,,,,80613,,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,2008/R
126,,,,80614,,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,2008/S
127,,,,80614,,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,2008/S
128,,,,100256,,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,
129,,,,100256,,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,Homo sapiens,9606.0,
130,,,,100256,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,,
131,,,,100256,,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,,
132,,,,100256,,3260,Inhibitory activity against 20S proteosome,B,,,,,
133,,,,22226,,3451,Compound was tested for inhibitory activity against tryptase,B,,,Homo sapiens,9606.0,
134,,,,81020,,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,HepG2
135,,,,81020,,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,,Homo sapiens,9606.0,HepG2
136,,,,22226,,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,,
137,,,,235,,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,,
138,,,Heary,22226,,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,Rattus norvegicus,10116.0,
139,,,,19640,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
140,,,,19640,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
141,,,,19640,,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,,
142,,,,19640,,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,,
143,,,,80360,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,,Mus musculus,10090.0,P338
144,,,,80360,,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,,Mus musculus,10090.0,P338
145,,,,80384,,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,,Homo sapiens,9606.0,PBL
146,,,,22226,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,Ovis aries,9940.0,
147,,,,22226,,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,Ovis aries,9940.0,
148,,,,191,,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,,
149,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,
150,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,
151,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606.0,CCRF-CEM
152,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,CCRF-CEM
153,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606.0,CCRF-CEM
154,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606.0,CCRF-CEM
155,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606.0,
156,,,,22226,,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606.0,
157,,,,104290,,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,
158,,,,50264,,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314.0,
159,,,,50527,,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335.0,
160,,,,50527,,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,vericilla zoster virus,10335.0,HEL
161,,,,50527,,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,vericilla zoster virus,10335.0,
162,,,,50527,,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,vericilla zoster virus,10335.0,
163,,,,50145,,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561.0,
164,,,,22226,,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,
165,,,,11143,,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476.0,
166,,,,18077,,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593.0,
167,,,,80609,,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606.0,1-87 tumor cell line
168,,,,12166,,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116.0,
169,,,,100171,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
170,,,,100171,,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847.0,
171,,,,100171,,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847.0,
172,,,,100171,,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847.0,
173,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847.0,
174,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,3847.0,
175,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,3847.0,
176,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,3847.0,
177,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,3847.0,
178,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,3847.0,
179,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,3847.0,
180,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,3847.0,
181,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,3847.0,
182,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,3847.0,
183,,,,100171,,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,3847.0,
184,,,,22226,,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,10090.0,
185,,,,80049,,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,Mus musculus,10090.0,C3H 10T1/2
186,,,,22226,,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,
187,,,,11489,,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
188,,,,11862,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,
189,,,,11862,,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,
190,,,,11489,,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,
191,,,,11862,,16587,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,B,,,,,
192,,,,12347,,8058,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,F,,,Bos taurus,9913.0,
193,,,,100120,,9065,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,B,,,Rattus norvegicus,10116.0,
194,,,Adrenwlhland,100120,,8865,Inhibition of 11 beta-hydroxylase from rat adrenal gland,B,,,Rattus norvegicus,10116.0,
195,,,,100120,,9066,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116.0,
196,,,,100120,,8394,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116.0,
197,,,,100120,,8394,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,B,,,Rattus norvegicus,10116.0,
198,,,,10328,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,B,,,,,
199,,,,11490,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,
200,,,,11490,,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,
201,,,,11134,,9295,Compound was tested for the percent of inhibition against 12-LO at 10 uM,F,,,,,
202,,,,12052,,10193,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,
203,,,,11134,,13622,Compound was tested in vitro for inhibition of 12-LO human platelet,B,,,,,
204,,,,11134,,12079,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,,,
