assay_id,assay_tax_id,src_assay_id,curated_by,assay_subcellular_fraction,tid,assay_test_type,chembl_id,tissue_id,assay_category,src_id,doc_id,description,assay_type,assay_organism,assay_strain,assay_tissue
55,10116.0,,Autocuration,Membranes,104740,,CHEMBL615178,,,1,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,Rattus norvegicus,,
56,9606.0,,Intermediate,,80002,,CHEMBL615179,,,1,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,Homo sapiens,,
57,10116.0,,Autocuration,,104835,,CHEMBL615180,,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,Rattus norvegicus,,
58,10116.0,,Autocuration,,104821,,CHEMBL615181,,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,Rattus norvegicus,,
59,10116.0,,Autocuration,,104848,,CHEMBL615182,,,1,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,Rattus norvegicus,,
60,9606.0,,Expert,,80002,,CHEMBL615183,,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,Homo sapiens,,
61,9606.0,,Intermediate,,80002,,CHEMBL615184,,,1,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,Homo sapiens,,
62,9606.0,,Intermediate,,80002,,CHEMBL615185,,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,Homo sapiens,,
63,9606.0,,Intermediate,,80002,,CHEMBL615186,,,1,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,Homo sapiens,,
64,9606.0,,Intermediate,,80002,,CHEMBL615187,,,1,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,Homo sapiens,,
65,9606.0,,Expert,,80002,,CHEMBL885343,,,1,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,Homo sapiens,,
66,9606.0,,Intermediate,,80002,,CHEMBL615188,,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,Homo sapiens,,
67,9606.0,,Intermediate,,80002,,CHEMBL615189,,,1,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,Homo sapiens,,
68,9606.0,,Intermediate,,80002,,CHEMBL615190,,,1,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,Homo sapiens,,
69,9606.0,,Intermediate,,80002,,CHEMBL615191,,,1,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,Homo sapiens,,
70,9606.0,,Expert,,80002,,CHEMBL615192,,,1,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,Homo sapiens,,
71,9606.0,,Expert,,80002,,CHEMBL827083,,,1,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,Homo sapiens,,
72,9606.0,,Expert,,80002,,CHEMBL615193,,,1,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,Homo sapiens,,
73,9606.0,,Intermediate,,80002,,CHEMBL615194,,,1,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,Homo sapiens,,
74,9606.0,,Intermediate,,80002,,CHEMBL615195,,,1,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,Homo sapiens,,
75,9606.0,,Intermediate,,80002,,CHEMBL615196,,,1,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,Homo sapiens,,
76,9606.0,,Intermediate,,81072,,CHEMBL615197,,,1,17721,Inhibitory concentration against Jurkat cells,F,Homo sapiens,,
77,,,Intermediate,,22226,,CHEMBL615198,,,1,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,
78,10116.0,,Expert,,100121,,CHEMBL615199,,,1,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,Rattus norvegicus,,
79,,,Expert,,11231,,CHEMBL615200,,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
80,,,Expert,,11231,,CHEMBL615201,,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,
81,,,Expert,,11231,,CHEMBL615202,,,1,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,
82,5476.0,,Autocuration,Microsomes,11231,,CHEMBL615203,,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,Candida albicans,,
83,5476.0,,Autocuration,Microsomes,11231,,CHEMBL615204,,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,Candida albicans,,
84,4932.0,,Autocuration,Microsomes,11231,,CHEMBL615205,,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,Saccharomyces cerevisiae,,
85,4932.0,,Autocuration,Microsomes,11231,,CHEMBL615206,,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,Saccharomyces cerevisiae,,
86,9823.0,,Autocuration,Microsomes,12083,,CHEMBL615207,2107.0,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,Sus scrofa,,Liver
87,10116.0,,Autocuration,,11231,,CHEMBL827084,,,1,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,Rattus norvegicus,,
88,10116.0,,Autocuration,,11231,,CHEMBL615208,,,1,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,Rattus norvegicus,,
89,10116.0,,Autocuration,,11231,,CHEMBL615209,,,1,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,Rattus norvegicus,,
90,10116.0,,Autocuration,Microsomes,12083,,CHEMBL615210,2107.0,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,Rattus norvegicus,,Liver
91,10116.0,,Autocuration,Microsomes,12083,,CHEMBL615211,2107.0,,1,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Rattus norvegicus,,Liver
92,10116.0,,Autocuration,Microsomes,12083,,CHEMBL615212,2107.0,,1,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,Rattus norvegicus,,Liver
93,,,Expert,,11377,,CHEMBL615213,,,1,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,
94,,,Expert,,11377,,CHEMBL615273,,,1,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,
95,9606.0,,Expert,,81020,,CHEMBL615274,,,1,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,Homo sapiens,,
96,9606.0,,Intermediate,,81020,,CHEMBL615275,,,1,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,Homo sapiens,,
97,9606.0,,Intermediate,,81020,,CHEMBL615276,,,1,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,Homo sapiens,,
98,9606.0,,Intermediate,,81020,,CHEMBL615277,,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,Homo sapiens,,
99,9606.0,,Intermediate,,81020,,CHEMBL615326,,,1,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,Homo sapiens,,
100,10407.0,,Expert,,50606,,CHEMBL883130,,,1,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,Hepatitis B virus,,
101,9606.0,,Intermediate,,81020,,CHEMBL884519,,,1,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,Homo sapiens,,
102,9606.0,,Intermediate,,81020,,CHEMBL615327,,,1,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,Homo sapiens,,
103,9606.0,,Intermediate,,81020,,CHEMBL615328,,,1,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,Homo sapiens,,
104,9606.0,,Intermediate,,50587,,CHEMBL615329,,,1,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,Homo sapiens,,
105,9606.0,,Intermediate,,50587,,CHEMBL615330,,,1,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,Homo sapiens,,
106,10407.0,,Expert,,50606,,CHEMBL615331,,,1,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,Hepatitis B virus,,
107,9606.0,,Intermediate,,50587,,CHEMBL615332,,,1,1593,In vitro anti-HBV activity in 2.2.15 cells,F,Homo sapiens,,
108,9606.0,,Intermediate,,50587,,CHEMBL615333,,,1,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,Homo sapiens,,
109,9606.0,,Intermediate,,50587,,CHEMBL615334,,,1,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,Homo sapiens,,
110,9606.0,,Intermediate,,50587,,CHEMBL615335,,,1,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,Homo sapiens,,
111,9606.0,,Intermediate,,50587,,CHEMBL615336,,,1,1593,Cytotoxicity in 2.2.15 cells,F,Homo sapiens,,
112,9606.0,,Intermediate,,50587,,CHEMBL615337,,,1,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,Homo sapiens,,
113,9606.0,,Intermediate,,50587,,CHEMBL615338,,,1,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,Homo sapiens,,
114,9606.0,,Intermediate,,50587,,CHEMBL615339,,,1,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,Homo sapiens,,
115,9606.0,,Intermediate,,50587,,CHEMBL615340,,,1,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,Homo sapiens,,
116,9606.0,,Intermediate,,81020,,CHEMBL615341,,,1,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,Homo sapiens,,
117,9606.0,,Autocuration,Microsomes,22226,,CHEMBL615342,,,1,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,Homo sapiens,,
118,,,Autocuration,,22226,,CHEMBL615343,,,1,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,
119,9606.0,,Intermediate,,80612,,CHEMBL615344,,,1,17072,Inhibitory concentration against 2008 (ovarian) cells,F,Homo sapiens,,
120,9606.0,,Intermediate,,80612,,CHEMBL615345,,,1,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,Homo sapiens,,
121,9606.0,,Intermediate,,80612,,CHEMBL615346,,,1,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,Homo sapiens,,
122,9606.0,,Intermediate,,80612,,CHEMBL615347,,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,Homo sapiens,,
123,9606.0,,Intermediate,,80612,,CHEMBL615348,,,1,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,Homo sapiens,,
124,9606.0,,Intermediate,,80613,,CHEMBL827085,,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,Homo sapiens,,
125,9606.0,,Intermediate,,80613,,CHEMBL615349,,,1,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,Homo sapiens,,
126,9606.0,,Intermediate,,80614,,CHEMBL615350,,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,Homo sapiens,,
127,9606.0,,Intermediate,,80614,,CHEMBL615351,,,1,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,Homo sapiens,,
128,9606.0,,Expert,,100256,,CHEMBL615352,,,1,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,Homo sapiens,,
129,9606.0,,Intermediate,,100256,,CHEMBL615353,,,1,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,Homo sapiens,,
130,,,Expert,,100256,,CHEMBL615354,,,1,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,
131,,,Expert,,100256,,CHEMBL615355,,,1,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,
132,,,Intermediate,,100256,,CHEMBL615356,,,1,3260,Inhibitory activity against 20S proteosome,B,,,
133,9606.0,,Autocuration,,22226,,CHEMBL615357,,,1,3451,Compound was tested for inhibitory activity against tryptase,B,Homo sapiens,,
134,9606.0,,Intermediate,,81020,,CHEMBL615358,,,1,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,Homo sapiens,,
135,9606.0,,Intermediate,,81020,,CHEMBL827086,,,1,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,Homo sapiens,,
136,,,Autocuration,,22226,,CHEMBL615359,,,1,3676,Compound was tested for the inhibition of Alpha-glucosidase,B,,,
137,,,Autocuration,,235,,CHEMBL615360,,,1,6043,Inhibitory concentration against human neutrophil elastase (HNE),B,,,
138,10116.0,,Autocuration,,22226,,CHEMBL615361,948.0,,1,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,Rattus norvegicus,,Heart
139,,,Autocuration,,19640,,CHEMBL615362,,,1,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
140,,,Expert,,19640,,CHEMBL615363,,,1,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
141,,,Autocuration,,19640,,CHEMBL615364,,,1,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,
142,,,Expert,,19640,,CHEMBL615365,,,1,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,
143,10090.0,,Intermediate,,80360,,CHEMBL615366,,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,Mus musculus,,
144,10090.0,,Intermediate,,80360,,CHEMBL615367,,,1,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,Mus musculus,,
145,9606.0,,Intermediate,,80384,,CHEMBL615368,,,1,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,Homo sapiens,,
146,9940.0,,Autocuration,,22226,,CHEMBL615369,,,1,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,Ovis aries,,
147,9940.0,,Autocuration,,22226,,CHEMBL615370,,,1,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,Ovis aries,,
148,,,Autocuration,,191,,CHEMBL615673,,,1,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,
149,9606.0,,Autocuration,,22226,,CHEMBL615674,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,Homo sapiens,,
150,9606.0,,Autocuration,,22226,,CHEMBL615675,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,Homo sapiens,,
151,9606.0,,Autocuration,,22226,,CHEMBL615676,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,Homo sapiens,,
152,9606.0,,Autocuration,,22226,,CHEMBL615677,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,Homo sapiens,,
153,9606.0,,Autocuration,,22226,,CHEMBL615678,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,Homo sapiens,,
154,9606.0,,Autocuration,,22226,,CHEMBL615679,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,Homo sapiens,,
155,9606.0,,Autocuration,,22226,,CHEMBL615680,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,Homo sapiens,,
156,9606.0,,Autocuration,,22226,,CHEMBL615681,,,1,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,Homo sapiens,,
157,,,Autocuration,,104290,,CHEMBL857972,,,1,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,
158,1314.0,,Intermediate,,50264,,CHEMBL857899,,,1,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,Streptococcus pyogenes,,
159,10335.0,,Intermediate,,50527,,CHEMBL615371,,,1,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,Human herpesvirus 3,,
160,10335.0,,Expert,,50527,,CHEMBL615372,,,1,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,vericilla zoster virus,,
161,10335.0,,Intermediate,,50527,,CHEMBL615373,,,1,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,vericilla zoster virus,,
162,10335.0,,Intermediate,,50527,,CHEMBL615374,,,1,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,vericilla zoster virus,,
163,561.0,,Intermediate,,50145,,CHEMBL615375,,,1,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,escherichia cloac,,
164,,,Autocuration,,22226,,CHEMBL615376,,,1,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,
165,5476.0,,Expert,,11143,,CHEMBL615377,,,1,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,Candida albicans,,
166,284593.0,,Expert,,18077,,CHEMBL615378,,,1,2205,"Inhibition of 1,3-beta-glucan synthase",B,Candida glabrata CBS 138,,
