ss_d,src_d,ss_tst_tp,ss_sbclllr_frctn,cll_d,ss_tp,dc_d,b_frmt,crtd_b,ss_strn,ss_tss,rltnshp_tp,cnfdnc_scr,src_ss_d,chmbl_d,tss_d,vrnt_d
7545,1,,,,A,6362,BAO_0000218,Intermediate,,,N,1,,CHEMBL876498,,
7546,1,,,,A,6249,BAO_0000218,Intermediate,,,N,1,,CHEMBL618666,,
7547,1,,,,A,3169,BAO_0000218,Intermediate,,,N,1,,CHEMBL620440,,
7548,1,,,,A,3169,BAO_0000218,Intermediate,,,N,1,,CHEMBL620441,,
7549,1,,,,A,3169,BAO_0000218,Intermediate,,,N,1,,CHEMBL620442,,
7550,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL620443,,
7551,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL620444,,
7552,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL620445,,
7553,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL620446,,
7554,1,,,,A,2879,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620447,1969.0,
7555,1,,,,A,2879,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL621129,1969.0,
7556,1,,,,A,2879,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL621130,1969.0,
7557,1,In vivo,,,A,3184,BAO_0000218,Intermediate,,,N,1,,CHEMBL873808,,
7558,1,In vivo,,,A,4891,BAO_0000218,Intermediate,,,N,1,,CHEMBL876598,,
7559,1,In vivo,,,A,429,BAO_0000218,Intermediate,,,N,1,,CHEMBL621131,,
7560,1,In vivo,,,A,5656,BAO_0000218,Intermediate,,,N,1,,CHEMBL621132,,
7561,1,In vivo,,,A,4413,BAO_0000218,Intermediate,,,N,1,,CHEMBL621133,,
7562,1,In vivo,,,A,3598,BAO_0000218,Expert,,,N,1,,CHEMBL621312,,
7563,1,,,,A,17267,BAO_0000218,Intermediate,,,N,1,,CHEMBL621313,,
7564,1,,,,A,4727,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL621314,178.0,
7565,1,In vivo,,,A,17651,BAO_0000218,Intermediate,,,N,1,,CHEMBL621315,,
7566,1,In vivo,,,A,17651,BAO_0000218,Intermediate,,,N,1,,CHEMBL621316,,
7567,1,,,,A,401,BAO_0000218,Intermediate,,,N,1,,CHEMBL621317,,
7568,1,,,,A,4942,BAO_0000218,Intermediate,,,N,1,,CHEMBL621318,,
7569,1,In vivo,,,A,17735,BAO_0000218,Intermediate,,,N,1,,CHEMBL621319,,
7570,1,In vivo,,,A,6056,BAO_0000218,Intermediate,,,N,1,,CHEMBL621377,,
7571,1,,,,A,5213,BAO_0000218,Intermediate,,,N,1,,CHEMBL621378,,
7572,1,In vivo,,,A,6616,BAO_0000218,Intermediate,,,N,1,,CHEMBL876599,,
7573,1,In vivo,,,A,5937,BAO_0000218,Intermediate,,,N,1,,CHEMBL621379,,
7574,1,,,,A,5819,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL621380,1969.0,
7575,1,,,,A,5819,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL621381,1969.0,
7576,1,,,,A,6803,BAO_0000218,Intermediate,,,N,1,,CHEMBL618515,,
7577,1,In vivo,,,A,17804,BAO_0000218,Intermediate,,,N,1,,CHEMBL618516,,
7578,1,In vivo,,,A,17804,BAO_0000218,Intermediate,,,N,1,,CHEMBL618517,,
7579,1,,,,A,5948,BAO_0000218,Intermediate,,,N,1,,CHEMBL618518,,
7580,1,In vivo,,,A,1916,BAO_0000218,Intermediate,,,N,1,,CHEMBL618519,,
7581,1,In vivo,,,A,1916,BAO_0000218,Intermediate,,,N,1,,CHEMBL618698,,
7582,1,In vivo,,,A,1916,BAO_0000218,Intermediate,,,N,1,,CHEMBL618862,,
7583,1,In vivo,,,A,4890,BAO_0000218,Intermediate,,,N,1,,CHEMBL618863,,
7584,1,In vivo,,,A,17764,BAO_0000218,Intermediate,,,N,1,,CHEMBL618864,,
7585,1,In vivo,,,A,4727,BAO_0000218,Intermediate,,,N,1,,CHEMBL618865,,
7586,1,In vivo,,,A,17509,BAO_0000218,Intermediate,,,N,1,,CHEMBL618866,,
7587,1,In vivo,,,A,17509,BAO_0000218,Intermediate,,,N,1,,CHEMBL618867,,
7588,1,,,,A,6597,BAO_0000218,Intermediate,,,N,1,,CHEMBL875828,,
7589,1,In vivo,,,A,17735,BAO_0000218,Intermediate,,,N,1,,CHEMBL618868,,
7590,1,,,,A,6597,BAO_0000218,Intermediate,,,N,1,,CHEMBL618869,,
7591,1,In vivo,,,A,17670,BAO_0000218,Intermediate,,,N,1,,CHEMBL618870,,
7592,1,,,,A,1696,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL618871,1969.0,
7593,1,,,,A,1742,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL618872,1969.0,
7594,1,,,,A,17800,BAO_0000218,Intermediate,,,N,1,,CHEMBL873816,,
7595,1,,,,A,12923,BAO_0000218,Autocuration,,,U,0,,CHEMBL618873,,
7596,1,,,,A,11954,BAO_0000019,Autocuration,,,U,0,,CHEMBL621602,,
7597,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621603,,
7598,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621604,,
7599,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621605,,
7600,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621606,,
7601,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621607,,
7602,1,,,,A,11954,BAO_0000218,Autocuration,,,U,0,,CHEMBL621608,,
7603,1,,,,A,5237,BAO_0000019,Autocuration,,,U,0,,CHEMBL621609,,
7604,1,,,,A,4026,BAO_0000218,Autocuration,,,U,0,,CHEMBL621610,,
7605,1,,,,A,5237,BAO_0000218,Intermediate,,,N,1,,CHEMBL621611,,
7606,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL621612,,
7607,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622308,,
7608,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622309,,
7609,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622310,,
7610,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622311,,
7611,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622312,,
7612,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622931,,
7613,1,,,,A,14793,BAO_0000218,Intermediate,,,N,1,,CHEMBL622932,,
7614,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622736,1969.0,
7615,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622737,1969.0,
7616,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622738,1969.0,
7617,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622739,1969.0,
7618,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622740,1969.0,
7619,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622741,1969.0,
7620,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622742,1969.0,
7621,1,,,,A,14793,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622743,1969.0,
7622,1,,,,A,11637,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL622744,1969.0,
7623,1,,,,A,11149,BAO_0000019,Autocuration,,,U,0,,CHEMBL624134,,
7624,1,,,,A,10016,BAO_0000019,Autocuration,,,U,0,,CHEMBL624135,,
7625,1,,,,A,17796,BAO_0000218,Intermediate,,,N,1,,CHEMBL624136,,
7626,1,,,,A,17796,BAO_0000218,Intermediate,,,N,1,,CHEMBL624137,,
7627,1,,,,A,17796,BAO_0000218,Intermediate,,,N,1,,CHEMBL624320,,
7628,1,,,,A,12923,BAO_0000218,Intermediate,,,N,1,,CHEMBL624321,,
7629,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624322,,
7630,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624323,,
7631,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624324,,
7632,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624325,,
7633,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624326,,
7634,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624327,,
7635,1,,,,A,15372,BAO_0000218,Intermediate,,,N,1,,CHEMBL624328,,
7636,1,,,,A,14169,BAO_0000218,Intermediate,,,N,1,,CHEMBL627848,,
7637,1,,,,A,14169,BAO_0000218,Intermediate,,,N,1,,CHEMBL627849,,
7638,1,,,,A,14258,BAO_0000218,Intermediate,,,N,1,,CHEMBL627850,,
7639,1,,,,A,14258,BAO_0000218,Intermediate,,,N,1,,CHEMBL627851,,
7640,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627852,,
7641,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627853,,
7642,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627854,,
7643,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627855,,
7644,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627856,,
7645,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL875339,,
7646,1,,,,A,15011,BAO_0000218,Intermediate,,,N,1,,CHEMBL627857,,
7647,1,In vivo,,,A,11195,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627858,2106.0,
7648,1,,,,A,10130,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627859,178.0,
7649,1,,,,A,10130,BAO_0000218,Intermediate,,Brain,N,1,,CHEMBL627860,955.0,
7650,1,,,,A,10130,BAO_0000218,Intermediate,,Heart,N,1,,CHEMBL627019,948.0,
7651,1,,,,A,10130,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL627020,2107.0,
7652,1,,,,A,10130,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL627021,2048.0,
7653,1,,,,A,10130,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627022,2385.0,
7654,1,,,,A,10130,BAO_0000218,Intermediate,,,N,1,,CHEMBL627023,,
7655,1,,,,A,10130,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627024,2106.0,
7656,1,,,,A,10130,BAO_0000218,Intermediate,,Thyroid gland,N,1,,CHEMBL627025,2046.0,
7657,1,,,,A,10130,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL627026,2113.0,
7658,1,,,,A,10130,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627027,178.0,
7659,1,,,,A,10130,BAO_0000218,Intermediate,,Brain,N,1,,CHEMBL627028,955.0,
7660,1,,,,A,10130,BAO_0000218,Intermediate,,Heart,N,1,,CHEMBL627029,948.0,
7661,1,,,,A,10130,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL627030,2113.0,
7662,1,,,,A,10130,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL627031,2107.0,
7663,1,,,,A,10130,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL627032,2048.0,
7664,1,,,,A,10130,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627033,2385.0,
7665,1,,,,A,10130,BAO_0000218,Intermediate,,,N,1,,CHEMBL627034,,
7666,1,,,,A,10130,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627035,2106.0,
7667,1,,,,A,10130,BAO_0000218,Intermediate,,Thyroid gland,N,1,,CHEMBL627036,2046.0,
7668,1,,,,A,10130,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL875340,178.0,
7669,1,,,,A,10130,BAO_0000218,Intermediate,,Heart,N,1,,CHEMBL627037,948.0,
7670,1,,,,A,10130,BAO_0000218,Intermediate,,Kidney,N,1,,CHEMBL627038,2113.0,
7671,1,,,,A,10130,BAO_0000218,Intermediate,,Liver,N,1,,CHEMBL627039,2107.0,
7672,1,,,,A,10130,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627040,2385.0,
7673,1,,,,A,10130,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL624663,2106.0,
7674,1,,,,A,10130,BAO_0000218,Intermediate,,Thyroid gland,N,1,,CHEMBL625963,2046.0,
7675,1,,,,A,10130,BAO_0000218,Intermediate,,Brain,N,1,,CHEMBL876799,955.0,
7676,1,,,,A,10130,BAO_0000218,Intermediate,,Lung,N,1,,CHEMBL626133,2048.0,
7677,1,,,,A,10130,BAO_0000218,Intermediate,,,N,1,,CHEMBL626134,,
7678,1,,,,A,6295,BAO_0000218,Intermediate,,,N,1,,CHEMBL626135,,
7679,1,,,,A,6296,BAO_0000218,Intermediate,,,N,1,,CHEMBL626136,,
7680,1,,,,A,6296,BAO_0000218,Intermediate,,,N,1,,CHEMBL626137,,
7681,1,,,,A,6295,BAO_0000218,Intermediate,,,N,1,,CHEMBL626138,,
7682,1,,,,A,6296,BAO_0000218,Intermediate,,,N,1,,CHEMBL626139,,
7683,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL626140,,
7684,1,In vivo,,,A,17260,BAO_0000218,Intermediate,,,N,1,,CHEMBL626141,,
7685,1,,,,A,17686,BAO_0000218,Intermediate,,,N,1,,CHEMBL626142,,
7686,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627930,2385.0,
7687,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627931,2385.0,
7688,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Muscle tissue,N,1,,CHEMBL627932,2385.0,
7689,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627933,2106.0,
7690,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627934,2106.0,
7691,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Spleen,N,1,,CHEMBL627935,2106.0,
7692,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627936,178.0,
7693,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627937,178.0,
7694,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627938,178.0,
7695,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627939,178.0,
7696,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627940,178.0,
7697,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627941,178.0,
7698,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL876800,178.0,
7699,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627942,178.0,
7700,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627943,178.0,
7701,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627944,178.0,
7702,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627945,178.0,
7703,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628584,178.0,
7704,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628585,178.0,
7705,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628586,178.0,
7706,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628587,178.0,
7707,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628588,178.0,
7708,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL628589,178.0,
7709,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL625304,178.0,
7710,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL625305,178.0,
7711,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL625306,178.0,
7712,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL625307,178.0,
7713,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL625308,178.0,
7714,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627740,178.0,
7715,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627741,178.0,
7716,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627742,178.0,
7717,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627743,178.0,
7718,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Blood,N,1,,CHEMBL627744,178.0,
7719,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627745,10000001.0,
7720,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627746,10000001.0,
7721,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627747,10000001.0,
7722,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL876810,10000001.0,
7723,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627748,10000001.0,
7724,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627749,10000001.0,
7725,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL627750,10000001.0,
7726,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618728,10000001.0,
7727,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618729,10000001.0,
7728,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618730,10000001.0,
7729,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618731,10000001.0,
7730,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618732,10000001.0,
7731,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618733,10000001.0,
7732,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618734,10000001.0,
7733,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618735,10000001.0,
7734,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL876602,10000001.0,
7735,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618736,10000001.0,
7736,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618737,10000001.0,
7737,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618738,10000001.0,
7738,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618739,10000001.0,
7739,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618740,10000001.0,
7740,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618741,10000001.0,
7741,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618742,10000001.0,
7742,1,In vivo,,,A,9866,BAO_0000218,Intermediate,,Bone,N,1,,CHEMBL618743,10000001.0,
7743,1,In vivo,,,A,17752,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL618744,1969.0,
7744,1,,,,A,5610,BAO_0000218,Intermediate,,,N,1,,CHEMBL618745,,
7745,1,In vivo,,,A,5939,BAO_0000218,Intermediate,,,N,1,,CHEMBL620479,,
7746,1,In vivo,,,A,5939,BAO_0000218,Intermediate,,,N,1,,CHEMBL620480,,
7747,1,In vivo,,,A,17771,BAO_0000218,Intermediate,,,N,1,,CHEMBL620481,,
7748,1,,,,A,1974,BAO_0000218,Intermediate,,,N,1,,CHEMBL620482,,
7749,1,,,,A,4239,BAO_0000218,Intermediate,,,N,1,,CHEMBL876603,,
7750,1,In vivo,,,A,6681,BAO_0000218,Intermediate,,,N,1,,CHEMBL620483,,
7751,1,In vivo,,,A,17752,BAO_0000218,Intermediate,,,N,1,,CHEMBL620484,,
7752,1,In vivo,,,A,6046,BAO_0000218,Intermediate,,,N,1,,CHEMBL620485,,
7753,1,In vivo,,,A,6685,BAO_0000218,Intermediate,,,N,1,,CHEMBL620486,,
7754,1,In vivo,,,A,6685,BAO_0000218,Intermediate,,,N,1,,CHEMBL620487,,
7755,1,In vivo,,,A,6685,BAO_0000218,Intermediate,,,N,1,,CHEMBL620488,,
7756,1,In vivo,,,A,4727,BAO_0000218,Intermediate,,,N,1,,CHEMBL620489,,
7757,1,In vivo,,,A,1088,BAO_0000218,Intermediate,,,N,1,,CHEMBL620490,,
7758,1,In vivo,,,A,5610,BAO_0000218,Intermediate,,,N,1,,CHEMBL620491,,
7759,1,In vivo,,,A,3032,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL876604,1969.0,
7760,1,In vivo,,,A,5199,BAO_0000218,Intermediate,,,N,1,,CHEMBL620492,,
7761,1,In vivo,,,A,14941,BAO_0000218,Intermediate,,,N,1,,CHEMBL620493,,
7762,1,In vivo,,,A,4408,BAO_0000218,Intermediate,,,N,1,,CHEMBL620494,,
7763,1,,,,A,2552,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620495,1969.0,
7764,1,In vivo,,,A,5199,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620496,1969.0,
7765,1,In vivo,,,A,15662,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620497,1969.0,
7766,1,,,,A,1465,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620498,1969.0,
7767,1,In vivo,,,A,1446,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620499,1969.0,
7768,1,,,,A,6824,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL620500,1969.0,
7769,1,In vivo,,,A,17533,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL873809,1969.0,
7770,1,In vivo,,,A,5979,BAO_0000218,Intermediate,,,N,1,,CHEMBL620501,,
7771,1,In vivo,,,A,4689,BAO_0000218,Intermediate,,,N,1,,CHEMBL620502,,
7772,1,In vivo,,,A,4689,BAO_0000218,Intermediate,,,N,1,,CHEMBL620503,,
7773,1,In vivo,,,A,2463,BAO_0000218,Intermediate,,,N,1,,CHEMBL620504,,
7774,1,In vivo,,,A,4883,BAO_0000218,Intermediate,,,N,1,,CHEMBL876605,,
7775,1,In vivo,,,A,4883,BAO_0000218,Intermediate,,,N,1,,CHEMBL620505,,
7776,1,In vivo,,,A,15662,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL873811,1969.0,
7777,1,In vivo,,,A,3598,BAO_0000218,Expert,,,N,1,,CHEMBL624016,,
7778,1,,,,A,4576,BAO_0000218,Intermediate,,,N,1,,CHEMBL624017,,
7779,1,,,,A,4576,BAO_0000218,Intermediate,,,N,1,,CHEMBL624018,,
7780,1,,,,A,4576,BAO_0000218,Intermediate,,,N,1,,CHEMBL624019,,
7781,1,In vivo,,,A,4910,BAO_0000218,Intermediate,,Brain,N,1,,CHEMBL624020,955.0,
7782,1,In vivo,,,A,4891,BAO_0000218,Intermediate,,,N,1,,CHEMBL624201,,
7783,1,In vivo,,,A,429,BAO_0000218,Intermediate,,,N,1,,CHEMBL872528,,
7784,1,In vivo,,,A,5974,BAO_0000218,Intermediate,,,N,1,,CHEMBL624202,,
7785,1,In vivo,,,A,5974,BAO_0000218,Intermediate,,,N,1,,CHEMBL624203,,
7786,1,In vivo,,,A,5974,BAO_0000218,Intermediate,,,N,1,,CHEMBL624350,,
7787,1,In vivo,,,A,5974,BAO_0000218,Intermediate,,,N,1,,CHEMBL621320,,
7788,1,In vivo,,,A,17582,BAO_0000218,Intermediate,,,N,1,,CHEMBL621321,,
7789,1,,,,A,4026,BAO_0000218,Intermediate,,,N,1,,CHEMBL621322,,
7790,1,In vivo,,,A,4890,BAO_0000218,Intermediate,,,N,1,,CHEMBL621323,,
7791,1,In vivo,,,A,6571,BAO_0000218,Intermediate,,,N,1,,CHEMBL621324,,
7792,1,,,,A,4727,BAO_0000218,Intermediate,,,N,1,,CHEMBL621325,,
7793,1,In vivo,,,A,17651,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL875837,1969.0,
7794,1,In vivo,,,A,17651,BAO_0000218,Intermediate,,Plasma,N,1,,CHEMBL621326,1969.0,
7795,1,In vivo,,,A,14465,BAO_0000218,Intermediate,,,N,1,,CHEMBL621327,,
