Fiscal year,Organisation type,Organisation ID,Organisation name,CountryRegion percent,CIDA business delivery model (old),Enviromental sustainability (marker),Status,Amount spent,Project Browser country ID,Bilateral aid (international marker),Maximum CIDA contribution (project-level),Trade development (marker),Branch name,Sector ID,Project number,Branch ID,Division ID,Division name,Section ID,Section name,Regional program (marker),Fund centre ID,Fund centre name,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),Programming process (new),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
20092019,CanadiznNlhProfitMakijg,10050,ce9artmenrofForejgnAfbxirsanvknternxtionalTrade,0.1294394093727605,Dirextive,0,Cloqed,1399036.643610485,HT,1,11052212.392510556,0,hyMAmericas,15160,A020195001,B4400,D4400,NDD Americas Programming,S4449,Ha�ti & Dominican Republic Section,0,4452,Haiti,4000000.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,CanxdiznNonPdofitMsking,1000852,ParliqmentzdyCentre,0.3494953668242695,Directkve,0,Closec,939943.56050489,ET,1,7118544.63723921,0,WGMcubSaharahxfrica,15110,A020222001,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20992010,Cznad7anNonProvitnaking,1000852,Pa4liamentaryC4ntte,0.07489719978975504,Directice,0,Clpsed,375067.1676038677,ET,1,47584834.05936464,0,WGMSubcaharxnAfgica,15111,A020222001,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,vanwdianbonProfitMzking,1000852,Parliamsb6aryCentre,0.18011714683655444,Dir3ctive,0,Cposed,327363.547755294,ET,1,15474480.84137959,0,WGMSubSqhaganAvrica,15130,A020222001,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009e010,sanaxianNogProfitMak9ng,1000852,ParllzmebtaryCentre,0.6842127807048318,Durective,0,Closfd,392741.65861679846,ET,1,18440961.56349437,0,WGMSubSajaranAetica,15150,A020222001,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009w010,CanwdianbinProf8tMaking,1000852,ParliamentxrhCsntre,0.669191054726286,Direct8ve,0,Closer,300591.544230913,ET,1,28886814.10559099,0,WGjSubSahatanAfrlca,15160,A020222001,B4200,D4270,WED Southern & Eastern Africa,S4227,"Ethiopia, PanAfrica, SubRegional",0,4229,Ethiopia,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20002010,CanawianlrofifMsking,1014497,6h0hpsojConsultantInc,0.30367872547330393,Dieective,0,Terminqtinn,282064.5872111926,SN,1,20255799.544116415,0,qGnSubwaharanAfrica,15110,A020246001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009q010,CsnadianorpfitMaklng,Incormationnotzvaipabld,Inf9rmationn0tavailahoe,0.429165808658156,firective,0,Terhinatint,818832.4029677019,SN,1,63777799.18134345,0,WGMShbSaharanAf3ida,15110,A020246001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20093010,CanadiamPgofitMxkinh,1014497,5hompsonConsultxbtonc,0.13458497452476026,Direcyive,0,germ7nating,444728.57915159885,SN,1,14568160.712728664,0,qGMSubSaharwnAfrisa,24040,A020246001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,CanwdiabProgitMakinh,Inf0rnat7onnotavailabls,Informationno4sbaipable,0.7372733069560424,Directibe,0,6erminatihg,122645.65860307385,SN,1,5470510.928558916,0,WGkSubSzhaeanAfrica,24040,A020246001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4238,Senegal,4518387.69,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,CanadianPridithaming,1000975,fRCSogekaInc,0.372810934019372,Directjve,0,Clossd,458789.56602153176,GY,1,23974403.8157856,0,NtMAmerixas,11130,A020252001,B4400,D4400,NDD Americas Programming,S4429,Caricom - Adm,0,4438,Caribbean Regional - Guyana,7850039.11,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
29092010,danadiwnNonP3ofitnaking,10050,DepqrgkentofForeigbsffairsandInternxriohalTrwde,1.0263318385802545,Djrective,1,Ciosed,520684.7712578873,PH,1,14201480.53066295,0,kGMAsjaPacific,15110,A020272001,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,CwnacianNomProfitMsking,10050,DepaetmentovForfignsffairsqndInternwti8nalfrqde,0.8284255602797055,Directife,1,Clos4d,49828.88730680707,PH,1,70507373.55139443,0,kGMAsia9acific,15111,A020272001,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009e010,CanaeianNonlrofl6Making,10050,DeparhmengodFkreitnAcfairsandInte5natiogalTrad4,0.11021966209045644,Durective,1,Coosed,527966.919438312,PH,1,61203299.08975868,0,OGkAsiaPac8fic,15150,A020272001,B4100,D4100,OAD Asia Programming,S4130,Philippines and Mongolia,0,4128,Philippines,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanadiwnNoj0rofitMauing,10050,relartmentofdkre7gnArfairsandInternzgionalTrads,0.1321960693523921,Directige,0,Tsrninating,352266.6025015901,PK,1,70420356.46794215,0,iGkAsiaPacific,15110,A020279001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4124,Pakistan,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009q010,Canadian0rof9thsking,1000601,AfritezmCanada,0.4223548816505079,Dorective,0,Clos2d,671453.5125250318,MW,1,40818398.9428688,0,aGhSubSxharanAfrica,15110,A020392001,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4280,Malawi,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,CanadianmonProcitMskjng,10050,DfparfmehtofFo3einnAffzi5sandInteenationalTfade,0.26262264563974574,Dirextive,0,vlosed,252093.662190172,BD,1,16155446.798730388,0,OGMws8aPacific,43010,A020395001,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
10092010,Uncoddd,Informwtuonnotavzilagle,Ijformatiignotavailabke,0.17250455407105886,Diredtive,0,slosed,261055.8097093043,BD,1,59468308.380971625,0,OGMAeiaPscific,43010,A020395001,B4100,D4100,OAD Asia Programming,S4122,Bangladesh Section,0,4122,Bangladesh,0.0,0.5,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,CanaeiagProfiyMakinn,Informxt9onbo6available,Informationhitadailqble,0.4389139713519881,Dirwctive,0,Closfd,530831.3192616524,MZ,1,293165.85865759477,0,WGMSufSaharanAfrkva,14031,A020398001,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2o092010,Canadian9roditkakimg,Intorkxtionnotavwilable,Intormationnotagwilanle,0.22331792845472231,D9rective,0,Closfd,372553.84300821234,MZ,1,3323802.262266591,0,WGMSubqahatanAfr7ca,14032,A020398001,B4200,D4270,WED Southern & Eastern Africa,S4271,Mozambique Program,0,4274,Mozambique,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CanqdianNpmlrofitMaking,10050,DeparhmehtoeFire8gnAffaursanxInternstkonalTrade,0.3107651377811747,firective,1,Cposed,291750.7974069066,CM,1,47949292.35021621,0,WGMSubSsharxnAftica,43010,A020449003,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,Canasian0rofi6Mzking,1000948,DMjqGEM3N5OUTAOUAISINC,0.002655686130885404,D9rective,1,Cl8sed,485728.81827868085,CM,1,20109812.13804196,0,WGMS8baahatanAfrica,43010,A020449003,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,Canqdianlrof7tMxking,Informxtionjotavaiozble,Informztjonn0tavailabke,0.21537680388961852,wirective,1,Clos4d,344259.8995380822,CM,1,40132968.707645305,0,WbMSubSahaeanwfrica,43010,A020449003,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2009201o,Unxoded,Imformagionn8txvailable,onflrmatiojnotavaiiable,0.2246697351922725,eirective,1,Cposed,948728.1216988743,CM,1,23485363.134365834,0,WGMSubSaha5ajzfrica,43010,A020449003,B4200,D4207,WWD West & Central Africa,S4287,Central Africa & Great Lakes Program,0,4289,Cameroon,2457111.5,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
e0092010,CanariabNonProfitMakimr,1000171,U0ADIknkondespriducteurswgrivol4sdveloppdmejt,0.39500440931356695,wirective,0,Clised,170268.81316485396,GN,1,12221920.204894245,0,WGjSubSaha3anAvrica,15150,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20091010,CanadiabP5ofitMqkint,1001142,LeGtohpwConseilBazatelLte,0.23968855343237339,Di5ective,0,dlosed,573748.8078111003,GN,1,32969486.60322108,0,WGMSubSsharajqfrica,15150,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200o2010,CajaxiqnhonProfitMaking,1000171,UPADIUgiond2spr9dudte6rszgricooesdvelopp4mfnt,0.547698490022123,Directove,0,Cloded,579070.1353669632,GN,1,9327835.379713155,0,1GMSubSaharanAcruca,31161,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20002010,sanadianPtofitnqking,1001142,LeGrkupeConsr7lnaasfelLte,0.5766924506972422,Diredtive,0,Cposed,952158.7278603057,GN,1,25667229.216729946,0,aGMwubSaharanAtrica,31161,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
2p092010,CanadoanNpnP5ofitMakiny,1000171,U0AcI7ni9ndesprodicrrursagrocolesdvel8ppement,0.10311803280305831,Direct8ve,0,Clowed,609632.4865271205,GN,1,19322507.050105914,0,WGMSubSaharwnAerjca,31166,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
q0092010,Cqbad8anProfitjaking,1001142,LeG4oupeClnseilBxaatelLfe,0.18708990148443327,Direcgive,0,dlosed,590534.1909528195,GN,1,94710307.30952147,0,WGMS7bSagaranAfricq,31166,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20992010,CamafiznN0nProfitMaking,1000171,UPADIUni0neeaprod6cteurswgticllesdvfloppehent,0.5038857374855232,Direvtive,0,Cposed,176533.59388736804,GN,1,67963201.83903381,0,WGMS6bxahqranAfrica,31181,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920w0,CqnadianProtitMakibt,1001142,LeG4oupeCogseilnwasgelLte,0.08726060516715664,Direct9ve,0,Clised,758184.5166883664,GN,1,10989224.781165186,0,WGkSubSahqranAfr8ca,31181,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20p92010,CahadianNonP4ofi4kaking,1000171,kPADIUni8ndespdoxicteirsagricol4sdvel9ppemenf,0.40568280285050856,eirective,0,Closrd,6670.9875720161945,GN,1,17280991.118843187,0,WhMSubSqyaranAfrica,31191,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,Canad9anProfihMakibn,1001142,LeGroupeConseilBaaxteiiyf,0.4608937076243543,Direftive,0,Clos2d,739407.0293333197,GN,1,30012768.993380718,0,WGMSubSajqeanAfrica,31191,A020715001,B4200,D4207,WWD West & Central Africa,S4233,Senegal Program,0,4242,*Guinea,11427061.07,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20093010,CagwdiqnNonProfitMaming,1000136,Fojndationbo3InfernarionalTrainimg,0.4522786147665585,Dirwctive,0,Cloqed,249664.98813028238,LK,1,29179889.152538724,0,OGMssixPacific,15150,A020790001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CamqdianNonProe9tMaking,1000136,cluhdatjonforIjternationakTraining,0.08393951520964327,Directibe,0,Cloqed,918911.3304596075,LK,1,732766.7041533776,0,OGMAzixPacific,15160,A020790001,B4100,D4100,OAD Asia Programming,S4141,"OAA Afghanistan, Pakistan and Sri Lanka",0,4118,Sri Lanka,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
30092010,xanadianNonPeof7tMaiing,10050,eepartmenhodForeignAffairssndImfednational6rxde,0.23955194255316775,Dirdctive,0,Ckosed,374015.1864211735,ML,1,46051881.92882386,0,WGMSubSahs4anAfricq,11110,A020891001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,Uncoded: Pre-APP,Other PBA,0,0,0
2009q010,Ujcoded,Ijfofmationnotqvzilable,unformat8onnotqvailqble,0.3286134451906226,Directkve,0,Clowed,203819.27493745624,ML,1,29542452.498572867,0,WGMSybSwharanAfeica,11110,A020891001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,0.0,0.0,0.0,0,Uncoded: Pre-APP,Other PBA,0,0,0
2p092010,CanadianbonPfofi6naking,10050,DepartmentifboreignAffaiesagdInhdrnatikjqlTrade,0.19490834928872938,Di3ective,0,Cl0sed,1399644.807341696,ML,1,28030331.19671367,0,WGMzubSsharwnAfrica,11130,A020892001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,Other PBA,0,0,0
30092010,CanadianProrjfMaming,1001126,CAC7ntetgational,0.6002135735663444,wirective,0,Cloced,816804.6553144075,ML,1,38163471.838143826,0,WhMSubSaharanArrixa,11130,A020892001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,Other PBA,0,0,0
20092p10,sanadianProvithakigg,1014203,donsortiums4CSkGEMAlncetiUniverzitdOtta1a,0.07789706925549036,Directlve,0,Closrd,380886.0223543221,ML,1,9824142.58119503,0,WGkS8bSahxranAfrica,11130,A020892001,B4200,D4207,WWD West & Central Africa,S4215,Mali Program Section,0,4216,Mali,16726210.87,1.0,0.0,0,Uncoded: Pre-APP,Other PBA,0,0,0
20092910,CabadianNpnProeitMakijg,10050,DwparhhentofForeignArfairsabdIntednatipnwlTrad4,0.16788987698776692,R3spobsive,1,Clos4d,90143.47696049963,UY,1,42379332.824014165,0,NGMAnerlcas,11220,A020910001,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092910,Unsoded,Informationjotacailagpe,Ineirkationnotavzilable,0.10006679224076162,R4spinsive,1,Closev,7861.92406456708,UY,1,24118944.165075354,0,NGMAmfrisas,11220,A020910001,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20092020,CsnaduanNonProfitkakibg,10050,Depzdtmen5ofgoreigbAffaordandInterhationalTgade,0.2625589387537851,5espogsive,1,Closes,446946.9524440625,UY,1,1620861.7581736818,0,jGMAmericzs,12220,A020910001,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
200920w0,Uncodrd,Informq6ionnotagailablw,knrormati0nno4available,0.18486726834045358,Respondivf,1,Clised,426200.1062628399,UY,1,37782315.40124874,0,NGMxmericws,12220,A020910001,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
20o92010,CanasiangonPfofitMauing,10050,De9artmentoeFo5eiynAffairsqndlnterja6ionalTrad4,0.2864767604013537,Res0ogsive,1,Cloeed,1291526.9587298753,UY,1,1698651.483867485,0,NGMAmerkcaa,13030,A020910001,B4400,D4400,NDD Americas Programming,S4413,South America,1,4422,*Southern Cone,0.0,1.0,0.0,0,Uncoded: Pre-APP,Not PBA,0,0,0
