assay_strain,src_assay_id,description,cell_id,tid,assay_organism,curated_by,tissue_id,assay_tax_id,assay_id,assay_test_type,assay_cell_type,variant_id,assay_category,assay_tissue,assay_type,src_id,bao_format,doc_id,confidence_score,chembl_id,assay_subcellular_fraction,relationship_type
,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,12083,Rattus norvegicus,Autocuration,2107.0,10116.0,91,,,,,Liver,B,1,BAO_0000251,11375,9,CHEMBL615211,Microsomes,D
,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,12083,Rattus norvegicus,Autocuration,2107.0,10116.0,92,,,,,Liver,B,1,BAO_0000251,153,9,CHEMBL615212,Microsomes,D
,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,11377,,Expert,,,93,,,,,,B,1,BAO_0000357,8269,8,CHEMBL615213,,H
,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,11377,,Expert,,,94,,,,,,B,1,BAO_0000357,8269,8,CHEMBL615273,,H
,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,726.0,81020,Homo sapiens,Expert,,9606.0,95,,HepG2,,,,F,1,BAO_0000219,17653,1,CHEMBL615274,,N
,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,726.0,81020,Homo sapiens,Intermediate,,9606.0,96,,HepG2,,,,F,1,BAO_0000219,14277,1,CHEMBL615275,,N
,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,726.0,81020,Homo sapiens,Intermediate,,9606.0,97,,HepG2,,,,F,1,BAO_0000219,1717,1,CHEMBL615276,,N
,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,726.0,81020,Homo sapiens,Intermediate,,9606.0,98,,HepG2,,,,F,1,BAO_0000219,14091,1,CHEMBL615277,,N
,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,726.0,81020,Homo sapiens,Intermediate,,9606.0,99,,HepG2,,,,F,1,BAO_0000219,14091,1,CHEMBL615326,,N
,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,50606,Hepatitis B virus,Expert,,10407.0,100,,,,,,F,1,BAO_0000218,17653,1,CHEMBL883130,,N
,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,726.0,81020,Homo sapiens,Intermediate,,9606.0,101,,HepG2,,,,F,1,BAO_0000219,13105,1,CHEMBL884519,,N
,,Concentration required to inhibit 50% of 2.2.15 cell line,726.0,81020,Homo sapiens,Intermediate,,9606.0,102,,HepG2,,,,F,1,BAO_0000219,1717,1,CHEMBL615327,,N
,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,726.0,81020,Homo sapiens,Intermediate,,9606.0,103,,HepG2,,,,A,1,BAO_0000219,13105,1,CHEMBL615328,,N
,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,50587,Homo sapiens,Intermediate,,9606.0,104,,2.2.15,,,,F,1,BAO_0000218,13600,1,CHEMBL615329,,N
,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,50587,Homo sapiens,Intermediate,,9606.0,105,,2.2.15,,,,F,1,BAO_0000218,13467,1,CHEMBL615330,,N
,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,50606,Hepatitis B virus,Expert,,10407.0,106,,2.2.15,,,,F,1,BAO_0000218,17477,1,CHEMBL615331,,N
,,In vitro anti-HBV activity in 2.2.15 cells,,50587,Homo sapiens,Intermediate,,9606.0,107,,2.2.15,,,,F,1,BAO_0000218,1593,1,CHEMBL615332,,N
,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,50587,Homo sapiens,Intermediate,,9606.0,108,,2.2.15,,,,F,1,BAO_0000218,1593,1,CHEMBL615333,,N
,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,50587,Homo sapiens,Intermediate,,9606.0,109,,2.2.15,,,,F,1,BAO_0000218,15089,1,CHEMBL615334,,N
,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,50587,Homo sapiens,Intermediate,,9606.0,110,,2.2.15,,,,F,1,BAO_0000218,15089,1,CHEMBL615335,,N
,,Cytotoxicity in 2.2.15 cells,,50587,Homo sapiens,Intermediate,,9606.0,111,,2.2.15,,,,F,1,BAO_0000218,1593,1,CHEMBL615336,,N
,,Cytotoxicity in 2.2.15 cells; Not determined,,50587,Homo sapiens,Intermediate,,9606.0,112,,2.2.15,,,,F,1,BAO_0000218,1593,1,CHEMBL615337,,N
,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,50587,Homo sapiens,Intermediate,,9606.0,113,,2.2.15,,,,F,1,BAO_0000218,13600,1,CHEMBL615338,,N
,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,50587,Homo sapiens,Intermediate,,9606.0,114,,2.2.15,,,,F,1,BAO_0000218,13467,1,CHEMBL615339,,N
,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,50587,Homo sapiens,Intermediate,,9606.0,115,,2.2.15,,,,F,1,BAO_0000218,13467,1,CHEMBL615340,,N
,,Antiviral activity against HBV was determined in 2.215 cell line,726.0,81020,Homo sapiens,Intermediate,,9606.0,116,,HepG2,,,,F,1,BAO_0000219,14764,1,CHEMBL615341,,N
,,Inhibition of 20-HETE synthesis in human renal microsomes,,22226,Homo sapiens,Autocuration,,9606.0,117,,,,,,B,1,BAO_0000251,6531,0,CHEMBL615342,Microsomes,U
,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,22226,,Autocuration,,,118,,,,,,B,1,BAO_0000019,17322,0,CHEMBL615343,,U
,,Inhibitory concentration against 2008 (ovarian) cells,388.0,80612,Homo sapiens,Intermediate,,9606.0,119,,2008,,,,F,1,BAO_0000219,17072,1,CHEMBL615344,,N
,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,388.0,80612,Homo sapiens,Intermediate,,9606.0,120,,2008,,,,F,1,BAO_0000219,16936,1,CHEMBL615345,,N
,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),388.0,80612,Homo sapiens,Intermediate,,9606.0,121,,2008,,,,F,1,BAO_0000219,16936,1,CHEMBL615346,,N
,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,388.0,80612,Homo sapiens,Intermediate,,9606.0,122,,2008,,,,F,1,BAO_0000219,17146,1,CHEMBL615347,,N
,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,388.0,80612,Homo sapiens,Intermediate,,9606.0,123,,2008,,,,F,1,BAO_0000219,17146,1,CHEMBL615348,,N
,,In vitro inhibition of 2008/R ovarian cancer cell line,561.0,80613,Homo sapiens,Intermediate,,9606.0,124,,2008/R,,,,F,1,BAO_0000219,10797,1,CHEMBL827085,,N
,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,561.0,80613,Homo sapiens,Intermediate,,9606.0,125,,2008/R,,,,F,1,BAO_0000219,10797,1,CHEMBL615349,,N
,,In vitro inhibition of 2008/S ovarian cancer cell line,389.0,80614,Homo sapiens,Intermediate,,9606.0,126,,2008/S,,,,F,1,BAO_0000219,10797,1,CHEMBL615350,,N
,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,389.0,80614,Homo sapiens,Intermediate,,9606.0,127,,2008/S,,,,F,1,BAO_0000219,10797,1,CHEMBL615351,,N
,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,100256,Homo sapiens,Expert,,9606.0,128,,,,,,B,1,BAO_0000220,4823,2,CHEMBL615352,,S
,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,100256,Homo sapiens,Intermediate,,9606.0,129,,,,,,B,1,BAO_0000220,12912,2,CHEMBL615353,,S
,,Inhibition of chymotrypsin-like activity of 20S proteasome,,100256,,Expert,,,130,,,,,,B,1,BAO_0000220,2957,2,CHEMBL615354,,S
,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,100256,,Expert,,,131,,,,,,B,1,BAO_0000220,2957,2,CHEMBL615355,,S
,,Inhibitory activity against 20S proteosome,,100256,,Intermediate,,,132,,,,,,B,1,BAO_0000220,3260,2,CHEMBL615356,,S
,,Compound was tested for inhibitory activity against tryptase,,22226,Homo sapiens,Autocuration,,9606.0,133,,,,,,B,1,BAO_0000019,3451,0,CHEMBL615357,,U
,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,726.0,81020,Homo sapiens,Intermediate,,9606.0,134,,HepG2,,,,F,1,BAO_0000219,13885,1,CHEMBL615358,,N
,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,726.0,81020,Homo sapiens,Intermediate,,9606.0,135,,HepG2,,,,F,1,BAO_0000219,13885,1,CHEMBL827086,,N
,,Compound was tested for the inhibition of Alpha-glucosidase,,22226,,Autocuration,,,136,,,,,,B,1,BAO_0000019,3676,0,CHEMBL615359,,U
,,Inhibitory concentration against human neutrophil elastase (HNE),,235,,Autocuration,,,137,,,,,,B,1,BAO_0000357,6043,8,CHEMBL615360,,H
,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,22226,Rattus norvegicus,Autocuration,948.0,10116.0,138,,,,,Heart,F,1,BAO_0000218,11140,0,CHEMBL615361,,U
