assay_id,assay_organism,tid,chembl_id,variant_id,src_id,bao_format,assay_type,assay_tax_id,relationship_type,curated_by,doc_id,description,assay_test_type,assay_category,assay_strain,assay_tissue
75,Homo sapiens,80002,CHEMBL615196,,1,BAO_0000219,F,9606.0,N,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,,
76,Homo sapiens,81072,CHEMBL615197,,1,BAO_0000219,F,9606.0,N,Intermediate,17721,Inhibitory concentration against Jurkat cells,,,,
77,,22226,CHEMBL615198,,1,BAO_0000019,F,,U,Intermediate,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,
78,Rattus norvegicus,100121,CHEMBL615199,,1,BAO_0000357,A,10116.0,D,Expert,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,,
79,,11231,CHEMBL615200,,1,BAO_0000357,B,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,
80,,11231,CHEMBL615201,,1,BAO_0000357,B,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,
81,,11231,CHEMBL615202,,1,BAO_0000357,B,,H,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,
82,Candida albicans,11231,CHEMBL615203,,1,BAO_0000251,B,5476.0,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,,
83,Candida albicans,11231,CHEMBL615204,,1,BAO_0000251,B,5476.0,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,,
84,Saccharomyces cerevisiae,11231,CHEMBL615205,,1,BAO_0000251,B,4932.0,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,,
85,Saccharomyces cerevisiae,11231,CHEMBL615206,,1,BAO_0000251,B,4932.0,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,,
86,Sus scrofa,12083,CHEMBL615207,,1,BAO_0000251,B,9823.0,H,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,,Liver
87,Rattus norvegicus,11231,CHEMBL827084,,1,BAO_0000019,B,10116.0,H,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,,
88,Rattus norvegicus,11231,CHEMBL615208,,1,BAO_0000019,B,10116.0,H,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,,
89,Rattus norvegicus,11231,CHEMBL615209,,1,BAO_0000019,B,10116.0,H,Autocuration,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,,
90,Rattus norvegicus,12083,CHEMBL615210,,1,BAO_0000251,B,10116.0,D,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,,Liver
91,Rattus norvegicus,12083,CHEMBL615211,,1,BAO_0000251,B,10116.0,D,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver
92,Rattus norvegicus,12083,CHEMBL615212,,1,BAO_0000251,B,10116.0,D,Autocuration,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,,Liver
93,,11377,CHEMBL615213,,1,BAO_0000357,B,,H,Expert,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,
94,,11377,CHEMBL615273,,1,BAO_0000357,B,,H,Expert,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,
95,Homo sapiens,81020,CHEMBL615274,,1,BAO_0000219,F,9606.0,N,Expert,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,
96,Homo sapiens,81020,CHEMBL615275,,1,BAO_0000219,F,9606.0,N,Intermediate,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,,
97,Homo sapiens,81020,CHEMBL615276,,1,BAO_0000219,F,9606.0,N,Intermediate,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,,
98,Homo sapiens,81020,CHEMBL615277,,1,BAO_0000219,F,9606.0,N,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,,
99,Homo sapiens,81020,CHEMBL615326,,1,BAO_0000219,F,9606.0,N,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,,
100,Hepatitis B virus,50606,CHEMBL883130,,1,BAO_0000218,F,10407.0,N,Expert,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,,
101,Homo sapiens,81020,CHEMBL884519,,1,BAO_0000219,F,9606.0,N,Intermediate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,,
102,Homo sapiens,81020,CHEMBL615327,,1,BAO_0000219,F,9606.0,N,Intermediate,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,,,
103,Homo sapiens,81020,CHEMBL615328,,1,BAO_0000219,A,9606.0,N,Intermediate,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,,
104,Homo sapiens,50587,CHEMBL615329,,1,BAO_0000218,F,9606.0,N,Intermediate,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,,
105,Homo sapiens,50587,CHEMBL615330,,1,BAO_0000218,F,9606.0,N,Intermediate,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,,
106,Hepatitis B virus,50606,CHEMBL615331,,1,BAO_0000218,F,10407.0,N,Expert,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,,
107,Homo sapiens,50587,CHEMBL615332,,1,BAO_0000218,F,9606.0,N,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells,,,,
108,Homo sapiens,50587,CHEMBL615333,,1,BAO_0000218,F,9606.0,N,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,,
109,Homo sapiens,50587,CHEMBL615334,,1,BAO_0000218,F,9606.0,N,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,,
110,Homo sapiens,50587,CHEMBL615335,,1,BAO_0000218,F,9606.0,N,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,,
111,Homo sapiens,50587,CHEMBL615336,,1,BAO_0000218,F,9606.0,N,Intermediate,1593,Cytotoxicity in 2.2.15 cells,,,,
112,Homo sapiens,50587,CHEMBL615337,,1,BAO_0000218,F,9606.0,N,Intermediate,1593,Cytotoxicity in 2.2.15 cells; Not determined,,,,
113,Homo sapiens,50587,CHEMBL615338,,1,BAO_0000218,F,9606.0,N,Intermediate,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,,
114,Homo sapiens,50587,CHEMBL615339,,1,BAO_0000218,F,9606.0,N,Intermediate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,,
115,Homo sapiens,50587,CHEMBL615340,,1,BAO_0000218,F,9606.0,N,Intermediate,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,,
116,Homo sapiens,81020,CHEMBL615341,,1,BAO_0000219,F,9606.0,N,Intermediate,14764,Antiviral activity against HBV was determined in 2.215 cell line,,,,
117,Homo sapiens,22226,CHEMBL615342,,1,BAO_0000251,B,9606.0,U,Autocuration,6531,Inhibition of 20-HETE synthesis in human renal microsomes,,,,
118,,22226,CHEMBL615343,,1,BAO_0000019,B,,U,Autocuration,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,
119,Homo sapiens,80612,CHEMBL615344,,1,BAO_0000219,F,9606.0,N,Intermediate,17072,Inhibitory concentration against 2008 (ovarian) cells,,,,
120,Homo sapiens,80612,CHEMBL615345,,1,BAO_0000219,F,9606.0,N,Intermediate,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,,
121,Homo sapiens,80612,CHEMBL615346,,1,BAO_0000219,F,9606.0,N,Intermediate,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,,
122,Homo sapiens,80612,CHEMBL615347,,1,BAO_0000219,F,9606.0,N,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,,
123,Homo sapiens,80612,CHEMBL615348,,1,BAO_0000219,F,9606.0,N,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,,
124,Homo sapiens,80613,CHEMBL827085,,1,BAO_0000219,F,9606.0,N,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,,,
125,Homo sapiens,80613,CHEMBL615349,,1,BAO_0000219,F,9606.0,N,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,,
126,Homo sapiens,80614,CHEMBL615350,,1,BAO_0000219,F,9606.0,N,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,,,
127,Homo sapiens,80614,CHEMBL615351,,1,BAO_0000219,F,9606.0,N,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,,
128,Homo sapiens,100256,CHEMBL615352,,1,BAO_0000220,B,9606.0,S,Expert,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,,
129,Homo sapiens,100256,CHEMBL615353,,1,BAO_0000220,B,9606.0,S,Intermediate,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,,
130,,100256,CHEMBL615354,,1,BAO_0000220,B,,S,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,
131,,100256,CHEMBL615355,,1,BAO_0000220,B,,S,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,
132,,100256,CHEMBL615356,,1,BAO_0000220,B,,S,Intermediate,3260,Inhibitory activity against 20S proteosome,,,,
133,Homo sapiens,22226,CHEMBL615357,,1,BAO_0000019,B,9606.0,U,Autocuration,3451,Compound was tested for inhibitory activity against tryptase,,,,
134,Homo sapiens,81020,CHEMBL615358,,1,BAO_0000219,F,9606.0,N,Intermediate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,,
135,Homo sapiens,81020,CHEMBL827086,,1,BAO_0000219,F,9606.0,N,Intermediate,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,,
136,,22226,CHEMBL615359,,1,BAO_0000019,B,,U,Autocuration,3676,Compound was tested for the inhibition of Alpha-glucosidase,,,,
137,,235,CHEMBL615360,,1,BAO_0000357,B,,H,Autocuration,6043,Inhibitory concentration against human neutrophil elastase (HNE),,,,
138,Rattus norvegicus,22226,CHEMBL615361,,1,BAO_0000218,F,10116.0,U,Autocuration,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,,Heart
139,,19640,CHEMBL615362,,1,BAO_0000019,F,,H,Autocuration,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,
140,,19640,CHEMBL615363,,1,BAO_0000019,F,,H,Expert,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,
141,,19640,CHEMBL615364,,1,BAO_0000357,B,,H,Autocuration,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,
142,,19640,CHEMBL615365,,1,BAO_0000019,F,,H,Expert,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,
143,Mus musculus,80360,CHEMBL615366,,1,BAO_0000219,F,10090.0,N,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,,
144,Mus musculus,80360,CHEMBL615367,,1,BAO_0000219,F,10090.0,N,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,,
145,Homo sapiens,80384,CHEMBL615368,,1,BAO_0000219,F,9606.0,N,Intermediate,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,,
146,Ovis aries,22226,CHEMBL615369,,1,BAO_0000019,F,9940.0,U,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,,
147,Ovis aries,22226,CHEMBL615370,,1,BAO_0000019,F,9940.0,U,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,,
148,,191,CHEMBL615673,,1,BAO_0000357,B,,H,Autocuration,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,
149,Homo sapiens,22226,CHEMBL615674,,1,BAO_0000019,F,9606.0,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,,
150,Homo sapiens,22226,CHEMBL615675,,1,BAO_0000019,F,9606.0,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,,
151,Homo sapiens,22226,CHEMBL615676,,1,BAO_0000219,F,9606.0,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,,
152,Homo sapiens,22226,CHEMBL615677,,1,BAO_0000219,F,9606.0,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,,
153,Homo sapiens,22226,CHEMBL615678,,1,BAO_0000219,F,9606.0,U,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,,
