assay_id,assay_organism,tid,tissue_id,assay_category,src_id,assay_test_type,src_assay_id,curated_by,doc_id,description,assay_subcellular_fraction,relationship_type,assay_cell_type,assay_type,assay_strain,assay_tax_id,assay_tissue,confidence_score
49,Rattus norvegicus,12971,,,1,,,Expert,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,,B,,10116.0,,9
50,Rattus norvegicus,12971,,,1,,,Expert,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,,B,,10116.0,,9
51,,13053,,,1,,,Autocuration,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,,B,,,,8
52,,11512,,,1,,,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,H,,B,,,,8
53,,11512,,,1,,,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,H,,B,,,,8
54,,11512,,,1,,,Autocuration,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,H,,B,,,,8
55,Rattus norvegicus,104740,,,1,,,Autocuration,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,Membranes,D,,B,,10116.0,,5
56,Homo sapiens,80002,,,1,,,Intermediate,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,N,1A9,F,,9606.0,,1
57,Rattus norvegicus,104835,,,1,,,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,D,Oocytes,F,,10116.0,,7
58,Rattus norvegicus,104821,,,1,,,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,D,Oocytes,F,,10116.0,,7
59,Rattus norvegicus,104848,,,1,,,Autocuration,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,D,Oocytes,F,,10116.0,,7
60,Homo sapiens,80002,,,1,,,Expert,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,N,1A9,F,,9606.0,,1
61,Homo sapiens,80002,,,1,,,Intermediate,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,N,1A9,F,,9606.0,,1
62,Homo sapiens,80002,,,1,,,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,,N,1A9,F,,9606.0,,1
63,Homo sapiens,80002,,,1,,,Intermediate,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,N,1A9,F,,9606.0,,1
64,Homo sapiens,80002,,,1,,,Intermediate,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,,N,1A9,F,,9606.0,,1
65,Homo sapiens,80002,,,1,,,Expert,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,N,1A9,F,,9606.0,,1
66,Homo sapiens,80002,,,1,,,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,N,1A9,F,,9606.0,,1
67,Homo sapiens,80002,,,1,,,Intermediate,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,N,1A9,F,,9606.0,,1
68,Homo sapiens,80002,,,1,,,Intermediate,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,N,1A9,F,,9606.0,,1
69,Homo sapiens,80002,,,1,,,Intermediate,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,,N,1A9,F,,9606.0,,1
70,Homo sapiens,80002,,,1,,,Expert,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,N,1A9,F,,9606.0,,1
71,Homo sapiens,80002,,,1,,,Expert,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,N,1A9,F,,9606.0,,1
72,Homo sapiens,80002,,,1,,,Expert,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,N,1A9,F,,9606.0,,1
73,Homo sapiens,80002,,,1,,,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,N,1A9,F,,9606.0,,1
74,Homo sapiens,80002,,,1,,,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,N,1A9,F,,9606.0,,1
75,Homo sapiens,80002,,,1,,,Intermediate,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,N,1A9,F,,9606.0,,1
76,Homo sapiens,81072,,,1,,,Intermediate,17721,Inhibitory concentration against Jurkat cells,,N,Jurkat,F,,9606.0,,1
77,,22226,,,1,,,Intermediate,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,U,,F,,,,0
78,Rattus norvegicus,100121,,,1,,,Expert,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,D,,A,,10116.0,,9
79,,11231,,,1,,,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,,B,,,,8
80,,11231,,,1,,,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,,B,,,,8
81,,11231,,,1,,,Expert,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,H,,B,,,,8
82,Candida albicans,11231,,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",Microsomes,H,,B,,5476.0,,8
83,Candida albicans,11231,,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",Microsomes,H,,B,,5476.0,,8
84,Saccharomyces cerevisiae,11231,,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",Microsomes,H,,B,,4932.0,,8
85,Saccharomyces cerevisiae,11231,,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",Microsomes,H,,B,,4932.0,,8
86,Sus scrofa,12083,2107.0,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",Microsomes,H,,B,,9823.0,Liver,8
87,Rattus norvegicus,11231,,,1,,,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,H,,B,,10116.0,,8
88,Rattus norvegicus,11231,,,1,,,Autocuration,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,H,,B,,10116.0,,8
89,Rattus norvegicus,11231,,,1,,,Autocuration,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,H,,B,,10116.0,,8
90,Rattus norvegicus,12083,2107.0,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",Microsomes,D,,B,,10116.0,Liver,9
91,Rattus norvegicus,12083,2107.0,,1,,,Autocuration,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,D,,B,,10116.0,Liver,9
92,Rattus norvegicus,12083,2107.0,,1,,,Autocuration,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",Microsomes,D,,B,,10116.0,Liver,9
93,,11377,,,1,,,Expert,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,H,,B,,,,8
94,,11377,,,1,,,Expert,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,H,,B,,,,8
95,Homo sapiens,81020,,,1,,,Expert,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,HepG2,F,,9606.0,,1
96,Homo sapiens,81020,,,1,,,Intermediate,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,N,HepG2,F,,9606.0,,1
97,Homo sapiens,81020,,,1,,,Intermediate,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,N,HepG2,F,,9606.0,,1
98,Homo sapiens,81020,,,1,,,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,N,HepG2,F,,9606.0,,1
99,Homo sapiens,81020,,,1,,,Intermediate,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,N,HepG2,F,,9606.0,,1
100,Hepatitis B virus,50606,,,1,,,Expert,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,,F,,10407.0,,1
101,Homo sapiens,81020,,,1,,,Intermediate,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,N,HepG2,F,,9606.0,,1
102,Homo sapiens,81020,,,1,,,Intermediate,1717,Concentration required to inhibit 50% of 2.2.15 cell line,,N,HepG2,F,,9606.0,,1
103,Homo sapiens,81020,,,1,,,Intermediate,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,N,HepG2,A,,9606.0,,1
104,Homo sapiens,50587,,,1,,,Intermediate,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,N,2.2.15,F,,9606.0,,1
105,Homo sapiens,50587,,,1,,,Intermediate,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,N,2.2.15,F,,9606.0,,1
106,Hepatitis B virus,50606,,,1,,,Expert,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,N,2.2.15,F,,10407.0,,1
107,Homo sapiens,50587,,,1,,,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells,,N,2.2.15,F,,9606.0,,1
108,Homo sapiens,50587,,,1,,,Intermediate,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,N,2.2.15,F,,9606.0,,1
109,Homo sapiens,50587,,,1,,,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,N,2.2.15,F,,9606.0,,1
110,Homo sapiens,50587,,,1,,,Intermediate,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,N,2.2.15,F,,9606.0,,1
111,Homo sapiens,50587,,,1,,,Intermediate,1593,Cytotoxicity in 2.2.15 cells,,N,2.2.15,F,,9606.0,,1
112,Homo sapiens,50587,,,1,,,Intermediate,1593,Cytotoxicity in 2.2.15 cells; Not determined,,N,2.2.15,F,,9606.0,,1
113,Homo sapiens,50587,,,1,,,Intermediate,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,N,2.2.15,F,,9606.0,,1
114,Homo sapiens,50587,,,1,,,Intermediate,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,N,2.2.15,F,,9606.0,,1
115,Homo sapiens,50587,,,1,,,Intermediate,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,N,2.2.15,F,,9606.0,,1
116,Homo sapiens,81020,,,1,,,Intermediate,14764,Antiviral activity against HBV was determined in 2.215 cell line,,N,HepG2,F,,9606.0,,1
117,Homo sapiens,22226,,,1,,,Autocuration,6531,Inhibition of 20-HETE synthesis in human renal microsomes,Microsomes,U,,B,,9606.0,,0
118,,22226,,,1,,,Autocuration,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,U,,B,,,,0
119,Homo sapiens,80612,,,1,,,Intermediate,17072,Inhibitory concentration against 2008 (ovarian) cells,,N,2008,F,,9606.0,,1
120,Homo sapiens,80612,,,1,,,Intermediate,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,N,2008,F,,9606.0,,1
121,Homo sapiens,80612,,,1,,,Intermediate,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,N,2008,F,,9606.0,,1
122,Homo sapiens,80612,,,1,,,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,N,2008,F,,9606.0,,1
123,Homo sapiens,80612,,,1,,,Intermediate,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,N,2008,F,,9606.0,,1
124,Homo sapiens,80613,,,1,,,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line,,N,2008/R,F,,9606.0,,1
125,Homo sapiens,80613,,,1,,,Intermediate,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,N,2008/R,F,,9606.0,,1
126,Homo sapiens,80614,,,1,,,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line,,N,2008/S,F,,9606.0,,1
127,Homo sapiens,80614,,,1,,,Intermediate,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,N,2008/S,F,,9606.0,,1
128,Homo sapiens,100256,,,1,,,Expert,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,S,,B,,9606.0,,2
129,Homo sapiens,100256,,,1,,,Intermediate,12912,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,S,,B,,9606.0,,2
130,,100256,,,1,,,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome,,S,,B,,,,2
131,,100256,,,1,,,Expert,2957,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,S,,B,,,,2
132,,100256,,,1,,,Intermediate,3260,Inhibitory activity against 20S proteosome,,S,,B,,,,2
133,Homo sapiens,22226,,,1,,,Autocuration,3451,Compound was tested for inhibitory activity against tryptase,,U,,B,,9606.0,,0
134,Homo sapiens,81020,,,1,,,Intermediate,13885,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,N,HepG2,F,,9606.0,,1
135,Homo sapiens,81020,,,1,,,Intermediate,13885,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,N,HepG2,F,,9606.0,,1
136,,22226,,,1,,,Autocuration,3676,Compound was tested for the inhibition of Alpha-glucosidase,,U,,B,,,,0
137,,235,,,1,,,Autocuration,6043,Inhibitory concentration against human neutrophil elastase (HNE),,H,,B,,,,8
138,Rattus norvegicus,22226,948.0,,1,,,Autocuration,11140,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,U,,F,,10116.0,Heart,0
139,,19640,,,1,,,Autocuration,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,,F,,,,8
140,,19640,,,1,,,Expert,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,,F,,,,8
141,,19640,,,1,,,Autocuration,10543,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,,B,,,,8
142,,19640,,,1,,,Expert,10543,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,,F,,,,8
143,Mus musculus,80360,,,1,,,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,N,P338,F,,10090.0,,1
144,Mus musculus,80360,,,1,,,Intermediate,11365,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,N,P338,F,,10090.0,,1
145,Homo sapiens,80384,,,1,,,Intermediate,11803,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,N,PBL,F,,9606.0,,1
146,Ovis aries,22226,,,1,,,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,U,,F,,9940.0,,0
147,Ovis aries,22226,,,1,,,Autocuration,11803,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,U,,F,,9940.0,,0
148,,191,,,1,,,Autocuration,12278,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,H,,B,,,,8
149,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,U,,F,,9606.0,,0
150,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,U,,F,,9606.0,,0
151,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,U,CCRF-CEM,F,,9606.0,,0
152,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,U,CCRF-CEM,F,,9606.0,,0
153,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,U,CCRF-CEM,F,,9606.0,,0
154,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,U,CCRF-CEM,F,,9606.0,,0
155,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,U,,F,,9606.0,,0
156,Homo sapiens,22226,,,1,,,Autocuration,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,U,,F,,9606.0,,0
157,,104290,,,1,,,Autocuration,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,H,,B,,,,6
158,Streptococcus pyogenes,50264,,,1,,,Intermediate,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,N,,F,,1314.0,,1
159,Human herpesvirus 3,50527,,,1,,,Intermediate,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,N,,F,,10335.0,,1
160,vericilla zoster virus,50527,,,1,,,Expert,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,N,HEL,F,,10335.0,,1
161,vericilla zoster virus,50527,,,1,,,Intermediate,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,,N,,F,,10335.0,,1
162,vericilla zoster virus,50527,,,1,,,Intermediate,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,,N,,F,,10335.0,,1
163,escherichia cloac,50145,,,1,,,Intermediate,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",,N,,F,,561.0,,1
164,,22226,,,1,,,Autocuration,9707,Ratio of Ki at A2 to Ki at A1 receptors,,U,,B,,,,0
165,Candida albicans,11143,,,1,,,Expert,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",,H,,B,,5476.0,,8
166,Candida glabrata CBS 138,18077,,,1,,,Expert,2205,"Inhibition of 1,3-beta-glucan synthase",,H,,B,,284593.0,,8
167,Homo sapiens,80609,,,1,,,Intermediate,11900,Inhibition of growth of 1-87 human tumor cell line,,N,1-87 tumor cell line,F,,9606.0,,1
168,Rattus norvegicus,12166,,,1,,,Expert,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,,D,,B,,10116.0,,9
169,Glycine max,100171,,,1,,,Autocuration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),,D,,B,,3847.0,,9
170,Glycine max,100171,,,1,,,Autocuration,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,D,,B,,3847.0,,9
171,Glycine max,100171,,,1,,,Autocuration,16474,% inhibition against soybean 1-lipoxygenase (SLO),,D,,B,,3847.0,,9
