ss_d,cnfdnc_scr,ss_rgnsm,dscrptn,ss_tp,ss_tx_d,ss_tss,ss_sbclllr_frctn,ss_ctgr,chmbl_d,dc_d,rltnshp_tp,b_frmt,src_d,tss_d,ss_tst_tp,crtd_b,src_ss_d,cll_d,vrnt_d
7569,1,Rattus norvegicus,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,A,10116.0,,,,CHEMBL621319,17735,N,BAO_0000218,1,,In vivo,Intermediate,,,
7570,1,Rattus norvegicus,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,A,10116.0,,,,CHEMBL621377,6056,N,BAO_0000218,1,,In vivo,Intermediate,,,
7571,1,Rattus norvegicus,Half life was determined,A,10116.0,,,,CHEMBL621378,5213,N,BAO_0000218,1,,,Intermediate,,,
7572,1,Rattus norvegicus,Half life after i.v. administration,A,10116.0,,,,CHEMBL876599,6616,N,BAO_0000218,1,,In vivo,Intermediate,,,
7573,1,Rattus norvegicus,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,A,10116.0,,,,CHEMBL621379,5937,N,BAO_0000218,1,,In vivo,Intermediate,,,
7574,1,Rattus norvegicus,Half life in rat plasma,A,10116.0,Plasma,,,CHEMBL621380,5819,N,BAO_0000218,1,1969.0,,Intermediate,,,
7575,1,Rattus norvegicus,Half life in rat plasma; Not detected,A,10116.0,Plasma,,,CHEMBL621381,5819,N,BAO_0000218,1,1969.0,,Intermediate,,,
7576,1,Rattus norvegicus,Half life in rats,A,10116.0,,,,CHEMBL618515,6803,N,BAO_0000218,1,,,Intermediate,,,
7577,1,Rattus norvegicus,Half life period of compound was determined after peroral administration,A,10116.0,,,,CHEMBL618516,17804,N,BAO_0000218,1,,In vivo,Intermediate,,,
7578,1,Rattus norvegicus,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,A,10116.0,,,,CHEMBL618517,17804,N,BAO_0000218,1,,In vivo,Intermediate,,,
7579,1,Rattus norvegicus,Half life period in rat,A,10116.0,,,,CHEMBL618518,5948,N,BAO_0000218,1,,,Intermediate,,,
7580,1,Rattus norvegicus,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,A,10116.0,,,,CHEMBL618519,1916,N,BAO_0000218,1,,In vivo,Intermediate,,,
7581,1,Rattus norvegicus,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,A,10116.0,,,,CHEMBL618698,1916,N,BAO_0000218,1,,In vivo,Intermediate,,,
7582,1,Rattus norvegicus,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,A,10116.0,,,,CHEMBL618862,1916,N,BAO_0000218,1,,In vivo,Intermediate,,,
7583,1,Rattus norvegicus,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,A,10116.0,,,,CHEMBL618863,4890,N,BAO_0000218,1,,In vivo,Intermediate,,,
7584,1,Rattus norvegicus,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,A,10116.0,,,,CHEMBL618864,17764,N,BAO_0000218,1,,In vivo,Intermediate,,,
7585,1,Rattus norvegicus,Half life time in rat the dose of 2 mg/kg,A,10116.0,,,,CHEMBL618865,4727,N,BAO_0000218,1,,In vivo,Intermediate,,,
7586,1,Rattus norvegicus,Half-life 24 hr after 10 mg/kg iv administration in rats,A,10116.0,,,,CHEMBL618866,17509,N,BAO_0000218,1,,In vivo,Intermediate,,,
7587,1,Rattus norvegicus,Half-life 24 hr after 2 mg/kg iv administration in rats,A,10116.0,,,,CHEMBL618867,17509,N,BAO_0000218,1,,In vivo,Intermediate,,,
7588,1,Rattus norvegicus,Half-life consistent with the observed metabolic steady state in rats,A,10116.0,,,,CHEMBL875828,6597,N,BAO_0000218,1,,,Intermediate,,,
7589,1,Rattus norvegicus,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,A,10116.0,,,,CHEMBL618868,17735,N,BAO_0000218,1,,In vivo,Intermediate,,,
7590,1,Rattus norvegicus,Half-life for oxidative metabolic stability was determined using male human,A,10116.0,,,,CHEMBL618869,6597,N,BAO_0000218,1,,,Intermediate,,,
7591,1,Rattus norvegicus,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",A,10116.0,,,,CHEMBL618870,17670,N,BAO_0000218,1,,In vivo,Intermediate,,,
7592,1,Rattus norvegicus,Half-life in rat plasma,A,10116.0,Plasma,,,CHEMBL618871,1696,N,BAO_0000218,1,1969.0,,Intermediate,,,
7593,1,Rattus norvegicus,Half-life in rat plasma was determined,A,10116.0,Plasma,,,CHEMBL618872,1742,N,BAO_0000218,1,1969.0,,Intermediate,,,
7594,1,Rattus norvegicus,Half-life in rats was determined,A,10116.0,,,,CHEMBL873816,17800,N,BAO_0000218,1,,,Intermediate,,,
7595,0,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,A,,,,,CHEMBL618873,12923,U,BAO_0000218,1,,,Autocuration,,,
7596,0,,Area under curve after oral dose of 0.1 mg//kg,A,,,,,CHEMBL621602,11954,U,BAO_0000019,1,,,Autocuration,,,
7597,0,,Area under curve after oral dose of 0.3 mg/kg,A,,,,,CHEMBL621603,11954,U,BAO_0000218,1,,,Autocuration,,,
7598,0,,Area under curve after oral dose of 1 mg/kg,A,,,,,CHEMBL621604,11954,U,BAO_0000218,1,,,Autocuration,,,
7599,0,,Area under curve after oral dose of 10 mg/kg,A,,,,,CHEMBL621605,11954,U,BAO_0000218,1,,,Autocuration,,,
7600,0,,Area under curve after oral dose of 23.4 mg/kg,A,,,,,CHEMBL621606,11954,U,BAO_0000218,1,,,Autocuration,,,
7601,0,,Area under curve after oral dose of 3 mg/kg,A,,,,,CHEMBL621607,11954,U,BAO_0000218,1,,,Autocuration,,,
7602,0,,Area under curve after oral dose of 3.87 mg/kg,A,,,,,CHEMBL621608,11954,U,BAO_0000218,1,,,Autocuration,,,
7603,0,,Area under curve was determined,A,,,,,CHEMBL621609,5237,U,BAO_0000019,1,,,Autocuration,,,
7604,0,,Area under curve at a dose of 10 mg/kg,A,,,,,CHEMBL621610,4026,U,BAO_0000218,1,,,Autocuration,,,
7605,1,Rattus norvegicus,Area under curve was determined; ND=No data,A,10116.0,,,,CHEMBL621611,5237,N,BAO_0000218,1,,,Intermediate,,,
7606,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,,,,CHEMBL621612,14793,N,BAO_0000218,1,,,Intermediate,,,
7607,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,A,10116.0,,,,CHEMBL622308,14793,N,BAO_0000218,1,,,Intermediate,,,
7608,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,,,,CHEMBL622309,14793,N,BAO_0000218,1,,,Intermediate,,,
7609,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,A,10116.0,,,,CHEMBL622310,14793,N,BAO_0000218,1,,,Intermediate,,,
7610,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,A,10116.0,,,,CHEMBL622311,14793,N,BAO_0000218,1,,,Intermediate,,,
7611,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,A,10116.0,,,,CHEMBL622312,14793,N,BAO_0000218,1,,,Intermediate,,,
7612,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,,,,CHEMBL622931,14793,N,BAO_0000218,1,,,Intermediate,,,
7613,1,Rattus norvegicus,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,A,10116.0,,,,CHEMBL622932,14793,N,BAO_0000218,1,,,Intermediate,,,
7614,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,Plasma,,,CHEMBL622736,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7615,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,A,10116.0,Plasma,,,CHEMBL622737,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7616,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,Plasma,,,CHEMBL622738,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7617,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,A,10116.0,Plasma,,,CHEMBL622739,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7618,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,A,10116.0,Plasma,,,CHEMBL622740,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7619,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,A,10116.0,Plasma,,,CHEMBL622741,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7620,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,A,10116.0,Plasma,,,CHEMBL622742,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7621,1,Rattus norvegicus,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,A,10116.0,Plasma,,,CHEMBL622743,14793,N,BAO_0000218,1,1969.0,,Intermediate,,,
7622,1,Mus musculus,AUC in mice,A,10090.0,Plasma,,,CHEMBL622744,11637,N,BAO_0000218,1,1969.0,,Intermediate,,,
7623,0,,Area under curve was measured from the graph obtained from concentration Vs time,A,,,,,CHEMBL624134,11149,U,BAO_0000019,1,,,Autocuration,,,
7624,0,,Area under curve value of compound per hour after oral administration,A,,,,,CHEMBL624135,10016,U,BAO_0000019,1,,,Autocuration,,,
7625,1,Rattus norvegicus,Area under curve was determined after oral administration in rats,A,10116.0,,,,CHEMBL624136,17796,N,BAO_0000218,1,,,Intermediate,,,
7626,1,Rattus norvegicus,Area under curve was determined after oral administration in rats; No data,A,10116.0,,,,CHEMBL624137,17796,N,BAO_0000218,1,,,Intermediate,,,
7627,1,Rattus norvegicus,Area under curve was determined after oral administration in rats;No data,A,10116.0,,,,CHEMBL624320,17796,N,BAO_0000218,1,,,Intermediate,,,
7628,1,Canis lupus familiaris,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,A,9615.0,,,,CHEMBL624321,12923,N,BAO_0000218,1,,,Intermediate,,,
7629,1,Rattus norvegicus,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,A,10116.0,,,,CHEMBL624322,15372,N,BAO_0000218,1,,,Intermediate,,,
7630,1,Rattus norvegicus,Area under curve was determined for the compound after iv dose of 5.06 in rats,A,10116.0,,,,CHEMBL624323,15372,N,BAO_0000218,1,,,Intermediate,,,
7631,1,Rattus norvegicus,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,A,10116.0,,,,CHEMBL624324,15372,N,BAO_0000218,1,,,Intermediate,,,
7632,1,Rattus norvegicus,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,A,10116.0,,,,CHEMBL624325,15372,N,BAO_0000218,1,,,Intermediate,,,
7633,1,Rattus norvegicus,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,A,10116.0,,,,CHEMBL624326,15372,N,BAO_0000218,1,,,Intermediate,,,
7634,1,Rattus norvegicus,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,A,10116.0,,,,CHEMBL624327,15372,N,BAO_0000218,1,,,Intermediate,,,
7635,1,Rattus norvegicus,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,A,10116.0,,,,CHEMBL624328,15372,N,BAO_0000218,1,,,Intermediate,,,
7636,1,Canis lupus familiaris,Area under curve was determined in Dogs after peroral administration,A,9615.0,,,,CHEMBL627848,14169,N,BAO_0000218,1,,,Intermediate,,,
7637,1,Rattus norvegicus,Area under curve was determined in Rats after peroral administration,A,10116.0,,,,CHEMBL627849,14169,N,BAO_0000218,1,,,Intermediate,,,
7638,1,Rattus norvegicus,Area under curve was determined in carotid blood of rat when administered intradermally,A,10116.0,,,,CHEMBL627850,14258,N,BAO_0000218,1,,,Intermediate,,,
7639,1,Rattus norvegicus,Area under curve was determined in portal blood of rat when administered intradermally,A,10116.0,,,,CHEMBL627851,14258,N,BAO_0000218,1,,,Intermediate,,,
7640,1,Mus musculus,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,A,10090.0,,,,CHEMBL627852,15011,N,BAO_0000218,1,,,Intermediate,,,
7641,1,Mus musculus,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,A,10090.0,,,,CHEMBL627853,15011,N,BAO_0000218,1,,,Intermediate,,,
7642,1,Mus musculus,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),A,10090.0,,,,CHEMBL627854,15011,N,BAO_0000218,1,,,Intermediate,,,
7643,1,Mus musculus,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,A,10090.0,,,,CHEMBL627855,15011,N,BAO_0000218,1,,,Intermediate,,,
7644,1,Mus musculus,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),A,10090.0,,,,CHEMBL627856,15011,N,BAO_0000218,1,,,Intermediate,,,
7645,1,Mus musculus,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,A,10090.0,,,,CHEMBL875339,15011,N,BAO_0000218,1,,,Intermediate,,,
7646,1,Mus musculus,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),A,10090.0,,,,CHEMBL627857,15011,N,BAO_0000218,1,,,Intermediate,,,
7647,1,Rattus norvegicus,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,A,10116.0,Spleen,,,CHEMBL627858,11195,N,BAO_0000218,1,2106.0,In vivo,Intermediate,,,
7648,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,A,10116.0,Blood,,,CHEMBL627859,10130,N,BAO_0000218,1,178.0,,Intermediate,,,
7649,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,A,10116.0,Brain,,,CHEMBL627860,10130,N,BAO_0000218,1,955.0,,Intermediate,,,
7650,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,A,10116.0,Heart,,,CHEMBL627019,10130,N,BAO_0000218,1,948.0,,Intermediate,,,
7651,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,A,10116.0,Liver,,,CHEMBL627020,10130,N,BAO_0000218,1,2107.0,,Intermediate,,,
7652,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,A,10116.0,Lung,,,CHEMBL627021,10130,N,BAO_0000218,1,2048.0,,Intermediate,,,
7653,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,A,10116.0,Muscle tissue,,,CHEMBL627022,10130,N,BAO_0000218,1,2385.0,,Intermediate,,,
7654,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,A,10116.0,,,,CHEMBL627023,10130,N,BAO_0000218,1,,,Intermediate,,,
7655,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,A,10116.0,Spleen,,,CHEMBL627024,10130,N,BAO_0000218,1,2106.0,,Intermediate,,,
7656,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,A,10116.0,Thyroid gland,,,CHEMBL627025,10130,N,BAO_0000218,1,2046.0,,Intermediate,,,
7657,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,A,10116.0,Kidney,,,CHEMBL627026,10130,N,BAO_0000218,1,2113.0,,Intermediate,,,
7658,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,A,10116.0,Blood,,,CHEMBL627027,10130,N,BAO_0000218,1,178.0,,Intermediate,,,
7659,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,A,10116.0,Brain,,,CHEMBL627028,10130,N,BAO_0000218,1,955.0,,Intermediate,,,
7660,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,A,10116.0,Heart,,,CHEMBL627029,10130,N,BAO_0000218,1,948.0,,Intermediate,,,
7661,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,A,10116.0,Kidney,,,CHEMBL627030,10130,N,BAO_0000218,1,2113.0,,Intermediate,,,
7662,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,A,10116.0,Liver,,,CHEMBL627031,10130,N,BAO_0000218,1,2107.0,,Intermediate,,,
7663,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,A,10116.0,Lung,,,CHEMBL627032,10130,N,BAO_0000218,1,2048.0,,Intermediate,,,
7664,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,A,10116.0,Muscle tissue,,,CHEMBL627033,10130,N,BAO_0000218,1,2385.0,,Intermediate,,,
7665,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,A,10116.0,,,,CHEMBL627034,10130,N,BAO_0000218,1,,,Intermediate,,,
7666,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,A,10116.0,Spleen,,,CHEMBL627035,10130,N,BAO_0000218,1,2106.0,,Intermediate,,,
7667,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,A,10116.0,Thyroid gland,,,CHEMBL627036,10130,N,BAO_0000218,1,2046.0,,Intermediate,,,
7668,1,Rattus norvegicus,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,A,10116.0,Blood,,,CHEMBL875340,10130,N,BAO_0000218,1,178.0,,Intermediate,,,
