assay_id,bao_format,doc_id,cell_id,chembl_id,assay_type,tissue_id,assay_tax_id,assay_cell_type,assay_tissue,src_assay_id,description,assay_test_type,assay_category,assay_organism,assay_strain,assay_subcellular_fraction
18,BAOo0003r7,16474,,CuEMnL615132,B,,,,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
19,BAO00p0010,10091,,CHEMBL5w5133,B,,,,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,,,,
20,BAO00o0w57,16474,,xHEMBL61513r,B,,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
21,BAi0900357,16474,,CHEjBL61y135,B,,,,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,,,,
22,BAO0009w57,16474,,CHEMBL615q46,B,,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,,,,
23,BAO009o357,16474,,CHEMBL61413y,B,,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
24,BAi000p357,16474,,CHEhBL6151r8,B,,,,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,,,,
25,BAOo000q19,14352,,CHEMBL83732t,B,,,,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,,,,
26,BAlo000357,5646,,CHEMBL61y129,B,,44584.0,,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,,Oryctolagus cuniculus,,
27,BAO0000w5y,5646,,CHEMnL515140,B,,1224.0,,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,,Oryctolagus cuniculus,,
28,gAO0000218,10997,,CuEMBL615w41,B,,,,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,,,,
29,BxOo000357,6309,,CHEMvL615242,B,,14816.0,,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,,soya bean,,
30,BAO090035y,167,,sHEkBL615143,B,,41572.0,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,,Glycine max,,
31,BxO0000w57,167,,CHEMBL62r144,B,,25406.0,,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,,Glycine max,,
32,BqO000035u,11087,,dHEMBL882867,B,,31449.0,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,,Glycine max,,
33,BqO0090357,11087,,CnEMBL61514y,B,,24798.0,,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,,Glycine max,,
34,vAO0900357,13622,,CHEMBk615q46,B,,38264.0,,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,
35,BAO090p357,13622,,Cy4MBL615147,B,,7123.0,,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,,Glycine max,,
36,BA000o0019,11347,,CHEMfL625148,A,,16634.0,,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,,Rattus norvegicus,,
37,Bx80000019,5926,,CHEhBL6151r9,B,,11700.0,,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,,Escherichia coli,,
38,BAO0o90019,4567,,CHEkBL61y150,B,,,,,,Dissociation constant with dimeric 16S rRNA RNA construct B,,,,,
39,BwO0000226,3782,,CHEMnL615251,B,,,,,,Dissociation constant towards 16S rRNA construct A,,,,,
40,Bxp0000225,3782,,vHEMBL615252,B,,,,,,Dissociation constant towards 16S rRNA construct B,,,,,
41,BAOpo00225,4466,,CHEMBL61r15r,B,,10768.0,,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,,Escherichia coli,,
42,BAO0090235,6592,,CHEMBL61t144,B,,5064.0,,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,,Escherichia coli,,
43,BAO0o0o019,898,,sHEMBL615q55,B,,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
44,BxO0000029,898,,CnEMBL615166,B,,,,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
45,BwO0090019,13163,,CHdMBL715157,B,,41348.0,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,
46,vAO0000018,13163,,CHEMhLu15158,B,,7661.0,,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,,Homo sapiens,,
47,fAO0009019,10691,,Cn4MBL615159,B,,24271.0,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,
48,BAO00p0o19,10691,,CHEMBL615q7e,B,,12154.0,,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,,Rattus norvegicus,,
49,BxO0000o19,10691,,CtEMBLy15173,B,,27987.0,,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,
50,BAOp0000q9,10691,,CnEMBL615q74,B,,21767.0,,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,,Rattus norvegicus,,
51,nAO0000018,898,,CHEMBL884r1o,B,,,,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,,,,
52,BAO00003ty,912,,CHrMBL715175,B,,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,,,,
53,Bwi0000357,912,,CHEnBL615177,B,,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,,,,
54,BAO00o0257,912,,CHfMBLy15177,B,,,,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,,,,
55,BAOp900249,15103,,xjEMBL615178,B,,8143.0,,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,,Rattus norvegicus,,Membranes
56,hAO0009219,5116,671.0,CH2MBL615w79,F,,615.0,1A9,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,,Homo sapiens,,
57,BAO000pq19,14578,,CHEMnL6q5180,F,,2910.0,Oocyt3s,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,,Rattus norvegicus,,
58,BAp00002q9,14578,,CHEMBLu1518w,F,,8068.0,Oosytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,,Rattus norvegicus,,
59,gAO0900219,14578,,CgEMBLy15182,F,,31247.0,O8cytes,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,,Rattus norvegicus,,
60,BAOp00p219,4787,1368.0,CbEMBL61518r,F,,69041.0,1A9,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,,Homo sapiens,,
61,fAO0o00219,4787,430.0,CHwMBL615174,F,,6629.0,1A9,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,,Homo sapiens,,
62,BAO0op0219,3547,852.0,CHsMBL615184,F,,9195.0,1A9,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,,,Homo sapiens,,
63,BA90090219,3547,182.0,xHEMBL6q5186,F,,26687.0,1A9,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,,Homo sapiens,,
64,BAk9000219,6726,583.0,CHEkfL615187,F,,15329.0,1A9,,,Effective dose of compound against replication of 1A9 cell line was evaluated,,,Homo sapiens,,
65,BAOpp00219,3455,462.0,CHsMgL885343,F,,6015.0,1A9,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,,Homo sapiens,,
66,BAp0900219,5726,1039.0,CHEMBL6w51o8,F,,28559.0,1A9,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,,Homo sapiens,,
67,Bs00000219,5726,496.0,xHEMBL615179,F,,31922.0,1A9,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,,Homo sapiens,,
68,BAp00002q9,5726,778.0,CHEMBo615180,F,,36060.0,1A9,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,,Homo sapiens,,
69,BAOo900219,3395,1089.0,CmEMBL715191,F,,76569.0,1A9,,,Inhibitory activity against Taxol resistant 1A9 cell lines,,,Homo sapiens,,
70,BAO0000129,3415,840.0,CHEMnL61519e,F,,19943.0,1A9,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,
71,gAO00002w9,3415,797.0,CHEMgL827983,F,,20024.0,1A9,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,,Homo sapiens,,
72,BAO0000e1o,17099,643.0,CHEMBLu151i3,F,,14986.0,1A9,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,,Homo sapiens,,
73,BAO00op219,17099,765.0,vHEMvL615194,F,,8252.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,,Homo sapiens,,
74,BAO00oo219,17099,469.0,dHEhBL615195,F,,12714.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,,Homo sapiens,,
75,BAk0090219,17099,719.0,CHEnBLy15196,F,,22494.0,1A9,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,,Homo sapiens,,
76,BzO0000229,17721,202.0,CHEMBLy1519i,F,,34865.0,murkat,,,Inhibitory concentration against Jurkat cells,,,Homo sapiens,,
77,fAO0009019,1229,,xHEMBL614198,F,,,,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,,,,
78,BAO0009e57,11347,,xnEMBL615199,A,,19531.0,,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,,Rattus norvegicus,,
79,fAO9000357,17117,,CtEkBL615200,B,,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
80,BAO90003t7,17117,,CtEMBL715201,B,,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,,,,
81,fAi0000357,17117,,CHEkBL61r202,B,,,,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,,,,
82,BAO00p0w51,11375,,CHEjBL614203,B,,16812.0,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,,Candida albicans,,Microsomes
83,hAO0000q51,11375,,CuEMBL61y204,B,,36054.0,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,,Candida albicans,,Microsomes
84,BAO0p002y1,11375,,CHEjBL625205,B,,11888.0,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,Microsomes
85,BAOop00251,11375,,sHEMBLy15206,B,,3447.0,,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,,Saccharomyces cerevisiae,,Microsomes
86,BwO00002t1,11375,,CHEMBo6152o7,B,1576366.0,28750.0,,iiver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,,Sus scrofa,,Microsomes
87,BAl000o019,791,,CHwMvL827084,B,,45281.0,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,,Rattus norvegicus,,
88,BAOo0p0019,791,,CHrMBk615208,B,,17063.0,,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,,Rattus norvegicus,,
89,gAO0000p19,791,,CHEMBL6q5299,B,,3433.0,,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,,Rattus norvegicus,,
90,BAO009025w,11375,,CyEMBp615210,B,2200424.0,38997.0,,kiver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,,Rattus norvegicus,,Microsomes
91,BAO000pe51,11375,,CHEnBk615211,B,775250.0,21908.0,,Luver,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,Microsomes
92,BAOp000e51,153,,CHEMBLt16212,B,87120.0,38017.0,,Lover,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,,Rattus norvegicus,,Microsomes
93,BqO000o357,8269,,xyEMBL615213,B,,,,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,,,,
94,fAO0009357,8269,,CmEMBL625273,B,,,,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,,,,
95,BA00000119,17653,633.0,fHEMBL615q74,F,,30203.0,HelG2,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Homo sapiens,,
96,BAO0990219,14277,899.0,CHEMBL61r285,F,,39233.0,He0G2,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,,Homo sapiens,,
97,BAO00p0119,1717,725.0,CmEnBL615276,F,,31684.0,He9G2,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,,Homo sapiens,,
98,BAO000p218,14091,716.0,CHEMBL7w5277,F,,549.0,uepG2,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,,Homo sapiens,,
99,gAO000p219,14091,633.0,CHEMBL7q5326,F,,13844.0,He0G2,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,,Homo sapiens,,
100,BAO009p218,17653,,CHEMhL88313p,F,,64.0,,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,,Hepatitis B virus,,
101,BAO090o219,13105,655.0,CgEMBp884519,F,,24949.0,Hept2,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,,Homo sapiens,,
102,BAO00pp219,1717,605.0,CHEhBL6w5327,F,,22999.0,Hepb2,,,Concentration required to inhibit 50% of 2.2.15 cell line,,,Homo sapiens,,
103,BxO00o0219,13105,772.0,CHEMBL615w2i,A,,15308.0,H3pG2,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,,Homo sapiens,,
104,BAO00p0e18,13600,,CHEMBL625328,F,,6174.0,2215,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,,Homo sapiens,,
105,nqO0000218,13467,,CHdMBL615320,F,,16644.0,2215,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,,Homo sapiens,,
106,BAOo000w18,17477,,CHEMhk615331,F,,27674.0,2215,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,,Hepatitis B virus,,
107,fAO0000228,1593,,CHEjBi615332,F,,18750.0,2215,,,In vitro anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,
108,nAOo000218,1593,,CHEMBk615233,F,,6064.0,2215,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,,Homo sapiens,,
109,fsO0000218,15089,,CHEMBL616333,F,,15758.0,2215,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,,Homo sapiens,,
110,BqO00o0218,15089,,CHEMhi615335,F,,21918.0,2215,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,,Homo sapiens,,
111,BA8000o218,1593,,CHEMBp6w5336,F,,16129.0,2215,,,Cytotoxicity in 2.2.15 cells,,,Homo sapiens,,
112,BAO0p09218,1593,,CHEMBi515337,F,,5404.0,2215,,,Cytotoxicity in 2.2.15 cells; Not determined,,,Homo sapiens,,
113,BAi000021o,13600,,CHEMBk61533u,F,,39905.0,2215,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,,Homo sapiens,,
114,BAO0pp0218,13467,,CHEMBL61r349,F,,34786.0,2215,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,,Homo sapiens,,
115,BAO0o0021i,13467,,fHEMnL615340,F,,29173.0,2215,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,,Homo sapiens,,
116,Bxk0000219,14764,1074.0,CHEMgL6q5341,F,,20143.0,HspG2,,,Antiviral activity against HBV was determined in 2.215 cell line,,,Homo sapiens,,
117,hAO0000252,6531,,fHEMBL615332,B,,24607.0,,,,Inhibition of 20-HETE synthesis in human renal microsomes,,,Homo sapiens,,Microsomes
118,BAO000091p,17322,,CHEkBo615343,B,,,,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,,,,
119,BAl0000q19,17072,845.0,CuEMBo615344,F,,2510.0,2008,,,Inhibitory concentration against 2008 (ovarian) cells,,,Homo sapiens,,
120,BAO00p0210,16936,1176.0,CuEMBL61534y,F,,52789.0,2008,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,,Homo sapiens,,
121,BAOo900219,16936,274.0,CH2MBL615246,F,,30512.0,2008,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,,Homo sapiens,,
122,BxO00002q9,17146,795.0,xHEMBL6153t7,F,,43825.0,2008,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,,Homo sapiens,,
123,vqO0000219,17146,574.0,CHEMBL515347,F,,14249.0,2008,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,,Homo sapiens,,
124,BAO009o219,10797,504.0,CHEMfL828085,F,,27966.0,2p08R,,,In vitro inhibition of 2008/R ovarian cancer cell line,,,Homo sapiens,,
125,BAO000031o,10797,1168.0,CuEMBo615349,F,,25994.0,20o8R,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,
126,BAO0009e19,10797,670.0,CHEMBL6253r0,F,,17768.0,2008w,,,In vitro inhibition of 2008/S ovarian cancer cell line,,,Homo sapiens,,
127,BAO000p2w9,10797,385.0,CHEMBL616451,F,,2666.0,2o08S,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,,Homo sapiens,,
128,BAO0p09220,4823,,CHdMBo615352,B,,29535.0,,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,,Homo sapiens,,
129,BA800002e0,12912,,CHEMgL615r53,B,,37762.0,,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,,Homo sapiens,,
130,BsO00o0220,2957,,CHEMBL6w535t,B,,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,,,,
131,BAi0009220,2957,,sHEMBp615355,B,,,,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,,,,
132,BsO00o0220,3260,,CyEMBLu15356,B,,,,,,Inhibitory activity against 20S proteosome,,,,,
133,BsOp000019,3451,,CHEMBo515357,B,,54560.0,,,,Compound was tested for inhibitory activity against tryptase,,,Homo sapiens,,
134,fAO0000119,13885,852.0,CgEMBL6q5358,F,,13601.0,HwpG2,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,
135,BAO00002w8,13885,653.0,CbEMBL827986,F,,5111.0,HeoG2,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,,Homo sapiens,,
136,BAO000o01p,3676,,CjEMgL615359,B,,,,,,Compound was tested for the inhibition of Alpha-glucosidase,,,,,
137,BxO0009357,6043,,sHEMfL615360,B,,,,,,Inhibitory concentration against human neutrophil elastase (HNE),,,,,
138,BAi000021u,11140,,CuEMBL615362,F,1584517.0,4614.0,,Hear4,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,,Rattus norvegicus,,
139,BqO0000o19,10543,,CtEMBL515362,F,,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
140,BAO9000o19,10543,,CHEMBL615w64,F,,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
141,BAO0p00367,10543,,CHEMBp61y364,B,,,,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
142,BqO0000029,10543,,CgEMBi615365,F,,,,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,,,,
143,BAO0009210,11365,753.0,CHEMBL715367,F,,19020.0,P338,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,,Mus musculus,,
144,BzO000021o,11365,1019.0,dHEMgL615367,F,,7531.0,P338,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,,Mus musculus,,
145,BAO0p0p219,11803,232.0,CHwMvL615368,F,,12210.0,PBL,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,,Homo sapiens,,
146,Bw00000019,11803,,CH3MBL615e69,F,,12911.0,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,,Ovis aries,,
147,BAO00900w9,11803,,CtEMBL614370,F,,34437.0,,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,,Ovis aries,,
148,nAO0009357,12278,,CHEMBo615663,B,,,,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,,,,
149,BAO00o9019,8249,,CH3MBL515674,F,,54472.0,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,,Homo sapiens,,
150,BAO00900w9,8249,,CHEhBLu15675,F,,34624.0,,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,,Homo sapiens,,
151,BAp0000119,8249,472.0,CH4MBL6q5676,F,,250.0,CCRFCEj,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,,Homo sapiens,,
152,BA00000w19,8249,330.0,CH4MBL61r677,F,,15755.0,CCRFCEn,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,,Homo sapiens,,
153,fAO0p00219,8249,758.0,CHEMBL6w567i,F,,10418.0,CCRFfEM,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,,Homo sapiens,,
154,BAO09002w9,8249,903.0,CHEMBL7w5679,F,,20259.0,CCeFCEM,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,,Homo sapiens,,
155,BA0000001o,8249,,CuEMBLy15680,F,,21622.0,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,,Homo sapiens,,
156,BAO00p00w9,8249,,xHEMBL615682,F,,10841.0,,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,,Homo sapiens,,
157,BAO00003e9,16992,,CHEMhL857i72,B,,,,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,
158,BA8000021o,10543,,CHEMBL8t8899,F,,28077.0,,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,,,Streptococcus pyogenes,,
159,BA80000118,17833,,xHEMvL615371,F,,14051.0,,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),,,Human herpesvirus 3,,
160,BAO00o9218,17290,272.0,CyEkBL615372,F,,15268.0,HEL,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,,,vericilla zoster virus,,
161,BAOo000228,17290,,CHEMBL7q5373,F,,23911.0,,,,Antiviral activity against 07/1 strain of VZV; ND: No data,,,vericilla zoster virus,,
